z,type,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,,,,,,,,,
Mozal,Energy,8322,8322,8322,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,,,,,,,,,
Angola_North,Peak,1908.9,2245.95,2403.45,2572.7625,2753.1,2946.0375,3153.15,3190.95,3229.5375,3268.125,3307.5,3347.6625,3370.5,3394.125,3417.75,3441.375,3465,3488.625,3513.0375,3537.45,3561.8625,3586.275,3693.86325,3804.679148,3918.819522,4036.384108,4157.475631,4282.1999,4410.665897,4542.985874,4679.27545,4819.653713,4964.243325,,,,,,,,,
Angola_East,Peak,61.0848,71.8704,76.9104,82.3284,88.0992,94.2732,100.9008,102.1104,103.3452,104.58,105.84,107.1252,107.856,108.612,109.368,110.124,110.88,111.636,112.4172,113.1984,113.9796,114.7608,118.203624,121.7497327,125.4022247,129.1642914,133.0392202,137.0303968,141.1413087,145.3755479,149.7368144,154.2289188,158.8557864,,,,,,,,,
Angola_Central,Peak,309.06,363.63,389.13,416.5425,445.74,476.9775,510.51,516.63,522.8775,529.125,535.5,542.0025,545.7,549.525,553.35,557.175,561,564.825,568.7775,572.73,576.6825,580.635,598.05405,615.9956715,634.4755416,653.5098079,673.1151021,693.3085554,714.107812,735.5310461,757.5969777,780.3248869,803.7346333,,,,,,,,,
Angola_South,Peak,144.9552,170.5496,182.5096,195.3666,209.0608,223.7118,239.4392,242.3096,245.2398,248.17,251.16,254.2098,255.944,257.738,259.532,261.326,263.12,264.914,266.7678,268.6216,270.4754,272.3292,280.499076,288.9140483,297.5814697,306.5089138,315.7041812,325.1753067,334.9305659,344.9784829,355.3278374,365.9876724,376.9673026,,,,,,,,,
Botswana,Peak,675,783,919,998,1018,1050,1088,1117,1150,1183,1193,1202,1212,1244,1278,1312,1330,1349,1368,1387,1406,1426,1477.336,1530.520096,1585.618819,1642.701097,1701.838336,1763.104517,1826.576279,1892.333025,1960.457014,2031.033467,2104.150671,,,,,,,,,
DRC,Peak,3311.703004,3474.881339,3646.1,3825.755159,4014.262509,4212.058227,4419.599981,4637.367989,4865.866133,5105.62312,5357.193711,5621.16,5898.132763,6188.752871,6493.692774,6813.658053,7149.389058,7501.662618,7871.293837,8259.137983,8666.092467,9093.098917,9541.145358,10011.2685,10504.55613,11022.14964,11565.24666,12135.10383,12733.0397,13360.43782,14018.74987,14709.49909,15434.28376,,,,,,,,,
DRC_South,Peak,803.3425019,844.1878742,887.11,932.2144705,979.6122453,1029.419926,1081.760042,1136.761354,1194.559169,1255.295671,1319.120277,1386.19,1456.669834,1530.733165,1608.562193,1690.348382,1776.292931,1866.607268,1961.513574,2061.245322,2166.047859,2276.179006,2391.909692,2513.524621,2641.322974,2775.619143,2916.743504,3065.043231,3220.883151,3384.646641,3556.736567,3737.576282,3927.610662,,,,,,,,,
Eswatini,Peak,260,262,266,272,279,285,293,301,309,316,321,324,328,333,338,340,343,345,348,351,352,354,359.31,364.69965,370.1701448,375.7226969,381.3585374,387.0789154,392.8850992,398.7783757,404.7600513,410.8314521,416.9939238,,,,,,,,,
Lesotho,Peak,204,205,207,209,215,215,220,227,235,246,255,263,269,282,287,292,296,301,308,314,321,328,335.544,343.261512,351.1565268,359.2331269,367.4954888,375.9478851,384.5946864,393.4403642,402.4894926,411.7467509,421.2169262,,,,,,,,,
Malawi,Peak,387,488,586,627,661,718,770,843,907,990,1056,1136,1222,1306,1410,1519,1642,1773,1914,2066,2230,2408,2627.128,2866.196648,3127.020543,3411.579412,3722.033139,4060.738155,4430.265327,4833.419471,5273.260643,5753.127362,6276.661952,,,,,,,,,
Mozambique_Central,Peak,526.5868498,551.3139755,585.881488,615.1503305,637.1019625,680.5005912,720.6190911,731.7210658,742.8230407,778.1475059,789.5017984,801.360726,812.967336,825.0785812,837.1898264,849.5533893,861.4123168,873.5235622,885.8871248,898.2506877,910.8665681,923.7347661,948.6756049,974.2898463,1000.595672,1027.611755,1055.357273,1083.851919,1113.115921,1143.170051,1174.035642,1205.734605,1238.289439,,,,,,,,,
Mozambique_South,Peak,957.65151,1002.620292,1065.484814,1118.713168,1158.634434,1237.559235,1310.518789,1330.708854,1350.89892,1415.140037,1435.788967,1457.355628,1478.463424,1500.48895,1522.514476,1544.998866,1566.565527,1588.591053,1611.075444,1633.559835,1656.503091,1679.905213,1725.262653,1771.844745,1819.684553,1868.816036,1919.274069,1971.094468,2024.314019,2078.970497,2135.102701,2192.750474,2251.954737,,,,,,,,,
Mozambique_North,Peak,602.7616402,631.0657324,670.6336983,704.1365015,729.2636039,778.9401742,824.8621199,837.5700797,850.2780395,890.7124573,903.7092343,917.2836459,930.5692402,944.4324693,958.2956981,972.4477443,986.022156,999.8853849,1014.037431,1028.189477,1042.63034,1057.360021,1085.908742,1115.228278,1145.339442,1176.263606,1208.022724,1240.639337,1274.136599,1308.538288,1343.868822,1380.153279,1417.417417,,,,,,,,,
Namibia,Peak,672,782,900,937,959,986,1011,1027,1109,1129,1145,1161,1175,1195,1211,1228,1243,1258,1274,1289,1305,1321,1364.593,1409.624569,1456.14218,1504.194872,1553.833302,1605.109801,1658.078425,1712.795013,1769.317248,1827.704718,1888.018973,,,,,,,,,
South_Africa,Peak,35485,36243,37000,37740,38495,39265,40050,40851,41668,42501,43351,43999,44656,45323,46000,46687,47384,48092,48810,49539,50279,51030,51897.51,52779.76767,53677.02372,54589.53312,55517.55519,56461.35362,57421.19664,58397.35698,59390.11205,60399.74395,61426.5396,,,,,,,,,
Tanzania,Peak,1890,2343,2919,3425,4014,4373,4852,5184,5388,5564,5734,5906,6069,6242,6406,6747,6931,7116,7288,7477,7654,7850,8399.5,8987.465,9616.58755,10289.74868,11010.03109,11780.73326,12605.38459,13487.76151,14431.90482,15442.13815,16523.08783,,,,,,,,,
Zambia,Peak,2286,2653,3038,3416,3840,4317,4854,5068,5292,5525,5768,6023,6288,6566,6855,7157,7473,7684,7902,8125,8355,8592,9150.48,9745.2612,10378.70318,11053.31888,11771.78461,12536.95061,13351.8524,14219.72281,15144.00479,16128.3651,17176.70883,,,,,,,,,
Zimbabwe_East,Peak,810.04,978.5600002,1077.12,1175.68,1274.24,1372.8,1471.36,1569.92,1668.480001,1723.48,1779.360001,1837.440001,1896.4,1958,2021.36,2086.48,2153.8,2223.76,2295.92,2370.28,2447.28,2526.92,2668.42752,2817.859461,2975.659591,3142.296528,3318.265133,3504.08798,3700.316908,3907.534654,4126.356595,4357.432564,4601.448789,,,,,,,,,
Zimbabwe_West,Peak,1030.96,1245.44,1370.88,1496.32,1621.76,1747.2,1872.64,1998.08,2123.519999,2193.52,2264.639999,2338.559999,2413.6,2492,2572.64,2655.52,2741.2,2830.24,2922.08,3016.72,3114.72,3216.08,3396.18048,3586.366587,3787.203116,3999.28649,4223.246534,4459.74834,4709.494247,4973.225925,5251.726576,5545.823265,5856.389367,,,,,,,,,
Mozal,Peak,950,950,950,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
