zone,q,d,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Romania,Q2,d7,89.2400,85.0700,85.8300,91.9600,100.8500,138.7700,142.8500,141.5000,125.5400,100.9900,100.9900,60.9300,29.4100,62.3400,71.5600,85.1100,122.1900,142.9500,173.4800,125.4500,109.6100,98.7600,93.0200,83.2000
Romania,Q3,d1,96.1800,94.7700,94.3000,103.9500,136.6300,149.2200,125.0700,104.3800,93.5800,89.4600,83.2000,77.1000,72.8100,119.7200,111.9500,132.3200,159.8900,259.6800,157.2000,116.7900,104.4200,95.7700,96.2400,94.0200
Romania,Q3,d2,1.0900,0.0800,0.4900,50.1200,106.6900,139.1500,143.0000,118.3200,94.4300,89.0100,77.5000,76.1100,84.0900,92.0600,97.4600,125.2800,190.7700,350.3200,228.2200,124.9000,105.2500,88.0200,113.2400,107.9900
Romania,Q3,d3,29.1500,20.1100,20.3500,13.6900,25.0100,22.6000,29.9500,17.4100,4.6500,0.0100,0.0000,0.0000,0.0000,0.0600,8.9900,42.8000,107.1300,132.1700,133.0500,132.7300,83.6900,71.8200,71.7400,20.3600
Romania,Q3,d4,85.0000,80.3400,85.9900,91.6700,108.8000,130.0000,126.0000,102.6800,81.8400,63.1100,67.1400,66.9300,72.1800,82.0000,88.3000,103.1400,133.5300,167.2700,147.1100,118.0000,101.4000,73.7100,84.6200,81.5200
Romania,Q3,d5,92.6600,93.0000,85.6600,40.0000,40.0000,75.9800,76.0900,87.4800,60.7000,40.0000,50.5300,64.8000,84.8000,93.2600,97.3100,110.2400,130.8600,154.9800,158.2600,136.1000,119.9000,99.9900,104.8800,98.3800
Romania,Q3,d6,95.7400,93.6800,95.9300,100.6100,117.2300,146.4200,121.2200,103.0900,97.2900,111.8900,122.0100,122.0000,122.0100,122.0100,168.4600,200.0200,224.3700,224.7000,219.9200,192.2400,135.8500,118.7100,109.6200,104.9100
Romania,Q3,d7,103.6100,102.5600,103.6000,113.1700,149.2900,206.8400,145.9300,123.2200,108.1800,101.5900,96.5700,94.0700,97.1100,99.9000,109.1000,139.2700,183.7000,269.6900,182.8600,136.6200,115.5500,93.7700,106.4500,99.9000
Romania,Q4,d1,107.1400,101.4000,103.2300,123.7800,170.0000,199.6100,151.1100,132.0500,103.0500,81.8700,84.0300,75.9000,87.0600,145.0000,164.1100,185.8900,223.1400,249.8600,194.9900,150.3200,141.5300,109.4100,76.9300,62.5800
Romania,Q4,d2,70.4900,67.4700,51.5000,68.2900,81.2900,105.0300,122.0100,138.7200,142.7400,122.0100,122.0100,122.0100,122.0100,122.0100,150.0000,164.0100,189.9800,177.0000,156.3700,125.4300,122.0000,55.0000,39.7100,95.0000
Romania,Q4,d3,97.3800,90.6100,69.7800,60.0000,81.6400,60.4200,92.0800,55.6700,42.8000,9.6600,3.9300,0.2000,9.6600,68.8600,95.0000,118.1600,122.0000,103.6100,90.5400,86.3700,50.3000,28.7700,10.0000,25.0000
Romania,Q4,d4,90.8200,92.6900,95.6600,103.7800,153.5300,174.0900,170.0000,131.1100,94.4300,76.9200,70.0900,64.0000,72.6700,94.2300,142.1000,173.2200,300.0600,290.0700,176.0000,142.4200,113.2000,82.9100,79.6200,89.6900
Romania,Q4,d5,88.7200,87.7600,90.3700,100.0000,130.6800,147.8100,154.6700,149.0000,146.3700,140.0000,131.1100,120.0900,119.6000,125.0000,132.5700,142.0600,166.3000,175.5000,141.4900,122.5000,117.0600,104.8500,104.5600,97.0000
Romania,Q4,d6,11.4700,10.0000,5.7300,9.7300,23.6000,119.2200,136.7000,116.5500,89.5900,85.0100,76.2900,73.0000,74.3700,81.3700,105.6100,109.8800,122.0000,114.6300,95.1800,79.7800,54.4100,45.5300,23.1800,45.7200
Romania,Q4,d7,46.0500,41.1200,30.1300,54.4900,103.6400,122.0100,170.5300,178.8900,132.3500,122.0000,118.1100,119.9400,122.0000,138.1300,172.3400,220.3000,178.0800,148.0700,124.0300,137.2200,122.0000,68.8000,35.1400,21.5600
Bulgaria,Q1,d1,60.9800,93.0000,70.3600,140.1900,150.9000,170.5400,195.4800,190.3100,161.5700,153.3900,157.1900,157.0300,155.6200,162.5200,171.8700,189.9800,222.2600,245.6000,229.0000,196.8000,188.1800,153.3900,153.3900,152.9500
Bulgaria,Q1,d2,85.2600,77.9700,74.4200,89.8800,114.3100,188.0300,184.5400,174.8700,180.0900,183.8300,173.5000,169.4100,172.0000,216.4300,301.9500,362.3100,329.4800,317.0000,255.2800,255.8000,190.0600,179.9900,137.9000,139.8300
Bulgaria,Q1,d3,6.0700,0.5600,0.5600,3.0000,33.4500,141.4800,155.9600,151.3900,133.8800,50.0000,9.7200,20.0000,28.7600,85.9000,125.0000,160.5500,165.3500,158.9000,155.8000,133.8900,131.6800,17.5700,50.1700,22.6700
Bulgaria,Q1,d4,87.4800,83.9900,84.9000,93.6400,115.0000,142.9900,139.6000,124.7500,20.0000,9.7500,9.7500,9.7500,9.7500,9.7500,9.7500,9.7500,69.0400,130.9400,131.4700,116.7300,106.8100,94.0100,88.7600,89.4600
Bulgaria,Q1,d5,105.1200,105.4400,105.6900,114.5200,116.9100,147.3500,180.8100,197.7200,171.9900,168.2200,147.3200,144.5900,147.3100,152.6400,166.5800,188.6800,228.4400,205.5600,215.0500,176.4800,147.3400,122.8000,100.2500,99.7700
Bulgaria,Q1,d6,128.1800,114.6100,112.4800,125.5100,138.3100,159.8000,185.0000,217.0900,115.5400,170.0200,160.8400,95.3900,104.0700,101.6500,148.1900,153.3600,160.9100,184.6500,179.7800,152.7100,135.5600,123.0600,111.4500,122.7300
Bulgaria,Q1,d7,118.0900,110.0000,109.3900,115.8000,129.9500,147.7600,181.0000,179.9200,148.0500,133.0400,81.0800,99.4100,90.5400,113.5500,130.9900,135.2700,148.7500,166.1800,185.3100,150.8100,143.5700,121.5200,114.5100,115.6400
Bulgaria,Q2,d1,58.5100,60.4600,58.5100,60.4600,58.7200,70.0800,75.5500,66.0900,52.5300,52.9600,48.1700,27.7500,14.9500,16.3100,31.6900,41.7400,100.4100,130.0000,131.1900,120.1400,112.4900,109.1600,97.3200,99.1100
Bulgaria,Q2,d2,90.3500,91.6600,92.8100,95.8500,110.9200,104.9500,12.8200,9.7200,9.7200,9.7200,9.7200,9.7200,9.7200,15.3400,84.4400,99.3100,115.3000,125.9100,132.9200,124.3400,116.7100,105.4800,115.5900,108.5600
Bulgaria,Q2,d3,86.9800,86.2500,88.0100,97.7300,100.4300,103.1700,103.3800,103.3200,87.6600,85.9100,90.7800,80.9600,86.6400,101.7400,105.6700,107.9200,117.4400,141.5100,151.2000,140.3400,119.2600,108.4300,107.1200,102.7700
Bulgaria,Q2,d4,101.4200,102.9400,102.0800,117.7100,141.5600,167.8100,148.4700,124.3300,117.7000,113.3700,109.3000,106.0600,99.8800,108.1600,108.3700,111.7300,120.8400,139.8400,148.0200,135.3500,124.9300,101.7900,78.9600,73.1000
Bulgaria,Q2,d5,119.8300,117.9900,118.2400,117.8600,120.0000,118.9000,122.9800,112.2100,100.0000,87.0000,81.9600,60.0100,55.0000,56.0000,74.0000,86.3500,115.2000,129.9700,133.4600,126.3900,115.0000,106.9400,98.2100,81.8500
Bulgaria,Q2,d6,70.0700,70.2200,73.0300,85.9100,107.1400,112.5100,99.9500,86.2800,75.0000,70.0800,69.2700,69.5700,70.6700,73.8300,78.3000,89.4600,99.7400,130.3500,149.7700,126.3200,101.0000,88.9400,78.6900,70.9000
Bulgaria,Q2,d7,89.2400,85.0700,85.8300,91.9600,100.8500,138.7700,142.8500,141.5000,125.5400,100.9900,100.9900,60.9300,29.4100,62.3400,71.5600,85.1100,122.1900,142.9500,173.4800,125.4500,109.6100,98.7600,93.0200,83.2000
Bulgaria,Q3,d1,96.1800,94.7700,94.3000,103.9500,136.6300,149.2200,125.0700,104.3800,93.5800,89.4600,83.2000,77.1000,72.8100,119.7200,111.9500,132.3200,159.8900,259.6800,157.2000,116.7900,104.4200,95.7700,96.2400,94.0200
Bulgaria,Q3,d2,1.0900,0.0800,0.4900,50.1200,106.6900,139.1500,143.0000,118.3200,94.4300,89.0100,77.5000,76.1100,84.0900,92.0600,97.4600,125.2800,190.7700,350.3200,228.2200,124.9000,105.2500,88.0200,113.2400,107.9900
Bulgaria,Q3,d3,29.1500,20.3500,20.3500,15.3000,25.0100,22.6000,29.9500,17.4100,4.6500,0.0100,0.0000,0.0000,0.0000,0.0600,8.9900,42.8000,107.1300,132.1700,133.0500,132.7300,83.6900,71.8200,71.7400,20.3600
Bulgaria,Q3,d4,85.0000,80.3400,85.9900,91.6700,108.8000,130.0000,126.0000,102.6800,81.8400,63.1100,67.1400,66.9300,72.1800,82.0000,88.3000,103.1400,133.5300,142.7200,147.1100,118.0000,101.4000,73.7100,84.6200,81.5200
Bulgaria,Q3,d5,92.6600,93.0000,85.6600,40.0000,40.0000,75.9800,76.0900,87.4800,60.7000,40.0000,50.5300,64.8000,84.8000,93.2600,97.3100,110.2400,130.8600,154.9800,158.2600,136.1000,119.9000,99.9900,104.8800,98.3800
Bulgaria,Q3,d6,95.7400,93.6800,95.9300,100.6100,117.2300,146.4200,121.2200,103.0900,97.2900,111.8900,122.0100,122.0000,122.0100,122.0100,168.4600,200.0200,224.3700,224.7000,219.9200,192.2400,135.8500,118.7100,109.6200,104.9100
Bulgaria,Q3,d7,103.6100,102.5600,103.6000,113.1700,149.2900,142.1000,78.9800,56.7700,63.1000,10.0700,10.0300,20.0000,71.9000,99.3200,109.1000,139.2700,183.7000,269.6900,182.8600,136.6200,115.5500,93.7700,106.4500,99.9000
Bulgaria,Q4,d1,107.1400,101.4000,103.2300,123.7800,170.0000,199.6100,151.1100,132.0500,103.0500,81.8700,84.0300,75.9000,87.0600,145.0000,164.1100,185.8900,223.1400,249.8600,194.9900,150.3200,141.5300,109.4100,76.9300,62.5800
Bulgaria,Q4,d2,70.4900,67.4700,51.5000,68.2900,81.2900,105.0300,122.0100,122.0100,122.0100,122.0100,122.0100,122.0100,122.0100,122.0100,122.0100,133.2300,156.8700,146.9600,156.3700,125.4300,122.0000,55.0000,39.7100,95.0000
Bulgaria,Q4,d3,97.3800,90.6100,69.7800,60.0000,81.6400,60.4200,92.0800,55.6700,42.8000,9.6600,3.9300,0.2000,9.6600,68.8600,95.0000,118.1600,122.0000,103.6100,90.5400,86.3700,50.3000,28.7700,10.0000,25.0000
Bulgaria,Q4,d4,90.8200,92.6900,95.6600,103.7800,153.5300,174.0900,170.0000,131.1100,94.4300,76.9200,70.0900,64.0000,72.6700,94.2300,142.1000,173.2200,300.0600,290.0700,176.0000,142.4200,113.2000,82.9100,79.6200,89.6900
Bulgaria,Q4,d5,88.7200,87.7600,90.3700,100.0000,130.6800,147.8100,154.6700,149.0000,146.3700,140.0000,131.1100,120.0900,119.6000,125.0000,132.5700,142.0600,166.3000,175.5000,141.4900,122.5000,117.0600,104.8500,104.5600,97.0000
Bulgaria,Q4,d6,55.9700,41.0700,41.0600,60.9000,74.4300,119.2200,136.7000,116.5500,89.5900,85.0100,76.2900,73.0000,74.3700,81.3700,105.6100,109.8800,122.0000,114.6300,95.1800,79.7800,54.4100,45.5300,23.1800,45.7200
Bulgaria,Q4,d7,46.0500,41.1200,30.1300,54.4900,103.6400,122.0100,170.5300,178.8900,132.3500,122.0000,118.1100,119.9400,122.0000,138.1300,172.3400,220.3000,178.0800,148.0700,124.0300,137.2200,122.0000,68.8000,35.1400,21.5600
Greece,Q1,d1,148.8000,93.0000,72.5900,140.1900,152.6000,170.5400,195.4800,190.3100,161.5700,153.3900,157.1900,157.0400,155.6200,162.5200,171.8700,189.9800,222.2600,245.6000,229.0000,196.8000,188.1800,173.2700,163.0200,152.9500
Greece,Q1,d2,216.2900,155.1800,130.0000,150.1300,257.3100,260.7900,261.1800,217.7200,191.2200,183.8300,173.5000,169.4100,172.0000,216.4300,301.9500,362.3100,329.4800,317.0000,255.2800,255.8000,190.0600,179.9900,137.9000,150.9800
Greece,Q1,d3,6.0700,0.5600,0.5600,3.0000,33.4500,151.3900,155.9600,151.3900,133.8800,50.0000,9.7200,20.0000,28.7600,85.9000,125.0000,160.5500,165.3500,158.9000,155.8000,154.7000,151.3900,102.5600,57.6100,22.6700
Greece,Q1,d4,87.4800,83.9900,84.9000,120.7800,136.0000,142.9900,139.6000,124.7500,20.0000,9.7500,9.7500,9.7500,9.7500,72.2500,97.3700,133.5200,69.0500,146.3200,131.9400,127.1800,112.0000,94.0100,88.7600,89.4600
Greece,Q1,d5,268.3300,231.0000,223.8500,241.0000,261.0000,261.0000,269.5100,233.3300,171.9900,168.2200,147.3200,144.5900,147.3100,152.6400,166.5800,188.6800,228.4400,205.5600,215.0500,176.4800,166.5000,164.1800,156.3000,129.9300
Greece,Q1,d6,128.1800,114.6100,112.4800,125.5100,138.3100,159.8000,185.0000,217.0900,115.5400,170.0200,160.8400,95.3900,104.0700,101.6500,148.1900,153.3600,160.9100,184.5500,179.7800,152.7100,135.5600,123.0600,118.0000,138.1000
Greece,Q1,d7,133.0000,110.0000,120.0000,124.4100,132.7200,149.6100,181.0000,179.9200,148.0500,133.0400,95.0700,100.0000,101.3000,113.5500,130.9900,135.2700,148.7500,166.1800,185.3100,150.8100,143.5700,121.5200,128.1100,116.1200
Greece,Q2,d1,129.1500,128.3500,129.1900,129.6400,138.3700,138.3700,138.3700,138.3700,127.1700,124.5100,113.0000,65.0000,70.0000,113.9000,70.0000,138.3700,117.4800,186.5500,183.4400,127.8700,153.2700,139.5000,131.0000,100.0000
Greece,Q2,d2,125.1700,122.5900,124.4500,130.0000,140.3000,194.0800,134.1200,134.8000,93.0100,86.0100,84.0000,84.0000,84.0000,107.7000,117.2700,129.8700,125.6000,173.4300,209.0800,199.0800,204.0800,134.4100,121.0000,118.0300
Greece,Q2,d3,86.9800,86.2500,88.0100,97.7300,100.4300,103.1700,103.3800,103.3200,87.6600,85.9100,90.7800,80.9600,86.6400,101.7400,105.6700,107.9200,105.7600,122.8900,141.8500,105.4700,102.4100,105.3000,107.1200,102.7700
Greece,Q2,d4,101.4200,102.9400,108.7000,123.3400,141.5700,167.8100,150.0000,132.0200,117.6000,109.6100,101.8300,97.2500,95.0100,98.1200,117.7600,139.4700,187.0400,139.8400,148.0200,135.3500,124.9300,106.4000,87.8300,77.5800
Greece,Q2,d5,143.0300,136.1900,136.0000,135.0000,136.9900,134.2100,133.9900,132.9500,100.0000,87.0000,81.9600,60.0100,90.0000,125.4200,129.9700,134.1100,204.0400,204.0400,204.0400,175.0500,136.9200,134.1800,126.5000,126.5000
Greece,Q2,d6,70.0700,81.8700,86.5600,85.9100,107.1400,112.5200,99.9500,87.7000,75.0000,70.0800,69.2700,69.5700,70.6700,84.6500,95.0100,106.1600,99.7400,130.3500,149.7700,126.3200,101.0000,88.9400,78.6900,70.9000
Greece,Q2,d7,100.0000,100.0000,101.2100,102.1000,111.8000,119.8900,126.5500,90.0100,109.4200,102.2900,93.8500,93.8500,95.6000,101.9700,108.3500,112.0000,122.1900,142.9500,173.4900,125.4500,114.1600,110.5000,112.7300,99.0800
Greece,Q3,d1,96.1900,94.7700,94.3000,103.9500,136.6300,146.8300,118.2400,104.3800,93.5800,89.4700,83.2000,77.1000,72.8100,119.7200,111.9500,132.3200,159.8900,259.6800,157.2000,116.7900,104.4200,95.7700,96.2400,94.0200
Greece,Q3,d2,79.9000,78.9000,78.9000,98.0000,106.6900,139.1500,143.0000,118.3200,105.5400,109.9800,100.0000,76.1100,84.0900,92.0700,97.4600,120.5000,179.2300,207.8300,157.3100,124.9000,105.2500,88.0200,113.2400,107.9900
Greece,Q3,d3,102.5800,95.9200,101.5800,99.2000,98.0000,94.9400,95.0000,50.0000,88.0800,88.9500,87.2000,87.2000,87.2000,87.9500,95.0100,98.8300,110.1000,164.5300,181.8900,181.8900,140.4000,120.0000,117.3700,111.8200
Greece,Q3,d4,85.0000,80.3400,85.9900,91.6700,108.8000,130.0000,126.0000,102.6800,97.3300,90.3500,67.1400,66.9300,72.1800,82.0000,88.3100,103.1400,133.5300,142.7200,147.1100,105.5000,98.3600,73.7100,84.6200,81.5200
Greece,Q3,d5,92.6600,93.0000,85.6600,40.0000,40.0000,75.9800,76.0900,87.4800,60.7000,40.0000,50.5300,64.8000,84.8000,93.0900,97.3100,108.8800,126.1000,150.4500,155.0000,73.2700,119.9000,99.9900,104.8800,98.3800
Greece,Q3,d6,100.9800,97.8100,98.4800,100.6100,117.2300,146.4200,121.2200,110.0000,110.2800,111.8900,122.0100,122.0000,122.0100,126.0100,168.4600,200.0200,224.3700,224.7000,219.9200,192.2400,135.8500,146.0100,109.6200,162.7500
Greece,Q3,d7,103.6100,102.5600,103.6000,112.5200,136.0600,103.9300,78.9800,56.7700,63.1000,10.0700,10.0300,20.0000,71.9000,99.3200,109.1000,129.8500,183.7000,259.8700,182.8600,136.6200,115.5500,93.7700,106.4500,99.9000
Greece,Q4,d1,107.1400,101.4000,103.2300,123.7800,170.0000,199.6100,151.1100,118.8900,103.0500,81.8700,84.0300,75.9000,87.0600,106.5200,164.1100,185.8900,223.1400,249.8600,194.9900,150.3200,141.5300,109.4100,106.3100,100.0000
Greece,Q4,d2,70.4900,67.4700,51.5000,68.2900,81.2900,105.0300,122.0100,122.0100,119.9300,120.1400,122.0100,122.0100,118.4900,116.1100,119.5400,133.2400,148.4200,146.9600,153.9400,125.4300,122.0000,55.0000,39.7100,95.0100
Greece,Q4,d3,97.3800,90.6100,69.7800,60.0000,81.6400,60.4200,92.0800,55.6700,42.8000,9.6600,3.9300,0.2000,9.6600,68.8600,95.0000,118.1600,122.0000,103.6100,90.5400,86.3700,50.3000,28.7700,10.0000,25.0000
Greece,Q4,d4,90.8200,92.6900,95.6600,103.7800,153.5300,170.0000,170.0000,131.1100,94.4400,76.9200,70.0900,64.0000,72.6700,82.1200,142.1000,173.2200,300.0600,290.0700,176.0000,142.4200,113.2000,82.9100,79.6200,89.6900
Greece,Q4,d5,88.7200,87.7600,90.3700,100.0000,130.6800,147.8100,154.6700,149.0000,146.3700,140.0000,131.1100,115.3000,119.6000,125.0000,132.5700,142.0600,166.3000,175.5000,141.5000,122.5000,117.0600,104.8500,104.5600,97.0000
Greece,Q4,d6,55.9700,41.0700,41.0700,60.9000,74.4300,119.2200,136.7000,116.5600,89.5900,85.0100,76.2900,73.0000,74.3700,81.3700,105.6100,109.8800,122.0000,114.6300,95.1800,79.7800,54.4100,45.5300,23.1800,45.7200
Greece,Q4,d7,46.0500,41.1200,30.1300,54.4900,103.6400,122.0100,170.5300,178.8900,132.3500,122.0000,118.1100,119.9400,122.0000,138.1300,172.3400,220.3000,178.0800,148.0700,124.0300,137.2200,122.0100,106.4900,93.2800,61.5000
