zone,internal_zone,exporter,year,ef_tco2_per_mwh,ets_eur2024_per_t,C_eur2024_per_mwh,C_usd2024_per_mwh
Greece,Trakia,Türkiye,2024,0.7180,64.8000,0.0000,0.0000
Greece,Trakia,Türkiye,2025,0.7180,70.4000,0.0000,0.0000
Greece,Trakia,Türkiye,2026,0.7180,76.0000,54.5680,59.0644
Greece,Trakia,Türkiye,2027,0.7180,87.5948,62.8931,68.0755
Greece,Trakia,Türkiye,2028,0.7180,99.1896,71.2181,77.0865
Greece,Trakia,Türkiye,2029,0.7180,110.7844,79.5432,86.0976
Greece,Trakia,Türkiye,2030,0.7180,122.3792,87.8683,95.1086
Greece,Trakia,Türkiye,2031,0.7180,126.0052,90.4718,97.9266
Greece,Trakia,Türkiye,2032,0.7180,129.6313,93.0753,100.7447
Greece,Trakia,Türkiye,2033,0.7180,133.2573,95.6788,103.5627
Greece,Trakia,Türkiye,2034,0.7180,136.8834,98.2823,106.3807
Greece,Trakia,Türkiye,2035,0.7180,140.5095,100.8858,109.1988
Greece,Trakia,Türkiye,2036,0.7180,144.1355,103.4893,112.0168
Greece,Trakia,Türkiye,2037,0.7180,147.7616,106.0928,114.8348
Greece,Trakia,Türkiye,2038,0.7180,151.3876,108.6963,117.6529
Greece,Trakia,Türkiye,2039,0.7180,155.0137,111.2998,120.4709
Greece,Trakia,Türkiye,2040,0.7180,158.6397,113.9033,123.2889
Greece,Trakia,Türkiye,2041,0.7180,160.9060,115.5305,125.0502
Greece,Trakia,Türkiye,2042,0.7180,163.1723,117.1577,126.8115
Greece,Trakia,Türkiye,2043,0.7180,165.4385,118.7849,128.5728
Greece,Trakia,Türkiye,2044,0.7180,167.7048,120.4121,130.3340
Greece,Trakia,Türkiye,2045,0.7180,169.9711,122.0393,132.0953
Greece,Trakia,Türkiye,2046,0.7180,172.2374,123.6664,133.8566
Greece,Trakia,Türkiye,2047,0.7180,174.5037,125.2936,135.6178
Greece,Trakia,Türkiye,2048,0.7180,176.7700,126.9208,137.3791
Greece,Trakia,Türkiye,2049,0.7180,179.0362,128.5480,139.1404
Greece,Trakia,Türkiye,2050,0.7180,181.3025,130.1752,140.9016
Greece,Trakia,Türkiye,2051,0.7180,181.3025,130.1752,140.9016
Greece,Trakia,Türkiye,2052,0.7180,181.3025,130.1752,140.9016
Greece,Trakia,Türkiye,2053,0.7180,181.3025,130.1752,140.9016
Romania,Georgia,Georgia,2024,0.4400,64.8000,0.0000,0.0000
Romania,Georgia,Georgia,2025,0.4400,70.4000,0.0000,0.0000
Romania,Georgia,Georgia,2026,0.4400,76.0000,33.4400,36.1955
Romania,Georgia,Georgia,2027,0.4400,87.5948,38.5417,41.7175
Romania,Georgia,Georgia,2028,0.4400,99.1896,43.6434,47.2396
Romania,Georgia,Georgia,2029,0.4400,110.7844,48.7451,52.7617
Romania,Georgia,Georgia,2030,0.4400,122.3792,53.8468,58.2838
Romania,Georgia,Georgia,2031,0.4400,126.0052,55.4423,60.0108
Romania,Georgia,Georgia,2032,0.4400,129.6313,57.0378,61.7377
Romania,Georgia,Georgia,2033,0.4400,133.2573,58.6332,63.4646
Romania,Georgia,Georgia,2034,0.4400,136.8834,60.2287,65.1915
Romania,Georgia,Georgia,2035,0.4400,140.5095,61.8242,66.9185
Romania,Georgia,Georgia,2036,0.4400,144.1355,63.4196,68.6454
Romania,Georgia,Georgia,2037,0.4400,147.7616,65.0151,70.3723
Romania,Georgia,Georgia,2038,0.4400,151.3876,66.6105,72.0993
Romania,Georgia,Georgia,2039,0.4400,155.0137,68.2060,73.8262
Romania,Georgia,Georgia,2040,0.4400,158.6397,69.8015,75.5531
Romania,Georgia,Georgia,2041,0.4400,160.9060,70.7986,76.6324
Romania,Georgia,Georgia,2042,0.4400,163.1723,71.7958,77.7118
Romania,Georgia,Georgia,2043,0.4400,165.4385,72.7930,78.7911
Romania,Georgia,Georgia,2044,0.4400,167.7048,73.7901,79.8704
Romania,Georgia,Georgia,2045,0.4400,169.9711,74.7873,80.9498
Romania,Georgia,Georgia,2046,0.4400,172.2374,75.7845,82.0291
Romania,Georgia,Georgia,2047,0.4400,174.5037,76.7816,83.1084
Romania,Georgia,Georgia,2048,0.4400,176.7700,77.7788,84.1878
Romania,Georgia,Georgia,2049,0.4400,179.0362,78.7759,85.2671
Romania,Georgia,Georgia,2050,0.4400,181.3025,79.7731,86.3464
Romania,Georgia,Georgia,2051,0.4400,181.3025,79.7731,86.3464
Romania,Georgia,Georgia,2052,0.4400,181.3025,79.7731,86.3464
Romania,Georgia,Georgia,2053,0.4400,181.3025,79.7731,86.3464
