zone,scenario,year,L_eur2024,L_usd2024
Romania,VERY_LOW,2038,49.280,53.340
Romania,VERY_LOW,2039,46.272,50.084
Romania,VERY_LOW,2040,43.263,46.828
Romania,VERY_LOW,2041,43.389,46.964
Romania,VERY_LOW,2042,43.515,47.100
Romania,VERY_LOW,2043,43.641,47.237
Romania,VERY_LOW,2044,43.766,47.373
Romania,VERY_LOW,2045,43.892,47.509
Romania,VERY_LOW,2046,44.018,47.645
Romania,VERY_LOW,2047,44.144,47.781
Romania,VERY_LOW,2048,44.270,47.918
Romania,VERY_LOW,2049,44.396,48.054
Romania,VERY_LOW,2050,44.521,48.190
Romania,VERY_LOW,2051,44.521,48.190
Romania,VERY_LOW,2052,44.521,48.190
Romania,VERY_LOW,2053,44.521,48.190
Romania,HIGH,2024,103.538,112.070
Romania,HIGH,2025,100.720,109.020
Romania,HIGH,2026,97.904,105.971
Romania,HIGH,2027,95.087,102.922
Romania,HIGH,2028,92.271,99.875
Romania,HIGH,2029,89.456,96.828
Romania,HIGH,2030,86.642,93.781
Romania,HIGH,2031,89.417,96.785
Romania,HIGH,2032,92.357,99.968
Romania,HIGH,2033,95.479,103.347
Romania,HIGH,2034,98.800,106.941
Romania,HIGH,2035,102.339,110.772
Romania,HIGH,2036,106.590,115.373
Romania,HIGH,2037,111.183,120.344
Romania,HIGH,2038,116.159,125.730
Romania,HIGH,2039,121.568,131.586
Romania,HIGH,2040,127.471,137.974
Romania,HIGH,2041,128.517,139.107
Romania,HIGH,2042,129.580,140.257
Romania,HIGH,2043,130.661,141.427
Romania,HIGH,2044,131.760,142.617
Romania,HIGH,2045,132.878,143.827
Romania,HIGH,2046,134.015,145.057
Romania,HIGH,2047,135.171,146.309
Romania,HIGH,2048,136.348,147.583
Romania,HIGH,2049,137.545,148.879
Romania,HIGH,2050,138.763,150.197
Romania,HIGH,2051,138.763,150.197
Romania,HIGH,2052,138.763,150.197
Romania,HIGH,2053,138.763,150.197
Romania,EU_HIGH,2024,103.538,112.070
Romania,EU_HIGH,2025,115.320,124.822
Romania,EU_HIGH,2026,127.102,137.575
Romania,EU_HIGH,2027,138.883,150.327
Romania,EU_HIGH,2028,150.665,163.080
Romania,EU_HIGH,2029,162.447,175.832
Romania,EU_HIGH,2030,174.229,188.585
Romania,EU_HIGH,2031,174.229,188.585
Romania,EU_HIGH,2032,174.229,188.585
Romania,EU_HIGH,2033,174.229,188.585
Romania,EU_HIGH,2034,174.229,188.585
Romania,EU_HIGH,2035,174.229,188.585
Romania,EU_HIGH,2036,174.229,188.585
Romania,EU_HIGH,2037,174.229,188.585
Romania,EU_HIGH,2038,174.229,188.585
Romania,EU_HIGH,2039,174.229,188.585
Romania,EU_HIGH,2040,174.229,188.585
Romania,EU_HIGH,2041,174.229,188.585
Romania,EU_HIGH,2042,174.229,188.585
Romania,EU_HIGH,2043,174.229,188.585
Romania,EU_HIGH,2044,174.229,188.585
Romania,EU_HIGH,2045,174.229,188.585
Romania,EU_HIGH,2046,174.229,188.585
Romania,EU_HIGH,2047,174.229,188.585
Romania,EU_HIGH,2048,174.229,188.585
Romania,EU_HIGH,2049,174.229,188.585
Romania,EU_HIGH,2050,174.229,188.585
Romania,EU_HIGH,2051,174.229,188.585
Romania,EU_HIGH,2052,174.229,188.585
Romania,EU_HIGH,2053,174.229,188.585
Bulgaria,CENTRAL,2024,101.837,110.229
Bulgaria,CENTRAL,2025,99.889,108.120
Bulgaria,CENTRAL,2026,97.941,106.012
Bulgaria,CENTRAL,2027,95.993,103.903
Bulgaria,CENTRAL,2028,94.045,101.794
Bulgaria,CENTRAL,2029,92.097,99.686
Bulgaria,CENTRAL,2030,90.149,97.577
Bulgaria,CENTRAL,2031,90.281,97.720
Bulgaria,CENTRAL,2032,90.412,97.862
Bulgaria,CENTRAL,2033,90.544,98.005
Bulgaria,CENTRAL,2034,90.676,98.148
Bulgaria,CENTRAL,2035,90.808,98.291
Bulgaria,CENTRAL,2036,90.940,98.434
Bulgaria,CENTRAL,2037,91.072,98.577
Bulgaria,CENTRAL,2038,91.204,98.719
Bulgaria,CENTRAL,2039,91.336,98.862
Bulgaria,CENTRAL,2040,91.468,99.005
Bulgaria,CENTRAL,2041,91.468,99.005
Bulgaria,CENTRAL,2042,91.468,99.005
Bulgaria,CENTRAL,2043,91.468,99.005
Bulgaria,CENTRAL,2044,91.468,99.005
Bulgaria,CENTRAL,2045,91.468,99.005
Bulgaria,CENTRAL,2046,91.468,99.005
Bulgaria,CENTRAL,2047,91.468,99.005
Bulgaria,CENTRAL,2048,91.468,99.005
Bulgaria,CENTRAL,2049,91.468,99.005
Bulgaria,CENTRAL,2050,91.468,99.005
Bulgaria,CENTRAL,2051,91.468,99.005
Bulgaria,CENTRAL,2052,91.468,99.005
Bulgaria,CENTRAL,2053,91.468,99.005
Bulgaria,LOW,2024,101.837,110.229
Bulgaria,LOW,2025,99.437,107.631
Bulgaria,LOW,2026,97.037,105.033
Bulgaria,LOW,2027,94.637,102.435
Bulgaria,LOW,2028,92.237,99.837
Bulgaria,LOW,2029,89.836,97.239
Bulgaria,LOW,2030,87.436,94.641
Bulgaria,LOW,2031,85.036,92.043
Bulgaria,LOW,2032,82.636,89.445
Bulgaria,LOW,2033,80.236,86.847
Bulgaria,LOW,2034,77.835,84.249
Bulgaria,LOW,2035,75.435,81.651
Bulgaria,LOW,2036,72.441,78.411
Bulgaria,LOW,2037,69.448,75.170
Bulgaria,LOW,2038,66.454,71.930
Bulgaria,LOW,2039,63.460,68.689
Bulgaria,LOW,2040,60.466,65.448
Bulgaria,LOW,2041,59.826,64.755
Bulgaria,LOW,2042,59.186,64.063
Bulgaria,LOW,2043,58.545,63.370
Bulgaria,LOW,2044,57.905,62.677
Bulgaria,LOW,2045,57.265,61.984
Bulgaria,LOW,2046,56.625,61.291
Bulgaria,LOW,2047,55.985,60.598
Bulgaria,LOW,2048,55.344,59.905
Bulgaria,LOW,2049,54.704,59.212
Bulgaria,LOW,2050,54.064,58.519
Bulgaria,LOW,2051,54.064,58.519
Bulgaria,LOW,2052,54.064,58.519
Bulgaria,LOW,2053,54.064,58.519
Bulgaria,VERY_LOW,2024,101.837,110.229
Bulgaria,VERY_LOW,2025,97.755,105.810
Bulgaria,VERY_LOW,2026,93.672,101.390
Bulgaria,VERY_LOW,2027,89.589,96.971
Bulgaria,VERY_LOW,2028,85.506,92.552
Bulgaria,VERY_LOW,2029,81.423,88.132
Bulgaria,VERY_LOW,2030,77.340,83.713
Bulgaria,VERY_LOW,2031,73.257,79.294
Bulgaria,VERY_LOW,2032,69.174,74.874
Bulgaria,VERY_LOW,2033,65.091,70.455
Bulgaria,VERY_LOW,2034,61.009,66.036
Bulgaria,VERY_LOW,2035,56.926,61.616
Bulgaria,VERY_LOW,2036,53.927,58.371
Bulgaria,VERY_LOW,2037,50.929,55.125
Bulgaria,VERY_LOW,2038,47.931,51.880
Bulgaria,VERY_LOW,2039,44.932,48.635
Bulgaria,VERY_LOW,2040,41.934,45.389
Bulgaria,VERY_LOW,2041,42.112,45.582
Bulgaria,VERY_LOW,2042,42.291,45.776
Bulgaria,VERY_LOW,2043,42.470,45.969
Bulgaria,VERY_LOW,2044,42.648,46.162
Bulgaria,VERY_LOW,2045,42.827,46.356
Bulgaria,VERY_LOW,2046,43.005,46.549
Bulgaria,VERY_LOW,2047,43.184,46.742
Bulgaria,VERY_LOW,2048,43.363,46.936
Bulgaria,VERY_LOW,2049,43.541,47.129
Bulgaria,VERY_LOW,2050,43.720,47.322
Bulgaria,VERY_LOW,2051,43.720,47.322
Bulgaria,VERY_LOW,2052,43.720,47.322
Bulgaria,VERY_LOW,2053,43.720,47.322
Bulgaria,HIGH,2024,101.837,110.229
Bulgaria,HIGH,2025,100.343,108.612
Bulgaria,HIGH,2026,98.854,106.999
Bulgaria,HIGH,2027,97.369,105.392
Bulgaria,HIGH,2028,95.889,103.790
Bulgaria,HIGH,2029,94.414,102.194
Bulgaria,HIGH,2030,92.945,100.604
Bulgaria,HIGH,2031,95.849,103.746
Bulgaria,HIGH,2032,98.921,107.072
Bulgaria,HIGH,2033,102.178,110.597
Bulgaria,HIGH,2034,105.636,114.340
Bulgaria,HIGH,2035,109.314,118.322
Bulgaria,HIGH,2036,114.163,123.570
Bulgaria,HIGH,2037,119.430,129.271
Bulgaria,HIGH,2038,125.173,135.487
Bulgaria,HIGH,2039,131.457,142.290
Bulgaria,HIGH,2040,138.365,149.766
Bulgaria,HIGH,2041,139.846,151.369
Bulgaria,HIGH,2042,141.359,153.006
Bulgaria,HIGH,2043,142.904,154.680
Bulgaria,HIGH,2044,144.484,156.390
Bulgaria,HIGH,2045,146.099,158.138
Bulgaria,HIGH,2046,147.751,159.926
Bulgaria,HIGH,2047,149.441,161.755
Bulgaria,HIGH,2048,151.169,163.626
Bulgaria,HIGH,2049,152.939,165.541
Bulgaria,HIGH,2050,154.750,167.501
Bulgaria,HIGH,2051,154.750,167.501
Bulgaria,HIGH,2052,154.750,167.501
Bulgaria,HIGH,2053,154.750,167.501
Bulgaria,EU_HIGH,2024,101.837,110.229
Bulgaria,EU_HIGH,2025,112.991,122.302
Bulgaria,EU_HIGH,2026,124.145,134.375
Bulgaria,EU_HIGH,2027,135.299,146.448
Bulgaria,EU_HIGH,2028,146.454,158.521
Bulgaria,EU_HIGH,2029,157.608,170.594
Bulgaria,EU_HIGH,2030,168.762,182.667
Bulgaria,EU_HIGH,2031,168.762,182.667
Bulgaria,EU_HIGH,2032,168.762,182.667
Bulgaria,EU_HIGH,2033,168.762,182.667
Bulgaria,EU_HIGH,2034,168.762,182.667
Bulgaria,EU_HIGH,2035,168.762,182.667
Bulgaria,EU_HIGH,2036,168.762,182.667
Bulgaria,EU_HIGH,2037,168.762,182.667
Bulgaria,EU_HIGH,2038,168.762,182.667
Bulgaria,EU_HIGH,2039,168.762,182.667
Bulgaria,EU_HIGH,2040,168.762,182.667
Bulgaria,EU_HIGH,2041,168.762,182.667
Bulgaria,EU_HIGH,2042,168.762,182.667
Bulgaria,EU_HIGH,2043,168.762,182.667
Bulgaria,EU_HIGH,2044,168.762,182.667
Bulgaria,EU_HIGH,2045,168.762,182.667
Bulgaria,EU_HIGH,2046,168.762,182.667
Bulgaria,EU_HIGH,2047,168.762,182.667
Bulgaria,EU_HIGH,2048,168.762,182.667
Bulgaria,EU_HIGH,2049,168.762,182.667
Bulgaria,EU_HIGH,2050,168.762,182.667
Bulgaria,EU_HIGH,2051,168.762,182.667
Bulgaria,EU_HIGH,2052,168.762,182.667
Bulgaria,EU_HIGH,2053,168.762,182.667
Greece,CENTRAL,2024,100.881,109.193
Greece,CENTRAL,2025,99.015,107.174
Greece,CENTRAL,2026,97.149,105.154
Greece,CENTRAL,2027,95.284,103.135
Greece,CENTRAL,2028,93.418,101.115
Greece,CENTRAL,2029,91.552,99.096
Greece,CENTRAL,2030,89.686,97.076
Greece,CENTRAL,2031,90.198,97.631
Greece,CENTRAL,2032,90.710,98.185
Greece,CENTRAL,2033,91.222,98.739
Greece,CENTRAL,2034,91.734,99.293
Greece,CENTRAL,2035,92.246,99.847
Greece,CENTRAL,2036,92.758,100.402
Greece,CENTRAL,2037,93.270,100.956
Greece,CENTRAL,2038,93.782,101.510
Greece,CENTRAL,2039,94.295,102.064
Greece,CENTRAL,2040,94.807,102.619
Greece,CENTRAL,2041,94.807,102.619
Greece,CENTRAL,2042,94.807,102.619
Greece,CENTRAL,2043,94.807,102.619
Greece,CENTRAL,2044,94.807,102.619
Greece,CENTRAL,2045,94.807,102.619
Greece,CENTRAL,2046,94.807,102.619
Greece,CENTRAL,2047,94.807,102.619
Greece,CENTRAL,2048,94.807,102.619
Greece,CENTRAL,2049,94.807,102.619
Greece,CENTRAL,2050,94.807,102.619
Greece,CENTRAL,2051,94.807,102.619
Greece,CENTRAL,2052,94.807,102.619
Greece,CENTRAL,2053,94.807,102.619
Greece,LOW,2024,100.881,109.193
Greece,LOW,2025,96.660,104.625
Greece,LOW,2026,92.440,100.057
Greece,LOW,2027,88.219,95.489
Greece,LOW,2028,83.999,90.920
Greece,LOW,2029,79.778,86.352
Greece,LOW,2030,75.558,81.784
Greece,LOW,2031,71.337,77.216
Greece,LOW,2032,67.117,72.647
Greece,LOW,2033,62.896,68.079
Greece,LOW,2034,58.676,63.511
Greece,LOW,2035,54.455,58.943
Greece,LOW,2036,54.296,58.770
Greece,LOW,2037,54.136,58.597
Greece,LOW,2038,53.977,58.425
Greece,LOW,2039,53.817,58.252
Greece,LOW,2040,53.658,58.079
Greece,LOW,2041,52.476,56.799
Greece,LOW,2042,51.293,55.520
Greece,LOW,2043,50.111,54.240
Greece,LOW,2044,48.929,52.960
Greece,LOW,2045,47.746,51.681
Greece,LOW,2046,46.564,50.401
Greece,LOW,2047,45.382,49.121
Greece,LOW,2048,44.200,47.842
Greece,LOW,2049,43.017,46.562
Greece,LOW,2050,41.835,45.282
Greece,LOW,2051,41.835,45.282
Greece,LOW,2052,41.835,45.282
Greece,LOW,2053,41.835,45.282
Greece,VERY_LOW,2024,100.881,109.193
Greece,VERY_LOW,2025,95.879,103.779
Greece,VERY_LOW,2026,90.877,98.365
Greece,VERY_LOW,2027,85.875,92.951
Greece,VERY_LOW,2028,80.873,87.537
Greece,VERY_LOW,2029,75.871,82.122
Greece,VERY_LOW,2030,70.869,76.708
Greece,VERY_LOW,2031,65.867,71.294
Greece,VERY_LOW,2032,60.865,65.880
Greece,VERY_LOW,2033,55.863,60.466
Greece,VERY_LOW,2034,50.860,55.051
Greece,VERY_LOW,2035,45.858,49.637
Greece,VERY_LOW,2036,44.662,48.342
Greece,VERY_LOW,2037,43.465,47.046
Greece,VERY_LOW,2038,42.268,45.751
Greece,VERY_LOW,2039,41.071,44.456
Greece,VERY_LOW,2040,39.875,43.160
Greece,VERY_LOW,2041,40.095,43.399
Greece,VERY_LOW,2042,40.316,43.638
Greece,VERY_LOW,2043,40.537,43.877
Greece,VERY_LOW,2044,40.757,44.116
Greece,VERY_LOW,2045,40.978,44.355
Greece,VERY_LOW,2046,41.199,44.594
Greece,VERY_LOW,2047,41.419,44.832
Greece,VERY_LOW,2048,41.640,45.071
Greece,VERY_LOW,2049,41.861,45.310
Greece,VERY_LOW,2050,42.082,45.549
Greece,VERY_LOW,2051,42.082,45.549
Greece,VERY_LOW,2052,42.082,45.549
Greece,VERY_LOW,2053,42.082,45.549
Greece,HIGH,2024,100.881,109.193
Greece,HIGH,2025,101.427,109.785
Greece,HIGH,2026,102.099,110.512
Greece,HIGH,2027,102.913,111.393
Greece,HIGH,2028,103.893,112.454
Greece,HIGH,2029,105.063,113.720
Greece,HIGH,2030,106.456,115.228
Greece,HIGH,2031,114.046,123.443
Greece,HIGH,2032,122.597,132.699
Greece,HIGH,2033,132.305,143.207
Greece,HIGH,2034,143.418,155.236
Greece,HIGH,2035,156.263,169.140
Greece,HIGH,2036,158.467,171.525
Greece,HIGH,2037,160.694,173.935
Greece,HIGH,2038,162.943,176.370
Greece,HIGH,2039,165.216,178.829
Greece,HIGH,2040,167.511,181.314
Greece,HIGH,2041,171.285,185.399
Greece,HIGH,2042,175.233,189.673
Greece,HIGH,2043,179.368,194.148
Greece,HIGH,2044,183.702,198.839
Greece,HIGH,2045,188.251,203.762
Greece,HIGH,2046,193.030,208.936
Greece,HIGH,2047,198.059,214.379
Greece,HIGH,2048,203.357,220.114
Greece,HIGH,2049,208.946,226.163
Greece,HIGH,2050,214.851,232.555
Greece,HIGH,2051,214.851,232.555
Greece,HIGH,2052,214.851,232.555
Greece,HIGH,2053,214.851,232.555
Greece,EU_HIGH,2024,100.881,109.193
Greece,EU_HIGH,2025,115.190,124.682
Greece,EU_HIGH,2026,129.499,140.170
Greece,EU_HIGH,2027,143.808,155.658
Greece,EU_HIGH,2028,158.117,171.146
Greece,EU_HIGH,2029,172.426,186.634
Greece,EU_HIGH,2030,186.735,202.122
Greece,EU_HIGH,2031,186.735,202.122
Greece,EU_HIGH,2032,186.735,202.122
Greece,EU_HIGH,2033,186.735,202.122
Greece,EU_HIGH,2034,186.735,202.122
Greece,EU_HIGH,2035,186.735,202.122
Greece,EU_HIGH,2036,186.735,202.122
Greece,EU_HIGH,2037,186.735,202.122
Greece,EU_HIGH,2038,186.735,202.122
Greece,EU_HIGH,2039,186.735,202.122
Greece,EU_HIGH,2040,186.735,202.122
Greece,EU_HIGH,2041,186.735,202.122
Greece,EU_HIGH,2042,186.735,202.122
Greece,EU_HIGH,2043,186.735,202.122
Greece,EU_HIGH,2044,186.735,202.122
Greece,EU_HIGH,2045,186.735,202.122
Greece,EU_HIGH,2046,186.735,202.122
Greece,EU_HIGH,2047,186.735,202.122
Greece,EU_HIGH,2048,186.735,202.122
Greece,EU_HIGH,2049,186.735,202.122
Greece,EU_HIGH,2050,186.735,202.122
Greece,EU_HIGH,2051,186.735,202.122
Greece,EU_HIGH,2052,186.735,202.122
Greece,EU_HIGH,2053,186.735,202.122
