zone,scenario,year,q,d,exporter,direction,variant,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,n_floored,raw_mean_usd
Bulgaria,CENTRAL,2024,Q2,d4,Türkiye,export,CBAM,92.8696,94.2939,93.4880,108.1339,130.4822,155.0795,136.9572,114.3371,108.1245,104.0672,100.2535,97.2175,91.4266,99.1853,99.3820,102.5305,111.0669,128.8706,136.5356,124.6633,114.8994,93.2163,71.8237,66.3327,0,107.3015
Bulgaria,CENTRAL,2024,Q2,d5,Türkiye,export,CBAM,110.1204,108.3963,108.6306,108.2745,110.2797,109.2490,113.0721,102.9802,91.5390,79.3575,74.6348,54.0668,49.3723,50.3093,67.1760,78.7484,105.7820,119.6220,122.8923,116.2675,105.5946,98.0420,89.8617,74.5317,0,93.7000
Bulgaria,CENTRAL,2024,Q2,d6,Türkiye,export,CBAM,63.4935,63.6341,66.2671,78.3361,98.2295,103.2613,91.4921,78.6828,68.1130,63.5029,62.7438,63.0249,64.0557,67.0167,71.2053,81.6626,91.2954,119.9781,138.1754,116.2018,92.4760,81.1754,71.5707,64.2712,0,81.6611
Bulgaria,CENTRAL,2024,Q2,d7,Türkiye,export,CBAM,81.4565,77.5490,78.2611,84.0052,92.3354,127.8679,131.6911,130.4261,115.4710,92.4666,92.4666,54.9289,25.3935,56.2502,64.8896,77.5865,112.3319,131.7848,160.3926,115.3866,100.5439,90.3771,84.9985,75.7968,0,93.9441
Bulgaria,CENTRAL,2024,Q3,d1,Türkiye,export,CBAM,87.9596,86.6383,86.1979,95.2403,125.8627,137.6600,115.0306,95.6433,85.5232,81.6626,75.7968,70.0808,66.0610,110.0174,102.7366,121.8241,147.6582,241.1653,145.1376,107.2718,95.6807,87.5753,88.0157,85.9355,0,105.9323
Bulgaria,CENTRAL,2024,Q3,d2,Türkiye,export,CBAM,0.0100,0.0100,0.0100,44.7995,97.8078,128.2241,131.8316,108.7055,86.3197,81.2409,70.4557,69.1531,76.6307,84.0989,89.1589,115.2273,176.5940,326.0984,211.6860,114.8713,96.4584,80.3133,103.9454,99.0259,3,99.4878
Bulgaria,CENTRAL,2024,Q3,d3,Türkiye,export,CBAM,25.1499,16.9039,16.9039,12.1719,21.2705,19.0123,25.8995,14.1491,2.1925,0.0100,0.0100,0.0100,0.0100,0.0100,6.2591,37.9404,98.2201,121.6835,122.5081,122.2082,76.2559,65.1333,65.0583,16.9133,5,36.4615
Bulgaria,CENTRAL,2024,Q3,d4,Türkiye,export,CBAM,77.4834,73.1168,78.4111,83.7335,99.7850,119.6501,115.9020,94.0502,74.5224,56.9717,60.7479,60.5512,65.4707,74.6723,80.5757,94.4813,122.9579,131.5692,135.6829,108.4057,92.8509,66.9043,77.1273,74.2225,0,88.3269
Bulgaria,CENTRAL,2024,Q3,d5,Türkiye,export,CBAM,84.6611,84.9798,78.1018,35.3168,35.3168,69.0314,69.1344,79.8073,54.7134,35.3168,45.1837,58.5553,77.2961,85.2233,89.0184,101.1342,120.4560,143.0574,146.1309,125.3661,110.1861,91.5297,96.1118,90.0210,0,83.5687
Bulgaria,CENTRAL,2024,Q3,d6,Türkiye,export,CBAM,87.5472,85.6169,87.7253,92.1106,107.6841,135.0364,111.4230,94.4344,88.9996,102.6804,112.1632,112.1539,112.1632,112.1632,155.6886,185.2616,208.0784,208.3876,203.9086,177.9713,125.1318,109.0710,100.5533,96.1398,0,125.5039
Bulgaria,CENTRAL,2024,Q3,d7,Türkiye,export,CBAM,94.9218,93.9379,94.9123,103.8797,137.7256,130.9883,71.8424,51.0309,56.9623,7.2711,7.2337,16.5760,65.2083,90.9018,100.0661,128.3364,169.9691,250.5450,169.1820,125.8533,106.1099,85.7013,97.5829,91.4453,0,97.8410
Bulgaria,CENTRAL,2024,Q4,d1,Türkiye,export,CBAM,98.2295,92.8509,94.5656,113.8217,157.1317,184.8774,139.4310,121.5711,94.3970,74.5505,76.5745,68.9564,79.4138,133.7057,151.6125,172.0212,206.9259,231.9635,180.5482,138.6907,130.4542,100.3566,69.9216,56.4750,0,123.7103
Bulgaria,CENTRAL,2024,Q4,d2,Türkiye,export,CBAM,63.8870,61.0571,46.0926,61.8255,74.0071,96.2523,112.1632,112.1632,112.1632,112.1632,112.1632,112.1632,112.1632,112.1632,112.1632,122.6768,144.8283,135.5423,144.3598,115.3678,112.1539,49.3723,35.0450,86.8538,0,98.2829
Bulgaria,CENTRAL,2024,Q4,d3,Türkiye,export,CBAM,89.0839,82.7402,63.2217,54.0575,74.3350,54.4510,84.1177,50.0001,37.9404,6.8870,1.5178,0.0100,6.8870,62.3597,86.8538,108.5556,112.1539,94.9218,82.6746,78.7672,44.9682,24.7937,7.2056,21.2612,1,55.3240
Bulgaria,CENTRAL,2024,Q4,d4,Türkiye,export,CBAM,82.9370,84.6893,87.4722,95.0810,141.6986,160.9642,157.1317,120.6903,86.3197,69.9122,63.5122,57.8057,65.9298,86.1323,130.9883,160.1489,279.0029,269.6418,162.7538,131.2881,103.9079,75.5250,72.4421,81.8782,0,117.8272
Bulgaria,CENTRAL,2024,Q4,d5,Türkiye,export,CBAM,80.9692,80.0696,82.5153,91.5390,120.2873,136.3388,142.7669,137.4539,134.9894,129.0205,120.6903,110.3641,109.9050,114.9649,122.0583,130.9508,153.6647,162.2854,130.4167,112.6224,107.5249,96.0837,95.8119,88.7279,0,116.3342
Bulgaria,CENTRAL,2024,Q4,d6,Türkiye,export,CBAM,50.2812,36.3194,36.3099,54.9008,67.5789,109.5488,125.9282,107.0470,81.7844,77.4928,69.3219,66.2390,67.5227,74.0820,96.7958,100.7970,112.1539,105.2479,87.0225,72.5921,48.8194,40.4985,19.5558,40.6766,0,72.8549
Bulgaria,CENTRAL,2024,Q4,d7,Türkiye,export,CBAM,40.9858,36.3662,26.0681,48.8944,94.9498,112.1632,157.6283,165.4619,121.8522,112.1539,108.5088,110.2235,112.1539,127.2683,159.3243,204.2646,164.7029,136.5824,114.0560,126.4156,112.1539,62.3034,30.7628,18.0377,0,104.3034
Bulgaria,CENTRAL,2025,Q1,d1,Türkiye,export,CBAM,53.8828,83.3128,62.5040,126.6858,136.5294,154.5808,177.5035,172.7517,146.3364,138.8180,142.3107,142.1636,140.8676,147.2096,155.8033,172.4484,202.1175,223.5695,208.3122,178.7168,170.7940,138.8180,138.8180,138.4136,0,148.0528
Bulgaria,CENTRAL,2025,Q1,d2,Türkiye,export,CBAM,76.1988,69.4985,66.2356,80.4452,102.8991,170.6562,167.4484,158.5606,163.3584,166.7959,157.3014,153.5423,155.9227,196.7590,275.3616,330.8393,300.6648,289.1942,232.4666,232.9445,172.5219,163.2665,124.5810,126.3549,0,172.2424
Bulgaria,CENTRAL,2025,Q1,d3,Türkiye,export,CBAM,3.4142,0.0100,0.0100,0.5925,28.5796,127.8714,141.1802,136.9799,120.8862,43.7909,6.7690,16.2175,24.2689,76.7871,112.7244,145.3989,149.8107,143.8824,141.0331,120.8953,118.8641,13.9840,43.9471,18.6715,2,72.2187
Bulgaria,CENTRAL,2025,Q1,d4,Türkiye,export,CBAM,78.2393,75.0316,75.8680,83.9011,103.5333,129.2593,126.1434,112.4946,16.2175,6.7966,6.7966,6.7966,6.7966,6.7966,6.7966,6.7966,61.2908,118.1840,118.6711,105.1234,96.0058,84.2411,79.4157,80.0591,0,66.3023
Bulgaria,CENTRAL,2025,Q1,d5,Türkiye,export,CBAM,94.4525,94.7465,94.9763,103.0922,105.2888,133.2666,164.0201,179.5624,155.9136,152.4485,133.2390,130.7299,133.2298,138.1287,150.9412,171.2535,207.7976,186.7682,195.4907,160.0404,133.2574,110.7024,89.9763,89.5352,0,137.8691
Bulgaria,CENTRAL,2025,Q1,d6,Türkiye,export,CBAM,115.6472,103.1748,101.2171,113.1932,124.9578,144.7096,167.8713,197.3656,104.0296,154.1029,145.6654,85.5094,93.4874,91.2632,134.0386,138.7905,145.7298,167.5495,163.0735,138.1931,122.4303,110.9413,100.2705,110.6380,0,128.0771
Bulgaria,CENTRAL,2025,Q1,d7,Türkiye,export,CBAM,106.3733,98.9377,98.3770,104.2686,117.2741,133.6435,164.1947,163.2022,133.9099,120.1141,72.3569,89.2043,81.0518,102.2006,118.2299,122.1637,134.5534,150.5735,168.1561,136.4468,129.7924,109.5259,103.0829,104.1215,0,119.2398
Bulgaria,CENTRAL,2025,Q2,d1,Türkiye,export,CBAM,51.6126,53.4048,51.6126,53.4048,51.8056,62.2467,67.2743,58.5794,46.1162,46.5114,42.1089,23.3406,11.5760,12.8259,26.9620,36.1990,90.1234,117.3200,118.4137,108.2575,101.2263,98.1657,87.2833,88.9285,0,62.7208
Bulgaria,CENTRAL,2025,Q2,d2,Türkiye,export,CBAM,80.8772,82.0811,83.1382,85.9323,99.7833,94.2962,9.6183,6.7690,6.7690,6.7690,6.7690,6.7690,6.7690,11.9344,75.4452,89.1124,103.8090,113.5608,120.0038,112.1178,105.1049,94.7833,104.0756,97.6142,0,66.8292
Bulgaria,CENTRAL,2025,Q2,d3,Türkiye,export,CBAM,77.7797,77.1088,78.7264,87.6601,90.1418,92.6601,92.8532,92.7980,78.4047,76.7962,81.2723,72.2467,77.4672,91.3458,94.9580,97.0259,105.7759,127.8990,136.8052,126.8237,107.4487,97.4947,96.2906,92.2925,0,93.7531
Bulgaria,CENTRAL,2025,Q2,d4,Türkiye,export,CBAM,91.0517,92.4488,91.6583,106.0241,127.9449,152.0717,134.2960,112.1086,106.0149,102.0351,98.2944,95.3164,89.6363,97.2466,97.4395,100.5278,108.9009,126.3641,133.8825,122.2372,112.6601,91.3917,70.4084,65.0224,0,105.2076
Bulgaria,CENTRAL,2025,Q2,d5,Türkiye,export,CBAM,107.9726,106.2814,106.5112,106.1620,108.1288,107.1178,110.8678,100.9689,89.7466,77.7981,73.1657,52.9912,48.3865,49.3055,65.8497,77.2006,103.7171,117.2924,120.5001,114.0020,103.5333,96.1252,88.1014,73.0646,0,91.8663
Bulgaria,CENTRAL,2025,Q2,d6,Türkiye,export,CBAM,62.2375,62.3754,64.9581,76.7962,96.3091,101.2447,89.7006,77.1363,66.7687,62.2467,61.5022,61.7779,62.7889,65.6934,69.8018,80.0591,89.5076,117.6416,135.4908,113.9376,90.6657,79.5812,70.1603,63.0004,0,80.0576
Bulgaria,CENTRAL,2025,Q2,d7,Türkiye,export,CBAM,79.8569,76.0242,76.7227,82.3569,90.5278,125.3806,129.1306,127.8898,113.2208,90.6565,90.6565,53.8368,24.8663,55.1328,63.6070,76.0609,110.1417,129.2225,157.2831,113.1380,98.5792,88.6069,83.3312,74.3055,0,92.1056
Bulgaria,CENTRAL,2025,Q3,d1,Türkiye,export,CBAM,86.2356,84.9397,84.5077,93.3771,123.4137,134.9853,112.7888,93.7723,83.8459,80.0591,74.3055,68.6988,64.7559,107.8715,100.7300,119.4523,144.7923,236.5107,142.3199,105.1785,93.8090,85.8587,86.2907,84.2503,0,103.8646
Bulgaria,CENTRAL,2025,Q3,d2,Türkiye,export,CBAM,0.0100,0.0100,0.0100,43.9012,95.8954,125.7299,129.2684,106.5847,84.6271,79.6455,69.0665,67.7889,75.1234,82.4488,87.4120,112.9818,173.1746,319.8192,207.5954,112.6325,94.5719,78.7356,101.9157,97.0903,3,97.5433
Bulgaria,CENTRAL,2025,Q3,d3,Türkiye,export,CBAM,24.6274,16.5391,16.5391,11.8976,20.8222,18.6072,25.3627,13.8370,2.1091,0.0100,0.0100,0.0100,0.0100,0.0100,6.0980,37.1732,96.2998,119.3144,120.1233,119.8292,74.7559,63.8460,63.7724,16.5484,5,35.7226
Bulgaria,CENTRAL,2025,Q3,d4,Türkiye,export,CBAM,75.9598,71.6768,76.8698,82.0904,97.8348,117.3200,113.6435,92.2098,73.0555,55.8405,59.5445,59.3515,64.1769,73.2025,78.9930,92.6326,120.5644,129.0111,133.0461,106.2907,91.0334,65.5831,75.6106,72.7613,0,86.5959
Bulgaria,CENTRAL,2025,Q3,d5,Türkiye,export,CBAM,83.0003,83.3128,76.5664,34.5998,34.5998,67.6695,67.7706,78.2393,53.6254,34.5998,44.2780,57.3938,75.7761,83.5517,87.2742,99.1583,118.1104,140.2795,143.2942,122.9266,108.0370,89.7374,94.2319,88.2576,0,81.9288
Bulgaria,CENTRAL,2025,Q3,d6,Türkiye,export,CBAM,85.8311,83.9378,86.0058,90.3072,105.5829,132.4119,109.2502,92.5866,87.2557,100.6749,109.9762,109.9671,109.9762,109.9762,152.6691,181.6764,204.0567,204.3600,199.9667,174.5256,122.6968,106.9432,98.5885,94.2594,0,123.0618
Bulgaria,CENTRAL,2025,Q3,d7,Türkiye,export,CBAM,93.0646,92.0996,93.0554,101.8513,135.0497,128.4413,70.4268,50.0133,55.8312,7.0906,7.0539,16.2175,63.9195,89.1216,98.1105,125.8401,166.6764,245.7110,165.9043,123.4045,104.0388,84.0205,95.6749,89.6547,0,95.9280
Bulgaria,CENTRAL,2025,Q4,d1,Türkiye,export,CBAM,96.3091,91.0334,92.7153,111.6031,154.0846,181.2995,136.7225,119.2042,92.5499,73.0831,75.0683,67.5960,77.8533,131.1067,148.6710,168.6892,202.9263,227.4849,177.0532,135.9964,127.9174,98.3955,68.5427,55.3533,0,121.3024
Bulgaria,CENTRAL,2025,Q4,d2,Türkiye,export,CBAM,62.6236,59.8478,45.1695,60.6014,72.5500,94.3697,109.9762,109.9762,109.9762,109.9762,109.9762,109.9762,109.9762,109.9762,109.9762,120.2887,142.0166,132.9082,141.5570,113.1196,109.9671,48.3865,34.3332,85.1510,0,96.3615
Bulgaria,CENTRAL,2025,Q4,d3,Türkiye,export,CBAM,87.3385,81.1161,61.9709,52.9821,72.8716,53.3680,82.4672,49.0022,37.1732,6.7138,1.4473,0.0100,6.7138,61.1254,85.1510,106.4377,109.9671,93.0646,81.0518,77.2191,44.0666,24.2781,7.0263,20.8131,1,54.2244
Bulgaria,CENTRAL,2025,Q4,d4,Türkiye,export,CBAM,81.3092,83.0279,85.7576,93.2208,138.9467,157.8438,154.0846,118.3402,84.6271,68.5334,62.2559,56.6585,64.6272,84.4433,128.4413,157.0441,273.6245,264.4425,159.5992,128.7353,101.8788,74.0389,71.0150,80.2706,0,115.5319
Bulgaria,CENTRAL,2025,Q4,d5,Türkiye,export,CBAM,79.3790,78.4966,80.8955,89.7466,117.9449,133.6894,139.9945,134.7831,132.3658,126.5111,118.3402,108.2116,107.7612,112.7244,119.6821,128.4045,150.6839,159.1397,127.8806,110.4267,105.4267,94.2043,93.9377,86.9892,0,114.0675
Bulgaria,CENTRAL,2025,Q4,d6,Türkiye,export,CBAM,49.2779,35.5832,35.5740,53.8092,66.2448,107.4119,123.4780,104.9579,80.1786,75.9691,67.9544,64.9305,66.1897,72.6235,94.9028,98.8275,109.9671,103.1933,85.3165,71.1621,47.8442,39.6824,19.1403,39.8571,0,71.4198
Bulgaria,CENTRAL,2025,Q4,d7,Türkiye,export,CBAM,40.1604,35.6291,25.5281,47.9177,93.0921,109.9762,154.5717,162.2555,119.4799,109.9671,106.3918,108.0737,109.9671,124.7924,156.2353,200.3159,161.5110,133.9284,111.8329,123.9560,109.9671,61.0702,30.1329,17.6513,0,102.2668
Bulgaria,CENTRAL,2026,Q1,d1,Türkiye,export,CBAM,0.0100,16.3695,0.0100,58.8966,68.5484,86.2477,108.7234,104.0642,78.1641,70.7923,74.2169,74.0726,72.8020,79.0202,87.4463,103.7668,132.8573,153.8910,138.9312,109.9129,102.1447,70.7923,70.7923,70.3958,2,79.8470
Bulgaria,CENTRAL,2026,Q1,d2,Türkiye,export,CBAM,9.3943,2.8246,0.0100,13.5578,35.5738,102.0096,98.8644,90.1499,94.8541,98.2246,88.9153,85.2294,87.5634,127.6034,204.6730,259.0689,229.4828,218.2359,162.6145,163.0831,103.8389,94.7640,56.8329,58.5722,1,103.5648
Bulgaria,CENTRAL,2026,Q1,d3,Türkiye,export,CBAM,0.0100,0.0100,0.0100,0.0100,0.0100,60.0591,73.1084,68.9900,53.2102,0.0100,0.0100,0.0100,0.0100,9.9711,45.2076,77.2449,81.5706,75.7579,72.9642,53.2191,51.2275,0.0100,0.0100,0.0100,12,5.4918
Bulgaria,CENTRAL,2026,Q1,d4,Türkiye,export,CBAM,11.3950,8.2498,9.0699,16.9463,36.1957,61.4200,58.3649,44.9823,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,50.5606,51.0383,37.7548,28.8150,17.2797,12.5484,13.1793,9,-0.3093
Bulgaria,CENTRAL,2026,Q1,d5,Türkiye,export,CBAM,27.2919,27.5803,27.8056,35.7632,37.9169,65.3492,95.5029,110.7421,87.5545,84.1570,65.3221,62.8619,65.3131,70.1164,82.6791,102.5953,138.4266,117.8074,126.3597,91.6008,65.3401,43.2250,22.9031,22.4706,0,69.8619
Bulgaria,CENTRAL,2026,Q1,d6,Türkiye,export,CBAM,48.0734,35.8442,33.9246,45.6672,57.2024,76.5690,99.2790,128.1981,36.6824,85.7791,77.5062,18.5233,26.3457,24.1648,66.1061,70.7653,77.5693,98.9635,94.5748,70.1796,54.7242,43.4592,32.9965,43.1618,0,60.2608
Bulgaria,CENTRAL,2026,Q1,d7,Türkiye,export,CBAM,38.9803,31.6897,31.1400,36.9166,49.6685,65.7186,95.6741,94.7009,65.9799,52.4531,5.6273,22.1462,14.1526,34.8890,50.6057,54.4628,66.6108,82.3186,99.5583,68.4673,61.9427,42.0714,35.7541,36.7724,0,51.5959
Bulgaria,CENTRAL,2026,Q2,d1,Türkiye,export,CBAM,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,0.6438,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,23.0473,49.7135,50.7859,40.8278,33.9337,30.9328,20.2626,21.8757,15,-3.8209
Bulgaria,CENTRAL,2026,Q2,d2,Türkiye,export,CBAM,13.9814,15.1619,16.1983,18.9379,32.5188,27.1387,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,8.6554,22.0560,36.4660,46.0276,52.3450,44.6128,37.7367,27.6164,36.7274,30.3920,8,0.2074
Bulgaria,CENTRAL,2026,Q2,d3,Türkiye,export,CBAM,10.9444,10.2865,11.8725,20.6321,23.0654,25.5346,25.7239,25.6698,11.5571,9.9800,14.3689,5.5192,10.6379,24.2459,27.7876,29.8152,38.3946,60.0862,68.8187,59.0319,40.0348,30.2749,29.0943,25.1741,0,26.6063
Bulgaria,CENTRAL,2026,Q2,d4,Türkiye,export,CBAM,23.9575,25.3274,24.5523,38.6379,60.1312,83.7875,66.3585,44.6037,38.6288,34.7267,31.0589,28.1391,22.5697,30.0316,30.2208,33.2488,41.4587,58.5813,65.9530,54.5349,45.1445,24.2909,3.7168,0.0100,1,37.8373
Bulgaria,CENTRAL,2026,Q2,d5,Türkiye,export,CBAM,40.5484,38.8902,39.1155,38.7731,40.7016,39.7103,43.3871,33.6813,22.6778,10.9624,6.4203,0.0100,0.0100,0.0100,0.0100,10.3765,36.3759,49.6865,52.8317,46.4603,36.1957,28.9321,21.0647,6.3212,4,24.7562
Bulgaria,CENTRAL,2026,Q2,d6,Türkiye,export,CBAM,0.0100,0.0100,0.0100,9.9800,29.1124,33.9517,22.6328,10.3135,0.1480,0.0100,0.0100,0.0100,0.0100,0.0100,3.1220,13.1793,22.4436,50.0289,67.5300,46.3971,23.5790,12.7107,3.4735,0.0100,9,13.1778
Bulgaria,CENTRAL,2026,Q2,d7,Türkiye,export,CBAM,12.9810,9.2231,9.9079,15.4322,23.4438,57.6169,61.2938,60.0772,45.6943,23.5700,23.5700,0.0100,0.0100,0.0100,0.0100,9.2591,42.6752,61.3839,88.8973,45.6131,31.3382,21.5603,16.3875,7.5379,4,24.9909
Bulgaria,CENTRAL,2026,Q3,d1,Türkiye,export,CBAM,19.2353,17.9647,17.5411,26.2375,55.6884,67.0344,45.2707,26.6251,16.8922,13.1793,7.5379,2.0406,0.0100,40.4493,33.4471,51.8043,76.6501,166.5798,74.2259,37.8088,26.6611,18.8658,19.2893,17.2887,1,36.5205
Bulgaria,CENTRAL,2026,Q3,d2,Türkiye,export,CBAM,0.0100,0.0100,0.0100,0.0100,28.7068,57.9594,61.4289,39.1876,17.6582,12.7737,2.4011,1.1484,8.3399,15.5224,20.3888,45.4599,104.4788,248.2636,138.2284,45.1175,27.4091,11.8816,34.6096,29.8783,4,30.3226
Bulgaria,CENTRAL,2026,Q3,d3,Türkiye,export,CBAM,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,29.1033,51.6691,52.4622,52.1737,7.9795,0.0100,0.0100,0.0100,19,-30.2926
Bulgaria,CENTRAL,2026,Q3,d4,Türkiye,export,CBAM,9.1600,4.9604,10.0522,15.1709,30.6083,49.7135,46.1088,25.0930,6.3123,0.0100,0.0100,0.0100,0.0100,6.4564,12.1339,25.5076,52.8947,61.1766,65.1329,38.8993,23.9395,0.0100,8.8175,6.0238,5,19.5886
Bulgaria,CENTRAL,2026,Q3,d5,Türkiye,export,CBAM,16.0631,16.3695,9.7547,0.0100,0.0100,1.0313,1.1304,11.3950,0.0100,0.0100,0.0100,0.0100,8.9798,16.6038,20.2537,31.9060,50.4886,72.2253,75.1812,55.2108,40.6115,22.6689,27.0757,21.2179,6,15.0125
Bulgaria,CENTRAL,2026,Q3,d6,Türkiye,export,CBAM,18.8387,16.9823,19.0100,23.2275,38.2053,64.5111,41.8011,25.4625,20.2356,33.3930,42.5130,42.5040,42.5130,42.5130,84.3732,112.8148,134.7588,135.0561,130.7485,105.8035,54.9855,39.5391,31.3473,27.1026,0,55.3433
Bulgaria,CENTRAL,2026,Q3,d7,Türkiye,export,CBAM,25.9312,24.9849,25.9221,34.5465,67.0975,60.6179,3.7348,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,22.0650,30.8787,58.0675,98.1074,175.6007,97.3504,55.6794,36.6913,17.0634,28.4905,22.5877,6,28.7387
Bulgaria,CENTRAL,2026,Q4,d1,Türkiye,export,CBAM,29.1124,23.9395,25.5886,44.1081,85.7611,112.4454,68.7377,51.5610,25.4265,6.3393,8.2858,0.9592,11.0165,63.2314,80.4531,100.0810,133.6503,157.7301,108.2818,68.0257,60.1043,31.1581,1.8874,0.0100,1,53.6183
Bulgaria,CENTRAL,2026,Q4,d2,Türkiye,export,CBAM,0.0100,0.0100,0.0100,0.0100,5.8166,27.2108,42.5130,42.5130,42.5130,42.5130,42.5130,42.5130,42.5130,42.5130,42.5130,52.6244,73.9285,64.9977,73.4779,45.5950,42.5040,0.0100,0.0100,18.1719,6,29.1638
Bulgaria,CENTRAL,2026,Q4,d3,Türkiye,export,CBAM,20.3167,14.2156,0.0100,0.0100,6.1320,0.0100,15.5404,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,18.1719,39.0435,42.5040,25.9312,14.1526,10.3946,0.0100,0.0100,0.0100,0.0100,14,-12.1516
Bulgaria,CENTRAL,2026,Q4,d4,Türkiye,export,CBAM,14.4050,16.0901,18.7666,26.0843,70.9185,89.4470,85.7611,50.7139,17.6582,1.8784,0.0100,0.0100,0.0100,17.4780,60.6179,88.6629,202.9699,193.9669,91.1682,60.9063,34.5735,7.2765,4.3116,13.3866,3,47.9603
Bulgaria,CENTRAL,2026,Q4,d5,Türkiye,export,CBAM,12.5124,11.6472,13.9994,22.6778,50.3263,65.7637,71.9459,66.8361,64.4660,58.7254,50.7139,40.7827,40.3412,45.2076,52.0296,60.5818,82.4267,90.7177,60.0682,42.9546,38.0522,27.0486,26.7872,19.9743,0,46.5244
Bulgaria,CENTRAL,2026,Q4,d6,Türkiye,export,CBAM,0.0100,0.0100,0.0100,0.0100,0.0100,39.9987,55.7514,37.5925,13.2964,9.1690,1.3107,0.0100,0.0100,5.8887,27.7335,31.5816,42.5040,35.8623,18.3341,4.4557,0.0100,0.0100,0.0100,0.0100,11,4.7085
Bulgaria,CENTRAL,2026,Q4,d7,Türkiye,export,CBAM,0.0100,0.0100,0.0100,0.0100,25.9581,42.5130,86.2388,93.7727,51.8313,42.5040,38.9984,40.6475,42.5040,57.0402,87.8699,131.0909,93.0427,65.9980,44.3334,56.2201,42.5040,0.0100,0.0100,0.0100,7,34.9539
