zone,tech,fuel,Q1,Q2
WestMed,OCGT,Diesel,0.85,0.85
WestMed,ICE,Diesel,0.85,0.85
WestAna,OCGT,Diesel,0.85,0.85
WestAna,ICE,Diesel,0.85,0.85
EastMed,OCGT,Diesel,0.85,0.85
EastMed,ICE,Diesel,0.85,0.85
EastAna,OCGT,Diesel,0.85,0.85
EastAna,ICE,Diesel,0.85,0.85
SouthEast,OCGT,Diesel,0.85,0.85
SouthEast,ICE,Diesel,0.85,0.85
NorthWest,OCGT,Diesel,0.85,0.85
NorthWest,ICE,Diesel,0.85,0.85
CenterAna,OCGT,Diesel,0.85,0.85
CenterAna,ICE,Diesel,0.85,0.85
CenterBlack,OCGT,Diesel,0.85,0.85
CenterBlack,ICE,Diesel,0.85,0.85
Trakia,OCGT,Diesel,0.85,0.85
Trakia,ICE,Diesel,0.85,0.85
Inter_Trakia,OCGT,Diesel,0.85,0.85
Inter_Trakia,ICE,Diesel,0.85,0.85
Inter_EastAna,OCGT,Diesel,0.85,0.85
Inter_EastAna,ICE,Diesel,0.85,0.85
Inter_SouthEast,OCGT,Diesel,0.85,0.85
Inter_SouthEast,ICE,Diesel,0.85,0.85
WestMed,OCGT,Gas,0.85,0.85
WestMed,CCGT,Gas,0.85,0.85
WestMed,ICE,Gas,0.85,0.85
WestAna,OCGT,Gas,0.85,0.85
WestAna,CCGT,Gas,0.85,0.85
WestAna,ICE,Gas,0.85,0.85
EastMed,OCGT,Gas,0.85,0.85
EastMed,CCGT,Gas,0.85,0.85
EastMed,ICE,Gas,0.85,0.85
EastAna,OCGT,Gas,0.85,0.85
EastAna,CCGT,Gas,0.85,0.85
EastAna,ICE,Gas,0.85,0.85
SouthEast,OCGT,Gas,0.85,0.85
SouthEast,CCGT,Gas,0.85,0.85
SouthEast,ICE,Gas,0.85,0.85
NorthWest,OCGT,Gas,0.85,0.85
NorthWest,CCGT,Gas,0.85,0.85
NorthWest,ICE,Gas,0.85,0.85
CenterAna,OCGT,Gas,0.85,0.85
CenterAna,CCGT,Gas,0.85,0.85
CenterAna,ICE,Gas,0.85,0.85
CenterBlack,OCGT,Gas,0.85,0.85
CenterBlack,CCGT,Gas,0.85,0.85
CenterBlack,ICE,Gas,0.85,0.85
Trakia,OCGT,Gas,0.85,0.85
Trakia,CCGT,Gas,0.85,0.85
Trakia,ICE,Gas,0.85,0.85
Inter_Trakia,OCGT,Gas,0.85,0.85
Inter_Trakia,CCGT,Gas,0.85,0.85
Inter_Trakia,ICE,Gas,0.85,0.85
Inter_EastAna,OCGT,Gas,0.85,0.85
Inter_EastAna,CCGT,Gas,0.85,0.85
Inter_EastAna,ICE,Gas,0.85,0.85
Inter_SouthEast,OCGT,Gas,0.85,0.85
Inter_SouthEast,CCGT,Gas,0.85,0.85
Inter_SouthEast,ICE,Gas,0.85,0.85
WestMed,OCGT,HFO,0.85,0.85
WestMed,ICE,HFO,0.85,0.85
WestAna,OCGT,HFO,0.85,0.85
WestAna,ICE,HFO,0.85,0.85
EastMed,OCGT,HFO,0.85,0.85
EastMed,ICE,HFO,0.85,0.85
EastAna,OCGT,HFO,0.85,0.85
EastAna,ICE,HFO,0.85,0.85
SouthEast,OCGT,HFO,0.85,0.85
SouthEast,ICE,HFO,0.85,0.85
NorthWest,OCGT,HFO,0.85,0.85
NorthWest,ICE,HFO,0.85,0.85
CenterAna,OCGT,HFO,0.85,0.85
CenterAna,ICE,HFO,0.85,0.85
CenterBlack,OCGT,HFO,0.85,0.85
CenterBlack,ICE,HFO,0.85,0.85
Trakia,OCGT,HFO,0.85,0.85
Trakia,ICE,HFO,0.85,0.85
Inter_Trakia,OCGT,HFO,0.85,0.85
Inter_Trakia,ICE,HFO,0.85,0.85
Inter_EastAna,OCGT,HFO,0.85,0.85
Inter_EastAna,ICE,HFO,0.85,0.85
Inter_SouthEast,OCGT,HFO,0.85,0.85
Inter_SouthEast,ICE,HFO,0.85,0.85
WestMed,ST,Lignite,0.65,0.65
WestAna,ST,Lignite,0.65,0.65
EastMed,ST,Lignite,0.65,0.65
EastAna,ST,Lignite,0.65,0.65
SouthEast,ST,Lignite,0.65,0.65
NorthWest,ST,Lignite,0.65,0.65
CenterAna,ST,Lignite,0.65,0.65
CenterBlack,ST,Lignite,0.65,0.65
Trakia,ST,Lignite,0.65,0.65
Inter_Trakia,ST,Lignite,0.65,0.65
Inter_EastAna,ST,Lignite,0.65,0.65
Inter_SouthEast,ST,Lignite,0.65,0.65
WestMed,PV,Solar,1,1
WestAna,PV,Solar,1,1
EastMed,PV,Solar,1,1
EastAna,PV,Solar,1,1
SouthEast,PV,Solar,1,1
NorthWest,PV,Solar,1,1
CenterAna,PV,Solar,1,1
CenterBlack,PV,Solar,1,1
Trakia,PV,Solar,1,1
Inter_Trakia,PV,Solar,1,1
Inter_EastAna,PV,Solar,1,1
Inter_SouthEast,PV,Solar,1,1
WestMed,Storage,Water,0.85,0.85
WestMed,ReservoirHydro,Water,0.85,0.85
WestMed,ROR,Water,1,1
WestAna,Storage,Water,0.85,0.85
WestAna,ReservoirHydro,Water,0.85,0.85
WestAna,ROR,Water,1,1
EastMed,Storage,Water,0.85,0.85
EastMed,ReservoirHydro,Water,0.85,0.85
EastMed,ROR,Water,1,1
EastAna,Storage,Water,0.85,0.85
EastAna,ReservoirHydro,Water,0.85,0.85
EastAna,ROR,Water,1,1
SouthEast,Storage,Water,0.85,0.85
SouthEast,ReservoirHydro,Water,0.85,0.85
SouthEast,ROR,Water,1,1
NorthWest,Storage,Water,0.85,0.85
NorthWest,ReservoirHydro,Water,0.85,0.85
NorthWest,ROR,Water,1,1
CenterAna,Storage,Water,0.85,0.85
CenterAna,ReservoirHydro,Water,0.85,0.85
CenterAna,ROR,Water,1,1
CenterBlack,Storage,Water,0.85,0.85
CenterBlack,ReservoirHydro,Water,0.85,0.85
CenterBlack,ROR,Water,1,1
Trakia,Storage,Water,0.85,0.85
Trakia,ReservoirHydro,Water,0.85,0.85
Trakia,ROR,Water,1,1
Inter_Trakia,Storage,Water,0.85,0.85
Inter_Trakia,ReservoirHydro,Water,0.85,0.85
Inter_Trakia,ROR,Water,1,1
Inter_EastAna,Storage,Water,0.85,0.85
Inter_EastAna,ReservoirHydro,Water,0.85,0.85
Inter_EastAna,ROR,Water,1,1
Inter_SouthEast,Storage,Water,0.85,0.85
Inter_SouthEast,ReservoirHydro,Water,0.85,0.85
Inter_SouthEast,ROR,Water,1,1
WestMed,OnshoreWind,Wind,1,1
WestMed,OffshoreWind,Wind,1,1
WestAna,OnshoreWind,Wind,1,1
WestAna,OffshoreWind,Wind,1,1
EastMed,OnshoreWind,Wind,1,1
EastMed,OffshoreWind,Wind,1,1
EastAna,OnshoreWind,Wind,1,1
EastAna,OffshoreWind,Wind,1,1
SouthEast,OnshoreWind,Wind,1,1
SouthEast,OffshoreWind,Wind,1,1
NorthWest,OnshoreWind,Wind,1,1
NorthWest,OffshoreWind,Wind,1,1
CenterAna,OnshoreWind,Wind,1,1
CenterAna,OffshoreWind,Wind,1,1
CenterBlack,OnshoreWind,Wind,1,1
CenterBlack,OffshoreWind,Wind,1,1
Trakia,OnshoreWind,Wind,1,1
Trakia,OffshoreWind,Wind,1,1
Inter_Trakia,OnshoreWind,Wind,1,1
Inter_Trakia,OffshoreWind,Wind,1,1
Inter_EastAna,OnshoreWind,Wind,1,1
Inter_EastAna,OffshoreWind,Wind,1,1
Inter_SouthEast,OnshoreWind,Wind,1,1
Inter_SouthEast,OffshoreWind,Wind,1,1
WestMed,ST,DomesticCoal,0.65,0.65
WestAna,ST,DomesticCoal,0.65,0.65
EastMed,ST,DomesticCoal,0.65,0.65
EastAna,ST,DomesticCoal,0.65,0.65
SouthEast,ST,DomesticCoal,0.65,0.65
NorthWest,ST,DomesticCoal,0.65,0.65
CenterAna,ST,DomesticCoal,0.65,0.65
CenterBlack,ST,DomesticCoal,0.65,0.65
Trakia,ST,DomesticCoal,0.65,0.65
Inter_Trakia,ST,DomesticCoal,0.65,0.65
Inter_EastAna,ST,DomesticCoal,0.65,0.65
Inter_SouthEast,ST,DomesticCoal,0.65,0.65
WestMed,ST,ImportedCoal,0.65,0.65
WestAna,ST,ImportedCoal,0.65,0.65
EastMed,ST,ImportedCoal,0.65,0.65
EastAna,ST,ImportedCoal,0.65,0.65
SouthEast,ST,ImportedCoal,0.65,0.65
NorthWest,ST,ImportedCoal,0.65,0.65
CenterAna,ST,ImportedCoal,0.65,0.65
CenterBlack,ST,ImportedCoal,0.65,0.65
Trakia,ST,ImportedCoal,0.65,0.65
Inter_Trakia,ST,ImportedCoal,0.65,0.65
Inter_EastAna,ST,ImportedCoal,0.65,0.65
Inter_SouthEast,ST,ImportedCoal,0.65,0.65
WestMed,Nuclear,Uranium,0.9,0.9
WestAna,Nuclear,Uranium,0.9,0.9
EastMed,Nuclear,Uranium,0.9,0.9
EastAna,Nuclear,Uranium,0.9,0.9
SouthEast,Nuclear,Uranium,0.9,0.9
NorthWest,Nuclear,Uranium,0.9,0.9
CenterAna,Nuclear,Uranium,0.9,0.9
CenterBlack,Nuclear,Uranium,0.9,0.9
Trakia,Nuclear,Uranium,0.9,0.9
Inter_Trakia,Nuclear,Uranium,0.9,0.9
Inter_EastAna,Nuclear,Uranium,0.9,0.9
Inter_SouthEast,Nuclear,Uranium,0.9,0.9
WestMed,ST,Geothermal,0.65,0.65
WestAna,ST,Geothermal,0.65,0.65
EastMed,ST,Geothermal,0.65,0.65
EastAna,ST,Geothermal,0.65,0.65
SouthEast,ST,Geothermal,0.65,0.65
NorthWest,ST,Geothermal,0.65,0.65
CenterAna,ST,Geothermal,0.65,0.65
CenterBlack,ST,Geothermal,0.65,0.65
Trakia,ST,Geothermal,0.65,0.65
Inter_Trakia,ST,Geothermal,0.65,0.65
Inter_EastAna,ST,Geothermal,0.65,0.65
Inter_SouthEast,ST,Geothermal,0.65,0.65
