zone,tech,season,daytype,uni_4,value
WestMed,Hydro,Q2,d3,t07,0.1121919341793035
WestMed,Hydro,Q2,d3,t08,0.1184322589975842
WestMed,Hydro,Q2,d3,t09,0.1269758796715392
WestMed,Hydro,Q2,d3,t10,0.0478335627701685
WestMed,Hydro,Q2,d3,t11,0.0373883838897846
WestMed,Hydro,Q2,d3,t12,0.032942487238134
WestMed,Hydro,Q2,d3,t13,0.0215599205095104
WestMed,Hydro,Q2,d3,t14,0.0200333174423774
WestMed,Hydro,Q2,d3,t15,0.0227115684373476
WestMed,Hydro,Q2,d3,t16,0.0301035411834655
WestMed,Hydro,Q2,d3,t17,0.0281484179571372
WestMed,Hydro,Q2,d3,t18,0.0317104917804477
WestMed,Hydro,Q2,d3,t19,0.0230597410666938
WestMed,Hydro,Q2,d3,t20,0.0204886201115223
WestMed,Hydro,Q2,d3,t21,0.0238096513452854
WestMed,Hydro,Q2,d3,t22,0.0171675888777592
WestMed,Hydro,Q2,d3,t23,0.0979168563761121
WestMed,Hydro,Q2,d3,t24,0.1095672482042327
WestMed,Hydro,Q2,d4,t01,0.0684560954314394
WestMed,Hydro,Q2,d4,t02,0.0719646042348504
WestMed,Hydro,Q2,d4,t03,0.0641976763494367
WestMed,Hydro,Q2,d4,t04,0.082356218095335
WestMed,Hydro,Q2,d4,t05,0.0886233254235654
WestMed,Hydro,Q2,d4,t06,0.191896683789618
WestMed,Hydro,Q2,d4,t07,0.1895933879339436
WestMed,Hydro,Q2,d4,t08,0.1185126065274333
WestMed,Hydro,Q2,d4,t09,0.1052552641023306
WestMed,Hydro,Q2,d4,t10,0.0857040318390478
WestMed,Hydro,Q2,d4,t11,0.0792226644312198
WestMed,Hydro,Q2,d4,t12,0.0781513640332317
WestMed,Hydro,Q2,d4,t13,0.0599660397773837
WestMed,Hydro,Q2,d4,t14,0.072098516784599
WestMed,Hydro,Q2,d4,t15,0.0752588529586638
WestMed,Hydro,Q2,d4,t16,0.076142675787004
WestMed,Hydro,Q2,d4,t17,0.0833739534734237
WestMed,Hydro,Q2,d4,t18,0.0876859375753258
WestMed,Hydro,Q2,d4,t19,0.087578807535527
WestMed,Hydro,Q2,d4,t20,0.163453658223034
WestMed,Hydro,Q2,d4,t21,0.1540262147207387
WestMed,Hydro,Q2,d4,t22,0.0929085270155177
WestMed,Hydro,Q2,d4,t23,0.0916497490478817
WestMed,Hydro,Q2,d4,t24,0.0925067893662722
WestMed,Hydro,Q2,d5,t01,0.0484763430089614
WestMed,Hydro,Q2,d5,t02,0.0537524974690528
WestMed,Hydro,Q2,d5,t03,0.0437626212578138
WestMed,Hydro,Q2,d5,t04,0.0333442248873795
WestMed,Hydro,Q2,d5,t05,0.0346833503848646
WestMed,Hydro,Q2,d5,t06,0.0337191800266753
WestMed,Hydro,Q2,d5,t07,0.0318444043301962
WestMed,Hydro,Q2,d5,t08,0.0319783168799447
WestMed,Hydro,Q2,d5,t09,0.0347101328948143
WestMed,Hydro,Q2,d5,t10,0.0436822737279646
WestMed,Hydro,Q2,d5,t11,0.0508867689044346
WestMed,Hydro,Q2,d5,t12,0.0495476434069495
WestMed,Hydro,Q2,d5,t13,0.0308802339720069
WestMed,Hydro,Q2,d5,t14,0.0306659738924093
WestMed,Hydro,Q2,d5,t15,0.0266753799099036
WestMed,Hydro,Q2,d5,t16,0.0284698080765337
WestMed,Hydro,Q2,d5,t17,0.0336923975167256
WestMed,Hydro,Q2,d5,t18,0.037977599108678
WestMed,Hydro,Q2,d5,t19,0.0251219943328208
WestMed,Hydro,Q2,d5,t20,0.0261932947308089
WestMed,Hydro,Q2,d5,t21,0.0355403907032551
WestMed,Hydro,Q2,d5,t22,0.1283685701889238
WestMed,Hydro,Q2,d5,t23,0.1392154867185533
WestMed,Hydro,Q2,d5,t24,0.0622961181430078
WestMed,Hydro,Q2,d6,t01,0.1274579648506339
WestMed,Hydro,Q2,d6,t02,0.1183786939776848
WestMed,Hydro,Q2,d6,t03,0.1115759364504603
WestMed,Hydro,Q2,d6,t04,0.1115491539405107
WestMed,Hydro,Q2,d6,t05,0.1125133242987
WestMed,Hydro,Q2,d6,t06,0.1154058353732678
WestMed,Hydro,Q2,d6,t07,0.1171466985199985
WestMed,Hydro,Q2,d6,t08,0.1219943328208946
WestMed,Hydro,Q2,d6,t09,0.1210033799527556
WestMed,Hydro,Q2,d6,t10,0.1200927746144657
WestMed,Hydro,Q2,d6,t11,0.1240833685969714
WestMed,Hydro,Q2,d6,t12,0.1243779762064181
WestMed,Hydro,Q2,d6,t13,0.1246190187959654
WestMed,Hydro,Q2,d6,t14,0.1199320795547675
WestMed,Hydro,Q2,d6,t15,0.1160753981220104
WestMed,Hydro,Q2,d6,t16,0.1200392095945663
WestMed,Hydro,Q2,d6,t17,0.1154326178832175
WestMed,Hydro,Q2,d6,t18,0.1168520909105517
WestMed,Hydro,Q2,d6,t19,0.1052284815923809
WestMed,Hydro,Q2,d6,t20,0.1125133242986999
WestMed,Hydro,Q2,d6,t21,0.1177894787587913
WestMed,Hydro,Q2,d6,t22,0.1199052970448178
WestMed,Hydro,Q2,d6,t23,0.1231191982387821
WestMed,Hydro,Q2,d6,t24,0.1211372925025041
WestMed,Hydro,Q3,d1,t01,0.0189084520244899
WestMed,Hydro,Q3,d1,t02,0.0198190573627798
WestMed,Hydro,Q3,d1,t03,0.016015940949922
WestMed,Hydro,Q3,d1,t04,0.0300231936536164
WestMed,Hydro,Q3,d1,t05,0.0315230142107997
WestMed,Hydro,Q3,d1,t06,0.0408968926931956
WestMed,Hydro,Q3,d1,t07,0.027719897797942
WestMed,Hydro,Q3,d1,t08,0.0248006042134244
WestMed,Hydro,Q3,d1,t09,0.024211388994531
WestMed,Hydro,Q3,d1,t10,0.0215331379995607
WestMed,Hydro,Q3,d1,t11,0.0234079136960399
WestMed,Hydro,Q3,d1,t12,0.0233811311860902
WestMed,Hydro,Q3,d1,t13,0.0168194162484131
WestMed,Hydro,Q3,d1,t14,0.0171408063678095
WestMed,Hydro,Q3,d1,t15,0.0202743600319247
WestMed,Hydro,Q3,d1,t16,0.0267557274397527
WestMed,Hydro,Q3,d1,t17,0.0223366132980518
WestMed,Hydro,Q3,d1,t18,0.0227115684373476
WestMed,Hydro,Q3,d1,t19,0.0148375105121351
WestMed,Hydro,Q3,d1,t20,0.0165515911489161
WestMed,Hydro,Q3,d1,t21,0.0263539897905072
WestMed,Hydro,Q3,d1,t22,0.0297553685541194
WestMed,Hydro,Q3,d1,t23,0.0284430255665839
WestMed,Hydro,Q3,d1,t24,0.0477532152403194
WestMed,Hydro,Q3,d2,t01,0.0181853242558479
WestMed,Hydro,Q3,d2,t02,0.0327014446485866
WestMed,Hydro,Q3,d2,t03,0.0297821510640691
WestMed,Hydro,Q3,d2,t04,0.0312016240914033
WestMed,Hydro,Q3,d2,t05,0.0274252901884953
WestMed,Hydro,Q3,d2,t06,0.0242381715044807
WestMed,Hydro,Q3,d2,t07,0.0229793935368447
WestMed,Hydro,Q3,d2,t08,0.0190423645742384
WestMed,Hydro,Q3,d2,t09,0.0225240908676997
WestMed,Hydro,Q3,d2,t10,0.0342816127356191
WestMed,Hydro,Q3,d2,t11,0.036450996041545
WestMed,Hydro,Q3,d2,t12,0.0215599205095104
WestMed,Hydro,Q3,d2,t13,0.0136322975643985
WestMed,Hydro,Q3,d2,t14,0.0138197751340464
WestMed,Hydro,Q3,d2,t15,0.0212117478801643
WestMed,Hydro,Q3,d2,t16,0.0351654355639593
WestMed,Hydro,Q3,d2,t17,0.0370402112604384
WestMed,Hydro,Q3,d2,t18,0.0366652561211426
WestMed,Hydro,Q3,d2,t19,0.0227115684373476
WestMed,Hydro,Q3,d2,t20,0.0156409858106262
WestMed,Hydro,Q3,d2,t21,0.0186406269249929
WestMed,Hydro,Q3,d2,t22,0.0170872413479101
WestMed,Hydro,Q3,d2,t23,0.0166855036986646
WestMed,Hydro,Q3,d2,t24,0.0215599205095104
WestMed,Hydro,Q3,d3,t01,0.028978675765578
WestMed,Hydro,Q3,d3,t02,0.0293000658849744
WestMed,Hydro,Q3,d3,t03,0.0178103691165521
WestMed,Hydro,Q3,d3,t04,0.0179978466862
WestMed,Hydro,Q3,d3,t05,0.0201672299921259
WestMed,Hydro,Q3,d3,t06,0.0270503350491994
WestMed,Hydro,Q3,d3,t07,0.0210242703105164
WestMed,Hydro,Q3,d3,t08,0.019711927322981
WestMed,Hydro,Q3,d3,t09,0.0178103691165521
WestMed,Hydro,Q3,d3,t10,0.0208903577607679
WestMed,Hydro,Q3,d3,t11,0.0223901783179512
WestMed,Hydro,Q3,d3,t12,0.0230329585567441
WestMed,Hydro,Q3,d3,t13,0.0171943713877089
WestMed,Hydro,Q3,d3,t14,0.0134716025047003
WestMed,Hydro,Q3,d3,t15,0.0279609403874893
WestMed,Hydro,Q3,d3,t16,0.0358885633326012
WestMed,Hydro,Q3,d3,t17,0.0374955139295834
WestMed,Hydro,Q3,d3,t18,0.0382989892280745
WestMed,Hydro,Q3,d3,t19,0.0148642930220848
WestMed,Hydro,Q3,d3,t20,0.0146768154524369
WestMed,Hydro,Q3,d3,t21,0.0182121067657976
WestMed,Hydro,Q3,d3,t22,0.0163105485593687
WestMed,Hydro,Q3,d3,t23,0.0159891584399723
WestMed,Hydro,Q3,d3,t24,0.0229526110268949
WestMed,Hydro,Q3,d4,t01,0.0206760976811702
WestMed,Hydro,Q3,d4,t02,0.0202743600319247
WestMed,Hydro,Q3,d4,t03,0.0299160636138176
WestMed,Hydro,Q3,d4,t04,0.0338263100664741
WestMed,Hydro,Q3,d4,t05,0.0363170834917965
WestMed,Hydro,Q3,d4,t06,0.043468013648367
WestMed,Hydro,Q3,d4,t07,0.0293268483949241
WestMed,Hydro,Q3,d4,t08,0.0272110301088976
WestMed,Hydro,Q3,d4,t09,0.0280680704272881
WestMed,Hydro,Q3,d4,t10,0.0238632163651848
WestMed,Hydro,Q3,d4,t11,0.0256844270417646
WestMed,Hydro,Q3,d4,t12,0.0273985076785456
WestMed,Hydro,Q3,d4,t13,0.0192030596339366
WestMed,Hydro,Q3,d4,t14,0.020515402621472
WestMed,Hydro,Q3,d4,t15,0.0280680704272881
WestMed,Hydro,Q3,d4,t16,0.0309070164819566
WestMed,Hydro,Q3,d4,t17,0.0288715457257792
WestMed,Hydro,Q3,d4,t18,0.0271039000690988
WestMed,Hydro,Q3,d4,t19,0.0200333174423774
WestMed,Hydro,Q3,d4,t20,0.0304249313028619
WestMed,Hydro,Q3,d4,t21,0.0323264895092908
WestMed,Hydro,Q3,d4,t22,0.0328889222182346
WestMed,Hydro,Q3,d4,t23,0.1122722817091526
WestMed,Hydro,Q3,d4,t24,0.1154326178832175
WestMed,Hydro,Q3,d5,t01,0.0278538103476905
WestMed,Hydro,Q3,d5,t02,0.0255237319820664
WestMed,Hydro,Q3,d5,t03,0.017730021586703
WestMed,Hydro,Q3,d5,t04,0.0179710641762503
WestMed,Hydro,Q3,d5,t05,0.0206225326612708
WestMed,Hydro,Q3,d5,t06,0.0256040795119155
WestMed,Hydro,Q3,d5,t07,0.0220420056886051
WestMed,Hydro,Q3,d5,t08,0.0204886201115223
WestMed,Hydro,Q3,d5,t09,0.0176496740568539
WestMed,Hydro,Q3,d5,t10,0.0218277456090074
WestMed,Hydro,Q3,d5,t11,0.0231936536164423
WestMed,Hydro,Q3,d5,t12,0.0218277456090074
WestMed,Hydro,Q3,d5,t13,0.013043082345505
WestMed,Hydro,Q3,d5,t14,0.0132037774052033
WestMed,Hydro,Q3,d5,t15,0.0203547075617738
WestMed,Hydro,Q3,d5,t16,0.028978675765578
WestMed,Hydro,Q3,d5,t17,0.0332906598674801
WestMed,Hydro,Q3,d5,t18,0.0333442248873795
WestMed,Hydro,Q3,d5,t19,0.0257647745716137
WestMed,Hydro,Q3,d5,t20,0.0172211538976586
WestMed,Hydro,Q3,d5,t21,0.023220436126392
WestMed,Hydro,Q3,d5,t22,0.0178371516265018
WestMed,Hydro,Q3,d5,t23,0.0164444611091173
WestMed,Hydro,Q3,d5,t24,0.0230597410666938
WestMed,Hydro,Q3,d6,t01,0.0227115684373476
WestMed,Hydro,Q3,d6,t02,0.0245327791139274
WestMed,Hydro,Q3,d6,t03,0.0215599205095104
WestMed,Hydro,Q3,d6,t04,0.016739068718564
WestMed,Hydro,Q3,d6,t05,0.0206493151712205
WestMed,Hydro,Q3,d6,t06,0.0248809517432735
WestMed,Hydro,Q3,d6,t07,0.0217473980791583
WestMed,Hydro,Q3,d6,t08,0.0183728018254958
WestMed,Hydro,Q3,d6,t09,0.0209974878005667
WestMed,Hydro,Q3,d6,t10,0.0438161862777132
WestMed,Hydro,Q3,d6,t11,0.042932363449373
WestMed,Hydro,Q3,d6,t12,0.0452356593050474
WestMed,Hydro,Q3,d6,t13,0.0226312209074985
WestMed,Hydro,Q3,d6,t14,0.0141143827434931
WestMed,Hydro,Q3,d6,t15,0.020515402621472
WestMed,Hydro,Q3,d6,t16,0.0212117478801643
WestMed,Hydro,Q3,d6,t17,0.0247738217034747
WestMed,Hydro,Q3,d6,t18,0.0211581828602649
WestMed,Hydro,Q3,d6,t19,0.0130966473654044
WestMed,Hydro,Q3,d6,t20,0.0130966473654044
WestMed,Hydro,Q3,d6,t21,0.0157213333404753
WestMed,Hydro,Q3,d6,t22,0.0159355934200729
WestMed,Hydro,Q3,d6,t23,0.0218277456090074
WestMed,Hydro,Q3,d6,t24,0.0322461419794417
WestMed,Hydro,Q4,d1,t01,0.1133703646170904
WestMed,Hydro,Q4,d1,t02,0.061921163003712
WestMed,Hydro,Q4,d1,t03,0.047967475319917
WestMed,Hydro,Q4,d1,t04,0.0431466235289706
WestMed,Hydro,Q4,d1,t05,0.0514759841233281
WestMed,Hydro,Q4,d1,t06,0.0595910846380879
WestMed,Hydro,Q4,d1,t07,0.0597249971878364
WestMed,Hydro,Q4,d1,t08,0.0792762294511192
WestMed,Hydro,Q4,d1,t09,0.0923728768165237
WestMed,Hydro,Q4,d1,t10,0.109085163025138
WestMed,Hydro,Q4,d1,t11,0.1846118410832989
WestMed,Hydro,Q4,d1,t12,0.1931018967373546
WestMed,Hydro,Q4,d1,t13,0.1730953618049269
WestMed,Hydro,Q4,d1,t14,0.191628858690121
WestMed,Hydro,Q4,d1,t15,0.1989404839063897
WestMed,Hydro,Q4,d1,t16,0.2207950120253469
WestMed,Hydro,Q4,d1,t17,0.2216252698337877
WestMed,Hydro,Q4,d1,t18,0.2193755389980127
WestMed,Hydro,Q4,d1,t19,0.2130280841399332
WestMed,Hydro,Q4,d1,t20,0.2102962681250636
WestMed,Hydro,Q4,d1,t21,0.2144207746573178
WestMed,Hydro,Q4,d1,t22,0.2117425236623475
WestMed,Hydro,Q4,d1,t23,0.214581469717016
WestMed,Hydro,Q4,d1,t24,0.220071884256705
WestMed,Hydro,Q4,d2,t01,0.0264075548104066
WestMed,Hydro,Q4,d2,t02,0.0295411084745217
WestMed,Hydro,Q4,d2,t03,0.0294071959247732
WestMed,Hydro,Q4,d2,t04,0.025014864293022
WestMed,Hydro,Q4,d2,t05,0.0204082725816732
WestMed,Hydro,Q4,d2,t06,0.0225776558875991
WestMed,Hydro,Q4,d2,t07,0.016283766049419
WestMed,Hydro,Q4,d2,t08,0.0278805928576402
WestMed,Hydro,Q4,d2,t09,0.0360492583922995
WestMed,Hydro,Q4,d2,t10,0.0423699307404292
WestMed,Hydro,Q4,d2,t11,0.0472443475512751
WestMed,Hydro,Q4,d2,t12,0.0360224758823497
WestMed,Hydro,Q4,d2,t13,0.0312551891113027
WestMed,Hydro,Q4,d2,t14,0.0237025213054866
WestMed,Hydro,Q4,d2,t15,0.0248273867233741
WestMed,Hydro,Q4,d2,t16,0.0203279250518241
WestMed,Hydro,Q4,d2,t17,0.0208903577607679
WestMed,Hydro,Q4,d2,t18,0.0212117478801643
WestMed,Hydro,Q4,d2,t19,0.0196315797931318
WestMed,Hydro,Q4,d2,t20,0.018265671785697
WestMed,Hydro,Q4,d2,t21,0.0269699875193503
WestMed,Hydro,Q4,d2,t22,0.034736915404764
WestMed,Hydro,Q4,d2,t23,0.0352993481137078
WestMed,Hydro,Q4,d2,t24,0.041218282812592
WestMed,Hydro,Q4,d3,t01,0.0262736422606581
WestMed,Hydro,Q4,d3,t02,0.0257915570815634
