g,z,tech,fuel,StYr,RetrYr,Capacity,Status,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life,BuildLimitperYear,DescreteCap,fuel2,HeatRate2,MinUtilization,RETech,UnitSize
Francistown_TH_BWA,Botswana,ICE,HFO,2000,2026,73,1,,10.41544727,,,,,,,,0,,,0,,0,0,0,0
GasPower_TH_MWI,Malawi,OCGT,Gas,2027,2077,1500,0,,10.41544727,0.3,0.3,,,,,,1.016815742,,50,0,,,,,50
Chasombo_HY_MWI,Malawi,ReservoirHydro,Water,2033,2060,500,3,,,,,,0.325077306,,,,3.445,,100,0,,0,0,0,0
MorupuleA_TH_BWA,Botswana,ST,Coal,1989,2055,652,1,,11.373804,0.33,0.33,,,,,,0,,,0,,0,0.1,0,132
Orapa1and2_TH_BWA,Botswana,OCGT,HFO,2000,2031,90,1,,10.41544727,0.3,0.3,,,,,,0,,,0,,0,0,0,0
SelibePhikwe_PV1-1_BWA,Botswana,PV,Solar,2025,2056,110,1,,,,,,,,,,0.8,,100,,,,,1,
Cuito_PV_AGO_SO,Angola_South,PV,Solar,2025,2055,47.6,1,,,,,,,,,,0.8,,192,,,,,1,
Quilemba_PV_AGO_SO,Angola,PV,Solar,2027,2057,33,2,,,,,,,,,,0.8,,,,,,,1,
Cuango_PV_AGO_EA,Angola,PV,Solar,2028,2057,121.9,2,,,,,,,,,,0.8,,,,,,,1,
Inga1_HY_DRC,DRC,ReservoirHydro,Water,1974,2060,1287,1,,,,,,0.385,,,0,0,50,,0,,0,0,0,0
CT_COMBI_Diesel_TH_AGO_SO,Angola_South,ICE,Diesel,2012,2055,384.07,1,,11.49838981,0.3,0.3,,,,,,0,,,0,7,12.19838981,0.25,0,
Avon_TH_ZAF,South_Africa,OCGT,Diesel,2015,2065,837,1,,13.62107811,0.3,0.3,,,,,,0,,,0,,0,0,0,0
Diaz_Wind_NAM,Namibia,OnshoreWind,Wind,2027,2057,94,2,,,1,1,,,,,,1.3,,44,,,,,1,
Edwaleni1_HY_SWZ,Eswatini,ReservoirHydro,Water,1964,2050,15,1,,,,,,0.152,,,0,0,50,,0,,0,0,0,0
Jwaneng_PV1-1_BWA,Botswana,PV,Solar,2027,2056,100,2,,,,,,,,,,0.8,,100,,,,,1,
Corumana_HY_MOZ,Mozambique,ReservoirHydro,Water,2000,2060,16.6,1,,,,,,0.406440138,,,0,0,50,,0,,0,0,0,0
ExistingSolar_REN_MOZ,Mozambique,PV,Solar,2019,2060,20,1,,0,,,,,,,,0,,0,0,,0,0,1,0
Existing_PV_NAM,Namibia,PV,Solar,2015,2060,147,1,,0,,,,,,,,0,,0,0,,0,0,1,0
Existing_AusWind_NAM,Namibia,OnshoreWind,Wind,2020,2055,5,1,,0,1,1,,,,,,,,0,0,,0,0,1,0
Camden_TH_ZAF,South_Africa,ST,Coal,1967,2030,3208,1,0.3,13.6,0.33,0.33,,,,,,0,,,0,,0,0.05,0,185.125
Dedisa_TH_ZAF,South_Africa,OCGT,Diesel,2015,2065,335,1,,13.62107811,0.3,0.3,,,,,,0,,,0,,0,0,0,0
Duvha_TH_ZAF,South_Africa,ST,Coal,1980,2032,2875,1,0.3,12.3,0.33,0.33,,,,,,0,,,0,,0,0.05,0,479.1666667
AH_HIDROCHICAPA_OFF_AGO_EA,Angola,ROR,Water,2000,2060,28.42,1,,,,,,0.121826136,,,0,0,50,,0,,0,0,0,0
COMBI_Diesel_OFF_AGO_EA,Angola,ICE,Diesel,2011,2053,80.05,1,,10.42,1,1,0,0.4,,,0,0,30,0,0,,0,0,0,0
BokpoortCSP_REN_ZAF,South_Africa,CSPPlant,CSP,2016,2041,50,1,,0,1,1,0,0.8,,,0,1.865,30,100,0,,0,0,0,
IlangaCSP_REN_ZAF,South_Africa,CSPPlant,CSP,2019,2044,100,1,,0,1,1,0,0.8,,,0,1.865,30,100,0,,0,0,0,
KathuSolarCSP_REN_ZAF,South_Africa,CSPPlant,CSP,2019,2044,100,1,,0,1,1,0,0.8,,,0,1.865,30,100,0,,0,0,0,
KaxuSolarCSP_REN_ZAF,South_Africa,CSPPlant,CSP,2015,2040,100,1,,0,1,1,0,0.8,,,0,1.865,30,100,0,,0,0,0,
KhiSolarCSP_REN_ZAF,South_Africa,CSPPlant,CSP,2016,2041,50,1,,0,1,1,0,0.8,,,0,1.865,30,100,0,,0,0,0,
RedStoneSolarCSP_REN_ZAF,South_Africa,CSPPlant,CSP,2019,2044,100,1,,0,1,1,0,0.8,,,0,1.865,30,100,0,,0,0,0,
XinaSolarCSP_REN_ZAF,South_Africa,CSPPlant,CSP,2017,2042,100,1,,0,1,1,0,0.8,,,0,1.865,30,100,0,,0,0,0,
Collywobbles_HY_ZAF,South_Africa,ReservoirHydro,Water,1985,2060,42,1,,,,,,0.185,,,0,0,50,,0,,0,0,0,0
Devil'sGorgeNorth_HY_ZMB,Zambia,ReservoirHydro,Water,2037,2112,600,3,,,,,,0.278070484,,,,3.12,50,600,0,,0,0,0,0
Hwange3Extension_TH_ZWE,Zimbabwe,ST,Coal,2023,2073,600,1,,10,0.33,0.33,,,,,,0,,0,0,,0,0.05,0,300
Bethlem_HY_ZAF,South_Africa,ROR,Water,2020,2090,2.1,1,,,,,,0.185,,,0,,50,,0,,0,0,0,0
Kruisvallei_HY_ZAF,South_Africa,ROR,Water,2020,2090,4.3,1,,,,,,0.185,,,0,0,50,,0,,0,0,0,0
Stortemelk_HY_ZAF,South_Africa,ROR,Water,2018,2088,4.3,1,,,,,,0.185,,,0,0,50,,0,,0,0,0,0
Neusberg_HY_ZAF,South_Africa,ROR,Water,2015,2060,10,1,,,,,,0.185,,,0,0,50,,0,,0,0,0,0
HwangeI_TH_ZWE,Zimbabwe,ST,Coal,1987,2037,600,1,,13.6,0.33,0.33,,,,,,0,,,0,,0,0.1,0,347
Kuvaninga_TH_MOZ,Mozambique,ICE,Gas,2017,2067,40,1,,10.41544727,0.3,0.3,,,,,,0,,0,0,7,11.11544727,0.5,0,
ExistingSolarPV(PV)_REN_ZAF,South_Africa,PV,Solar,2017,2060,2673.1,1,,0,,,,,,,,0,,,0,,0,0,1,0
Ethanol_project_BM_MWI,Malawi,ST,Biomass,2032,2062,28,3,,10,0.9,0.9,,,,,,1.5,,28,0,,0,0,0,0
EdwaleniThermal_TH_SWZ,Eswatini,ICE,Diesel,2000,2050,9,1,,11.73397446,,,,,,,,0,,,0,,0,0,0,0
Golomoti_PV_MWI,Malawi,PV,Solar,2022,2060,20,1,,0,,,,,,,,0,,0,0,,0,0,1,0
ExistingWind_REN_ZAF,South_Africa,OnshoreWind,Wind,2015,2045,3644,1,,,,,,,,,,,,,0,,0,0,1,0
Gariep_HY_ZAF,South_Africa,ReservoirHydro,Water,1971,2060,360,1,,,,,,0.185,,,0,0,50,,0,,0,0,0,0
LavumisaSolar_PV_SWZ,Eswatini,PV,Solar,2021,2051,10,1,,0,,,,,,,,0,,,0,,0,0,1,0
HwangeII_TH_ZWE,Zimbabwe,ST,Coal,2020,2070,320,1,,10,0.33,0.33,,,,,,0,,,0,,0,0.1,0,320
KaribaSouth1_HY_ZWE,Zimbabwe,ReservoirHydro,Water,1962,2060,1050,1,,,,,,0.275342466,,,0,0,50,,0,,0,0,0,0
Gourikwa_TH_ZAF,South_Africa,OCGT,Diesel,2007,2057,740,1,,10.41544727,0.3,0.3,,,,,,0,,,0,,0,0,0,0
ZhongXinIPP_TH_ZWE,Zimbabwe,ST,Coal,2022,2060,50,1,,10,0.33,0.33,,,,,0,0,50,0,0,,0,0,0,0
Afrochine_PV_ZWE,Zimbabwe,PV,Solar,2026,2060,100,2,,,,,,,,,,0.8,,100,,,,,1,
ChidobeMizpah_PV_ZWE,Zimbabwe,PV,Solar,2027,2057,20,2,,,,,,,,,,0.8,,150,,,,,1,
Mapanzure_PV_ZWE,Zimbabwe,PV,Solar,2026,2051,50,2,,,,,,,,,,0.8,,150,,,,,1,
Zimplats_PV_ZWE,Zimbabwe,PV,Solar,2028,2060,80,2,,,,,,,,,,0.8,,150,,,,,1,
IndolaHFO_TH_ZMB,Zambia,ICE,HFO,2020,2055,110,1,,9.748974861,,,,,,,,0,,0,0,,0,0,0,0
Kilubi_HY_DRCSouth,DRC_South,ROR,Water,1954,2060,3,1,,,,,,0.27,,,0,0,50,,0,,0,0,0,0
ItheziThezi_HY_ZMB,Zambia,ReservoirHydro,Water,2016,2060,3501,1,,,,,,0.290144597,,,0,0,50,,0,,0,0,0,0
KanengoI_TH_MWI,Malawi,ICE,Diesel,2000,2050,15,1,,13.62,1,1,,0.2,,,0,0,,0,0,,0,0,0,0
BatokaGorgeSouth_HY_ZWE,Zimbabwe,ReservoirHydro,Water,2035,2112,1200,3,,,,,,0.278070484,,,,3.12,50,1200,0,,0,0,0,0
JohannesburgLandfillGas_TH_ZAF,South_Africa,OCGT,Diesel,2000,2050,18,1,,10.41544727,0.3,0.3,,,,,,0,,,0,7,10.7,0.2,0,18
Khan_PV_NAM,Namibia,PV,Solar,2027,2060,25,2,,,,,,,,,,0.8,,25,,,,,1,
KelvinB_TH_ZAF,South_Africa,ST,Coal,1964,2025,389,1,0.3,14.3,0.33,0.33,,,,,,0,,,0,,0,0.05,0,420
Koni_HY_DRCSouth,DRC_South,ROR,Water,1950,2060,42,1,,,,,,0.39,,,0,0,50,,0,,0,0,0,0
Tazama_Gas_ZMB,Zambia,OCGT,Gas,2035,2065,400,3,,,0.3,0.3,,,,,,,,200,,,,,,
Kendal_TH_ZAF,South_Africa,ST,Coal,1985,2042,3869,1,0.3,11.3,0.33,0.33,,,,,,0,,,0,,0,0.05,0,640
Koeberg_NU_ZAF,South_Africa,Nuclear,Uranium,1985,2045,1860,1,,10.53119469,0.1,0.1,0,0,,,0,0,50,,0,,0,0.6,0,1800
Muanda_TH_DRC,DRC,ICE,Diesel,2000,2050,4.8,1,,9.990938997,,,,,,,,0,,,0,,0,0,0,0
Kriel_TH_ZAF,South_Africa,ST,Coal,1979,2032,2850,1,0.3,13.9,0.33,0.33,,,,,,0,,,0,,0,0.05,0,950
Kusile_I_TH_ZAF,South_Africa,ST,Coal,2020,2070,1440,1,0.3,11.8,0.33,0.33,,,,,,0,,0,0,,0,0.05,0,800
Kusile_II_TH_ZAF,South_Africa,ST,Coal,2023,2073,1440,1,0.3,11.8,0.33,0.33,,,,,,0,,0,0,,0,0.05,0,800
LesothoSolar_REN_LSO,Lesotho,PV,Solar,2023,2053,28,1,,0,,,,,,,,0,,,0,,0,0,1,0
Lethabo_TH_ZAF,South_Africa,ST,Coal,1990,2038,3559,1,0.3,11.06,0.33,0.33,,,,,,0,,,0,,0,0.05,0,593
Likoma_TH_MWI,Malawi,ST,HFO,2019,2054,1.1,1,,11.8,0.33,0.33,,,,,,,,,,,,,,
Lilongwe_TH_MWI,Malawi,OCGT,Diesel,2000,2050,5,1,,,0.3,0.3,,,,,0,0,,0,0,,0,0,0,0
Ezulwini_HY_SWZ,Eswatini,ReservoirHydro,Water,2000,2080,26.6,1,,,,,,0.1,,,0,0,50,,0,,0,0,0,0
SSEG_Rooftop_PV_SWZ,Eswatini,PV,Solar,2022,2045,15,1,,,,,,,,,,,,,,,,,,
LuisCabral_TH_MOZ,Mozambique,ICE,HFO,2000,2050,14,1,,13.62126767,0.3,0.3,,,,,,0,,,0,,0,0,0,0
Kakono_HY_TZA,Tanzania,ROR,Water,2031,2110,1000,3,,,,,,0.44,,,0,2.8,,100,,,,,,
MaambaCoalI_TH_ZMB,Zambia,ST,Coal,2016,2066,300,1,,9.221311593,0.33,0.33,,,,,,0,,,0,,0,0.1,0,300
KalungwishiI_HY_ZMB,Zambia,ReservoirHydro,Water,2033,2110,876,3,,,,,,0.278070484,,,,3.12,150,101,0,,0,0,0,0
Maguga_HY_SWZ,Eswatini,ROR,Water,2000,2080,19.8,1,,,,,,0.1755,,,0,0,50,,0,,0,0,0,0
USL_biomass_SWZ,Eswatini,ST,Bagasse,2011,2050,16,1,0.6,9.22,0.33,0.33,,0.2,,,,,30,,,,,,,
LowerMaguduza_HY_SWZ,Eswatini,ROR,Water,2027,2107,13.5,2,,,,,,0.1835,,,0,2.8,,13,,,,,,
MajubaI_TH_ZAF,South_Africa,ST,Coal,1990,2051,3806,1,0.3,12.7,0.33,0.33,,,,,,0,,,0,,0,0.05,0,621.8
Mapanga_ICE_MWI,Malawi,ICE,Diesel,2000,2060,21,1,,13.62,1,1,,0.2,,,0,0,,0,0,,0,0,0,0
Matimba_TH_ZAF,South_Africa,ST,Coal,1987,2039,3695,1,0.3,11.4,0.33,0.33,,,,,,0,,,0,,0,0.05,0,615
Matla_TH_ZAF,South_Africa,ST,Coal,1979,2031,3450,1,0.3,11.3,0.33,0.33,,,,,,0,,,0,,0,0.05,0,575
Medupi_TH_ZAF,South_Africa,ST,Coal,2015,2065,4320,1,0.3,9.21,0.33,0.33,,,,,,0,,0,0,,0,0.05,0,800
MkuzeBiomass_BIO_ZAF,South_Africa,ST,Biomass,2000,2055,91.7,1,,10,0.9,0.9,,0.8,,,,0,,,0,,0,0,0,
Mpatamanga_Opt_HY_MWI,Malawi,ReservoirHydro,Water,2035,2101,358,2,,,,,,0.278070484,,,,3.12,50,359,0,,0,0,0,0
Nseke_HY_DRCSouth,DRC_South,ReservoirHydro,Water,1957,2060,260,1,,,,,,0.41,,,0,0,50,,0,,0,0,0,0
Muela_HY_LSO,Lesotho,ReservoirHydro,Water,2000,2080,74,1,,,,,,0.396,,,0,0,50,,0,,0,0,0,0
Chisumbanje_BIO_ZWE,Zimbabwe,ST,Biomass,2024,2074,4,3,,10,0.9,0.9,,0.8,,,,1.5,,4,0,,0,0,0,4
Kikonge_HY_TZA,Tanzania,ReservoirHydro,Water,2032,2112,658,3,,,,,,0.34,,,,3.12,50,300,,,,,,
Nzilo_HY_DRCSouth,DRC_South,ReservoirHydro,Water,1954,2060,100,1,,,,,,0.31,,,0,0,50,,0,,0,0,0,0
Kinyezeri_III_PH_II_TH_TZA,Tanzania,CCGT,Gas,2030,2060,1200,3,0.2,9.75,0.1,0.1,,0.2,,,0,1.1,,230,,,,0.05,0,
Kiwaba_Nzogi_WIND_AGO_NO,Angola,OnshoreWind,Wind,2033,2063,106,3,,,1,1,,,,,,1.3,,50,,,,,1,
Kudu_Gas_TH_NAM,Namibia,CCGT,Gas,2034,2064,600,3,0.2,9.75,0.1,0.1,,0.2,,,,1.245080501,,300,0,,,0.05,0,0
LesothoLetsengWind_REN_LSO,Lesotho,OnshoreWind,Wind,2028,2060,35,3,,,1,1,,,,,,1.3,,35,,,,,1,
MetoroSolarPV_REN_MOZ,Mozambique,PV,Solar,2023,2060,30,1,,0,,,,,,,,0,,0,0,,0,0,1,0
LobitoI_TH_AGO_CE,Angola,CCGT,Gas,2030,2082,500,3,0.2,9.75,0.1,0.1,,0.2,,,0,1.245080501,,200,0,,,0.05,0,0
UsuthuSwamil_BIO_SWZ,Eswatini,ST,Woodchip,2028,2060,20,2,,11.37,0.9,0.9,,0.8,,,,1.5,,35,0,,0,0,0,35
Balekane_Solar_SWZ,Eswatini,PV,Solar,2030,2056,16,2,,,,,,,,,,0.8,,75,,,,,1,
Ngwenya_Solar_SWZ,Eswatini,PV,Solar,2027,2056,60,2,,,,,,,,,,0.8,,75,,,,,1,
MocubaSolarPV_REN_MOZ,Mozambique,PV,Solar,2019,2060,30,1,,0,,,,,,,,0,,0,0,,0,0,1,0
NacalaJICA_TH_MOZ,Mozambique,OCGT,Gas,2021,2071,102,1,,10.425987,,,,,,,,0,,0,0,,0,0,0,40
RessanoGarciaEDM/Sasol_TH_MOZ,Mozambique,ICE,Gas,2015,2065,175,1,,10.23,0.3,0.3,,,,,,0,,,0,7,10.690939,0.5,0,
RessanoGarciaGigawatt_TH_MOZ,Mozambique,ICE,Gas,2016,2066,120,1,,10.23,0.3,0.3,,,,,,0,,,0,7,10.690939,0.5,0,
Temane_TH_MOZ,Mozambique,CCGT,Gas,2000,2055,125,1,,10.41544727,0.3,0.3,,,,,,0,,,0,7,11.11544727,0.45,0,
Mnyera_Ruaha_HY_TZA,Tanzania,ReservoirHydro,Water,2030,2110,388,3,,,,,,0.39,,,,3.12,50,80,,,,,,
RSSC_biomass_SWZ,Eswatini,ST,Bagasse,2030,2055,100,3,0.6,9.22,0.9,0.9,,0.2,,,,1.5,30,20,,,,,,
Lubhuku_TH_SWZ,Eswatini,ST,Coal,2035,2085,300,3,0.3,10,0.33,0.33,,,,,,2.466504472,,150,0,,0,0.05,0,0
Ennerdale_BIO_ZAF,South_Africa,ST,Biogas,2019,2054,41.4,1,,10,0.33,0.33,,0.8,,,,0,,,0,,0,0,0,
Nkula_(A.B)_+_upgrade_HY_MWI,Malawi,ReservoirHydro,Water,2000,2080,144.25,1,,,,,,0.325077306,,,,0,,0,0,,0,0,0,0
Ruzizi1_HY_DRC,DRC,ROR,Water,1972,2060,74,1,,,,,,0.31,,,0,0,50,,0,,0,0,0,0
New_HY_LHWP_LSO,Lesotho,ReservoirHydro,Water,2037,2060,210,3,,,,,,0.278070484,,,,3.12,50,110,0,,0,0,0,0
Committed_PV1-2_BWA,Botswana,PV,Solar,2026,2060,18000,3,,,,,,,,,,0.8,,80,,,,,1,
Otikojoto_Biomass_NAM,Namibia,ST,Biomass,2027,2057,40,2,,12.5,0.9,0.9,,0.8,,,,1.5,,40,0,,0,0,0,40
Temane2_TH_MOZ,Mozambique,OCGT,Gas,2014,2064,9.2,1,,10.41544727,0.3,0.3,,,,,,0,,,0,7,11.11544727,0.45,0,
Paratus_TH_NAM,Namibia,ICE,Diesel,1976,2017,25,1,,10.41544727,,,,,,,,0,,,0,,0,0,0,0
PortRexGas_TH_ZAF,South_Africa,OCGT,Diesel,1976,2026,171,1,,11.26101378,0.3,0.3,,,,,,0,,,0,,0,0,0,0
MupataGorgeNorth_HY_ZMB,Zambia,ReservoirHydro,Water,2040,2110,600,3,,,,,,0.278070484,,,,3.12,150,600,0,,0,0,0,0
Gairezi_HY_ZWE,Zimbabwe,ROR,Water,2030,2060,40,3,,,,,,0.275342466,,,0,2.8,50,40,0,,0,0,0,0
RoshPinah_PV_NAM,Namibia,PV,Solar,2026,2056,70,2,,,,,,,,,,0.8,,70,,,,,1,
New_PV_NAM,Namibia,PV,Solar,2031,2060,10000,3,,,,,,,,,,0.8,,50,,,,,1,
OmburruII_PV_NAM,Namibia,PV,Solar,2029,2059,80,2,,,,,,,,,,0.8,,50,,,,,1,
RoshPinah_Wind_NAM,Namibia,OnshoreWind,Wind,2027,2057,40,2,,,1,1,,,,,,1.3,,40,,,,,1,
RuacanaROR_HY_NAM,Namibia,ReservoirHydro,Water,1975,2060,347,1,,,,,,0.175,,,0,0,50,,0,,0,0,0,0
CommittedSolar_REN_DRC,DRC,PV,Solar,2028,2060,200,2,,,,,,,,,,0.8,,200,,,,,1,
LubumbashiSolar_REN_DRCSouth,DRC_South,PV,Solar,2030,2060,100,2,,,,,,,,,,0.8,,100,,,,,1,
Ruzizi3_HY_DRC,DRC,ReservoirHydro,Water,2031,2111,69,2,,,,,,0.31,,,,3.12,50,69,0,,0,0,0,0
Lurio_HY_MOZ,Mozambique,ReservoirHydro,Water,2035,2110,120,2,,,,,,0.406440138,,,0,4.248837209,50,120,0,,0,0,0,0
Sasolburg_TH_ZAF,South_Africa,CCGT,Gas,2012,2062,280,1,0.2,9.990938997,0.1,0.1,,0.2,,,,,,,0,7,10.690939,0.05,0,0
Secunda(SasolChemical)_TH_ZAF,South_Africa,ST,Coal,2010,2060,130,1,,12.08277112,0.33,0.33,,,,,,0,,,0,,0,0.05,0,130
Secunda(SasolSynthetic)_TH_ZAF,South_Africa,CCGT,Gas,2010,2060,280,1,0.2,9.75,0.1,0.1,,0.2,,,,,,,0,7,12.19796803,0.05,0,0
Tutuka_TH_ZAF,South_Africa,ST,Coal,1985,2040,3510,1,,12.8,0.33,0.33,,,,,,0,,,0,,0,0.05,0,610
Vanderkloof_HY_ZAF,South_Africa,ReservoirHydro,Water,1977,2060,240,1,,,,,,0.185,,,0,0,50,,0,,0,0,0,0
Kusile_III_TH_ZAF,South_Africa,ST,Coal,2024,2074,1440,1,0.3,11.8,0.33,0.33,,,,,,,,1440,0,,0,0.05,0,800
SA_SolarPrivate25_REN_ZAF,South_Africa,PV,Solar,2025,2055,1209,2,,,,,,,,,,0.8,,1209,,,,,1,
SA_SolarPrivate26_REN_ZAF,South_Africa,PV,Solar,2026,2060,3328,3,,,,,,,,,,0.8,,400,,,,,1,
MozMGTPEDMSasolGT_TH_MOZ_2,Mozambique,CCGT,Gas,2028,2058,150,2,0.2,9.75,0.1,0.1,,0.2,,,0,1.25,,450,0,,,0.05,0,0
SA_SolarPrivate27_REN_ZAF,South_Africa,PV,Solar,2027,2060,2526,3,,,,,,,,,,0.8,,400,,,,,1,
SA_SolarPrivate29_REN_ZAF,South_Africa,PV,Solar,2029,2056,24,2,,,,,,,,,,0.8,,500,,,,,1,
SA_SolarPublicProcurement25_REN_ZAF,South_Africa,PV,Solar,2025,2055,150,2,,,,,,,,,,0.8,,500,,,,,1,
SA_SolarPublicProcurement26_REN_ZAF,South_Africa,PV,Solar,2026,2056,225,2,,,,,,,,,,0.8,,500,,,,,1,
SA_SolarPublicProcurement28_REN_ZAF,South_Africa,PV,Solar,2028,2060,1760,3,,,,,,,,,,0.8,,400,,,,,1,
SA_SolarPublicProcurement29_REN_ZAF,South_Africa,PV,Solar,2029,2060,1690,3,,,,,,,,,,0.8,,400,,,,,1,
SA_SolarPublicProcurement30_REN_ZAF,South_Africa,PV,Solar,2030,2060,800,2,,,,,,,,,,0.8,,800,,,,,1,
SA_SolarPublicProcurement27_REN_ZAF,South_Africa,PV,Solar,2027,2057,360,2,,,,,,,,,,0.8,,500,,,,,1,
SA_WindEskom28_REN_ZAF_2,South_Africa,OnshoreWind,Wind,2035,2060,4000,3,,,1,1,,,,,,1.3,,1500,,,,,1,
SA_WindEskom28_REN_ZAF,South_Africa,OnshoreWind,Wind,2028,2060,4000,2,,,1,1,,,,,,1.3,,1500,,,,,1,
Namibe_TH_AGO_SO,Angola,CCGT,Gas,2034,2082,500,3,0.2,9.75,0.1,0.1,,0.2,,,0,1.245080501,,200,0,,,0.05,0,0
Salima_PV_MWI,Malawi,PV,Solar,2022,2052,81,1,,0,,,,,,,,0,,0,0,,0,0,1,0
SolarRound(PV)_ZMB,Zambia,PV,Solar,2019,2060,123,1,,0,,,,,,,,0,,,0,,0,0,1,0
LowerMaguga_Ext2HY_SWZ,Eswatini,ROR,Water,2035,2111,23,3,,,,,,0.1835,,,0,2.8,,13,,,,,,
Tedzani_I._II._III_HY_MWI,Malawi,ROR,Water,2000,2080,248,1,,,,,,0.325077306,,,0,0,50,0,0,,0,0,0,0
NamPowerWindFarm_2031_NAM,Namibia,OnshoreWind,Wind,2030,2062,100,3,,,1,1,,,,,,1.3,,25,,,,,1,
VanEck_TH_NAM,Namibia,ST,Coal,1972,2027,50,1,,15.9,0.33,0.33,,,,,,0,50,,0,,0,0.1,0,33
Nyika_HY_MWI,Malawi,ROR,Water,2030,2100,51,3,,,,,,0.325077306,,,,3.445,,261,0,,0,0,0,0
