g,z,tech,f,Linked plant,Status,StYr,RetrYr,Life,Capacity,UnitSize,BuildLimitperYear,CapacityMWh,DescreteCap,Efficiency,Capex,FOMperMW,VOM,ReserveCost,CapexMWh,FixedOMMWh,VOMMWh,MinGenShareAllHours,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,HoursOn,HoursOff,minUT,minDT,StUpCost,InitialOn,MinGenCommitment
Monont'sa_HY_LSO,Lesotho,Storage,Water,,0,2032,2092,,4000,,2000,8400,,0.98,0.3,40000,,,0,,,,,1,1,,0.5,,,,,,,
New_BESS_AGO,Angola,Storage,Battery,,3,2027,2047,,4000,,50,20000000,,0.9,0.3,40000,,,290,,,,,1,1,,0.5,,,,,,,
New_BESS_BWA,Botswana,Storage,Battery,,3,2029,2049,,4000,,30,10000000,,0.9,0.3,40000,,,290,,,,,1,1,,0.5,,,,,,,
New_BESS_2031_DRC,DRC,Storage,Battery,,3,2031,2051,,900,,60,10000000,,0.9,0.3,40000,,,290,,,,,1,1,,0.5,,,,,,,
New_BESS_DRC,DRC,Storage,Battery,,3,2027,2047,,100,,30,10000000,,0.9,0.3,40000,,,290,,,,,1,1,,0.5,,,,,,,
New_BESS_DRCSouth,DRC_South,Storage,Battery,,3,2027,2047,,4000,,30,10000000,,0.9,0.3,40000,,,290,,,,,1,1,,0.5,,,,,,,
New_BESS_LSO,Lesotho,Storage,Battery,,3,2027,2047,,60,,10,10000000,,0.9,0.3,40000,,,290,,,,,1,1,,0.5,,,,,,,
New_BESS_MOZ_CE,Mozambique_Central,Storage,Battery,,3,2027,2047,,4000,,100,10000000,,0.9,0.3,40000,,,290,,,,,1,1,,0.5,,,,,,,
New_BESS_MOZ_NO,Mozambique_North,Storage,Battery,,3,2027,2047,,2000,,100,10000000,,0.9,0.3,40000,,,290,,,,,1,1,,0.5,,,,,,,
New_BESS_MOZ_SO,Mozambique_South,Storage,Battery,,3,2027,2047,,4000,,100,10000000,,0.9,0.3,40000,,,290,,,,,1,1,,0.5,,,,,,,
New_BESS_MWI,Malawi,Storage,Battery,,3,2027,2047,,50,,15,10000000,,0.9,0.3,40000,,,290,,,,,1,1,,0.5,,,,,,,
New_BESS_NAM,Namibia,Storage,Battery,,3,2030,2060,,300,,30,10000000,,0.9,0.3,40000,,,290,,,,,1,1,,0.5,,,,,,,
New_BESS_2031_SWZ,Eswatini,Storage,Battery,,3,2031,2051,,70,,10,10000000,,0.9,0.3,40000,,,290,,,,,1,1,,0.5,,,,,,,
New_BESS_SWZ,Eswatini,Storage,Battery,,3,2027,2047,,30,,15,10000000,,0.9,0.3,40000,,,290,,,,,1,1,,0.5,,,,,,,
New_BESS_TZA,Tanzania,Storage,Battery,,3,2027,2052,,50,,15,10000000,,0.9,0.3,40000,,,290,,,,,1,1,,0.5,,,,,,,
New_BESS_ZAF,South_Africa,Storage,Battery,,2,2030,2050,,200,,100,10000000,,0.9,0.3,40000,,,290,,,,,1,1,,0.5,,,,,,,
New_BESS_ZMB,Zambia,Storage,Battery,,3,2029,2049,,400,,50,10000000,,0.9,0.3,40000,,,290,,,,,1,1,,0.5,,,,,,,
New_BESS_ZWE,Zimbabwe,Storage,Battery,,3,2028,2048,,300,,30,10000000,,0.9,0.3,40000,,,290,,,,,1,1,,0.5,,,,,,,
NEWSto_BWA,Botswana,Storage,Battery,,2,2026,2046,,50,,50,200,,0.9,0.3,40000,,,290,,,,,1,1,,0.5,,,,,,,
Omburru_BESS_NAM,Namibia,Storage,Battery,,2,2026,2046,,58,,58,75,,0.9,0.3,40000,,,290,,,,,1,1,,0.5,,,,,,,
PalmietPH_HY_ZAF,South_Africa,Storage,Water,,1,1988,2048,,400,,,2800,,0.98,3.3,50000,0.5,,0,,,,,1,1,,0.5,,,,,,,
SreenbrasPH_HY_ZAF,South_Africa,Storage,Water,,1,1988,2048,,180,,,1260,,0.98,3.3,50000,0.5,,0,,,,,1,1,,0.5,,,,,,,
BESS_TZA_Candidate,Tanzania,Storage,Battery,,3,2031,2056,,400,,40,10000000,,0.9,0.3,40000,,,290,,,,,1,1,,0.5,,,,,,,
Sto_MWI_2030,Malawi,Storage,Battery,,3,2030,2050,,100,,30,10000000,,0.9,0.3,40000,,,290,,,,,1,1,,0.5,,,,,,,
