gen,zone,tech,fuel,StYr,RetrYr,Capacity,Status,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life,BuildLimitperYear,MaxTotalBuild,DescreteCap,fuel2,HeatRate2,MinUtilization,RETech,UnitSize
Ruvubu,Burundi,,Hydro/Primary,,,50,Candidate,,,,,,,,,,,,,,,,,,,
Siguvyaye,Burundi,,Hydro/Primary,,,6.6,Candidate,,,,,,,,,,,,,,,,,,,
Ruzizi_III_Burundi_share,Burundi,,Hydro/Primary,,,68,Candidate,,,,,,,,,,,,,,,,,,,
Mulembwe,Burundi,,Hydro/Primary,,,17,Committed,,,,,,,,,,,,,,,,,,,
Kabu_16,Burundi,,Hydro/Primary,,,20,Committed,,,,,,,,,,,,,,,,,,,
Jiji,Burundi,,Hydro/Primary,,,33,Committed,,,,,,,,,,,,,,,,,,,
Ruzizi_Burundi_4,Burundi,,Hydro/Primary,,,144,Candidate,,,,,,,,,,,,,,,,,,,
Ruzibazi,Burundi,,Hydro/Primary,,,15,Existing,,,,,,,,,,,,,,,,,,,
RUSUMO_FALLS,Burundi,,Hydro/Primary,,,26.4,Committed,,,,,,,,,,,,,,,,,,,
Ruzizi_II_Burundi_share,Burundi,,Hydro/Primary,,,12,Existing,,,,,,,,,,,,,,,,,,,
Rwegura,Burundi,,Hydro/Primary,,,18,Existing,,,,,,,,,,,,,,,,,,,
Mugere,Burundi,,Hydro/Primary,,,8,Existing,,,,,,,,,,,,,,,,,,,
Kagunizi,Burundi,,Hydro/Primary,,,8,Candidate,,,,,,,,,,,,,,,,,,,
Mpanda,Burundi,,Hydro/Primary,,,10.4,Committed,,,,,,,,,,,,,,,,,,,
Battery Storage 4 hrs,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,
BAMBARI,CentralAfricanRepublic,,Oil/Primary,,,1.2,Existing,,,,,,,,,,,,,,,,,,,
SIBUT,CentralAfricanRepublic,,Oil/Primary,,,0.11,Existing,,,,,,,,,,,,,,,,,,,
PAOUA,CentralAfricanRepublic,,Oil/Primary,,,0.24,Existing,,,,,,,,,,,,,,,,,,,
NDELE,CentralAfricanRepublic,,Oil/Primary,,,0.05,Existing,,,,,,,,,,,,,,,,,,,
MONGOUMBA,CentralAfricanRepublic,,Oil/Primary,,,0.1,Existing,,,,,,,,,,,,,,,,,,,
M'BALI,CentralAfricanRepublic,,Oil/Primary,,,0.22,Existing,,,,,,,,,,,,,,,,,,,
M'BAIKI,CentralAfricanRepublic,,Oil/Primary,,,0.12,Existing,,,,,,,,,,,,,,,,,,,
KEMBE,CentralAfricanRepublic,,Oil/Primary,,,0.15,Existing,,,,,,,,,,,,,,,,,,,
KAGA.BANDORO,CentralAfricanRepublic,,Oil/Primary,,,0.12,Existing,,,,,,,,,,,,,,,,,,,
CARNOT.ENERCA,CentralAfricanRepublic,,Oil/Primary,,,0.98,Existing,,,,,,,,,,,,,,,,,,,
BOZOUM,CentralAfricanRepublic,,Oil/Primary,,,0.16,Existing,,,,,,,,,,,,,,,,,,,
BOUAR,CentralAfricanRepublic,,Oil/Primary,,,1.25,Existing,,,,,,,,,,,,,,,,,,,
BOSSANGOA,CentralAfricanRepublic,,Oil/Primary,,,0.43,Existing,,,,,,,,,,,,,,,,,,,
BODA,CentralAfricanRepublic,,Oil/Primary,,,0.18,Existing,,,,,,,,,,,,,,,,,,,
BERBERATI,CentralAfricanRepublic,,Oil/Primary,,,2.35,Existing,,,,,,,,,,,,,,,,,,,
BANGUI.ENERCA,CentralAfricanRepublic,,Oil/Primary,,,30.4,Existing,,,,,,,,,,,,,,,,,,,
BANGASSOU,CentralAfricanRepublic,,Oil/Primary,,,0.16,Existing,,,,,,,,,,,,,,,,,,,
BAMBARI,CentralAfricanRepublic,,Oil/Primary,,,1.52,Existing,,,,,,,,,,,,,,,,,,,
PALAMBO,CentralAfricanRepublic,,Hydro/Primary,,,30,Candidate,,,,,,,,,,,,,,,,,,,
kotto,CentralAfricanRepublic,,Hydro/Primary,,,60,Candidate,,,,,,,,,,,,,,,,,,,
Lobaye,CentralAfricanRepublic,,Hydro/Primary,,,60,Candidate,,,,,,,,,,,,,,,,,,,
TOUTOUBOU,CentralAfricanRepublic,,Hydro/Primary,,,0.7,Committed,,,,,,,,,,,,,,,,,,,
LOAME_,CentralAfricanRepublic,,Hydro/Primary,,,0.45,Candidate,,,,,,,,,,,,,,,,,,,
BOALI-I_Rebuild,CentralAfricanRepublic,,Hydro/Primary,,,8.75,Existing,,,,,,,,,,,,,,,,,,,
MOBAYE,CentralAfricanRepublic,,Hydro/Primary,,,0.4,Existing,,,,,,,,,,,,,,,,,,,
MBECKO,CentralAfricanRepublic,,Hydro/Primary,,,1,Candidate,,,,,,,,,,,,,,,,,,,
LANCREMO,CentralAfricanRepublic,,Hydro/Primary,,,50,Candidate,,,,,,,,,,,,,,,,,,,
DIMOLI,CentralAfricanRepublic,,Hydro/Primary,,,200,Candidate,,,,,,,,,,,,,,,,,,,
BOALI-III,CentralAfricanRepublic,,Hydro/Primary,,,10,Committed,,,,,,,,,,,,,,,,,,,
BOALI-II,CentralAfricanRepublic,,Hydro/Primary,,,19.8,Existing,,,,,,,,,,,,,,,,,,,
BAIDOU,CentralAfricanRepublic,,Hydro/Primary,,,4.5,Candidate,,,,,,,,,,,,,,,,,,,
Wind Zone 005,CentralAfricanRepublic,,Wind/Primary,,,65.14,,,,,,,,,,,,,,,,,,,,
Wind Zone 004,CentralAfricanRepublic,,Wind/Primary,,,168.27,,,,,,,,,,,,,,,,,,,,
Wind Zone 003,CentralAfricanRepublic,,Wind/Primary,,,43.86,,,,,,,,,,,,,,,,,,,,
Wind Zone 002,CentralAfricanRepublic,,Wind/Primary,,,363.46,,,,,,,,,,,,,,,,,,,,
Wind Zone 001,CentralAfricanRepublic,,Wind/Primary,,,111.6,,,,,,,,,,,,,,,,,,,,
DANZI2,CentralAfricanRepublic,,Solar/Primary,,,15,Candidate,,,,,,,,,,,,,,,,,,,
Bouar solar,CentralAfricanRepublic,,Solar/Primary,,,5,,,,,,,,,,,,,,,,,,,,
Bossangoa solar,CentralAfricanRepublic,,Solar/Primary,,,5,,,,,,,,,,,,,,,,,,,,
Berberati solar,CentralAfricanRepublic,,Solar/Primary,,,1,,,,,,,,,,,,,,,,,,,,
Bambari solar,CentralAfricanRepublic,,Solar/Primary,,,1,,,,,,,,,,,,,,,,,,,,
Sakai solar,CentralAfricanRepublic,,Solar/Primary,,,15,,,,,,,,,,,,,,,,,,,,
Danzi solar,CentralAfricanRepublic,,Solar/Primary,,,25,,,,,,,,,,,,,,,,,,,,
Solar PV Zone 005,CentralAfricanRepublic,,Solar/Primary,,,16281.96,,,,,,,,,,,,,,,,,,,,
Solar PV Zone 004,CentralAfricanRepublic,,Solar/Primary,,,25699.77,,,,,,,,,,,,,,,,,,,,
Solar PV Zone 003,CentralAfricanRepublic,,Solar/Primary,,,28106.72,,,,,,,,,,,,,,,,,,,,
Solar PV Zone 002,CentralAfricanRepublic,,Solar/Primary,,,12329.84,,,,,,,,,,,,,,,,,,,,
Solar PV Zone 001,CentralAfricanRepublic,,Solar/Primary,,,20329.98,,,,,,,,,,,,,,,,,,,,
Solar CSP 6hrStor Zone 002,CentralAfricanRepublic,,,,,49139.09,,,,,,,,,,,,,,,,,,,,
Solar CSP 6hrStor Zone 001,CentralAfricanRepublic,,,,,6057.83,,,,,,,,,,,,,,,,,,,,
Solar CSP 12hrStor Zone 002,CentralAfricanRepublic,,,,,3028.92,,,,,,,,,,,,,,,,,,,,
Solar CSP 12hrStor Zone 001,CentralAfricanRepublic,,,,,24569.54,,,,,,,,,,,,,,,,,,,,
Battery Storage 4 hrs,CentralAfricanRepublic,,,,,,,,,,,,,,,,,,,,,,,,,
Kousseri,Cameroon,,Oil/Primary,,,9.6,,,,,,,,,,,,,,,,,,,,
Djamboutou,Cameroon,,Oil/Primary,,,20,,,,,,,,,,,,,,,,,,,,
Maroua,Cameroon,,Oil/Primary,,,10,,,,,,,,,,,,,,,,,,,,
MamfeNguti,Cameroon,,Oil/Primary,,,8,,,,,,,,,,,,,,,,,,,,
NewRIN,Cameroon,,Oil/Primary,,,25,,,,,,,,,,,,,,,,,,,,
Ngaoundere,Cameroon,,Oil/Primary,,,10,Committed,,,,,,,,,,,,,,,,,,,
OYOMABANG-II,Cameroon,,Oil/Primary,,,9.6,Existing,,,,,,,,,,,,,,,,,,,
MBALMAYO.EDC,Cameroon,,Oil/Primary,,,10,Existing,,,,,,,,,,,,,,,,,,,
LIMBE,Cameroon,,Oil/Primary,,,10.62,Existing,,,,,,,,,,,,,,,,,,,
EBOLOWA.EDC,Cameroon,,Oil/Primary,,,10,Existing,,,,,,,,,,,,,,,,,,,
DOUALA.BASSA,Cameroon,,Oil/Primary,,,14.14,Existing,,,,,,,,,,,,,,,,,,,
BAMENDA,Cameroon,,Oil/Primary,,,20,Existing,,,,,,,,,,,,,,,,,,,
AHALA,Cameroon,,Oil/Primary,,,66,Existing,,,,,,,,,,,,,,,,,,,
YASSA-DIBAMBA,Cameroon,,HFO/Primary,,,86,Existing,,,,,,,,,,,,,,,,,,,
OYOMABANG-I,Cameroon,,HFO/Primary,,,18,Existing,,,,,,,,,,,,,,,,,,,
CAPE.LIMBOH,Cameroon,,HFO/Primary,,,82,Existing,,,,,,,,,,,,,,,,,,,
LITTORAL.POWER,Cameroon,,Gas/Primary,,,150,Candidate,,,,,,,,,,,,,,,,,,,
LIMBE.ERANOVE,Cameroon,,Gas/Primary,,,1200,Candidate,,,,,,,,,,,,,,,,,,,
KRIBI.Candidate,Cameroon,,Gas/Primary,,,114,Candidate,,,,,,,,,,,,,,,,,,,
KRIBI,Cameroon,,Gas/Primary,,,216,Existing,,,,,,,,,,,,,,,,,,,
ALTAAQA.LOGBABA,Cameroon,,Gas/Primary,,,29.9,Existing,,,,,,,,,,,,,,,,,,,
ALTAAQA.BASSA,Cameroon,,Gas/Primary,,,20.8,Existing,,,,,,,,,,,,,,,,,,,
Grand_Eweng_Ngodi,Cameroon,,Hydro/Primary,,,1080,,,,,,,,,,,,,,,,,,,,
Chutes_de_Nki,Cameroon,,Hydro/Primary,,,403,,,,,,,,,,,,,,,,,,,,
Edea,Cameroon,,Hydro/Primary,,,276.2,Existing,,,,,,,,,,,,,,,,,,,
Makay,Cameroon,,Hydro/Primary,,,350,Candidate,,,,,,,,,,,,,,,,,,,
Nachtigal_Amont,Cameroon,,Hydro/Primary,,,420,Committed,,,,,,,,,,,,,,,,,,,
Song_Loulou,Cameroon,,Hydro/Primary,,,384,Existing,,,,,,,,,,,,,,,,,,,
Song_Mbong,Cameroon,,Hydro/Primary,,,94,Candidate,,,,,,,,,,,,,,,,,,,
MEMVE_ELE,Cameroon,,Hydro/Primary,,,211,,,,,,,,,,,,,,,,,,,,
LOM-PANGAR,Cameroon,,Hydro/Primary,,,30,Committed,,,,,,,,,,,,,,,,,,,
LAGDO,Cameroon,,Hydro/Primary,,,72,Existing,,,,,,,,,,,,,,,,,,,
HYDRO-MEKIN,Cameroon,,Hydro/Primary,,,15,Committed,,,,,,,,,,,,,,,,,,,
CHOLLET_(DJA_RIVER),Cameroon,,Hydro/Primary,,,300,Candidate,,,,,,,,,,,,,,,,,,,
BINI_A_WARAK,Cameroon,,Hydro/Primary,,,75,Committed,,,,,,,,,,,,,,,,,,,
Colomines,Cameroon,,Hydro/Primary,,,12,,,,,,,,,,,,,,,,,,,,
Kastina_Ala,Cameroon,,Hydro/Primary,,,285,,,,,,,,,,,,,,,,,,,,
Ndjock ,Cameroon,,Hydro/Primary,,,117,,,,,,,,,,,,,,,,,,,,
Zoulabot,Cameroon,,Hydro/Primary,,,71,Candidate,,,,,,,,,,,,,,,,,,,
Yenga,Cameroon,,Hydro/Primary,,,113,Candidate,,,,,,,,,,,,,,,,,,,
Zoukomanbale,Cameroon,,Hydro/Primary,,,30,Candidate,,,,,,,,,,,,,,,,,,,
Mbam_Amont,Cameroon,,Hydro/Primary,,,149,Candidate,,,,,,,,,,,,,,,,,,,
Mandourou,Cameroon,,Hydro/Primary,,,70,,,,,,,,,,,,,,,,,,,,
Mbinjal,Cameroon,,Hydro/Primary,,,83,Candidate,,,,,,,,,,,,,,,,,,,
Edea_Amont,Cameroon,,Hydro/Primary,,,474,,,,,,,,,,,,,,,,,,,,
Mouila_Mogue,Cameroon,,Hydro/Primary,,,498,Candidate,,,,,,,,,,,,,,,,,,,
Nyazom,Cameroon,,Hydro/Primary,,,367,Candidate,,,,,,,,,,,,,,,,,,,
Kikot_Aval,Cameroon,,Hydro/Primary,,,659,,,,,,,,,,,,,,,,,,,,
Bayomen,Cameroon,,Hydro/Primary,,,470,Candidate,,,,,,,,,,,,,,,,,,,
Song_Ndong,Cameroon,,Hydro/Primary,,,270,Candidate,,,,,,,,,,,,,,,,,,,
SONG_MBENGUE,Cameroon,,Hydro/Primary,,,0,Candidate,,,,,,,,,,,,,,,,,,,
NGOILA,Cameroon,,Hydro/Primary,,,84,Candidate,,,,,,,,,,,,,,,,,,,
KIKOT,Cameroon,,Hydro/Primary,,,450,Candidate,,,,,,,,,,,,,,,,,,,
NACHTIGAL_AVAL,Cameroon,,Hydro/Primary,,,260,Candidate,,,,,,,,,,,,,,,,,,,
MENCHUM_BAMENDA,Cameroon,,Hydro/Primary,,,72,Candidate,,,,,,,,,,,,,,,,,,,
MBAKAOU_MINI,Cameroon,,Hydro/Primary,,,1.4,Committed,,,,,,,,,,,,,,,,,,,
FORZI.AKWAYA,Cameroon,,Bagasse/Primary,,,50,Deleted,,,,,,,,,,,,,,,,,,,
Wind Zone 005,Cameroon,,Wind/Primary,,,4276.97,,,,,,,,,,,,,,,,,,,,
Wind Zone 004,Cameroon,,Wind/Primary,,,8249.86,,,,,,,,,,,,,,,,,,,,
Wind Zone 003,Cameroon,,Wind/Primary,,,832.12,,,,,,,,,,,,,,,,,,,,
Wind Zone 002,Cameroon,,Wind/Primary,,,1533.39,,,,,,,,,,,,,,,,,,,,
Wind Zone 001,Cameroon,,Wind/Primary,,,6296.12,,,,,,,,,,,,,,,,,,,,
Mbalmayo_JCM_Solar_Grid,Cameroon,,Solar/Primary,,,72,Candidate,,,,,,,,,,,,,,,,,,,
GUIDER_MAROUA_RENT,Cameroon,,Solar/Primary,,,30,Candidate,,,,,,,,,,,,,,,,,,,
P166,Cameroon,,Solar/Primary,,,36,Candidate,,,,,,,,,,,,,,,,,,,
Ngaoundere_GDS_Orion,Cameroon,,Solar/Primary,,,30,Candidate,,,,,,,,,,,,,,,,,,,
Garoua_Kunson,Cameroon,,Solar/Primary,,,30,Candidate,,,,,,,,,,,,,,,,,,,
Maroua_MAECI_PV,Cameroon,,Solar/Primary,,,60,Candidate,,,,,,,,,,,,,,,,,,,
Ngaoundere_Rubis_Solar_PV,Cameroon,,Solar/Primary,,,30,Candidate,,,,,,,,,,,,,,,,,,,
SYNOHYDRO Lagdo PV ,Cameroon,,Solar/Primary,,,20,Candidate,,,,,,,,,,,,,,,,,,,
Garoua_GSC_ENERGY,Cameroon,,Solar/Primary,,,50,Candidate,,,,,,,,,,,,,,,,,,,
Solar PV Zone 005,Cameroon,,Solar/Primary,,,8481.28,,,,,,,,,,,,,,,,,,,,
Solar PV Zone 004,Cameroon,,Solar/Primary,,,22614.02,,,,,,,,,,,,,,,,,,,,
Solar PV Zone 003,Cameroon,,Solar/Primary,,,6345.29,,,,,,,,,,,,,,,,,,,,
Solar PV Zone 002,Cameroon,,Solar/Primary,,,28537.22,,,,,,,,,,,,,,,,,,,,
Solar PV Zone 001,Cameroon,,Solar/Primary,,,10398.54,,,,,,,,,,,,,,,,,,,,
SOUTH.GRID.SOLAR,Cameroon,,Solar/Primary,,,60,Deleted,,,,,,,,,,,,,,,,,,,
NGAOUNDERE.SOLAR,Cameroon,,Solar/Primary,,,10,Deleted,,,,,,,,,,,,,,,,,,,
MAROUA.SOLAR,Cameroon,,Solar/Primary,,,15,Candidate,,,,,,,,,,,,,,,,,,,
GUIDER.SOLAR,Cameroon,,Solar/Primary,,,10,Candidate,,,,,,,,,,,,,,,,,,,
GAROUA.SOLAR,Cameroon,,Solar/Primary,,,30,Candidate,,,,,,,,,,,,,,,,,,,
FOYER.DU.MARIN,Cameroon,,Solar/Primary,,,0.01,Deleted,,,,,,,,,,,,,,,,,,,
Solar CSP 6hrStor Zone 002,Cameroon,,,,,8961.07,,,,,,,,,,,,,,,,,,,,
Solar CSP 6hrStor Zone 001,Cameroon,,,,,32296.42,,,,,,,,,,,,,,,,,,,,
Solar CSP 12hrStor Zone 002,Cameroon,,,,,4480.54,,,,,,,,,,,,,,,,,,,,
Solar CSP 12hrStor Zone 001,Cameroon,,,,,16148.21,,,,,,,,,,,,,,,,,,,,
Battery Storage 4 hrs,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,
OUESSO,Congo,,Oil/Primary,,,6,,,,,,,,,,,,,,,,,,,,
Sibiti,Congo,,Oil/Primary,,,2.05,Existing,,,,,,,,,,,,,,,,,,,
Oyo,Congo,,Oil/Primary,,,5,Existing,,,,,,,,,,,,,,,,,,,
Madingou,Congo,,Oil/Primary,,,2.05,Existing,,,,,,,,,,,,,,,,,,,
Dolisie,Congo,,Oil/Primary,,,1.6,Existing,,,,,,,,,,,,,,,,,,,
POINTE-NOIRE.SNE,Congo,,Oil/Primary,,,8.76,Existing,,,,,,,,,,,,,,,,,,,
POINTE-NOIRE,Congo,,Oil/Primary,,,4.41,Existing,,,,,,,,,,,,,,,,,,,
MPILA,Congo,,Oil/Primary,,,32,Existing,,,,,,,,,,,,,,,,,,,
POINTE-NOIRE,Congo,,HFO/Primary,,,13.24,Existing,,,,,,,,,,,,,,,,,,,
DJENO.TOTAL,Congo,,Gas/Primary,,,11,Existing,,,,,,,,,,,,,,,,,,,
DJENO.ENI,Congo,,Gas/Primary,,,50,Existing,,,,,,,,,,,,,,,,,,,
COTE.MATEVE,Congo,,Gas/Primary,,,484,Existing,,,,,,,,,,,,,,,,,,,
N_KOMO_DAM,Congo,,Hydro/Primary,,,4,,,,,,,,,,,,,,,,,,,,
MOUKOUKOULOU,Congo,,Hydro/Primary,,,74,Existing,,,,,,,,,,,,,,,,,,,
MPOUKOU,Congo,,Hydro/Primary,,,180,Candidate,,,,,,,,,,,,,,,,,,,
NYANGA,Congo,,Hydro/Primary,,,230,Candidate,,,,,,,,,,,,,,,,,,,
SOUNDA_GORGE,Congo,,Hydro/Primary,,,500,Candidate,,,,,,,,,,,,,,,,,,,
DJOUE_Rebuild,Congo,,Hydro/Primary,,,18.12,Existing,,,,,,,,,,,,,,,,,,,
