zext,q,d,year,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Bulgaria,Q1,d2,2031,64.547,58.843,56.065,68.162,87.277,144.958,142.228,134.661,138.746,141.672,133.590,130.389,132.416,167.180,234.095,281.323,255.636,245.871,197.578,197.985,146.547,138.668,105.734,107.245
Bulgaria,Q1,d2,2032,62.664,57.121,54.421,66.177,84.752,140.806,138.153,130.800,134.769,137.613,129.758,126.648,128.618,162.401,227.427,273.322,248.359,238.870,191.941,192.336,142.350,134.693,102.689,104.157
Bulgaria,Q1,d2,2033,60.781,55.399,52.778,64.192,82.228,136.654,134.077,126.938,130.792,133.553,125.927,122.907,124.819,157.621,220.759,265.321,241.083,231.870,186.303,186.687,138.153,130.718,99.644,101.069
Bulgaria,Q1,d2,2034,58.897,53.676,51.134,62.206,79.703,132.500,130.000,123.075,126.813,129.492,122.094,119.165,121.019,152.840,214.088,257.317,233.804,224.867,180.663,181.036,133.954,126.742,96.597,97.980
Bulgaria,Q1,d2,2035,57.014,51.955,49.490,60.221,77.178,128.348,125.925,119.213,122.836,125.432,118.262,115.423,117.221,148.060,207.420,249.316,226.529,217.866,175.026,175.387,129.757,122.767,93.552,94.892
Bulgaria,Q1,d2,2036,54.666,49.806,47.440,57.745,74.029,123.168,120.841,114.396,117.875,120.368,113.483,110.756,112.483,142.098,199.101,239.335,217.452,209.133,167.993,168.340,124.521,117.808,89.753,91.040
Bulgaria,Q1,d2,2037,52.318,47.659,45.391,55.270,70.881,117.989,115.759,109.580,112.915,115.305,108.704,106.091,107.746,136.137,190.786,229.357,208.378,200.403,160.963,161.295,119.286,112.852,85.955,87.189
Bulgaria,Q1,d2,2038,49.969,45.511,43.340,52.794,67.732,112.809,110.675,104.762,107.954,110.241,103.925,101.424,103.007,130.175,182.468,219.376,199.301,191.670,153.930,154.248,114.050,107.893,82.156,83.337
Bulgaria,Q1,d2,2039,47.620,43.363,41.290,50.318,64.583,107.629,105.591,99.945,102.993,105.177,99.145,96.757,98.269,124.213,174.149,209.394,190.224,182.937,146.898,147.201,108.815,102.935,78.358,79.484
Bulgaria,Q1,d2,2040,45.271,41.215,39.240,47.842,61.434,102.449,100.507,95.127,98.032,100.112,94.365,92.090,93.531,118.250,165.831,199.413,181.148,174.204,139.865,140.154,103.579,97.976,74.558,75.632
Bulgaria,Q1,d2,2041,44.769,40.756,38.802,47.312,60.761,101.342,99.421,94.098,96.971,99.030,93.344,91.092,92.518,116.976,164.053,197.280,179.207,172.337,138.362,138.648,102.459,96.916,73.746,74.809
Bulgaria,Q1,d2,2042,44.267,40.297,38.364,46.783,60.087,100.235,98.334,93.068,95.911,97.947,92.322,90.094,91.505,115.701,162.274,195.146,177.267,170.471,136.858,137.142,101.340,95.856,72.934,73.985
Bulgaria,Q1,d2,2043,43.764,39.837,37.925,46.253,59.413,99.126,97.246,92.036,94.848,96.863,91.299,89.095,90.490,114.425,160.494,193.009,175.324,168.601,135.353,135.633,100.219,94.795,72.121,73.161
Bulgaria,Q1,d2,2044,43.262,39.378,37.486,45.724,58.740,98.018,96.159,91.007,93.788,95.781,90.277,88.098,89.478,113.150,158.715,190.875,173.383,166.734,133.850,134.126,99.100,93.735,71.309,72.337
Bulgaria,Q1,d2,2045,42.760,38.919,37.048,45.194,58.067,96.911,95.072,89.977,92.727,94.698,89.255,87.100,88.465,111.876,156.937,188.742,171.443,164.867,132.346,132.620,97.981,92.675,70.497,71.514
Bulgaria,Q1,d2,2046,42.258,38.460,36.610,44.665,57.394,95.804,93.985,88.947,91.667,93.615,88.233,86.102,87.452,110.601,155.159,186.608,169.503,163.001,130.843,131.114,96.862,91.615,69.685,70.690
Bulgaria,Q1,d2,2047,41.756,38.001,36.172,44.136,56.721,94.697,92.899,87.917,90.606,92.533,87.212,85.105,86.439,109.326,153.381,184.475,167.563,161.134,129.339,129.607,95.742,90.555,68.873,69.867
Bulgaria,Q1,d2,2048,41.253,37.541,35.733,43.606,56.046,93.588,91.810,86.886,89.544,91.449,86.188,84.106,85.424,108.050,151.600,182.338,165.619,159.264,127.834,128.099,94.621,89.493,68.059,69.042
Bulgaria,Q1,d2,2049,40.751,37.081,35.294,43.076,55.373,92.480,90.724,85.856,88.484,90.366,85.166,83.108,84.412,106.775,149.822,180.204,163.679,157.397,126.331,126.592,93.502,88.433,67.247,68.219
Bulgaria,Q1,d2,2050,40.249,36.622,34.856,42.547,54.700,91.373,89.637,84.826,87.423,89.284,84.145,82.110,83.399,105.501,148.044,178.071,161.739,155.531,124.827,125.086,92.383,87.373,66.435,67.395
Bulgaria,Q1,d2,2051,40.249,36.622,34.856,42.547,54.700,91.373,89.637,84.826,87.423,89.284,84.145,82.110,83.399,105.501,148.044,178.071,161.739,155.531,124.827,125.086,92.383,87.373,66.435,67.395
Bulgaria,Q1,d2,2052,40.249,36.622,34.856,42.547,54.700,91.373,89.637,84.826,87.423,89.284,84.145,82.110,83.399,105.501,148.044,178.071,161.739,155.531,124.827,125.086,92.383,87.373,66.435,67.395
Bulgaria,Q1,d2,2053,40.249,36.622,34.856,42.547,54.700,91.373,89.637,84.826,87.423,89.284,84.145,82.110,83.399,105.501,148.044,178.071,161.739,155.531,124.827,125.086,92.383,87.373,66.435,67.395
Bulgaria,Q1,d3,2024,3.523,0.010,0.010,0.646,29.179,130.407,143.976,139.693,123.286,44.687,6.943,16.576,24.784,78.327,114.965,148.277,152.774,146.731,143.826,123.295,121.224,14.299,44.846,19.078
Bulgaria,Q1,d3,2025,3.389,0.010,0.010,0.580,28.441,127.283,140.531,136.350,120.329,43.583,6.729,16.134,24.149,76.430,112.204,144.731,149.123,143.221,140.385,120.338,118.316,13.911,43.738,18.577
Bulgaria,Q1,d3,2026,3.255,0.010,0.010,0.514,27.702,124.159,137.087,133.007,117.373,42.479,6.514,15.693,23.514,74.533,109.444,141.186,145.471,139.713,136.945,117.382,115.409,13.523,42.630,18.077
Bulgaria,Q1,d3,2027,3.121,0.010,0.010,0.448,26.963,121.034,133.643,129.664,114.416,41.375,6.299,15.251,22.879,72.636,106.684,137.640,141.820,136.203,133.504,114.425,112.501,13.135,41.523,17.576
Bulgaria,Q1,d3,2028,2.987,0.010,0.010,0.381,26.224,117.910,130.199,126.321,111.460,40.270,6.085,14.809,22.244,70.739,103.923,134.095,138.169,132.695,130.064,111.468,109.593,12.747,40.415,17.075
Bulgaria,Q1,d3,2029,2.853,0.010,0.010,0.315,25.485,114.784,126.754,122.976,108.502,39.166,5.870,14.367,21.609,68.841,101.162,130.548,134.516,129.184,126.621,108.510,106.683,12.359,39.306,16.575
