gen,q,d,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Kakaka_HPP,Q3,d1,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667
Kakaka_HPP,Q3,d2,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667
Kakaka_HPP,Q3,d3,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667
Kakaka_HPP,Q3,d4,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667
Kakaka_HPP,Q3,d5,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667,0.400166667
Kakaka_HPP,Q4,d1,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222
Kakaka_HPP,Q4,d2,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222
Kakaka_HPP,Q4,d3,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222
Kakaka_HPP,Q4,d4,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222
Kakaka_HPP,Q4,d5,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222,0.691722222
Karum_ HPP,Q1,d1,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333
Karum_ HPP,Q1,d2,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333
Karum_ HPP,Q1,d3,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333
Karum_ HPP,Q1,d4,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333
Karum_ HPP,Q1,d5,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333,0.904083333
Karum_ HPP,Q2,d1,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222
Karum_ HPP,Q2,d2,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222
Karum_ HPP,Q2,d3,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222,0.894222222
