zone,tech,fuel,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life
Burundi,ST,Biomass,0.55,12.5,0.5,0.5,0,0.05,100000,2.5,0,2,30
Burundi,ST,Geothermal,0.85,4.5,0.2,0.2,0,0.1,100000,0.5,0,4.5,30
Tanzania,ST ,Coal,0.3,8.5,0.5,0.5,0,0,60000,3,0,2,30
Tanzania,ST ,Lignite,0.55,10.3,0.5,0.5,0,0,60000,3,0,2,30
Tanzania,OCGT,Gas,0,9,1,1,0,0.2,20000,4,0,0.8,30
Tanzania,OCGT,HFO,0,9.9,1,1,0,0.2,20000,4.4,0,0.8,30
Tanzania,OCGT,Diesel,0,9.9,1,1,0,0.2,20000,4.4,0,0.8,30
Tanzania,CCGT,Gas,0.45,6.4,1,1,0,0.05,30000,2,0,0.9,30
Tanzania,ReservoirHydro,Water,0,,1,1,0,0.45,50000,0.5,0,3.3,50
Tanzania,ROR,Water,0,,1,1,0,0.4,40000,0.5,0,2.8,50
Tanzania,PV,Solar,0,,1,1,0,0,15000,0,0,0.8,25
Tanzania,OnshoreWind,Wind,0,,1,1,0,0,40000,0,0,1.3,30
Tanzania,OffshoreWind,Wind,0,,1,1,0,0,70000,0,0,3,30
Tanzania,BiomassPlant,Biomass,0,12.5,1,1,0,0.05,100000,2.5,0,2,30
Tanzania,Storage,Battery,0,,1,1,0,0.75,40000,0,0,0.3,20
Tanzania,ST,Peat,0.3,10.8,0.5,0.5,0,0,60000,3,0,2,30
Tanzania,ST,Waste,0.3,11.5,0.5,0.5,0,0,65000,3.5,0,2.5,30
Tanzania,ICE,HFO,0,9.5,1,1,0,0.2,25000,5,0,0.9,25
Tanzania,Geothermal,Geothermal,0.9,3.8,0.2,0.2,0,0.1,100000,0.5,0,4.5,30
Tanzania,ST,Gas,0.3,9,0.5,0.5,0,0,60000,2.5,0,2,30
Tanzania,CCGT_CCS,Gas,0.45,7.5,1,1,0,0.05,40000,3,0,1.5,30
Tanzania,CSPPlant,Solar,0,,0.1,0.1,0,0.25,40000,0,0,3.5,30
Tanzania,ICE,Gas,0,9.5,1,1,0,0.2,25000,4.5,0,0.9,25
Tanzania,ST,Diesel,0.3,10.5,0.5,0.5,0,0,60000,4,0,2,30
Tanzania,ST,HFO,0.3,10.2,0.5,0.5,0,0,60000,4.2,0,2,30
Tanzania,Nuclear,Uranium,0.85,10.5,0.05,0.05,0.05,0.01,120000,1,0,6,60
Tanzania,CCGT,LFO,0.45,7.5,1,1,0,0.05,30000,2.5,0,0.9,30
Tanzania,OCGT_CCS,Gas,0,10.5,1,1,0,0.2,25000,5,0,1.2,30
Tanzania,Storage,Pumped,0,,1,1,0,0.4,60000,0,0,2.5,60
Tanzania,RPV,Solar,0,,,,0,,12000,0,0,0.7,25
Tanzania,OCGT,LFO,0,10,1,1,0,0.2,20000,4.2,0,0.8,30
Tanzania,Storage,Water,0,,1,1,0,0.3,50000,0,0,2,50
Tanzania,ICE,Methane,0,9.2,1,1,0,0.2,25000,4.5,0,0.9,25
Tanzania,ST,Biomass,0.55,12.5,0.5,0.5,0,0.05,100000,2.5,0,2,30
Tanzania,ST,Geothermal,0.85,4.5,0.2,0.2,0,0.1,100000,0.5,0,4.5,30
Uganda,ST ,Coal,0.3,8.5,0.5,0.5,0,0,60000,3,0,2,30
Uganda,ST ,Lignite,0.55,10.3,0.5,0.5,0,0,60000,3,0,2,30
Uganda,OCGT,Gas,0,9,1,1,0,0.2,20000,4,0,0.8,30
Uganda,OCGT,HFO,0,9.9,1,1,0,0.2,20000,4.4,0,0.8,30
Uganda,OCGT,Diesel,0,9.9,1,1,0,0.2,20000,4.4,0,0.8,30
Uganda,CCGT,Gas,0.45,6.4,1,1,0,0.05,30000,2,0,0.9,30
Uganda,ReservoirHydro,Water,0,,1,1,0,0.45,50000,0.5,0,3.3,50
Uganda,ROR,Water,0,,1,1,0,0.4,40000,0.5,0,2.8,50
Uganda,PV,Solar,0,,,,,,15000,0,0,0.8,25
Uganda,OnshoreWind,Wind,0,,,,,,40000,0,0,1.3,30
Uganda,OffshoreWind,Wind,0,,,,,,70000,0,0,3,30
Uganda,BiomassPlant,Biomass,0,12.5,1,1,0,0.05,100000,2.5,0,2,30
Uganda,Storage,Battery,0,,1,1,0,,40000,0,0,0.3,20
Uganda,ST,Peat,0.3,10.8,0.5,0.5,0,0,60000,3,0,2,30
Uganda,ST,Waste,0.3,11.5,0.5,0.5,0,0,65000,3.5,0,2.5,30
Uganda,ICE,HFO,0,9.5,1,1,0,0.2,25000,5,0,0.9,25
Uganda,Geothermal,Geothermal,0.9,3.8,0.2,0.2,0,0.1,100000,0.5,0,4.5,30
Uganda,ST,Gas,0.3,9,0.5,0.5,0,0,60000,2.5,0,2,30
Uganda,CCGT_CCS,Gas,0.45,7.5,1,1,0,0.05,40000,3,0,1.5,30
Uganda,CSPPlant,Solar,0,,0.1,0.1,0,0.25,40000,0,0,3.5,30
Uganda,ICE,Gas,0,9.5,1,1,0,0.2,25000,4.5,0,0.9,25
Uganda,ST,Diesel,0.3,10.5,0.5,0.5,0,0,60000,4,0,2,30
Uganda,ST,HFO,0.3,10.2,0.5,0.5,0,0,60000,4.2,0,2,30
Uganda,Nuclear,Uranium,0.85,10.5,0.05,0.05,0.05,0.01,120000,1,0,6,60
Uganda,CCGT,LFO,0.45,7.5,1,1,0,0.05,30000,2.5,0,0.9,30
Uganda,OCGT_CCS,Gas,0,10.5,1,1,0,0.2,25000,5,0,1.2,30
Uganda,Storage,Pumped,0,,1,1,0,0.4,60000,0,0,2.5,60
Uganda,RPV,Solar,0,,,,0,,12000,0,0,0.7,25
Uganda,OCGT,LFO,0,10,1,1,0,0.2,20000,4.2,0,0.8,30
Uganda,Storage,Water,0,,1,1,0,0.3,50000,0,0,2,50
Uganda,ICE,Methane,0,9.2,1,1,0,0.2,25000,4.5,0,0.9,25
Uganda,ST,Biomass,0.55,12.5,0.5,0.5,0,0.05,100000,2.5,0,2,30
Uganda,ST,Geothermal,0.85,4.5,0.2,0.2,0,0.1,100000,0.5,0,4.5,30
Rwanda,ST ,Coal,0.3,8.5,0.5,0.5,0,0,60000,3,0,2,30
Rwanda,ST ,Lignite,0.55,10.3,0.5,0.5,0,0,60000,3,0,2,30
Rwanda,OCGT,Gas,0,9,1,1,0,0.2,20000,4,0,0.8,30
Rwanda,OCGT,HFO,0,9.9,1,1,0,0.2,20000,4.4,0,0.8,30
Rwanda,OCGT,Diesel,0,9.9,1,1,0,0.2,20000,4.4,0,0.8,30
Rwanda,CCGT,Gas,0.45,6.4,1,1,0,0.05,30000,2,0,0.9,30
Rwanda,ReservoirHydro,Water,0,,1,1,0,0.45,50000,0.5,0,3.3,50
Rwanda,ROR,Water,0,,1,1,0,0.4,40000,0.5,0,2.8,50
Rwanda,PV,Solar,0,,,,,,15000,0,0,0.8,25
Rwanda,OnshoreWind,Wind,0,,,,,,40000,0,0,1.3,30
Rwanda,OffshoreWind,Wind,0,,,,,,70000,0,0,3,30
Rwanda,BiomassPlant,Biomass,0,12.5,1,1,0,0.05,100000,2.5,0,2,30
Rwanda,Storage,Battery,0,,1,1,0,,40000,0,0,0.3,20
Rwanda,ST,Peat,0.3,10.8,0.5,0.5,0,0,60000,3,0,2,30
Rwanda,ST,Waste,0.3,11.5,0.5,0.5,0,0,65000,3.5,0,2.5,30
Rwanda,ICE,HFO,0,9.5,1,1,0,0.2,25000,5,0,0.9,25
Rwanda,Geothermal,Geothermal,0.9,3.8,0.2,0.2,0,0.1,100000,0.5,0,4.5,30
Rwanda,ST,Gas,0.3,9,0.5,0.5,0,0,60000,2.5,0,2,30
Rwanda,CCGT_CCS,Gas,0.45,7.5,1,1,0,0.05,40000,3,0,1.5,30
Rwanda,CSPPlant,Solar,0,,0.1,0.1,0,0.25,40000,0,0,3.5,30
Rwanda,ICE,Gas,0,9.5,1,1,0,0.2,25000,4.5,0,0.9,25
Rwanda,ST,Diesel,0.3,10.5,0.5,0.5,0,0,60000,4,0,2,30
Rwanda,ST,HFO,0.3,10.2,0.5,0.5,0,0,60000,4.2,0,2,30
Rwanda,Nuclear,Uranium,0.85,10.5,0.05,0.05,0.05,0.01,120000,1,0,6,60
Rwanda,CCGT,LFO,0.45,7.5,1,1,0,0.05,30000,2.5,0,0.9,30
Rwanda,OCGT_CCS,Gas,0,10.5,1,1,0,0.2,25000,5,0,1.2,30
Rwanda,Storage,Pumped,0,,1,1,0,0.4,60000,0,0,2.5,60
Rwanda,RPV,Solar,0,,,,0,,12000,0,0,0.7,25
Rwanda,OCGT,LFO,0,10,1,1,0,0.2,20000,4.2,0,0.8,30
Rwanda,Storage,Water,0,,1,1,0,0.3,50000,0,0,2,50
Rwanda,ICE,Methane,0,9.2,1,1,0,0.2,25000,4.5,0,0.9,25
Rwanda,ST,Biomass,0.55,12.5,0.5,0.5,0,0.05,100000,2.5,0,2,30
Rwanda,ST,Geothermal,0.85,4.5,0.2,0.2,0,0.1,100000,0.5,0,4.5,30
Kenya,ST ,Coal,0.3,8.5,0.5,0.5,0,0,60000,3,0,2,30
Kenya,ST ,Lignite,0.55,10.3,0.5,0.5,0,0,60000,3,0,2,30
Kenya,OCGT,Gas,0,9,1,1,0,0.2,20000,4,0,0.8,30
Kenya,OCGT,HFO,0,9.9,1,1,0,0.2,20000,4.4,0,0.8,30
Kenya,OCGT,Diesel,0,9.9,1,1,0,0.2,20000,4.4,0,0.8,30
Kenya,CCGT,Gas,0.45,6.4,1,1,0,0.05,30000,2,0,0.9,30
Kenya,ReservoirHydro,Water,0,,1,1,0,0.45,50000,0.5,0,3.3,50
Kenya,ROR,Water,0,,1,1,0,0.4,40000,0.5,0,2.8,50
Kenya,PV,Solar,0,,,,,,15000,0,0,0.8,25
Kenya,OnshoreWind,Wind,0,,,,,,40000,0,0,1.3,30
Kenya,OffshoreWind,Wind,0,,,,,,70000,0,0,3,30
Kenya,BiomassPlant,Biomass,0,12.5,1,1,0,0.05,100000,2.5,0,2,30
Kenya,Storage,Battery,0,,1,1,0,,40000,0,0,0.3,20
Kenya,ST,Peat,0.3,10.8,0.5,0.5,0,0,60000,3,0,2,30
Kenya,ST,Waste,0.3,11.5,0.5,0.5,0,0,65000,3.5,0,2.5,30
Kenya,ICE,HFO,0,9.5,1,1,0,0.2,25000,5,0,0.9,25
Kenya,Geothermal,Geothermal,0.9,3.8,0.2,0.2,0,0.1,100000,0.5,0,4.5,30
Kenya,ST,Gas,0.3,9,0.5,0.5,0,0,60000,2.5,0,2,30
Kenya,CCGT_CCS,Gas,0.45,7.5,1,1,0,0.05,40000,3,0,1.5,30
Kenya,CSPPlant,Solar,0,,0.1,0.1,0,0.25,40000,0,0,3.5,30
Kenya,ICE,Gas,0,9.5,1,1,0,0.2,25000,4.5,0,0.9,25
Kenya,ST,Diesel,0.3,10.5,0.5,0.5,0,0,60000,4,0,2,30
Kenya,ST,HFO,0.3,10.2,0.5,0.5,0,0,60000,4.2,0,2,30
Kenya,Nuclear,Uranium,0.85,10.5,0.05,0.05,0.05,0.01,120000,1,0,6,60
Kenya,CCGT,LFO,0.45,7.5,1,1,0,0.05,30000,2.5,0,0.9,30
Kenya,OCGT_CCS,Gas,0,10.5,1,1,0,0.2,25000,5,0,1.2,30
Kenya,Storage,Pumped,0,,1,1,0,0.4,60000,0,0,2.5,60
Kenya,RPV,Solar,0,,,,0,,12000,0,0,0.7,25
Kenya,OCGT,LFO,0,10,1,1,0,0.2,20000,4.2,0,0.8,30
Kenya,Storage,Water,0,,1,1,0,0.3,50000,0,0,2,50
Kenya,ICE,Methane,0,9.2,1,1,0,0.2,25000,4.5,0,0.9,25
Kenya,ST,Biomass,0.55,12.5,0.5,0.5,0,0.05,100000,2.5,0,2,30
Kenya,ST,Geothermal,0.85,4.5,0.2,0.2,0,0.1,100000,0.5,0,4.5,30
Sudan,ST ,Coal,0.3,8.5,0.5,0.5,0,0,60000,3,0,2,30
Sudan,ST ,Lignite,0.55,10.3,0.5,0.5,0,0,60000,3,0,2,30
Sudan,OCGT,Gas,0,9,1,1,0,0.2,20000,4,0,0.8,30
Sudan,OCGT,HFO,0,9.9,1,1,0,0.2,20000,4.4,0,0.8,30
Sudan,OCGT,Diesel,0,9.9,1,1,0,0.2,20000,4.4,0,0.8,30
Sudan,CCGT,Gas,0.45,6.4,1,1,0,0.05,30000,2,0,0.9,30
Sudan,ReservoirHydro,Water,0,,1,1,0,0.45,50000,0.5,0,3.3,50
Sudan,ROR,Water,0,,1,1,0,0.4,40000,0.5,0,2.8,50
Sudan,PV,Solar,0,,,,,,15000,0,0,0.8,25
Sudan,OnshoreWind,Wind,0,,,,,,40000,0,0,1.3,30
Sudan,OffshoreWind,Wind,0,,,,,,70000,0,0,3,30
Sudan,BiomassPlant,Biomass,0,12.5,1,1,0,0.05,100000,2.5,0,2,30
Sudan,Storage,Battery,0,,1,1,0,,40000,0,0,0.3,20
Sudan,ST,Peat,0.3,10.8,0.5,0.5,0,0,60000,3,0,2,30
Sudan,ST,Waste,0.3,11.5,0.5,0.5,0,0,65000,3.5,0,2.5,30
Sudan,ICE,HFO,0,9.5,1,1,0,0.2,25000,5,0,0.9,25
Sudan,Geothermal,Geothermal,0.9,3.8,0.2,0.2,0,0.1,100000,0.5,0,4.5,30
Sudan,ST,Gas,0.3,9,0.5,0.5,0,0,60000,2.5,0,2,30
Sudan,CCGT_CCS,Gas,0.45,7.5,1,1,0,0.05,40000,3,0,1.5,30
Sudan,CSPPlant,Solar,0,,0.1,0.1,0,0.25,40000,0,0,3.5,30
Sudan,ICE,Gas,0,9.5,1,1,0,0.2,25000,4.5,0,0.9,25
Sudan,ST,Diesel,0.3,10.5,0.5,0.5,0,0,60000,4,0,2,30
Sudan,ST,HFO,0.3,10.2,0.5,0.5,0,0,60000,4.2,0,2,30
Sudan,Nuclear,Uranium,0.85,10.5,0.05,0.05,0.05,0.01,120000,1,0,6,60
Sudan,CCGT,LFO,0.45,7.5,1,1,0,0.05,30000,2.5,0,0.9,30
Sudan,OCGT_CCS,Gas,0,10.5,1,1,0,0.2,25000,5,0,1.2,30
Sudan,Storage,Pumped,0,,1,1,0,0.4,60000,0,0,2.5,60
Sudan,RPV,Solar,0,,,,0,,12000,0,0,0.7,25
Sudan,OCGT,LFO,0,10,1,1,0,0.2,20000,4.2,0,0.8,30
Sudan,Storage,Water,0,,1,1,0,0.3,50000,0,0,2,50
Sudan,ICE,Methane,0,9.2,1,1,0,0.2,25000,4.5,0,0.9,25
Sudan,ST,Biomass,0.55,12.5,0.5,0.5,0,0.05,100000,2.5,0,2,30
Sudan,ST,Geothermal,0.85,4.5,0.2,0.2,0,0.1,100000,0.5,0,4.5,30
SouthSudan,ST ,Coal,0.3,8.5,0.5,0.5,0,0,60000,3,0,2,30
SouthSudan,ST ,Lignite,0.55,10.3,0.5,0.5,0,0,60000,3,0,2,30
SouthSudan,OCGT,Gas,0,9,1,1,0,0.2,20000,4,0,0.8,30
SouthSudan,OCGT,HFO,0,9.9,1,1,0,0.2,20000,4.4,0,0.8,30
SouthSudan,OCGT,Diesel,0,9.9,1,1,0,0.2,20000,4.4,0,0.8,30
SouthSudan,CCGT,Gas,0.45,6.4,1,1,0,0.05,30000,2,0,0.9,30
SouthSudan,ReservoirHydro,Water,0,,1,1,0,0.45,50000,0.5,0,3.3,50
SouthSudan,ROR,Water,0,,1,1,0,0.4,40000,0.5,0,2.8,50
SouthSudan,PV,Solar,0,,,,,,15000,0,0,0.8,25
SouthSudan,OnshoreWind,Wind,0,,,,,,40000,0,0,1.3,30
SouthSudan,OffshoreWind,Wind,0,,,,,,70000,0,0,3,30
SouthSudan,BiomassPlant,Biomass,0,12.5,1,1,0,0.05,100000,2.5,0,2,30
SouthSudan,Storage,Battery,0,,1,1,0,,40000,0,0,0.3,20
SouthSudan,ST,Peat,0.3,10.8,0.5,0.5,0,0,60000,3,0,2,30
SouthSudan,ST,Waste,0.3,11.5,0.5,0.5,0,0,65000,3.5,0,2.5,30
SouthSudan,ICE,HFO,0,9.5,1,1,0,0.2,25000,5,0,0.9,25
SouthSudan,Geothermal,Geothermal,0.9,3.8,0.2,0.2,0,0.1,100000,0.5,0,4.5,30
SouthSudan,ST,Gas,0.3,9,0.5,0.5,0,0,60000,2.5,0,2,30
SouthSudan,CCGT_CCS,Gas,0.45,7.5,1,1,0,0.05,40000,3,0,1.5,30
SouthSudan,CSPPlant,Solar,0,,0.1,0.1,0,0.25,40000,0,0,3.5,30
SouthSudan,ICE,Gas,0,9.5,1,1,0,0.2,25000,4.5,0,0.9,25
SouthSudan,ST,Diesel,0.3,10.5,0.5,0.5,0,0,60000,4,0,2,30
SouthSudan,ST,HFO,0.3,10.2,0.5,0.5,0,0,60000,4.2,0,2,30
SouthSudan,Nuclear,Uranium,0.85,10.5,0.05,0.05,0.05,0.01,120000,1,0,6,60
SouthSudan,CCGT,LFO,0.45,7.5,1,1,0,0.05,30000,2.5,0,0.9,30
SouthSudan,OCGT_CCS,Gas,0,10.5,1,1,0,0.2,25000,5,0,1.2,30
SouthSudan,Storage,Pumped,0,,1,1,0,0.4,60000,0,0,2.5,60
SouthSudan,RPV,Solar,0,,,,0,,12000,0,0,0.7,25
SouthSudan,OCGT,LFO,0,10,1,1,0,0.2,20000,4.2,0,0.8,30
SouthSudan,Storage,Water,0,,1,1,0,0.3,50000,0,0,2,50
SouthSudan,ICE,Methane,0,9.2,1,1,0,0.2,25000,4.5,0,0.9,25
SouthSudan,ST,Biomass,0.55,12.5,0.5,0.5,0,0.05,100000,2.5,0,2,30
SouthSudan,ST,Geothermal,0.85,4.5,0.2,0.2,0,0.1,100000,0.5,0,4.5,30
Drc_E,ST ,Coal,0.3,8.5,0.5,0.5,0,0,60000,3,0,2,30
Drc_E,ST ,Lignite,0.55,10.3,0.5,0.5,0,0,60000,3,0,2,30
Drc_E,OCGT,Gas,0,9,1,1,0,0.2,20000,4,0,0.8,30
Drc_E,OCGT,HFO,0,9.9,1,1,0,0.2,20000,4.4,0,0.8,30
Drc_E,OCGT,Diesel,0,9.9,1,1,0,0.2,20000,4.4,0,0.8,30
Drc_E,CCGT,Gas,0.45,6.4,1,1,0,0.05,30000,2,0,0.9,30
Drc_E,ReservoirHydro,Water,0,,1,1,0,0.45,50000,0.5,0,3.3,50
Drc_E,ROR,Water,0,,1,1,0,0.4,40000,0.5,0,2.8,50
Drc_E,PV,Solar,0,,,,,,15000,0,0,0.8,25
Drc_E,OnshoreWind,Wind,0,,,,,,40000,0,0,1.3,30
Drc_E,OffshoreWind,Wind,0,,,,,,70000,0,0,3,30
Drc_E,BiomassPlant,Biomass,0,12.5,1,1,0,0.05,100000,2.5,0,2,30
Drc_E,Storage,Battery,0,,1,1,0,,40000,0,0,0.3,20
Drc_E,ST,Peat,0.3,10.8,0.5,0.5,0,0,60000,3,0,2,30
Drc_E,ST,Waste,0.3,11.5,0.5,0.5,0,0,65000,3.5,0,2.5,30
Drc_E,ICE,HFO,0,9.5,1,1,0,0.2,25000,5,0,0.9,25
Drc_E,Geothermal,Geothermal,0.9,3.8,0.2,0.2,0,0.1,100000,0.5,0,4.5,30
Drc_E,ST,Gas,0.3,9,0.5,0.5,0,0,60000,2.5,0,2,30
Drc_E,CCGT_CCS,Gas,0.45,7.5,1,1,0,0.05,40000,3,0,1.5,30
Drc_E,CSPPlant,Solar,0,,0.1,0.1,0,0.25,40000,0,0,3.5,30
Drc_E,ICE,Gas,0,9.5,1,1,0,0.2,25000,4.5,0,0.9,25
Drc_E,ST,Diesel,0.3,10.5,0.5,0.5,0,0,60000,4,0,2,30
Drc_E,ST,HFO,0.3,10.2,0.5,0.5,0,0,60000,4.2,0,2,30
Drc_E,Nuclear,Uranium,0.85,10.5,0.05,0.05,0.05,0.01,120000,1,0,6,60
Drc_E,CCGT,LFO,0.45,7.5,1,1,0,0.05,30000,2.5,0,0.9,30
Drc_E,OCGT_CCS,Gas,0,10.5,1,1,0,0.2,25000,5,0,1.2,30
Drc_E,Storage,Pumped,0,,1,1,0,0.4,60000,0,0,2.5,60
Drc_E,RPV,Solar,0,,,,0,,12000,0,0,0.7,25
Drc_E,OCGT,LFO,0,10,1,1,0,0.2,20000,4.2,0,0.8,30
Drc_E,Storage,Water,0,,1,1,0,0.3,50000,0,0,2,50
Drc_E,ICE,Methane,0,9.2,1,1,0,0.2,25000,4.5,0,0.9,25
Drc_E,ST,Biomass,0.55,12.5,0.5,0.5,0,0.05,100000,2.5,0,2,30
Drc_E,ST,Geothermal,0.85,4.5,0.2,0.2,0,0.1,100000,0.5,0,4.5,30
Ethiopia,ST ,Coal,0.3,8.5,0.5,0.5,0,0,60000,3,0,2,30
Ethiopia,ST ,Lignite,0.55,10.3,0.5,0.5,0,0,60000,3,0,2,30
Ethiopia,OCGT,Gas,0,9,1,1,0,0.2,20000,4,0,0.8,30
Ethiopia,OCGT,HFO,0,9.9,1,1,0,0.2,20000,4.4,0,0.8,30
Ethiopia,OCGT,Diesel,0,9.9,1,1,0,0.2,20000,4.4,0,0.8,30
Ethiopia,CCGT,Gas,0.45,6.4,1,1,0,0.05,30000,2,0,0.9,30
Ethiopia,ReservoirHydro,Water,0,,1,1,0,0.45,50000,0.5,0,3.3,50
Ethiopia,ROR,Water,0,,1,1,0,0.4,40000,0.5,0,2.8,50
Ethiopia,PV,Solar,0,,,,,,15000,0,0,0.8,25
Ethiopia,OnshoreWind,Wind,0,,,,,,40000,0,0,1.3,30
Ethiopia,OffshoreWind,Wind,0,,,,,,70000,0,0,3,30
Ethiopia,BiomassPlant,Biomass,0,12.5,1,1,0,0.05,100000,2.5,0,2,30
Ethiopia,Storage,Battery,0,,1,1,0,,40000,0,0,0.3,20
Ethiopia,ST,Peat,0.3,10.8,0.5,0.5,0,0,60000,3,0,2,30
Ethiopia,ST,Waste,0.3,11.5,0.5,0.5,0,0,65000,3.5,0,2.5,30
Ethiopia,ICE,HFO,0,9.5,1,1,0,0.2,25000,5,0,0.9,25
Ethiopia,Geothermal,Geothermal,0.9,3.8,0.2,0.2,0,0.1,100000,0.5,0,4.5,30
Ethiopia,ST,Gas,0.3,9,0.5,0.5,0,0,60000,2.5,0,2,30
Ethiopia,CCGT_CCS,Gas,0.45,7.5,1,1,0,0.05,40000,3,0,1.5,30
Ethiopia,CSPPlant,Solar,0,,0.1,0.1,0,0.25,40000,0,0,3.5,30
Ethiopia,ICE,Gas,0,9.5,1,1,0,0.2,25000,4.5,0,0.9,25
Ethiopia,ST,Diesel,0.3,10.5,0.5,0.5,0,0,60000,4,0,2,30
Ethiopia,ST,HFO,0.3,10.2,0.5,0.5,0,0,60000,4.2,0,2,30
Ethiopia,Nuclear,Uranium,0.85,10.5,0.05,0.05,0.05,0.01,120000,1,0,6,60
Ethiopia,CCGT,LFO,0.45,7.5,1,1,0,0.05,30000,2.5,0,0.9,30
Ethiopia,OCGT_CCS,Gas,0,10.5,1,1,0,0.2,25000,5,0,1.2,30
Ethiopia,Storage,Pumped,0,,1,1,0,0.4,60000,0,0,2.5,60
Ethiopia,RPV,Solar,0,,,,0,,12000,0,0,0.7,25
Ethiopia,OCGT,LFO,0,10,1,1,0,0.2,20000,4.2,0,0.8,30
Ethiopia,Storage,Water,0,,1,1,0,0.3,50000,0,0,2,50
Ethiopia,ICE,Methane,0,9.2,1,1,0,0.2,25000,4.5,0,0.9,25
Ethiopia,ST,Biomass,0.55,12.5,0.5,0.5,0,0.05,100000,2.5,0,2,30
Ethiopia,ST,Geothermal,0.85,4.5,0.2,0.2,0,0.1,100000,0.5,0,4.5,30
Somaliland,ST ,Coal,0.3,8.5,0.5,0.5,0,0,60000,3,0,2,30
Somaliland,ST ,Lignite,0.55,10.3,0.5,0.5,0,0,60000,3,0,2,30
Somaliland,OCGT,Gas,0,9,1,1,0,0.2,20000,4,0,0.8,30
Somaliland,OCGT,HFO,0,9.9,1,1,0,0.2,20000,4.4,0,0.8,30
Somaliland,OCGT,Diesel,0,9.9,1,1,0,0.2,20000,4.4,0,0.8,30
Somaliland,CCGT,Gas,0.45,6.4,1,1,0,0.05,30000,2,0,0.9,30
Somaliland,ReservoirHydro,Water,0,,1,1,0,0.45,50000,0.5,0,3.3,50
Somaliland,ROR,Water,0,,1,1,0,0.4,40000,0.5,0,2.8,50
Somaliland,PV,Solar,0,,,,,,15000,0,0,0.8,25
Somaliland,OnshoreWind,Wind,0,,,,,,40000,0,0,1.3,30
Somaliland,OffshoreWind,Wind,0,,,,,,70000,0,0,3,30
Somaliland,BiomassPlant,Biomass,0,12.5,1,1,0,0.05,100000,2.5,0,2,30
Somaliland,Storage,Battery,0,,1,1,0,,40000,0,0,0.3,20
Somaliland,ST,Peat,0.3,10.8,0.5,0.5,0,0,60000,3,0,2,30
Somaliland,ST,Waste,0.3,11.5,0.5,0.5,0,0,65000,3.5,0,2.5,30
