gen	Q1	Q2	Q3	Q4
Kuriemat-1_ST	0.9	0.9	0.9	0.9
Kuriemat-2_ST	0.9	0.9	0.9	0.9
Oyon-Mousa_ST	0.9	0.9	0.9	0.9
Port-Said-East_ST	0.9	0.9	0.9	0.9
Sidi-Kirir-1-2_ST	0.9	0.9	0.9	0.9
Sidi-Kirir-3-4_ST	0.9	0.9	0.9	0.9
South-Helwan-1_ST	0.9	0.9	0.9	0.9
South-Helwan-2_ST	0.9	0.9	0.9	0.9
South-Helwan-3_ST	0.9	0.9	0.9	0.9
Suez_ST	0.9	0.9	0.9	0.9
Suez-Gulf_ST	0.9	0.9	0.9	0.9
Talkha_ST	0.9	0.9	0.9	0.9
Walideya_ST	0.55	0.55	0.55	0.55
Aswan-Dam_HY	0.55	0.55	0.55	0.55
Aswan-Dam-2_HY	0.55	0.55	0.55	0.55
Esna_HY	0.55	0.55	0.55	0.55
High-Dam_HY	0.55	0.55	0.55	0.55
Naga-Hamadi_HY	0.96	0.96	0.96	0.96
Gabal-El-Zeit_WI	0.96	0.96	0.96	0.96
Ras-Gharib_WI	0.96	0.96	0.96	0.96
Zafarana_WI	0.93	0.93	0.93	0.93
Generic_GCCGT_1	0.9	0.9	0.9	0.9
Generic_GCCGT_2	0.9	0.9	0.9	0.9
Boku_Geothermal	0.9	0.9	0.9	0.9
Dofan_Geothermal	0.9	0.9	0.9	0.9
Dugna_Fango_Geothermal	0.9	0.9	0.9	0.9
Fentale_Geothermal	0.89	0.89	0.89	0.89
Generic_Geothermal_1	0.9	0.9	0.9	0.9
Shashemene_Geothermal	0.9	0.9	0.9	0.9
Tendaho-Alalobad_Geothermal	0.93	0.93	0.93	0.93
Generic_GasCT_1	0.9	0.9	0.9	0.9
Generic_GasCT_2	0.86	0.86	0.86	0.86
Generic_LFO_1	0.86	0.86	0.86	0.86
Generic_LFO_2	0.99	0.99	0.99	0.99
Gad-II_solar	0.94	0.94	0.94	0.94
Generic_Solar_1	0.99	0.99	0.99	0.99
Adigala	0.49	0.51	0.49	0.45
Aleltu_East_HEP	0.46	0.48	0.46	0.43
Aleltu_West_HEP	0.46	0.48	0.48	0.45
Assosa_Bambasi	0.99	0.99	0.99	0.99
Ayisha-IA	0.99	0.99	0.99	0.99
Ayisha-IB	0.99	0.99	0.99	0.99
Ayisha-III_A	0.99	0.99	0.99	0.99
Ayisha-IIIB	0.46	0.48	0.48	0.45
Baro_1	0.44	0.46	0.44	0.41
Baro_2_HEP	0.46	0.48	0.48	0.45
Beko_Abo	0.46	0.48	0.48	0.45
Birbir	0.46	0.48	0.48	0.45
Birbir_R	0.5	0.52	0.49	0.46
Dabus_HEP	0.16	0.16	0.16	0.16
Deday	0.46	0.48	0.48	0.45
Geba_1	0.46	0.48	0.48	0.45
Geba_2	0.66	0.69	0.66	0.61
Genale_V	0.72	0.75	0.71	0.66
Genale_VI	0.46	0.48	0.48	0.45
Genji_(linked_with_Baro_&_II)	0.99	0.99	0.99	0.99
Gode	0.46	0.48	0.48	0.45
Gojeb	0.46	0.48	0.48	0.45
Halele	0.99	0.99	0.99	0.99
Humera_solar	0.46	0.48	0.48	0.45
Karadobi	0.99	0.99	0.99	0.99
KebriBeyah	0.98	0.98	0.98	0.98
Kesem_BIO	0.46	0.48	0.48	0.45
Lower_Dabus	0.46	0.48	0.48	0.45
Lower_Didessa	0.99	0.99	0.99	0.99
May_Mekdan	0.99	0.99	0.99	0.99
Mekele_WF	0.99	0.99	0.99	0.99
Meki_Solar	0.99	0.99	0.99	0.99
Melkasedi_Solar	0.99	0.99	0.99	0.99
Meshenti_Solar	0.99	0.99	0.99	0.99
Metehara_solar	0.99	0.99	0.99	0.99
Metema_solar	0.99	0.99	0.99	0.99
Sela_Dingay	0.89	0.92	0.88	0.82
Sor_2_HEP	0.99	0.99	0.99	0.99
Sure	0.46	0.48	0.48	0.45
Tams	0.46	0.48	0.48	0.45
Tekeze_II	0.99	0.99	0.99	0.99
Tulu_Guled	0.46	0.48	0.48	0.45
Upper_Dabus	0.46	0.48	0.48	0.45
Upper_Mendaya	0.46	0.48	0.48	0.45
Wabi	0.46	0.48	0.48	0.45
Wabi_Shebele	0.99	0.99	0.99	0.99
Welenchiti_solar	0.46	0.48	0.48	0.45
Werabesa	0.99	0.99	0.99	0.99
Wereta_Solar	0.98	0.98	0.98	0.98
Wolkayit_BIO	0.99	0.99	0.99	0.99
Yirgalem_Solar	0.98	0.98	0.98	0.98
Beles	0.98	0.98	0.98	0.98
Omo_Kuraz_BIO	0.83	0.83	0.83	0.83
Generic_Coal_6_Ethiopia	0.94	0.94	0.94	0.94
Generic_Wind_1	0.93	0.93	0.93	0.93
Aluto_Langano	0.9	0.9	0.9	0.9
Aluto_Langano_I_(Rehabilitation)	0.93	0.93	0.93	0.93
Aluto_Langano_II	0.99	0.99	0.99	0.99
Asela-I	0.94	0.94	0.94	0.94
Asela-II_(Iteya)	0.94	0.94	0.94	0.94
Assela	0.94	0.94	0.94	0.94
Ayisha-I	0.93	0.93	0.93	0.93
Ayisha-II	0.93	0.93	0.93	0.93
Corbetti_I	0.9	0.9	0.9	0.9
Corbetti_II	0.94	0.94	0.94	0.94
Dabus_Wind	0.94	0.94	0.94	0.94
Dawa	0.94	0.94	0.94	0.94
Debre_Birhan	0.94	0.94	0.94	0.94
Dechatu	0.99	0.99	0.99	0.99
Dicheto_solar	0.99	0.99	0.99	0.99
Gad-I_solar	0.24	0.25	0.24	0.23
GERD_3_HEP	0.24	0.25	0.24	0.23
