zone,tech,fuel,Q1,Q2,Q3,Q4
Ethiopia,ST,Biomass,0.85,0.85,0.85,0.85
Kenya,ST,Biomass,0.85,0.85,0.85,0.85
Libya,ST,Biomass,0.85,0.85,0.85,0.85
Mogadishu,ST,Biomass,0.85,0.85,0.85,0.85
Rwanda,ST,Biomass,0.85,0.85,0.85,0.85
SomaliaROC,ST,Biomass,0.85,0.85,0.85,0.85
Somaliland,ST,Biomass,0.85,0.85,0.85,0.85
SouthSudan,ST,Biomass,0.85,0.85,0.85,0.85
Sudan,ST,Biomass,0.85,0.85,0.85,0.85
Tanzania,ST,Biomass,0.85,0.85,0.85,0.85
Uganda,ST,Biomass,0.85,0.85,0.85,0.85
Burundi,ST,Coal,0.65,0.65,0.65,0.65
Djibouti,ST,Coal,0.65,0.65,0.65,0.65
Drc_E,ST,Coal,0.65,0.65,0.65,0.65
Egypt,ST,Coal,0.65,0.65,0.65,0.65
Ethiopia,ST,Coal,0.65,0.65,0.65,0.65
Kenya,ST,Coal,0.65,0.65,0.65,0.65
Libya,ST,Coal,0.65,0.65,0.65,0.65
Mogadishu,ST,Coal,0.65,0.65,0.65,0.65
Rwanda,ST,Coal,0.65,0.65,0.65,0.65
SomaliaROC,ST,Coal,0.65,0.65,0.65,0.65
Somaliland,ST,Coal,0.65,0.65,0.65,0.65
SouthSudan,ST,Coal,0.65,0.65,0.65,0.65
Sudan,ST,Coal,0.65,0.65,0.65,0.65
Tanzania,ST,Coal,0.65,0.65,0.65,0.65
Uganda,ST,Coal,0.65,0.65,0.65,0.65
Burundi,CSPPlant,CSP,1,1,1,1
Djibouti,CSPPlant,CSP,1,1,1,1
Drc_E,CSPPlant,CSP,1,1,1,1
Egypt,CSPPlant,CSP,1,1,1,1
Ethiopia,CSPPlant,CSP,1,1,1,1
Kenya,CSPPlant,CSP,1,1,1,1
Libya,CSPPlant,CSP,1,1,1,1
Mogadishu,CSPPlant,CSP,1,1,1,1
Rwanda,CSPPlant,CSP,1,1,1,1
SomaliaROC,CSPPlant,CSP,1,1,1,1
Somaliland,CSPPlant,CSP,1,1,1,1
SouthSudan,CSPPlant,CSP,1,1,1,1
Sudan,CSPPlant,CSP,1,1,1,1
Tanzania,CSPPlant,CSP,1,1,1,1
Uganda,CSPPlant,CSP,1,1,1,1
Burundi,ICE,Diesel,0.9,0.9,0.9,0.9
Djibouti,ICE,Diesel,0.9,0.9,0.9,0.9
Drc_E,ICE,Diesel,0.9,0.9,0.9,0.9
Egypt,ICE,Diesel,0.9,0.9,0.9,0.9
Ethiopia,ICE,Diesel,0.9,0.9,0.9,0.9
Kenya,ICE,Diesel,0.9,0.9,0.9,0.9
Libya,ICE,Diesel,0.9,0.9,0.9,0.9
Mogadishu,ICE,Diesel,0.9,0.9,0.9,0.9
Rwanda,ICE,Diesel,0.9,0.9,0.9,0.9
SomaliaROC,ICE,Diesel,0.9,0.9,0.9,0.9
Somaliland,ICE,Diesel,0.9,0.9,0.9,0.9
SouthSudan,ICE,Diesel,0.9,0.9,0.9,0.9
Sudan,ICE,Diesel,0.9,0.9,0.9,0.9
Tanzania,ICE,Diesel,0.9,0.9,0.9,0.9
Uganda,ICE,Diesel,0.9,0.9,0.9,0.9
Burundi,ST,Diesel,0.9,0.9,0.9,0.9
Djibouti,ST,Diesel,0.9,0.9,0.9,0.9
Drc_E,ST,Diesel,0.9,0.9,0.9,0.9
Egypt,ST,Diesel,0.9,0.9,0.9,0.9
Ethiopia,ST,Diesel,0.9,0.9,0.9,0.9
Kenya,ST,Diesel,0.9,0.9,0.9,0.9
Libya,ST,Diesel,0.9,0.9,0.9,0.9
Rwanda,ST,Diesel,0.9,0.9,0.9,0.9
SouthSudan,ST,Diesel,0.9,0.9,0.9,0.9
Sudan,ST,Diesel,0.9,0.9,0.9,0.9
Tanzania,ST,Diesel,0.9,0.9,0.9,0.9
Uganda,ST,Diesel,0.9,0.9,0.9,0.9
Burundi,CCGT,Gas,0.85,0.85,0.85,0.85
Djibouti,CCGT,Gas,0.85,0.85,0.85,0.85
Drc_E,CCGT,Gas,0.85,0.85,0.85,0.85
Egypt,CCGT,Gas,0.85,0.85,0.85,0.85
Ethiopia,CCGT,Gas,0.85,0.85,0.85,0.85
Kenya,CCGT,Gas,0.85,0.85,0.85,0.85
Libya,CCGT,Gas,0.85,0.85,0.85,0.85
Mogadishu,CCGT,Gas,0.85,0.85,0.85,0.85
Rwanda,CCGT,Gas,0.85,0.85,0.85,0.85
SomaliaROC,CCGT,Gas,0.85,0.85,0.85,0.85
Somaliland,CCGT,Gas,0.85,0.85,0.85,0.85
SouthSudan,CCGT,Gas,0.85,0.85,0.85,0.85
Sudan,CCGT,Gas,0.85,0.85,0.85,0.85
Tanzania,CCGT,Gas,0.85,0.85,0.85,0.85
Uganda,CCGT,Gas,0.85,0.85,0.85,0.85
Burundi,CCGT_CCS,Gas,0.85,0.85,0.85,0.85
Djibouti,CCGT_CCS,Gas,0.85,0.85,0.85,0.85
Drc_E,CCGT_CCS,Gas,0.85,0.85,0.85,0.85
Egypt,CCGT_CCS,Gas,0.85,0.85,0.85,0.85
Ethiopia,CCGT_CCS,Gas,0.85,0.85,0.85,0.85
Kenya,CCGT_CCS,Gas,0.85,0.85,0.85,0.85
Libya,CCGT_CCS,Gas,0.85,0.85,0.85,0.85
Mogadishu,CCGT_CCS,Gas,0.85,0.85,0.85,0.85
Rwanda,CCGT_CCS,Gas,0.85,0.85,0.85,0.85
SomaliaROC,CCGT_CCS,Gas,0.85,0.85,0.85,0.85
Somaliland,CCGT_CCS,Gas,0.85,0.85,0.85,0.85
SouthSudan,CCGT_CCS,Gas,0.85,0.85,0.85,0.85
Sudan,CCGT_CCS,Gas,0.85,0.85,0.85,0.85
Tanzania,CCGT_CCS,Gas,0.85,0.85,0.85,0.85
Uganda,CCGT_CCS,Gas,0.85,0.85,0.85,0.85
Egypt,ICE,Gas,0.85,0.85,0.85,0.85
Rwanda,ICE,Gas,0.85,0.85,0.85,0.85
Tanzania,ICE,Gas,0.85,0.85,0.85,0.85
Burundi,OCGT,Gas,0.85,0.85,0.85,0.85
Djibouti,OCGT,Gas,0.85,0.85,0.85,0.85
Drc_E,OCGT,Gas,0.85,0.85,0.85,0.85
Egypt,OCGT,Gas,0.85,0.85,0.85,0.85
Ethiopia,OCGT,Gas,0.85,0.85,0.85,0.85
Kenya,OCGT,Gas,0.85,0.85,0.85,0.85
Libya,OCGT,Gas,0.85,0.85,0.85,0.85
Mogadishu,OCGT,Gas,0.85,0.85,0.85,0.85
Rwanda,OCGT,Gas,0.85,0.85,0.85,0.85
SomaliaROC,OCGT,Gas,0.85,0.85,0.85,0.85
Somaliland,OCGT,Gas,0.85,0.85,0.85,0.85
SouthSudan,OCGT,Gas,0.85,0.85,0.85,0.85
Sudan,OCGT,Gas,0.85,0.85,0.85,0.85
Tanzania,OCGT,Gas,0.85,0.85,0.85,0.85
Uganda,OCGT,Gas,0.85,0.85,0.85,0.85
Burundi,OCGT_CCS,Gas,0.85,0.85,0.85,0.85
Djibouti,OCGT_CCS,Gas,0.85,0.85,0.85,0.85
Drc_E,OCGT_CCS,Gas,0.85,0.85,0.85,0.85
Egypt,OCGT_CCS,Gas,0.85,0.85,0.85,0.85
Ethiopia,OCGT_CCS,Gas,0.85,0.85,0.85,0.85
Kenya,OCGT_CCS,Gas,0.85,0.85,0.85,0.85
Libya,OCGT_CCS,Gas,0.85,0.85,0.85,0.85
Mogadishu,OCGT_CCS,Gas,0.85,0.85,0.85,0.85
Rwanda,OCGT_CCS,Gas,0.85,0.85,0.85,0.85
SomaliaROC,OCGT_CCS,Gas,0.85,0.85,0.85,0.85
Somaliland,OCGT_CCS,Gas,0.85,0.85,0.85,0.85
SouthSudan,OCGT_CCS,Gas,0.85,0.85,0.85,0.85
Sudan,OCGT_CCS,Gas,0.85,0.85,0.85,0.85
Tanzania,OCGT_CCS,Gas,0.85,0.85,0.85,0.85
Uganda,OCGT_CCS,Gas,0.85,0.85,0.85,0.85
Burundi,ST,Gas,0.85,0.85,0.85,0.85
Djibouti,ST,Gas,0.85,0.85,0.85,0.85
Drc_E,ST,Gas,0.85,0.85,0.85,0.85
Egypt,ST,Gas,0.85,0.85,0.85,0.85
Ethiopia,ST,Gas,0.85,0.85,0.85,0.85
Kenya,ST,Gas,0.85,0.85,0.85,0.85
Libya,ST,Gas,0.85,0.85,0.85,0.85
Rwanda,ST,Gas,0.85,0.85,0.85,0.85
SouthSudan,ST,Gas,0.85,0.85,0.85,0.85
Sudan,ST,Gas,0.85,0.85,0.85,0.85
Tanzania,ST,Gas,0.85,0.85,0.85,0.85
Uganda,ST,Gas,0.85,0.85,0.85,0.85
Burundi,Geothermal,Geothermal,0.85,0.85,0.85,0.85
Djibouti,Geothermal,Geothermal,0.85,0.85,0.85,0.85
Drc_E,Geothermal,Geothermal,0.85,0.85,0.85,0.85
Egypt,Geothermal,Geothermal,0.85,0.85,0.85,0.85
Ethiopia,Geothermal,Geothermal,0.85,0.85,0.85,0.85
Kenya,Geothermal,Geothermal,0.85,0.85,0.85,0.85
Libya,Geothermal,Geothermal,0.85,0.85,0.85,0.85
Mogadishu,Geothermal,Geothermal,0.85,0.85,0.85,0.85
Rwanda,Geothermal,Geothermal,0.85,0.85,0.85,0.85
SomaliaROC,Geothermal,Geothermal,0.85,0.85,0.85,0.85
Somaliland,Geothermal,Geothermal,0.85,0.85,0.85,0.85
SouthSudan,Geothermal,Geothermal,0.85,0.85,0.85,0.85
Sudan,Geothermal,Geothermal,0.85,0.85,0.85,0.85
Tanzania,Geothermal,Geothermal,0.85,0.85,0.85,0.85
Uganda,Geothermal,Geothermal,0.85,0.85,0.85,0.85
Burundi,ST,Geothermal,0.85,0.85,0.85,0.85
Djibouti,ST,Geothermal,0.85,0.85,0.85,0.85
Drc_E,ST,Geothermal,0.85,0.85,0.85,0.85
Egypt,ST,Geothermal,0.85,0.85,0.85,0.85
Ethiopia,ST,Geothermal,0.85,0.85,0.85,0.85
Kenya,ST,Geothermal,0.85,0.85,0.85,0.85
Libya,ST,Geothermal,0.85,0.85,0.85,0.85
Mogadishu,ST,Geothermal,0.85,0.85,0.85,0.85
Rwanda,ST,Geothermal,0.85,0.85,0.85,0.85
SomaliaROC,ST,Geothermal,0.85,0.85,0.85,0.85
Somaliland,ST,Geothermal,0.85,0.85,0.85,0.85
SouthSudan,ST,Geothermal,0.85,0.85,0.85,0.85
Sudan,ST,Geothermal,0.85,0.85,0.85,0.85
Tanzania,ST,Geothermal,0.85,0.85,0.85,0.85
Uganda,ST,Geothermal,0.85,0.85,0.85,0.85
Burundi,ICE,HFO,0.85,0.85,0.85,0.85
Djibouti,ICE,HFO,0.85,0.85,0.85,0.85
Drc_E,ICE,HFO,0.85,0.85,0.85,0.85
Egypt,ICE,HFO,0.85,0.85,0.85,0.85
Ethiopia,ICE,HFO,0.85,0.85,0.85,0.85
Kenya,ICE,HFO,0.85,0.85,0.85,0.85
Libya,ICE,HFO,0.85,0.85,0.85,0.85
Mogadishu,ICE,HFO,0.85,0.85,0.85,0.85
Rwanda,ICE,HFO,0.85,0.85,0.85,0.85
SomaliaROC,ICE,HFO,0.85,0.85,0.85,0.85
Somaliland,ICE,HFO,0.85,0.85,0.85,0.85
SouthSudan,ICE,HFO,0.85,0.85,0.85,0.85
Sudan,ICE,HFO,0.85,0.85,0.85,0.85
Tanzania,ICE,HFO,0.85,0.85,0.85,0.85
Uganda,ICE,HFO,0.85,0.85,0.85,0.85
Burundi,OCGT,HFO,0.85,0.85,0.85,0.85
Djibouti,OCGT,HFO,0.85,0.85,0.85,0.85
Drc_E,OCGT,HFO,0.85,0.85,0.85,0.85
Egypt,OCGT,HFO,0.85,0.85,0.85,0.85
Ethiopia,OCGT,HFO,0.85,0.85,0.85,0.85
Kenya,OCGT,HFO,0.85,0.85,0.85,0.85
Libya,OCGT,HFO,0.85,0.85,0.85,0.85
Mogadishu,OCGT,HFO,0.85,0.85,0.85,0.85
Rwanda,OCGT,HFO,0.85,0.85,0.85,0.85
SomaliaROC,OCGT,HFO,0.85,0.85,0.85,0.85
Somaliland,OCGT,HFO,0.85,0.85,0.85,0.85
SouthSudan,OCGT,HFO,0.85,0.85,0.85,0.85
Sudan,OCGT,HFO,0.85,0.85,0.85,0.85
Tanzania,OCGT,HFO,0.85,0.85,0.85,0.85
Uganda,OCGT,HFO,0.85,0.85,0.85,0.85
Burundi,ST,HFO,0.85,0.85,0.85,0.85
Djibouti,ST,HFO,0.85,0.85,0.85,0.85
Drc_E,ST,HFO,0.85,0.85,0.85,0.85
Egypt,ST,HFO,0.85,0.85,0.85,0.85
Ethiopia,ST,HFO,0.85,0.85,0.85,0.85
Kenya,ST,HFO,0.85,0.85,0.85,0.85
Libya,ST,HFO,0.85,0.85,0.85,0.85
Rwanda,ST,HFO,0.85,0.85,0.85,0.85
SouthSudan,ST,HFO,0.85,0.85,0.85,0.85
Sudan,ST,HFO,0.85,0.85,0.85,0.85
Tanzania,ST,HFO,0.85,0.85,0.85,0.85
Uganda,ST,HFO,0.85,0.85,0.85,0.85
Burundi,CCGT,LFO,0.85,0.85,0.85,0.85
Djibouti,CCGT,LFO,0.85,0.85,0.85,0.85
Drc_E,CCGT,LFO,0.85,0.85,0.85,0.85
Egypt,CCGT,LFO,0.85,0.85,0.85,0.85
Ethiopia,CCGT,LFO,0.85,0.85,0.85,0.85
Kenya,CCGT,LFO,0.85,0.85,0.85,0.85
Libya,CCGT,LFO,0.85,0.85,0.85,0.85
Rwanda,CCGT,LFO,0.85,0.85,0.85,0.85
SouthSudan,CCGT,LFO,0.85,0.85,0.85,0.85
Sudan,CCGT,LFO,0.85,0.85,0.85,0.85
Tanzania,CCGT,LFO,0.85,0.85,0.85,0.85
Uganda,CCGT,LFO,0.85,0.85,0.85,0.85
Burundi,OCGT,LFO,0.85,0.85,0.85,0.85
Djibouti,OCGT,LFO,0.85,0.85,0.85,0.85
Drc_E,OCGT,LFO,0.85,0.85,0.85,0.85
Egypt,OCGT,LFO,0.85,0.85,0.85,0.85
Ethiopia,OCGT,LFO,0.85,0.85,0.85,0.85
Kenya,OCGT,LFO,0.85,0.85,0.85,0.85
Libya,OCGT,LFO,0.85,0.85,0.85,0.85
Rwanda,OCGT,LFO,0.85,0.85,0.85,0.85
SouthSudan,OCGT,LFO,0.85,0.85,0.85,0.85
Sudan,OCGT,LFO,0.85,0.85,0.85,0.85
Tanzania,OCGT,LFO,0.85,0.85,0.85,0.85
Uganda,OCGT,LFO,0.85,0.85,0.85,0.85
Burundi,CCGT,LNG,0.85,0.85,0.85,0.85
Djibouti,CCGT,LNG,0.85,0.85,0.85,0.85
Drc_E,CCGT,LNG,0.85,0.85,0.85,0.85
Egypt,CCGT,LNG,0.85,0.85,0.85,0.85
Ethiopia,CCGT,LNG,0.85,0.85,0.85,0.85
Kenya,CCGT,LNG,0.85,0.85,0.85,0.85
Libya,CCGT,LNG,0.85,0.85,0.85,0.85
Mogadishu,CCGT,LNG,0.85,0.85,0.85,0.85
Rwanda,CCGT,LNG,0.85,0.85,0.85,0.85
SomaliaROC,CCGT,LNG,0.85,0.85,0.85,0.85
Somaliland,CCGT,LNG,0.85,0.85,0.85,0.85
SouthSudan,CCGT,LNG,0.85,0.85,0.85,0.85
Sudan,CCGT,LNG,0.85,0.85,0.85,0.85
Tanzania,CCGT,LNG,0.85,0.85,0.85,0.85
Uganda,CCGT,LNG,0.85,0.85,0.85,0.85
Burundi,OCGT,LNG,0.85,0.85,0.85,0.85
Djibouti,OCGT,LNG,0.85,0.85,0.85,0.85
Drc_E,OCGT,LNG,0.85,0.85,0.85,0.85
Egypt,OCGT,LNG,0.85,0.85,0.85,0.85
Ethiopia,OCGT,LNG,0.85,0.85,0.85,0.85
Kenya,OCGT,LNG,0.85,0.85,0.85,0.85
Libya,OCGT,LNG,0.85,0.85,0.85,0.85
Mogadishu,OCGT,LNG,0.85,0.85,0.85,0.85
Rwanda,OCGT,LNG,0.85,0.85,0.85,0.85
SomaliaROC,OCGT,LNG,0.85,0.85,0.85,0.85
Somaliland,OCGT,LNG,0.85,0.85,0.85,0.85
SouthSudan,OCGT,LNG,0.85,0.85,0.85,0.85
Sudan,OCGT,LNG,0.85,0.85,0.85,0.85
Tanzania,OCGT,LNG,0.85,0.85,0.85,0.85
Uganda,OCGT,LNG,0.85,0.85,0.85,0.85
Burundi,ICE,Methane,0.85,0.85,0.85,0.85
Djibouti,ICE,Methane,0.85,0.85,0.85,0.85
Drc_E,ICE,Methane,0.85,0.85,0.85,0.85
Egypt,ICE,Methane,0.85,0.85,0.85,0.85
Ethiopia,ICE,Methane,0.85,0.85,0.85,0.85
Kenya,ICE,Methane,0.85,0.85,0.85,0.85
Libya,ICE,Methane,0.85,0.85,0.85,0.85
Rwanda,Methane,Methane,0.85,0.85,0.85,0.85
SouthSudan,ICE,Methane,0.85,0.85,0.85,0.85
Sudan,ICE,Methane,0.85,0.85,0.85,0.85
Tanzania,ICE,Methane,0.85,0.85,0.85,0.85
Uganda,ICE,Methane,0.85,0.85,0.85,0.85
Burundi,ST,Peat,0.85,0.85,0.85,0.85
Djibouti,ST,Peat,0.6,0.6,0.6,0.6
Drc_E,ST,Peat,0.6,0.6,0.6,0.6
Egypt,ST,Peat,0.6,0.6,0.6,0.6
Ethiopia,ST,Peat,0.6,0.6,0.6,0.6
Kenya,ST,Peat,0.85,0.85,0.85,0.85
Libya,ST,Peat,0.85,0.85,0.85,0.85
Mogadishu,ST,Peat,0.85,0.85,0.85,0.85
Rwanda,ST,Peat,0.6,0.6,0.6,0.6
SomaliaROC,ST,Peat,0.85,0.85,0.85,0.85
Somaliland,ST,Peat,0.85,0.85,0.85,0.85
SouthSudan,ST,Peat,0.6,0.6,0.6,0.6
Sudan,ST,Peat,0.6,0.6,0.6,0.6
Tanzania,ST,Peat,0.6,0.6,0.6,0.6
Uganda,ST,Peat,0.6,0.6,0.6,0.6
Burundi,Storage,Pumped,1,1,1,1
Djibouti,Storage,Pumped,1,1,1,1
Drc_E,Storage,Pumped,1,1,1,1
Egypt,Storage,Pumped,1,1,1,1
Ethiopia,Storage,Pumped,1,1,1,1
Kenya,Storage,Pumped,1,1,1,1
Libya,Storage,Pumped,1,1,1,1
Rwanda,Storage,Pumped,1,1,1,1
SouthSudan,Storage,Pumped,1,1,1,1
Sudan,Storage,Pumped,1,1,1,1
Tanzania,Storage,Pumped,1,1,1,1
Uganda,Storage,Pumped,1,1,1,1
Burundi,CSPPlant,Solar,0.85,0.85,0.85,0.85
Djibouti,CSPPlant,Solar,1,1,1,1
Drc_E,CSPPlant,Solar,0.85,0.85,0.85,0.85
Egypt,CSPPlant,Solar,0.85,0.85,0.85,0.85
Ethiopia,CSPPlant,Solar,1,1,1,1
Kenya,CSPPlant,Solar,0.85,0.85,0.85,0.85
Libya,CSPPlant,Solar,0.85,0.85,0.85,0.85
Mogadishu,CSPPlant,Solar,0.85,0.85,0.85,0.85
Rwanda,CSPPlant,Solar,0.85,0.85,0.85,0.85
SomaliaROC,CSPPlant,Solar,0.85,0.85,0.85,0.85
Somaliland,CSPPlant,Solar,0.85,0.85,0.85,0.85
SouthSudan,CSPPlant,Solar,0.85,0.85,0.85,0.85
Sudan,CSPPlant,Solar,0.85,0.85,0.85,0.85
Tanzania,CSPPlant,Solar,1,1,1,1
Uganda,CSPPlant,Solar,0.85,0.85,0.85,0.85
Burundi,PV,Solar,1,1,1,1
Djibouti,PV,Solar,1,1,1,1
Drc_E,PV,Solar,1,1,1,1
Egypt,PV,Solar,1,1,1,1
Ethiopia,PV,Solar,1,1,1,1
Kenya,PV,Solar,1,1,1,1
Libya,PV,Solar,1,1,1,1
Mogadishu,PV,Solar,1,1,1,1
Rwanda,PV,Solar,1,1,1,1
SomaliaROC,PV,Solar,1,1,1,1
Somaliland,PV,Solar,1,1,1,1
SouthSudan,PV,Solar,1,1,1,1
Sudan,PV,Solar,1,1,1,1
Tanzania,PV,Solar,1,1,1,1
Uganda,PV,Solar,1,1,1,1
Burundi,RPV,Solar,1,1,1,1
Djibouti,RPV,Solar,1,1,1,1
Drc_E,RPV,Solar,1,1,1,1
Egypt,RPV,Solar,1,1,1,1
Ethiopia,RPV,Solar,1,1,1,1
Kenya,RPV,Solar,1,1,1,1
Libya,RPV,Solar,1,1,1,1
Mogadishu,RPV,Solar,1,1,1,1
Rwanda,RPV,Solar,1,1,1,1
SomaliaROC,RPV,Solar,1,1,1,1
Somaliland,RPV,Solar,1,1,1,1
SouthSudan,RPV,Solar,1,1,1,1
Sudan,RPV,Solar,1,1,1,1
Tanzania,RPV,Solar,1,1,1,1
Uganda,RPV,Solar,1,1,1,1
Burundi,Nuclear,Uranium,0.85,0.85,0.85,0.85
Djibouti,Nuclear,Uranium,0.85,0.85,0.85,0.85
Drc_E,Nuclear,Uranium,0.85,0.85,0.85,0.85
Egypt,Nuclear,Uranium,0.85,0.85,0.85,0.85
Ethiopia,Nuclear,Uranium,0.85,0.85,0.85,0.85
Kenya,Nuclear,Uranium,0.85,0.85,0.85,0.85
Libya,Nuclear,Uranium,0.85,0.85,0.85,0.85
Mogadishu,Nuclear,Uranium,0.85,0.85,0.85,0.85
Rwanda,Nuclear,Uranium,0.85,0.85,0.85,0.85
SomaliaROC,Nuclear,Uranium,0.85,0.85,0.85,0.85
Somaliland,Nuclear,Uranium,0.85,0.85,0.85,0.85
SouthSudan,Nuclear,Uranium,0.85,0.85,0.85,0.85
Sudan,Nuclear,Uranium,0.85,0.85,0.85,0.85
Tanzania,Nuclear,Uranium,0.9,0.9,0.9,0.9
Uganda,Nuclear,Uranium,0.85,0.85,0.85,0.85
Burundi,ST,Uranium,0.9,0.9,0.9,0.9
Djibouti,ST,Uranium,0.9,0.9,0.9,0.9
Drc_E,ST,Uranium,0.9,0.9,0.9,0.9
Egypt,ST,Uranium,0.9,0.9,0.9,0.9
Ethiopia,ST,Uranium,0.9,0.9,0.9,0.9
Kenya,ST,Uranium,0.9,0.9,0.9,0.9
Libya,ST,Uranium,0.9,0.9,0.9,0.9
Mogadishu,ST,Uranium,0.9,0.9,0.9,0.9
Rwanda,ST,Uranium,0.9,0.9,0.9,0.9
SomaliaROC,ST,Uranium,0.9,0.9,0.9,0.9
Somaliland,ST,Uranium,0.9,0.9,0.9,0.9
SouthSudan,ST,Uranium,0.9,0.9,0.9,0.9
Sudan,ST,Uranium,0.9,0.9,0.9,0.9
Tanzania,ST,Uranium,0.9,0.9,0.9,0.9
Uganda,ST,Uranium,0.9,0.9,0.9,0.9
Burundi,ST,Waste,0.85,0.85,0.85,0.85
Djibouti,ST,Waste,0.8,0.8,0.8,0.8
Drc_E,ST,Waste,0.85,0.85,0.85,0.85
Egypt,ST,Waste,0.85,0.85,0.85,0.85
Ethiopia,ST,Waste,0.8,0.8,0.8,0.8
Kenya,ST,Waste,0.85,0.85,0.85,0.85
Libya,ST,Waste,0.85,0.85,0.85,0.85
Mogadishu,ST,Waste,0.85,0.85,0.85,0.85
Rwanda,ST,Waste,0.85,0.85,0.85,0.85
SomaliaROC,ST,Waste,0.85,0.85,0.85,0.85
Somaliland,ST,Waste,0.85,0.85,0.85,0.85
SouthSudan,ST,Waste,0.85,0.85,0.85,0.85
Sudan,ST,Waste,0.85,0.85,0.85,0.85
Tanzania,ST,Waste,0.8,0.8,0.8,0.8
Uganda,ST,Waste,0.85,0.85,0.85,0.85
Burundi,ReservoirHydro,Water,0.85,0.85,0.85,0.85
Djibouti,ReservoirHydro,Water,0.85,0.85,0.85,0.85
Drc_E,ReservoirHydro,Water,0.85,0.85,0.85,0.85
Egypt,ReservoirHydro,Water,0.85,0.85,0.85,0.85
Ethiopia,ReservoirHydro,Water,0.85,0.85,0.85,0.85
Kenya,ReservoirHydro,Water,0.85,0.85,0.85,0.85
Libya,ReservoirHydro,Water,0.85,0.85,0.85,0.85
Mogadishu,ReservoirHydro,Water,0.85,0.85,0.85,0.85
Rwanda,ReservoirHydro,Water,0.85,0.85,0.85,0.85
SomaliaROC,ReservoirHydro,Water,0.85,0.85,0.85,0.85
Somaliland,ReservoirHydro,Water,0.85,0.85,0.85,0.85
SouthSudan,ReservoirHydro,Water,0.85,0.85,0.85,0.85
Sudan,ReservoirHydro,Water,0.85,0.85,0.85,0.85
Tanzania,ReservoirHydro,Water,0.85,0.85,0.85,0.85
Uganda,ReservoirHydro,Water,0.85,0.85,0.85,0.85
Burundi,ROR,Water,1,1,1,1
Djibouti,ROR,Water,1,1,1,1
Drc_E,ROR,Water,1,1,1,1
Egypt,ROR,Water,1,1,1,1
Ethiopia,ROR,Water,1,1,1,1
Kenya,ROR,Water,1,1,1,1
Libya,ROR,Water,1,1,1,1
Mogadishu,ROR,Water,1,1,1,1
Rwanda,ROR,Water,1,1,1,1
SomaliaROC,ROR,Water,1,1,1,1
Somaliland,ROR,Water,1,1,1,1
SouthSudan,ROR,Water,1,1,1,1
Sudan,ROR,Water,1,1,1,1
Tanzania,ROR,Water,1,1,1,1
Uganda,ROR,Water,1,1,1,1
Burundi,Storage,Water,0.85,0.85,0.85,0.85
Djibouti,Storage,Water,0.85,0.85,0.85,0.85
Drc_E,Storage,Water,0.85,0.85,0.85,0.85
Egypt,Storage,Water,0.85,0.85,0.85,0.85
Ethiopia,Storage,Water,0.85,0.85,0.85,0.85
Kenya,Storage,Water,0.85,0.85,0.85,0.85
Libya,Storage,Water,0.85,0.85,0.85,0.85
Mogadishu,Storage,Water,0.85,0.85,0.85,0.85
Rwanda,Storage,Water,0.85,0.85,0.85,0.85
SomaliaROC,Storage,Water,0.85,0.85,0.85,0.85
Somaliland,Storage,Water,0.85,0.85,0.85,0.85
SouthSudan,Storage,Water,0.85,0.85,0.85,0.85
