z,uni,y,q,value
Burundi,Total production: GWh,2030,Q4,629.9202634846698
Burundi,Total production: GWh,2036,Q1,823.213659832292
Burundi,Total production: GWh,2036,Q2,832.7659869248002
Burundi,Total production: GWh,2036,Q3,836.1953210794037
Burundi,Total production: GWh,2036,Q4,820.0471741662171
Burundi,Unmet demand: GWh,2024,Q1,6.220768921579911
Burundi,Unmet demand: GWh,2024,Q2,0.2720404957074753
Burundi,Unmet demand: GWh,2024,Q3,12.333807496691678
Burundi,Unmet demand: GWh,2024,Q4,12.271177381749776
Burundi,Unmet demand: GWh,2030,Q1,5.076344880033037e-05
Burundi,Unmet demand: GWh,2030,Q2,5.091968036576039e-05
Burundi,Unmet demand: GWh,2030,Q3,5.128423088718119e-05
Burundi,Unmet demand: GWh,2030,Q4,5.117686615978305e-05
Burundi,Unmet demand: GWh,2036,Q1,6.499992859859332e-05
Burundi,Unmet demand: GWh,2036,Q2,6.515240564947496e-05
Burundi,Unmet demand: GWh,2036,Q3,6.543362776828355e-05
Burundi,Unmet demand: GWh,2036,Q4,6.546576111805717e-05
Burundi,Surplus generation: GWh,2024,Q1,0.0002071021165202
Burundi,Surplus generation: GWh,2024,Q2,0.0004835617611264
Burundi,Surplus generation: GWh,2024,Q3,0.0001996006002704
Burundi,Surplus generation: GWh,2024,Q4,0.000199121580082
Burundi,Surplus generation: GWh,2030,Q1,0.0003426173955651
Burundi,Surplus generation: GWh,2030,Q2,0.0003450149449347
Burundi,Surplus generation: GWh,2030,Q3,0.0003303607094267
Burundi,Surplus generation: GWh,2030,Q4,0.0003405702455048
Burundi,Surplus generation: GWh,2036,Q1,0.0004809406228883
Burundi,Surplus generation: GWh,2036,Q2,0.0004838610028848
Burundi,Surplus generation: GWh,2036,Q3,0.0004752792984945
Burundi,Surplus generation: GWh,2036,Q4,0.0004762753590031
Burundi,Imports exchange: GWh,2024,Q1,58.3250557815976
Burundi,Imports exchange: GWh,2024,Q2,58.97254517069911
Burundi,Imports exchange: GWh,2024,Q3,59.62118497539437
Burundi,Imports exchange: GWh,2024,Q4,59.62118321058287
Burundi,Imports exchange: GWh,2030,Q1,0.0010174869933915
Burundi,Imports exchange: GWh,2030,Q2,0.0077474038802301
Burundi,Imports exchange: GWh,2030,Q3,0.0019098013522207
Burundi,Imports exchange: GWh,2030,Q4,0.0045857144195637
Burundi,Imports exchange: GWh,2036,Q1,0.0174860154107717
Burundi,Imports exchange: GWh,2036,Q2,0.0634910412809818
Burundi,Imports exchange: GWh,2036,Q3,0.0389924965157682
Burundi,Imports exchange: GWh,2036,Q4,0.0566433945303432
Burundi,Exports exchange: GWh,2024,Q1,0.0002314576441385
Burundi,Exports exchange: GWh,2024,Q2,0.0007745501548734
Burundi,Exports exchange: GWh,2024,Q3,0.0002204349104361
Burundi,Exports exchange: GWh,2024,Q4,0.0002219907617402
Burundi,Exports exchange: GWh,2030,Q1,58.26879986522448
Burundi,Exports exchange: GWh,2030,Q2,57.68100257190424
Burundi,Exports exchange: GWh,2030,Q3,59.202924378364415
Burundi,Exports exchange: GWh,2030,Q4,59.18319002949615
Burundi,Exports exchange: GWh,2036,Q1,57.9977338176986
Burundi,Exports exchange: GWh,2036,Q2,55.96330614494342
Burundi,Exports exchange: GWh,2036,Q3,58.385058414328256
Burundi,Exports exchange: GWh,2036,Q4,58.02589195220902
Djibouti,Demand: GWh,2024,Q1,126.590684129927
Djibouti,Demand: GWh,2024,Q2,214.40306291770415
Djibouti,Demand: GWh,2024,Q3,237.30584673000763
Djibouti,Demand: GWh,2024,Q4,172.08800312236042
Djibouti,Demand: GWh,2030,Q1,189.88602603075884
Djibouti,Demand: GWh,2030,Q2,321.60459432568337
Djibouti,Demand: GWh,2030,Q3,355.9587700709452
Djibouti,Demand: GWh,2030,Q4,258.1320045726118
Djibouti,Demand: GWh,2036,Q1,292.51863848458805
Djibouti,Demand: GWh,2036,Q2,495.43054865698144
Djibouti,Demand: GWh,2036,Q3,548.3530144348738
Djibouti,Demand: GWh,2036,Q4,397.6512864235588
Djibouti,Total production: GWh,2024,Q1,0.0152998421027634
Djibouti,Total production: GWh,2024,Q2,20.96093092464355
Djibouti,Total production: GWh,2024,Q3,40.37592173137713
Djibouti,Total production: GWh,2024,Q4,2.883360749794105
Djibouti,Total production: GWh,2030,Q1,15.231222525807516
Djibouti,Total production: GWh,2030,Q2,22.383326149664526
Djibouti,Total production: GWh,2030,Q3,31.29491867175514
Djibouti,Total production: GWh,2030,Q4,15.37639605426398
Djibouti,Total production: GWh,2036,Q1,105.30615528772738
Djibouti,Total production: GWh,2036,Q2,200.48177388300385
Djibouti,Total production: GWh,2036,Q3,234.8473508680856
Djibouti,Total production: GWh,2036,Q4,128.032454029143
Djibouti,Unmet demand: GWh,2024,Q1,0.0002108364207699
Djibouti,Unmet demand: GWh,2024,Q2,0.0002295324351931
Djibouti,Unmet demand: GWh,2024,Q3,0.0002319392241795
Djibouti,Unmet demand: GWh,2024,Q4,0.0002167124925105
Djibouti,Unmet demand: GWh,2030,Q1,6.859342607156648e-05
Djibouti,Unmet demand: GWh,2030,Q2,7.143292401723485e-05
Djibouti,Unmet demand: GWh,2030,Q3,7.247158933238113e-05
Djibouti,Unmet demand: GWh,2030,Q4,6.949918705468785e-05
Djibouti,Unmet demand: GWh,2036,Q1,8.262504712584304e-05
Djibouti,Unmet demand: GWh,2036,Q2,8.763948889012244e-05
Djibouti,Unmet demand: GWh,2036,Q3,8.876514178463524e-05
Djibouti,Unmet demand: GWh,2036,Q4,8.637593726345343e-05
Djibouti,Surplus generation: GWh,2024,Q1,0.0016025966328761
Djibouti,Surplus generation: GWh,2024,Q2,0.0009241572771886
Djibouti,Surplus generation: GWh,2024,Q3,0.0008429108927037
Djibouti,Surplus generation: GWh,2024,Q4,0.0013606393358579
Djibouti,Surplus generation: GWh,2030,Q1,0.000355867659577
Djibouti,Surplus generation: GWh,2030,Q2,0.0002552153014145
Djibouti,Surplus generation: GWh,2030,Q3,0.0002288114308275
Djibouti,Surplus generation: GWh,2030,Q4,0.0003531280459724
Djibouti,Surplus generation: GWh,2036,Q1,0.0004832634688327
Djibouti,Surplus generation: GWh,2036,Q2,0.0002981055498967
Djibouti,Surplus generation: GWh,2036,Q3,0.0002756140422209
Djibouti,Surplus generation: GWh,2036,Q4,0.000334939199357
Djibouti,Imports exchange: GWh,2024,Q1,132.4666025680844
Djibouti,Imports exchange: GWh,2024,Q2,199.86829747701245
Djibouti,Imports exchange: GWh,2024,Q3,203.07932809489856
Djibouti,Imports exchange: GWh,2024,Q4,174.65550515440677
Djibouti,Imports exchange: GWh,2030,Q1,273.7380794081491
Djibouti,Imports exchange: GWh,2030,Q2,336.3716862803568
Djibouti,Imports exchange: GWh,2030,Q3,347.67240613976287
Djibouti,Imports exchange: GWh,2030,Q4,312.49070458971585
Djibouti,Imports exchange: GWh,2036,Q1,196.8043105487452
Djibouti,Imports exchange: GWh,2036,Q2,331.43644222953765
Djibouti,Imports exchange: GWh,2036,Q3,352.7269138610073
Djibouti,Imports exchange: GWh,2036,Q4,296.0277691469187
Djibouti,Exports exchange: GWh,2024,Q1,1.8840541208287225
Djibouti,Exports exchange: GWh,2024,Q2,0.3973126098799603
Djibouti,Exports exchange: GWh,2024,Q3,0.0239543981519748
Djibouti,Exports exchange: GWh,2024,Q4,0.1775821964503448
Djibouti,Exports exchange: GWh,2030,Q1,70.44027297617447
Djibouti,Exports exchange: GWh,2030,Q2,12.750383857136882
Djibouti,Exports exchange: GWh,2030,Q3,5.513297965947134
Djibouti,Exports exchange: GWh,2030,Q4,39.85012628802203
Djibouti,Exports exchange: GWh,2036,Q1,2.64729558508615
Djibouti,Exports exchange: GWh,2036,Q2,0.0246419906067016
Djibouti,Exports exchange: GWh,2036,Q3,0.0013182648500909
Djibouti,Exports exchange: GWh,2036,Q4,0.0097752900676651
Drc_E,Demand: GWh,2024,Q1,156.9462214767034
Drc_E,Demand: GWh,2024,Q2,159.2749295405633
Drc_E,Demand: GWh,2024,Q3,159.61343189226088
Drc_E,Demand: GWh,2024,Q4,156.66541709047274
Drc_E,Demand: GWh,2030,Q1,206.07721254464727
Drc_E,Demand: GWh,2030,Q2,209.13490747884703
Drc_E,Demand: GWh,2030,Q3,209.5793757883904
Drc_E,Demand: GWh,2030,Q4,205.70850418811577
Drc_E,Demand: GWh,2036,Q1,257.3173623231392
Drc_E,Demand: GWh,2036,Q2,261.13533902043935
Drc_E,Demand: GWh,2036,Q3,261.6903223271155
Drc_E,Demand: GWh,2036,Q4,256.8569763293062
Drc_E,Total production: GWh,2024,Q1,135.9081792313193
Drc_E,Total production: GWh,2024,Q2,142.49167012650992
Drc_E,Total production: GWh,2024,Q3,131.97519879998356
Drc_E,Total production: GWh,2024,Q4,131.02573092449165
Drc_E,Total production: GWh,2030,Q1,266.71226675415096
Drc_E,Total production: GWh,2030,Q2,282.66643337206847
Drc_E,Total production: GWh,2030,Q3,259.65783603993174
Drc_E,Total production: GWh,2030,Q4,259.24668156127626
Drc_E,Total production: GWh,2036,Q1,268.35585585398366
Drc_E,Total production: GWh,2036,Q2,284.3468013360924
Drc_E,Total production: GWh,2036,Q3,261.363465415189
Drc_E,Total production: GWh,2036,Q4,260.9250087792221
Drc_E,Unmet demand: GWh,2024,Q1,0.0001974062494674
Drc_E,Unmet demand: GWh,2024,Q2,0.0001950196331367
Drc_E,Unmet demand: GWh,2024,Q3,1.9434863620195215
Drc_E,Unmet demand: GWh,2024,Q4,0.0001983512321815
Drc_E,Unmet demand: GWh,2030,Q1,4.4023019913166665e-05
Drc_E,Unmet demand: GWh,2030,Q2,4.275822363988948e-05
Drc_E,Unmet demand: GWh,2030,Q3,4.3734695473500416e-05
Drc_E,Unmet demand: GWh,2030,Q4,4.426130612273797e-05
Drc_E,Unmet demand: GWh,2036,Q1,5.802930236331262e-05
Drc_E,Unmet demand: GWh,2036,Q2,5.701670159467059e-05
Drc_E,Unmet demand: GWh,2036,Q3,5.717506612900479e-05
Drc_E,Unmet demand: GWh,2036,Q4,5.897939523626088e-05
Drc_E,Surplus generation: GWh,2024,Q1,0.0010056602126168
Drc_E,Surplus generation: GWh,2024,Q2,0.0010720246777117
Drc_E,Surplus generation: GWh,2024,Q3,0.0002646011268665
Drc_E,Surplus generation: GWh,2024,Q4,0.0009978983380828
Drc_E,Surplus generation: GWh,2030,Q1,0.0002381727142307
Drc_E,Surplus generation: GWh,2030,Q2,0.0003140014490497
Drc_E,Surplus generation: GWh,2030,Q3,0.0002589625186704
Drc_E,Surplus generation: GWh,2030,Q4,0.0002369316307943
Drc_E,Surplus generation: GWh,2036,Q1,0.0003723644820474
Drc_E,Surplus generation: GWh,2036,Q2,0.0004429040877091
Drc_E,Surplus generation: GWh,2036,Q3,0.0004385459413052
Drc_E,Surplus generation: GWh,2036,Q4,0.0003378047564318
Drc_E,Imports exchange: GWh,2024,Q1,21.723902572344127
Drc_E,Imports exchange: GWh,2024,Q2,17.342733771511586
Drc_E,Imports exchange: GWh,2024,Q3,26.498359676096147
Drc_E,Imports exchange: GWh,2024,Q4,26.459788455422853
Drc_E,Imports exchange: GWh,2030,Q1,0.0117641830086396
Drc_E,Imports exchange: GWh,2030,Q2,0.0559830785243482
Drc_E,Imports exchange: GWh,2030,Q3,0.0166636647518739
Drc_E,Imports exchange: GWh,2030,Q4,0.0121851398189144
Drc_E,Imports exchange: GWh,2036,Q1,3.3971868355470343
Drc_E,Imports exchange: GWh,2036,Q2,5.22104215521555
Drc_E,Imports exchange: GWh,2036,Q3,3.8297909826664864
Drc_E,Imports exchange: GWh,2036,Q4,4.31424341323389
Drc_E,Exports exchange: GWh,2024,Q1,0.0254474335789806
Drc_E,Exports exchange: GWh,2024,Q2,0.0303402595846066
Drc_E,Exports exchange: GWh,2024,Q3,0.0003345416674566
Drc_E,Exports exchange: GWh,2024,Q4,0.0174454602388379
Drc_E,Exports exchange: GWh,2030,Q1,60.62277364866304
Drc_E,Exports exchange: GWh,2030,Q2,73.54601166367213
Drc_E,Exports exchange: GWh,2030,Q3,50.06860400281522
Drc_E,Exports exchange: GWh,2030,Q4,53.52600779277841
Drc_E,Exports exchange: GWh,2036,Q1,14.272974312823909
Drc_E,Exports exchange: GWh,2036,Q2,28.175478836234085
Drc_E,Exports exchange: GWh,2036,Q3,3.292590981524974
Drc_E,Exports exchange: GWh,2036,Q4,8.193667013151883
Egypt,Demand: GWh,2024,Q1,44950.2182516646
Egypt,Demand: GWh,2024,Q2,52229.34643120235
Egypt,Demand: GWh,2024,Q3,61720.171816964
Egypt,Demand: GWh,2024,Q4,47670.263500169
Egypt,Demand: GWh,2030,Q1,56351.95065576702
Egypt,Demand: GWh,2030,Q2,65478.28989723115
Egypt,Demand: GWh,2030,Q3,77377.60356214043
Egypt,Demand: GWh,2030,Q4,59762.15588486128
Egypt,Demand: GWh,2036,Q1,66167.60203248262
Egypt,Demand: GWh,2036,Q2,76883.43484429982
Egypt,Demand: GWh,2036,Q3,90855.19466455298
Egypt,Demand: GWh,2036,Q4,70171.7684586645
Egypt,Total production: GWh,2024,Q1,45986.115407639525
Egypt,Total production: GWh,2024,Q2,52615.682960321945
Egypt,Total production: GWh,2024,Q3,62220.60897503816
Egypt,Total production: GWh,2024,Q4,48724.20953866409
Egypt,Total production: GWh,2030,Q1,57388.44545946178
Egypt,Total production: GWh,2030,Q2,65619.23515755951
Egypt,Total production: GWh,2030,Q3,77515.94517911463
Egypt,Total production: GWh,2030,Q4,60821.51656323367
Egypt,Total production: GWh,2036,Q1,67204.14283556063
Egypt,Total production: GWh,2036,Q2,76814.1039011773
Egypt,Total production: GWh,2036,Q3,90364.1433246322
Egypt,Total production: GWh,2036,Q4,71230.74056820573
Egypt,Unmet demand: GWh,2024,Q1,0.0003160806401469
Egypt,Unmet demand: GWh,2024,Q2,0.000317708532838
Egypt,Unmet demand: GWh,2024,Q3,0.000319297560065
Egypt,Unmet demand: GWh,2024,Q4,0.0003192473233561
Egypt,Unmet demand: GWh,2030,Q1,0.0001692959983518
Egypt,Unmet demand: GWh,2030,Q2,0.0001706350992653
Egypt,Unmet demand: GWh,2030,Q3,0.0001720058392101
Egypt,Unmet demand: GWh,2030,Q4,0.0001722232825003
Egypt,Unmet demand: GWh,2036,Q1,0.0001833187685166
Egypt,Unmet demand: GWh,2036,Q2,0.0001846236992484
Egypt,Unmet demand: GWh,2036,Q3,0.0001861571681417
Egypt,Unmet demand: GWh,2036,Q4,0.0001861676246539
Egypt,Surplus generation: GWh,2024,Q1,0.0012927195397857
Egypt,Surplus generation: GWh,2024,Q2,0.0012886006092553
Egypt,Surplus generation: GWh,2024,Q3,0.00128951344319
Egypt,Surplus generation: GWh,2024,Q4,0.0012916226883797
Egypt,Surplus generation: GWh,2030,Q1,0.0003807733877371
Egypt,Surplus generation: GWh,2030,Q2,0.0003817359808693
Egypt,Surplus generation: GWh,2030,Q3,0.0003833887200004
Egypt,Surplus generation: GWh,2030,Q4,0.0003833063041615
Egypt,Surplus generation: GWh,2036,Q1,0.00049749504185
Egypt,Surplus generation: GWh,2036,Q2,0.0004924217404198
Egypt,Surplus generation: GWh,2036,Q3,0.000479204056627
Egypt,Surplus generation: GWh,2036,Q4,0.0004996532177007
Egypt,Imports exchange: GWh,2024,Q1,0.0302251059532368
Egypt,Imports exchange: GWh,2024,Q2,297.2475937689628
Egypt,Imports exchange: GWh,2024,Q3,253.5442782048418
Egypt,Imports exchange: GWh,2024,Q4,0.0334551033257298
Egypt,Imports exchange: GWh,2030,Q1,0.0066920189936837
Egypt,Imports exchange: GWh,2030,Q2,438.80432834393935
Egypt,Imports exchange: GWh,2030,Q3,428.20017192812367
Egypt,Imports exchange: GWh,2030,Q4,0.0132670992912206
Egypt,Imports exchange: GWh,2036,Q1,0.0109465938297659
Egypt,Imports exchange: GWh,2036,Q2,556.9602147586505
Egypt,Imports exchange: GWh,2036,Q3,762.6529970884822
Egypt,Imports exchange: GWh,2036,Q4,0.1996946872608957
Egypt,Exports exchange: GWh,2024,Q1,1035.812663663372
Egypt,Exports exchange: GWh,2024,Q2,674.5512124371993
Egypt,Exports exchange: GWh,2024,Q3,746.259048943997
Egypt,Exports exchange: GWh,2024,Q4,1053.8624820697955
Egypt,Exports exchange: GWh,2030,Q1,1036.3803519646483
Egypt,Exports exchange: GWh,2030,Q2,566.4629690292804
Egypt,Exports exchange: GWh,2030,Q3,553.5728664532178
Egypt,Exports exchange: GWh,2030,Q4,1059.2503636791462
Egypt,Exports exchange: GWh,2036,Q1,1036.4243861898178
Egypt,Exports exchange: GWh,2036,Q2,470.789938518036
Egypt,Exports exchange: GWh,2036,Q3,248.59201382279883
Egypt,Exports exchange: GWh,2036,Q4,1059.0367074613655
Ethiopia,Demand: GWh,2024,Q1,4139.709458620393
Ethiopia,Demand: GWh,2024,Q2,4485.547067945511
Ethiopia,Demand: GWh,2024,Q3,4625.996815140422
Ethiopia,Demand: GWh,2024,Q4,4533.746658293675
Ethiopia,Demand: GWh,2030,Q1,7913.34839905761
Ethiopia,Demand: GWh,2030,Q2,8574.35436759219
Ethiopia,Demand: GWh,2030,Q3,8842.806568746832
Ethiopia,Demand: GWh,2030,Q4,8666.49066460338
Ethiopia,Demand: GWh,2036,Q1,13067.470552987988
Ethiopia,Demand: GWh,2036,Q2,14158.724108817109
Ethiopia,Demand: GWh,2036,Q3,14601.936766961153
Ethiopia,Demand: GWh,2036,Q4,14310.86857123372
Ethiopia,Total production: GWh,2024,Q1,5015.584272134177
Ethiopia,Total production: GWh,2024,Q2,5383.606092824714
Ethiopia,Total production: GWh,2024,Q3,5518.360613393318
Ethiopia,Total production: GWh,2024,Q4,5470.022366690999
Ethiopia,Total production: GWh,2030,Q1,9458.618469215797
Ethiopia,Total production: GWh,2030,Q2,10259.355073254714
Ethiopia,Total production: GWh,2030,Q3,10563.865015316016
Ethiopia,Total production: GWh,2030,Q4,10327.712210437528
Ethiopia,Total production: GWh,2036,Q1,16631.495564579862
Ethiopia,Total production: GWh,2036,Q2,17391.96425314485
Ethiopia,Total production: GWh,2036,Q3,17704.448858694337
Ethiopia,Total production: GWh,2036,Q4,18062.52758185005
Ethiopia,Unmet demand: GWh,2024,Q1,0.000179872287549
Ethiopia,Unmet demand: GWh,2024,Q2,0.0001799003217111
Ethiopia,Unmet demand: GWh,2024,Q3,0.0001807852739023
Ethiopia,Unmet demand: GWh,2024,Q4,0.0001815316203697
Ethiopia,Unmet demand: GWh,2030,Q1,6.718160410525072e-05
Ethiopia,Unmet demand: GWh,2030,Q2,6.75517324313045e-05
Ethiopia,Unmet demand: GWh,2030,Q3,6.793066278913835e-05
Ethiopia,Unmet demand: GWh,2030,Q4,6.792540904795696e-05
Ethiopia,Unmet demand: GWh,2036,Q1,8.135633151812599e-05
Ethiopia,Unmet demand: GWh,2036,Q2,8.172520888837636e-05
Ethiopia,Unmet demand: GWh,2036,Q3,8.237315254780278e-05
Ethiopia,Unmet demand: GWh,2036,Q4,8.401327687574679e-05
Ethiopia,Surplus generation: GWh,2024,Q1,0.0016615668040292
Ethiopia,Surplus generation: GWh,2024,Q2,0.0016641846166045
Ethiopia,Surplus generation: GWh,2024,Q3,0.0015892925580041
Ethiopia,Surplus generation: GWh,2024,Q4,0.0015451303252881
Ethiopia,Surplus generation: GWh,2030,Q1,0.0003878794004234
Ethiopia,Surplus generation: GWh,2030,Q2,0.0003884899034254
Ethiopia,Surplus generation: GWh,2030,Q3,0.0003890949410371
Ethiopia,Surplus generation: GWh,2030,Q4,0.0003874213031418
Ethiopia,Surplus generation: GWh,2036,Q1,0.0005217521415787
Ethiopia,Surplus generation: GWh,2036,Q2,0.0005223993283376
Ethiopia,Surplus generation: GWh,2036,Q3,0.0004994764528393
Ethiopia,Surplus generation: GWh,2036,Q4,0.0003996186365579
Ethiopia,Imports exchange: GWh,2024,Q1,1.8880555570947064
Ethiopia,Imports exchange: GWh,2024,Q2,16.444290726148694
Ethiopia,Imports exchange: GWh,2024,Q3,0.1365850381202302
Ethiopia,Imports exchange: GWh,2024,Q4,0.1828626961427913
Ethiopia,Imports exchange: GWh,2030,Q1,119.04013364717152
Ethiopia,Imports exchange: GWh,2030,Q2,58.70966633666666
Ethiopia,Imports exchange: GWh,2030,Q3,50.57327747750716
Ethiopia,Imports exchange: GWh,2030,Q4,80.54663115822662
Ethiopia,Imports exchange: GWh,2036,Q1,2.711894713564637
Ethiopia,Imports exchange: GWh,2036,Q2,179.67550202517407
Ethiopia,Imports exchange: GWh,2036,Q3,323.5865167157773
Ethiopia,Imports exchange: GWh,2036,Q4,0.0163046932588974
Ethiopia,Exports exchange: GWh,2024,Q1,877.6676266338494
Ethiopia,Exports exchange: GWh,2024,Q2,913.970852080822
Ethiopia,Exports exchange: GWh,2024,Q3,892.4575245534576
Ethiopia,Exports exchange: GWh,2024,Q4,936.4139762302508
Ethiopia,Exports exchange: GWh,2030,Q1,1660.6209787153855
Ethiopia,Exports exchange: GWh,2030,Q2,1741.8294081751624
Ethiopia,Exports exchange: GWh,2030,Q3,1769.9943846490996
Ethiopia,Exports exchange: GWh,2030,Q4,1739.231394363308
Ethiopia,Exports exchange: GWh,2036,Q1,3566.526358118403
Ethiopia,Exports exchange: GWh,2036,Q2,3407.394599954696
Ethiopia,Exports exchange: GWh,2036,Q3,3416.2628540951373
Ethiopia,Exports exchange: GWh,2036,Q4,3751.554635957044
Libya,Demand: GWh,2024,Q1,6993.912417139375
Libya,Demand: GWh,2024,Q2,13672.193900618771
Libya,Demand: GWh,2024,Q3,9576.946841196244
Libya,Demand: GWh,2024,Q4,8444.582471045624
Libya,Demand: GWh,2030,Q1,9887.220793896802
Libya,Demand: GWh,2030,Q2,19328.237439907465
Libya,Demand: GWh,2030,Q3,13538.829528129732
Libya,Demand: GWh,2030,Q4,11938.017868066026
Libya,Demand: GWh,2036,Q1,13199.835733483533
Libya,Demand: GWh,2036,Q2,25803.97105949444
Libya,Demand: GWh,2036,Q3,18074.879637083
Libya,Demand: GWh,2036,Q4,15937.731959939025
Libya,Total production: GWh,2024,Q1,6617.778008588256
Libya,Total production: GWh,2024,Q2,13034.191206468691
Libya,Total production: GWh,2024,Q3,9191.487121094344
Libya,Total production: GWh,2024,Q4,8064.157058643554
Libya,Total production: GWh,2030,Q1,9510.529710827765
