g,y,value
HFO_Project_01_DJI,2030,1.0
HFO_Project_01_DJI,2036,1.0
HFO_Project_02_DJI,2024,1.0
HFO_Project_02_DJI,2030,1.0
HFO_Project_02_DJI,2036,1.0
HFO_Project_03_DJI,2024,1.0
HFO_Project_03_DJI,2030,1.0
HFO_Project_03_DJI,2036,1.0
HFO_Project_04_DJI,2024,1.0
HFO_Project_04_DJI,2030,1.0
HFO_Project_04_DJI,2036,1.0
HFO_Project_05_DJI,2024,1.0
HFO_Project_05_DJI,2030,1.0
HFO_Project_05_DJI,2036,1.0
PolyGCL1,2024,1.0
PolyGCL1,2030,1.0
PolyGCL1,2036,1.0
Geoth,2024,1.0
Geoth,2030,1.0
Geoth,2036,1.0
Centrale_bifuel1,2024,1.0
Centrale_bifuel1,2030,1.0
Centrale_bifuel1,2036,1.0
Centrale_bifuel2,2024,1.0
Centrale_bifuel2,2030,1.0
Centrale_bifuel2,2036,1.0
Centrale_bifuel3,2024,1.0
Centrale_bifuel3,2030,1.0
Centrale_bifuel3,2036,1.0
Lubero,2024,0.4598630136986301
Lubero,2030,0.4598630136986301
Lubero,2036,0.4598630136986301
LungudiII,2024,0.4598630136986301
LungudiII,2030,0.4598630136986301
LungudiII,2036,0.4598630136986301
Matebe,2024,0.4598630136986301
Matebe,2030,0.4598630136986301
Matebe,2036,0.4598630136986301
Ruzizi_III_DRC,2024,0.4996164383561643
Ruzizi_III_DRC,2030,0.4996164383561643
Ruzizi_III_DRC,2036,0.4996164383561643
VIRUNGATalyiaNord1TalyiaNord2Ivugha,2024,0.6095068493150686
VIRUNGATalyiaNord1TalyiaNord2Ivugha,2030,0.6095068493150686
VIRUNGATalyiaNord1TalyiaNord2Ivugha,2036,0.6095068493150686
Ruzizi_I_DRC,2024,0.4996164383561643
Ruzizi_I_DRC,2030,0.4996164383561643
Ruzizi_I_DRC,2036,0.4996164383561643
Ruzizi_II_DRCMutwanga,2024,0.95
Ruzizi_II_DRCMutwanga,2030,0.95
Ruzizi_II_DRCMutwanga,2036,0.95
GENC_CCGT,2024,1.0
GENC_CCGT,2030,1.0
GENC_CCGT,2036,1.0
GENC_CCS,2024,1.0
GENC_CCS,2030,1.0
GENC_CCS,2036,1.0
GENC_CSP,2024,1.0
GENC_CSP,2030,1.0
GENC_CSP,2036,1.0
Generic_GENC_GT,2024,1.0
Generic_GENC_GT,2030,1.0
Generic_GENC_GT,2036,1.0
Generic_GENC_RICE,2024,1.0
Generic_GENC_RICE,2030,1.0
Generic_GENC_RICE,2036,1.0
NN-DIE_ST,2024,1.0
NN-DIE_ST,2030,1.0
NN-DIE_ST,2036,1.0
NN-HFO_ST,2024,1.0
NN-HFO_ST,2030,1.0
NN-HFO_ST,2036,1.0
NN_HY,2024,1.0
NN_HY,2030,1.0
NN_HY,2036,1.0
Generic_GENC_BAT,2024,1.0
Generic_GENC_BAT,2030,1.0
Generic_GENC_BAT,2036,1.0
El-Dabaa_NPP-1_NU,2024,1.0
El-Dabaa_NPP-1_NU,2030,1.0
El-Dabaa_NPP-1_NU,2036,1.0
El-Dabaa_NPP-2_NU,2024,1.0
El-Dabaa_NPP-2_NU,2030,1.0
El-Dabaa_NPP-2_NU,2036,1.0
El-Dabaa_NPP-3_NU,2024,1.0
El-Dabaa_NPP-3_NU,2030,1.0
El-Dabaa_NPP-3_NU,2036,1.0
El-Dabaa_NPP-4_NU,2024,1.0
El-Dabaa_NPP-4_NU,2030,1.0
El-Dabaa_NPP-4_NU,2036,1.0
6Oct-Ext-1_CCGT,2024,1.0
6Oct-Ext-1_CCGT,2030,1.0
6Oct-Ext-1_CCGT,2036,1.0
6Oct-Ext-2_CCGT,2024,1.0
6Oct-Ext-2_CCGT,2030,1.0
6Oct-Ext-2_CCGT,2036,1.0
Banha_CCGT,2024,1.0
Banha_CCGT,2030,1.0
Banha_CCGT,2036,1.0
Beni-Suef-1_CCGT,2024,1.0
Beni-Suef-1_CCGT,2030,1.0
Beni-Suef-1_CCGT,2036,1.0
Beni-Suef-2_CCGT,2024,1.0
Beni-Suef-2_CCGT,2030,1.0
Beni-Suef-2_CCGT,2036,1.0
Beni-Suef-3_CCGT,2024,1.0
Beni-Suef-3_CCGT,2030,1.0
Beni-Suef-3_CCGT,2036,1.0
Beni-Suef-4_CCGT,2024,1.0
Beni-Suef-4_CCGT,2030,1.0
Beni-Suef-4_CCGT,2036,1.0
Burullus-1_CCGT,2024,1.0
Burullus-1_CCGT,2030,1.0
Burullus-1_CCGT,2036,1.0
Burullus-2_CCGT,2024,1.0
Burullus-2_CCGT,2030,1.0
Burullus-2_CCGT,2036,1.0
Burullus-3_CCGT,2024,1.0
Burullus-3_CCGT,2030,1.0
Burullus-3_CCGT,2036,1.0
Burullus-4_CCGT,2024,1.0
Burullus-4_CCGT,2030,1.0
Burullus-4_CCGT,2036,1.0
Cairo-North-1_CCGT,2024,1.0
Cairo-North-1_CCGT,2030,1.0
Cairo-North-1_CCGT,2036,1.0
Cairo-North-2_CCGT,2024,1.0
Cairo-North-2_CCGT,2030,1.0
Cairo-North-2_CCGT,2036,1.0
Cairo-South_CCGT,2024,1.0
Cairo-South_CCGT,2030,1.0
Cairo-South_CCGT,2036,1.0
Daman-Hour_CCGT,2024,1.0
Daman-Hour_CCGT,2030,1.0
Daman-Hour_CCGT,2036,1.0
Damietta-1_CCGT,2024,1.0
Damietta-1_CCGT,2030,1.0
Damietta-1_CCGT,2036,1.0
Damietta-2_CCGT,2024,1.0
Damietta-2_CCGT,2030,1.0
Damietta-2_CCGT,2036,1.0
El-Atf_CCGT,2024,1.0
El-Atf_CCGT,2030,1.0
El-Atf_CCGT,2036,1.0
Giza-1_CCGT,2024,1.0
Giza-1_CCGT,2030,1.0
Giza-1_CCGT,2036,1.0
Giza-2_CCGT,2024,1.0
Giza-2_CCGT,2030,1.0
Giza-2_CCGT,2036,1.0
Giza-3_CCGT,2024,1.0
Giza-3_CCGT,2030,1.0
Giza-3_CCGT,2036,1.0
Kuriemat-1_CCGT,2024,1.0
Kuriemat-1_CCGT,2030,1.0
Kuriemat-1_CCGT,2036,1.0
Kuriemat-2_CCGT,2024,1.0
Kuriemat-2_CCGT,2030,1.0
Kuriemat-2_CCGT,2036,1.0
Mahmoudeya_CCGT,2024,1.0
Mahmoudeya_CCGT,2030,1.0
Mahmoudeya_CCGT,2036,1.0
New-Capital-1_CCGT,2024,1.0
New-Capital-1_CCGT,2030,1.0
New-Capital-1_CCGT,2036,1.0
New-Capital-2_CCGT,2024,1.0
New-Capital-2_CCGT,2030,1.0
New-Capital-2_CCGT,2036,1.0
New-Capital-3_CCGT,2024,1.0
New-Capital-3_CCGT,2030,1.0
New-Capital-3_CCGT,2036,1.0
New-Capital-4_CCGT,2024,1.0
New-Capital-4_CCGT,2030,1.0
New-Capital-4_CCGT,2036,1.0
New-Shabab-1_CCGT,2024,1.0
New-Shabab-1_CCGT,2030,1.0
New-Shabab-1_CCGT,2036,1.0
New-Shabab-2_CCGT,2024,1.0
New-Shabab-2_CCGT,2030,1.0
New-Shabab-2_CCGT,2036,1.0
New-Shabab-3_CCGT,2024,1.0
New-Shabab-3_CCGT,2030,1.0
New-Shabab-3_CCGT,2036,1.0
Nubaria-1_CCGT,2024,1.0
Nubaria-1_CCGT,2030,1.0
Nubaria-1_CCGT,2036,1.0
Nubaria-2_CCGT,2024,1.0
Nubaria-2_CCGT,2030,1.0
Nubaria-2_CCGT,2036,1.0
Nubaria-3_CCGT,2024,1.0
Nubaria-3_CCGT,2030,1.0
Nubaria-3_CCGT,2036,1.0
Sidi-Kirir_CCGT,2024,1.0
Sidi-Kirir_CCGT,2030,1.0
Sidi-Kirir_CCGT,2036,1.0
Talkha_CCGT,2024,1.0
Talkha_CCGT,2030,1.0
Talkha_CCGT,2036,1.0
Talkha-2_CCGT,2024,1.0
Talkha-2_CCGT,2030,1.0
Talkha-2_CCGT,2036,1.0
West-Assiut-1_CCGT,2024,1.0
West-Assiut-1_CCGT,2030,1.0
West-Assiut-1_CCGT,2036,1.0
West-Assiut-2_CCGT,2024,1.0
West-Assiut-2_CCGT,2030,1.0
West-Assiut-2_CCGT,2036,1.0
West-Damietta_CCGT,2024,1.0
West-Damietta_CCGT,2030,1.0
West-Damietta_CCGT,2036,1.0
West-Damietta-Ext_CCGT,2024,1.0
West-Damietta-Ext_CCGT,2030,1.0
West-Damietta-Ext_CCGT,2036,1.0
Kuriemat_CSP,2024,1.0
Kuriemat_CSP,2030,1.0
Kuriemat_CSP,2036,1.0
6Oct-1_GT,2024,1.0
6Oct-1_GT,2030,1.0
6Oct-1_GT,2036,1.0
6Oct-2_GT,2024,1.0
6Oct-2_GT,2030,1.0
6Oct-2_GT,2036,1.0
Abu-Qir_GT,2024,1.0
Abu-Qir_GT,2030,1.0
Abu-Qir_GT,2036,1.0
Ataga-Ext-1_GT,2024,1.0
Ataga-Ext-1_GT,2030,1.0
Ataga-Ext-1_GT,2036,1.0
Ataga-Ext-2_GT,2024,1.0
Ataga-Ext-2_GT,2030,1.0
Ataga-Ext-2_GT,2036,1.0
Bany-Ghaleb_GT,2024,1.0
Bany-Ghaleb_GT,2030,1.0
Bany-Ghaleb_GT,2036,1.0
Cairo-South_GT,2024,1.0
Cairo-South_GT,2030,1.0
Cairo-South_GT,2036,1.0
East-Cario_GT,2024,1.0
East-Cario_GT,2030,1.0
East-Cario_GT,2036,1.0
EL-Basateen_GT,2024,1.0
EL-Basateen_GT,2030,1.0
EL-Basateen_GT,2036,1.0
El-Masaeed_GT,2024,1.0
El-Masaeed_GT,2030,1.0
El-Masaeed_GT,2036,1.0
Gerga_GT,2024,1.0
Gerga_GT,2030,1.0
Gerga_GT,2036,1.0
Heliopoles_GT,2024,1.0
Heliopoles_GT,2030,1.0
Heliopoles_GT,2036,1.0
Hurgha-da_GT,2024,1.0
Hurgha-da_GT,2030,1.0
Hurgha-da_GT,2036,1.0
Hurgha-da-Ext_GT,2024,1.0
Hurgha-da-Ext_GT,2030,1.0
Hurgha-da-Ext_GT,2036,1.0
New-Assiut_GT,2024,1.0
New-Assiut_GT,2030,1.0
New-Assiut_GT,2036,1.0
New-Gas-Damietta_GT,2024,1.0
New-Gas-Damietta_GT,2030,1.0
New-Gas-Damietta_GT,2036,1.0
New-Mahmoudeya_GT,2024,1.0
New-Mahmoudeya_GT,2030,1.0
New-Mahmoudeya_GT,2036,1.0
Port-Said_GT,2024,1.0
Port-Said_GT,2030,1.0
Port-Said_GT,2036,1.0
Red-Assiut_GT,2024,1.0
Red-Assiut_GT,2030,1.0
Red-Assiut_GT,2036,1.0
Samalout_GT,2024,1.0
Samalout_GT,2030,1.0
Samalout_GT,2036,1.0
Shabab_GT,2024,1.0
Shabab_GT,2030,1.0
Shabab_GT,2036,1.0
Sharm-El-Sheikh_GT,2024,1.0
Sharm-El-Sheikh_GT,2030,1.0
Sharm-El-Sheikh_GT,2036,1.0
Sharm-El-Sheikh-Ext_GT,2024,1.0
Sharm-El-Sheikh-Ext_GT,2030,1.0
Sharm-El-Sheikh-Ext_GT,2036,1.0
Shoub_GT,2024,1.0
Shoub_GT,2030,1.0
Shoub_GT,2036,1.0
Wadi_GT,2024,1.0
Wadi_GT,2030,1.0
Wadi_GT,2036,1.0
West-Malawy_GT,2024,1.0
West-Malawy_GT,2030,1.0
West-Malawy_GT,2036,1.0
Assiut_HY,2024,0.9
Assiut_HY,2030,0.9
Assiut_HY,2036,0.9
Abu-Qir-New-1_ST,2024,1.0
Abu-Qir-New-1_ST,2030,1.0
Abu-Qir-New-1_ST,2036,1.0
Abu-Qir-New-2_ST,2024,1.0
Abu-Qir-New-2_ST,2030,1.0
Abu-Qir-New-2_ST,2036,1.0
Ain-Sokhna-1_ST,2024,1.0
Ain-Sokhna-1_ST,2030,1.0
Ain-Sokhna-1_ST,2036,1.0
Ain-Sokhna-2_ST,2024,1.0
Ain-Sokhna-2_ST,2030,1.0
Ain-Sokhna-2_ST,2036,1.0
Arish_ST,2024,1.0
Arish_ST,2030,1.0
Arish_ST,2036,1.0
Cairo-West-Ext-1_ST,2024,1.0
Cairo-West-Ext-1_ST,2030,1.0
Cairo-West-Ext-1_ST,2036,1.0
Cairo-West-Ext-2_ST,2024,1.0
Cairo-West-Ext-2_ST,2030,1.0
Cairo-West-Ext-2_ST,2036,1.0
El-Tibeen_ST,2024,1.0
El-Tibeen_ST,2030,1.0
El-Tibeen_ST,2036,1.0
Kuriemat-1_ST,2024,1.0
Kuriemat-1_ST,2030,1.0
Kuriemat-1_ST,2036,1.0
Kuriemat-2_ST,2024,1.0
Kuriemat-2_ST,2030,1.0
Kuriemat-2_ST,2036,1.0
Oyon-Mousa_ST,2024,1.0
Oyon-Mousa_ST,2030,1.0
Oyon-Mousa_ST,2036,1.0
Port-Said-East_ST,2024,1.0
Port-Said-East_ST,2030,1.0
Port-Said-East_ST,2036,1.0
Sidi-Kirir-1-2_ST,2024,1.0
Sidi-Kirir-1-2_ST,2030,1.0
Sidi-Kirir-1-2_ST,2036,1.0
Sidi-Kirir-3-4_ST,2024,1.0
Sidi-Kirir-3-4_ST,2030,1.0
Sidi-Kirir-3-4_ST,2036,1.0
South-Helwan-1_ST,2024,1.0
South-Helwan-1_ST,2030,1.0
South-Helwan-1_ST,2036,1.0
South-Helwan-2_ST,2024,1.0
South-Helwan-2_ST,2030,1.0
South-Helwan-2_ST,2036,1.0
South-Helwan-3_ST,2024,1.0
South-Helwan-3_ST,2030,1.0
South-Helwan-3_ST,2036,1.0
Suez_ST,2024,1.0
Suez_ST,2030,1.0
Suez_ST,2036,1.0
Suez-Gulf_ST,2024,1.0
Suez-Gulf_ST,2030,1.0
Suez-Gulf_ST,2036,1.0
Talkha_ST,2024,1.0
Talkha_ST,2030,1.0
Talkha_ST,2036,1.0
Walideya_ST,2024,1.0
Walideya_ST,2030,1.0
Walideya_ST,2036,1.0
Aswan-Dam_HY,2024,1.0
Aswan-Dam_HY,2030,1.0
Aswan-Dam_HY,2036,1.0
Aswan-Dam-2_HY,2024,1.0
Aswan-Dam-2_HY,2030,1.0
Aswan-Dam-2_HY,2036,1.0
Esna_HY,2024,0.55
Esna_HY,2030,0.55
Esna_HY,2036,0.55
High-Dam_HY,2024,1.0
High-Dam_HY,2030,1.0
High-Dam_HY,2036,1.0
Naga-Hamadi_HY,2024,0.96
Naga-Hamadi_HY,2030,0.96
Naga-Hamadi_HY,2036,0.96
Generic_GCCGT_1,2024,1.0
Generic_GCCGT_1,2030,1.0
Generic_GCCGT_1,2036,1.0
Generic_GCCGT_2,2024,1.0
Generic_GCCGT_2,2030,1.0
Generic_GCCGT_2,2036,1.0
Boku_Geothermal,2024,1.0
Boku_Geothermal,2030,1.0
Boku_Geothermal,2036,1.0
Dofan_Geothermal,2024,1.0
Dofan_Geothermal,2030,1.0
Dofan_Geothermal,2036,1.0
Dugna_Fango_Geothermal,2024,1.0
Dugna_Fango_Geothermal,2030,1.0
Dugna_Fango_Geothermal,2036,1.0
Fentale_Geothermal,2024,1.0
Fentale_Geothermal,2030,1.0
Fentale_Geothermal,2036,1.0
Generic_Geothermal_1,2024,1.0
Generic_Geothermal_1,2030,1.0
Generic_Geothermal_1,2036,1.0
Shashemene_Geothermal,2024,1.0
Shashemene_Geothermal,2030,1.0
Shashemene_Geothermal,2036,1.0
Tendaho-Alalobad_Geothermal,2024,1.0
Tendaho-Alalobad_Geothermal,2030,1.0
Tendaho-Alalobad_Geothermal,2036,1.0
Generic_GasCT_1,2024,1.0
Generic_GasCT_1,2030,1.0
Generic_GasCT_1,2036,1.0
Generic_GasCT_2,2024,1.0
Generic_GasCT_2,2030,1.0
Generic_GasCT_2,2036,1.0
Generic_LFO_1,2024,1.0
Generic_LFO_1,2030,1.0
Generic_LFO_1,2036,1.0
Generic_LFO_2,2024,1.0
Generic_LFO_2,2030,1.0
Generic_LFO_2,2036,1.0
Aleltu_East_HEP,2024,1.0
Aleltu_East_HEP,2030,1.0
Aleltu_East_HEP,2036,1.0
Aleltu_West_HEP,2024,1.0
Aleltu_West_HEP,2030,1.0
Aleltu_West_HEP,2036,1.0
Assosa_Bambasi,2024,1.0
Assosa_Bambasi,2030,1.0
Assosa_Bambasi,2036,1.0
Baro_1,2024,1.0
Baro_1,2030,1.0
Baro_1,2036,1.0
Baro_2_HEP,2024,1.0
Baro_2_HEP,2030,1.0
Baro_2_HEP,2036,1.0
Beko_Abo,2024,1.0
Beko_Abo,2030,1.0
Beko_Abo,2036,1.0
Birbir,2024,1.0
Birbir,2030,1.0
Birbir,2036,1.0
Birbir_R,2024,1.0
Birbir_R,2030,1.0
Birbir_R,2036,1.0
Dabus_HEP,2024,1.0
Dabus_HEP,2030,1.0
Dabus_HEP,2036,1.0
Geba_1,2024,1.0
Geba_1,2030,1.0
Geba_1,2036,1.0
Geba_2,2024,1.0
Geba_2,2030,1.0
Geba_2,2036,1.0
Genale_V,2024,1.0
Genale_V,2030,1.0
Genale_V,2036,1.0
Genale_VI,2024,1.0
Genale_VI,2030,1.0
Genale_VI,2036,1.0
Genji_(linked_with_Baro_&_II),2024,1.0
Genji_(linked_with_Baro_&_II),2030,1.0
Genji_(linked_with_Baro_&_II),2036,1.0
Gojeb,2024,1.0
Gojeb,2030,1.0
Gojeb,2036,1.0
Halele,2024,1.0
Halele,2030,1.0
Halele,2036,1.0
Karadobi,2024,1.0
Karadobi,2030,1.0
Karadobi,2036,1.0
Kesem_BIO,2024,1.0
Kesem_BIO,2030,1.0
Kesem_BIO,2036,1.0
Lower_Dabus,2024,1.0
Lower_Dabus,2030,1.0
Lower_Dabus,2036,1.0
Lower_Didessa,2024,1.0
Lower_Didessa,2030,1.0
Lower_Didessa,2036,1.0
Sor_2_HEP,2024,1.0
Sor_2_HEP,2030,1.0
Sor_2_HEP,2036,1.0
Tams,2024,1.0
Tams,2030,1.0
Tams,2036,1.0
Tekeze_II,2024,1.0
Tekeze_II,2030,1.0
Tekeze_II,2036,1.0
Upper_Dabus,2024,1.0
Upper_Dabus,2030,1.0
Upper_Dabus,2036,1.0
Upper_Mendaya,2024,1.0
Upper_Mendaya,2030,1.0
Upper_Mendaya,2036,1.0
Wabi,2024,1.0
Wabi,2030,1.0
Wabi,2036,1.0
Wabi_Shebele,2024,1.0
Wabi_Shebele,2030,1.0
Wabi_Shebele,2036,1.0
Werabesa,2024,1.0
Werabesa,2030,1.0
Werabesa,2036,1.0
Wolkayit_BIO,2024,1.0
Wolkayit_BIO,2030,1.0
Wolkayit_BIO,2036,1.0
Beles,2024,1.0
Beles,2030,1.0
Beles,2036,1.0
Omo_Kuraz_BIO,2024,1.0
Omo_Kuraz_BIO,2030,1.0
Omo_Kuraz_BIO,2036,1.0
Generic_Coal_6_Ethiopia,2024,1.0
Generic_Coal_6_Ethiopia,2030,1.0
Generic_Coal_6_Ethiopia,2036,1.0
Aluto_Langano,2024,1.0
Aluto_Langano,2030,1.0
Aluto_Langano,2036,1.0
Aluto_Langano_I_(Rehabilitation),2024,1.0
Aluto_Langano_I_(Rehabilitation),2030,1.0
Aluto_Langano_I_(Rehabilitation),2036,1.0
Aluto_Langano_II,2024,1.0
Aluto_Langano_II,2030,1.0
Aluto_Langano_II,2036,1.0
Corbetti_I,2024,1.0
Corbetti_I,2030,1.0
Corbetti_I,2036,1.0
Corbetti_II,2024,1.0
Corbetti_II,2030,1.0
Corbetti_II,2036,1.0
GERD_3_HEP,2024,1.0
GERD_3_HEP,2030,1.0
GERD_3_HEP,2036,1.0
GERD_4_HEP,2024,1.0
GERD_4_HEP,2030,1.0
GERD_4_HEP,2036,1.0
GERD_5_HEP,2024,1.0
GERD_5_HEP,2030,1.0
GERD_5_HEP,2036,1.0
Koysha_(Gibe_IV),2024,1.0
Koysha_(Gibe_IV),2030,1.0
Koysha_(Gibe_IV),2036,1.0
Replacement_Diesel,2024,1.0
Replacement_Diesel,2030,1.0
Replacement_Diesel,2036,1.0
Replacement_Koka_HEP,2024,1.0
Replacement_Koka_HEP,2030,1.0
Replacement_Koka_HEP,2036,1.0
Tulu_Moye_I,2024,1.0
Tulu_Moye_I,2030,1.0
Tulu_Moye_I,2036,1.0
Tulu_Moye_II,2024,1.0
Tulu_Moye_II,2030,1.0
Tulu_Moye_II,2036,1.0
Tulumoya_Abaya,2024,1.0
Tulumoya_Abaya,2030,1.0
Tulumoya_Abaya,2036,1.0
YedaI,2024,1.0
YedaI,2030,1.0
YedaI,2036,1.0
YedaII_(linked_with_YedaI),2024,1.0
YedaII_(linked_with_YedaI),2030,1.0
YedaII_(linked_with_YedaI),2036,1.0
Aba_Samuel,2024,0.94
Aba_Samuel,2030,0.94
Aba_Samuel,2036,0.94
Addis_Ababa_EFW,2024,1.0
Addis_Ababa_EFW,2030,1.0
Addis_Ababa_EFW,2036,1.0
Awash_II,2024,0.3200547945205479
Awash_II,2030,0.3200547945205479
Awash_II,2036,0.3200547945205479
Awash_III,2024,0.3324931506849315
Awash_III,2030,0.3324931506849315
Awash_III,2036,0.3324931506849315
Awash7,2024,1.0
Awash7,2030,1.0
Awash7,2036,1.0
Beles_HEP,2024,1.0
Beles_HEP,2030,1.0
Beles_HEP,2036,1.0
Dire_Dawa,2024,1.0
Dire_Dawa,2030,1.0
Dire_Dawa,2036,1.0
Finchaa,2024,1.0
Finchaa,2030,1.0
Finchaa,2036,1.0
Genale_Dawa_III,2024,1.0
Genale_Dawa_III,2030,1.0
Genale_Dawa_III,2036,1.0
GERD_1_HEP,2024,1.0
GERD_1_HEP,2030,1.0
GERD_1_HEP,2036,1.0
GERD_2_HEP,2024,1.0
GERD_2_HEP,2030,1.0
GERD_2_HEP,2036,1.0
GERD_3a_HEP,2024,1.0
GERD_3a_HEP,2030,1.0
GERD_3a_HEP,2036,1.0
Gibe_I,2024,1.0
Gibe_I,2030,1.0
Gibe_I,2036,1.0
Gibe_II,2024,0.4675068493150685
Gibe_II,2030,0.4675068493150685
