zone1,zone2,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
NTE,OCC,1.4E-2,1.7000000000000001E-2,2.3E-2,2.3E-2,3.1E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2
OCC,NTE,1.4E-2,1.7000000000000001E-2,2.3E-2,2.3E-2,3.1E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2
NES,ORI,1.4E-2,1.7000000000000001E-2,2.3E-2,2.3E-2,3.1E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2
ORI,NES,1.4E-2,1.7000000000000001E-2,2.3E-2,2.3E-2,3.1E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2
OCC,ORI,1.4E-2,1.7000000000000001E-2,2.3E-2,2.3E-2,3.1E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2
ORI,OCC,1.4E-2,1.7000000000000001E-2,2.3E-2,2.3E-2,3.1E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2
OCC,CEN,1.4E-2,1.7000000000000001E-2,2.3E-2,2.3E-2,3.1E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2
CEN,OCC,1.4E-2,1.7000000000000001E-2,2.3E-2,2.3E-2,3.1E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2
NOR,OCC,1.4E-2,1.7000000000000001E-2,2.3E-2,2.3E-2,3.1E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2
OCC,NOR,1.4E-2,1.7000000000000001E-2,2.3E-2,2.3E-2,3.1E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2
NES,OCC,1.4E-2,1.7000000000000001E-2,2.3E-2,2.3E-2,3.1E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2
OCC,NES,1.4E-2,1.7000000000000001E-2,2.3E-2,2.3E-2,3.1E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2
ORI,PEN,1.4E-2,1.7000000000000001E-2,2.3E-2,2.3E-2,3.1E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2
PEN,ORI,1.4E-2,1.7000000000000001E-2,2.3E-2,2.3E-2,3.1E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2
NOR,SIBC,1.4E-2,1.7000000000000001E-2,2.3E-2,2.3E-2,3.1E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2
SIBC,NOR,1.4E-2,1.7000000000000001E-2,2.3E-2,2.3E-2,3.1E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2
NOR,SIBCS,1.4E-2,1.7000000000000001E-2,2.3E-2,2.3E-2,3.1E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2
SIBCS,NOR,1.4E-2,1.7000000000000001E-2,2.3E-2,2.3E-2,3.1E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2
