g,book,deca_plant,heatrate_before,heatrate_after,vom_before,vom_after,transport_term,why
KARAGANDA _TPS-3_CHP_2031,KZ,KZ_CHP-3 Karaganda Energo Center,11.2300,12.7940,12.870,12.870,,"2020 value kept, DeCA sits at its own default"
LEBAP_GT_2031,TM,TMLebap___TG,9.7490,9.7486,7.623,7.623,,"2020 value kept, DeCA sits at its own default"
MARY_GT_2031,TM,TMMary_2__TG,9.7490,9.7486,7.623,7.623,,"2020 value kept, DeCA sits at its own default"
NAVOI_ST_NEW_2031,UZ,UZNavoi___TV,11.1300,11.3733,15.450,9.100,,DeCA states 9.100
NAVOI_CCGT_2031,UZ,UZNavCCGT1CC,6.0900,6.3122,3.465,3.500,,DeCA states 3.500
PAVLODAR-1_CHP_2031,KZ,KZ_CHP-1 Pavlodar - Aluminium Kazakhstan,11.2300,12.7940,12.870,12.870,,"2020 value kept, DeCA sits at its own default"
PAVLODAR-3_CHP_2031,KZ,KZ_CHP-3 PavlodarEnergo,11.2300,12.4213,12.870,12.870,,"2020 value kept, DeCA sits at its own default"
PETROPAVLOVSK-2_CHP_2031,KZ,KZ_CHP SevkazEnergo Petropavlovsk,11.2300,12.7940,12.870,12.870,,"2020 value kept, DeCA sits at its own default"
TAKHIATASH_ST_NEW_2031,UZ,UZTakhiataTV,11.1300,11.6448,15.450,3.540,,DeCA states 3.540
TASHKENT_CHP_2031,UZ,UZTashkentCO,11.1900,9.7486,8.712,8.712,,"2020 value kept, DeCA sits at its own default"
TOLIMARJON_ST_2031,UZ,UZTalimardTV,11.1300,10.9812,15.450,9.100,,DeCA states 9.100
TOLIMARJON_CCGT_2031,UZ,UZTalimardCC,6.0800,5.5032,3.465,9.100,,DeCA states 9.100
TURKMENBASHI _REFINERY_GT_2031,TM,TMTurkmenbCO,9.7490,9.7486,7.623,7.623,,"2020 value kept, DeCA sits at its own default"
UST-KAMENOGORSK _TETS_CHP_2031,KZ,KZ_CHP Ust-Kamenogorsk,9.7490,12.7940,12.870,12.870,,"2020 value kept, DeCA sits at its own default"
WATAN_GT_2031,TM,TMVatan___TG,9.7490,9.7486,7.623,7.623,,"2020 value kept, DeCA sits at its own default"
ZHAMBYL_ST_2031,KZ,KZ_Zhambyl GRES,10.3820,9.3915,15.450,18.925,3.475,"2020 value kept, DeCA sits at its own default; transport 0.370 $/MMBtu over 9.391 MMBtu/MWh"
TASHKENT_ST_2023,UZ,UZTashkentTV,11.1300,10.6293,15.450,9.100,,DeCA states 9.100
NOVO-ANGREN_ST_2030,UZ,UZNovoAngrTV,11.1681,10.8317,10.890,9.100,,DeCA states 9.100
NOVO-ANGREN_ST_2031,UZ,UZNovoAngrTV,9.4780,10.8317,10.890,9.100,,DeCA states 9.100
KARAGANDA _HPS-1_ST_2031,KZ,KZ_GRES 1 Karaganda Bassel Group,10.3086,16.0023,10.890,10.890,,"2020 value kept, DeCA sits at its own default"
