z,tech,q,level,shape,deca_rows,cf_2020,cf_new,day_scale,max
NEPS_AFG,WT,Q3a,atlas_p90,casa_2020 blocks,0,0.3356,0.2984,,0.3148
NEPS_AFG,WT,Q3b,atlas_p90,casa_2020 blocks,0,0.3356,0.2984,,0.3148
NEPS_AFG,WT,Q4,atlas_p90,casa_2020 blocks,0,0.3331,0.2962,,0.3107
NEPS_TAJ,PV,Q1,casa_2020,rninja hourly,0,0.1034,0.1034,1.046,0.4399
NEPS_TAJ,PV,Q2,casa_2020,rninja hourly,0,0.1704,0.1704,1.377,0.8394
NEPS_TAJ,PV,Q3a,casa_2020,rninja hourly,0,0.2140,0.2140,0.938,0.6751
NEPS_TAJ,PV,Q3b,casa_2020,rninja hourly,0,0.2140,0.2140,1.012,0.7000
NEPS_TAJ,PV,Q4,casa_2020,rninja hourly,0,0.1391,0.1391,1.074,0.8042
NEPS_TAJ,WT,Q1,atlas_p90,casa_2020 blocks,0,0.3295,0.1741,,0.1792
NEPS_TAJ,WT,Q2,atlas_p90,casa_2020 blocks,0,0.3313,0.1750,,0.1804
NEPS_TAJ,WT,Q3a,atlas_p90,casa_2020 blocks,0,0.3356,0.1773,,0.1870
NEPS_TAJ,WT,Q3b,atlas_p90,casa_2020 blocks,0,0.3356,0.1773,,0.1870
NEPS_TAJ,WT,Q4,atlas_p90,casa_2020 blocks,0,0.3331,0.1760,,0.1846
NEPS_TKM,PV,Q1,casa_2020,rninja hourly,0,0.1034,0.1034,1.035,0.4278
NEPS_TKM,PV,Q2,casa_2020,rninja hourly,0,0.1704,0.1704,1.376,1.0000
NEPS_TKM,PV,Q3a,casa_2020,rninja hourly,0,0.2140,0.2140,0.952,0.6888
NEPS_TKM,PV,Q3b,casa_2020,rninja hourly,0,0.2140,0.2140,1.018,0.6768
NEPS_TKM,PV,Q4,casa_2020,rninja hourly,0,0.1391,0.1391,1.091,0.7101
NEPS_TKM,WT,Q1,atlas_p90,casa_2020 blocks,0,0.3295,0.3381,,0.3480
NEPS_TKM,WT,Q2,atlas_p90,rninja hourly,0,0.3313,0.3399,1.295,1.0000
NEPS_TKM,WT,Q3a,atlas_p90,casa_2020 blocks,0,0.3356,0.3443,,0.3632
NEPS_TKM,WT,Q3b,atlas_p90,rninja hourly,0,0.3356,0.3443,1.300,1.0000
NEPS_TKM,WT,Q4,atlas_p90,casa_2020 blocks,0,0.3331,0.3418,,0.3584
NEPS_UZB,PV,Q1,casa_2020,rninja hourly,0,0.1034,0.1034,1.100,0.4482
NEPS_UZB,PV,Q2,casa_2020,rninja hourly,0,0.1704,0.1704,1.356,0.9714
NEPS_UZB,PV,Q3a,casa_2020,rninja hourly,0,0.2140,0.2140,0.948,0.6769
NEPS_UZB,PV,Q3b,casa_2020,rninja hourly,0,0.2140,0.2140,1.020,0.6904
NEPS_UZB,PV,Q4,casa_2020,rninja hourly,0,0.1391,0.1391,1.014,0.6809
NEPS_UZB,WT,Q1,atlas_p90,casa_2020 blocks,0,0.3295,0.3595,,0.3701
NEPS_UZB,WT,Q2,atlas_p90,rninja hourly,0,0.3313,0.3615,1.266,1.0000
NEPS_UZB,WT,Q3a,atlas_p90,casa_2020 blocks,0,0.3356,0.3662,,0.3863
NEPS_UZB,WT,Q3b,atlas_p90,rninja hourly,0,0.3356,0.3662,1.287,1.0000
NEPS_UZB,WT,Q4,atlas_p90,casa_2020 blocks,0,0.3331,0.3635,,0.3812
PAK_KAR,PV,Q1,casa_2020,rninja hourly,0,0.1641,0.1641,0.983,0.5672
PAK_KAR,PV,Q2,casa_2020,rninja hourly,0,0.1822,0.1822,0.993,0.6306
PAK_KAR,PV,Q3a,casa_2020,rninja hourly,0,0.1543,0.1543,0.974,0.5019
PAK_KAR,PV,Q3b,casa_2020,rninja hourly,0,0.1543,0.1543,0.918,0.5489
PAK_KAR,PV,Q4,casa_2020,rninja hourly,0,0.1886,0.1886,1.011,0.6439
PAK_KAR,WT,Q1,atlas_p90,rninja hourly,0,0.3311,0.3689,0.915,0.9149
PAK_KAR,WT,Q2,atlas_p90,casa_2020 blocks,0,0.3313,0.3691,,0.3805
PAK_KAR,WT,Q3a,atlas_p90,rninja hourly,0,0.3356,0.3739,1.092,0.5549
PAK_KAR,WT,Q3b,atlas_p90,rninja hourly,0,0.3356,0.3739,1.302,0.7604
PAK_KAR,WT,Q4,atlas_p90,rninja hourly,0,0.3331,0.3711,1.350,1.0000
PAK_N,PV,Q1,casa_2020,rninja hourly,0,0.1641,0.1641,0.964,0.6870
PAK_N,PV,Q2,casa_2020,rninja hourly,0,0.1822,0.1822,1.254,0.8649
PAK_N,PV,Q3a,casa_2020,rninja hourly,0,0.1543,0.1543,1.077,0.5315
PAK_N,PV,Q3b,casa_2020,rninja hourly,0,0.1543,0.1543,1.030,0.5572
PAK_N,PV,Q4,casa_2020,rninja hourly,0,0.1886,0.1886,1.103,0.9011
PAK_N,WT,Q1,atlas_p90,casa_2020 blocks,0,0.3311,0.2125,,0.2176
PAK_N,WT,Q2,atlas_p90,casa_2020 blocks,0,0.3313,0.2126,,0.2191
PAK_N,WT,Q3a,atlas_p90,casa_2020 blocks,0,0.3356,0.2153,,0.2272
PAK_N,WT,Q3b,atlas_p90,casa_2020 blocks,0,0.3356,0.2153,,0.2272
PAK_N,WT,Q4,atlas_p90,casa_2020 blocks,0,0.3331,0.2137,,0.2242
PAK_S,PV,Q1,casa_2020,rninja hourly,0,0.1641,0.1641,1.234,0.7118
PAK_S,PV,Q2,casa_2020,rninja hourly,0,0.1822,0.1822,1.094,0.6662
PAK_S,PV,Q3a,casa_2020,rninja hourly,0,0.1543,0.1543,0.997,0.5067
PAK_S,PV,Q3b,casa_2020,rninja hourly,0,0.1543,0.1543,1.119,0.5453
PAK_S,PV,Q4,casa_2020,rninja hourly,0,0.1886,0.1886,0.972,0.6595
PAK_S,WT,Q1,atlas_p90,rninja hourly,0,0.3311,0.3591,0.822,0.5767
PAK_S,WT,Q2,atlas_p90,rninja hourly,0,0.3313,0.3593,1.137,0.7296
PAK_S,WT,Q3a,atlas_p90,rninja hourly,0,0.3356,0.3639,1.143,0.6620
PAK_S,WT,Q3b,atlas_p90,rninja hourly,0,0.3356,0.3639,1.210,0.9722
PAK_S,WT,Q4,atlas_p90,rninja hourly,0,0.3331,0.3612,0.755,0.7548
TAJ_N,PV,Q1,deca,rninja hourly,8,0.1606,0.0774,0.827,0.3914
TAJ_N,PV,Q2,deca,rninja hourly,8,0.1704,0.1584,1.182,0.8731
TAJ_N,PV,Q3a,deca,rninja hourly,8,0.2140,0.2484,0.831,0.7875
TAJ_N,PV,Q3b,deca,rninja hourly,8,0.2140,0.2462,0.981,0.8040
TAJ_N,PV,Q4,deca,rninja hourly,8,0.1391,0.1219,1.155,0.6407
TAJ_N,WT,Q1,deca,rninja hourly,7,0.3311,0.3436,1.106,0.7935
TAJ_N,WT,Q2,deca,rninja hourly,7,0.3313,0.4114,1.080,0.9265
TAJ_N,WT,Q3a,deca,rninja hourly,7,0.3356,0.3970,1.321,1.0000
TAJ_N,WT,Q3b,deca,rninja hourly,7,0.3356,0.3981,1.176,1.0000
TAJ_N,WT,Q4,deca,rninja hourly,7,0.3331,0.3136,0.833,0.7953
TAJ_S,PV,Q1,deca,rninja hourly,8,0.1606,0.0774,1.108,0.4085
TAJ_S,PV,Q2,deca,rninja hourly,8,0.1704,0.1584,1.133,0.7807
TAJ_S,PV,Q3a,deca,rninja hourly,8,0.2140,0.2484,0.865,0.7858
TAJ_S,PV,Q3b,deca,rninja hourly,8,0.2140,0.2462,0.990,0.8059
TAJ_S,PV,Q4,deca,rninja hourly,8,0.1391,0.1219,1.258,0.5924
TAJ_S,WT,Q1,deca,casa_2020 blocks,7,0.3311,0.3436,,0.3520
TAJ_S,WT,Q2,deca,casa_2020 blocks,7,0.3313,0.4114,,0.4241
TAJ_S,WT,Q3a,deca,casa_2020 blocks,7,0.3356,0.3970,,0.4189
TAJ_S,WT,Q3b,deca,casa_2020 blocks,7,0.3356,0.3981,,0.4199
TAJ_S,WT,Q4,deca,casa_2020 blocks,7,0.3331,0.3136,,0.3289
TUR,PV,Q1,deca,rninja hourly,10,0.2067,0.0789,0.982,0.4128
TUR,PV,Q2,deca,rninja hourly,10,0.2160,0.1567,1.104,0.6316
TUR,PV,Q3a,deca,rninja hourly,10,0.2290,0.2381,0.939,0.7424
TUR,PV,Q3b,deca,rninja hourly,10,0.2290,0.2283,1.059,0.7965
TUR,PV,Q4,deca,rninja hourly,10,0.2074,0.1179,0.778,0.4790
TUR,WT,Q1,deca,rninja hourly,10,0.3311,0.2732,0.896,0.5117
TUR,WT,Q2,deca,casa_2020 blocks,10,0.3313,0.2977,,0.3068
TUR,WT,Q3a,deca,rninja hourly,10,0.3356,0.3895,1.292,0.9106
TUR,WT,Q3b,deca,rninja hourly,10,0.3356,0.4848,1.130,1.0000
TUR,WT,Q4,deca,rninja hourly,10,0.3331,0.2669,0.868,0.3623
UZB,PV,Q1,deca,rninja hourly,23,0.1606,0.1033,1.005,0.5344
UZB,PV,Q2,deca,rninja hourly,23,0.1704,0.1869,0.843,0.6695
UZB,PV,Q3a,deca,rninja hourly,23,0.2140,0.2524,0.953,0.8005
UZB,PV,Q3b,deca,rninja hourly,23,0.2140,0.2531,1.067,0.8257
UZB,PV,Q4,deca,rninja hourly,23,0.1391,0.1511,0.759,0.5659
UZB,WT,Q1,deca,rninja hourly,23,0.3311,0.3097,1.186,0.8347
UZB,WT,Q2,deca,rninja hourly,23,0.3313,0.3611,0.709,0.4904
UZB,WT,Q3a,deca,casa_2020 blocks,23,0.3356,0.3923,,0.4139
UZB,WT,Q3b,deca,rninja hourly,23,0.3356,0.4414,1.437,1.0000
UZB,WT,Q4,deca,rninja hourly,23,0.3331,0.2929,1.119,0.5526
NEPS_HERAT,PV,Q1,casa_2020,rninja hourly,0,0.1034,0.1034,1.399,0.6257
NEPS_HERAT,PV,Q2,casa_2020,rninja hourly,0,0.1704,0.1704,0.993,0.6733
NEPS_HERAT,PV,Q3a,casa_2020,rninja hourly,0,0.2140,0.2140,1.021,0.7102
NEPS_HERAT,PV,Q3b,casa_2020,rninja hourly,0,0.2140,0.2140,1.021,0.6675
NEPS_HERAT,PV,Q4,casa_2020,rninja hourly,0,0.1391,0.1391,1.272,0.7383
NEPS_HERAT,WT,Q1,atlas_p90,rninja hourly,0,0.3295,0.5546,1.049,0.9027
NEPS_HERAT,WT,Q2,atlas_p90,rninja hourly,0,0.3313,0.5576,1.131,1.0000
NEPS_HERAT,WT,Q3a,atlas_p90,casa_2020 blocks,0,0.3356,0.5648,,0.5959
NEPS_HERAT,WT,Q3b,atlas_p90,rninja hourly,0,0.3356,0.5648,1.010,0.7599
NEPS_HERAT,WT,Q4,atlas_p90,rninja hourly,0,0.3331,0.5607,0.824,0.8237
