z,iso,iec,area_km2,mean,max,p50,km2_above_p50,p75,km2_above_p75,p90,km2_above_p90,p95,km2_above_p95,p99,km2_above_p99,cf_stated,cf_rninja,level_from
NEPS_TKM,AFG,IEC2,52980.8,0.1729,0.5605,0.1517,26490.4,0.2308,13245.2,0.3044,5298.1,0.3425,2649.0,0.3976,529.8,0.3329,0.2915,casa_2020
NEPS_UZB,AFG,IEC2,45097.9,0.1522,0.5599,0.1193,22549.0,0.2119,11274.5,0.3197,4509.8,0.355,2254.9,0.399,451.0,0.3329,0.1607,casa_2020
PAK_KAR,PAK,IEC2,4028.8,0.2336,0.4706,0.2207,2014.4,0.2682,1007.2,0.3192,402.9,0.3412,201.4,0.3765,40.3,0.3333,0.4417,casa_2020
PAK_N,PAK,IEC2,309523.4,0.0954,0.6708,0.081,154761.7,0.126,77380.8,0.1812,30952.3,0.205,15476.2,0.2986,3095.2,0.3333,0.1562,casa_2020
PAK_S,PAK,IEC2,485222.7,0.1985,0.6466,0.1935,242611.3,0.2554,121305.7,0.3209,48522.3,0.3569,24261.1,0.4194,4852.2,0.3333,0.2439,casa_2020
TAJ_N,TJK,IEC2,25132.0,0.1837,0.5987,0.1622,12566.0,0.2664,6283.0,0.359,2513.2,0.4108,1256.6,0.4703,251.3,0.3726,0.1063,deca
TAJ_S,TJK,IEC2,116140.5,0.1483,0.6201,0.1218,58070.3,0.2195,29035.1,0.3168,11614.1,0.3769,5807.0,0.4744,1161.4,0.3726,0.0158,deca
TUR,TKM,IEC2,470834.2,0.2965,0.5485,0.3103,235417.1,0.3562,117708.5,0.382,47083.4,0.3978,23541.7,0.4276,4708.3,0.349,0.4464,deca
UZB,UZB,IEC2,446892.3,0.2804,0.5685,0.3108,223446.2,0.3693,111723.1,0.3995,44689.2,0.4176,22344.6,0.4385,4468.9,0.3625,0.4726,deca
KAZ_N,KAZ,IEC3,1574000.8,0.3827,0.6245,0.4022,787000.4,0.4278,393500.2,0.4467,157400.1,0.4587,78700.0,0.4827,15740.0,0.4156,0.5046,deca
KAZ_S,KAZ,IEC3,710799.5,0.3166,0.6362,0.3378,355399.8,0.4165,177699.9,0.4492,71080.0,0.4683,35540.0,0.4948,7108.0,0.4156,0.5133,deca
KGZ_N,KGZ,IEC3,118860.1,0.1708,0.6096,0.1422,59430.1,0.2461,29715.0,0.3448,11886.0,0.3996,5943.0,0.4779,1188.6,0.3351,0.1798,deca
KGZ_S,KGZ,IEC3,79178.8,0.1349,0.6213,0.097,39589.4,0.1997,19794.7,0.3093,7917.9,0.3752,3958.9,0.4675,791.8,0.3351,0.0764,deca
NEPS_AFG,AFG,IEC3,298836.2,0.1737,0.6349,0.1651,149418.1,0.2332,74709.0,0.2961,29883.6,0.3269,14941.8,0.3818,2988.4,0.3329,0.179,casa_2020
NEPS_HERAT,AFG,IEC3,54693.2,0.3798,0.697,0.3807,27346.6,0.4931,13673.3,0.5604,5469.3,0.5956,2734.7,0.6412,546.9,0.3329,0.6282,casa_2020
NEPS_TAJ,AFG,IEC3,20359.8,0.0886,0.5218,0.0698,10179.9,0.1156,5090.0,0.1759,2036.0,0.2148,1018.0,0.2919,203.6,0.3329,0.0735,casa_2020
NEPS_TKM,AFG,IEC3,52980.8,0.198,0.5631,0.177,26490.4,0.2621,13245.2,0.3416,5298.1,0.38,2649.0,0.4331,529.8,0.3329,0.2915,casa_2020
NEPS_UZB,AFG,IEC3,45097.9,0.1746,0.5462,0.1399,22549.0,0.2412,11274.5,0.3633,4509.8,0.3977,2254.9,0.4386,451.0,0.3329,0.1607,casa_2020
PAK_KAR,PAK,IEC3,4028.8,0.2773,0.5184,0.2641,2014.4,0.316,1007.2,0.3714,402.9,0.3946,201.4,0.4291,40.3,0.3333,0.4417,casa_2020
PAK_N,PAK,IEC3,309523.4,0.1135,0.6236,0.0984,154761.7,0.1503,77380.8,0.2139,30952.3,0.2411,15476.2,0.3207,3095.2,0.3333,0.1562,casa_2020
PAK_S,PAK,IEC3,485222.7,0.2287,0.6122,0.2256,242611.3,0.2939,121305.7,0.3615,48522.3,0.3986,24261.1,0.4546,4852.2,0.3333,0.2439,casa_2020
TAJ_N,TJK,IEC3,25132.0,0.202,0.6163,0.183,12566.0,0.2895,6283.0,0.3818,2513.2,0.4333,1256.6,0.5031,251.3,0.3726,0.1063,deca
TAJ_S,TJK,IEC3,116140.5,0.1648,0.5853,0.1416,58070.3,0.2468,29035.1,0.3415,11614.1,0.3928,5807.0,0.4643,1161.4,0.3726,0.0158,deca
TUR,TKM,IEC3,470834.2,0.3396,0.5689,0.3559,235417.1,0.4068,117708.5,0.4306,47083.4,0.4453,23541.7,0.4697,4708.3,0.349,0.4464,deca
UZB,UZB,IEC3,446892.3,0.3216,0.5721,0.3593,223446.2,0.4215,111723.1,0.452,44689.2,0.4703,22344.6,0.4909,4468.9,0.3625,0.4726,deca
