g,z,book,deca_plant,method,applied,annual_2020,annual_deca,annual_new,note
KOHALA-JHELUM_HY_NEW_2031,PAK_N,,,keep_2020,keep_2020,0.5225,,0.5225,
KAIGAH_HY_NEW_2031,PAK_N,,,keep_2020,keep_2020,0.4530,,0.4530,
MAHL_HY_NEW_2031,PAK_N,,,keep_2020,keep_2020,0.5543,,0.5543,
KARRANG_HY_NEW_2031,PAK_N,,,keep_2020,keep_2020,0.5543,,0.5543,
RAJDHANI_HY_NEW_2031,PAK_N,,,keep_2020,keep_2020,0.6002,,0.6002,
KALAM-ASRTI_HY_NEW_2031,PAK_N,,,keep_2020,keep_2020,0.5543,,0.5543,
SHOGOSIN_HY_NEW_2031,PAK_N,,,keep_2020,keep_2020,0.6334,,0.6334,
TAUNSA_HY_NEW_2031,PAK_N,,,keep_2020,keep_2020,0.5543,,0.5543,
SHARMAI_HY_NEW_2031,PAK_N,,,keep_2020,keep_2020,0.5190,,0.5190,
ASRIT-KEDAM_HY_NEW_2031,PAK_N,,,keep_2020,keep_2020,0.5543,,0.5543,
MADYAN_HY_NEW_2031,PAK_N,,,keep_2020,keep_2020,0.4803,,0.4803,
SHUROB_HY_NEW_2031,TAJ_N,,,keep_2020,keep_2020,0.4253,,0.4253,
BAGHDARA_HY_NEW_2031,NEPS_UZB,,,keep_2020,keep_2020,0.5262,,0.5262,
DASHTIJUM_HY_NEW_2031,TAJ_S,,,keep_2020,keep_2020,0.4273,,0.4273,
KOKEMEREN-1_HY_NEW_2031,KGZ_S,KG,Kokomerenskaya,keep_2020,keep_2020,0.2902,,0.2902,
KOKEMEREN-2_HY_NEW_2031,KGZ_S,KG,Kokomeren,keep_2020,keep_2020,0.2902,,0.2902,
KAMBARATA-1_HY_NEW_2031,KGZ_N,KG,Kambarata 1,keep_2020,keep_2020,0.3461,,0.3461,
BUKHTARMASKAYA_HY_2031,KAZ_N,KZ,HPP Buhtarminskaya,deca_profile,deca_profile,0.3968,,0.5723,
FARKHAD_HY_2031,UZB,UZ,Farhad HPP,keep_2020,keep_2020,0.5758,,0.5758,
GOLOVNAYA_HY_2031,TAJ_S,TJ,Golovnaya HPP,deca_level,deca_level,0.5304,0.3571,0.3571,
KAIRAKKUM_HY_2031,TAJ_N,TJ,Kayrakkumskaya HPP,deca_level,deca_level,0.7886,0.6566,0.6566,
