g,z,tech,fuel,deca_tech,heatrate_before,heatrate_after,capex_before,capex_after,fompermw_before,fompermw_after,vom_before,vom_after,life_before,life_after,deca_max_mw,basis
NEPS_TAJ_GT_Gas_cand,NEPS_TAJ,GT,Gas,Gas turbine,9.74898,8.38389,0.776,0.48,11880,24500,7.623,3.4,30,25,100,"DeCA Gas turbine, efficiency 0.406971"
NEPS_TAJ_ICE_HFO_cand,NEPS_TAJ,ICE,HFO,Combustion Engine,7.58254,7.25958,0.97,0.65,31680,12500,3.96,5,20,25,100,"DeCA Combustion Engine, efficiency 0.47"
NEPS_TKM_ST_Coal_cand,NEPS_TKM,ST,Coal,Supercritical,8.12415,7.39539,2.328,2.25,31680,54000,10.89,2.5,40,35,300,"DeCA Supercritical, efficiency 0.461368"
NEPS_TKM_CCGT_Gas_cand,NEPS_TKM,CCGT,Gas,CCGT,5.98621,5.5266,1.164,0.85,12870,23000,3.465,1.7,30,25,300,"DeCA CCGT, efficiency 0.617378"
NEPS_TKM_GT_Gas_cand,NEPS_TKM,GT,Gas,Gas turbine,9.74898,8.38389,0.776,0.48,11880,24500,7.623,3.4,30,25,100,"DeCA Gas turbine, efficiency 0.406971"
NEPS_TKM_ICE_HFO_cand,NEPS_TKM,ICE,HFO,Combustion Engine,7.58254,7.25958,0.97,0.65,31680,12500,3.96,5,20,25,100,"DeCA Combustion Engine, efficiency 0.47"
NEPS_UZB_ST_Coal_cand,NEPS_UZB,ST,Coal,Supercritical,8.12415,7.39539,2.328,2.25,31680,54000,10.89,2.5,40,35,300,"DeCA Supercritical, efficiency 0.461368"
NEPS_UZB_CCGT_Gas_cand,NEPS_UZB,CCGT,Gas,CCGT,5.98621,5.5266,1.164,0.85,12870,23000,3.465,1.7,30,25,300,"DeCA CCGT, efficiency 0.617378"
NEPS_UZB_GT_Gas_cand,NEPS_UZB,GT,Gas,Gas turbine,9.74898,8.38389,0.776,0.48,11880,24500,7.623,3.4,30,25,100,"DeCA Gas turbine, efficiency 0.406971"
NEPS_UZB_ICE_HFO_cand,NEPS_UZB,ICE,HFO,Combustion Engine,7.58254,7.25958,0.97,0.65,31680,12500,3.96,5,20,25,100,"DeCA Combustion Engine, efficiency 0.47"
PAK_KAR_ST_Coal_cand,PAK_KAR,ST,Coal,Supercritical,8.12415,7.39539,2.328,2.25,31680,54000,10.89,2.5,40,35,300,"DeCA Supercritical, efficiency 0.461368"
PAK_KAR_CCGT_Gas_cand,PAK_KAR,CCGT,Gas,CCGT,5.98621,5.5266,1.164,0.85,12870,23000,3.465,1.7,30,25,300,"DeCA CCGT, efficiency 0.617378"
PAK_KAR_GT_Gas_cand,PAK_KAR,GT,Gas,Gas turbine,9.74898,8.38389,0.776,0.48,11880,24500,7.623,3.4,30,25,100,"DeCA Gas turbine, efficiency 0.406971"
PAK_KAR_CCGT_LNG_cand,PAK_KAR,CCGT,LNG,CCGT,5.98621,5.5266,1.164,0.85,12870,23000,3.465,1.7,30,25,300,"DeCA CCGT, efficiency 0.617378"
PAK_KAR_GT_LNG_cand,PAK_KAR,GT,LNG,Gas turbine,9.74898,8.38389,0.776,0.48,11880,24500,7.623,3.4,30,25,100,"DeCA Gas turbine, efficiency 0.406971"
PAK_KAR_ST_HFO_cand,PAK_KAR,ST,HFO,,9.32,9.32,0.97,0.97,25000,25000,1.71846,1.71846,40,40,,"DeCA carries no oil fired steam turbine, a technology nobody is building any more, so the three Pakistani rows keep their 2020 costs"
PAK_N_ST_Coal_cand,PAK_N,ST,Coal,Supercritical,8.12415,7.39539,2.328,2.25,31680,54000,10.89,2.5,40,35,300,"DeCA Supercritical, efficiency 0.461368"
PAK_N_CCGT_Gas_cand,PAK_N,CCGT,Gas,CCGT,5.98621,5.5266,1.164,0.85,12870,23000,3.465,1.7,30,25,300,"DeCA CCGT, efficiency 0.617378"
PAK_N_GT_Gas_cand,PAK_N,GT,Gas,Gas turbine,9.74898,8.38389,0.776,0.48,11880,24500,7.623,3.4,30,25,100,"DeCA Gas turbine, efficiency 0.406971"
PAK_N_CCGT_LNG_cand,PAK_N,CCGT,LNG,CCGT,5.98621,5.5266,1.164,0.85,12870,23000,3.465,1.7,30,25,300,"DeCA CCGT, efficiency 0.617378"
PAK_N_GT_LNG_cand,PAK_N,GT,LNG,Gas turbine,9.74898,8.38389,0.776,0.48,11880,24500,7.623,3.4,30,25,100,"DeCA Gas turbine, efficiency 0.406971"
PAK_N_ST_HFO_cand,PAK_N,ST,HFO,,9.32,9.32,0.97,0.97,25000,25000,1.71846,1.71846,40,40,,"DeCA carries no oil fired steam turbine, a technology nobody is building any more, so the three Pakistani rows keep their 2020 costs"
PAK_S_ST_Coal_cand,PAK_S,ST,Coal,Supercritical,8.12415,7.39539,2.328,2.25,31680,54000,10.89,2.5,40,35,300,"DeCA Supercritical, efficiency 0.461368"
PAK_S_CCGT_LNG_cand,PAK_S,CCGT,LNG,CCGT,5.98621,5.5266,1.164,0.85,12870,23000,3.465,1.7,30,25,300,"DeCA CCGT, efficiency 0.617378"
PAK_S_GT_LNG_cand,PAK_S,GT,LNG,Gas turbine,9.74898,8.38389,0.776,0.48,11880,24500,7.623,3.4,30,25,100,"DeCA Gas turbine, efficiency 0.406971"
PAK_S_CCGT_Gas_cand,PAK_S,CCGT,Gas,CCGT,5.98621,5.5266,1.164,0.85,12870,23000,3.465,1.7,30,25,300,"DeCA CCGT, efficiency 0.617378"
PAK_S_GT_Gas_cand,PAK_S,GT,Gas,Gas turbine,9.74898,8.38389,0.776,0.48,11880,24500,7.623,3.4,30,25,100,"DeCA Gas turbine, efficiency 0.406971"
PAK_S_ST_HFO_cand,PAK_S,ST,HFO,,9.32,9.32,0.97,0.97,25000,25000,1.71846,1.71846,40,40,,"DeCA carries no oil fired steam turbine, a technology nobody is building any more, so the three Pakistani rows keep their 2020 costs"
TAJ_N_ST_Coal_cand,TAJ_N,ST,Coal,Supercritical,8.12415,7.39539,2.328,2.25,31680,54000,10.89,2.5,40,35,300,"DeCA Supercritical, efficiency 0.461368"
TAJ_N_CCGT_Gas_cand,TAJ_N,CCGT,Gas,CCGT,5.98621,5.5266,1.164,0.85,12870,23000,3.465,1.7,30,25,300,"DeCA CCGT, efficiency 0.617378"
TAJ_N_CHP_Coal_cand,TAJ_N,CHP,Coal,,9.74898,9.74898,2.3,2.3,31680,31680,12.87,12.87,30,30,,"DeCA carries CHP-Gas and CHP-Biogas and no coal fired CHP at all, so these keep their 2020 costs. Four rows: the candidates of KAZ_N, TAJ_N and TAJ_S, and the Osh project."
TAJ_N_GT_Gas_cand,TAJ_N,GT,Gas,Gas turbine,9.74898,8.38389,0.776,0.48,11880,24500,7.623,3.4,30,25,100,"DeCA Gas turbine, efficiency 0.406971"
TAJ_N_ICE_HFO_cand,TAJ_N,ICE,HFO,Combustion Engine,7.58254,7.25958,0.97,0.65,31680,12500,3.96,5,20,25,100,"DeCA Combustion Engine, efficiency 0.47"
TAJ_S_ST_Coal_cand,TAJ_S,ST,Coal,Supercritical,8.12415,7.39539,2.328,2.25,31680,54000,10.89,2.5,40,35,300,"DeCA Supercritical, efficiency 0.461368"
TAJ_S_CCGT_Gas_cand,TAJ_S,CCGT,Gas,CCGT,5.98621,5.5266,1.164,0.85,12870,23000,3.465,1.7,30,25,300,"DeCA CCGT, efficiency 0.617378"
TAJ_S_CHP_Coal_cand,TAJ_S,CHP,Coal,,9.74898,9.74898,2.3,2.3,31680,31680,12.87,12.87,30,30,,"DeCA carries CHP-Gas and CHP-Biogas and no coal fired CHP at all, so these keep their 2020 costs. Four rows: the candidates of KAZ_N, TAJ_N and TAJ_S, and the Osh project."
TAJ_S_GT_Gas_cand,TAJ_S,GT,Gas,Gas turbine,9.74898,8.38389,0.776,0.48,11880,24500,7.623,3.4,30,25,100,"DeCA Gas turbine, efficiency 0.406971"
TAJ_S_ICE_HFO_cand,TAJ_S,ICE,HFO,Combustion Engine,7.58254,7.25958,0.97,0.65,31680,12500,3.96,5,20,25,100,"DeCA Combustion Engine, efficiency 0.47"
TUR_ST_Coal_cand,TUR,ST,Coal,Supercritical,8.12415,7.39539,2.328,2.25,31680,54000,10.89,2.5,40,35,300,"DeCA Supercritical, efficiency 0.461368"
TUR_CCGT_Gas_cand,TUR,CCGT,Gas,CCGT,5.98621,5.5266,1.164,0.85,12870,23000,3.465,1.7,30,25,300,"DeCA CCGT, efficiency 0.617378"
TUR_CHP_Gas_cand,TUR,CHP,Gas,CHP-Gas,9.74898,8.8712,1.358,1.1,12870,30500,8.712,1.8,30,25,100,"DeCA CHP-Gas, efficiency 0.384615"
TUR_GT_Gas_cand,TUR,GT,Gas,Gas turbine,9.74898,8.38389,0.776,0.48,11880,24500,7.623,3.4,30,25,100,"DeCA Gas turbine, efficiency 0.406971"
TUR_ICE_HFO_cand,TUR,ICE,HFO,Combustion Engine,7.58254,7.25958,0.97,0.65,31680,12500,3.96,5,20,25,100,"DeCA Combustion Engine, efficiency 0.47"
UZB_ST_Coal_cand,UZB,ST,Coal,Supercritical,8.12415,7.39539,2.328,2.25,31680,54000,10.89,2.5,40,35,300,"DeCA Supercritical, efficiency 0.461368"
UZB_CCGT_Gas_cand,UZB,CCGT,Gas,CCGT,5.98621,5.5266,1.164,0.85,12870,23000,3.465,1.7,30,25,300,"DeCA CCGT, efficiency 0.617378"
UZB_CHP_Gas_cand,UZB,CHP,Gas,CHP-Gas,9.74898,8.8712,1.358,1.1,12870,30500,8.712,1.8,30,25,100,"DeCA CHP-Gas, efficiency 0.384615"
UZB_GT_Gas_cand,UZB,GT,Gas,Gas turbine,9.74898,8.38389,0.776,0.48,11880,24500,7.623,3.4,30,25,100,"DeCA Gas turbine, efficiency 0.406971"
NEPS_HERAT_ST_Coal_cand,NEPS_HERAT,ST,Coal,Supercritical,8.12415,7.39539,2.328,2.25,31680,54000,10.89,2.5,40,35,300,"DeCA Supercritical, efficiency 0.461368"
NEPS_HERAT_CCGT_Gas_cand,NEPS_HERAT,CCGT,Gas,CCGT,5.98621,5.5266,1.164,0.85,12870,23000,3.465,1.7,30,25,300,"DeCA CCGT, efficiency 0.617378"
NEPS_HERAT_Gas_cand,NEPS_HERAT,GT,Gas,Gas turbine,9.74898,8.38389,0.776,0.48,11880,24500,7.623,3.4,30,25,100,"DeCA Gas turbine, efficiency 0.406971"
NEPS_HERAT_ICE_HFO_cand,NEPS_HERAT,ICE,HFO,Combustion Engine,7.58254,7.25958,0.97,0.65,31680,12500,3.96,5,20,25,100,"DeCA Combustion Engine, efficiency 0.47"
