,,,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Guinea,GuineaBissau,1,,,,,0,0,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2
Guinea,SierraLeone,1,,,,,,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
Guinea,Liberia,1,,,,,,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
Guinea,Senegal,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,Mali,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,IvoryCoast,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GuineaBissau,Guinea,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GuineaBissau,Senegal,1,,,,,0,0,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5
GuineaBissau,Gambia,1,,,,,0,0,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2
IvoryCoast,Mali,1,,,,,23,30,30,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
IvoryCoast,Liberia,1,,,,,78,78,78,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
IvoryCoast,Burkina,1,,,,,30,50,50,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
IvoryCoast,Ghana,1,,,,,,,,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117
IvoryCoast,Guinea,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,SierraLeone,1,,,,,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78
Liberia,IvoryCoast,1,,,,,78,78,78,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Liberia,Guinea,1,,,,,,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
Mali,Niger,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,IvoryCoast,1,,,,,23,23,23,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
Mali,Guinea,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,Senegal,1,,,,,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6
Mali,Burkina,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania_grid,Senegal,1,,,,,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
Niger,Mali,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,Benin,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,Burkina,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,Nigeria,1,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Nigeria,Benin,1,,,,,30,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171
Nigeria,Niger,1,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Senegal,Gambia,1,,,,,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Senegal,GuineaBissau,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,Mali,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,Guinea,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,Mauritania_grid,1,,,,,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
SierraLeone,Guinea,1,,,,,,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
SierraLeone,Liberia,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,Burkina,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,Ghana,1,,,,,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7
Togo,Benin,1,,,,,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171
Benin,Niger,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,Nigeria,2,,,,,171,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
Benin,Togo,2,,,,,171,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
Benin,Burkina,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina,Togo,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina,Mali,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina,IvoryCoast,2,,,,,30,30,30,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
Burkina,Ghana,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina,Niger,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina,Benin,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gambia,Senegal,2,,,,,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Gambia,GuineaBissau,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,Burkina,2,,,,,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9
Ghana,Togo,2,,,,,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
Ghana,IvoryCoast,2,,,,,0,0,0,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117
Guinea,GuineaBissau,2,,,,,0,0,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2
Guinea,SierraLeone,2,,,,,,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
Guinea,Liberia,2,,,,,,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
Guinea,Senegal,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,Mali,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,IvoryCoast,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GuineaBissau,Guinea,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GuineaBissau,Senegal,2,,,,,0,0,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5
GuineaBissau,Gambia,2,,,,,0,0,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2
IvoryCoast,Mali,2,,,,,23,30,30,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
IvoryCoast,Liberia,2,,,,,78,78,78,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
IvoryCoast,Burkina,2,,,,,30,50,50,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
IvoryCoast,Ghana,2,,,,,,,,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117
IvoryCoast,Guinea,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,SierraLeone,2,,,,,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78
Liberia,IvoryCoast,2,,,,,78,78,78,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Liberia,Guinea,2,,,,,,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
Mali,Niger,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,IvoryCoast,2,,,,,23,23,23,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
Mali,Guinea,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,Senegal,2,,,,,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6
Mali,Burkina,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania_grid,Senegal,2,,,,,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
Niger,Mali,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,Benin,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,Burkina,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,Nigeria,2,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Nigeria,Benin,2,,,,,30,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171
Nigeria,Niger,2,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Senegal,Gambia,2,,,,,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Senegal,GuineaBissau,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,Mali,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,Guinea,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,Mauritania_grid,2,,,,,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
SierraLeone,Guinea,2,,,,,,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
SierraLeone,Liberia,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,Burkina,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,Ghana,2,,,,,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7
Togo,Benin,2,,,,,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171
Benin,Niger,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,Nigeria,3,,,,,171,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
Benin,Togo,3,,,,,171,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
Benin,Burkina,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina,Togo,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina,Mali,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina,IvoryCoast,3,,,,,30,30,30,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
Burkina,Ghana,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina,Niger,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina,Benin,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gambia,Senegal,3,,,,,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Gambia,GuineaBissau,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,Burkina,3,,,,,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9
Ghana,Togo,3,,,,,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
Ghana,IvoryCoast,3,,,,,0,0,0,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117
Guinea,GuineaBissau,3,,,,,0,0,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2
Guinea,SierraLeone,3,,,,,,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
Guinea,Liberia,3,,,,,,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
Guinea,Senegal,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,Mali,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,IvoryCoast,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GuineaBissau,Guinea,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GuineaBissau,Senegal,3,,,,,0,0,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5
GuineaBissau,Gambia,3,,,,,0,0,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2
IvoryCoast,Mali,3,,,,,23,30,30,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
IvoryCoast,Liberia,3,,,,,78,78,78,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
IvoryCoast,Burkina,3,,,,,30,50,50,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
IvoryCoast,Ghana,3,,,,,,,,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117
IvoryCoast,Guinea,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,SierraLeone,3,,,,,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78
Liberia,IvoryCoast,3,,,,,78,78,78,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Liberia,Guinea,3,,,,,,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
Mali,Niger,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,IvoryCoast,3,,,,,23,23,23,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
Mali,Guinea,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,Senegal,3,,,,,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6
Mali,Burkina,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania_grid,Senegal,3,,,,,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
Niger,Mali,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,Benin,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,Burkina,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,Nigeria,3,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Nigeria,Benin,3,,,,,30,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171
Nigeria,Niger,3,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Senegal,Gambia,3,,,,,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Senegal,GuineaBissau,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,Mali,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,Guinea,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senegal,Mauritania_grid,3,,,,,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
SierraLeone,Guinea,3,,,,,,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
SierraLeone,Liberia,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,Burkina,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,Ghana,3,,,,,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7,96.7
Togo,Benin,3,,,,,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171
Benin,Niger,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,Nigeria,4,,,,,171,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
Benin,Togo,4,,,,,171,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
Benin,Burkina,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina,Togo,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina,Mali,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina,IvoryCoast,4,,,,,30,30,30,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
Burkina,Ghana,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina,Niger,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina,Benin,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gambia,Senegal,4,,,,,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Gambia,GuineaBissau,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,Burkina,4,,,,,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9
Ghana,Togo,4,,,,,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
Ghana,IvoryCoast,4,,,,,0,0,0,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117
Guinea,GuineaBissau,4,,,,,0,0,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2,73.2
Guinea,SierraLeone,4,,,,,,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
Guinea,Liberia,4,,,,,,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
Guinea,Senegal,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,Mali,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,IvoryCoast,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GuineaBissau,Guinea,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GuineaBissau,Senegal,4,,,,,0,0,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5
GuineaBissau,Gambia,4,,,,,0,0,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2,11.2
IvoryCoast,Mali,4,,,,,23,30,30,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
IvoryCoast,Liberia,4,,,,,78,78,78,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
IvoryCoast,Burkina,4,,,,,30,50,50,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
IvoryCoast,Ghana,4,,,,,,,,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117
IvoryCoast,Guinea,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,SierraLeone,4,,,,,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78
Liberia,IvoryCoast,4,,,,,78,78,78,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Liberia,Guinea,4,,,,,,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
Mali,Niger,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,IvoryCoast,4,,,,,23,23,23,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
Mali,Guinea,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,Senegal,4,,,,,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6,56.6
Mali,Burkina,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania_grid,Senegal,4,,,,,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
Niger,Mali,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,Benin,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,Burkina,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
