Plants,Zone,Type,fuel1,StYr,RetrYr,Capacity,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life,BuildLimitperYear,MaxTotalBuild,DescreteCap,fuel2,Status,HeatRate2,MinUtilization,RETech,UnitSize,Error,HydroCapacityFactor,HydroCapacityFactorQ1,HydroCapacityFactorQ2,HydroCapacityFactorQ3,HydroCapacityFactorQ4
Bloemfontein_TH_ZAF,South_Africa,ST,Coal,1965,2015,103,,10.10657267,,,,,,,,0,,,,0,,1,0,0.05,0,103,49140.49657,,,,,
Boroma_HY_MOZ,Mozambique,ROR,Water,2037,2060,0,0,0,1,1,0,0.406440138,46500,0.55,0,4.248837209,50,0,0,0,,3,0,0,0,0,50676.20528,0.812882758,,,,
BotswanaCoal_TH_BWA,Botswana,ST,Coal,2026,2076,0,,8.6,,,,,,,,2.466504472,,0,0,0,,3,0,0.05,0,0,49167.4565,,,,,
BotswanaSolarCSP_REN_BWA,Botswana,CSP,CSP,2027,2067,200,0,0,1,1,0,0.8,22000,3,0,1.915,30,200,200,0,,3,0,0,0,0,26763.715,,,,,
Bulawayo_TH_ZWE,Zimbabwe,ST,Coal,1999,2055,90,,11.373804,,,,,,,,0,,,,0,,1,0,0.1,0,90,49206.8138,,,,,
Busanga_HY_ZAR,DRC_South,ROR,Water,2022,2060,240,0,0,1,1,0,0.193435172,46500,0.55,0,0,50,0,0,0,,1,0,0,0,0,50903.74344,0.38687345,,,,
CaculoCabaca_HY_AGO,Angola,ROR,Water,2027,2067,2172,0,0,1,1,0,0.24,46500,0.55,0,4.5,50,2172,2172,0,,2,0,0,0,0,57193.29,0.48,,,,
Cafula(Keve)_HY_AGO,Angola,ROR,Water,2055,2060,400,0,0,1,1,0,0.272,46500,0.55,0,5.240232558,50,400,400,0,,3,0,0,0,0,51900.06223,0.544,,,,
CahoraBassa_HY_MOZ,Mozambique,ROR,Water,2000,2060,700,0,0,1,1,0,0.4,46500,0.55,0,0,50,,,0,,1,0,0,0,0,51332.95,0.8,,,,
Calengue(Catumbela)_HY_AGO,Angola,ROR,Water,2055,2060,180,0,0,1,1,0,0.3415,46500,0.55,0,4.248837209,50,180,180,0,,3,0,0,0,0,51239.14034,0.683,,,,
Camden_TH_ZAF,South_Africa,ST,Coal,1967,2025,1481,,10.21557163,,,,,,,,0,,,,0,,1,0,0.05,0,185.125,50530.60557,,,,,
CandidateCoal_TH_ZWE,Zimbabwe,ST,Coal,2025,2075,0,,8.6,,,,,,,,2.466504472,,0,0,0,,3,0,0.05,0,0,49164.4565,,,,,
CandidateHydro_HY_ZMB,Zambia,ROR,Water,2029,2060,315,0,0,1,1,0,0.278070484,46500,0.55,0,4.248837209,50,315,315,0,,3,0,0,0,0,51617.07691,0.55614968,0.567594269,0.567594269,0.54957494,0.54957494
Cedar_Muloza,Malawi,ROR,Water,2022,2060,3.3,0,0,1,1,0,0.325077306,40737.536,0.55,0,0,50,0,0,0,,1,0,0,0,0,44903.71108,0.651546123,0.61976749,0.684349392,0.689222195,0.615215736
CF_Bafia_Farta,Angola,PV,PV,2022,2073,75.5,0,0,1,1,0,0,15000,0,0,0,25,0,0,0,,1,0,0,1,0,19218.5,,,,,
CF_Biopio,Angola,PV,PV,2022,2073,144.9,0,0,1,1,0,0,15000,0,0,0,25,0,0,0,,1,0,0,1,0,19287.9,,,,,
Chasombo_HY_MWI,Malawi,STOHY,Water,2055,2060,40.4,0,0,1,1,0,0.325077306,39715.55114,0.55,0,3.445,50,40.4,40.4,0,,3,0,0,0,0,44030.07122,0.651546123,0.61976749,0.684349392,0.689222195,0.615215736
ChishimbaFalls_HY_ZMB,Zambia,ROR,Water,2004,2060,6,0,0,1,1,0,0.107375,46500,0.55,0,0,50,,,0,,1,0,0,0,0,50646.65738,0.21475,0.213,0.235,0.186,0.225
ChishimbaFallsExt_HY_ZMB,Zambia,ROR,Water,2026,2060,9,0,0,1,1,0,0.107375,46500,0.55,0,4.251,50,,,0,,2,0,0,0,0,50676.90838,0.21475,0.213,0.235,0.186,0.225
Chisumbanje_BIO_ZWE,Zimbabwe,ST,Biomass,2024,2074,4,0.3,10,0.33,0.33,0,0.8,48000,3,0,2.723613596,30,4,4,0,,3,0,0,0,4,52190.48361,,,,,
Chitipa_WIND_MWI,Malawi,WIND,OnshoreWind,2027,2057,0,0,0,1,1,0,0,28000,0,0,1.6,30,0,108,0,,3,0,0,1,0,32251.6,,,,,
Chiweta_GT_MWI,Malawi,ST,Geothermal,2055,2060,12,0,0,1,1,0,0.2,15000,2.538071066,0,9.95,30,12,12,0,,3,0,0,0,0,19236.68807,,,,,
Chizuma_HY_MWI,Malawi,STOHY,Water,2055,2060,40.4,0,0,1,1,0,0.325077306,39715.55114,0.55000235,0,3.445,50,40.4,40.4,0,,3,0,0,0,0,44030.07122,0.651546123,0.61976749,0.684349392,0.689222195,0.615215736
CIF_TH_AGO,Angola,GT,Gas,2000,2019,50,0.2,13.1746563,1,1,0,0.2,17000,4,0,0,30,,,0,7,1,13.8746563,0.25,0,0,21152.69931,,,,,
Committed_PV1-1_BWA,Botswana,PV,PV,2026,2060,235,0,0,1,1,0,0,15000,0,0,0.8,25,58.75,235,0,,3,0,0,1,0,19662.55,,,,,
Committed_PV1-2_BWA,Botswana,PV,PV,2030,2060,300,0,0,1,1,0,0,15000,0,0,0.8,25,75,300,0,,3,0,0,1,0,19812.8,,,,,
Committed_PV1-3_BWA,Botswana,PV,PV,2035,2060,0,0,0,1,1,0,0,15000,0,0,0.8,25,0,0,0,,3,0,0,1,0,19142.8,,,,,
Committed_Storage1-1_BWA,Botswana,STORAGE,Battery,2030,2055,0,0,0,1,1,0,0.9,13860,0,0,0.2,20,0,0,0,,2,0,0,0,0,18003.1,,,,,
Committed_Storage1-2_BWA,Botswana,STORAGE,Battery,2030,2055,0,0,0,1,1,0,0.9,13860,0,0,0.2,20,0,0,0,,2,0,0,0,0,18003.1,,,,,
Committed_Storage1-3_BWA,Botswana,STORAGE,Battery,2035,2055,0,0,0,1,1,0,0.9,13860,0,0,0.2,20,0,0,0,,2,0,0,0,0,18008.1,,,,,
Committed_Wind1-1_BWA,Botswana,WIND,OnshoreWind,2027,2057,0,0,0,1,1,0,0,28000,0,0,1.915,30,0,0,0,,2,0,0,1,0,32136.915,,,,,
Committed_Wind1-2_BWA,Botswana,WIND,OnshoreWind,2025,2055,0,0,0,1,1,0,0,28000,0,0,1.915,30,0,0,0,,2,0,0,1,0,32132.915,,,,,
Committed_Wind1-3_BWA,Botswana,WIND,OnshoreWind,2028,2058,0,0,0,1,1,0,0,28000,0,0,1.915,30,50,0,0,,2,0,0,1,0,32188.915,,,,,
Committed_Wind1-4_BWA,Botswana,WIND,OnshoreWind,2031,2061,0,0,0,1,1,0,0,28000,0,0,1.915,30,0,0,0,,2,0,0,1,0,32144.915,,,,,
Committed_Wind1-5_BWA,Botswana,WIND,OnshoreWind,2035,2065,0,0,0,1,1,0,0,28000,0,0,1.915,30,50,0,0,,2,0,0,1,0,32202.915,,,,,
Committed1_PV_AGO,Angola,PV,PV,2024,2060,171.1,0,0,1,1,0,0,15000,0,0,0.8,25,400,171.1,0,,2,0,0,1,0,19876,,,,,
Committed2_PV_AGO,Angola,PV,PV,2025,2060,43.7,0,0,1,1,0,0,15000,0,0,0.8,25,400,43.7,0,,2,0,0,1,0,19622.2,,,,,
Committed3_PV_AGO,Angola,PV,PV,2026,2060,658,0,0,1,1,0,0,15000,0,0,0.8,25,400,658,0,,2,0,0,1,0,20851.8,,,,,
CommittedCSP1_NAM,Namibia,CSP,CSP,2024,2050,0,0,0,1,1,0,0.8,22000,3,0,1.85,30,0,0,0,,2,0,0,0,0,26143.65,,,,,
CommittedPV2-2_NAM,Namibia,PV,PV,2028,2060,0,0,0,1,1,0,0,15000,0,0,0.8,25,0,0,0,,2,0,0,1,0,19135.8,,,,,
CommittedPV2-3_NAM,Namibia,PV,PV,2031,2060,0,0,0,1,1,0,0,15000,0,0,0.8,25,0,0,0,,2,0,0,1,0,19138.8,,,,,
CommittedPV2-4_NAM,Namibia,PV,PV,2038,2060,0,0,0,1,1,0,0,15000,0,0,0.8,25,0,0,0,,2,0,0,1,0,19145.8,,,,,
CommittedSolar_REN_ZAR,DRC,PV,PV,2025,2060,200,0,0,1,1,0,0,15000,0,0,0.8,25,200,200,0,,2,0,0,1,0,19736.8,,,,,
CommittedStorage2-2_NAM,Namibia,STORAGE,Battery,2027,2055,0,0,0,1,1,0,0.9,13860,0,0,0.2,20,0,0,0,,2,0,0,0,0,18001.1,,,,,
CommittedStorage2-3_NAM,Namibia,STORAGE,Battery,2032,2055,0,0,0,1,1,0,0.9,13860,0,0,0.2,20,0,0,0,,2,0,0,0,0,18006.1,,,,,
CommittedStorage2-4_NAM,Namibia,STORAGE,Battery,2036,2055,0,0,0,1,1,0,0.9,13860,0,0,0.2,20,0,0,0,,2,0,0,0,0,18010.1,,,,,
CommittedWind1-4_NAM,Namibia,WIND,OnshoreWind,2034,2064,0,0,0,1,1,0,0,28000,0,0,1.75,30,0,0,0,,2,0,0,1,0,32151.75,,,,,
CommittedWind1-5_NAM,Namibia,WIND,OnshoreWind,2036,2066,0,0,0,1,1,0,0,28000,0,0,1.75,30,0,0,0,,2,0,0,1,0,32155.75,,,,,
CT_Biocom,Angola,ST,Biomass,2009,2051,20,0.3,10.8998955,1,1,0,0.8,48000,3,0,0,30,,,0,,1,0,0,0,20,52161.9999,,,,,
CT_Malembo,Angola,GT,Gas,2012,2055,105,0.2,11.49838981,1,1,0,0.2,17000,4,0,0,30,,,0,7,1,12.19838981,0.25,0,0,21252.34678,,,,,
CT_OffGrid_Diesel,Angola,ICE,Diesel,2013,2063,371.55,0.06,10.42,1,1,0,0.4,8000,6.4,0,0,30,0,0,0,,1,0,0,0,0,12527.83,,,,,
CT_OnGrid_Diesel,Angola,ICE,Diesel,2000,2050,343.46,0.06,13.62,1,1,0,0.4,8000,6.4,0,0,30,0,0,0,,1,0,0,0,0,12476.94,,,,,
CT_PV_Diesel_Hybrid,Angola,PV,PV,2017,2051,30,0,0,1,1,0,0,15000,0,0,0,30,,,0,11,1,10.42,0,1,30,19172.42,,,,,
CT_Soyo,Angola,CCGT,Gas,2017,2073,500,0.2,9,1,1,0,0.2,17000,4,0,0,30,0,0,0,11,1,9.7,0.05,0,0,21670.15,,,,,
CTMJICA1_TH_MOZ,Mozambique,GT,Gas,2018,2068,106,0.2,10.425987,1,1,0,0.2,17000,4,0,0,30,0,0,0,7,1,11.125987,0.5,0,0,21265.45197,,,,,
CTMJICA2_TH_MOZ,Mozambique,GT,Gas,2026,2076,29,0.2,9,1,1,0,0.2,17000,4,0,1.016815742,30,29,29,0,7,3,9.7,0.05,0,0,21262.16682,,,,,
Cutato1-3_HY_AGO,Angola,ROR,Water,2055,2060,300,0,0,1,1,0,0.121826136,46500,0.55,0,4.248837209,50,300,300,0,,3,0,0,0,0,51598.92066,0.38,,,,
Dedisa_TH_ZAF,South_Africa,GT,HFO,2015,2065,335,0.2,13.62107811,1,1,0,0.2,17000,4,0,0,30,,,0,,1,0,0,0,0,21475.02108,,,,,
Dedza_WIND_MWI,Malawi,WIND,OnshoreWind,2027,2057,0,0,0,1,1,0,0,28000,0,0,1.6,30,0,86,0,,3,0,0,1,0,32229.6,,,,,
DemaEmergency_TH_ZWE,Zimbabwe,ICE,HFO,2017,2020,200,0.06,11.373804,1,1,0,0.4,8000,6.4,0,0,30,,,0,,1,0,0,0,0,12310.2338,,,,,
Devil'sGorgeNorth_HY_ZMB,Zambia,ROR,Water,2032,2060,600,0,0,1,1,0,0.278070484,46500,0.55,0,4.248837209,50,600,600,0,,3,0,0,0,0,52475.07691,0.55614968,0.567594269,0.567594269,0.54957494,0.54957494
Devil'sGorgeSouth_HY_ZWE,Zimbabwe,ROR,Water,2032,2070,600,0,0,1,1,0,0.275342466,46500,0.55,0,4.248837209,50,600,600,0,,3,0,0,0,0,52482.07418,0.556849316,0.76,0.38,0.38,0.76
Diaz_Wind_NAM,Namibia,WIND,OnshoreWind,2027,2057,44,0,0,1,1,0,0,28000,0,0,1.8,30,44,44,0,,2,0,0,1,0,32269.8,,,,,
DrakensbergPH_HY_ZAF,South_Africa,STORAGE,Water,1985,2060,1000,,0,1,1,0,0.8,46500,0.55,0,0,50,,,0,,1,0,0,0,0,51620.35,,,,,
Duvha_TH_ZAF,South_Africa,ST,Coal,1980,2033,2875,,9.074399958,,,,,,,,0,,,,0,,1,0,0.05,0,479.1666667,51944.4644,,,,,
Duynefontein_NU_ZAF,South_Africa,ST,Uranium,2032,2072,2500,0.7,9.2886066,0.1,0.1,0,0,100000,2.3,0,6.295957066,50,2500,2500,0,,3,0,0.6,0,0,111698.3846,,,,,
EAPower&Mapembasi_HY_TZA,Tanzania,ROR,Water,2016,2060,0,0,0,1,1,0,0.215276497,46500,0.55,0,0,50,,,0,,1,0,0,0,0,50654.76528,0.435529945,0.496385599,0.436293559,0.381132587,0.484232319
Edwaleni1_HY_SWZ,Eswatini,ROR,Water,2000,2060,10,0,0,1,1,0,0.152,46500,0.55,0,0,50,,,0,,1,0,0,0,0,50641.702,0.34,,,,
Edwaleni2_HY_SWZ,Eswatini,ROR,Water,2000,2060,5,0,0,1,1,0,0.152,46500,0.55,0,0,50,,,0,,1,0,0,0,0,50636.702,0.34,,,,
EdwaleniThermal_TH_SWZ,Eswatini,ICE,HFO,2000,2050,9,0.06,11.73397446,1,1,0,0.4,8000,6.4,0,0,30,,,0,,1,0,0,0,0,12130.59397,,,,,
EEC_Solar_PV,Eswatini,PV,PV,2021,2060,10,0,0,1,1,0,0,15000,0,0,0,25,0,0,0,,1,0,0,1,0,19133,,,,,
Ethanol_project_BM_MWI,Malawi,ST,Biomass,2032,2060,28,0.3,10,1,1,0,0.01,100000,10,0,7.2,30,28,28,0,,3,0,0,0,0,104275.51,,,,,
Existing _PV_NAM,Namibia,PV,PV,2015,2060,228,0,0,1,1,0,0,15000,0,0,0,25,0,,0,,1,0,0,1,0,19349,,,,,
Existing _PV_ZIM,Zimbabwe,PV,PV,2022,2060,38,0,0,1,1,0,0,15000,0,0,0,25,,,0,,1,0,0,1,0,19164,,,,,
Existing_AusWind_NAM,Namibia,WIND,OnshoreWind,2020,2055,5,0,0,1,1,0,0,28000,0,0,0,30,0,0,0,,1,0,0,1,0,32131,,,,,
Existing_HY_MOZ,Mozambique,ROR,Water,2000,2060,117,0,0,1,1,0,0.406440138,46500,0.55,0,0,50,,,0,,1,0,0,0,0,50749.95644,0.812882758,,,,
ExistingCSP(CSP)_REN_ZAF,South_Africa,CSP,CSP,2005,2045,300,0,0,1,1,0,0.8,22000,3,0,0,30,,,0,,1,0,0,0,0,26410.8,,,,,
ExistingHydro1985_HY_ZAF,South_Africa,ROR,Water,1985,2060,44.1,0,0,1,1,0,0.185,46500,0.55,0,0,50,,,0,,1,0,0,0,0,50658.835,0.37,,,,
ExistingHydro2015_HY_ZAF,South_Africa,ROR,Water,2015,2060,19,0,0,1,1,0,0.185,46500,0.55,0,0,50,,,0,,1,0,0,0,0,50663.735,0.37,,,,
ExistingSmallHydro2000_HY_AGO,Angola,ROR,Water,2000,2060,16,0,0,1,1,0,0.121826136,46500,0.55,0,0,50,,,0,,1,0,0,0,0,50653.67183,0.38,,,,
ExistingSmallHydro2012_HY_AGO,Angola,ROR,Water,2012,2060,135.4,0,0,1,1,0,0.121826136,46500,0.55,0,0,50,,,0,,1,0,0,0,0,50785.07183,0.38,,,,
ExistingSolarPV(PV)_REN_ZAF,South_Africa,PV,PV,2017,2060,1902,0,0,1,1,0,0,15000,0,0,0,25,,,0,,1,0,0,1,0,21019,,,,,
ExistingWind_REN_ZAF,South_Africa,WIND,OnshoreWind,2015,2045,2516,0,0,1,1,0,0,22000,0,0,0,30,,,0,,1,0,0,1,0,28621,,,,,
Ezulwini_HY_SWZ,Eswatini,ROR,Water,2000,2060,20,0,0,1,1,0,0.1,46500,0.55,0,0,50,,,0,,1,0,0,0,0,50651.65,0.2,,,,
Francistown_TH_BWA,Botswana,ICE,HFO,2000,2026,73,0.06,10.41544727,1,1,0,0.4,8000,6.4,0,0,30,,,0,,1,0,0,0,0,12172.27545,,,,,
Gairezi_HY_ZWE,Zimbabwe,ROR,Water,2020,2060,30,0,0,1,1,0,0.275342466,46500,0.55,0,0,50,0,0,0,,1,0,0,0,0,50683.82534,0.556849316,0.76,0.38,0.38,0.76
Gariep_HY_ZAF,South_Africa,ROR,Water,1971,2060,360,0,0,1,1,0,0.185,46500,0.55,0,0,50,,,0,,1,0,0,0,0,50960.735,0.37,,,,
GasTurbine_TH_AGO,Angola,GT,Gas,2055,2105,2500,0.2,9,1,1,0,0.2,17000,4,0,1.016815742,30,500,2000,0,7,3,9.7,0.05,0,0,26238.16682,,,,,
GasTurbine_TH_LSO,Lesotho,GT,LNG,2027,2077,500,0.2,9,1,1,0,0.2,17000,4,0,1.016815742,30,500,2000,0,7,3,9.7,0.05,0,0,24187.16682,,,,,
GasTurbine_TH_SWL,Eswatini,GT,LNG,2027,2077,500,0.2,9,1,1,0,0.2,17000,4,0,1.016815742,30,400,2000,0,7,3,9.7,0.05,0,0,24088.16682,,,,,
GecaminesCoal(100)_TH_AGO,Lesotho,ST,Coal,2025,2070,0,,8.6,,,,,,,,2.466504472,,0,0,0,,3,0,0.05,0,0,49156.4565,,,,,
GecaminesCoal(500)_TH_AGO,Angola,ST,Coal,2025,2075,0,,8.6,,,,,,,,2.466504472,,0,0,0,,3,0,0.1,0,0,49168.5065,,,,,
GenericDieselCan_BWA,Botswana,ICE,HFO,2024,2054,500,0.06,10.42,1,1,0,0.4,8000,6.4,0,0.933810376,30,500,500,0,,3,0,0.06,0,0,13654.27381,,,,,
GenericDieselCan_DRC,DRC,ICE,HFO,2024,2054,500,0.06,10.42,1,1,0,0.4,8000,6.4,0,0.933810376,30,500,500,0,,3,0,0.06,0,0,13659.27381,,,,,
GenericDieselCan_LSO,Lesotho,ICE,HFO,2024,2054,200,0.06,10.42,1,1,0,0.4,8000,6.4,0,0.933810376,30,200,200,0,,3,0,0.06,0,0,12750.27381,,,,,
GenericDieselCan_NAM,Namibia,ICE,HFO,2024,2054,500,0.06,10.42,1,1,0,0.4,8000,6.4,0,0.933810376,30,500,500,0,,3,0,0.1,0,0,13655.31381,,,,,
GenericDieselCan_SWL,Eswatini,ICE,HFO,2024,2054,200,0.06,10.42,1,1,0,0.4,8000,6.4,0,0.933810376,30,200,200,0,,3,0,0.06,0,0,12751.27381,,,,,
GenericDieselCan_TZA,Tanzania,ICE,HFO,2024,2054,0,0.06,10.42,1,1,0,0.4,8000,6.4,0,0.933810376,30,0,0,0,,3,0,0.06,0,0,12158.27381,,,,,
GenericDieselCan_ZAF,South_Africa,ICE,HFO,2024,2054,2000,0.06,10.42,1,1,0,0.4,8000,6.4,0,0.933810376,30,2000,2000,0,,3,0,0.06,0,0,18149.27381,,,,,
GenericDieselCan_ZMB,Zambia,ICE,HFO,2026,2053,200,0.06,10.42,1,1,0,0.4,8000,6.4,0,0.830053667,30,100,500,0,,3,0,0.06,0,0,12957.17005,,,,,
Genga_HY_AGO,Angola,ROR,Water,2055,2060,900,0,0,1,1,0,0.121826136,46500,0.55,0,4.248837209,50,900,900,0,,3,0,0,0,0,53398.92066,0.38,,,,
GenTanzaniaCoastalCoal_TH_TZA,Tanzania,ST,Coal,2025,2075,0,,9.73,,,,,,,,2.186,,0,0,0,,3,0,0.05,0,0,70176.676,,,,,
Golomoti_BESS,Malawi,STORAGE,Battery,2022,2060,5,0,0,1,1,0,0.9,13000,0,0,0,20,0,0,0,,1,0,0,0,0,17149.9,,,,,
Golomoti_PV_MWI,Malawi,PV,PV,2022,2060,20,0,0,1,1,0,0,15000,0,0,0,25,0,0,0,,1,0,0,1,0,19153,,,,,
Gourikwa_TH_ZAF,South_Africa,GT,HFO,2007,2057,740,0.2,9.39286647,1,1,0,0.2,17000,4,0,0,30,,,0,,1,0,0,0,0,21859.79287,,,,,
Grootvlei_TH_ZAF,South_Africa,ST,Coal,1969,2026,1120,,10.37101361,,,,,,,,0,,,,0,,1,0,0.05,0,186.6666667,50172.76101,,,,,
Hale,Tanzania,ROR,Water,2025,2075,21,0,0,1,1,0,0.142502136,16900,0.003,0,1,50,,,0,,2,0,0,0,0,21101.1455,0.23,0.22963688,0.269269445,0.212242387,0.217767645
Hamilton_Falls_HY_MWI,Malawi,ROR,Water,2055,2060,87,0,0,1,1,0,0.325077306,40737.536,0.55,0,3.536,50,87,87,0,,3,0,0,0,0,45199.94708,0.651546123,0.61976749,0.684349392,0.689222195,0.615215736
Harare1_TH_ZWE,Zimbabwe,ST,Coal,2000,2055,32,,11.373804,,,,,,,,0,,,,0,,1,0,0.1,0,32,49149.8138,,,,,
Harare2_TH_ZWE,Zimbabwe,ST,Coal,1970,2018,18,,11.373804,,,,,,,,0,,,,0,,1,0,0.1,0,18,49068.8138,,,,,
Harare3_TH_ZWE,Zimbabwe,ST,Coal,2000,2055,30,,11.373804,,,,,,,,0,,,,0,,1,0,0.1,0,30,49147.8138,,,,,
Hendrina_TH_ZAF,South_Africa,ST,Coal,1976,2025,1638,,9.976721742,,,,,,,,0,,,,0,,1,0,0.05,0,163.8,50696.36672,,,,,
Hwange3Extension_TH_ZWE,Zimbabwe,ST,Coal,2023,2073,600,,9.22225941,,,,,,,,0,,0,0,0,,1,0,0.05,0,300,49756.61226,,,,,
HwangeI_TH_ZWE,Zimbabwe,ST,Coal,1987,2037,347,,11.373804,,,,,,,,0,,,,0,,1,0,0.1,0,347,49433.8138,,,,,
HwangeII_TH_ZWE,Zimbabwe,ST,Coal,2020,2070,320,,11.373804,,,,,,,,0,,,,0,,1,0,0.1,0,320,49472.8138,,,,,
