From,To,q,2023,2025,2030,2035,2040,2045,2050
BiH,Serbia,m7,600,800,1680,1680,1680,1680,1680
BiH,Serbia,m8,600,800,1680,1680,1680,1680,1680
BiH,Serbia,m9,600,800,1680,1680,1680,1680,1680
BiH,Serbia,m10,600,800,1680,1680,1680,1680,1680
BiH,Serbia,m11,600,800,1680,1680,1680,1680,1680
BiH,Serbia,m12,600,800,1680,1680,1680,1680,1680
Serbia,BiH,m1,600,800,1680,1680,1680,1680,1680
Serbia,BiH,m2,600,800,1680,1680,1680,1680,1680
Serbia,BiH,m3,600,800,1680,1680,1680,1680,1680
Serbia,BiH,m4,600,800,1680,1680,1680,1680,1680
Serbia,BiH,m5,600,800,1680,1680,1680,1680,1680
Serbia,BiH,m6,600,800,1680,1680,1680,1680,1680
Serbia,BiH,m7,600,800,1680,1680,1680,1680,1680
Serbia,BiH,m8,600,800,1680,1680,1680,1680,1680
Serbia,BiH,m9,600,800,1680,1680,1680,1680,1680
Serbia,BiH,m10,600,800,1680,1680,1680,1680,1680
Serbia,BiH,m11,600,800,1680,1680,1680,1680,1680
Serbia,BiH,m12,600,800,1680,1680,1680,1680,1680
Serbia,Kosovo,m1,325,600,600,600,600,600,600
Serbia,Kosovo,m2,325,600,600,600,600,600,600
Serbia,Kosovo,m3,325,600,600,600,600,600,600
Serbia,Kosovo,m4,325,600,600,600,600,600,600
Serbia,Kosovo,m5,325,600,600,600,600,600,600
Serbia,Kosovo,m6,325,600,600,600,600,600,600
Serbia,Kosovo,m7,325,600,600,600,600,600,600
Serbia,Kosovo,m8,325,600,600,600,600,600,600
Serbia,Kosovo,m9,325,600,600,600,600,600,600
Serbia,Kosovo,m10,325,600,600,600,600,600,600
Serbia,Kosovo,m11,325,600,600,600,600,600,600
Serbia,Kosovo,m12,325,600,600,600,600,600,600
Kosovo,Serbia,m1,325,600,600,600,600,600,600
Kosovo,Serbia,m2,325,600,600,600,600,600,600
Kosovo,Serbia,m3,325,600,600,600,600,600,600
Kosovo,Serbia,m4,325,600,600,600,600,600,600
Kosovo,Serbia,m5,325,600,600,600,600,600,600
Kosovo,Serbia,m6,325,600,600,600,600,600,600
Kosovo,Serbia,m7,325,600,600,600,600,600,600
Kosovo,Serbia,m8,325,600,600,600,600,600,600
Kosovo,Serbia,m9,325,600,600,600,600,600,600
Kosovo,Serbia,m10,325,600,600,600,600,600,600
Kosovo,Serbia,m11,325,600,600,600,600,600,600
Kosovo,Serbia,m12,325,600,600,600,600,600,600
Serbia,Montenegro,m1,300,300,1140,1140,1140,1140,1140
Serbia,Montenegro,m2,300,300,1140,1140,1140,1140,1140
Serbia,Montenegro,m3,300,300,1140,1140,1140,1140,1140
Serbia,Montenegro,m4,300,300,1140,1140,1140,1140,1140
Serbia,Montenegro,m5,300,300,1140,1140,1140,1140,1140
Serbia,Montenegro,m6,300,300,1140,1140,1140,1140,1140
Serbia,Montenegro,m7,300,300,1140,1140,1140,1140,1140
Serbia,Montenegro,m8,300,300,1140,1140,1140,1140,1140
Serbia,Montenegro,m9,300,300,1140,1140,1140,1140,1140
Serbia,Montenegro,m10,300,300,1140,1140,1140,1140,1140
Serbia,Montenegro,m11,300,300,1140,1140,1140,1140,1140
Serbia,Montenegro,m12,300,300,1140,1140,1140,1140,1140
Montenegro,Serbia,m1,300,300,1140,1140,1140,1140,1140
Montenegro,Serbia,m2,300,300,1140,1140,1140,1140,1140
Montenegro,Serbia,m3,300,300,1140,1140,1140,1140,1140
Montenegro,Serbia,m4,300,300,1140,1140,1140,1140,1140
Montenegro,Serbia,m5,300,300,1140,1140,1140,1140,1140
Montenegro,Serbia,m6,300,300,1140,1140,1140,1140,1140
Montenegro,Serbia,m7,300,300,1140,1140,1140,1140,1140
Montenegro,Serbia,m8,300,300,1140,1140,1140,1140,1140
Montenegro,Serbia,m9,300,300,1140,1140,1140,1140,1140
Montenegro,Serbia,m10,300,300,1140,1140,1140,1140,1140
Montenegro,Serbia,m11,300,300,1140,1140,1140,1140,1140
Montenegro,Serbia,m12,300,300,1140,1140,1140,1140,1140
Serbia,N_Macedonia,m1,300,322,480,480,480,480,480
Serbia,N_Macedonia,m2,300,322,480,480,480,480,480
Serbia,N_Macedonia,m3,300,322,480,480,480,480,480
Serbia,N_Macedonia,m4,300,322,480,480,480,480,480
Serbia,N_Macedonia,m5,300,322,480,480,480,480,480
Serbia,N_Macedonia,m6,300,322,480,480,480,480,480
Serbia,N_Macedonia,m7,300,322,480,480,480,480,480
Serbia,N_Macedonia,m8,300,322,480,480,480,480,480
Serbia,N_Macedonia,m9,300,322,480,480,480,480,480
Serbia,N_Macedonia,m10,300,322,480,480,480,480,480
Serbia,N_Macedonia,m11,300,322,480,480,480,480,480
Serbia,N_Macedonia,m12,300,322,480,480,480,480,480
N_Macedonia,Serbia,m1,300,322,480,480,480,480,480
N_Macedonia,Serbia,m2,300,322,480,480,480,480,480
N_Macedonia,Serbia,m3,300,322,480,480,480,480,480
N_Macedonia,Serbia,m4,300,322,480,480,480,480,480
N_Macedonia,Serbia,m5,300,322,480,480,480,480,480
N_Macedonia,Serbia,m6,300,322,480,480,480,480,480
N_Macedonia,Serbia,m7,300,322,480,480,480,480,480
N_Macedonia,Serbia,m8,300,322,480,480,480,480,480
N_Macedonia,Serbia,m9,300,322,480,480,480,480,480
N_Macedonia,Serbia,m10,300,322,480,480,480,480,480
N_Macedonia,Serbia,m11,300,322,480,480,480,480,480
N_Macedonia,Serbia,m12,300,322,480,480,480,480,480
Kosovo,Montenegro,m1,300,700,700,700,700,700,700
Kosovo,Montenegro,m2,300,700,700,700,700,700,700
Kosovo,Montenegro,m3,300,700,700,700,700,700,700
Kosovo,Montenegro,m4,300,700,700,700,700,700,700
Kosovo,Montenegro,m5,300,700,700,700,700,700,700
Kosovo,Montenegro,m6,300,700,700,700,700,700,700
Kosovo,Montenegro,m7,300,700,700,700,700,700,700
Kosovo,Montenegro,m8,300,700,700,700,700,700,700
Kosovo,Montenegro,m9,300,700,700,700,700,700,700
Kosovo,Montenegro,m10,300,700,700,700,700,700,700
Kosovo,Montenegro,m11,300,700,700,700,700,700,700
Kosovo,Montenegro,m12,300,700,700,700,700,700,700
Montenegro,Kosovo,m1,300,700,700,700,700,700,700
Montenegro,Kosovo,m2,300,700,700,700,700,700,700
Montenegro,Kosovo,m3,300,700,700,700,700,700,700
Montenegro,Kosovo,m4,300,700,700,700,700,700,700
Montenegro,Kosovo,m5,300,700,700,700,700,700,700
Montenegro,Kosovo,m6,300,700,700,700,700,700,700
Montenegro,Kosovo,m7,300,700,700,700,700,700,700
Montenegro,Kosovo,m8,300,700,700,700,700,700,700
Montenegro,Kosovo,m9,300,700,700,700,700,700,700
Montenegro,Kosovo,m10,300,700,700,700,700,700,700
Montenegro,Kosovo,m11,300,700,700,700,700,700,700
Montenegro,Kosovo,m12,300,700,700,700,700,700,700
Kosovo,N_Macedonia,m1,330,700,700,700,700,700,700
Kosovo,N_Macedonia,m2,330,700,700,700,700,700,700
Kosovo,N_Macedonia,m3,330,700,700,700,700,700,700
Kosovo,N_Macedonia,m4,330,700,700,700,700,700,700
Kosovo,N_Macedonia,m5,330,700,700,700,700,700,700
Kosovo,N_Macedonia,m6,330,700,700,700,700,700,700
Kosovo,N_Macedonia,m7,330,700,700,700,700,700,700
Kosovo,N_Macedonia,m8,330,700,700,700,700,700,700
Kosovo,N_Macedonia,m9,330,700,700,700,700,700,700
Kosovo,N_Macedonia,m10,330,700,700,700,700,700,700
Kosovo,N_Macedonia,m11,330,700,700,700,700,700,700
Kosovo,N_Macedonia,m12,330,700,700,700,700,700,700
N_Macedonia,Kosovo,m1,330,700,700,700,700,700,700
N_Macedonia,Kosovo,m2,330,700,700,700,700,700,700
N_Macedonia,Kosovo,m3,330,700,700,700,700,700,700
N_Macedonia,Kosovo,m4,330,700,700,700,700,700,700
N_Macedonia,Kosovo,m5,330,700,700,700,700,700,700
N_Macedonia,Kosovo,m6,330,700,700,700,700,700,700
N_Macedonia,Kosovo,m7,330,700,700,700,700,700,700
N_Macedonia,Kosovo,m8,330,700,700,700,700,700,700
N_Macedonia,Kosovo,m9,330,700,700,700,700,700,700
N_Macedonia,Kosovo,m10,330,700,700,700,700,700,700
N_Macedonia,Kosovo,m11,330,700,700,700,700,700,700
N_Macedonia,Kosovo,m12,330,700,700,700,700,700,700
