Internal zone,External zone,Seasons,Import-Export,2023,2025,2030,2035,2040,2045,2050
N_Macedonia,Bulgaria,m7,Import,330,450,450,450,450,450,450
N_Macedonia,Bulgaria,m7,Export,330,450,450,450,450,450,450
N_Macedonia,Bulgaria,m8,Import,330,450,450,450,450,450,450
N_Macedonia,Bulgaria,m8,Export,330,450,450,450,450,450,450
N_Macedonia,Bulgaria,m9,Import,330,450,450,450,450,450,450
N_Macedonia,Bulgaria,m9,Export,330,450,450,450,450,450,450
N_Macedonia,Bulgaria,m10,Import,330,450,450,450,450,450,450
N_Macedonia,Bulgaria,m10,Export,330,450,450,450,450,450,450
N_Macedonia,Bulgaria,m11,Import,330,450,450,450,450,450,450
N_Macedonia,Bulgaria,m11,Export,330,450,450,450,450,450,450
N_Macedonia,Bulgaria,m12,Import,330,450,450,450,450,450,450
N_Macedonia,Bulgaria,m12,Export,330,450,450,450,450,450,450
Montenegro,Italy,m1,Import,600,600,600,600,1200,1200,1200
Montenegro,Italy,m1,Export,600,600,600,600,1200,1200,1200
Montenegro,Italy,m2,Import,600,600,600,600,1200,1200,1200
Montenegro,Italy,m2,Export,600,600,600,600,1200,1200,1200
Montenegro,Italy,m3,Import,600,600,600,600,1200,1200,1200
Montenegro,Italy,m3,Export,600,600,600,600,1200,1200,1200
Montenegro,Italy,m4,Import,600,600,600,600,1200,1200,1200
Montenegro,Italy,m4,Export,600,600,600,600,1200,1200,1200
Montenegro,Italy,m5,Import,600,600,600,600,1200,1200,1200
Montenegro,Italy,m5,Export,600,600,600,600,1200,1200,1200
Montenegro,Italy,m6,Import,600,600,600,600,1200,1200,1200
Montenegro,Italy,m6,Export,600,600,600,600,1200,1200,1200
Montenegro,Italy,m7,Import,600,600,600,600,1200,1200,1200
Montenegro,Italy,m7,Export,600,600,600,600,1200,1200,1200
Montenegro,Italy,m8,Import,600,600,600,600,1200,1200,1200
Montenegro,Italy,m8,Export,600,600,600,600,1200,1200,1200
Montenegro,Italy,m9,Import,600,600,600,600,1200,1200,1200
Montenegro,Italy,m9,Export,600,600,600,600,1200,1200,1200
Montenegro,Italy,m10,Import,600,600,600,600,1200,1200,1200
Montenegro,Italy,m10,Export,600,600,600,600,1200,1200,1200
Montenegro,Italy,m11,Import,600,600,600,600,1200,1200,1200
Montenegro,Italy,m11,Export,600,600,600,600,1200,1200,1200
Montenegro,Italy,m12,Import,600,600,600,600,1200,1200,1200
Montenegro,Italy,m12,Export,600,600,600,600,1200,1200,1200
Serbia,Croatia,m1,Import,600,600,600,600,600,600,650
Serbia,Croatia,m1,Export,600,600,600,600,600,600,650
Serbia,Croatia,m2,Import,600,600,600,600,600,600,650
Serbia,Croatia,m2,Export,600,600,600,600,600,600,650
Serbia,Croatia,m3,Import,600,600,600,600,600,600,650
Serbia,Croatia,m3,Export,600,600,600,600,600,600,650
Serbia,Croatia,m4,Import,600,600,600,600,600,600,650
Serbia,Croatia,m4,Export,600,600,600,600,600,600,650
Serbia,Croatia,m5,Import,600,600,600,600,600,600,650
Serbia,Croatia,m5,Export,600,600,600,600,600,600,650
Serbia,Croatia,m6,Import,600,600,600,600,600,600,650
Serbia,Croatia,m6,Export,600,600,600,600,600,600,650
Serbia,Croatia,m7,Import,600,600,600,600,600,600,650
Serbia,Croatia,m7,Export,600,600,600,600,600,600,650
Serbia,Croatia,m8,Import,600,600,600,600,600,600,650
Serbia,Croatia,m8,Export,600,600,600,600,600,600,650
Serbia,Croatia,m9,Import,600,600,600,600,600,600,650
Serbia,Croatia,m9,Export,600,600,600,600,600,600,650
Serbia,Croatia,m10,Import,600,600,600,600,600,600,650
Serbia,Croatia,m10,Export,600,600,600,600,600,600,650
Serbia,Croatia,m11,Import,600,600,600,600,600,600,650
Serbia,Croatia,m11,Export,600,600,600,600,600,600,650
Serbia,Croatia,m12,Import,600,600,600,600,600,600,650
Serbia,Croatia,m12,Export,600,600,600,600,600,600,650
Serbia,Bulgaria,m1,Import,400,400,400,400,870,870,870
Serbia,Bulgaria,m1,Export,400,400,400,400,870,870,870
Serbia,Bulgaria,m2,Import,400,400,400,400,870,870,870
Serbia,Bulgaria,m2,Export,400,400,400,400,870,870,870
Serbia,Bulgaria,m3,Import,400,400,400,400,870,870,870
Serbia,Bulgaria,m3,Export,400,400,400,400,870,870,870
Serbia,Bulgaria,m4,Import,400,400,400,400,870,870,870
Serbia,Bulgaria,m4,Export,400,400,400,400,870,870,870
Serbia,Bulgaria,m5,Import,400,400,400,400,870,870,870
Serbia,Bulgaria,m5,Export,400,400,400,400,870,870,870
Serbia,Bulgaria,m6,Import,400,400,400,400,870,870,870
Serbia,Bulgaria,m6,Export,400,400,400,400,870,870,870
Serbia,Bulgaria,m7,Import,400,400,400,400,870,870,870
Serbia,Bulgaria,m7,Export,400,400,400,400,870,870,870
Serbia,Bulgaria,m8,Import,400,400,400,400,870,870,870
Serbia,Bulgaria,m8,Export,400,400,400,400,870,870,870
Serbia,Bulgaria,m9,Import,400,400,400,400,870,870,870
Serbia,Bulgaria,m9,Export,400,400,400,400,870,870,870
Serbia,Bulgaria,m10,Import,400,400,400,400,870,870,870
Serbia,Bulgaria,m10,Export,400,400,400,400,870,870,870
Serbia,Bulgaria,m11,Import,400,400,400,400,870,870,870
Serbia,Bulgaria,m11,Export,400,400,400,400,870,870,870
Serbia,Bulgaria,m12,Import,400,400,400,400,870,870,870
Serbia,Bulgaria,m12,Export,400,400,400,400,870,870,870
Serbia,Hungary,m1,Import,700,1000,1000,1000,1000,1000,1000
Serbia,Hungary,m1,Export,700,1000,1000,1000,1000,1000,1000
Serbia,Hungary,m2,Import,700,1000,1000,1000,1000,1000,1000
Serbia,Hungary,m2,Export,700,1000,1000,1000,1000,1000,1000
Serbia,Hungary,m3,Import,700,1000,1000,1000,1000,1000,1000
Serbia,Hungary,m3,Export,700,1000,1000,1000,1000,1000,1000
Serbia,Hungary,m4,Import,700,1000,1000,1000,1000,1000,1000
Serbia,Hungary,m4,Export,700,1000,1000,1000,1000,1000,1000
Serbia,Hungary,m5,Import,700,1000,1000,1000,1000,1000,1000
Serbia,Hungary,m5,Export,700,1000,1000,1000,1000,1000,1000
Serbia,Hungary,m6,Import,700,1000,1000,1000,1000,1000,1000
Serbia,Hungary,m6,Export,700,1000,1000,1000,1000,1000,1000
Serbia,Hungary,m7,Import,700,1000,1000,1000,1000,1000,1000
Serbia,Hungary,m7,Export,700,1000,1000,1000,1000,1000,1000
Serbia,Hungary,m8,Import,700,1000,1000,1000,1000,1000,1000
Serbia,Hungary,m8,Export,700,1000,1000,1000,1000,1000,1000
Serbia,Hungary,m9,Import,700,1000,1000,1000,1000,1000,1000
Serbia,Hungary,m9,Export,700,1000,1000,1000,1000,1000,1000
Serbia,Hungary,m10,Import,700,1000,1000,1000,1000,1000,1000
Serbia,Hungary,m10,Export,700,1000,1000,1000,1000,1000,1000
Serbia,Hungary,m11,Import,700,1000,1000,1000,1000,1000,1000
Serbia,Hungary,m11,Export,700,1000,1000,1000,1000,1000,1000
Serbia,Hungary,m12,Import,700,1000,1000,1000,1000,1000,1000
Serbia,Hungary,m12,Export,700,1000,1000,1000,1000,1000,1000
Serbia,Romania,m1,Import,550,870,980,980,980,980,980
Serbia,Romania,m1,Export,550,870,980,980,980,980,980
Serbia,Romania,m2,Import,550,870,980,980,980,980,980
Serbia,Romania,m2,Export,550,870,980,980,980,980,980
Serbia,Romania,m3,Import,550,870,980,980,980,980,980
Serbia,Romania,m3,Export,550,870,980,980,980,980,980
Serbia,Romania,m4,Import,550,870,980,980,980,980,980
Serbia,Romania,m4,Export,550,870,980,980,980,980,980
Serbia,Romania,m5,Import,550,870,980,980,980,980,980
Serbia,Romania,m5,Export,550,870,980,980,980,980,980
Serbia,Romania,m6,Import,550,870,980,980,980,980,980
Serbia,Romania,m6,Export,550,870,980,980,980,980,980
Serbia,Romania,m7,Import,550,870,980,980,980,980,980
Serbia,Romania,m7,Export,550,870,980,980,980,980,980
Serbia,Romania,m8,Import,550,870,980,980,980,980,980
Serbia,Romania,m8,Export,550,870,980,980,980,980,980
Serbia,Romania,m9,Import,550,870,980,980,980,980,980
Serbia,Romania,m9,Export,550,870,980,980,980,980,980
Serbia,Romania,m10,Import,550,870,980,980,980,980,980
Serbia,Romania,m10,Export,550,870,980,980,980,980,980
Serbia,Romania,m11,Import,550,870,980,980,980,980,980
Serbia,Romania,m11,Export,550,870,980,980,980,980,980
Serbia,Romania,m12,Import,550,870,980,980,980,980,980
Serbia,Romania,m12,Export,550,870,980,980,980,980,980
