gen,season,daytype,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Jamba Ya Mina,Q1,d1,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001
Jamba Ya Mina,Q1,d2,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001
Jamba Ya Mina,Q1,d3,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001
Jamba Ya Mina,Q1,d4,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001
Jamba Ya Mina,Q1,d5,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001,0.11000000000000001
Jamba Ya Oma,Q1,d1,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002
Jamba Ya Oma,Q1,d2,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002
Jamba Ya Oma,Q1,d3,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002
Jamba Ya Oma,Q1,d4,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002
Jamba Ya Oma,Q1,d5,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002,0.11200000000000002
Lauca,Q1,d1,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098
Lauca,Q1,d2,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098
Lauca,Q1,d3,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098
Lauca,Q1,d4,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098
Lauca,Q1,d5,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098,0.098
Lomaum,Q1,d1,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188
Lomaum,Q1,d2,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188
Lomaum,Q1,d3,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188
Lomaum,Q1,d4,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188
Lomaum,Q1,d5,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188
Lomaum 2,Q1,d1,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996
Lomaum 2,Q1,d2,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996
Lomaum 2,Q1,d3,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996
Lomaum 2,Q1,d4,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996
Lomaum 2,Q1,d5,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996,0.033999999999999996
Luachimo,Q1,d1,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999
Luachimo,Q1,d2,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999
Luachimo,Q1,d3,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999
Luachimo,Q1,d4,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999
Luachimo,Q1,d5,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999,0.8859999999999999
Matala,Q1,d1,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238
Matala,Q1,d2,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238
Matala,Q1,d3,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238
Matala,Q1,d4,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238
Matala,Q1,d5,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238,0.238
Quilengue,Q1,d1,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192
Quilengue,Q1,d2,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192
Quilengue,Q1,d3,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192
Quilengue,Q1,d4,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192
Quilengue,Q1,d5,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192
Quilengue (Balalunga),Q1,d1,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188
Quilengue (Balalunga),Q1,d2,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188
Quilengue (Balalunga),Q1,d3,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188
Quilengue (Balalunga),Q1,d4,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188
Quilengue (Balalunga),Q1,d5,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188
Tchiumbwe Dala,Q1,d1,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998
Tchiumbwe Dala,Q1,d2,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998
Tchiumbwe Dala,Q1,d3,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998
Tchiumbwe Dala,Q1,d4,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998
Tchiumbwe Dala,Q1,d5,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998,0.23199999999999998
Tumuludo Casador,Q1,d1,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086
Tumuludo Casador,Q1,d2,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086
Tumuludo Casador,Q1,d3,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086
Tumuludo Casador,Q1,d4,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086
Tumuludo Casador,Q1,d5,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086
Vuka Hydropower,Q1,d1,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308
Vuka Hydropower,Q1,d2,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308
Vuka Hydropower,Q1,d3,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308
Vuka Hydropower,Q1,d4,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308
Vuka Hydropower,Q1,d5,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308,0.308
Zenzo Hydropower,Q1,d1,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086
Zenzo Hydropower,Q1,d2,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086
Zenzo Hydropower,Q1,d3,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086
Zenzo Hydropower,Q1,d4,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086
Zenzo Hydropower,Q1,d5,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086
Bini A Warak,Q1,d1,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001
Bini A Warak,Q1,d2,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001
Bini A Warak,Q1,d3,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001
Bini A Warak,Q1,d4,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001
Bini A Warak,Q1,d5,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001,0.7220000000000001
