paramNames,baseline,NoInterconnection,NoInterconnectionExpansion,OptimalInterconnection,pDemandForecast_01,pDemandForecast_02
pSettingsHeader,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/pSettingsHeader.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/pSettingsHeader.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/pSettingsHeader.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/pSettingsHeader.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/pSettingsHeader.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/pSettingsHeader.csv
pGenDataInputHeader,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/pGenDataInputHeader.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/pGenDataInputHeader.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/pGenDataInputHeader.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/pGenDataInputHeader.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/pGenDataInputHeader.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/pGenDataInputHeader.csv
pStorageDataHeader,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/pStorageDataHeader.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/pStorageDataHeader.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/pStorageDataHeader.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/pStorageDataHeader.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/pStorageDataHeader.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/pStorageDataHeader.csv
pTransmissionHeader,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/pTransmissionHeader.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/pTransmissionHeader.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/pTransmissionHeader.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/pTransmissionHeader.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/pTransmissionHeader.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/pTransmissionHeader.csv
pH2Header,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/pH2Header.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/pH2Header.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/pH2Header.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/pH2Header.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/pH2Header.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/pH2Header.csv
pDemandProfile,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\load/pDemandProfile.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\load/pDemandProfile.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\load/pDemandProfile.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\load/pDemandProfile.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\load/pDemandProfile.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\load/pDemandProfile.csv
pDemandData,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\load/pDemandData.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\load/pDemandData.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\load/pDemandData.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\load/pDemandData.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\load/pDemandData.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\load/pDemandData.csv
pDemandForecast,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\load/pDemandForecast.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\load/pDemandForecast.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\load/pDemandForecast.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\load/pDemandForecast.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\load\sensitivity\pDemandForecast_01.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\load\sensitivity\pDemandForecast_02.csv
sRelevant,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\load/sRelevant.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\load/sRelevant.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\load/sRelevant.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\load/sRelevant.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\load/sRelevant.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\load/sRelevant.csv
pEnergyEfficiencyFactor,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\load/pEnergyEfficiencyFactor.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\load/pEnergyEfficiencyFactor.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\load/pEnergyEfficiencyFactor.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\load/pEnergyEfficiencyFactor.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\load/pEnergyEfficiencyFactor.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\load/pEnergyEfficiencyFactor.csv
pGenDataInput,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pGenDataInput.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pGenDataInput.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pGenDataInput.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pGenDataInput.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pGenDataInput.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pGenDataInput.csv
pGenDataInputDefault,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pGenDataInputDefault.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pGenDataInputDefault.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pGenDataInputDefault.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pGenDataInputDefault.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pGenDataInputDefault.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pGenDataInputDefault.csv
pAvailability,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pAvailabilityCustom.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pAvailabilityCustom.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pAvailabilityCustom.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pAvailabilityCustom.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pAvailabilityCustom.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pAvailabilityCustom.csv
pAvailabilityDefault,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pAvailabilityDefault.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pAvailabilityDefault.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pAvailabilityDefault.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pAvailabilityDefault.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pAvailabilityDefault.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pAvailabilityDefault.csv
pEvolutionAvailability,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pEvolutionAvailability.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pEvolutionAvailability.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pEvolutionAvailability.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pEvolutionAvailability.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pEvolutionAvailability.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pEvolutionAvailability.csv
pCapexTrajectories,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pCapexTrajectoriesCustom.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pCapexTrajectoriesCustom.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pCapexTrajectoriesCustom.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pCapexTrajectoriesCustom.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pCapexTrajectoriesCustom.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pCapexTrajectoriesCustom.csv
pCapexTrajectoriesDefault,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pCapexTrajectoriesDefault.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pCapexTrajectoriesDefault.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pCapexTrajectoriesDefault.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pCapexTrajectoriesDefault.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pCapexTrajectoriesDefault.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pCapexTrajectoriesDefault.csv
pCSPData,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pCSPData.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pCSPData.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pCSPData.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pCSPData.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pCSPData.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pCSPData.csv
pFuelPrice,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pFuelPrice.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pFuelPrice.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pFuelPrice.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pFuelPrice.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pFuelPrice.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pFuelPrice.csv
pVREgenProfile,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pVREgenProfile.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pVREgenProfile.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pVREgenProfile.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pVREgenProfile.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pVREgenProfile.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pVREgenProfile.csv
pVREProfile,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pVREProfile.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pVREProfile.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pVREProfile.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pVREProfile.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pVREProfile.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pVREProfile.csv
pStorageDataInput,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pStorageDataInput.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pStorageDataInput.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pStorageDataInput.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pStorageDataInput.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pStorageDataInput.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\supply/pStorageDataInput.csv
pPlanningReserveMargin,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\reserve/pPlanningReserveMargin.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\reserve/pPlanningReserveMargin.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\reserve/pPlanningReserveMargin.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\reserve/pPlanningReserveMargin.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\reserve/pPlanningReserveMargin.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\reserve/pPlanningReserveMargin.csv
pSpinningReserveReqCountry,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\reserve/pSpinningReserveReqCountry.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\reserve/pSpinningReserveReqCountry.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\reserve/pSpinningReserveReqCountry.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\reserve/pSpinningReserveReqCountry.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\reserve/pSpinningReserveReqCountry.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\reserve/pSpinningReserveReqCountry.csv
pSpinningReserveReqSystem,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\reserve/pSpinningReserveReqSystem.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\reserve/pSpinningReserveReqSystem.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\reserve/pSpinningReserveReqSystem.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\reserve/pSpinningReserveReqSystem.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\reserve/pSpinningReserveReqSystem.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\reserve/pSpinningReserveReqSystem.csv
pEmissionsTotal,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\constraint/pEmissionsTotal.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\constraint/pEmissionsTotal.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\constraint/pEmissionsTotal.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\constraint/pEmissionsTotal.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\constraint/pEmissionsTotal.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\constraint/pEmissionsTotal.csv
pEmissionsCountry,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\constraint/pEmissionsCountry.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\constraint/pEmissionsCountry.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\constraint/pEmissionsCountry.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\constraint/pEmissionsCountry.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\constraint/pEmissionsCountry.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\constraint/pEmissionsCountry.csv
pMaxFuellimit,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\constraint/pMaxFuellimit.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\constraint/pMaxFuellimit.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\constraint/pMaxFuellimit.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\constraint/pMaxFuellimit.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\constraint/pMaxFuellimit.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\constraint/pMaxFuellimit.csv
pCarbonPrice,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\constraint/pCarbonPrice.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\constraint/pCarbonPrice.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\constraint/pCarbonPrice.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\constraint/pCarbonPrice.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\constraint/pCarbonPrice.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\constraint/pCarbonPrice.csv
zext,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/zext.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/zext.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/zext.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/zext.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/zext.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/zext.csv
pExtTransferLimit,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/pExtTransferLimit.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/pExtTransferLimit.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/pExtTransferLimit.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/pExtTransferLimit.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/pExtTransferLimit.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/pExtTransferLimit.csv
pLossFactorInternal,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/pLossFactorInternal.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/pLossFactorInternal.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/pLossFactorInternal.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/pLossFactorInternal.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/pLossFactorInternal.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/pLossFactorInternal.csv
pMaxPriceImportShare,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/pMaxPriceImportShare.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/pMaxPriceImportShare.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/pMaxPriceImportShare.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/pMaxPriceImportShare.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/pMaxPriceImportShare.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/pMaxPriceImportShare.csv
pMaxAnnualExternalTradeShare,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/pMaxAnnualExternalTradeShare.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/pMaxAnnualExternalTradeShare.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/pMaxAnnualExternalTradeShare.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/pMaxAnnualExternalTradeShare.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/pMaxAnnualExternalTradeShare.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/pMaxAnnualExternalTradeShare.csv
pMinImport,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/pMinImport.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/pMinImport.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/pMinImport.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/pMinImport.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/pMinImport.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/pMinImport.csv
pNewTransmission,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/pNewTransmission.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/pNewTransmission.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/pNewTransmission.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/pNewTransmission.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/pNewTransmission.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/pNewTransmission.csv
pTradePrice,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/pTradePrice.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/pTradePrice.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/pTradePrice.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/pTradePrice.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/pTradePrice.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\trade/pTradePrice.csv
