z,uni,y,q,value
Gambia,Surplus generation: GWh,2025,m7,7.266063980349907e-05
Gambia,Surplus generation: GWh,2025,m8,7.262919853764475e-05
Gambia,Surplus generation: GWh,2025,m9,7.029319921364334e-05
Gambia,Surplus generation: GWh,2025,m10,7.259793347959542e-05
Gambia,Surplus generation: GWh,2025,m11,5.476489839883965e-05
Gambia,Surplus generation: GWh,2025,m12,5.678236400473326e-05
Gambia,Surplus generation: GWh,2030,m1,4.65675167194822e-05
Gambia,Surplus generation: GWh,2030,m2,5.00888426775254e-05
Gambia,Surplus generation: GWh,2030,m3,8.925741051195437e-05
Gambia,Surplus generation: GWh,2030,m4,0.0001049145111859134
Gambia,Surplus generation: GWh,2030,m5,3.953782856513459e-05
Gambia,Surplus generation: GWh,2030,m6,2.3329231152657e-05
Gambia,Surplus generation: GWh,2030,m7,2.220903964248805e-05
Gambia,Surplus generation: GWh,2030,m8,2.0072159168238133e-05
Gambia,Surplus generation: GWh,2030,m9,3.908833797234446e-05
Gambia,Surplus generation: GWh,2030,m10,2.593905448482046e-05
Gambia,Surplus generation: GWh,2030,m11,1.8571289454972742e-05
Gambia,Surplus generation: GWh,2030,m12,2.5632408008555298e-05
