c,tech,f,y,value
Egypt,PV,Solar,2036,0.1819995685969681
Egypt,ReservoirHydro,Water,2024,0.5500000837577596
Egypt,ReservoirHydro,Water,2030,0.5500000949738364
Egypt,ReservoirHydro,Water,2036,0.7760550325653559
Egypt,ST,Gas,2024,0.1931665296067283
Egypt,ST,Gas,2030,0.22504270696915
Egypt,ST,Gas,2036,0.2726064274245633
Egypt,ST,HFO,2024,1.7656029046371594e-06
Egypt,CCGT_CCS,Gas,2036,0.4051084970160351
Egypt,Nuclear,Uranium,2030,0.940000045190505
Egypt,Nuclear,Uranium,2036,0.945000043234166
Egypt,BiomassPlant,Biomass,2030,0.8646830767613133
Egypt,BiomassPlant,Biomass,2036,0.8508302270667868
Ethiopia,Storage,Battery,2030,0.405545516750216
Ethiopia,Storage,Battery,2036,0.2672364749303008
Ethiopia,ROR,Water,2024,0.4741351747288616
Ethiopia,ROR,Water,2030,0.4414336075183284
Ethiopia,ROR,Water,2036,0.4741624563075797
Ethiopia,ICE,Diesel,2024,1.0764022943486274e-05
Ethiopia,ICE,Diesel,2030,2.7728732883533083e-06
Ethiopia,ICE,Diesel,2036,5.069424997914345e-06
Ethiopia,ICE,HFO,2030,0.0289059177162475
Ethiopia,ICE,HFO,2036,0.0318244892383559
Ethiopia,PV,Solar,2024,0.1874169708091961
Ethiopia,PV,Solar,2030,1.817102669640613e-05
Ethiopia,PV,Solar,2036,0.2494052057223627
Ethiopia,ReservoirHydro,Water,2024,0.6059339895013939
Ethiopia,ReservoirHydro,Water,2030,0.4262519450344984
Ethiopia,ReservoirHydro,Water,2036,0.6550429131206255
Ethiopia,Geothermal,Geothermal,2024,0.2351700964896582
Ethiopia,Geothermal,Geothermal,2030,0.2064725492101407
Ethiopia,Geothermal,Geothermal,2036,0.9255288668682652
Ethiopia,BiomassPlant,Biomass,2024,0.4742131633654373
Ethiopia,BiomassPlant,Biomass,2030,4.764122763903757e-05
Ethiopia,BiomassPlant,Biomass,2036,0.8685225802787061
Libya,Storage,Battery,2030,0.1120760063503978
Libya,Storage,Battery,2036,0.0526287902438562
Libya,ICE,Diesel,2030,0.017064585944576
Libya,ICE,Diesel,2036,0.0142051366929794
Libya,ICE,HFO,2030,0.0238737403646539
Libya,ICE,HFO,2036,0.0188516612064876
Libya,OCGT,Gas,2024,0.2761657920212202
Libya,OCGT,Gas,2030,0.1619600826399826
Libya,OCGT,Gas,2036,0.1050138137057385
Libya,CCGT,Gas,2024,0.7493102000885662
Libya,CCGT,Gas,2030,0.7779218818187715
Libya,CCGT,Gas,2036,0.6789021757381252
Libya,PV,Solar,2024,0.414908065543849
Libya,PV,Solar,2030,0.4149277858927505
Libya,PV,Solar,2036,0.4148767112141228
Libya,ST,Gas,2030,0.3678930840967542
Libya,ST,Gas,2036,0.2034075156812837
Rwanda,Storage,Battery,2030,0.0730887804798476
Rwanda,Storage,Battery,2036,0.0401581284402968
Rwanda,ROR,Water,2024,0.5563204287651741
Rwanda,ROR,Water,2030,0.8886155328750586
Rwanda,ROR,Water,2036,0.8887390948790822
Rwanda,ICE,Diesel,2024,1.6843900025349738e-05
Rwanda,ICE,Diesel,2030,5.1001598289857205e-06
Rwanda,ICE,Diesel,2036,6.052459865486119e-06
Rwanda,ICE,Gas,2024,0.3682925426404621
Rwanda,ICE,Gas,2030,0.2607217464521116
Rwanda,ICE,Gas,2036,0.092275531933286
Rwanda,ICE,HFO,2024,2.9650141167129343e-05
Rwanda,ICE,HFO,2030,1.113143434112067e-05
Rwanda,ICE,HFO,2036,1.5170303746149672e-05
Rwanda,ICE,Methane,2024,0.2588543285001554
Rwanda,ICE,Methane,2030,0.1203451032878049
Rwanda,ICE,Methane,2036,0.0724940226045821
Rwanda,OCGT,Gas,2024,0.0006981476115193
Rwanda,OCGT,Gas,2030,0.3584955984261246
Rwanda,OCGT,Gas,2036,0.0002423488272714
Rwanda,CCGT,Gas,2030,0.4298467287381747
Rwanda,CCGT,Gas,2036,0.2195949476170787
Rwanda,PV,Solar,2024,0.2225076266848623
Rwanda,PV,Solar,2030,0.2225398428669878
Rwanda,PV,Solar,2036,0.2225041461632733
Rwanda,ReservoirHydro,Water,2024,0.5835731463630002
Rwanda,ReservoirHydro,Water,2030,0.5835626269679411
Rwanda,ReservoirHydro,Water,2036,0.7741428827467194
Rwanda,ST,Gas,2024,0.1356904876585272
Rwanda,ST,Gas,2030,0.1346596249377877
Rwanda,ST,Gas,2036,0.0007749264565769
Rwanda,ST,Peat,2024,4.023937114533806e-05
Rwanda,ST,Peat,2030,0.3623258819557611
Rwanda,ST,Peat,2036,0.0509176937235419
Rwanda,BiomassPlant,Biomass,2030,0.850003791083854
Rwanda,BiomassPlant,Biomass,2036,0.8500034785309585
Somalia,Storage,Battery,2030,0.2745800106808108
Somalia,Storage,Battery,2036,0.0244982633765284
Somalia,ROR,Water,2030,0.4703977969237547
Somalia,ROR,Water,2036,0.500025613090027
Somalia,ICE,Diesel,2030,0.0164302875193676
Somalia,ICE,Diesel,2036,0.0336710441334184
Somalia,ICE,HFO,2030,0.0149740693154853
Somalia,ICE,HFO,2036,0.065576686022678
Somalia,OCGT,Gas,2030,0.4470538210752333
Somalia,OCGT,Gas,2036,0.545977305799876
Somalia,PV,Solar,2030,0.1226131400188142
Somalia,PV,Solar,2036,0.2294456046118828
Somalia,ReservoirHydro,Water,2036,0.9841415536856212
SouthSudan,Storage,Battery,2030,0.0201970370468405
SouthSudan,Storage,Battery,2036,0.0123462820242379
SouthSudan,ROR,Water,2030,0.8499878391252728
SouthSudan,ROR,Water,2036,0.8498372919355258
SouthSudan,ICE,Diesel,2024,0.8406684231079752
SouthSudan,ICE,Diesel,2030,0.0320797704643113
SouthSudan,ICE,Diesel,2036,1.6790399333302106e-05
SouthSudan,ICE,HFO,2030,0.4147464245569108
SouthSudan,ICE,HFO,2036,7.404653481494902e-05
SouthSudan,PV,Solar,2030,0.2300776040053681
SouthSudan,PV,Solar,2036,0.2300837947377133
SouthSudan,ReservoirHydro,Water,2030,0.8017789270249303
SouthSudan,ReservoirHydro,Water,2036,0.8500062887827888
Sudan,Storage,Battery,2030,0.0273185211923202
Sudan,Storage,Battery,2036,0.026491889332534
Sudan,ROR,Water,2030,0.7000088936737743
Sudan,ROR,Water,2036,0.7000092777428069
Sudan,ICE,Diesel,2030,0.0303249326517674
Sudan,ICE,Diesel,2036,0.0065653424818831
Sudan,ICE,HFO,2030,0.0490743288578469
Sudan,ICE,HFO,2036,1.6375073260482598e-06
Sudan,OCGT,Gas,2024,0.7645634633198373
Sudan,OCGT,Gas,2030,0.7555547466077576
Sudan,OCGT,Gas,2036,0.754309888509151
Sudan,OCGT,HFO,2024,0.241133121364744
Sudan,OCGT,HFO,2030,0.0419330020501873
Sudan,OCGT,LFO,2030,0.2607556403719313
Sudan,OCGT,LFO,2036,1.531058358517279e-07
Sudan,CCGT,LFO,2024,0.5064445811180752
Sudan,PV,Solar,2030,0.2218495564002076
Sudan,PV,Solar,2036,0.2019954046196067
Sudan,ReservoirHydro,Water,2024,0.771038796065295
Sudan,ReservoirHydro,Water,2030,0.7788508701306327
Sudan,ReservoirHydro,Water,2036,0.8671691696089294
Sudan,ST,HFO,2024,0.3685544250345319
Sudan,ST,HFO,2030,0.5168954898398013
Sudan,ST,HFO,2036,1.6459402230939977e-06
Sudan,ST,Coal,2024,0.8513013907029905
Sudan,ST,Coal,2030,0.8605831788754832
Sudan,ST,Coal,2036,0.9000002757283149
Sudan,BiomassPlant,Biomass,2030,0.8000003857355573
Sudan,BiomassPlant,Biomass,2036,0.8000004012332325
Tanzania,Storage,Battery,2030,0.2269886464233028
Tanzania,Storage,Battery,2036,0.0683425518384114
Tanzania,ROR,Water,2024,0.6608999687687647
Tanzania,ROR,Water,2030,0.6778051498144353
Tanzania,ROR,Water,2036,0.677804658200319
Tanzania,ICE,Diesel,2024,5.964445460810013e-05
Tanzania,ICE,Diesel,2030,1.2922510331026293e-05
Tanzania,ICE,Diesel,2036,1.9694062730953368e-05
Tanzania,ICE,HFO,2024,1.0570560331245618e-05
Tanzania,ICE,HFO,2030,3.4239922101533296e-06
Tanzania,ICE,HFO,2036,4.962609831253472e-06
Tanzania,OCGT,Gas,2024,0.4737001577798055
Tanzania,OCGT,Gas,2030,0.1315426368918186
Tanzania,OCGT,Gas,2036,7.594494458459646e-05
Tanzania,CCGT,Gas,2024,0.0002390941992053
Tanzania,CCGT,Gas,2030,0.0001441675761531
Tanzania,CCGT,Gas,2036,0.1092344955776441
Tanzania,PV,Solar,2030,0.2400873608856818
Tanzania,PV,Solar,2036,0.2400833270437125
Tanzania,ReservoirHydro,Water,2024,0.547582518998692
Tanzania,ReservoirHydro,Water,2030,0.5478035922678387
Tanzania,ReservoirHydro,Water,2036,0.7467887106872128
Tanzania,ST,Coal,2030,0.3096809711157622
Tanzania,ST,Coal,2036,0.1895092732522428
Tanzania,Geothermal,Geothermal,2030,0.8644933278962447
Tanzania,Geothermal,Geothermal,2036,0.8341186470235091
Tanzania,BiomassPlant,Biomass,2024,0.6264421650130035
Tanzania,BiomassPlant,Biomass,2030,0.6456707606552037
Tanzania,BiomassPlant,Biomass,2036,0.6456703822312831
Uganda,Storage,Battery,2030,0.076445009821579
Uganda,Storage,Battery,2036,0.039305386463714
Uganda,ROR,Water,2024,0.5887707444258969
Uganda,ROR,Water,2030,0.5887071079037572
Uganda,ROR,Water,2036,0.5887070172900747
Uganda,ICE,Diesel,2030,0.010834446336315
Uganda,ICE,Diesel,2036,0.0104273855332543
Uganda,ICE,HFO,2030,0.0155050535053432
Uganda,ICE,HFO,2036,0.0140291769865789
Uganda,OCGT,Gas,2030,0.0784571771911875
Uganda,OCGT,Gas,2036,0.0191221116057301
Uganda,CCGT,Gas,2030,0.4327785937245238
Uganda,CCGT,Gas,2036,0.2240193758275069
Uganda,PV,Solar,2024,0.2487844540928815
Uganda,PV,Solar,2030,0.2487878101835685
Uganda,PV,Solar,2036,0.2487791486112594
Uganda,ReservoirHydro,Water,2024,0.4045868337357367
Uganda,ReservoirHydro,Water,2030,0.4224856394891736
Uganda,ReservoirHydro,Water,2036,0.6398514933616484
Uganda,ST,Gas,2030,0.3184244254545824
Uganda,ST,Gas,2036,0.1818238865876068
Uganda,ST,HFO,2024,1.4724690602982212e-05
Uganda,ST,HFO,2030,2.8787045093986817e-06
Uganda,ST,HFO,2036,3.867095476565515e-06
Uganda,Geothermal,Geothermal,2030,0.9799693804007392
Uganda,Geothermal,Geothermal,2036,0.97995912605098
Uganda,BiomassPlant,Biomass,2024,0.5657891509972791
Uganda,BiomassPlant,Biomass,2030,0.686818302029926
Uganda,BiomassPlant,Biomass,2036,0.6488660721893267
