z,uni,y,value
Somaliland,Fixed O&M: $m,2030,1.7537352533106376
Somaliland,Fixed O&M: $m,2036,12.89682947370329
Somaliland,Variable O&M: $m,2030,1.5131375084107928e-05
Somaliland,Variable O&M: $m,2036,0.1869457896858969
Somaliland,Total fuel Costs: $m,2030,0.0002981390393649
Somaliland,Total fuel Costs: $m,2036,0.69728373053919
Somaliland,Transmission additions: $m,2036,1.9213658404606968
Somaliland,Spinning Reserve costs: $m,2030,0.959715096414013
Somaliland,Spinning Reserve costs: $m,2036,1.0769123238656442
Somaliland,Unmet demand costs: $m,2024,132.99999999999994
Somaliland,Unmet demand costs: $m,2030,0.0001272946997156
Somaliland,Unmet demand costs: $m,2036,0.0862169208551549
Somaliland,Excess generation: $m,2030,0.0001180734892116
Somaliland,Excess generation: $m,2036,0.0001294694548042
Somaliland,Capex: $m,2024,1e-11
Somaliland,Capex: $m,2030,14.21468082004736
Somaliland,Capex: $m,2036,112.34544527758152
Somaliland,Unmet reserve costs: $m,2024,5.423883999999996
Somaliland,Unmet reserve costs: $m,2030,7.803957451329172e-05
Somaliland,Unmet reserve costs: $m,2036,0.0372624082621091
Somaliland,Unmet system reserve costs: $m,2024,3.8986134561924966e-05
Somaliland,Unmet system reserve costs: $m,2030,8.086619297656136e-06
Somaliland,Unmet system reserve costs: $m,2036,1.3683493434124516e-05
Somaliland,Import costs with internal zones: $m,2030,0.0005446200664141
Somaliland,Import costs with internal zones: $m,2036,45.67317215449828
Somaliland,Export revenues with internal zones: $m,2030,-0.000125873538007
Somaliland,Export revenues with internal zones: $m,2036,-0.0017501301366624
Somaliland,Trade shared benefits: $m,2030,-0.0002274155528
Somaliland,Trade shared benefits: $m,2036,-10.466558566946794
Somaliland,Trade Costs: $m,2030,0.000191330975607
Somaliland,Trade Costs: $m,2036,35.204863457414824
Somaliland,Total Annual Cost by Zone: $m,2024,132.99999999999994
Somaliland,Total Annual Cost by Zone: $m,2030,3.954194221038788
Somaliland,Total Annual Cost by Zone: $m,2036,33.80150855122436
Somaliland,Total Annual Cost by Zone with trade: $m,2024,132.99999999999994
Somaliland,Total Annual Cost by Zone with trade: $m,2030,3.9543855520143945
Somaliland,Total Annual Cost by Zone with trade: $m,2036,69.00637200863918
Mogadishu,Annualized capex: $m,2030,4.446237675697375
Mogadishu,Annualized capex: $m,2036,13.90391170483243
Mogadishu,Fixed O&M: $m,2030,1.951974999351878
Mogadishu,Fixed O&M: $m,2036,6.198370749232246
Mogadishu,Variable O&M: $m,2030,1.8346399930526085
Mogadishu,Variable O&M: $m,2036,6.32297665877159
Mogadishu,Total fuel Costs: $m,2030,0.0003035398584309
Mogadishu,Total fuel Costs: $m,2036,0.0004271369551326
Mogadishu,Transmission additions: $m,2036,0.0006261145818654
Mogadishu,Spinning Reserve costs: $m,2030,0.0139130535220545
Mogadishu,Spinning Reserve costs: $m,2036,0.0152454128621672
Mogadishu,Unmet demand costs: $m,2024,130.99999999999994
Mogadishu,Unmet demand costs: $m,2030,0.0001276361092296
Mogadishu,Unmet demand costs: $m,2036,0.0001770177594657
Mogadishu,Excess generation: $m,2030,0.0001152994100315
Mogadishu,Excess generation: $m,2036,0.0001600043164593
Mogadishu,Capex: $m,2024,1e-11
Mogadishu,Capex: $m,2030,61.15022084681499
Mogadishu,Capex: $m,2036,130.1073602018139
Mogadishu,Unmet reserve costs: $m,2024,5.423883999999996
Mogadishu,Unmet reserve costs: $m,2030,7.803957451329172e-05
Mogadishu,Unmet reserve costs: $m,2036,0.0372624082621091
Mogadishu,Unmet system reserve costs: $m,2024,3.8986134561924966e-05
Mogadishu,Unmet system reserve costs: $m,2030,8.086619297656136e-06
Mogadishu,Unmet system reserve costs: $m,2036,1.3683493434124516e-05
Mogadishu,Import costs with internal zones: $m,2036,2.8677548614940044e-05
Mogadishu,Export revenues with internal zones: $m,2036,-0.0002961727687484
Mogadishu,Trade shared benefits: $m,2036,-0.0006841533835704
Mogadishu,Trade Costs: $m,2036,-0.0009516486037039
Mogadishu,Total Annual Cost by Zone: $m,2024,130.99999999999994
Mogadishu,Total Annual Cost by Zone: $m,2030,8.247312197001607
Mogadishu,Total Annual Cost by Zone: $m,2036,26.441894799311356
Mogadishu,Total Annual Cost by Zone with trade: $m,2024,130.99999999999994
Mogadishu,Total Annual Cost by Zone with trade: $m,2030,8.247312197001607
Mogadishu,Total Annual Cost by Zone with trade: $m,2036,26.44094315070765
SomaliaROC,Annualized capex: $m,2030,2.625405832982415
SomaliaROC,Annualized capex: $m,2036,10.799000426861909
SomaliaROC,Fixed O&M: $m,2030,1.1598568380728345
SomaliaROC,Fixed O&M: $m,2036,4.83521890732533
SomaliaROC,Variable O&M: $m,2030,0.5921182076006968
SomaliaROC,Variable O&M: $m,2036,4.208641620622946
SomaliaROC,Total fuel Costs: $m,2030,0.0003014320702044
SomaliaROC,Total fuel Costs: $m,2036,0.0004264799219531
