c,g,y,value
Kenya,Karura,2036,4.868102871401848e-05
Kenya,Generic_Large_Hydro,2030,2.4334898368287894e-05
Kenya,Generic_Large_Hydro,2036,3.671149890185349e-05
Kenya,High_Grand_Falls_-_I,2030,2.600829194298916e-05
Kenya,High_Grand_Falls_-_I,2036,3.926867936680057e-05
Kenya,High_Grand_Falls_-_II,2030,0.0887627002798717
Kenya,High_Grand_Falls_-_II,2036,0.0884127597720311
Kenya,BESS_4,2030,0.0001203070100066
Kenya,BESS_4,2036,0.0019780628169502
Kenya,Generic_GENC_BESS,2030,0.0001204596442168
Kenya,Generic_GENC_BESS,2036,0.00197916794434
Kenya,Pumped_Hydro,2036,3.802389705017817e-05
Kenya,Menengai_I_Quantum,2024,0.0284072406966981
Kenya,Menengai_I_Quantum,2030,0.0308505027329295
Kenya,Menengai_I_Quantum,2036,0.031480101163441
Kenya,Menengai_I_Sosian,2024,0.0284072406966981
Kenya,Menengai_I_Sosian,2030,0.0308505027329295
Kenya,Menengai_I_Sosian,2036,0.031480101163441
Kenya,Olkaria_1_B_(Rehabilitated),2030,0.0546344922155205
Kenya,Olkaria_1_B_(Rehabilitated),2036,0.0559772176308573
Kenya,Olkaria_1_Unit_6,2024,0.0153924124683747
Kenya,Olkaria_1_Unit_6,2030,0.0338220013412547
Kenya,Olkaria_1_Unit_6,2036,0.0350490974690846
Kenya,Small_Hydro_2021,2024,0.0243872782089517
Kenya,Small_Hydro_2021,2030,0.0240838271840666
Kenya,Small_Hydro_2021,2036,0.024594148501812
Kenya,Small_Hydro_2022,2024,0.0628593149216111
Kenya,Small_Hydro_2022,2030,0.061870789688371
Kenya,Small_Hydro_2022,2036,0.0630139479709622
Kenya,Small_Hydro_2023,2024,0.0120575234350433
Kenya,Small_Hydro_2023,2030,0.0119276558490472
Kenya,Small_Hydro_2023,2036,0.012190013363583
Kenya,Small_Hydro_2024,2024,0.036968991287312
Kenya,Small_Hydro_2024,2030,0.0364628294640299
Kenya,Small_Hydro_2024,2036,0.0372006023271876
Kenya,Small_Hydro_2025,2030,0.2014348166614243
Kenya,Small_Hydro_2025,2036,0.2041632751811266
Kenya,BESS_1_2_3,2024,0.5593863888055499
Kenya,BESS_1_2_3,2030,0.0045654927326166
Kenya,BESS_1_2_3,2036,0.2674883430114935
Kenya,Olkaria_I_,2024,0.0349990558208875
Kenya,Olkaria_I_,2030,0.0377356653310524
Kenya,Olkaria_I_,2036,0.0386187297384723
Kenya,Olkaria_I_units_4_&_5,2024,0.1278355793160408
Kenya,Olkaria_I_units_4_&_5,2030,0.1338320136481137
Kenya,Olkaria_I_units_4_&_5,2036,0.1360753804947096
Kenya,Olkaria_II,2024,0.0840278105949128
Kenya,Olkaria_II,2030,0.0894217871196624
Kenya,Olkaria_IV,2024,0.1278355793160408
Kenya,Olkaria_IV,2030,0.1338320136481137
Kenya,Olkaria_IV,2036,0.1360753804947096
Kenya,Olkaria_Mobile_Wellheads___Eburru,2024,0.0751629078033724
Kenya,Olkaria_Mobile_Wellheads___Eburru,2030,0.080142769703959
Kenya,Olkaria_Mobile_Wellheads___Eburru,2036,0.082246859441961
Kenya,Olkaria_V_,2024,0.1365111019652431
Kenya,Olkaria_V_,2030,0.1439514424811183
Kenya,Olkaria_V_,2036,0.1476204798352891
Kenya,Orpower_4_(I),2024,0.0517438479104073
Kenya,Orpower_4_(I),2030,0.0560373244408816
Kenya,Orpower_4_(II),2024,0.0316614869198704
Kenya,Orpower_4_(II),2030,0.0344148217020161
Kenya,Orpower_4_(II),2036,0.0436672855464931
Kenya,Orpower_4_(III),2024,0.0139171715027349
Kenya,Orpower_4_(III),2030,0.0152227445042576
Kenya,Orpower_4_(III),2036,0.0193339004691389
Kenya,Orpower_4_(IV),2024,0.0278557354024529
Kenya,Orpower_4_(IV),2030,0.0287394152874608
Kenya,Orpower_4_(IV),2036,0.0326912566890657
Kenya,Tsavo,2024,0.1831097789651417
Kenya,Tsavo,2030,0.1752829396622364
Kenya,Gulf_Energy_,2024,0.0954879903523834
Kenya,Gulf_Energy_,2030,0.0919549924421308
Kenya,Gulf_Energy_,2036,0.0972997904571827
Kenya,Iberafrica_I_&II,2024,0.156685343784258
Kenya,Iberafrica_I_&II,2030,0.1503508349606869
Kenya,Kipevu_I_Diesel,2024,0.0705194480547612
Kenya,Kipevu_I_Diesel,2030,0.0680500603458179
Kenya,Kipevu_I_Diesel,2036,0.0721521936458294
Kenya,Kipevu_III_Diesel,2024,0.1407376592003198
Kenya,Kipevu_III_Diesel,2030,0.1351542457537407
Kenya,Kipevu_III_Diesel,2036,0.1425208140373617
Kenya,Muhoroni,2024,0.0656065560643924
Kenya,Muhoroni,2030,0.0633399345662381
Kenya,Muhoroni,2036,0.0671849020957732
Kenya,Rabai_Power,2024,0.1082191717630674
Kenya,Rabai_Power,2030,0.1041241899596951
Kenya,Rabai_Power,2036,0.1100651322791176
Kenya,Thika_Power,2024,0.1043828108148142
Kenya,Thika_Power,2030,0.1004589415560818
Kenya,Thika_Power,2036,0.106222550118789
Kenya,Triumph_Diesel,2024,0.0992904440705316
Kenya,Triumph_Diesel,2030,0.0955928699306386
Kenya,Triumph_Diesel,2036,0.1011177064275455
Kenya,ExistingSmallHydro,2024,0.1680571024872578
Kenya,ExistingSmallHydro,2030,0.1643908779568044
Kenya,ExistingSmallHydro,2036,0.1666991968755599
Kenya,Gitaru,2024,2.227289407292708
Kenya,Gitaru,2030,2.245120987405526
Kenya,Gitaru,2036,2.225771868386764
Kenya,Kamburu,2024,0.6383214337281595
Kenya,Kamburu,2030,0.6212782123299447
Kenya,Kamburu,2036,0.6273239034644211
Kenya,Kiambere,2024,1.7564204607430869
Kenya,Kiambere,2030,1.71692760040208
Kenya,Kiambere,2036,1.7126763180728994
Kenya,Kindaruma,2024,0.5969094462165256
Kenya,Kindaruma,2030,0.578836652792031
Kenya,Kindaruma,2036,0.5827911153208045
Kenya,Masinga,2024,0.1963945518637012
Kenya,Masinga,2030,0.1897577576288336
Kenya,Masinga,2036,0.1945187207709721
Kenya,Sangoro,2024,0.0888993844206023
Kenya,Sangoro,2030,0.0866323865517912
Kenya,Sangoro,2036,0.0890315921541313
Kenya,Sondu,2024,0.4252488610907057
Kenya,Sondu,2030,0.4143371651006296
Kenya,Sondu,2036,0.4168340141705499
Kenya,Tana,2024,0.124399189452307
Kenya,Tana,2030,0.1218588207715183
Kenya,Tana,2036,0.1238511739094213
Kenya,Turkwel,2024,0.0694540610564191
Kenya,Turkwel,2030,0.0675451965999062
Kenya,Turkwel,2036,0.068530974002271
Kenya,BMST_GENC_KEN,2030,2.41212495262884e-05
Kenya,BMST_GENC_KEN,2036,2.4300991725895352e-05
Kenya,NGCC_GENC_KEN,2030,2.3537525506794857e-05
Kenya,NGCC_GENC_KEN,2036,6.506254533114306e-05
Kenya,COSC_GENC_KEN,2030,6.303917103461734e-06
Kenya,COSC_GENC_KEN,2036,8.766637598542432e-06
Kenya,GOCV_GENC_KEN,2030,5.651746387508844e-06
Kenya,GOCV_GENC_KEN,2036,6.043676552795596e-06
Kenya,NGSC_GENC_KEN,2030,3.133836128364213e-05
Kenya,NGSC_GENC_KEN,2036,0.0001546650554524
Kenya,DSRC_GENC_KEN,2030,1.822673181574784e-05
Kenya,DSRC_GENC_KEN,2036,3.927026416470166e-05
Kenya,HFRC_GENC_KEN,2030,2.010736478760793e-05
Kenya,HFRC_GENC_KEN,2036,4.772955588168961e-05
Kenya,HYRO_GENC_KEN,2030,4.2584060449491615e-05
Kenya,HYRO_GENC_KEN,2036,4.350962900087472e-05
Kenya,HYDM_GENC_KEN,2036,0.0013843663255267
Kenya,Batt_GENC_KEN,2030,0.0001204590431111
Kenya,Batt_GENC_KEN,2036,0.0019791657569474
Burundi,CTH_10,2024,0.0204155412346589
Burundi,CTH_10,2030,0.0406484847523732
Burundi,CTH_10,2036,0.0365749395531762
Burundi,CTH_30,2024,0.0397734072508555
Burundi,CTH_30,2030,0.0771603637985323
Burundi,CTH_30,2036,0.0643243523839356
Burundi,CTH_5,2024,0.0038266894824263
Burundi,CTH_5,2030,0.0167201935265691
Burundi,CTH_5,2036,0.0157861193741754
Burundi,Buhiga,2024,0.0036120904733687
Burundi,Buhiga,2030,0.003577862529648
Burundi,Buhiga,2036,0.003521097912806
Burundi,Gikonge,2024,0.0073176686326465
Burundi,Gikonge,2030,0.0071207022533584
Burundi,Gikonge,2036,0.0069553429305678
Burundi,Kayenzi,2024,0.07580900904812
Burundi,Kayenzi,2030,0.0463531007841136
Burundi,Kayenzi,2036,0.0389280543948173
Burundi,Marangara,2024,0.001434932169703
Burundi,Marangara,2030,0.0014359943584492
Burundi,Marangara,2036,0.001420353047889
Burundi,Mugere,2024,0.07580900904812
Burundi,Mugere,2030,0.0463531007841136
Burundi,Mugere,2036,0.0389280543948173
Burundi,Nyemanga,2024,0.0202844200588888
Burundi,Nyemanga,2030,0.0185705430040029
Burundi,Nyemanga,2036,0.0177630772773004
Burundi,Rusumo_Falls,2024,0.239627027863314
Burundi,Rusumo_Falls,2030,0.1221735984028865
Burundi,Rusumo_Falls,2036,0.0984321951114306
Burundi,Ruvyironza,2024,0.0064974907859758
Burundi,Ruvyironza,2030,0.0063304948092801
Burundi,Ruvyironza,2036,0.0061944041676514
Burundi,RUZB_007,2024,0.1202709721389731
Burundi,RUZB_007,2030,0.0798805498330531
Burundi,RUZB_007,2036,0.0690649455851774
Burundi,Ruzizi_I,2024,0.0277291475629351
Burundi,Ruzizi_I,2030,0.0246719130240578
Burundi,Ruzizi_I,2036,0.0233636000728945
Burundi,Ruzizi_II,2024,0.0923043182429299
Burundi,Ruzizi_II,2030,0.0660372156807537
Burundi,Ruzizi_II,2036,0.0583595143914175
Burundi,Rwegura,2024,0.0039013026936354
Burundi,Rwegura,2030,0.0037321206958175
Burundi,Rwegura,2036,0.0035839213808354
Burundi,Dama015,2030,1.680501961729462e-05
Burundi,Dama015,2036,2.686333050105905e-05
Burundi,Kabu16,2030,1.711135068846092e-05
Burundi,Kabu16,2036,2.5913226018191773e-05
Burundi,Kabu23,2030,1.7060245241671747e-05
Burundi,Kabu23,2036,2.5829681970098035e-05
Burundi,Kirasa-karonge,2024,0.1286531308911368
Burundi,Kirasa-karonge,2030,0.0835780301958143
Burundi,Kirasa-karonge,2036,0.0717770245707235
Burundi,Mpanda_BUR,2030,1.695884969055818e-05
Burundi,Mpanda_BUR,2036,2.565596898487657e-05
Burundi,Mule037_(Mulembwe),2030,1.6927340860679948e-05
Burundi,Mule037_(Mulembwe),2036,2.7136138473404688e-05
Burundi,Mulembwe,2030,1.7073889375031453e-05
Burundi,Mulembwe,2036,2.5852359986700133e-05
Burundi,Mushara,2030,1.668366366879626e-05
Burundi,Mushara,2036,2.5140767192815336e-05
Burundi,Sigu011,2030,1.6997624014098918e-05
Burundi,Sigu011,2036,2.5722568580541663e-05
Burundi,Waga_(Kanka),2030,1.8129679855687648e-05
Burundi,Waga_(Kanka),2036,2.132211160148977e-05
Burundi,Centrale_tourbe_(Kayanza),2030,1.1726367900658129e-05
Burundi,Centrale_tourbe_(Kayanza),2036,1.216627909912154e-05
Burundi,Jiji,2030,1.7272951295328125e-05
Burundi,Jiji,2036,2.7362769380461708e-05
Burundi,Ruvyi102_(Ruvyironza),2030,1.5119454469624194e-05
Burundi,Ruvyi102_(Ruvyironza),2036,1.7466493101141938e-05
Burundi,Centrale_thermique_(Dechets_Municipaux),2030,1.0830913018663094e-05
Burundi,Centrale_thermique_(Dechets_Municipaux),2036,1.420775070845331e-05
Burundi,Gikuka_(KIKU002),2030,1.571114284351446e-05
Burundi,Gikuka_(KIKU002),2036,2.0992574301104317e-05
Burundi,BMST_GENC_BUR,2030,5.108099636148742e-06
Burundi,BMST_GENC_BUR,2036,5.96659695941295e-06
Burundi,NGCC_GENC_BUR,2030,0.0003137573925262
Burundi,NGCC_GENC_BUR,2036,0.1586310659963822
Burundi,COSC_GENC_BUR,2030,6.546244977033167e-06
Burundi,COSC_GENC_BUR,2036,7.647848034991955e-06
Burundi,NGSC_GENC_BUR,2030,0.2434530216785713
Burundi,NGSC_GENC_BUR,2036,0.1744741023806183
Burundi,DSRC_GENC_BUR,2030,2.2881397996543745e-05
Burundi,DSRC_GENC_BUR,2036,2.262582834935836e-05
Burundi,HFRC_GENC_BUR,2030,2.566163413740029e-05
Burundi,HFRC_GENC_BUR,2036,2.538930853331845e-05
Burundi,HYDM_GENC_BUR,2036,1.7211641797147116e-05
Djibouti,South,2024,0.0179585867087327
Djibouti,South,2030,0.0159904777291254
Djibouti,South,2036,0.016119885911493
Djibouti,OCGT,2036,0.0003767355179553
Djibouti,CCGT,2036,1.983864552984831e-05
Djibouti,BoulaosM01,2024,0.0099444133256046
Djibouti,BoulaosM01,2030,0.0075692448300642
Djibouti,BoulaosM01,2036,0.007749125195171
Djibouti,BoulaosM02,2024,0.0099444133256046
Djibouti,BoulaosM02,2030,0.0075692448300642
Djibouti,BoulaosM02,2036,0.007749125195171
Djibouti,BoulaosM03,2024,0.0099444133256046
Djibouti,BoulaosM03,2030,0.0075692448300642
Djibouti,BoulaosM03,2036,0.007749125195171
Djibouti,BoulaosM04,2024,0.0099444133256046
Djibouti,BoulaosM04,2030,0.0075692448300642
Djibouti,BoulaosM04,2036,0.007749125195171
Djibouti,BoulaosM05,2024,0.0086196060785278
Djibouti,BoulaosM05,2030,0.0081383128506872
Djibouti,BoulaosM05,2036,0.0081746937972698
Djibouti,BoulaosM06,2024,0.0099444133256046
Djibouti,BoulaosM06,2030,0.0075692448300642
Djibouti,BoulaosM06,2036,0.007749125195171
Djibouti,ICE_Aggregate_DJI,2024,0.0410080960722783
Djibouti,ICE_Aggregate_DJI,2030,0.0322469405471031
Djibouti,ICE_Aggregate_DJI,2036,0.0327614628818027
Djibouti,Obock,2024,0.0179584984294709
Djibouti,Obock,2030,0.0159895184075458
Djibouti,Obock,2036,0.0161190220838425
Djibouti,Tadjourah,2024,0.0131991697909294
Djibouti,Tadjourah,2030,0.0121007842267692
Djibouti,Tadjourah,2036,0.0121772893419891
Djibouti,MaraboutG12,2024,0.0334807487157231
Djibouti,MaraboutG12,2030,0.0210043955655955
Djibouti,MaraboutG13,2024,0.0227836765193524
Djibouti,MaraboutG14,2024,0.0227836765193524
Djibouti,MaraboutG15,2024,0.0227836765193524
Djibouti,MaraboutG16,2024,0.0227836765193524
Djibouti,MaraboutG17,2024,0.0334807487157231
Djibouti,MaraboutG17,2030,0.0210043955655955
Djibouti,MaraboutG18,2024,0.0334807487157231
Djibouti,MaraboutG18,2030,0.0210043955655955
Djibouti,MaraboutG21,2024,0.0440293486902069
Djibouti,MaraboutG21,2030,0.0342429227823373
Djibouti,MaraboutG21,2036,0.0349350349768643
Djibouti,MaraboutG22,2024,0.0680262623752475
Djibouti,MaraboutG22,2030,0.0476825293776573
Djibouti,MaraboutG22,2036,0.0489822623848601
Djibouti,MaraboutG23,2024,0.0329817170784372
Djibouti,MaraboutG23,2030,0.0271189369134461
Djibouti,MaraboutG25,2024,0.0618056244064401
Djibouti,MaraboutG25,2030,0.0444212107485181
Djibouti,MaraboutG25,2036,0.0455508316033251
Djibouti,MaraboutG31,2024,0.0227836765193524
Djibouti,MaraboutG31,2030,0.0159104248754066
Djibouti,MaraboutG31,2036,0.0161126842956024
Djibouti,MaraboutG32,2024,0.0177211912568062
Djibouti,MaraboutG32,2030,0.0159090732002038
Djibouti,MaraboutG32,2036,0.0161119453433719
Djibouti,Battery_5MW_DJI,2030,0.0307343515442506
Djibouti,Battery_5MW_DJI,2036,0.0102014608945647
Djibouti,HFO_Project_01_DJI,2030,0.0492152448914098
Djibouti,HFO_Project_01_DJI,2036,0.0481341327692632
Djibouti,HFO_Project_02_DJI,2030,0.0492152448914098
Djibouti,HFO_Project_02_DJI,2036,0.0481341327692632
Djibouti,HFO_Project_03_DJI,2030,0.0492152448914098
Djibouti,HFO_Project_03_DJI,2036,0.0481341327692632
Djibouti,HFO_Project_04_DJI,2036,0.0481341327692632
Djibouti,HFO_Project_05_DJI,2036,0.0716151979511146
Djibouti,PolyGCL1,2030,1.9991466795326536e-05
Djibouti,PolyGCL1,2036,2.1246005445216827e-05
Djibouti,Geoth,2024,7.141270406053642e-06
Djibouti,Geoth,2030,7.053494688105777e-06
Djibouti,Geoth,2036,7.173049429701937e-06
Djibouti,Centrale_bifuel1,2036,0.000189028754729
Djibouti,Centrale_bifuel2,2036,0.000189028754729
Djibouti,Centrale_bifuel3,2036,0.000376854635048
Djibouti,BMST_GENC_DJI,2030,1.727235384615331e-05
Djibouti,BMST_GENC_DJI,2036,1.963769258623166e-05
Djibouti,DSRC_GENC_DJI,2030,2.779290461162421e-05
Djibouti,DSRC_GENC_DJI,2036,3.841113194091105e-05
Djibouti,HFRC_GENC_DJI,2030,3.281071264633587e-05
Djibouti,HFRC_GENC_DJI,2036,4.675943336675641e-05
Djibouti,Batt_GENC_DJI,2030,0.0515435397702773
Djibouti,Batt_GENC_DJI,2036,0.0282079890797663
DRC,Lubero,2024,0.2172618514733003
DRC,Lubero,2030,0.1873119169980447
DRC,Lubero,2036,0.1911829229512693
DRC,LungudiII,2024,5.528727067253079e-05
DRC,LungudiII,2030,3.389759969495354e-05
DRC,LungudiII,2036,3.251493483626174e-05
DRC,Matebe,2024,0.2034525269710996
DRC,Matebe,2030,0.1738684008027665
DRC,Matebe,2036,0.1779379063223249
DRC,Ruzizi_III_DRC,2036,2.337001268211075e-05
DRC,VIRUNGATalyiaNord1TalyiaNord2Ivugha,2024,0.4563784475781087
DRC,VIRUNGATalyiaNord1TalyiaNord2Ivugha,2030,0.7200041651309708
DRC,VIRUNGATalyiaNord1TalyiaNord2Ivugha,2036,0.7020572565687497
DRC,Ruzizi_I_DRC,2024,0.1672024887403802
DRC,Ruzizi_I_DRC,2030,0.1391597206747997
DRC,Ruzizi_I_DRC,2036,0.1430016662199307
DRC,Ruzizi_II_DRCMutwanga,2024,0.1260943204390517
DRC,Ruzizi_II_DRCMutwanga,2030,0.0504985192901095
DRC,Ruzizi_II_DRCMutwanga,2036,0.0531808503913075
DRC,BMST_GENC_DRE,2030,0.0423936481495533
DRC,BMST_GENC_DRE,2036,0.0407471963798106
DRC,DSRC_GENC_DRE,2030,2.877217505117787e-05
DRC,DSRC_GENC_DRE,2036,3.934108968884547e-05
DRC,HFRC_GENC_DRE,2030,3.378062537170855e-05
DRC,HFRC_GENC_DRE,2036,4.78986820326846e-05
DRC,HYRO_GENC_DRE,2030,5.471744030683241e-05
DRC,HYRO_GENC_DRE,2036,5.22300366433354e-05
DRC,HYDM_GENC_DRE,2036,3.375125307495116e-05
DRC,Batt_GENC_DRE,2030,0.0007456907664112
DRC,Batt_GENC_DRE,2036,0.0058453605937742
Egypt,GENC_CCGT,2030,1.3712789806214989e-05
Egypt,GENC_CCGT,2036,7.34994230996867e-05
Egypt,GENC_CCS,2036,7.524318330806792e-06
Egypt,Generic_GENC_GT,2030,2.96019970483939e-05
Egypt,Generic_GENC_GT,2036,2.6196676058525714
Egypt,Generic_GENC_RICE,2030,6.127696321217925e-05
Egypt,Generic_GENC_RICE,2036,0.0002517444430026
Egypt,El-Dabaa_NPP-1_NU,2030,0.4341553575292124
Egypt,El-Dabaa_NPP-1_NU,2036,0.3654806714298762
Egypt,El-Dabaa_NPP-2_NU,2030,0.4341553575292124
Egypt,El-Dabaa_NPP-2_NU,2036,0.3654806714298762
Egypt,El-Dabaa_NPP-3_NU,2036,0.3654806714298762
Egypt,El-Dabaa_NPP-4_NU,2036,0.554661650947444
Egypt,6Oct-Ext-1_CCGT,2024,0.7042731727363573
Egypt,6Oct-Ext-1_CCGT,2030,0.7198860528986399
Egypt,6Oct-Ext-1_CCGT,2036,0.6863600559759278
Egypt,6Oct-Ext-2_CCGT,2024,0.4849380085493662
Egypt,6Oct-Ext-2_CCGT,2030,0.4860716709368058
Egypt,6Oct-Ext-2_CCGT,2036,0.442580502137019
Egypt,Banha_CCGT,2024,0.3477373556196244
Egypt,Banha_CCGT,2030,0.3765247443614969
Egypt,Banha_CCGT,2036,0.3989287391915868
Egypt,Beni-Suef-1_CCGT,2024,0.0971622515686857
Egypt,Beni-Suef-1_CCGT,2030,0.1048401338265307
Egypt,Beni-Suef-1_CCGT,2036,0.1161430350831977
Egypt,Beni-Suef-2_CCGT,2024,0.0971622515686857
Egypt,Beni-Suef-2_CCGT,2030,0.1048401338265307
Egypt,Beni-Suef-2_CCGT,2036,0.1161430350831977
Egypt,Beni-Suef-3_CCGT,2024,0.0971622515686857
Egypt,Beni-Suef-3_CCGT,2030,0.1048401338265307
Egypt,Beni-Suef-3_CCGT,2036,0.1161430350831977
Egypt,Beni-Suef-4_CCGT,2024,0.0971622515686857
Egypt,Beni-Suef-4_CCGT,2030,0.1048401338265307
Egypt,Beni-Suef-4_CCGT,2036,0.1161430350831977
Egypt,Burullus-1_CCGT,2024,0.0971622515686857
Egypt,Burullus-1_CCGT,2030,0.1048401338265307
Egypt,Burullus-1_CCGT,2036,0.1161430350831977
Egypt,Burullus-2_CCGT,2024,0.0971622515686857
Egypt,Burullus-2_CCGT,2030,0.1048401338265307
Egypt,Burullus-2_CCGT,2036,0.1161430350831977
Egypt,Burullus-3_CCGT,2024,0.0971622515686857
Egypt,Burullus-3_CCGT,2030,0.1048401338265307
Egypt,Burullus-3_CCGT,2036,0.1161430350831977
Egypt,Burullus-4_CCGT,2024,0.0971622515686857
Egypt,Burullus-4_CCGT,2030,0.1048401338265307
Egypt,Burullus-4_CCGT,2036,0.1161430350831977
Egypt,Cairo-North-1_CCGT,2024,0.3477145365740995
Egypt,Cairo-North-1_CCGT,2030,0.3764957138332361
Egypt,Cairo-North-1_CCGT,2036,0.398941705334932
Egypt,Cairo-North-2_CCGT,2024,0.3477145365740995
Egypt,Cairo-North-2_CCGT,2030,0.3764957138332361
Egypt,Cairo-North-2_CCGT,2036,0.398941705334932
Egypt,Cairo-South_CCGT,2024,0.2813452295896916
Egypt,Daman-Hour_CCGT,2024,0.2481211439686762
Egypt,El-Atf_CCGT,2024,0.4693830602123405
Egypt,El-Atf_CCGT,2030,0.4997897816260686
Egypt,El-Atf_CCGT,2036,0.5180184148363853
Egypt,Giza-1_CCGT,2024,0.283130719185566
Egypt,Giza-1_CCGT,2030,0.3065155320909655
