g,tech,f,value
New_PV_NAM,PV,Solar,1.0
Tsamela_Solar_SWZ,PV,Solar,1.0
New_PV_SWZ,PV,Solar,1.0
New_PV_ZAF,PV,Solar,1.0
New_PV_ZMB,PV,Solar,1.0
New_PV_ZWE,PV,Solar,1.0
NewCCGTNG_TH_LSO,CCGT,LNG,1.0
NewCCGTNG_TH_SWZ,CCGT,LNG,1.0
NewGas_ZAF,CCGT,Gas,1.0
NEWSto_BWA,Storage,Battery,1.0
NgodwanaEnergyProject_BIO_ZAF,ST,Biomass,1.0
"Nkula_(A,B)_+_upgrade_HY_MWI",ReservoirHydro,Water,1.0
Nseke_HY_DRC,ReservoirHydro,Water,1.0
Nzilo_HY_DRC,ReservoirHydro,Water,1.0
Nzongo_HY_DRC,ReservoirHydro,Water,1.0
NzongoII_HY_DRC,ReservoirHydro,Water,1.0
Nzoro_HY_DRC,ReservoirHydro,Water,1.0
Omburru_BESS_NAM,Storage,Battery,1.0
Omburru_PV_Nam,PV,Solar,1.0
Orapa1and2_TH_BWA,OCGT,HFO,1.0
Otikojoto_Biomass_NAM,ST,Biomass,1.0
Oxbow_HY_LSO,ReservoirHydro,Water,1.0
PalmietPH_HY_ZAF,Storage,Water,1.0
Paratus_TH_NAM,ICE,HFO,1.0
PortRexGas_TH_ZAF,OCGT,HFO,1.0
PretoriaWest_TH_ZAF,ST,Coal,1.0
PV_2027_MWI,PV,Solar,1.0
PV_2030_MWI,PV,Solar,1.0
PV_Caraculo_OffGrid,PV,Solar,1.0
Quilengues_HY_AGO,ReservoirHydro,Water,1.0
RessanoGarciaEDM/Sasol_TH_MOZ,OCGT,Gas,1.0
RessanoGarciaGigawatt_TH_MOZ,OCGT,Gas,1.0
RochaPinto_TH_AGO,OCGT,Gas,1.0
Rooiwal_TH_ZAF,ST,Coal,1.0
RoshPinah_PV_NAM,PV,Solar,1.0
RoshPinah_Wind_NAM,OnshoreWind,Wind,1.0
RuacanaFlex_HY_NAM,ReservoirHydro,Water,1.0
RuacanaROR_HY_NAM,ReservoirHydro,Water,1.0
Rukuru_C_MWI,ST,Coal,1.0
Ruzizi12Tshopo_HY_DRC,ReservoirHydro,Water,1.0
Ruzizi3_HY_DRC,ReservoirHydro,Water,1.0
Ruzizi4_HY_DRC,ReservoirHydro,Water,1.0
CahoraBassa2_HY_MOZ,ReservoirHydro,Water,1.0
CahoraBassa_Extension_HY_MOZ,ReservoirHydro,Water,1.0
SA_SolarPrivate25_REN_ZAF,PV,Solar,1.0
SA_SolarPrivate26_REN_ZAF,PV,Solar,1.0
SA_SolarPrivate27_REN_ZAF,PV,Solar,1.0
SA_SolarPrivate29_REN_ZAF,PV,Solar,1.0
SA_SolarPublicProcurement25_REN_ZAF,PV,Solar,1.0
SA_SolarPublicProcurement26_REN_ZAF,PV,Solar,1.0
SA_SolarPublicProcurement27_REN_ZAF,PV,Solar,1.0
SA_WindEskom28_REN_ZAF,OnshoreWind,Wind,1.0
SA_WindPrivate25_REN_ZAF,OnshoreWind,Wind,1.0
SA_WindPrivate26_REN_ZAF,OnshoreWind,Wind,1.0
SA_WindPrivate27_REN_ZAF,OnshoreWind,Wind,1.0
SA_WindPrivate28_REN_ZAF,OnshoreWind,Wind,1.0
SA_WindPrivate29_REN_ZAF,OnshoreWind,Wind,1.0
SA_WindPublicProcurement25_REN_ZAF,OnshoreWind,Wind,1.0
SACCGTNG_TH_ZAF,CCGT,LNG,1.0
SACCGTNG2027_TH_ZAF,CCGT,Gas,1.0
SACCGTNG2028_TH_ZAF,CCGT,Gas,1.0
SACCGTNGcan_TH_ZAF,CCGT,LNG,1.0
SACSP_REN_ZAF,CSPPlant,CSP,1.0
SAGenericBiomass_BIO_ZAF,ST,Biomass,1.0
Salima_PV_MWI,PV,Solar,1.0
SANuclear_NU_ZAF,ST,Uranium,1.0
SAOCGTNG_TH_ZAF,OCGT,Gas,1.0
Sasolburg_TH_ZAF,OCGT,Gas,1.0
Secunda(SasolChemical)_TH_ZAF,ST,Coal,1.0
Secunda(SasolSynthetic)_TH_ZAF,OCGT,Gas,1.0
Serengeti_Nkhotakota,PV,Solar,1.0
SolarRound(PV)_ZMB,PV,Solar,1.0
SolarRound(PV)New_ZMB,PV,Solar,1.0
Sombwe_HY_DRC,ReservoirHydro,Water,1.0
SreenbrasPH_HY_ZAF,Storage,Water,1.0
SwazilandBiomass_BIO_SWZ,ST,Biomass,1.0
"Tedzani_I,_II,_III_HY_MWI",ReservoirHydro,Water,1.0
Tedzani_IV_HY_MWI,ReservoirHydro,Water,1.0
Temane_TH_MOZ,OCGT,Gas,1.0
Temane2_TH_MOZ,OCGT,Gas,1.0
Titan_TH_ZWE,ST,Coal,1.0
Tutuka_TH_ZAF,ST,Coal,1.0
Vanderkloof_HY_ZAF,ReservoirHydro,Water,1.0
VanEck_TH_NAM,ST,Coal,1.0
VictoriaFalls_HY_ZMB,ReservoirHydro,Water,1.0
Vuka_HY_AGO,ReservoirHydro,Water,1.0
Waste_to_energy_(Blantyre)_BM_MWI,ST,Biomass,1.0
Wind_2030_MWI,OnshoreWind,Wind,1.0
Wovwe_additional_HY_MWI,ReservoirHydro,Water,1.0
Wovwe_HY_MWI,ReservoirHydro,Water,1.0
ZambiaOCGTDiesel_TH_ZMB,ICE,Diesel,1.0
Zenzo_HY_AGO,ReservoirHydro,Water,1.0
ZhongJinHeli_TH_ZWE,ST,Coal,1.0
ZhongXinIPP_Phase2_TH_ZWE,ST,Coal,1.0
ZhongXinIPP_TH_ZWE,ST,Coal,1.0
ZimbabweNG_TH_ZWE,ICE,HFO,1.0
Zimplats_PV_ZWE,PV,Solar,1.0
ZPCSolarCSP_TH_ZWE,CSPPlant,CSP,1.0
ZZEE_TH_ZWB,ST,Coal,1.0
SACCGTNG2029_TH_ZAF,CCGT,Gas,1.0
SACCGTNG2030_TH_ZAF,CCGT,Gas,1.0
Hale,ROR,Water,1.0
Kinyerezi_II,CCGT,Gas,1.0
Hydro_TZA_Candidate,ROR,Water,1.0
Songas,OCGT,Gas,1.0
Kinyerezi_I_Ext,OCGT,Gas,1.0
Iringa_Ibosa,ROR,Water,1.0
Kinyerezi_I,OCGT,Gas,1.0
Ubungo_II,OCGT,Gas,1.0
Ubungo_III,OCGT,Gas,1.0
Ubongo_I,ICE,Gas,1.0
Iringa_Nginayo,ROR,Water,1.0
FuelOil_TZA,ICE,HFO,1.0
JNHPP_1,ReservoirHydro,Water,1.0
Diesel_TZA,ICE,Diesel,1.0
Tegeta,ICE,Gas,1.0
JNHPP_2,ReservoirHydro,Water,1.0
Mtwara,OCGT,Gas,1.0
Kakono,ROR,Water,1.0
TPC_Bio,ST,Biomass,1.0
Kidatu,ReservoirHydro,Water,1.0
Somanga,OCGT,Gas,1.0
Small_PV,PV,Solar,1.0
Small_Wind,OnshoreWind,Wind,1.0
Tanwat_Bio,ST,Biomass,1.0
Bagamoyo,CCGT,Gas,1.0
Biomass_TZ_Candidate,ST,Biomass,1.0
Kidunda,ROR,Water,1.0
Kihansi,ROR,Water,1.0
Kikonge,ReservoirHydro,Water,1.0
Malagarasi,ROR,Water,1.0
Kibo_Mining,ST,Coal,1.0
Kiejo_Mbaka_I,ST,Geothermal,1.0
Kiejo_Mbaka_II,ST,Geothermal,1.0
Masigira,ROR,Water,1.0
Kinyerezi_IV,CCGT,Gas,1.0
Kinyezeri_III_PH_I,OCGT,Gas,1.0
Kinyezeri_III_PH_II,CCGT,Gas,1.0
Kisaki,ST,Geothermal,1.0
Kishapu_I,PV,Solar,1.0
Kishapu_II,PV,Solar,1.0
Kishapu_III,PV,Solar,1.0
Kiwira_I,ST,Coal,1.0
Kiwira_II,ST,Coal,1.0
Kiwira_III,ST,Coal,1.0
Mnyera_Kisingo,ROR,Water,1.0
Mchuchuma_I,ST,Coal,1.0
Mchuchuma_II,ST,Coal,1.0
Mchuchuma_III,ST,Coal,1.0
Mchuchuma_IV,ST,Coal,1.0
Mkuranga,CCGT,Gas,1.0
Mnyera_Kwanini,ROR,Water,1.0
Mnyera_Mnyera,ROR,Water,1.0
Mnyera_Pumbwe,ROR,Water,1.0
Mnyera_Ruaha,ReservoirHydro,Water,1.0
Mnyera_Taveta,ROR,Water,1.0
Mpanga,ReservoirHydro,Water,1.0
Mtwara_I,CCGT,Gas,1.0
Mtwara_II,CCGT,Gas,1.0
Natron,ST,Geothermal,1.0
New_OnshoreWind_TZA,OnshoreWind,Wind,1.0
New_PV_TZA,PV,Solar,1.0
Ngaka_I,ST,Coal,1.0
Ngaka_II,ST,Coal,1.0
Ngozi_I,ST,Geothermal,1.0
Ngozi_II,ST,Geothermal,1.0
Mtera,ReservoirHydro,Water,1.0
Rukwa_I,ST,Coal,1.0
Rukwa_II,ST,Coal,1.0
New_Pangani_Falls,ROR,Water,1.0
Nyumba_Ya_Mungu,ReservoirHydro,Water,1.0
Singida_II,OnshoreWind,Wind,1.0
SingidaWind2_REN_TZA,OnshoreWind,Wind,1.0
Ruhudji,ReservoirHydro,Water,1.0
Rumakali,ReservoirHydro,Water,1.0
SmallPV_2025,PV,Solar,1.0
SmallPV_2026,PV,Solar,1.0
Somanga_Mtama,CCGT,Gas,1.0
Somanga_PPP,CCGT,Gas,1.0
Somanga_Tanesco,CCGT,Gas,1.0
Rusumo_HY_TZA,ROR,Water,1.0
SmallHydro_2025,ReservoirHydro,Water,1.0
SmallHydro_2026,ReservoirHydro,Water,1.0
BESS_TZA_Candidate,Storage,Battery,1.0
SmallHydro_2027,ReservoirHydro,Water,1.0
SmallHydro_TZA,ROR,Water,1.0
Songwe_Manolo,ReservoirHydro,Water,1.0
Songwe_Sofre,ReservoirHydro,Water,1.0
Upper_Kihansi,ROR,Water,1.0
