z,y,value
Tanzania,2025,2298.27
Tanzania,2026,2719.57
Tanzania,2027,3135.99
Tanzania,2028,3618.48
Tanzania,2029,3917.0
Tanzania,2030,4312.38
Tanzania,2031,4588.81
Tanzania,2032,4764.04
Tanzania,2033,4916.41
Tanzania,2034,5063.82
Tanzania,2035,5212.26
Tanzania,2036,5354.25
Tanzania,2037,5503.7
Tanzania,2038,5646.25
Tanzania,2039,5930.24
Tanzania,2040,6089.12
DRC,2025,1130.969479
DRC,2026,1176.208258
DRC,2027,1223.256588
DRC,2028,1272.186852
DRC,2029,1323.074326
DRC,2030,1375.997299
DRC,2031,1431.037191
DRC,2032,1488.278679
DRC,2033,1547.809826
DRC,2034,1609.722219
DRC,2035,1674.111108
DRC,2036,1741.075552
DRC,2037,1810.718574
DRC,2038,1883.147317
DRC,2039,1958.47321
DRC,2040,2036.812138
Malawi,2025,504.0
Malawi,2026,577.0
Malawi,2027,612.0
Malawi,2028,658.0
Malawi,2029,719.0
Malawi,2030,769.0
Malawi,2031,828.0
Malawi,2032,894.0
Malawi,2033,970.0
Malawi,2034,1042.0
Malawi,2035,1124.0
Malawi,2036,1208.0
Malawi,2037,1300.0
Malawi,2038,1400.0
Malawi,2039,1510.0
Malawi,2040,1629.0
DRC_South,2025,2042.155312
DRC_South,2026,2080.055485
DRC_South,2027,2119.033803
DRC_South,2028,2159.129016
DRC_South,2029,2200.381376
DRC_South,2030,2242.832702
DRC_South,2031,2286.526441
DRC_South,2032,2331.507735
DRC_South,2033,2377.823483
DRC_South,2034,2425.522415
DRC_South,2035,2474.655165
DRC_South,2036,2525.274342
DRC_South,2037,2577.434617
DRC_South,2038,2631.192796
DRC_South,2039,2686.60791
DRC_South,2040,2743.741302
Mozal,2025,1032.9259313272144
Mozal,2026,1035.470083736322
Mozal,2027,1038.014236401341
Mozal,2028,1040.558388810448
Mozal,2029,1043.1025414754674
Mozal,2030,1045.6466941404865
Mozal,2031,1048.1908465495942
Mozal,2032,1050.7349992146133
Mozal,2033,1053.2791516237216
Mozal,2034,1055.8233042887405
Mozal,2035,1058.3674566978466
Mozal,2036,1060.9116093628672
Mozal,2037,1063.4557617719727
Mozal,2038,1065.999914436993
Mozal,2039,1068.5440668461008
Mozal,2040,1071.088219511119
