c,sumhdr,y,value
South_Africa,Export revenues with internal zones: $m,2039,-1.330399474763316
South_Africa,Export revenues with internal zones: $m,2040,-1.4031610280802522
South_Africa,Trade shared benefits: $m,2025,-0.03831427634893505
South_Africa,Trade shared benefits: $m,2026,-0.030694553076824383
South_Africa,Trade shared benefits: $m,2027,-0.08189365085403989
South_Africa,Trade shared benefits: $m,2028,-0.032956145798879274
South_Africa,Trade shared benefits: $m,2029,-0.040141210890184985
South_Africa,Trade shared benefits: $m,2030,-0.0646457712079877
South_Africa,Trade shared benefits: $m,2031,-0.05710895260360997
South_Africa,Trade shared benefits: $m,2032,-0.037894932186175456
South_Africa,Trade shared benefits: $m,2033,-0.05359956756911523
South_Africa,Trade shared benefits: $m,2034,-0.08105811433700842
South_Africa,Trade shared benefits: $m,2035,-0.08191841023869639
South_Africa,Trade shared benefits: $m,2036,-0.11841612058528792
South_Africa,Trade shared benefits: $m,2037,-0.15406214853491887
South_Africa,Trade shared benefits: $m,2038,-0.3960299225842542
South_Africa,Trade shared benefits: $m,2039,-0.29252372269895155
South_Africa,Trade shared benefits: $m,2040,-0.30892915865518517
Lesotho,Generation costs: $m,2026,3.8997295726
Lesotho,Generation costs: $m,2027,8.34860144342512
Lesotho,Generation costs: $m,2028,11.393093100554141
Lesotho,Generation costs: $m,2029,12.638359718603141
Lesotho,Generation costs: $m,2030,14.006116571216177
Lesotho,Generation costs: $m,2031,14.489674872411351
Lesotho,Generation costs: $m,2032,14.899910703127487
Lesotho,Generation costs: $m,2033,15.83317805972021
Lesotho,Generation costs: $m,2034,19.534774924828646
Lesotho,Generation costs: $m,2035,19.557251585032276
Lesotho,Generation costs: $m,2036,19.57775676060765
Lesotho,Generation costs: $m,2037,23.279231022437802
Lesotho,Generation costs: $m,2038,23.09670195201418
Lesotho,Generation costs: $m,2039,28.160003500636698
Lesotho,Generation costs: $m,2040,33.28971539921865
Lesotho,Fixed O&M: $m,2025,3.4525025536261458
Lesotho,Fixed O&M: $m,2026,4.4559841740850565
Lesotho,Fixed O&M: $m,2027,5.906030389363737
Lesotho,Fixed O&M: $m,2028,6.838035381750451
Lesotho,Fixed O&M: $m,2029,7.169029452094656
Lesotho,Fixed O&M: $m,2030,7.405596026058375
Lesotho,Fixed O&M: $m,2031,7.87887022717171
Lesotho,Fixed O&M: $m,2032,8.313460184641919
Lesotho,Fixed O&M: $m,2033,8.809251734839801
Lesotho,Fixed O&M: $m,2034,9.79094120026588
Lesotho,Fixed O&M: $m,2035,10.090567628273083
Lesotho,Fixed O&M: $m,2036,10.397641710197906
Lesotho,Fixed O&M: $m,2037,11.23915094654105
Lesotho,Fixed O&M: $m,2038,11.376165026411316
Lesotho,Fixed O&M: $m,2039,12.338009448403396
Lesotho,Fixed O&M: $m,2040,12.837565496129592
Lesotho,Variable O&M: $m,2025,0.2881989033707863
Lesotho,Variable O&M: $m,2026,0.27907688071216574
Lesotho,Variable O&M: $m,2027,0.2679456091168098
Lesotho,Variable O&M: $m,2028,0.26040709143079405
Lesotho,Variable O&M: $m,2029,0.24465782554326135
Lesotho,Variable O&M: $m,2030,0.23797167743443642
Lesotho,Variable O&M: $m,2031,0.23047857825068377
Lesotho,Variable O&M: $m,2032,0.22291892778126646
Lesotho,Variable O&M: $m,2033,0.21503244900727247
Lesotho,Variable O&M: $m,2034,0.20814418230457823
Lesotho,Variable O&M: $m,2035,0.2009867521393288
Lesotho,Variable O&M: $m,2036,0.19861953449409306
Lesotho,Variable O&M: $m,2037,0.2424872423297416
Lesotho,Variable O&M: $m,2038,0.23952099145269656
Lesotho,Variable O&M: $m,2039,0.3011277031834118
Lesotho,Variable O&M: $m,2040,0.36698476184577633
Lesotho,Unmet demand costs: $m,2025,0.7290966222297461
Lesotho,Unmet demand costs: $m,2026,0.9063755127819216
Lesotho,Unmet country spinning reserve costs: $m,2025,7.312277013278847
Lesotho,Unmet country spinning reserve costs: $m,2026,8.555703729970311
Lesotho,Unmet country spinning reserve costs: $m,2027,0.01985091616275059
Lesotho,Unmet country spinning reserve costs: $m,2028,0.16062057560448323
Lesotho,Unmet country spinning reserve costs: $m,2029,0.020768051591194357
Lesotho,Unmet country spinning reserve costs: $m,2033,0.0003906207746262269
Lesotho,Unmet country spinning reserve costs: $m,2034,0.12921735182179045
Lesotho,Unmet country spinning reserve costs: $m,2035,0.15491797950986672
Lesotho,Unmet country spinning reserve costs: $m,2036,0.17321513265658436
Lesotho,Unmet country spinning reserve costs: $m,2037,0.00010274040349374662
Lesotho,Unmet country spinning reserve costs: $m,2038,0.000363540052968329
Lesotho,Unmet country planning reserve costs: $m,2025,2.065372829417772
Lesotho,Unmet country planning reserve costs: $m,2026,2.195845697329375
Lesotho,Unmet country planning reserve costs: $m,2027,0.06267806267806252
Lesotho,Unmet system planning reserve costs: $m,2034,0.11103979224852323
Lesotho,Unmet system planning reserve costs: $m,2035,0.028272808155168038
Lesotho,Import costs with internal zones: $m,2025,42.6362083959727
Lesotho,Import costs with internal zones: $m,2026,25.914791688651793
Lesotho,Import costs with internal zones: $m,2027,14.044112091768207
Lesotho,Import costs with internal zones: $m,2028,12.672370609186109
Lesotho,Import costs with internal zones: $m,2029,14.406801529282248
Lesotho,Import costs with internal zones: $m,2030,10.89040663479191
Lesotho,Import costs with internal zones: $m,2031,10.864109461118474
Lesotho,Import costs with internal zones: $m,2032,10.881072686516005
Lesotho,Import costs with internal zones: $m,2033,11.2819914292035
Lesotho,Import costs with internal zones: $m,2034,10.471722452383123
Lesotho,Import costs with internal zones: $m,2035,11.147876252197074
Lesotho,Import costs with internal zones: $m,2036,11.575624528954243
Lesotho,Import costs with internal zones: $m,2037,7.306213523715068
Lesotho,Import costs with internal zones: $m,2038,7.499377330790121
Lesotho,Import costs with internal zones: $m,2039,3.987204546166622
Lesotho,Import costs with internal zones: $m,2040,1.3667350094761233
Lesotho,Export revenues with internal zones: $m,2026,-0.6574576579553005
Lesotho,Export revenues with internal zones: $m,2027,-4.239636063367749
Lesotho,Export revenues with internal zones: $m,2028,-10.027537697869864
Lesotho,Export revenues with internal zones: $m,2029,-8.478913073872866
Lesotho,Export revenues with internal zones: $m,2030,-5.843226977794081
Lesotho,Export revenues with internal zones: $m,2031,-5.512701782543223
Lesotho,Export revenues with internal zones: $m,2032,-5.345110252686822
Lesotho,Export revenues with internal zones: $m,2033,-5.494230239232313
Lesotho,Export revenues with internal zones: $m,2034,-7.196494417361252
Lesotho,Export revenues with internal zones: $m,2035,-6.672010957985281
Lesotho,Export revenues with internal zones: $m,2036,-6.7197213281957575
Lesotho,Export revenues with internal zones: $m,2037,-6.475713165469891
Lesotho,Export revenues with internal zones: $m,2038,-6.608866654025444
