uni_0,uni_1,uni_2,uni_3,uni_4,value
Benin,Wind,dry,2,t20,0.607
Benin,Wind,dry,2,t21,0.621
Benin,Wind,dry,2,t22,0.591
Benin,Wind,dry,2,t23,0.544
Benin,Wind,dry,2,t24,0.507
Benin,Wind,dry,3,t01,0.18
Benin,Wind,dry,3,t02,0.169
Benin,Wind,dry,3,t03,0.152
Benin,Wind,dry,3,t04,0.144
Benin,Wind,dry,3,t05,0.137
Benin,Wind,dry,3,t06,0.126
Benin,Wind,dry,3,t07,0.086
Benin,Wind,dry,3,t08,0.091
Benin,Wind,dry,3,t09,0.089
Benin,Wind,dry,3,t10,0.042
Benin,Wind,dry,3,t11,0.008
Benin,Wind,dry,3,t16,0.001
Benin,Wind,dry,3,t17,0.001
Benin,Wind,dry,3,t18,0.001
Benin,Wind,dry,3,t19,0.003
Benin,Wind,dry,3,t20,0.031
Benin,Wind,dry,3,t21,0.097
Benin,Wind,dry,3,t22,0.159
Benin,Wind,dry,3,t23,0.178
Benin,Wind,dry,3,t24,0.154
Benin,Wind,dry,4,t01,0.386
Benin,Wind,dry,4,t02,0.313
Benin,Wind,dry,4,t03,0.278
Benin,Wind,dry,4,t04,0.282
Benin,Wind,dry,4,t05,0.308
Benin,Wind,dry,4,t06,0.335
Benin,Wind,dry,4,t07,0.332
Benin,Wind,dry,4,t08,0.133
Benin,Wind,dry,4,t09,0.087
Benin,Wind,dry,4,t10,0.231
Benin,Wind,dry,4,t11,0.278
Benin,Wind,dry,4,t12,0.23
Benin,Wind,dry,4,t13,0.167
Benin,Wind,dry,4,t14,0.116
Benin,Wind,dry,4,t15,0.082
Benin,Wind,dry,4,t16,0.067
Benin,Wind,dry,4,t17,0.07
Benin,Wind,dry,4,t18,0.126
Benin,Wind,dry,4,t19,0.252
Benin,Wind,dry,4,t20,0.399
Benin,Wind,dry,4,t21,0.482
Benin,Wind,dry,4,t22,0.509
Benin,Wind,dry,4,t23,0.501
Benin,Wind,dry,4,t24,0.469
Benin,Wind,wet,1,t01,0.203
Benin,Wind,wet,1,t02,0.227
Benin,Wind,wet,1,t03,0.238
Benin,Wind,wet,1,t04,0.207
Benin,Wind,wet,1,t05,0.153
Benin,Wind,wet,1,t06,0.097
Benin,Wind,wet,1,t07,0.016
Benin,Wind,wet,1,t09,0.003
Benin,Wind,wet,1,t10,0.025
Benin,Wind,wet,1,t11,0.058
Benin,Wind,wet,1,t12,0.083
Benin,Wind,wet,1,t13,0.106
Benin,Wind,wet,1,t14,0.139
Benin,Wind,wet,1,t15,0.169
Benin,Wind,wet,1,t16,0.175
Benin,Wind,wet,1,t17,0.147
Benin,Wind,wet,1,t18,0.155
Benin,Wind,wet,1,t19,0.21
Benin,Wind,wet,1,t20,0.221
Benin,Wind,wet,1,t21,0.169
Benin,Wind,wet,1,t22,0.13
Benin,Wind,wet,1,t23,0.133
Benin,Wind,wet,1,t24,0.141
Benin,Wind,wet,2,t01,0.182
Benin,Wind,wet,2,t02,0.158
Benin,Wind,wet,2,t03,0.125
Benin,Wind,wet,2,t04,0.101
Benin,Wind,wet,2,t05,0.084
Benin,Wind,wet,2,t06,0.093
Benin,Wind,wet,2,t07,0.076
Benin,Wind,wet,2,t08,0.086
Benin,Wind,wet,2,t09,0.107
Benin,Wind,wet,2,t10,0.098
Benin,Wind,wet,2,t11,0.077
Benin,Wind,wet,2,t12,0.062
Benin,Wind,wet,2,t13,0.049
Benin,Wind,wet,2,t14,0.039
Benin,Wind,wet,2,t15,0.033
Benin,Wind,wet,2,t16,0.024
Benin,Wind,wet,2,t17,0.019
Benin,Wind,wet,2,t18,0.02
Benin,Wind,wet,2,t19,0.028
Benin,Wind,wet,2,t20,0.033
Benin,Wind,wet,2,t21,0.037
Benin,Wind,wet,2,t22,0.05
Benin,Wind,wet,2,t23,0.073
Benin,Wind,wet,2,t24,0.104
Benin,Wind,wet,3,t01,0.257
Benin,Wind,wet,3,t02,0.261
Benin,Wind,wet,3,t03,0.28
Benin,Wind,wet,3,t04,0.297
Benin,Wind,wet,3,t05,0.315
Benin,Wind,wet,3,t06,0.337
Benin,Wind,wet,3,t07,0.294
Benin,Wind,wet,3,t08,0.41
Benin,Wind,wet,3,t09,0.538
Benin,Wind,wet,3,t10,0.5680000000000001
Benin,Wind,wet,3,t11,0.528
Benin,Wind,wet,3,t12,0.456
Benin,Wind,wet,3,t13,0.386
Benin,Wind,wet,3,t14,0.331
Benin,Wind,wet,3,t15,0.291
Benin,Wind,wet,3,t16,0.252
Benin,Wind,wet,3,t17,0.204
Benin,Wind,wet,3,t18,0.16
Benin,Wind,wet,3,t19,0.163
Benin,Wind,wet,3,t20,0.16
Benin,Wind,wet,3,t21,0.169
Benin,Wind,wet,3,t22,0.204
Benin,Wind,wet,3,t23,0.25
Benin,Wind,wet,3,t24,0.279
Benin,Wind,wet,4,t01,0.022
Benin,Wind,wet,4,t02,0.009
Benin,Wind,wet,4,t03,0.008
Benin,Wind,wet,4,t04,0.026
Benin,Wind,wet,4,t05,0.079
Benin,Wind,wet,4,t06,0.14
Benin,Wind,wet,4,t07,0.138
Benin,Wind,wet,4,t08,0.084
Benin,Wind,wet,4,t09,0.082
Benin,Wind,wet,4,t10,0.054
Benin,Wind,wet,4,t11,0.051
Benin,Wind,wet,4,t12,0.107
Benin,Wind,wet,4,t13,0.178
Benin,Wind,wet,4,t14,0.18
Benin,Wind,wet,4,t15,0.143
Benin,Wind,wet,4,t16,0.108
Benin,Wind,wet,4,t17,0.085
Benin,Wind,wet,4,t18,0.054
Benin,Wind,wet,4,t19,0.041
Benin,Wind,wet,4,t20,0.034
Benin,Wind,wet,4,t21,0.023
Benin,Wind,wet,4,t22,0.015
Benin,Wind,wet,4,t23,0.007
Benin,Wind,wet,4,t24,0.001
Benin,Rooftop,dry,1,t07,0.071
Benin,Rooftop,dry,1,t08,0.342
Benin,Rooftop,dry,1,t09,0.5640000000000001
Benin,Rooftop,dry,1,t10,0.707
Benin,Rooftop,dry,1,t11,0.791
Benin,Rooftop,dry,1,t12,0.8250000000000001
Benin,Rooftop,dry,1,t13,0.798
Benin,Rooftop,dry,1,t14,0.736
Benin,Rooftop,dry,1,t15,0.62
Benin,Rooftop,dry,1,t16,0.435
Benin,Rooftop,dry,1,t17,0.199
Benin,Rooftop,dry,1,t18,0.012
Benin,Rooftop,dry,2,t07,0.069
Benin,Rooftop,dry,2,t08,0.301
Benin,Rooftop,dry,2,t09,0.519
Benin,Rooftop,dry,2,t10,0.619
Benin,Rooftop,dry,2,t11,0.7000000000000001
Benin,Rooftop,dry,2,t12,0.729
Benin,Rooftop,dry,2,t13,0.739
Benin,Rooftop,dry,2,t14,0.6930000000000001
Benin,Rooftop,dry,2,t15,0.578
Benin,Rooftop,dry,2,t16,0.393
Benin,Rooftop,dry,2,t17,0.169
Benin,Rooftop,dry,2,t18,0.013
Benin,Rooftop,dry,3,t07,0.023
Benin,Rooftop,dry,3,t08,0.115
Benin,Rooftop,dry,3,t09,0.231
Benin,Rooftop,dry,3,t10,0.331
Benin,Rooftop,dry,3,t11,0.372
Benin,Rooftop,dry,3,t12,0.408
Benin,Rooftop,dry,3,t13,0.395
Benin,Rooftop,dry,3,t14,0.36
Benin,Rooftop,dry,3,t15,0.27
Benin,Rooftop,dry,3,t16,0.17
Benin,Rooftop,dry,3,t17,0.073
Benin,Rooftop,dry,3,t18,0.008
Benin,Rooftop,dry,4,t07,0.063
Benin,Rooftop,dry,4,t08,0.325
Benin,Rooftop,dry,4,t09,0.5660000000000001
Benin,Rooftop,dry,4,t10,0.706
Benin,Rooftop,dry,4,t11,0.797
Benin,Rooftop,dry,4,t12,0.8260000000000001
Benin,Rooftop,dry,4,t13,0.785
Benin,Rooftop,dry,4,t14,0.686
Benin,Rooftop,dry,4,t15,0.545
Benin,Rooftop,dry,4,t16,0.358
Benin,Rooftop,dry,4,t17,0.158
Benin,Rooftop,dry,4,t18,0.01
Benin,Rooftop,wet,1,t07,0.071
Benin,Rooftop,wet,1,t08,0.223
Benin,Rooftop,wet,1,t09,0.373
Benin,Rooftop,wet,1,t10,0.516
Benin,Rooftop,wet,1,t11,0.599
Benin,Rooftop,wet,1,t12,0.636
Benin,Rooftop,wet,1,t13,0.607
Benin,Rooftop,wet,1,t14,0.391
Benin,Rooftop,wet,1,t15,0.254
Benin,Rooftop,wet,1,t16,0.167
Benin,Rooftop,wet,1,t17,0.096
Benin,Rooftop,wet,1,t18,0.02
Benin,Rooftop,wet,2,t07,0.058
Benin,Rooftop,wet,2,t08,0.18
Benin,Rooftop,wet,2,t09,0.306
Benin,Rooftop,wet,2,t10,0.397
Benin,Rooftop,wet,2,t11,0.474
Benin,Rooftop,wet,2,t12,0.516
Benin,Rooftop,wet,2,t13,0.52
Benin,Rooftop,wet,2,t14,0.482
Benin,Rooftop,wet,2,t15,0.397
Benin,Rooftop,wet,2,t16,0.286
Benin,Rooftop,wet,2,t17,0.145
Benin,Rooftop,wet,2,t18,0.033
Benin,Rooftop,wet,3,t07,0.067
Benin,Rooftop,wet,3,t08,0.194
Benin,Rooftop,wet,3,t09,0.323
Benin,Rooftop,wet,3,t10,0.444
Benin,Rooftop,wet,3,t11,0.503
Benin,Rooftop,wet,3,t12,0.516
Benin,Rooftop,wet,3,t13,0.498
Benin,Rooftop,wet,3,t14,0.462
Benin,Rooftop,wet,3,t15,0.393
Benin,Rooftop,wet,3,t16,0.288
Benin,Rooftop,wet,3,t17,0.155
Benin,Rooftop,wet,3,t18,0.039
Benin,Rooftop,wet,4,t07,0.029
Benin,Rooftop,wet,4,t08,0.128
Benin,Rooftop,wet,4,t09,0.217
Benin,Rooftop,wet,4,t10,0.305
Benin,Rooftop,wet,4,t11,0.421
Benin,Rooftop,wet,4,t12,0.496
Benin,Rooftop,wet,4,t13,0.47
Benin,Rooftop,wet,4,t14,0.393
Benin,Rooftop,wet,4,t15,0.322
Benin,Rooftop,wet,4,t16,0.187
Benin,Rooftop,wet,4,t17,0.058
Benin,Rooftop,wet,4,t18,0.003
Burkina,PV,dry,1,t07,0.014
Burkina,PV,dry,1,t08,0.285
Burkina,PV,dry,1,t09,0.538
Burkina,PV,dry,1,t10,0.704
Burkina,PV,dry,1,t11,0.804
Burkina,PV,dry,1,t12,0.851
Burkina,PV,dry,1,t13,0.858
Burkina,PV,dry,1,t14,0.809
Burkina,PV,dry,1,t15,0.708
Burkina,PV,dry,1,t16,0.559
Burkina,PV,dry,1,t17,0.333
Burkina,PV,dry,1,t18,0.067
Burkina,PV,dry,2,t07,0.018
Burkina,PV,dry,2,t08,0.297
Burkina,PV,dry,2,t09,0.5630000000000001
Burkina,PV,dry,2,t10,0.742
Burkina,PV,dry,2,t11,0.843
Burkina,PV,dry,2,t12,0.891
Burkina,PV,dry,2,t13,0.892
Burkina,PV,dry,2,t14,0.842
Burkina,PV,dry,2,t15,0.741
Burkina,PV,dry,2,t16,0.58
Burkina,PV,dry,2,t17,0.353
Burkina,PV,dry,2,t18,0.081
Burkina,PV,dry,3,t07,0.011
Burkina,PV,dry,3,t08,0.095
Burkina,PV,dry,3,t09,0.208
Burkina,PV,dry,3,t10,0.291
Burkina,PV,dry,3,t11,0.344
Burkina,PV,dry,3,t12,0.347
Burkina,PV,dry,3,t13,0.345
Burkina,PV,dry,3,t14,0.316
Burkina,PV,dry,3,t15,0.27
Burkina,PV,dry,3,t16,0.196
Burkina,PV,dry,3,t17,0.112
Burkina,PV,dry,3,t18,0.03
Burkina,PV,dry,4,t07,0.01
Burkina,PV,dry,4,t08,0.222
Burkina,PV,dry,4,t09,0.485
Burkina,PV,dry,4,t10,0.664
Burkina,PV,dry,4,t11,0.773
Burkina,PV,dry,4,t12,0.8280000000000001
Burkina,PV,dry,4,t13,0.8180000000000001
Burkina,PV,dry,4,t14,0.769
Burkina,PV,dry,4,t15,0.666
Burkina,PV,dry,4,t16,0.499
Burkina,PV,dry,4,t17,0.266
Burkina,PV,dry,4,t18,0.035
Burkina,PV,wet,1,t07,0.036
Burkina,PV,wet,1,t08,0.161
Burkina,PV,wet,1,t09,0.287
Burkina,PV,wet,1,t10,0.42
Burkina,PV,wet,1,t11,0.537
Burkina,PV,wet,1,t12,0.62
Burkina,PV,wet,1,t13,0.643
Burkina,PV,wet,1,t14,0.605
Burkina,PV,wet,1,t15,0.518
Burkina,PV,wet,1,t16,0.374
Burkina,PV,wet,1,t17,0.197
Burkina,PV,wet,1,t18,0.05
Burkina,PV,wet,2,t07,0.039
Burkina,PV,wet,2,t08,0.147
Burkina,PV,wet,2,t09,0.278
Burkina,PV,wet,2,t10,0.373
Burkina,PV,wet,2,t11,0.427
Burkina,PV,wet,2,t12,0.441
Burkina,PV,wet,2,t13,0.407
Burkina,PV,wet,2,t14,0.377
Burkina,PV,wet,2,t15,0.315
Burkina,PV,wet,2,t16,0.238
Burkina,PV,wet,2,t17,0.141
Burkina,PV,wet,2,t18,0.054
Burkina,PV,wet,3,t07,0.044
Burkina,PV,wet,3,t08,0.166
Burkina,PV,wet,3,t09,0.314
Burkina,PV,wet,3,t10,0.441
Burkina,PV,wet,3,t11,0.545
Burkina,PV,wet,3,t12,0.5720000000000001
Burkina,PV,wet,3,t13,0.541
Burkina,PV,wet,3,t14,0.492
Burkina,PV,wet,3,t15,0.404
Burkina,PV,wet,3,t16,0.314
Burkina,PV,wet,3,t17,0.192
Burkina,PV,wet,3,t18,0.062
Burkina,PV,wet,4,t07,0.02
Burkina,PV,wet,4,t08,0.186
Burkina,PV,wet,4,t09,0.407
Burkina,PV,wet,4,t10,0.581
Burkina,PV,wet,4,t11,0.6910000000000001
Burkina,PV,wet,4,t12,0.729
Burkina,PV,wet,4,t13,0.6940000000000001
Burkina,PV,wet,4,t14,0.627
Burkina,PV,wet,4,t15,0.486
Burkina,PV,wet,4,t16,0.289
Burkina,PV,wet,4,t17,0.123
Burkina,PV,wet,4,t18,0.018
Burkina,Wind,dry,1,t01,0.762
Burkina,Wind,dry,1,t02,0.741
Burkina,Wind,dry,1,t03,0.73
Burkina,Wind,dry,1,t04,0.707
Burkina,Wind,dry,1,t05,0.6920000000000001
Burkina,Wind,dry,1,t06,0.682
Burkina,Wind,dry,1,t07,0.592
Burkina,Wind,dry,1,t08,0.31
Burkina,Wind,dry,1,t09,0.182
Burkina,Wind,dry,1,t10,0.552
Burkina,Wind,dry,1,t11,0.488
Burkina,Wind,dry,1,t12,0.267
Burkina,Wind,dry,1,t13,0.148
Burkina,Wind,dry,1,t14,0.108
Burkina,Wind,dry,1,t15,0.108
Burkina,Wind,dry,1,t16,0.134
Burkina,Wind,dry,1,t17,0.203
Burkina,Wind,dry,1,t18,0.458
Burkina,Wind,dry,1,t19,0.675
Burkina,Wind,dry,1,t20,0.772
Burkina,Wind,dry,1,t21,0.806
Burkina,Wind,dry,1,t22,0.807
Burkina,Wind,dry,1,t23,0.794
Burkina,Wind,dry,1,t24,0.78
Burkina,Wind,dry,2,t01,0.748
Burkina,Wind,dry,2,t02,0.713
Burkina,Wind,dry,2,t03,0.683
Burkina,Wind,dry,2,t04,0.648
Burkina,Wind,dry,2,t05,0.621
Burkina,Wind,dry,2,t06,0.618
Burkina,Wind,dry,2,t07,0.63
Burkina,Wind,dry,2,t08,0.352
Burkina,Wind,dry,2,t09,0.233
Burkina,Wind,dry,2,t10,0.718
Burkina,Wind,dry,2,t11,0.594
Burkina,Wind,dry,2,t12,0.466
Burkina,Wind,dry,2,t13,0.374
Burkina,Wind,dry,2,t14,0.313
Burkina,Wind,dry,2,t15,0.286
Burkina,Wind,dry,2,t16,0.292
Burkina,Wind,dry,2,t17,0.331
Burkina,Wind,dry,2,t18,0.513
Burkina,Wind,dry,2,t19,0.7000000000000001
Burkina,Wind,dry,2,t20,0.787
Burkina,Wind,dry,2,t21,0.8260000000000001
Burkina,Wind,dry,2,t22,0.839
Burkina,Wind,dry,2,t23,0.838
Burkina,Wind,dry,2,t24,0.8200000000000001
Burkina,Wind,dry,3,t01,0.167
Burkina,Wind,dry,3,t02,0.124
Burkina,Wind,dry,3,t03,0.082
Burkina,Wind,dry,3,t04,0.066
Burkina,Wind,dry,3,t05,0.061
Burkina,Wind,dry,3,t06,0.048
Burkina,Wind,dry,3,t07,0.025
Burkina,Wind,dry,3,t08,0.021
Burkina,Wind,dry,3,t09,0.043
Burkina,Wind,dry,3,t10,0.035
Burkina,Wind,dry,3,t11,0.024
Burkina,Wind,dry,3,t12,0.015
Burkina,Wind,dry,3,t13,0.005
Burkina,Wind,dry,3,t17,0.016
Burkina,Wind,dry,3,t18,0.213
Burkina,Wind,dry,3,t19,0.457
Burkina,Wind,dry,3,t20,0.483
Burkina,Wind,dry,3,t21,0.44
Burkina,Wind,dry,3,t22,0.367
Burkina,Wind,dry,3,t23,0.299
Burkina,Wind,dry,3,t24,0.241
Burkina,Wind,dry,4,t01,0.608
Burkina,Wind,dry,4,t02,0.587
Burkina,Wind,dry,4,t03,0.552
Burkina,Wind,dry,4,t04,0.524
Burkina,Wind,dry,4,t05,0.533
Burkina,Wind,dry,4,t06,0.556
Burkina,Wind,dry,4,t07,0.5720000000000001
Burkina,Wind,dry,4,t08,0.343
Burkina,Wind,dry,4,t09,0.125
Burkina,Wind,dry,4,t10,0.394
Burkina,Wind,dry,4,t11,0.763
Burkina,Wind,dry,4,t12,0.686
Burkina,Wind,dry,4,t13,0.556
Burkina,Wind,dry,4,t14,0.422
Burkina,Wind,dry,4,t15,0.324
Burkina,Wind,dry,4,t16,0.251
Burkina,Wind,dry,4,t17,0.213
Burkina,Wind,dry,4,t18,0.254
Burkina,Wind,dry,4,t19,0.302
Burkina,Wind,dry,4,t20,0.361
Burkina,Wind,dry,4,t21,0.417
Burkina,Wind,dry,4,t22,0.467
Burkina,Wind,dry,4,t23,0.504
Burkina,Wind,dry,4,t24,0.534
Burkina,Wind,wet,1,t01,0.155
Burkina,Wind,wet,1,t02,0.151
Burkina,Wind,wet,1,t03,0.14
Burkina,Wind,wet,1,t04,0.119
Burkina,Wind,wet,1,t05,0.093
Burkina,Wind,wet,1,t06,0.068
Burkina,Wind,wet,1,t07,0.034
Burkina,Wind,wet,1,t08,0.055
Burkina,Wind,wet,1,t09,0.041
Burkina,Wind,wet,1,t10,0.007
Burkina,Wind,wet,1,t14,0.001
Burkina,Wind,wet,1,t15,0.003
Burkina,Wind,wet,1,t16,0.005
Burkina,Wind,wet,1,t17,0.01
Burkina,Wind,wet,1,t18,0.039
Burkina,Wind,wet,1,t19,0.141
Burkina,Wind,wet,1,t20,0.332
Burkina,Wind,wet,1,t21,0.526
Burkina,Wind,wet,1,t22,0.58
Burkina,Wind,wet,1,t23,0.544
Burkina,Wind,wet,1,t24,0.475
Burkina,Wind,wet,2,t01,0.3
Burkina,Wind,wet,2,t02,0.259
Burkina,Wind,wet,2,t03,0.223
Burkina,Wind,wet,2,t04,0.214
Burkina,Wind,wet,2,t05,0.206
Burkina,Wind,wet,2,t06,0.191
Burkina,Wind,wet,2,t07,0.112
Burkina,Wind,wet,2,t08,0.076
Burkina,Wind,wet,2,t09,0.155
Burkina,Wind,wet,2,t10,0.141
Burkina,Wind,wet,2,t11,0.099
Burkina,Wind,wet,2,t12,0.062
Burkina,Wind,wet,2,t13,0.038
Burkina,Wind,wet,2,t14,0.025
Burkina,Wind,wet,2,t15,0.018
Burkina,Wind,wet,2,t16,0.017
Burkina,Wind,wet,2,t17,0.019
Burkina,Wind,wet,2,t18,0.028
Burkina,Wind,wet,2,t19,0.052
Burkina,Wind,wet,2,t20,0.084
Burkina,Wind,wet,2,t21,0.111
Burkina,Wind,wet,2,t22,0.135
Burkina,Wind,wet,2,t23,0.154
Burkina,Wind,wet,2,t24,0.168
Burkina,Wind,wet,3,t01,0.243
Burkina,Wind,wet,3,t02,0.225
Burkina,Wind,wet,3,t03,0.225
Burkina,Wind,wet,3,t04,0.231
Burkina,Wind,wet,3,t05,0.239
Burkina,Wind,wet,3,t06,0.251
Burkina,Wind,wet,3,t07,0.223
Burkina,Wind,wet,3,t08,0.509
Burkina,Wind,wet,3,t09,0.5660000000000001
Burkina,Wind,wet,3,t10,0.464
Burkina,Wind,wet,3,t11,0.298
Burkina,Wind,wet,3,t12,0.167
Burkina,Wind,wet,3,t13,0.09
Burkina,Wind,wet,3,t14,0.047
Burkina,Wind,wet,3,t15,0.021
Burkina,Wind,wet,3,t16,0.011
Burkina,Wind,wet,3,t17,0.01
Burkina,Wind,wet,3,t18,0.022
Burkina,Wind,wet,3,t19,0.102
Burkina,Wind,wet,3,t20,0.286
Burkina,Wind,wet,3,t21,0.437
Burkina,Wind,wet,3,t22,0.464
Burkina,Wind,wet,3,t23,0.432
Burkina,Wind,wet,3,t24,0.381
Burkina,Wind,wet,4,t02,0.004
Burkina,Wind,wet,4,t03,0.022
Burkina,Wind,wet,4,t04,0.051
Burkina,Wind,wet,4,t05,0.082
Burkina,Wind,wet,4,t06,0.106
Burkina,Wind,wet,4,t07,0.121
Burkina,Wind,wet,4,t08,0.043
Burkina,Wind,wet,4,t09,0.012
Burkina,Wind,wet,4,t10,0.024
Burkina,Wind,wet,4,t11,0.027
Burkina,Wind,wet,4,t12,0.042
Burkina,Wind,wet,4,t13,0.07
Burkina,Wind,wet,4,t14,0.105
Burkina,Wind,wet,4,t15,0.154
Burkina,Wind,wet,4,t16,0.245
Burkina,Wind,wet,4,t17,0.311
Burkina,Wind,wet,4,t18,0.386
Burkina,Wind,wet,4,t19,0.513
Burkina,Wind,wet,4,t20,0.58
Burkina,Wind,wet,4,t21,0.5680000000000001
Burkina,Wind,wet,4,t22,0.487
Burkina,Wind,wet,4,t23,0.383
Burkina,Wind,wet,4,t24,0.273
Burkina,Rooftop,dry,1,t07,0.014
Burkina,Rooftop,dry,1,t08,0.285
Burkina,Rooftop,dry,1,t09,0.538
Burkina,Rooftop,dry,1,t10,0.704
Burkina,Rooftop,dry,1,t11,0.804
Burkina,Rooftop,dry,1,t12,0.851
Burkina,Rooftop,dry,1,t13,0.858
Burkina,Rooftop,dry,1,t14,0.809
Burkina,Rooftop,dry,1,t15,0.708
Burkina,Rooftop,dry,1,t16,0.559
Burkina,Rooftop,dry,1,t17,0.333
Burkina,Rooftop,dry,1,t18,0.067
Burkina,Rooftop,dry,2,t07,0.018
