Scenarios,1987-9,1987-9,1987-9,1987-9,1987-9,1987-9,1987-9,1987-9,1987-9,1987-9,1987-9,1987-9,2001-39,2001-39,2001-39,2001-39,2001-39,2001-39,2001-39,2001-39,2001-39,2001-39,2001-39,2001-39,2011-17,2011-17,2011-17,2011-17,2011-17,2011-17,2011-17,2011-17,2011-17,2011-17,2011-17,2011-17,2011-58,2011-58,2011-58,2011-58,2011-58,2011-58,2011-58,2011-58,2011-58,2011-58,2011-58,2011-58,2014-41,2014-41,2014-41,2014-41,2014-41,2014-41,2014-41,2014-41,2014-41,2014-41,2014-41,2014-41
Grand Chutes,0.473,0.473,0.473,0.473,0.473,0.473,0.751,0.751,0.751,0.751,0.507,0.507,0.647,0.647,0.647,0.647,0.647,0.647,0.893,0.893,0.893,0.893,0.603,0.603,0.598,0.598,0.598,0.598,0.598,0.598,0.781,0.781,0.781,0.781,0.574,0.574,0.738,0.738,0.738,0.738,0.738,0.738,0.964,0.964,0.964,0.964,0.709,0.709,0.653,0.653,0.653,0.653,0.653,0.653,0.906,0.906,0.906,0.906,0.671,0.671
Diallol,0.216,0.216,0.216,0.216,0.216,0.216,0.183,0.242,0.175,0.292,0.231,0.231,0.396,0.396,0.396,0.396,0.396,0.396,0.436,0.337,0.208,0.475,0.396,0.396,0.277,0.277,0.277,0.277,0.277,0.277,0.364,0.347,0.589,0.754,0.307,0.307,0.342,0.342,0.342,0.342,0.342,0.342,0.449,0.428,0.727,0.93,0.378,0.378,0.292,0.292,0.292,0.292,0.292,0.292,0.362,0.342,0.211,0.161,0.313,0.313
Amaria,0.277,0.277,0.277,0.277,0.277,0.277,0.198,0.198,0.447,0.402,0.293,0.293,0.507,0.507,0.507,0.507,0.507,0.507,0.426,0.388,0.534,0.6,0.515,0.515,0.357,0.357,0.357,0.357,0.357,0.357,0.356,0.506,0.707,0.831,0.398,0.398,0.441,0.441,0.441,0.441,0.441,0.441,0.44,0.625,0.872,1.026,0.491,0.491,0.373,0.373,0.373,0.373,0.373,0.373,0.364,0.336,0.539,0.306,0.391,0.391
Fetore,0.111,0.111,0.111,0.111,0.111,0.111,0.175,0.237,0.622,0.473,0.099,0.099,0.22,0.22,0.22,0.22,0.22,0.22,0.396,0.323,0.823,0.573,0.221,0.221,0.145,0.145,0.145,0.145,0.145,0.145,0.337,0.547,0.83,0.593,0.18,0.18,0.179,0.179,0.179,0.179,0.179,0.179,0.416,0.675,1.024,0.731,0.222,0.222,0.145,0.145,0.145,0.145,0.145,0.145,0.286,0.275,0.296,0.275,0.161,0.161
Kaleta,0.339,0.339,0.339,0.339,0.339,0.339,0.256,0.305,0.249,0.235,0.372,0.372,0.606,0.606,0.606,0.606,0.606,0.606,0.592,0.429,0.275,0.438,0.615,0.615,0.478,0.478,0.478,0.478,0.478,0.478,0.496,0.452,0.594,0.831,0.459,0.459,0.59,0.59,0.59,0.59,0.59,0.59,0.612,0.558,0.733,1.026,0.566,0.566,0.502,0.502,0.502,0.502,0.502,0.502,0.503,0.292,0.271,0.106,0.428,0.428
Koukoutamba,0.219,0.219,0.219,0.219,0.219,0.219,0.222,0.313,0.277,0.117,0.219,0.219,0.287,0.287,0.287,0.287,0.287,0.287,0.193,0.346,0.554,0.464,0.295,0.295,0.297,0.297,0.297,0.297,0.297,0.297,0.263,0.281,0.25,0.641,0.241,0.241,0.367,0.367,0.367,0.367,0.367,0.367,0.324,0.347,0.309,0.791,0.297,0.297,0.275,0.275,0.275,0.275,0.275,0.275,0.152,0.301,0.312,0.903,0.297,0.297
Donkea,0.512,0.512,0.512,0.512,0.512,0.512,0.786,0.786,0.786,0.786,0.547,0.547,0.717,0.717,0.717,0.717,0.717,0.717,0.934,0.934,0.934,0.934,0.658,0.658,0.664,0.664,0.664,0.664,0.664,0.664,0.817,0.817,0.817,0.817,0.635,0.635,0.819,0.819,0.819,0.819,0.819,0.819,1.008,1.008,1.008,1.008,0.783,0.783,0.736,0.736,0.736,0.736,0.736,0.736,0.948,0.948,0.948,0.948,0.736,0.736
Fomi,0.358,0.358,0.358,0.358,0.358,0.358,0.299,0.29,0.178,0.168,0.338,0.338,0.411,0.411,0.411,0.411,0.411,0.411,0.622,0.456,0.911,0.956,0.401,0.401,0.427,0.427,0.427,0.427,0.427,0.427,0.379,0.331,0.185,0.836,0.383,0.383,0.526,0.526,0.526,0.526,0.526,0.526,0.468,0.408,0.228,1.032,0.472,0.472,0.372,0.372,0.372,0.372,0.372,0.372,0.124,0.316,0.214,0.18,0.357,0.357
Garafiri,0.251,0.251,0.251,0.251,0.251,0.251,0.202,0.258,0.18,0.067,0.295,0.295,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.36,0.213,0.08,0.505,0.505,0.385,0.385,0.385,0.385,0.385,0.385,0.397,0.362,0.233,0.794,0.382,0.382,0.475,0.475,0.475,0.475,0.475,0.475,0.49,0.446,0.288,0.979,0.472,0.472,0.426,0.426,0.426,0.426,0.426,0.426,0.298,0.393,0.217,0.068,0.396,0.396
Guozoguezia,0.457,0.457,0.457,0.457,0.457,0.457,0.499,0.353,0.249,0.561,0.457,0.457,0.58,0.58,0.58,0.58,0.58,0.58,0.407,0.309,0.21,0.778,0.529,0.529,0.475,0.475,0.475,0.475,0.475,0.475,0.519,0.367,0.259,0.583,0.475,0.475,0.587,0.587,0.587,0.587,0.587,0.587,0.64,0.453,0.32,0.72,0.587,0.587,0.552,0.552,0.552,0.552,0.552,0.552,0.602,0.426,0.301,0.677,0.423,0.423
Hakkunde-Mitti,0.178,0.178,0.178,0.178,0.178,0.178,0.19,0.244,0.176,0.421,0.176,0.176,0.323,0.323,0.323,0.323,0.323,0.323,0.419,0.339,0.21,0.613,0.323,0.323,0.228,0.228,0.228,0.228,0.228,0.228,0.353,0.339,0.734,0.635,0.266,0.266,0.281,0.281,0.281,0.281,0.281,0.281,0.435,0.418,0.906,0.784,0.329,0.329,0.242,0.242,0.242,0.242,0.242,0.242,0.295,0.278,0.213,0.197,0.197,0.197
Korafindi,0.261,0.261,0.261,0.261,0.261,0.261,0.2,0.224,0.175,0.1,0.305,0.305,0.494,0.494,0.494,0.494,0.494,0.494,0.437,0.296,0.207,0.304,0.509,0.509,0.365,0.365,0.365,0.365,0.365,0.365,0.37,0.298,0.467,0.83,0.399,0.399,0.45,0.45,0.45,0.45,0.45,0.45,0.456,0.368,0.576,1.024,0.492,0.492,0.385,0.385,0.385,0.385,0.385,0.385,0.376,0.301,0.211,0.18,0.381,0.381
Souapiti,0.325,0.325,0.325,0.325,0.325,0.325,0.227,0.255,0.179,0.209,0.358,0.358,0.579,0.579,0.579,0.579,0.579,0.579,0.516,0.347,0.213,0.415,0.589,0.589,0.458,0.458,0.458,0.458,0.458,0.458,0.431,0.357,0.525,0.831,0.441,0.441,0.565,0.565,0.565,0.565,0.565,0.565,0.532,0.441,0.648,1.025,0.544,0.544,0.485,0.485,0.485,0.485,0.485,0.485,0.438,0.254,0.216,0.051,0.41,0.41
Kogebedou,0.317,0.317,0.317,0.317,0.317,0.317,0.164,0.174,0.174,0.185,0.31,0.31,0.477,0.477,0.477,0.477,0.477,0.477,0.195,0.207,0.915,0.951,0.463,0.463,0.4,0.4,0.4,0.4,0.4,0.4,0.171,0.181,0.181,0.288,0.442,0.442,0.494,0.494,0.494,0.494,0.494,0.494,0.211,0.224,0.224,0.356,0.545,0.545,0.424,0.424,0.424,0.424,0.424,0.424,0.099,0.21,0.21,0.223,0.305,0.305
Diareguela,0.268,0.268,0.268,0.268,0.268,0.268,0.109,0.23,0.175,0,0.292,0.292,0.523,0.523,0.523,0.523,0.523,0.523,0.286,0.351,0.208,0.208,0.49,0.49,0.439,0.439,0.439,0.439,0.439,0.439,0.159,0.25,0.182,0,0.323,0.323,0.542,0.542,0.542,0.542,0.542,0.542,0.196,0.309,0.224,0,0.398,0.398,0.435,0.435,0.435,0.435,0.435,0.435,0.264,0.29,0.211,0.686,0.435,0.435
Kouravel,0.158,0.158,0.158,0.158,0.158,0.158,0.177,0.244,0.328,0.497,0.146,0.146,0.283,0.283,0.283,0.283,0.283,0.283,0.41,0.33,0.49,0.61,0.284,0.284,0.185,0.185,0.185,0.185,0.185,0.185,0.341,0.333,0.823,0.63,0.213,0.213,0.228,0.228,0.228,0.228,0.228,0.228,0.421,0.41,1.015,0.778,0.263,0.263,0.189,0.189,0.189,0.189,0.189,0.189,0.345,0.325,0.416,0.406,0.208,0.208
Kassa,0.173,0.173,0.173,0.173,0.173,0.173,0.102,0.224,0.176,0.048,0.184,0.184,0.449,0.449,0.449,0.449,0.449,0.449,0.419,0.298,0.21,0.452,0.46,0.46,0.32,0.32,0.32,0.32,0.32,0.32,0.282,0.254,0.184,0.155,0.358,0.358,0.395,0.395,0.395,0.395,0.395,0.395,0.348,0.314,0.226,0.192,0.442,0.442,0.383,0.383,0.383,0.383,0.383,0.383,0.27,0.229,0.213,0.188,0.121,0.121
Morisanako,0.212,0.212,0.212,0.212,0.212,0.212,0.167,0.281,0.175,0.798,0.288,0.288,0.393,0.393,0.393,0.393,0.393,0.393,0.5,0.365,0.552,0.948,0.469,0.469,0.305,0.305,0.305,0.305,0.305,0.305,0.292,0.31,0.52,0.83,0.352,0.352,0.377,0.377,0.377,0.377,0.377,0.377,0.36,0.382,0.641,1.024,0.435,0.435,0.385,0.385,0.385,0.385,0.385,0.385,0.169,0.275,0.212,0,0.33,0.33
Grand Kinkon,0.077,0.077,0.077,0.077,0.077,0.077,0.188,0.321,0.803,0.489,0.065,0.065,0.181,0.181,0.181,0.181,0.181,0.181,0.423,0.772,0.875,0.595,0.183,0.183,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0.835,0.835,0.615,0.126,0.126,0.124,0.124,0.124,0.124,0.124,0.124,0.432,1.03,1.03,0.759,0.156,0.156,0.089,0.089,0.089,0.089,0.089,0.089,0.359,0.722,0.883,0.397,0.107,0.107
Boureya,0.261,0.261,0.261,0.261,0.261,0.261,0.268,0.365,0.638,0.15,0.261,0.261,0.346,0.346,0.346,0.346,0.346,0.346,0.229,0.401,0.917,0.612,0.357,0.357,0.364,0.364,0.364,0.364,0.364,0.364,0.323,0.323,0.608,0.831,0.289,0.289,0.45,0.45,0.45,0.45,0.45,0.45,0.399,0.399,0.75,1.025,0.357,0.357,0.33,0.33,0.33,0.33,0.33,0.33,0.194,0.343,0.711,0.964,0.36,0.36
DIESEL_HFO,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
New_HFO,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
PV,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Karpowership_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kipe_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
GDE_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kaloum5,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kaloum3_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kaloum1_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kaloum2_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Te_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
BESS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
