Scenarios,2011-38,2011-38,2011-38,2011-38,2011-38,2011-38,2011-38,2011-38,2011-38,2011-38,2011-38,2011-38,2014-38,2014-38,2014-38,2014-38,2014-38,2014-38,2014-38,2014-38,2014-38,2014-38,2014-38,2014-38,min,min,min,min,min,min,min,min,min,min,min,min,max,max,max,max,max,max,max,max,max,max,max,max
Korafindi,0.416,0.416,0.416,0.416,0.416,0.416,0.421,0.34,0.532,0.946,0.454,0.454,0.379,0.379,0.379,0.379,0.379,0.379,0.369,0.295,0.207,0.177,0.374,0.374,0.245,0.245,0.245,0.245,0.245,0.245,0.211,0.195,0.16,0.24,0.242,0.242,0.528,0.528,0.528,0.528,0.528,0.528,0.51,0.403,0.623,0.995,0.535,0.535
Souapiti,0.522,0.522,0.522,0.522,0.522,0.522,0.491,0.407,0.598,0.947,0.502,0.502,0.476,0.476,0.476,0.476,0.476,0.476,0.43,0.25,0.212,0.05,0.403,0.403,0.283,0.283,0.283,0.283,0.283,0.283,0.246,0.222,0.176,0.23,0.285,0.285,0.614,0.614,0.614,0.614,0.614,0.614,0.581,0.497,0.736,0.999,0.627,0.627
Kogebedou,0.456,0.456,0.456,0.456,0.456,0.456,0.195,0.207,0.207,0.328,0.503,0.503,0.417,0.417,0.417,0.417,0.417,0.417,0.097,0.207,0.207,0.219,0.299,0.299,0.249,0.249,0.249,0.249,0.249,0.249,0.119,0.134,0.146,0.205,0.235,0.235,0.522,0.522,0.522,0.522,0.522,0.522,0.232,0.252,0.319,0.524,0.483,0.483
Diareguela,0.5,0.5,0.5,0.5,0.5,0.5,0.181,0.285,0.207,0.0,0.367,0.367,0.427,0.427,0.427,0.427,0.427,0.427,0.259,0.285,0.207,0.673,0.427,0.427,0.239,0.239,0.239,0.239,0.239,0.239,0.124,0.198,0.145,0.2,0.257,0.257,0.539,0.539,0.539,0.539,0.539,0.539,0.322,0.404,0.287,0.624,0.556,0.556
Kouravel,0.211,0.211,0.211,0.211,0.211,0.211,0.389,0.379,0.937,0.718,0.243,0.243,0.186,0.186,0.186,0.186,0.186,0.186,0.339,0.319,0.409,0.399,0.204,0.204,0.131,0.131,0.131,0.131,0.131,0.131,0.193,0.215,0.311,0.31,0.134,0.134,0.283,0.283,0.283,0.283,0.283,0.283,0.473,0.456,1.037,0.859,0.281,0.281
Kassa,0.365,0.365,0.365,0.365,0.365,0.365,0.322,0.29,0.209,0.177,0.408,0.408,0.376,0.376,0.376,0.376,0.376,0.376,0.265,0.225,0.209,0.185,0.119,0.119,0.191,0.191,0.191,0.191,0.191,0.191,0.166,0.17,0.136,0.102,0.182,0.182,0.445,0.445,0.445,0.445,0.445,0.445,0.319,0.325,0.254,0.324,0.413,0.413
Morisanako,0.348,0.348,0.348,0.348,0.348,0.348,0.332,0.353,0.592,0.945,0.401,0.401,0.378,0.378,0.378,0.378,0.378,0.378,0.166,0.27,0.208,0.0,0.325,0.325,0.208,0.208,0.208,0.208,0.208,0.208,0.134,0.194,0.152,0.248,0.211,0.211,0.43,0.43,0.43,0.43,0.43,0.43,0.347,0.364,0.369,0.788,0.396,0.396
Grand Kinkon,0.114,0.114,0.114,0.114,0.114,0.114,0.399,0.951,0.951,0.7,0.144,0.144,0.087,0.087,0.087,0.087,0.087,0.087,0.353,0.71,0.867,0.39,0.106,0.106,0.068,0.068,0.068,0.068,0.068,0.068,0.204,0.442,0.551,0.326,0.071,0.071,0.163,0.163,0.163,0.163,0.163,0.163,0.517,1.091,1.142,0.845,0.161,0.161
Boureya,0.415,0.415,0.415,0.415,0.415,0.415,0.368,0.368,0.692,0.946,0.329,0.329,0.324,0.324,0.324,0.324,0.324,0.324,0.191,0.337,0.699,0.946,0.353,0.353,0.185,0.185,0.185,0.185,0.185,0.185,0.228,0.24,0.354,0.375,0.201,0.201,0.412,0.412,0.412,0.412,0.412,0.412,0.461,0.501,0.979,1.033,0.414,0.414
DIESEL_HFO,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
New_HFO,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
PV,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Karpowership_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kipe_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
GDE_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kaloum5,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kaloum3_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kaloum1_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kaloum2_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Te_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
BESS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
