Scenarios,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,low,low,low,low,low,low,low,low,low,low,low,high,high,high,high,high,high,high,high,high,high,high,high
Diareguela,0.506,0.506,0.506,0.506,0.506,0.506,0.221,0.325,0.208,0.909,0.463,0.463,0.429,0.429,0.429,0.429,0.429,0.429,0.26,0.286,0.208,0.675,0.429,0.429,0.521,0.521,0.521,0.521,0.521,0.521,0.338,0.299,0.208,0.208,0.443,0.443
Kouravel,0.199,0.199,0.199,0.199,0.199,0.199,0.28,0.34,0.8,0.52,0.191,0.191,0.186,0.186,0.186,0.186,0.186,0.186,0.34,0.32,0.41,0.4,0.205,0.205,0.255,0.255,0.255,0.255,0.255,0.255,0.29,0.38,0.94,0.72,0.224,0.224
Kassa,0.431,0.431,0.431,0.431,0.431,0.431,0.202,0.315,0.21,0.048,0.345,0.345,0.377,0.377,0.377,0.377,0.377,0.377,0.266,0.226,0.21,0.185,0.119,0.119,0.47,0.47,0.47,0.47,0.47,0.47,0.339,0.323,0.21,0.242,0.404,0.404
Morisanako,0.389,0.389,0.389,0.389,0.389,0.389,0.198,0.302,0.208,0.229,0.427,0.427,0.379,0.379,0.379,0.379,0.379,0.379,0.167,0.271,0.208,0,0.326,0.326,0.466,0.466,0.466,0.466,0.466,0.466,0.323,0.281,0.208,0.885,0.35,0.35
Grand Kinkon,0.101,0.101,0.101,0.101,0.101,0.101,0.288,0.744,0.953,0.507,0.093,0.093,0.087,0.087,0.087,0.087,0.087,0.087,0.353,0.712,0.87,0.391,0.106,0.106,0.157,0.157,0.157,0.157,0.157,0.157,0.298,0.953,0.953,0.702,0.126,0.126
Boureya,0.289,0.289,0.289,0.289,0.289,0.289,0.299,0.363,0.541,0.943,0.333,0.333,0.325,0.325,0.325,0.325,0.325,0.325,0.191,0.338,0.701,0.949,0.354,0.354,0.326,0.326,0.326,0.326,0.326,0.326,0.382,0.382,0.688,0.949,0.314,0.314
DIESEL_HFO,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
New_HFO,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
PV,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Karpowership_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kipe_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
GDE_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kaloum5,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kaloum3_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kaloum1_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kaloum2_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Te_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
BESS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
