Scenarios,1987-4,1987-4,1987-4,1987-4,1987-4,1987-4,1987-4,1987-4,1987-4,1987-4,1987-4,1987-4,1992-57,1992-57,1992-57,1992-57,1992-57,1992-57,1992-57,1992-57,1992-57,1992-57,1992-57,1992-57,1994-83,1994-83,1994-83,1994-83,1994-83,1994-83,1994-83,1994-83,1994-83,1994-83,1994-83,1994-83,2001-58,2001-58,2001-58,2001-58,2001-58,2001-58,2001-58,2001-58,2001-58,2001-58,2001-58,2001-58,2007-72,2007-72,2007-72,2007-72,2007-72,2007-72,2007-72,2007-72,2007-72,2007-72,2007-72,2007-72,2008-10,2008-10,2008-10,2008-10,2008-10,2008-10,2008-10,2008-10,2008-10,2008-10,2008-10,2008-10,2011-20,2011-20,2011-20,2011-20,2011-20,2011-20,2011-20,2011-20,2011-20,2011-20,2011-20,2011-20,2011-42,2011-42,2011-42,2011-42,2011-42,2011-42,2011-42,2011-42,2011-42,2011-42,2011-42,2011-42,2014-20,2014-20,2014-20,2014-20,2014-20,2014-20,2014-20,2014-20,2014-20,2014-20,2014-20,2014-20,2014-45,2014-45,2014-45,2014-45,2014-45,2014-45,2014-45,2014-45,2014-45,2014-45,2014-45,2014-45
Garafiri,0.21,0.21,0.21,0.21,0.21,0.21,0.169,0.215,0.15,0.056,0.246,0.246,0.436,0.436,0.436,0.436,0.436,0.436,0.574,0.402,0.23,0.703,0.44,0.44,0.461,0.461,0.461,0.461,0.461,0.461,0.49,0.505,0.245,0.857,0.467,0.467,0.518,0.518,0.518,0.518,0.518,0.518,0.518,0.389,0.23,0.086,0.545,0.545,0.491,0.491,0.491,0.491,0.491,0.491,0.31,0.384,0.236,0.074,0.435,0.435,0.336,0.336,0.336,0.336,0.336,0.336,0.08,0.319,0.182,0.466,0.316,0.316,0.389,0.389,0.389,0.389,0.389,0.389,0.401,0.366,0.236,0.802,0.386,0.386,0.452,0.452,0.452,0.452,0.452,0.452,0.466,0.425,0.274,0.932,0.449,0.449,0.372,0.372,0.372,0.372,0.372,0.372,0.26,0.342,0.189,0.059,0.345,0.345,0.437,0.437,0.437,0.437,0.437,0.437,0.306,0.403,0.222,0.069,0.406,0.406
Guozoguezia,0.381,0.381,0.381,0.381,0.381,0.381,0.416,0.295,0.208,0.468,0.381,0.381,0.585,0.585,0.585,0.585,0.585,0.585,0.638,0.452,0.319,0.718,0.585,0.585,0.623,0.623,0.623,0.623,0.623,0.623,0.68,0.482,0.34,0.765,0.386,0.386,0.627,0.627,0.627,0.627,0.627,0.627,0.44,0.333,0.227,0.84,0.572,0.572,0.579,0.579,0.579,0.579,0.579,0.579,0.67,0.396,1.011,1.052,0.593,0.593,0.457,0.457,0.457,0.457,0.457,0.457,0.506,0.358,0.253,0.569,0.463,0.463,0.481,0.481,0.481,0.481,0.481,0.481,0.524,0.371,0.262,0.59,0.481,0.481,0.559,0.559,0.559,0.559,0.559,0.559,0.609,0.432,0.305,0.685,0.559,0.559,0.481,0.481,0.481,0.481,0.481,0.481,0.524,0.371,0.262,0.59,0.369,0.369,0.566,0.566,0.566,0.566,0.566,0.566,0.617,0.437,0.309,0.694,0.434,0.434
Hakkunde-Mitti,0.149,0.149,0.149,0.149,0.149,0.149,0.159,0.204,0.147,0.351,0.147,0.147,0.258,0.258,0.258,0.258,0.258,0.258,0.504,0.365,0.695,0.695,0.26,0.26,0.296,0.296,0.296,0.296,0.296,0.296,0.407,0.426,1.073,1.092,0.254,0.254,0.348,0.348,0.348,0.348,0.348,0.348,0.453,0.366,0.226,0.662,0.348,0.348,0.29,0.29,0.29,0.29,0.29,0.29,0.339,0.411,0.339,0.411,0.279,0.279,0.215,0.215,0.215,0.215,0.215,0.215,0.289,0.344,0.784,0.578,0.255,0.255,0.23,0.23,0.23,0.23,0.23,0.23,0.357,0.342,0.742,0.642,0.269,0.269,0.267,0.267,0.267,0.267,0.267,0.267,0.415,0.398,0.862,0.746,0.313,0.313,0.21,0.21,0.21,0.21,0.21,0.21,0.257,0.243,0.186,0.171,0.171,0.171,0.248,0.248,0.248,0.248,0.248,0.248,0.302,0.286,0.218,0.202,0.202,0.202
Korafindi,0.218,0.218,0.218,0.218,0.218,0.218,0.166,0.187,0.146,0.083,0.254,0.254,0.438,0.438,0.438,0.438,0.438,0.438,0.526,0.335,0.279,0.957,0.441,0.441,0.491,0.491,0.491,0.491,0.491,0.491,0.501,0.374,0.68,1.062,0.486,0.486,0.533,0.533,0.533,0.533,0.533,0.533,0.472,0.32,0.224,0.328,0.55,0.55,0.495,0.495,0.495,0.495,0.495,0.495,0.377,0.336,0.23,0.18,0.384,0.384,0.296,0.296,0.296,0.296,0.296,0.296,0.291,0.272,0.177,0.392,0.369,0.369,0.369,0.369,0.369,0.369,0.369,0.369,0.374,0.301,0.472,0.839,0.403,0.403,0.428,0.428,0.428,0.428,0.428,0.428,0.434,0.35,0.548,0.975,0.468,0.468,0.336,0.336,0.336,0.336,0.336,0.336,0.328,0.262,0.184,0.157,0.332,0.332,0.395,0.395,0.395,0.395,0.395,0.395,0.386,0.309,0.216,0.185,0.391,0.391
Souapiti,0.271,0.271,0.271,0.271,0.271,0.271,0.189,0.213,0.149,0.174,0.299,0.299,0.511,0.511,0.511,0.511,0.511,0.511,0.621,0.39,0.394,1.018,0.513,0.513,0.566,0.566,0.566,0.566,0.566,0.566,0.575,0.5,1.048,1.089,0.546,0.546,0.625,0.625,0.625,0.625,0.625,0.625,0.557,0.375,0.23,0.448,0.635,0.635,0.566,0.566,0.566,0.566,0.566,0.566,0.431,0.319,0.235,0.049,0.518,0.518,0.399,0.399,0.399,0.399,0.399,0.399,0.284,0.329,0.181,0.449,0.406,0.406,0.463,0.463,0.463,0.463,0.463,0.463,0.436,0.361,0.531,0.84,0.446,0.446,0.538,0.538,0.538,0.538,0.538,0.538,0.507,0.42,0.617,0.976,0.518,0.518,0.422,0.422,0.422,0.422,0.422,0.422,0.382,0.222,0.188,0.045,0.357,0.357,0.497,0.497,0.497,0.497,0.497,0.497,0.449,0.261,0.221,0.053,0.421,0.421
Kogebedou,0.264,0.264,0.264,0.264,0.264,0.264,0.137,0.146,0.146,0.154,0.259,0.259,0.356,0.356,0.356,0.356,0.356,0.356,0.21,0.223,0.223,0.236,0.382,0.382,0.427,0.427,0.427,0.427,0.427,0.427,0.224,0.238,0.238,0.364,0.654,0.654,0.515,0.515,0.515,0.515,0.515,0.515,0.211,0.224,0.988,1.027,0.5,0.5,0.54,0.54,0.54,0.54,0.54,0.54,0.013,0.229,0.229,0.243,0.424,0.424,0.326,0.326,0.326,0.326,0.326,0.326,0.156,0.177,0.177,0.812,0.375,0.375,0.405,0.405,0.405,0.405,0.405,0.405,0.173,0.183,0.183,0.291,0.446,0.446,0.47,0.47,0.47,0.47,0.47,0.47,0.201,0.213,0.213,0.339,0.519,0.519,0.37,0.37,0.37,0.37,0.37,0.37,0.086,0.183,0.183,0.194,0.266,0.266,0.435,0.435,0.435,0.435,0.435,0.435,0.102,0.216,0.216,0.229,0.313,0.313
Diareguela,0.223,0.223,0.223,0.223,0.223,0.223,0.091,0.192,0.146,0,0.244,0.244,0.273,0.273,0.273,0.273,0.273,0.273,0.322,0.294,0.224,0.056,0.294,0.294,0.417,0.417,0.417,0.417,0.417,0.417,0.313,0.387,0.238,1.088,0.598,0.598,0.565,0.565,0.565,0.565,0.565,0.565,0.309,0.379,0.224,0.224,0.529,0.529,0.491,0.491,0.491,0.491,0.491,0.491,0.144,0.359,0.23,0.575,0.494,0.494,0.381,0.381,0.381,0.381,0.381,0.381,0.244,0.332,0.177,0.809,0.371,0.371,0.444,0.444,0.444,0.444,0.444,0.444,0.161,0.253,0.184,0,0.326,0.326,0.516,0.516,0.516,0.516,0.516,0.516,0.187,0.294,0.214,0,0.379,0.379,0.379,0.379,0.379,0.379,0.379,0.379,0.23,0.253,0.184,0.597,0.379,0.379,0.446,0.446,0.446,0.446,0.446,0.446,0.271,0.298,0.216,0.703,0.446,0.446
Kouravel,0.132,0.132,0.132,0.132,0.132,0.132,0.147,0.204,0.274,0.414,0.122,0.122,0.222,0.222,0.222,0.222,0.222,0.222,0.495,0.366,0.969,0.689,0.219,0.219,0.264,0.264,0.264,0.264,0.264,0.264,0.47,0.413,1.079,0.769,0.247,0.247,0.305,0.305,0.305,0.305,0.305,0.305,0.443,0.356,0.529,0.659,0.306,0.306,0.259,0.259,0.259,0.259,0.259,0.259,0.343,0.376,0.244,0.542,0.213,0.213,0.164,0.164,0.164,0.164,0.164,0.164,0.273,0.299,0.52,0.512,0.192,0.192,0.187,0.187,0.187,0.187,0.187,0.187,0.345,0.336,0.832,0.637,0.216,0.216,0.217,0.217,0.217,0.217,0.217,0.217,0.401,0.391,0.967,0.74,0.251,0.251,0.165,0.165,0.165,0.165,0.165,0.165,0.301,0.283,0.363,0.354,0.181,0.181,0.194,0.194,0.194,0.194,0.194,0.194,0.354,0.333,0.427,0.417,0.214,0.214
Kassa,0.144,0.144,0.144,0.144,0.144,0.144,0.085,0.187,0.147,0.04,0.154,0.154,0.209,0.209,0.209,0.209,0.209,0.209,0.321,0.321,0.226,0.078,0.353,0.353,0.347,0.347,0.347,0.347,0.347,0.347,0.305,0.333,0.241,0.148,0.51,0.51,0.484,0.484,0.484,0.484,0.484,0.484,0.453,0.322,0.226,0.488,0.496,0.496,0.436,0.436,0.436,0.436,0.436,0.436,0.179,0.286,0.232,0.045,0.344,0.344,0.265,0.265,0.265,0.265,0.265,0.265,0.268,0.248,0.179,0.138,0.347,0.347,0.324,0.324,0.324,0.324,0.324,0.324,0.285,0.257,0.186,0.157,0.362,0.362,0.376,0.376,0.376,0.376,0.376,0.376,0.332,0.299,0.216,0.182,0.421,0.421,0.334,0.334,0.334,0.334,0.334,0.334,0.235,0.2,0.186,0.164,0.105,0.105,0.393,0.393,0.393,0.393,0.393,0.393,0.277,0.235,0.218,0.193,0.124,0.124
Morisanako,0.176,0.176,0.176,0.176,0.176,0.176,0.139,0.234,0.146,0.666,0.24,0.24,0.376,0.376,0.376,0.376,0.376,0.376,0.224,0.471,0.224,0.561,0.332,0.332,0.36,0.36,0.36,0.36,0.36,0.36,0.394,0.418,0.598,1.088,0.435,0.435,0.425,0.425,0.425,0.425,0.425,0.425,0.54,0.394,0.596,1.024,0.506,0.506,0.476,0.476,0.476,0.476,0.476,0.476,0.254,0.381,0.231,0.773,0.395,0.395,0.304,0.304,0.304,0.304,0.304,0.304,0.284,0.302,0.507,0.809,0.366,0.366,0.309,0.309,0.309,0.309,0.309,0.309,0.295,0.313,0.525,0.839,0.356,0.356,0.359,0.359,0.359,0.359,0.359,0.359,0.343,0.364,0.61,0.975,0.414,0.414,0.335,0.335,0.335,0.335,0.335,0.335,0.147,0.24,0.184,0,0.288,0.288,0.395,0.395,0.395,0.395,0.395,0.395,0.174,0.282,0.217,0,0.339,0.339
Grand Kinkon,0.064,0.064,0.064,0.064,0.064,0.064,0.157,0.268,0.67,0.408,0.054,0.054,0.115,0.115,0.115,0.115,0.115,0.115,0.546,0.921,1.027,0.676,0.116,0.116,0.15,0.15,0.15,0.15,0.15,0.15,0.48,1.094,1.094,0.752,0.133,0.133,0.196,0.196,0.196,0.196,0.196,0.196,0.457,0.834,0.944,0.643,0.198,0.198,0.148,0.148,0.148,0.148,0.148,0.148,0.355,0.86,0.638,0.592,0.104,0.104,0.08,0.08,0.08,0.08,0.08,0.08,0.278,0.738,0.798,0.504,0.106,0.106,0.101,0.101,0.101,0.101,0.101,0.101,0.354,0.844,0.844,0.621,0.128,0.128,0.118,0.118,0.118,0.118,0.118,0.118,0.411,0.98,0.98,0.722,0.148,0.148,0.077,0.077,0.077,0.077,0.077,0.077,0.313,0.63,0.77,0.346,0.094,0.094,0.091,0.091,0.091,0.091,0.091,0.091,0.368,0.741,0.906,0.407,0.11,0.11
Boureya,0.218,0.218,0.218,0.218,0.218,0.218,0.224,0.304,0.532,0.125,0.218,0.218,0.184,0.184,0.184,0.184,0.184,0.184,0.213,0.329,0.226,0.007,0.36,0.36,0.313,0.313,0.313,0.313,0.313,0.313,0.365,0.468,1.052,1.089,0.406,0.406,0.373,0.373,0.373,0.373,0.373,0.373,0.248,0.433,0.991,0.66,0.385,0.385,0.348,0.348,0.348,0.348,0.348,0.348,0.289,0.465,1.015,0.839,0.376,0.376,0.29,0.29,0.29,0.29,0.29,0.29,0.701,0.418,0.783,0.69,0.3,0.3,0.368,0.368,0.368,0.368,0.368,0.368,0.327,0.327,0.614,0.84,0.292,0.292,0.428,0.428,0.428,0.428,0.428,0.428,0.38,0.38,0.714,0.976,0.34,0.34,0.287,0.287,0.287,0.287,0.287,0.287,0.169,0.299,0.62,0.84,0.313,0.313,0.338,0.338,0.338,0.338,0.338,0.338,0.199,0.352,0.73,0.988,0.369,0.369
DIESEL_HFO,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
New_HFO,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
PV,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Karpowership_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kipe_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
GDE_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kaloum5,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kaloum3_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kaloum1_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kaloum2_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Te_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
BESS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
