Variable,country,zone,generator,fuel,year,baseline
Capacity: MW,Burkina,Burkina,NIOFILA,Reservoir,2031,1.5
Capacity: MW,Burkina,Burkina,NIOFILA,Reservoir,2032,1.5
Capacity: MW,Burkina,Burkina,NIOFILA,Reservoir,2033,1.5
Capacity: MW,Burkina,Burkina,NIOFILA,Reservoir,2034,1.5
Capacity: MW,Burkina,Burkina,NIOFILA,Reservoir,2035,1.5
Capacity: MW,Burkina,Burkina,NIOFILA,Reservoir,2040,1.5
Capacity: MW,Burkina,Burkina,NIOFILA,Reservoir,2045,1.5
Capacity: MW,Burkina,Burkina,NIOFILA,Reservoir,2050,1.5
Capacity: MW,Burkina,Burkina,Nagreongo,PV,2026,30.0
Capacity: MW,Burkina,Burkina,Nagreongo,PV,2027,30.0
Capacity: MW,Burkina,Burkina,Nagreongo,PV,2028,30.0
Capacity: MW,Burkina,Burkina,Nagreongo,PV,2029,30.0
Capacity: MW,Burkina,Burkina,Nagreongo,PV,2030,30.0
Capacity: MW,Burkina,Burkina,Nagreongo,PV,2031,30.0
Capacity: MW,Burkina,Burkina,Nagreongo,PV,2032,30.0
Capacity: MW,Burkina,Burkina,Nagreongo,PV,2033,30.0
Capacity: MW,Burkina,Burkina,Nagreongo,PV,2034,30.0
Capacity: MW,Burkina,Burkina,Nagreongo,PV,2035,30.0
Capacity: MW,Burkina,Burkina,Nagreongo,PV,2040,30.0
Capacity: MW,Burkina,Burkina,Nagreongo,PV,2045,30.0
Capacity: MW,Burkina,Burkina,OUAGAI,Diesel,2026,5.4
Capacity: MW,Burkina,Burkina,OUAGAI,Diesel,2027,5.4
Capacity: MW,Burkina,Burkina,OUAGAI,Diesel,2028,5.4
Capacity: MW,Burkina,Burkina,OUAGAI,Diesel,2029,5.4
Capacity: MW,Burkina,Burkina,OUAGAI,Diesel,2030,5.4
Capacity: MW,Burkina,Burkina,OUAGAI,Diesel,2031,5.4
Capacity: MW,Burkina,Burkina,OUAGAI,Diesel,2032,5.4
Capacity: MW,Burkina,Burkina,OUAGAII,Diesel,2026,35.08
Capacity: MW,Burkina,Burkina,OUAGAII,Diesel,2027,35.08
Capacity: MW,Burkina,Burkina,OUAGAII,Diesel,2028,35.08
Capacity: MW,Burkina,Burkina,OUAGAII,Diesel,2029,35.08
Capacity: MW,Burkina,Burkina,OUAGAII,Diesel,2030,35.08
Capacity: MW,Burkina,Burkina,OUAGAII,Diesel,2031,35.08
Capacity: MW,Burkina,Burkina,OUAGAII,Diesel,2032,35.08
Capacity: MW,Burkina,Burkina,OUAHIGOUYA,Diesel,2026,5.2
Capacity: MW,Burkina,Burkina,OUAHIGOUYA,Diesel,2027,5.2
Capacity: MW,Burkina,Burkina,OUAHIGOUYA,Diesel,2028,5.2
Capacity: MW,Burkina,Burkina,OUAHIGOUYA,Diesel,2029,5.2
Capacity: MW,Burkina,Burkina,OUAHIGOUYA,Diesel,2030,5.2
Capacity: MW,Burkina,Burkina,OUAHIGOUYA,Diesel,2031,5.2
Capacity: MW,Burkina,Burkina,OUAHIGOUYA,Diesel,2032,5.2
Capacity: MW,Burkina,Burkina,Ouaga NO,PV,2026,42.0
Capacity: MW,Burkina,Burkina,Ouaga NO,PV,2027,42.0
Capacity: MW,Burkina,Burkina,Ouaga NO,PV,2028,42.0
Capacity: MW,Burkina,Burkina,Ouaga NO,PV,2029,42.0
Capacity: MW,Burkina,Burkina,Ouaga NO,PV,2030,42.0
Capacity: MW,Burkina,Burkina,Ouaga NO,PV,2031,42.0
Capacity: MW,Burkina,Burkina,Ouaga NO,PV,2032,42.0
Capacity: MW,Burkina,Burkina,Ouaga NO,PV,2033,42.0
Capacity: MW,Burkina,Burkina,Ouaga NO,PV,2034,42.0
Capacity: MW,Burkina,Burkina,Ouaga NO,PV,2035,42.0
Capacity: MW,Burkina,Burkina,Ouaga NO,PV,2040,42.0
Capacity: MW,Burkina,Burkina,Ouaga NO,PV,2045,42.0
Capacity: MW,Burkina,Burkina,Ouaga NO,PV,2050,42.0
Capacity: MW,Burkina,Burkina,Ouaga-NordOuest,Diesel,2026,70.0
Capacity: MW,Burkina,Burkina,Ouaga-NordOuest,Diesel,2027,70.0
Capacity: MW,Burkina,Burkina,Ouaga-NordOuest,Diesel,2028,70.0
Capacity: MW,Burkina,Burkina,Ouaga-NordOuest,Diesel,2029,70.0
Capacity: MW,Burkina,Burkina,Ouaga-NordOuest,Diesel,2030,70.0
Capacity: MW,Burkina,Burkina,Ouaga-NordOuest,Diesel,2031,70.0
Capacity: MW,Burkina,Burkina,Ouaga-NordOuest,Diesel,2032,70.0
Capacity: MW,Burkina,Burkina,Ouaga-NordOuest,Diesel,2033,70.0
Capacity: MW,Burkina,Burkina,Ouaga-NordOuest,Diesel,2034,70.0
Capacity: MW,Burkina,Burkina,Ouaga-NordOuest,Diesel,2035,70.0
Capacity: MW,Burkina,Burkina,Ouaga-NordOuest,Diesel,2040,70.0
