gen,zone,tech,fuel,StYr,RetrYr,Capacity,Status,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life,BuildLimitperYear,DescreteCap,fuel2,HeatRate2,MinUtilization,RETech,UnitSize,Unnamed: 26
Dedisa_TH_ZAF,South_Africa,OCGT,HFO,2015,2065,335.0,1,,13.62107811,,,,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,
Dedza_WIND_MWI,Malawi,OnshoreWind,Wind,2027,2057,0.0,3,,0.0,1.0,1.0,,,,,,,,0.0,0.0,,0.0,0.0,1.0,0.0,
DemaEmergency_TH_ZWE,Zimbabwe,ICE,HFO,2017,2020,200.0,1,,11.373804,,,,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,
Devil'sGorgeNorth_HY_ZMB,Zambia,ReservoirHydro,Water,2035,2112,600.0,3,,,,,,0.278070484,,,0.0,4.248837209,50.0,600.0,0.0,,0.0,0.0,0.0,0.0,
Devil'sGorgeSouth_HY_ZWE,Zimbabwe,ReservoirHydro,Water,2038,2115,620.0,3,,,,,,0.275342466,,,0.0,4.248837209,50.0,600.0,0.0,,0.0,0.0,0.0,0.0,
Diaz_Wind_NAM,Namibia,OnshoreWind,Wind,2027,2057,50.0,2,,0.0,1.0,1.0,,,,,,,,44.0,0.0,,0.0,0.0,1.0,0.0,
DrakensbergPH_HY_ZAF,South_Africa,Storage,Water,1985,2060,1000.0,1,,0.0,1.0,1.0,0.0,0.8,46500.0,0.55,0.0,0.0,50.0,,0.0,,0.0,0.0,0.0,0.0,
Duvha_TH_ZAF,South_Africa,ST,Coal,1980,2032,2875.0,1,0.3,12.3,,,,,,,,0.0,,,0.0,,0.0,0.05,0.0,479.1666667,
Duynefontein_NU_ZAF,South_Africa,ST,Uranium,2032,2072,2500.0,3,,9.2886066,0.1,0.1,0.0,0.0,100000.0,2.3,0.0,6.295957066,50.0,2500.0,0.0,,0.0,0.6,0.0,0.0,
Edwaleni1_HY_SWZ,Eswatini,ROR,Water,2000,2080,10.0,1,,,,,,0.152,,,0.0,0.0,50.0,,0.0,,0.0,0.0,0.0,0.0,
Edwaleni2_HY_SWZ,Eswatini,ROR,Water,2000,2080,5.0,1,,,,,,0.152,,,0.0,0.0,50.0,,0.0,,0.0,0.0,0.0,0.0,
EdwaleniThermal_TH_SWZ,Eswatini,ICE,HFO,2000,2050,9.0,1,,11.73397446,,,,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,
EEC_Solar_PV,Eswatini,PV,Solar,2021,2051,10.0,1,,0.0,,,,,,,,0.0,,0.0,0.0,,0.0,0.0,1.0,0.0,
Ethanol_project_BM_MWI,Malawi,ST,Biomass,2032,2062,28.0,3,,10.0,,,,,,10.0,,7.2,,28.0,0.0,,0.0,0.0,0.0,0.0,
Existing _PV_NAM,Namibia,PV,Solar,2015,2060,127.0,1,,0.0,,,,,,,,0.0,,0.0,0.0,,0.0,0.0,1.0,0.0,
Existing _PV_ZIM,Zimbabwe,PV,Solar,2022,2060,132.0,1,,0.0,,,,,,,,0.0,,,0.0,,0.0,0.0,1.0,0.0,
Existing_AusWind_NAM,Namibia,OnshoreWind,Wind,2020,2055,5.0,1,,0.0,1.0,1.0,,,,,,,,0.0,0.0,,0.0,0.0,1.0,0.0,
Existing_HY_MOZ,Mozambique,ReservoirHydro,Water,2000,2060,114.0,1,,,,,,0.406440138,,,0.0,0.0,50.0,,0.0,,0.0,0.0,0.0,0.0,
ExistingCSP(CSP)_REN_ZAF,South_Africa,CSPPlant,CSP,2005,2045,0.0,1,,0.0,1.0,1.0,0.0,0.8,22000.0,3.0,0.0,0.0,30.0,,0.0,,0.0,0.0,0.0,0.0,
ExistingHydro1985_HY_ZAF,South_Africa,ROR,Water,1985,2060,44.0,1,,,,,,0.185,,,0.0,0.0,50.0,,0.0,,0.0,0.0,0.0,0.0,
ExistingHydro2015_HY_ZAF,South_Africa,ROR,Water,2015,2060,19.0,1,,,,,,0.185,,,0.0,0.0,50.0,,0.0,,0.0,0.0,0.0,0.0,
ExistingSmallHydro2000_HY_AGO,Angola,ROR,Water,2000,2060,16.0,1,,,,,,0.121826136,,,0.0,0.0,50.0,,0.0,,0.0,0.0,0.0,0.0,
ExistingSmallHydro2012_HY_AGO,Angola,ReservoirHydro,Water,2012,2060,136.0,1,,,,,,0.121826136,,,0.0,0.0,50.0,,0.0,,0.0,0.0,0.0,0.0,
ExistingSolar_REN_MOZ,Mozambique,PV,Solar,2019,2060,20.0,1,,0.0,,,,,,,,0.0,,0.0,0.0,,0.0,0.0,1.0,0.0,
ExistingSolarPV(PV)_REN_ZAF,South_Africa,PV,Solar,2017,2060,2290.0,1,,0.0,,,,,,,,0.0,,,0.0,,0.0,0.0,1.0,0.0,
ExistingWind_REN_ZAF,South_Africa,OnshoreWind,Wind,2015,2045,3442.0,1,,,,,,,,,,,,,0.0,,0.0,0.0,1.0,0.0,
Ezulwini_HY_SWZ,Eswatini,ROR,Water,2000,2080,20.0,1,,,,,,0.1,,,0.0,0.0,50.0,,0.0,,0.0,0.0,0.0,0.0,
Francistown_TH_BWA,Botswana,ICE,HFO,2000,2026,73.0,1,,10.41544727,,,,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,
Gairezi_HY_ZWE,Zimbabwe,ROR,Water,2020,2060,40.0,1,,,,,,0.275342466,,,0.0,0.0,50.0,0.0,0.0,,0.0,0.0,0.0,0.0,
Gariep_HY_ZAF,South_Africa,ReservoirHydro,Water,1971,2060,360.0,1,,,,,,0.185,,,0.0,0.0,50.0,,0.0,,0.0,0.0,0.0,0.0,
GasTurbine_TH_LSO,Lesotho,OCGT,LNG,2027,2077,500.0,3,,,,,,,,,,1.016815742,,500.0,0.0,7.0,9.7,0.05,0.0,0.0,
GasTurbine_TH_SWL,Eswatini,OCGT,LNG,2027,2077,500.0,3,,,,,,,,,,1.016815742,,200.0,0.0,7.0,9.7,0.05,0.0,0.0,
GecaminesCoal(100)_TH_AGO,Lesotho,ST,Coal,2025,2070,0.0,3,,8.6,,,,,,,,2.466504472,,0.0,0.0,,0.0,0.05,0.0,0.0,
GenericDieselCan_DRC,DRC,ICE,HFO,2024,2054,500.0,3,,10.42,,,,,,,,0.933810376,,500.0,0.0,,0.0,0.06,0.0,0.0,
GenericDieselCan_LSO,Lesotho,ICE,HFO,2024,2054,0.0,3,,10.42,,,,,,,,0.933810376,,200.0,0.0,,0.0,0.06,0.0,0.0,
GenericDieselCan_SWL,Eswatini,ICE,HFO,2024,2054,0.0,3,,10.42,,,,,,,,0.933810376,,200.0,0.0,,0.0,0.06,0.0,0.0,
GenericDieselCan_ZAF,South_Africa,ICE,HFO,2024,2054,0.0,3,,10.42,,,,,,,,0.933810376,,2000.0,0.0,,0.0,0.06,0.0,0.0,
GenericDieselCan_ZMB,Zambia,ICE,HFO,2026,2053,200.0,3,,10.42,,,,,,,,0.830053667,,100.0,0.0,,0.0,0.06,0.0,0.0,
Golomoti_BESS,Malawi,Storage,Battery,2022,2042,5.0,1,,,,,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,
Golomoti_PV_MWI,Malawi,PV,Solar,2022,2060,20.0,1,,0.0,,,,,,,,0.0,,0.0,0.0,,0.0,0.0,1.0,0.0,
Gourikwa_TH_ZAF,South_Africa,OCGT,HFO,2007,2057,740.0,1,,9.39286647,,,,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,
GowkeNorth_TH_ZWE,Zimbabwe,ST,Coal,2031,2060,1400.0,3,,,,,,,,,0.0,0.0,50.0,0.0,0.0,,0.0,0.0,0.0,0.0,
Grootvlei_TH_ZAF,South_Africa,ST,Coal,1969,2030,570.0,1,0.3,13.1,,,,,,,,0.0,,,0.0,,0.0,0.05,0.0,186.6666667,
Hamilton_Falls_HY_MWI,Malawi,ReservoirHydro,Water,2055,2060,87.0,3,,,,,,0.325077306,,,0.0,3.536,50.0,87.0,0.0,,0.0,0.0,0.0,0.0,
