g,z,tech,f,Status,StYr,RetrYr,Capacity,BuildLimitperYear,Life,HeatRate,RampUpRate,RampDnRate,ResLimShare,Capex,FOMperMW,VOM,ReserveCost,UnitSize
TUFANBEYLI_1,EastMed,ST,DomesticCoal,1,2015,2060,150,150,50,11.06556456,0.05,0.05,0.03,,40000,4,10,
TUFANBEYLI_2,EastMed,ST,DomesticCoal,1,2015,2060,150,150,50,11.06556456,0.05,0.05,0.03,,40000,4,10,
TUFANBEYLI_3,EastMed,ST,DomesticCoal,1,2016,2060,150,150,50,11.06556456,0.05,0.05,0.03,,40000,4,10,
TUNCBILEK_A,NorthWest,ST,DomesticCoal,1,1956,2060,65,65,50,12.99182642,0.05,0.05,0.03,,40000,4,10,
TUNCBILEK_B1,NorthWest,ST,DomesticCoal,1,1977,2060,150,150,50,13.19818117,0.05,0.05,0.03,,40000,4,10,
TUNCBILEK_B2,NorthWest,ST,DomesticCoal,1,1978,2060,150,150,50,13.19818117,0.05,0.05,0.03,,40000,4,10,
YATAGAN_1,WestAna,ST,DomesticCoal,1,1982,2060,210,210,50,11.67232872,0.05,0.05,0.03,,40000,4,10,
YATAGAN_2,WestAna,ST,DomesticCoal,1,1983,2060,210,210,50,11.67232872,0.05,0.05,0.03,,40000,4,10,
YATAGAN_3,WestAna,ST,DomesticCoal,1,1984,2060,210,210,50,11.67232872,0.05,0.05,0.03,,40000,4,10,
YENIKOY_1,WestAna,ST,DomesticCoal,1,1986,2060,221,221,50,11.01922365,0.05,0.05,0.03,,40000,4,10,
YENIKOY_2,WestAna,ST,DomesticCoal,1,1987,2060,221,221,50,11.01922365,0.05,0.05,0.03,,40000,4,10,
YUNUS_EMRE,CenterAna,ST,DomesticCoal,1,2016,2060,145,145,50,13.11878659,0.05,0.05,0.03,,40000,4,10,
WestMed_Agg_Lignite,WestMed,ST,DomesticCoal,1,2000,2060,39,39,50,12.76,0.05,0.05,0.03,,40000,4,10,
EastAna_Agg_Lignite,EastAna,ST,DomesticCoal,1,2000,2060,4,4,50,12.76,0.05,0.05,0.03,,40000,4,10,
SouthEast_Agg_Lignite,SouthEast,ST,DomesticCoal,1,2000,2060,10,10,50,12.76,0.05,0.05,0.03,,40000,4,10,
NorthWest_Agg_Lignite,NorthWest,ST,DomesticCoal,1,2000,2060,20,20,50,12.76,0.05,0.05,0.03,,40000,4,10,
