season,day,hour,Load_Bosnia and Herzegovina,Load_Croatia,PV_Bosnia and Herzegovina,PV_Croatia,Wind_Bosnia and Herzegovina,Wind_Croatia
1,2,20,0.7072,0.7413,0.0,0.0,0.033,0.246
1,2,21,0.7247,0.7321,0.0,0.0,0.037,0.234
1,2,22,0.6556,0.6735,0.0,0.0,0.033,0.278
1,2,23,0.5746,0.6088,0.0,0.0,0.05,0.3
1,3,0,0.5366,0.5676,0.0,0.0,0.07,0.318
1,3,1,0.51,0.5388,0.0,0.0,0.084,0.299
1,3,2,0.5003,0.5283,0.0,0.0,0.096,0.343
1,3,3,0.4867,0.5136,0.0,0.0,0.107,0.345
1,3,4,0.5132,0.5424,0.009,0.007,0.132,0.344
1,3,5,0.5509,0.5832,0.078,0.073,0.117,0.33
1,3,6,0.5912,0.6269,0.17,0.158,0.114,0.299
1,3,7,0.6256,0.6643,0.318,0.218,0.129,0.44
1,3,8,0.6475,0.6881,0.537,0.241,0.145,0.629
1,3,9,0.654,0.6951,0.632,0.296,0.178,0.704
1,3,10,0.6461,0.6865,0.713,0.429,0.213,0.724
1,3,11,0.6286,0.6676,0.721,0.474,0.242,0.721
1,3,12,0.6087,0.646,0.655,0.422,0.261,0.7
1,3,13,0.5934,0.6295,0.544,0.28,0.275,0.65
1,3,14,0.5882,0.6238,0.395,0.17,0.274,0.559
1,3,15,0.5949,0.6311,0.214,0.071,0.227,0.452
1,3,16,0.6114,0.6491,0.063,0.042,0.154,0.298
1,3,17,0.6324,0.6719,0.0,0.009,0.126,0.226
1,3,18,0.6507,0.6917,0.0,0.0,0.102,0.264
1,3,19,0.6591,0.7008,0.0,0.0,0.081,0.273
1,3,20,0.681,0.7117,0.0,0.0,0.068,0.277
1,3,21,0.7033,0.7084,0.0,0.0,0.066,0.33
1,3,22,0.6355,0.6523,0.0,0.0,0.073,0.371
1,3,23,0.5557,0.5888,0.0,0.0,0.079,0.433
1,4,0,0.5178,0.5477,0.0,0.0,0.085,0.47
1,4,1,0.491,0.5186,0.0,0.0,0.087,0.427
1,4,2,0.4814,0.5082,0.0,0.0,0.088,0.397
1,4,3,0.4911,0.5188,0.0,0.0,0.094,0.385
1,4,4,0.5181,0.5481,0.028,0.024,0.104,0.319
1,4,5,0.5561,0.5893,0.128,0.129,0.083,0.201
1,4,6,0.5968,0.6334,0.246,0.29,0.055,0.165
1,4,7,0.6315,0.6711,0.332,0.393,0.071,0.246
1,4,8,0.6537,0.6952,0.409,0.358,0.106,0.307
1,4,9,0.6604,0.7024,0.475,0.402,0.146,0.301
1,4,10,0.6526,0.694,0.548,0.615,0.184,0.289
1,4,11,0.6353,0.6753,0.582,0.684,0.221,0.309
1,4,12,0.6154,0.6537,0.543,0.632,0.244,0.337
1,4,13,0.6002,0.6372,0.439,0.512,0.246,0.383
1,4,14,0.5949,0.6315,0.3,0.386,0.233,0.405
1,4,15,0.6015,0.6387,0.194,0.251,0.198,0.33
1,4,16,0.6179,0.6566,0.079,0.092,0.141,0.211
1,4,17,0.6388,0.6792,0.002,0.007,0.096,0.195
1,4,18,0.6569,0.6988,0.0,0.0,0.064,0.202
1,4,19,0.6651,0.7077,0.0,0.0,0.058,0.214
1,4,20,0.6871,0.7185,0.0,0.0,0.061,0.229
1,4,21,0.709,0.7149,0.0,0.0,0.069,0.295
1,4,22,0.6407,0.6584,0.0,0.0,0.082,0.317
1,4,23,0.5605,0.5944,0.0,0.0,0.1,0.361
1,5,0,0.5223,0.553,0.0,0.0,0.121,0.392
1,5,1,0.4951,0.5236,0.0,0.0,0.139,0.408
1,5,2,0.4852,0.5127,0.0,0.0,0.161,0.426
1,5,3,0.4946,0.523,0.0,0.0,0.188,0.461
1,5,4,0.5429,0.5754,0.027,0.027,0.223,0.485
1,5,5,0.5799,0.6155,0.139,0.155,0.214,0.367
1,5,6,0.6205,0.6596,0.243,0.333,0.177,0.252
1,5,7,0.6572,0.6994,0.453,0.49,0.254,0.45
1,5,8,0.6836,0.728,0.617,0.607,0.296,0.548
1,5,9,0.6968,0.7424,0.693,0.682,0.314,0.542
1,5,10,0.6973,0.743,0.732,0.715,0.318,0.535
1,5,11,0.6887,0.7337,0.722,0.702,0.323,0.553
1,5,12,0.6767,0.7206,0.664,0.655,0.318,0.574
1,5,13,0.667,0.7101,0.494,0.5,0.298,0.534
1,5,14,0.6638,0.7067,0.276,0.18,0.281,0.422
1,5,15,0.6686,0.7119,0.165,0.082,0.264,0.341
1,5,16,0.6798,0.7241,0.074,0.035,0.246,0.316
1,5,17,0.6928,0.7382,0.003,0.001,0.235,0.283
1,5,18,0.7018,0.748,0.0,0.0,0.224,0.258
1,5,19,0.7012,0.7473,0.0,0.0,0.241,0.276
1,5,20,0.7096,0.7464,0.0,0.0,0.275,0.359
1,5,21,0.7283,0.738,0.0,0.0,0.305,0.451
1,5,22,0.6615,0.6811,0.0,0.0,0.328,0.532
1,5,23,0.5812,0.6172,0.0,0.0,0.358,0.571
1,6,0,0.5436,0.5765,0.0,0.0,0.399,0.535
1,6,1,0.5175,0.5482,0.0,0.0,0.428,0.497
1,6,2,0.5081,0.5381,0.0,0.0,0.44,0.497
1,6,3,0.5175,0.5483,0.0,0.0,0.437,0.53
1,6,4,0.5436,0.5766,0.03,0.023,0.405,0.53
1,6,5,0.581,0.6171,0.159,0.1,0.333,0.462
1,6,6,0.622,0.6616,0.332,0.257,0.268,0.254
1,6,7,0.659,0.7018,0.493,0.436,0.21,0.319
1,6,8,0.6859,0.731,0.6,0.56,0.218,0.471
1,6,9,0.6996,0.7458,0.631,0.664,0.208,0.412
1,6,10,0.7006,0.7469,0.579,0.671,0.207,0.366
1,6,11,0.6925,0.7382,0.528,0.567,0.202,0.371
1,6,12,0.681,0.7257,0.472,0.601,0.219,0.407
1,6,13,0.6718,0.7158,0.379,0.485,0.221,0.487
1,6,14,0.6692,0.713,0.254,0.293,0.18,0.42
1,6,15,0.6746,0.7189,0.128,0.18,0.116,0.364
1,6,16,0.6864,0.7316,0.043,0.11,0.068,0.331
1,6,17,0.7,0.7464,0.0,0.013,0.053,0.37
1,6,18,0.7095,0.7568,0.0,0.0,0.05,0.397
1,6,19,0.7095,0.7567,0.0,0.0,0.145,0.405
1,6,20,0.7201,0.7574,0.0,0.0,0.304,0.285
1,6,21,0.739,0.7494,0.0,0.0,0.306,0.098
1,6,22,0.6715,0.6924,0.0,0.0,0.207,0.07
1,6,23,0.5916,0.629,0.0,0.0,0.232,0.405
1,7,0,0.5545,0.5888,0.0,0.0,0.202,0.676
1,7,1,0.5288,0.5609,0.0,0.0,0.174,0.758
1,7,2,0.5199,0.5513,0.0,0.0,0.293,0.804
1,7,3,0.5297,0.5619,0.0,0.0,0.499,0.832
1,7,4,0.5561,0.5906,0.02,0.023,0.573,0.836
1,7,5,0.5938,0.6314,0.114,0.121,0.62,0.863
1,7,6,0.6351,0.6762,0.248,0.29,0.667,0.894
1,7,7,0.6723,0.7166,0.362,0.476,0.63,0.879
1,7,8,0.6994,0.746,0.425,0.622,0.5,0.839
1,7,9,0.7131,0.761,0.498,0.707,0.331,0.798
1,7,10,0.7142,0.7621,0.518,0.732,0.213,0.758
1,7,11,0.7061,0.7534,0.522,0.717,0.186,0.706
1,7,12,0.6946,0.7409,0.51,0.673,0.186,0.657
1,7,13,0.6853,0.7308,0.486,0.597,0.205,0.623
1,7,14,0.6825,0.7278,0.405,0.467,0.23,0.623
1,7,15,0.6877,0.7334,0.257,0.294,0.28,0.613
1,7,16,0.6991,0.7459,0.087,0.112,0.333,0.545
1,7,17,0.7124,0.7603,0.006,0.016,0.399,0.573
1,7,18,0.7215,0.7702,0.0,0.0,0.492,0.695
1,7,19,0.721,0.7696,0.0,0.0,0.574,0.703
1,7,20,0.7332,0.771,0.0,0.0,0.623,0.682
1,7,21,0.7509,0.7622,0.0,0.0,0.622,0.657
1,7,22,0.6814,0.7037,0.0,0.0,0.602,0.638
1,7,23,0.6007,0.6392,0.0,0.0,0.597,0.623
1,8,0,0.5628,0.5982,0.0,0.0,0.604,0.62
1,8,1,0.5364,0.5695,0.0,0.0,0.573,0.623
1,8,2,0.5266,0.559,0.0,0.0,0.532,0.623
1,8,3,0.5355,0.5687,0.0,0.0,0.504,0.633
1,8,4,0.561,0.5964,0.022,0.022,0.476,0.565
1,8,5,0.5977,0.6362,0.181,0.123,0.32,0.351
1,8,6,0.6381,0.6799,0.38,0.322,0.35,0.36
1,8,7,0.6743,0.7192,0.546,0.51,0.21,0.462
1,8,8,0.7003,0.7474,0.666,0.632,0.096,0.362
1,8,9,0.713,0.7613,0.739,0.711,0.036,0.229
1,8,10,0.713,0.7613,0.768,0.745,0.013,0.138
1,8,11,0.7039,0.7514,0.755,0.738,0.011,0.077
1,8,12,0.6912,0.7376,0.7,0.689,0.024,0.046
1,8,13,0.6808,0.7264,0.6,0.598,0.04,0.044
1,8,14,0.6769,0.7222,0.456,0.464,0.07,0.058
1,8,15,0.681,0.7267,0.265,0.293,0.096,0.07
1,8,16,0.6914,0.738,0.082,0.112,0.128,0.06
1,8,17,0.7036,0.7512,0.005,0.017,0.153,0.058
1,8,18,0.7117,0.76,0.0,0.0,0.136,0.113
1,8,19,0.7102,0.7583,0.0,0.0,0.094,0.255
1,8,20,0.7154,0.755,0.0,0.0,0.056,0.316
1,8,21,0.7336,0.7456,0.0,0.0,0.048,0.293
1,8,22,0.6673,0.6886,0.0,0.0,0.035,0.269
1,8,23,0.5861,0.6239,0.0,0.0,0.024,0.258
1,9,0,0.5475,0.582,0.0,0.0,0.022,0.294
1,9,1,0.5202,0.5524,0.0,0.0,0.03,0.396
1,9,2,0.5097,0.5411,0.0,0.0,0.052,0.517
1,9,3,0.518,0.5501,0.0,0.0,0.086,0.578
1,9,4,0.5429,0.5771,0.032,0.031,0.134,0.527
1,9,5,0.579,0.6163,0.156,0.161,0.123,0.298
1,9,6,0.6188,0.6595,0.334,0.33,0.118,0.275
1,9,7,0.6546,0.6983,0.49,0.471,0.125,0.347
1,9,8,0.6803,0.7261,0.584,0.523,0.117,0.443
1,9,9,0.6927,0.7396,0.616,0.494,0.104,0.503
1,9,10,0.6924,0.7394,0.6,0.549,0.102,0.543
1,9,11,0.6831,0.7293,0.555,0.558,0.118,0.564
1,9,12,0.6704,0.7155,0.453,0.499,0.149,0.574
1,9,13,0.6599,0.7042,0.366,0.409,0.189,0.591
1,9,14,0.6561,0.7,0.294,0.295,0.238,0.611
1,9,15,0.6603,0.7046,0.198,0.189,0.29,0.599
1,9,16,0.6709,0.7161,0.083,0.09,0.339,0.544
1,9,17,0.6833,0.7296,0.007,0.015,0.439,0.573
1,9,18,0.6917,0.7387,0.0,0.0,0.561,0.721
1,9,19,0.6905,0.7375,0.0,0.0,0.582,0.66
1,9,20,0.6961,0.7345,0.0,0.0,0.541,0.632
1,9,21,0.7148,0.7257,0.0,0.0,0.552,0.626
1,9,22,0.6491,0.6692,0.0,0.0,0.593,0.633
1,9,23,0.5685,0.6052,0.0,0.0,0.64,0.623
1,10,0,0.5305,0.564,0.0,0.0,0.664,0.733
1,10,1,0.5039,0.5352,0.0,0.0,0.682,0.695
1,10,2,0.4942,0.5246,0.0,0.0,0.688,0.633
1,10,3,0.4806,0.51,0.0,0.0,0.69,0.553
1,10,4,0.5071,0.5387,0.028,0.03,0.652,0.446
1,10,5,0.5447,0.5795,0.172,0.134,0.651,0.371
1,10,6,0.5851,0.6233,0.354,0.274,0.794,0.534
1,10,7,0.6195,0.6606,0.511,0.453,0.851,0.766
1,10,8,0.6414,0.6844,0.606,0.611,0.869,0.811
1,10,9,0.6479,0.6914,0.582,0.708,0.864,0.768
1,10,10,0.64,0.6829,0.546,0.744,0.832,0.637
1,10,11,0.6225,0.664,0.45,0.735,0.791,0.468
1,10,12,0.6026,0.6424,0.374,0.634,0.749,0.318
1,10,13,0.5874,0.6259,0.294,0.481,0.701,0.223
1,10,14,0.5821,0.6202,0.25,0.341,0.66,0.156
1,10,15,0.5888,0.6275,0.213,0.249,0.657,0.108
1,10,16,0.6053,0.6454,0.091,0.112,0.594,0.095
1,10,17,0.6264,0.6682,0.008,0.021,0.565,0.115
1,10,18,0.6446,0.688,0.0,0.0,0.539,0.172
1,10,19,0.653,0.6972,0.0,0.0,0.468,0.245
1,10,20,0.67,0.7049,0.0,0.0,0.46,0.339
1,10,21,0.6938,0.7022,0.0,0.0,0.5,0.468
1,10,22,0.6291,0.6481,0.0,0.0,0.529,0.617
1,10,23,0.5496,0.5851,0.0,0.0,0.53,0.671
1,11,0,0.5117,0.5441,0.0,0.0,0.53,0.626
1,11,1,0.4849,0.515,0.0,0.0,0.519,0.593
1,11,2,0.4753,0.5046,0.0,0.0,0.5,0.623
1,11,3,0.4851,0.5152,0.0,0.0,0.469,0.651
1,11,4,0.512,0.5445,0.019,0.023,0.403,0.516
1,11,5,0.55,0.5857,0.185,0.172,0.4,0.379
1,11,6,0.5907,0.6298,0.39,0.365,0.804,0.567
1,11,7,0.6255,0.6675,0.562,0.533,0.878,0.585
1,11,8,0.6477,0.6916,0.685,0.659,0.893,0.53
1,11,9,0.6543,0.6988,0.761,0.738,0.887,0.492
1,11,10,0.6466,0.6904,0.79,0.772,0.865,0.48
1,11,11,0.6292,0.6717,0.777,0.763,0.834,0.468
1,11,12,0.6094,0.6501,0.718,0.714,0.801,0.465
1,11,13,0.5941,0.6336,0.616,0.62,0.772,0.471
1,11,14,0.5889,0.6279,0.467,0.483,0.739,0.476
1,11,15,0.5955,0.6351,0.28,0.307,0.706,0.49
1,11,16,0.6119,0.653,0.086,0.116,0.643,0.453
1,11,17,0.6328,0.6756,0.006,0.017,0.608,0.47
1,11,18,0.6508,0.6952,0.0,0.0,0.608,0.584
1,11,19,0.659,0.7041,0.0,0.0,0.585,0.592
1,11,20,0.6707,0.7086,0.0,0.0,0.536,0.571
1,11,21,0.6952,0.7058,0.0,0.0,0.53,0.559
1,11,22,0.6339,0.6535,0.0,0.0,0.535,0.548
1,11,23,0.5545,0.5909,0.0,0.0,0.575,0.542
1,12,0,0.5163,0.5494,0.0,0.0,0.579,0.519
1,12,1,0.4891,0.52,0.0,0.0,0.588,0.466
1,12,2,0.4791,0.5092,0.0,0.0,0.588,0.393
1,12,3,0.4886,0.5194,0.0,0.0,0.582,0.369
1,12,4,0.5369,0.5718,0.031,0.023,0.522,0.377
1,12,5,0.5739,0.6119,0.17,0.173,0.429,0.226
1,12,6,0.6145,0.6561,0.379,0.359,0.527,0.239
1,12,7,0.6512,0.6958,0.548,0.523,0.37,0.227
1,12,8,0.6776,0.7245,0.668,0.65,0.202,0.18
1,12,9,0.6908,0.7388,0.743,0.728,0.107,0.118
1,12,10,0.6913,0.7394,0.772,0.76,0.051,0.055
1,12,11,0.6828,0.7301,0.758,0.75,0.016,0.015
1,12,12,0.6707,0.7171,0.702,0.699,0.006,0.006
1,12,13,0.661,0.7065,0.602,0.607,0.019,0.04
1,12,14,0.6578,0.7031,0.458,0.472,0.044,0.132
1,12,15,0.6627,0.7084,0.276,0.298,0.085,0.243
1,12,16,0.6738,0.7205,0.086,0.111,0.131,0.289
1,12,17,0.6869,0.7347,0.007,0.02,0.15,0.342
1,12,18,0.6958,0.7444,0.0,0.0,0.124,0.379
1,12,19,0.6952,0.7438,0.0,0.0,0.088,0.278
1,12,20,0.6978,0.7392,0.0,0.0,0.065,0.189
1,12,21,0.7175,0.731,0.0,0.0,0.059,0.18
1,12,22,0.655,0.6767,0.0,0.0,0.056,0.192
1,12,23,0.5752,0.6137,0.0,0.0,0.052,0.226
1,13,0,0.5376,0.573,0.0,0.0,0.053,0.27
1,13,1,0.5115,0.5446,0.0,0.0,0.053,0.316
1,13,2,0.5022,0.5345,0.0,0.0,0.051,0.345
1,13,3,0.5116,0.5448,0.0,0.0,0.041,0.342
1,13,4,0.5377,0.5731,0.026,0.03,0.038,0.319
1,13,5,0.575,0.6136,0.18,0.137,0.029,0.245
1,13,6,0.6161,0.6581,0.373,0.303,0.059,0.173
1,13,7,0.6531,0.6983,0.537,0.451,0.115,0.265
1,13,8,0.68,0.7274,0.655,0.507,0.123,0.281
1,13,9,0.6937,0.7423,0.732,0.478,0.128,0.258
1,13,10,0.6946,0.7434,0.759,0.47,0.124,0.227
1,13,11,0.6866,0.7347,0.749,0.517,0.122,0.205
1,13,12,0.6751,0.7222,0.694,0.487,0.132,0.224
1,13,13,0.6659,0.7122,0.592,0.406,0.146,0.271
1,13,14,0.6633,0.7094,0.436,0.261,0.147,0.32
1,13,15,0.6687,0.7153,0.247,0.134,0.14,0.316
1,13,16,0.6804,0.7281,0.088,0.066,0.136,0.245
1,13,17,0.694,0.7429,0.009,0.014,0.159,0.253
1,13,18,0.7036,0.7532,0.0,0.0,0.169,0.303
1,13,19,0.7035,0.7532,0.0,0.0,0.168,0.371
1,13,20,0.7105,0.7515,0.0,0.0,0.179,0.412
1,13,21,0.7302,0.7438,0.0,0.0,0.179,0.475
1,13,22,0.6653,0.6884,0.0,0.0,0.221,0.522
1,13,23,0.5857,0.6254,0.0,0.0,0.263,0.585
1,14,0,0.5486,0.5852,0.0,0.0,0.273,0.607
1,14,1,0.5229,0.5574,0.0,0.0,0.268,0.607
1,14,2,0.514,0.5478,0.0,0.0,0.338,0.567
1,14,3,0.5238,0.5584,0.0,0.0,0.395,0.553
1,14,4,0.5502,0.5871,0.033,0.034,0.367,0.492
1,14,5,0.5879,0.6279,0.114,0.146,0.253,0.574
1,14,6,0.6292,0.6727,0.269,0.302,0.432,0.666
1,14,7,0.6664,0.7131,0.49,0.386,0.565,0.607
1,14,8,0.6935,0.7425,0.631,0.503,0.559,0.546
1,14,9,0.7073,0.7575,0.72,0.588,0.522,0.492
1,14,10,0.7083,0.7586,0.75,0.613,0.489,0.435
1,14,11,0.7002,0.7499,0.738,0.543,0.417,0.382
1,14,12,0.6887,0.7374,0.681,0.417,0.357,0.409
1,14,13,0.6794,0.7273,0.58,0.321,0.344,0.437
1,14,14,0.6766,0.7243,0.438,0.225,0.319,0.386
1,14,15,0.6818,0.7299,0.265,0.136,0.269,0.297
1,14,16,0.6933,0.7424,0.091,0.06,0.229,0.193
1,14,17,0.7065,0.7568,0.012,0.008,0.244,0.145
1,14,18,0.7157,0.7667,0.0,0.0,0.229,0.126
1,14,19,0.7151,0.7662,0.0,0.0,0.202,0.122
1,14,20,0.7179,0.7617,0.0,0.0,0.189,0.147
1,14,21,0.7376,0.7535,0.0,0.0,0.175,0.206
1,14,22,0.6748,0.6989,0.0,0.0,0.167,0.275
1,14,23,0.5948,0.6357,0.0,0.0,0.174,0.324
1,15,0,0.557,0.5947,0.0,0.0,0.169,0.382
1,15,1,0.5305,0.5661,0.0,0.0,0.225,0.406
1,15,2,0.5208,0.5555,0.0,0.0,0.424,0.432
1,15,3,0.5297,0.5652,0.0,0.0,0.476,0.371
1,15,4,0.5552,0.5929,0.022,0.003,0.447,0.287
1,15,5,0.5919,0.6327,0.143,0.027,0.321,0.259
1,15,6,0.6322,0.6764,0.294,0.069,0.408,0.188
1,15,7,0.6684,0.7157,0.382,0.127,0.545,0.177
1,15,8,0.6945,0.744,0.391,0.209,0.61,0.194
1,15,9,0.7072,0.7578,0.432,0.279,0.642,0.309
1,15,10,0.7072,0.7578,0.385,0.239,0.574,0.258
1,15,11,0.698,0.7479,0.343,0.18,0.602,0.045
1,15,12,0.6854,0.7342,0.221,0.148,0.692,0.066
1,15,13,0.675,0.7229,0.177,0.096,0.663,0.241
1,15,14,0.6711,0.7187,0.24,0.085,0.552,0.417
1,15,15,0.6752,0.7232,0.17,0.076,0.507,0.593
1,15,16,0.6856,0.7345,0.043,0.04,0.569,0.704
1,15,17,0.6978,0.7477,0.0,0.008,0.669,0.724
1,15,18,0.7059,0.7565,0.0,0.0,0.701,0.815
1,15,19,0.7044,0.7549,0.0,0.0,0.647,0.874
1,15,20,0.703,0.7475,0.0,0.0,0.515,0.896
1,15,21,0.7219,0.7381,0.0,0.0,0.402,0.901
1,15,22,0.6608,0.684,0.0,0.0,0.368,0.893
1,15,23,0.5803,0.6204,0.0,0.0,0.33,0.884
1,16,0,0.5417,0.5785,0.0,0.0,0.375,0.873
1,16,1,0.5144,0.549,0.0,0.0,0.498,0.872
1,16,2,0.5039,0.5377,0.0,0.0,0.522,0.874
1,16,3,0.5122,0.5466,0.0,0.0,0.522,0.9
1,16,4,0.5371,0.5736,0.02,0.034,0.412,0.875
1,16,5,0.5732,0.6128,0.078,0.138,0.27,0.833
1,16,6,0.6131,0.656,0.197,0.228,0.279,0.857
1,16,7,0.6488,0.6949,0.378,0.263,0.294,0.863
1,16,8,0.6745,0.7227,0.543,0.341,0.298,0.83
1,16,9,0.6869,0.7362,0.639,0.393,0.287,0.8
1,16,10,0.6867,0.7359,0.648,0.406,0.287,0.758
1,16,11,0.6774,0.7259,0.654,0.445,0.278,0.683
1,16,12,0.6646,0.712,0.615,0.379,0.243,0.635
1,16,13,0.6542,0.7007,0.515,0.367,0.199,0.641
1,16,14,0.6503,0.6966,0.321,0.331,0.149,0.663
1,16,15,0.6546,0.7012,0.153,0.229,0.096,0.665
1,16,16,0.6651,0.7127,0.048,0.102,0.063,0.634
1,16,17,0.6776,0.7262,0.001,0.025,0.089,0.634
1,16,18,0.686,0.7353,0.0,0.0,0.158,0.654
1,16,19,0.6848,0.734,0.0,0.0,0.241,0.647
1,16,20,0.6875,0.7293,0.0,0.0,0.31,0.65
1,16,21,0.7067,0.7205,0.0,0.0,0.356,0.665
1,16,22,0.6431,0.6654,0.0,0.0,0.363,0.66
1,16,23,0.5628,0.6018,0.0,0.0,0.345,0.644
1,17,0,0.5248,0.5606,0.0,0.0,0.328,0.65
1,17,1,0.4982,0.5318,0.0,0.0,0.331,0.67
1,17,2,0.4884,0.5212,0.0,0.0,0.368,0.694
1,17,3,0.4749,0.5066,0.0,0.0,0.405,0.698
1,17,4,0.5014,0.5353,0.03,0.038,0.405,0.67
1,17,5,0.539,0.5761,0.147,0.151,0.397,0.695
1,17,6,0.5793,0.6199,0.32,0.314,0.404,0.762
1,17,7,0.6138,0.6572,0.489,0.452,0.387,0.808
1,17,8,0.6357,0.681,0.617,0.545,0.33,0.844
1,17,9,0.6422,0.6881,0.692,0.621,0.288,0.865
1,17,10,0.6343,0.6795,0.721,0.665,0.266,0.857
1,17,11,0.6168,0.6606,0.703,0.663,0.26,0.824
1,17,12,0.5969,0.639,0.641,0.624,0.272,0.785
1,17,13,0.5816,0.6225,0.53,0.537,0.294,0.752
1,17,14,0.5764,0.6168,0.38,0.402,0.332,0.729
1,17,15,0.5831,0.6241,0.225,0.251,0.397,0.715
1,17,16,0.5996,0.642,0.09,0.111,0.434,0.658
1,17,17,0.6207,0.6649,0.013,0.027,0.535,0.683
1,17,18,0.6389,0.6847,0.0,0.0,0.627,0.732
1,17,19,0.6473,0.6938,0.0,0.0,0.707,0.741
1,17,20,0.6562,0.6966,0.0,0.0,0.748,0.728
1,17,21,0.6813,0.6941,0.0,0.0,0.762,0.756
1,17,22,0.6227,0.6436,0.0,0.0,0.779,0.758
1,17,23,0.544,0.5818,0.0,0.0,0.779,0.779
1,18,0,0.5061,0.5407,0.0,0.0,0.779,0.789
1,18,1,0.4792,0.5116,0.0,0.0,0.77,0.788
1,18,2,0.4696,0.5012,0.0,0.0,0.751,0.772
1,18,3,0.4794,0.5119,0.0,0.0,0.721,0.756
1,18,4,0.5064,0.5411,0.039,0.035,0.582,0.746
1,18,5,0.5444,0.5823,0.178,0.159,0.49,0.743
1,18,6,0.5851,0.6265,0.339,0.322,0.43,0.808
1,18,7,0.6198,0.6641,0.482,0.485,0.242,0.798
1,18,8,0.642,0.6882,0.572,0.614,0.102,0.718
1,18,9,0.6487,0.6955,0.589,0.691,0.055,0.582
1,18,10,0.6409,0.6871,0.578,0.725,0.026,0.405
1,18,11,0.6236,0.6683,0.546,0.719,0.015,0.233
1,18,12,0.6037,0.6468,0.504,0.673,0.016,0.102
1,18,13,0.5885,0.6303,0.465,0.584,0.02,0.03
1,18,14,0.5832,0.6246,0.351,0.455,0.024,0.006
1,18,15,0.5898,0.6318,0.226,0.292,0.031,0.007
1,18,16,0.6063,0.6496,0.093,0.119,0.04,0.024
1,18,17,0.6271,0.6723,0.014,0.024,0.044,0.022
1,18,18,0.6452,0.6919,0.0,0.0,0.037,0.028
1,18,19,0.6534,0.7008,0.0,0.0,0.035,0.056
1,18,20,0.6579,0.7009,0.0,0.0,0.047,0.075
1,18,21,0.6827,0.6977,0.0,0.0,0.059,0.07
1,18,22,0.6274,0.6489,0.0,0.0,0.065,0.06
1,18,23,0.5489,0.5875,0.0,0.0,0.058,0.07
1,19,0,0.5107,0.5461,0.0,0.0,0.044,0.104
1,19,1,0.4835,0.5166,0.0,0.0,0.029,0.171
1,19,2,0.4735,0.5058,0.0,0.0,0.031,0.26
