z,q,d,y,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
BAHRAIN,Q3,d2,2039,5997.03114721533,5937.32079147445,5867.50735272797,5733.21581120427,5429.44221431718,5317.62719453624,5359.17470442439,5477.8007914001,5663.17533688464,5825.61928948009,5866.8262460085,5833.79257011383,6091.13739228985,6153.34513933549,6121.78719466635,5962.40822230855,5795.19652267675,5758.75731318469,5645.0124910319,5655.68316297038,5671.23509973179,5824.93818276061,6037.21644366452,6267.43051484802
BAHRAIN,Q3,d2,2040,6228.10347187303,6166.09240927096,6093.5889805632,5954.12303558552,5638.6447018913,5522.52132420489,5565.66970616756,5688.86658909374,5881.38382336978,6050.08692333855,6092.88163003923,6058.57512962629,6325.83573593601,6390.44041712601,6357.66650951502,6192.14648690415,6018.49193326753,5980.6486802347,5862.52114273036,5873.60296760602,5889.75413790352,6049.37957281457,6269.83715278774,6508.92162989233
BAHRAIN,Q3,d2,2041,6228.10347187303,6166.09240927096,6093.5889805632,5954.12303558552,5638.6447018913,5522.52132420489,5565.66970616756,5688.86658909374,5881.38382336978,6050.08692333855,6092.88163003923,6058.57512962629,6325.83573593601,6390.44041712601,6357.66650951502,6192.14648690415,6018.49193326753,5980.6486802347,5862.52114273036,5873.60296760602,5889.75413790352,6049.37957281457,6269.83715278774,6508.92162989233
BAHRAIN,Q3,d3,2018,2955.3948625425,2893.57937144433,2808.50243004673,2718.77103372648,2594.19833623183,2470.72214172245,2545.00615985641,2673.04047289585,2815.52740968578,2958.30985024173,3052.88945670116,3146.18962927255,3273.80395893758,3326.36141446521,3353.91795246999,3263.51544869579,3092.07671985566,2971.05331484737,3095.46364763541,3071.66098164731,3002.46330855555,2979.79611308229,2971.80343979188,2981.41651285419
BAHRAIN,Q3,d3,2019,3093.20492685041,3028.50697936327,2939.46290013453,2845.54732874717,2715.16580628963,2585.93191675224,2663.67979869874,2797.68435183611,2946.81545457859,3096.25584042789,3195.24569399629,3292.89645367365,3426.46143961159,3481.46964932369,3510.31114871305,3415.69317613073,3236.26025925645,3109.59353279614,3239.80511948071,3214.89253516254,3142.46817453078,3118.74400771829,3110.37863606729,3120.43996673258
BAHRAIN,Q3,d3,2020,2944.53008255261,2915.42235694736,2881.38584713419,2815.9167135045,2667.68120355317,2612.99959762382,2633.2727100262,2691.20917345134,2781.69421183443,2860.92674287491,2881.10685934884,2864.92556779832,2990.47007120753,3020.8797398111,3005.44241568819,2927.69781950293,2846.14039025116,2828.37816791697,2772.85959863156,2778.06737062483,2785.69303675783,2860.64775508956,2964.15222345582,3076.67729688186
BAHRAIN,Q3,d3,2021,3050.4053986611,3020.25105795488,2984.99071067541,2917.16752902309,2763.60197283871,2706.95420179956,2727.95626657258,2787.97592874502,2881.71450225028,2963.79596640906,2984.70169143541,2967.93857551566,3097.99723351372,3129.50033067325,3113.50793272682,3032.96790451469,2948.47794668929,2930.07705507623,2872.56222631709,2877.95725213034,2885.85711135689,2963.50694716906,3070.73308520746,3187.30417867238
BAHRAIN,Q3,d3,2022,3160.08763208637,3128.8490435495,3092.32085375878,3022.05898050012,2862.97172769572,2804.28709491719,2826.04432271603,2888.22208839805,2985.33118311492,3070.36401836545,3092.02144236705,3074.65558164687,3209.39070792412,3242.02654962239,3225.45911928015,3142.0231447855,3054.49521460391,3035.43268933061,2975.84982237689,2981.43883502246,2989.62274639634,3070.06460697372,3181.14623330452,3301.90882796784
BAHRAIN,Q3,d3,2023,3273.71366666491,3241.35184442236,3203.51022480326,3130.72197285834,2965.91448194895,2905.11974879041,2927.65929271654,2992.07275999166,3092.67356843258,3180.76389607047,3203.20004759327,3185.2097694137,3324.78951391036,3358.59882979955,3341.43569084663,3254.99964166203,3164.32450394087,3144.57655490467,3082.85129011615,3088.64126470268,3097.11944177581,3180.45371886048,3295.52946376773,3420.63427179806
BAHRAIN,Q3,d3,2024,3391.42530811174,3357.89986448862,3318.6975885587,3243.29211791756,3072.55870853973,3009.57800294741,3032.92799243572,3099.65754955139,3203.87562190059,3295.13337898335,3318.37625842813,3299.73911085489,3444.33766961278,3479.36265384524,3461.5823866202,3372.03839023383,3278.10288206297,3257.64486374982,3193.70016776578,3199.69833020314,3208.48135377214,3294.81204885277,3414.02552729538,3543.62867995986
