z,type,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
KSA,Peak,69861.4337855031,73295.7822546263,76875.457831319,80206.3585911439,83297.4092801456,87332.4327979722,90982.8666237819,94058.9562383306,96389.8364777695,100051.5104174,102918.298340869,106852.041739421,109640.985077056,113111.973005277,114967.550010464,118743.943007401,120354.679689244,124340.686095092,125445.250959656,129764.049309974,130294.60746833,135156.296944353,137604.355268709,140096.754772092
KUWAIT,Energy,73203.1527391193,78333.2641079828,88823.2432933221,93383.0948794133,98177.0321137679,103217.072074067,108515.848749608,115276.628320651,118254.656415035,121309.618155554,124443.501027122,127658.343858849,130889.349571666,134270.712871048,137739.42947916,141297.756059916,144948.007575335,148692.558791593,152533.845823996,156474.367721849,160516.688094288,164663.436778094,168917.311548606,173281.07987483
KUWAIT,Peak,13648.7682318436,14605.2803280739,16442.0049168825,17286.0756738034,18173.477852062,19106.4359240259,20087.2885581164,20876.8372894821,21416.1643749085,21969.4243037556,22536.9770136773,23119.1917408684,23214.174212419,23813.8834856656,24429.0855009382,25060.1804939279,25707.5790399164,26371.7023208863,27052.9823995322,27751.86250035,28468.7972979886,29204.2532130497,29958.7087155306,30732.6546361047
LEBANON,Energy,15043.843,15083.804,14984.164,12370.114,19250.322072187,19827.8317343526,20422.6666863832,21424.683482341,22067.4239868112,22729.4467064156,23411.330107608,24113.6700108363,24723.2930661867,25464.9918581723,26228.9416139175,27015.809862335,27826.284158205,28661.0726829512,29520.9048634397,30406.5320093429,31318.7279696232,32258.2898087119,33226.0385029733,34222.8196580625
LEBANON,Peak,3458.0,3471.0,3639.0,3536.0,3455.33914398072,3558.99931830014,3665.76929784914,3775.74237678462,3889.01464808815,4005.6850875308,4125.85564015672,4249.63130936143,4377.12024864227,4508.43385610154,4643.68687178458,4782.99747793812,4926.48740227626,5074.28202434455,5226.51048507489,5383.30579962713,5544.80497361595,5711.14912282443,5882.48359650916,6058.95810440444
LIBYA,Energy,36587.2110743904,39642.3152653131,46267.5374695293,47735.2221326467,49249.4642394528,50811.740670927,52423.5751572151,54474.3682264056,55969.5947799698,57505.8626988452,59084.298497046,60706.059609434,62423.0298810924,64136.4333563601,65896.8667735363,67705.6210226349,69564.0224263527,71473.4337126354,73435.2550139375,75450.9248939118,77521.9214022782,79649.7631586478,81836.0104660957,84082.2664552996
LIBYA,Peak,4981.58723601881,5397.5595825107,6269.4188517659,6468.29543778382,6673.48072599588,6885.17483912226,7103.58424811483,7240.28139074505,7439.01450768041,7643.20250262885,7852.99510249344,8068.54614392003,8180.24034545732,8404.77369898294,8635.47010209103,8872.4987197611,9116.03336025685,9366.25260257613,9623.33992739934,9887.48385163207,10158.8780666407,10437.7215802824,10724.2188628334,11018.579996923
MOROCCO,Energy,39000.0,39000.0,39000.0,40170.0,41375.1,42616.353,43894.84359,45211.6888977,46568.039564631,47965.0807515699,49404.033174117,50886.1541693405,52412.7387944208,53985.1209582534,55604.674587001,57272.814824611,58990.9992693494,60760.7292474298,62583.5511248527,64461.0576585983,66394.8893883563,68386.736070007,70438.3381521072,72551.4882966704
MOROCCO,Peak,6540.0,6540.0,6540.0,6736.2,6938.286,7146.43458,7360.8276174,7581.652445922,7809.10201929966,8043.37507987865,8284.67633227501,8533.21662224326,8789.21312091056,9052.88951453788,9324.47619997401,9604.21048597323,9892.33680055243,10189.106904569,10494.7801117061,10809.6235150573,11133.912220509,11467.9295871242,11811.967474738,12166.3264989801
OMAN,Energy,35310.7330344155,37429.3770164805,43953.2131050764,46590.405891381,49385.8302448638,52348.9800595557,55489.918863129,58458.5993932642,61383.5158328702,64454.7774854555,67679.7065845963,71065.9917243633,76117.1785508701,79925.6240009936,83924.6211376443,88123.7040202472,92532.8837351737,97162.6722632982,102024.107541744,107128.77977957,112488.859090131,118117.124506,124026.994445621,130232.558704328
OMAN,Peak,7289.10207416002,7726.44819860963,9279.71017179992,9836.49278210791,10426.6823490344,11052.2832899765,11715.420287375,11945.6359634988,12543.3236839338,13170.9161002972,13829.9094635708,14521.8748881294,15244.5693836838,16007.3158755231,16808.2256106899,17649.2080481682,18532.2681847759,19459.5113353035,20433.148151821,21455.4998941217,22529.0039638671,23656.2197156262,24839.8345586657,26082.6703640357
PALESTINE,Energy,5171.52850102425,5571.66411967355,6405.86386841107,6735.50461770141,7082.10842237739,7446.54818801465,7829.74173922769,8298.01811260302,8662.6647985148,9043.33545590291,9440.73423942389,9855.59624698582,10289.2263258958,10741.3743242999,11213.3914368614,11706.1507885279,12220.5638727,12757.5822372882,13318.1992448612,13903.4519101423,14514.4228182519,15152.2421272456,15818.0896586509,16513.1970798702
PALESTINE,Peak,1373.6,1479.87927230176,1632.6,1716.61232032814,1804.94784901529,1897.82905498556,1995.48985524006,2096.7,2188.83702548926,2285.02290463713,2385.43555957493,2490.26073101363,2597.2,2711.33091171875,2830.47717266349,2954.85917648114,3084.70700175924,3220.2608376194,3361.77142801278,3509.50053553978,3663.72142565167,3824.71937212985,3992.79218477791,4168.25076030239
QATAR,Energy,44173.9692254005,45785.0535303975,49185.640682775,50451.6157856537,51750.1754587212,53082.1583868868,54448.4248417303,55849.857237115,56837.4353450782,57842.4765329413,58865.2895956817,59906.188788616,60965.4939239536,62043.5304690578,63140.6296464442,64257.1285355479,65393.3701762895,66549.7036744729,67726.4843090467,68924.0736412622,70142.8396257618,71383.1567236315,72645.4060174527,73929.9753283883
QATAR,Peak,7777.7979,8061.46469163898,8660.21277962653,8883.115513279,9111.75547648162,9346.28033814076,9586.84156797048,9833.59453432034,10007.4793599064,10184.4389444184,10364.5276579973,10547.8008321965,10734.3147769826,10924.1267980362,11117.2952143591,11313.8793761924,11513.9396832515,11717.5376032839,11924.7356909551,12135.5976070677,12350.1881381215,12568.5732162186,12790.8199393207,13016.9965918651
SUDAN,Energy,14495.7195859102,23799.9253525001,25199.9182076872,26207.9340382265,27439.93628658,29119.9024923328,30351.9159861444,31936.7231811358,33599.9154972663,34719.9107196804,36399.9076322737,37799.9016232601,39199.9017462904,40375.8987986791,41587.1757626395,42834.7910355187,44119.8347665843,45443.4298095818,46806.7327038693,48210.9346849853,49657.2627255349,51146.9806073009,52681.39002552,54261.8317262856
SUDAN,Peak,3151.90483528629,5175.00291955561,5479.41425728682,5698.59498106239,5966.47881423532,6331.7669356031,6599.65321388111,6944.25017123581,7305.89101523922,7549.42028946779,7914.71508735403,8219.12667214177,8523.53959002313,8779.24577772382,9042.62315105554,9313.9018455872,9593.31890095482,9881.11846798347,10177.552022023,10482.8785826837,10797.3649401642,11121.2858883691,11454.9244650202,11798.5721989708
SYRIA,Energy,20648.5512479694,21943.4827889508,24776.1330662028,25766.623534279,26796.7114393211,27867.9797920343,28982.0748881008,30227.5513652801,31373.1625890233,32562.1919864751,33796.2850877851,35077.1497879891,36406.7817746506,37786.583178919,39218.6784642287,40705.0495462278,42247.7534543168,43848.9251784278,45510.7806236949,47235.6196771057,49025.8293903778,50883.8872834642,52812.364773261,54813.9307322609
SYRIA,Peak,5726.5,6085.62570234965,6872.8,7147.55808556581,7433.30034142376,7730.46588839811,8039.5114023121,8347.7,8664.07424735056,8992.43894289482,9333.2485194733,9686.97463273612,10033.0,10413.2463940568,10807.903963255,11217.5188849474,11642.6580363743,12083.9097791798,12541.8847736621,13017.2168238825,13510.5637548042,14022.6083226741,14554.0591599081,15105.6517557861
TUNISIA,Energy,18417.5410265767,19839.9770780348,22550.6281594302,23691.8648626984,24890.8569953798,26150.5274301941,27473.9469598925,29467.9950012691,30812.9011088889,32219.1881295377,33689.6574606239,35227.23835408,36877.8498996357,38560.9384695832,40320.8424488346,42161.0676583026,44085.2799229979,46097.3123745446,48201.173086979,50401.0530610432,52701.3345728782,55106.5999037474,57621.6404681807,60251.4663587237
TUNISIA,Peak,3757.1,4047.270901817,4631.3,4865.67970359311,5111.92083820049,5370.623684237,5642.41890096267,5858.8,6126.19301072175,6405.78971881888,6698.14709557955,7003.84753221233,7049.2,7370.9223341264,7707.32793164095,8059.08693011527,8426.90005189991,8811.5,9213.652917658,9634.15991455119,10073.8586626441,10533.6250648749,11014.375,11517.0661470725
UAE,Energy,125525.428358861,132156.505143256,145994.475241802,151517.167545412,157248.772756377,163197.193651178,169370.631953247,179235.367347724,185829.732579552,192666.715401057,199755.242114127,207104.567434041,215150.990491944,223066.750825902,231273.74505807,239782.688164632,248604.689343448,257751.266518116,267234.361375668,277066.35495753,287260.083824092,297828.856814004,308786.472420075,320147.236804458
UAE,Peak,23354.6816046129,24588.4291330621,33990.8198885375,35276.6277184635,36611.0752040648,37996.0022906653,39433.3185252083,45485.9644206533,47159.4681869597,48894.5429211792,50693.4539209264,52558.5498278569,58066.4455406028,60202.8059881807,62417.7666655383,64714.2194049637,67095.1624340316,69563.7042900619,72123.0678785975,74776.5946811995,77527.7491180554,80380.1230710943,83337.4405735142,86403.5626718463
YEMEN,Energy,7307.58697758302,7765.46992177585,8870.41864158654,9275.26057968584,9698.57932271017,10141.2181437696,10604.0588025818,11570.1326894574,12255.3603887715,12981.169904432,13749.9646474797,14564.2903681889,14746.2377649457,15619.5666064048,16544.6173363538,17524.4531236955,18562.3185499606,19661.6503532609,20826.0888085397,22059.4897818051,23365.9374982606,24749.7580666141,26215.5338043478,27768.1184113863
YEMEN,Peak,1383.0,1469.65680117955,1696.5,1773.9275009711,1854.88875844477,1939.54505148677,2028.06501986725,2166.5,2294.80845163225,2430.71582260919,2574.67215012223,2727.15412429387,2741.7,2904.07400500353,3076.06442226984,3258.24077267026,3451.20630628964,3655.6,3872.09867333804,4101.41922969313,4344.32103022701,4601.60840838619,4874.13333333333,5162.79823111738
