country,zone,attribute,resolution,year,RETRADE_P1,baseline
Kenya,Kenya,Generation: GWh,,2030.0,18879.0,18894.9
Kenya,Kenya,Generation: GWh,,2024.0,16131.2,16130.9
Kenya,Kenya,Generation: GWh,,2036.0,20284.2,17458.5
Sudan,Sudan,Generation: GWh,,2030.0,29574.3,29574.2
Sudan,Sudan,Generation: GWh,,2024.0,20118.6,20118.6
DRC,Drc_E,Generation: GWh,,2036.0,1075.0,863.0
Uganda,Uganda,Generation: GWh,,2030.0,10259.7,9951.6
Uganda,Uganda,Generation: GWh,,2036.0,14661.6,13890.4
Libya,Libya,Generation: GWh,,2036.0,72085.5,70521.8
Rwanda,Rwanda,Generation: GWh,,2030.0,1339.1,1403.7
DRC,Drc_E,Generation: GWh,,2030.0,1068.3,862.3
DRC,Drc_E,Generation: GWh,,2024.0,541.4,541.3
Libya,Libya,Generation: GWh,,2030.0,53183.7,53183.6
Libya,Libya,Generation: GWh,,2024.0,36907.6,36907.5
Uganda,Uganda,Generation: GWh,,2024.0,8374.2,8374.0
Tanzania,Tanzania,Generation: GWh,,2030.0,24477.0,24904.3
Ethiopia,Ethiopia,Generation: GWh,,2024.0,21387.6,21387.3
Somalia,Somaliland,Generation: GWh,,2030.0,106.7,108.0
Somalia,Somaliland,Generation: GWh,,2036.0,981.5,513.9
Ethiopia,Ethiopia,Generation: GWh,,2030.0,40609.6,40608.6
SouthSudan,SouthSudan,Generation: GWh,,2036.0,5784.8,4241.7
SouthSudan,SouthSudan,Generation: GWh,,2030.0,4293.9,4293.8
Somalia,Mogadishu,Generation: GWh,,2036.0,1810.9,1806.9
Ethiopia,Ethiopia,Generation: GWh,,2036.0,69790.4,86877.6
Djibouti,Djibouti,Generation: GWh,,2024.0,64.2,64.2
Djibouti,Djibouti,Generation: GWh,,2030.0,84.3,80.3
Djibouti,Djibouti,Generation: GWh,,2036.0,668.7,11.9
Egypt,Egypt,Generation: GWh,,2030.0,261345.1,261344.8
Somalia,Mogadishu,Generation: GWh,,2030.0,524.5,524.4
Egypt,Egypt,Generation: GWh,,2036.0,305613.1,298368.7
Tanzania,Tanzania,Generation: GWh,,2036.0,48452.8,50545.1
Somalia,SomaliaROC,Generation: GWh,,2030.0,169.5,169.4
Burundi,Burundi,Generation: GWh,,2036.0,3312.2,6843.5
Rwanda,Rwanda,Generation: GWh,,2036.0,3435.5,2039.1
Burundi,Burundi,Generation: GWh,,2024.0,845.0,844.9
Rwanda,Rwanda,Generation: GWh,,2024.0,733.0,732.7
SouthSudan,SouthSudan,Generation: GWh,,2024.0,670.2,670.1
