uni_0,uni_1,value
CENGIZ_610_NG,2024,1.0
CENGIZ_610_NG,2025,1.0
CENGIZ_610_NG,2026,1.0
CENGIZ_610_NG,2027,1.0
CENGIZ_610_NG,2028,1.0
CENGIZ_610_NG,2029,1.0
CENGIZ_610_NG,2030,1.0
CENGIZ_610_NG,2031,1.0
CENGIZ_610_NG,2032,1.0
CENGIZ_610_NG,2033,1.0
CENGIZ_610_NG,2034,1.0
CENGIZ_610_NG,2035,1.0
CENGIZ_610_NG,2036,1.0
CENGIZ_610_NG,2037,1.0
CENGIZ_610_NG,2038,1.0
CENGIZ_610_NG,2039,1.0
CENGIZ_610_NG,2040,1.0
CENGIZ_610_NG,2041,1.0
CENGIZ_610_NG,2042,1.0
CENGIZ_610_NG,2043,1.0
CENGIZ_610_NG,2044,1.0
CENGIZ_610_NG,2045,1.0
CENGIZ_610_NG,2046,1.0
CENGIZ_610_NG,2047,1.0
CENGIZ_610_NG,2048,1.0
