,,,,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Liberia,HydroMC,m1,d28,0.177907226,0.177907226,0.178848534,0.177907226,0.17602461,0.178848534,0.178848534,0.178848534,0.177907226,0.17602461,0.176965918,0.175083302,0.178848534,0.176965918,0.176965918,0.17602461,0.176965918,0.179789843,0.176965918,0.179789843,0.177907226,0.177907226,0.177907226,0.180731151
Liberia,HydroMC,m1,d29,0.180731151,0.171223939,0.178848534,0.181672459,0.181672459,0.178848534,0.178848534,0.181672459,0.180731151,0.179789843,0.179789843,0.182613767,0.179789843,0.180731151,0.183555075,0.183555075,0.182613767,0.184496383,0.184496383,0.363344917,0.362403609,0.359579685,0.359579685,0.363344917
Liberia,HydroMC,m1,d30,0.356755761,0.362403609,0.360520993,0.358638377,0.360520993,0.355814453,0.358638377,0.357697069,0.359579685,0.353931837,0.357697069,0.358638377,0.354873145,0.356755761,0.355814453,0.360520993,0.359579685,0.359579685,0.359579685,0.356755761,0.352990529,0.355814453,0.351107912,0.353931837
Liberia,HydroMC,m1,d31,0.352049221,0.353931837,0.351107912,0.350166604,0.355814453,0.352049221,0.350166604,0.353931837,0.17602461,0.174518517,0.180072235,0.177907226,0.17828375,0.178942665,0.178942665,0.179036796,0.178848534,0.18186072,0.179789843,0.179413319,0.181578328,0.180448758,0.18063702,0.18063702
Liberia,HydroMC,m2,d1,0.241785089,0.238078624,0.240055405,0.242155735,0.237955075,0.242155735,0.242155735,0.242155735,0.24166154,0.241290894,0.242897029,0.239931856,0.239931856,0.243144126,0.24166154,0.244379615,0.240178954,0.452682967,0.458242665,0.478134029,0.476404345,0.473439173,0.473068526,0.473809819
Liberia,HydroMC,m2,d2,0.471833038,0.471462391,0.4651614,0.472203684,0.469732707,0.478998871,0.464914302,0.464543656,0.238078624,0.234248609,0.235484098,0.238078624,0.238819917,0.235731196,0.239190563,0.234866354,0.235854744,0.237460879,0.235978293,0.464667205,0.465408498,0.460342995,0.462319777,0.460713642
Liberia,HydroMC,m2,d3,0.234866354,0.235113451,0.237213782,0.235113451,0.236843135,0.235113451,0.237090233,0.233507316,0.234989902,0.236719586,0.232889572,0.235237,0.233013121,0.234989902,0.237213782,0.237213782,0.235607647,0.232642474,0.236843135,0.237090233,0.234248609,0.235113451,0.237831526,0.236472489
Liberia,HydroMC,m2,d4,0.237090233,0.232642474,0.236966684,0.233630865,0.236843135,0.237584428,0.236966684,0.237090233,0.236843135,0.234866354,0.235978293,0.232766023,0.234495707,0.232395377,0.236101842,0.236225391,0.232642474,0.232518926,0.236225391,0.235731196,0.233877963,0.233630865,0.235607647,0.235731196
Liberia,HydroMC,m2,d5,0.235607647,0.233507316,0.231901181,0.235113451,0.23202473,0.232148279,0.235113451,0.231901181,0.230171498,0.231530535,0.234866354,0.232766023,0.232395377,0.231283437,0.233754414,0.230542144,0.233877963,0.231036339,0.233507316,0.229800851,0.233260219,0.229800851,0.232271828,0.195207174
Liberia,HydroMC,m2,d6,0.231283437,0.232642474,0.232518926,0.228688911,0.227824069,0.227453423,0.232518926,0.227453423,0.226835679,0.227453423,0.227329874,0.228565363,0.224858897,0.228565363,0.227329874,0.224858897,0.223623409,0.224858897,0.223623409,0.223623409,0.227329874,0.223623409,0.223623409,0.226094386
