Plant,Season,Day,cf
MTCoffee ,m4,d15,0.355682
MTCoffee ,m4,d16,0.288321
MTCoffee ,m4,d17,0.288826
MTCoffee ,m4,d18,0.330051
MTCoffee ,m4,d19,0.293056
MTCoffee ,m4,d20,0.32803
MTCoffee ,m4,d21,0.330745
MTCoffee ,m4,d22,0.275947
MTCoffee ,m4,d23,0.257513
MTCoffee ,m4,d24,0.232639
MTCoffee ,m4,d25,0.240909
MTCoffee ,m4,d26,0.319444
MTCoffee ,m4,d27,0.479419
MTCoffee ,m4,d28,0.54577
MTCoffee ,m4,d29,0.521843
MTCoffee ,m4,d30,0.549747
MTCoffee ,m5,d1,0.411553
MTCoffee ,m5,d2,0.38529
MTCoffee ,m5,d3,0.400253
MTCoffee ,m5,d4,0.410732
MTCoffee ,m5,d5,0.358965
MTCoffee ,m5,d6,0.275316
MTCoffee ,m5,d7,0.163131
MTCoffee ,m5,d8,0.277462
MTCoffee ,m5,d9,0.196843
MTCoffee ,m5,d10,0.196212
MTCoffee ,m5,d11,0.159091
MTCoffee ,m5,d12,0.170328
MTCoffee ,m5,d13,0.139773
MTCoffee ,m5,d14,0.15404
MTCoffee ,m5,d15,0.202967
MTCoffee ,m5,d16,0.24072
MTCoffee ,m5,d17,0.233586
MTCoffee ,m5,d18,0.275694
MTCoffee ,m5,d19,0.206818
MTCoffee ,m5,d20,0.251641
MTCoffee ,m5,d21,0.445328
MTCoffee ,m5,d22,0.76149
MTCoffee ,m5,d23,0.620013
MTCoffee ,m5,d24,0.590846
MTCoffee ,m5,d25,0.62096
MTCoffee ,m5,d26,0.614457
MTCoffee ,m5,d27,0.759912
MTCoffee ,m5,d28,0.834028
MTCoffee ,m5,d29,0.81875
MTCoffee ,m5,d30,0.487184
MTCoffee ,m5,d31,0.470581
MTCoffee ,m6,d1,0.405303
MTCoffee ,m6,d2,0.446023
MTCoffee ,m6,d3,0.498548
MTCoffee ,m6,d4,0.611048
MTCoffee ,m6,d5,0.651894
MTCoffee ,m6,d6,0.708207
MTCoffee ,m6,d7,0.710606
MTCoffee ,m6,d8,0.757134
MTCoffee ,m6,d9,0.801641
MTCoffee ,m6,d10,0.810606
MTCoffee ,m6,d11,0.724874
MTCoffee ,m6,d12,0.76875
MTCoffee ,m6,d13,0.698674
MTCoffee ,m6,d14,0.56774
MTCoffee ,m6,d15,0.537689
MTCoffee ,m6,d16,0.445455
MTCoffee ,m6,d17,0.467487
MTCoffee ,m6,d18,0.422348
MTCoffee ,m6,d19,0.407891
MTCoffee ,m6,d20,0.420265
MTCoffee ,m6,d21,0.496023
MTCoffee ,m6,d22,0.641667
MTCoffee ,m6,d23,0.717298
MTCoffee ,m6,d24,0.819508
MTCoffee ,m6,d25,0.862437
MTCoffee ,m6,d26,0.876831
MTCoffee ,m6,d27,0.878283
MTCoffee ,m6,d28,0.865846
MTCoffee ,m6,d29,0.871843
MTCoffee ,m6,d30,0.87077
MTCoffee ,m7,d1,0.871086
MTCoffee ,m7,d2,0.873737
MTCoffee ,m7,d3,0.826073
MTCoffee ,m7,d4,0.733333
MTCoffee ,m7,d5,0.843371
MTCoffee ,m7,d6,0.850694
MTCoffee ,m7,d7,0.850631
MTCoffee ,m7,d8,0.846591
MTCoffee ,m7,d9,0.749874
MTCoffee ,m7,d10,0.833712
MTCoffee ,m7,d11,0.860669
MTCoffee ,m7,d12,0.860669
MTCoffee ,m7,d13,0.794697
MTCoffee ,m7,d14,0.793308
MTCoffee ,m7,d15,0.857323
MTCoffee ,m7,d16,0.850505
MTCoffee ,m7,d17,0.847601
MTCoffee ,m7,d18,0.852336
MTCoffee ,m7,d19,0.854356
MTCoffee ,m7,d20,0.852588
MTCoffee ,m7,d21,0.849495
MTCoffee ,m7,d22,0.846338
MTCoffee ,m7,d23,0.830492
MTCoffee ,m7,d24,0.840909
MTCoffee ,m7,d25,0.846023
MTCoffee ,m7,d26,0.848485
MTCoffee ,m7,d27,0.851389
MTCoffee ,m7,d28,0.851705
MTCoffee ,m7,d29,0.848169
MTCoffee ,m7,d30,0.852399
MTCoffee ,m7,d31,0.854104
MTCoffee ,m8,d1,0.672159
MTCoffee ,m8,d2,0.70303
MTCoffee ,m8,d3,0.723295
MTCoffee ,m8,d4,0.85101
MTCoffee ,m8,d5,0.836616
MTCoffee ,m8,d6,0.856376
MTCoffee ,m8,d7,0.856313
MTCoffee ,m8,d8,0.859912
MTCoffee ,m8,d9,0.85726
MTCoffee ,m8,d10,0.855808
MTCoffee ,m8,d11,0.844949
MTCoffee ,m8,d12,0.836111
MTCoffee ,m8,d13,0.830114
MTCoffee ,m8,d14,0.827715
MTCoffee ,m8,d15,0.830366
MTCoffee ,m8,d16,0.831818
MTCoffee ,m8,d17,0.83548
MTCoffee ,m8,d18,0.838573
MTCoffee ,m8,d19,0.835669
MTCoffee ,m8,d20,0.832639
MTCoffee ,m8,d21,0.794255
MTCoffee ,m8,d22,0.805745
MTCoffee ,m8,d23,0.833838
MTCoffee ,m8,d24,0.835732
MTCoffee ,m8,d25,0.838258
MTCoffee ,m8,d26,0.844634
MTCoffee ,m8,d27,0.843624
MTCoffee ,m8,d28,0.844066
MTCoffee ,m8,d29,0.842929
MTCoffee ,m8,d30,0.84375
MTCoffee ,m8,d31,0.845707
MTCoffee ,m9,d1,0.819886
MTCoffee ,m9,d2,0.837437
MTCoffee ,m9,d3,0.836679
MTCoffee ,m9,d4,0.82279
MTCoffee ,m9,d5,0.812942
MTCoffee ,m9,d6,0.815972
MTCoffee ,m9,d7,0.827525
MTCoffee ,m9,d8,0.83346
MTCoffee ,m9,d9,0.836427
MTCoffee ,m9,d10,0.833902
MTCoffee ,m9,d11,0.815467
MTCoffee ,m9,d12,0.828472
MTCoffee ,m9,d13,0.821086
MTCoffee ,m9,d14,0.833207
MTCoffee ,m9,d15,0.833902
MTCoffee ,m9,d16,0.838447
MTCoffee ,m9,d17,0.831376
MTCoffee ,m9,d18,0.83226
MTCoffee ,m9,d19,0.832008
MTCoffee ,m9,d20,0.829798
MTCoffee ,m9,d21,0.826073
MTCoffee ,m9,d22,0.824874
MTCoffee ,m9,d23,0.826894
MTCoffee ,m9,d24,0.799937
MTCoffee ,m9,d25,0.8125
MTCoffee ,m9,d26,0.686174
MTCoffee ,m9,d27,0.697601
MTCoffee ,m9,d28,0.721843
MTCoffee ,m9,d29,0.781376
MTCoffee ,m9,d30,0.838258
MTCoffee ,m10,d1,0.840846
MTCoffee ,m10,d2,0.845265
MTCoffee ,m10,d3,0.842551
MTCoffee ,m10,d4,0.837437
MTCoffee ,m10,d5,0.832449
MTCoffee ,m10,d6,0.826578
MTCoffee ,m10,d7,0.732955
MTCoffee ,m10,d8,0.831818
MTCoffee ,m10,d9,0.832639
MTCoffee ,m10,d10,0.826831
MTCoffee ,m10,d11,0.831061
MTCoffee ,m10,d12,0.829482
MTCoffee ,m10,d13,0.833333
MTCoffee ,m10,d14,0.837816
MTCoffee ,m10,d15,0.507702
MTCoffee ,m10,d16,0.841351
MTCoffee ,m10,d17,0.846023
MTCoffee ,m10,d18,0.846086
MTCoffee ,m10,d19,0.829924
MTCoffee ,m10,d20,0.844255
MTCoffee ,m10,d21,0.844697
MTCoffee ,m10,d22,0.846149
MTCoffee ,m10,d23,0.848169
MTCoffee ,m10,d24,0.849369
MTCoffee ,m10,d25,0.843876
MTCoffee ,m10,d26,0.665278
MTCoffee ,m10,d27,0.793624
MTCoffee ,m10,d28,0.855871
MTCoffee ,m10,d29,0.746212
MTCoffee ,m10,d30,0.64173
MTCoffee ,m10,d31,0.761111
MTCoffee ,m11,d1,0.397159
MTCoffee ,m11,d2,0.011995
MTCoffee ,m11,d3,0
MTCoffee ,m11,d4,0.095455
MTCoffee ,m11,d5,0.573737
MTCoffee ,m11,d6,0.421591
MTCoffee ,m11,d7,0.514583
MTCoffee ,m11,d8,0.453977
MTCoffee ,m11,d9,0.287942
MTCoffee ,m11,d10,0.601768
MTCoffee ,m11,d11,0.550758
MTCoffee ,m11,d12,0.854482
MTCoffee ,m11,d13,0.855682
MTCoffee ,m11,d14,0.856124
MTCoffee ,m11,d15,0.860669
MTCoffee ,m11,d16,0.689205
MTCoffee ,m11,d17,0.741288
MTCoffee ,m11,d18,0.863194
MTCoffee ,m11,d19,0.861174
MTCoffee ,m11,d20,0.821843
MTCoffee ,m11,d21,0.857134
MTCoffee ,m11,d22,0.861679
MTCoffee ,m11,d23,0.80726
MTCoffee ,m11,d24,0.855429
MTCoffee ,m11,d25,0.870455
MTCoffee ,m11,d26,0.868876
MTCoffee ,m11,d27,0.868813
MTCoffee ,m11,d28,0.86774
MTCoffee ,m11,d29,0.868371
MTCoffee ,m11,d30,0.868119
MTCoffee ,m12,d1,0.86774
MTCoffee ,m12,d2,0.863005
MTCoffee ,m12,d3,0.768119
MTCoffee ,m12,d4,0.856439
MTCoffee ,m12,d5,0.858902
MTCoffee ,m12,d6,0.859596
MTCoffee ,m12,d7,0.867614
MTCoffee ,m12,d8,0.855114
MTCoffee ,m12,d9,0.847285
MTCoffee ,m12,d10,0.868056
MTCoffee ,m12,d11,0.861301
MTCoffee ,m12,d12,0.79577
MTCoffee ,m12,d13,0.726641
MTCoffee ,m12,d14,0.71774
MTCoffee ,m12,d15,0.719192
MTCoffee ,m12,d16,0.609659
MTCoffee ,m12,d17,0.658523
MTCoffee ,m12,d18,0.55202
MTCoffee ,m12,d19,0.359091
MTCoffee ,m12,d20,0.569129
MTCoffee ,m12,d21,0.497222
MTCoffee ,m12,d22,0.490657
MTCoffee ,m12,d23,0.38327
MTCoffee ,m12,d24,0.379735
MTCoffee ,m12,d25,0.604924
MTCoffee ,m12,d26,0.406061
MTCoffee ,m12,d27,0.407134
MTCoffee ,m12,d28,0.407513
MTCoffee ,m12,d29,0.415025
MTCoffee ,m12,d30,0.395455
MTCoffee ,m12,d31,0.296086
MTCoffee_extension,m1,d1,0.429672
MTCoffee_extension,m1,d2,0.419381
MTCoffee_extension,m1,d3,0.40928
MTCoffee_extension,m1,d4,0.368561
MTCoffee_extension,m1,d5,0.350758
MTCoffee_extension,m1,d6,0.347664
MTCoffee_extension,m1,d7,0.332765
MTCoffee_extension,m1,d8,0.321402
MTCoffee_extension,m1,d9,0.347348
MTCoffee_extension,m1,d10,0.285669
MTCoffee_extension,m1,d11,0.339646
MTCoffee_extension,m1,d12,0.292551
MTCoffee_extension,m1,d13,0.282197
MTCoffee_extension,m1,d14,0.280556
MTCoffee_extension,m1,d15,0.278977
MTCoffee_extension,m1,d16,0.277778
MTCoffee_extension,m1,d17,0.18428
MTCoffee_extension,m1,d18,0.242803
MTCoffee_extension,m1,d19,0.234091
MTCoffee_extension,m1,d20,0.208965
MTCoffee_extension,m1,d21,0.197412
MTCoffee_extension,m1,d22,0.215215
MTCoffee_extension,m1,d23,0.198106
MTCoffee_extension,m1,d24,0.207955
MTCoffee_extension,m1,d25,0.118245
MTCoffee_extension,m1,d26,0.197854
MTCoffee_extension,m1,d27,0.212816
MTCoffee_extension,m1,d28,0.286237
MTCoffee_extension,m1,d29,0.351705
MTCoffee_extension,m1,d30,0.575316
MTCoffee_extension,m1,d31,0.381313
MTCoffee_extension,m2,d1,0.377588
MTCoffee_extension,m2,d2,0.443497
MTCoffee_extension,m2,d3,0.288889
MTCoffee_extension,m2,d4,0.288384
MTCoffee_extension,m2,d5,0.283207
MTCoffee_extension,m2,d6,0.278535
MTCoffee_extension,m2,d7,0.168056
MTCoffee_extension,m2,d8,0.182008
MTCoffee_extension,m2,d9,0.17721
MTCoffee_extension,m2,d10,0.173864
MTCoffee_extension,m2,d11,0.173864
MTCoffee_extension,m2,d12,0.177462
MTCoffee_extension,m2,d13,0.181944
MTCoffee_extension,m2,d14,0.197222
MTCoffee_extension,m2,d15,0.21875
MTCoffee_extension,m2,d16,0.22077
MTCoffee_extension,m2,d17,0.279482
MTCoffee_extension,m2,d18,0.278346
MTCoffee_extension,m2,d19,0.276136
MTCoffee_extension,m2,d20,0.211048
MTCoffee_extension,m2,d21,0.208775
MTCoffee_extension,m2,d22,0.17279
MTCoffee_extension,m2,d23,0.161742
MTCoffee_extension,m2,d24,0.16976
MTCoffee_extension,m2,d25,0.134659
MTCoffee_extension,m2,d26,0.113699
MTCoffee_extension,m2,d27,0.10423
MTCoffee_extension,m2,d28,0.113763
MTCoffee_extension,m3,d1,0.091982
MTCoffee_extension,m3,d2,0.080871
MTCoffee_extension,m3,d3,0.086427
MTCoffee_extension,m3,d4,0.098169
MTCoffee_extension,m3,d5,0.120265
MTCoffee_extension,m3,d6,0.13649
MTCoffee_extension,m3,d7,0.195265
MTCoffee_extension,m3,d8,0.231566
MTCoffee_extension,m3,d9,0.261174
MTCoffee_extension,m3,d10,0.332513
MTCoffee_extension,m3,d11,0.319003
MTCoffee_extension,m3,d12,0.275126
MTCoffee_extension,m3,d13,0.268308
MTCoffee_extension,m3,d14,0.213889
MTCoffee_extension,m3,d15,0.217298
MTCoffee_extension,m3,d16,0.209722
MTCoffee_extension,m3,d17,0.187753
MTCoffee_extension,m3,d18,0.217992
MTCoffee_extension,m3,d19,0.150316
MTCoffee_extension,m3,d20,0.281566
MTCoffee_extension,m3,d21,0.274116
MTCoffee_extension,m3,d22,0.28548
MTCoffee_extension,m3,d23,0.270707
MTCoffee_extension,m3,d24,0.253157
MTCoffee_extension,m3,d25,0.228283
MTCoffee_extension,m3,d26,0.238005
MTCoffee_extension,m3,d27,0.194255
MTCoffee_extension,m3,d28,0.212247
MTCoffee_extension,m3,d29,0.193308
MTCoffee_extension,m3,d30,0.343182
MTCoffee_extension,m3,d31,0.401831
MTCoffee_extension,m4,d1,0.509154
MTCoffee_extension,m4,d2,0.496907
MTCoffee_extension,m4,d3,0.455114
MTCoffee_extension,m4,d4,0.42197
MTCoffee_extension,m4,d5,0.340909
MTCoffee_extension,m4,d6,0.332323
MTCoffee_extension,m4,d7,0.350316
MTCoffee_extension,m4,d8,0.272664
MTCoffee_extension,m4,d9,0.297854
MTCoffee_extension,m4,d10,0.34154
MTCoffee_extension,m4,d11,0.36471
MTCoffee_extension,m4,d12,0.333333
MTCoffee_extension,m4,d13,0.277715
MTCoffee_extension,m4,d14,0.344823
MTCoffee_extension,m4,d15,0.355682
MTCoffee_extension,m4,d16,0.288321
MTCoffee_extension,m4,d17,0.288826
MTCoffee_extension,m4,d18,0.330051
MTCoffee_extension,m4,d19,0.293056
MTCoffee_extension,m4,d20,0.32803
MTCoffee_extension,m4,d21,0.330745
MTCoffee_extension,m4,d22,0.275947
MTCoffee_extension,m4,d23,0.257513
MTCoffee_extension,m4,d24,0.232639
MTCoffee_extension,m4,d25,0.240909
MTCoffee_extension,m4,d26,0.319444
MTCoffee_extension,m4,d27,0.479419
MTCoffee_extension,m4,d28,0.54577
MTCoffee_extension,m4,d29,0.521843
MTCoffee_extension,m4,d30,0.549747
MTCoffee_extension,m5,d1,0.411553
MTCoffee_extension,m5,d2,0.38529
MTCoffee_extension,m5,d3,0.400253
MTCoffee_extension,m5,d4,0.410732
MTCoffee_extension,m5,d5,0.358965
MTCoffee_extension,m5,d6,0.275316
MTCoffee_extension,m5,d7,0.163131
MTCoffee_extension,m5,d8,0.277462
MTCoffee_extension,m5,d9,0.196843
MTCoffee_extension,m5,d10,0.196212
MTCoffee_extension,m5,d11,0.159091
MTCoffee_extension,m5,d12,0.170328
MTCoffee_extension,m5,d13,0.139773
MTCoffee_extension,m5,d14,0.15404
MTCoffee_extension,m5,d15,0.202967
MTCoffee_extension,m5,d16,0.24072
MTCoffee_extension,m5,d17,0.233586
MTCoffee_extension,m5,d18,0.275694
MTCoffee_extension,m5,d19,0.206818
MTCoffee_extension,m5,d20,0.251641
MTCoffee_extension,m5,d21,0.445328
MTCoffee_extension,m5,d22,0.76149
MTCoffee_extension,m5,d23,0.620013
MTCoffee_extension,m5,d24,0.590846
MTCoffee_extension,m5,d25,0.62096
MTCoffee_extension,m5,d26,0.614457
MTCoffee_extension,m5,d27,0.759912
MTCoffee_extension,m5,d28,0.834028
MTCoffee_extension,m5,d29,0.81875
MTCoffee_extension,m5,d30,0.487184
MTCoffee_extension,m5,d31,0.470581
MTCoffee_extension,m6,d1,0.405303
MTCoffee_extension,m6,d2,0.446023
MTCoffee_extension,m6,d3,0.498548
MTCoffee_extension,m6,d4,0.611048
MTCoffee_extension,m6,d5,0.651894
MTCoffee_extension,m6,d6,0.708207
MTCoffee_extension,m6,d7,0.710606
MTCoffee_extension,m6,d8,0.757134
MTCoffee_extension,m6,d9,0.801641
MTCoffee_extension,m6,d10,0.810606
MTCoffee_extension,m6,d11,0.724874
MTCoffee_extension,m6,d12,0.76875
MTCoffee_extension,m6,d13,0.698674
MTCoffee_extension,m6,d14,0.56774
MTCoffee_extension,m6,d15,0.537689
MTCoffee_extension,m6,d16,0.445455
MTCoffee_extension,m6,d17,0.467487
MTCoffee_extension,m6,d18,0.422348
MTCoffee_extension,m6,d19,0.407891
MTCoffee_extension,m6,d20,0.420265
MTCoffee_extension,m6,d21,0.496023
MTCoffee_extension,m6,d22,0.641667
MTCoffee_extension,m6,d23,0.717298
MTCoffee_extension,m6,d24,0.819508
MTCoffee_extension,m6,d25,0.862437
MTCoffee_extension,m6,d26,0.876831
MTCoffee_extension,m6,d27,0.878283
MTCoffee_extension,m6,d28,0.865846
MTCoffee_extension,m6,d29,0.871843
MTCoffee_extension,m6,d30,0.87077
MTCoffee_extension,m7,d1,0.871086
MTCoffee_extension,m7,d2,0.873737
MTCoffee_extension,m7,d3,0.826073
MTCoffee_extension,m7,d4,0.733333
MTCoffee_extension,m7,d5,0.843371
MTCoffee_extension,m7,d6,0.850694
MTCoffee_extension,m7,d7,0.850631
MTCoffee_extension,m7,d8,0.846591
MTCoffee_extension,m7,d9,0.749874
MTCoffee_extension,m7,d10,0.833712
MTCoffee_extension,m7,d11,0.860669
MTCoffee_extension,m7,d12,0.860669
MTCoffee_extension,m7,d13,0.794697
MTCoffee_extension,m7,d14,0.793308
MTCoffee_extension,m7,d15,0.857323
MTCoffee_extension,m7,d16,0.850505
MTCoffee_extension,m7,d17,0.847601
MTCoffee_extension,m7,d18,0.852336
MTCoffee_extension,m7,d19,0.854356
MTCoffee_extension,m7,d20,0.852588
MTCoffee_extension,m7,d21,0.849495
MTCoffee_extension,m7,d22,0.846338
MTCoffee_extension,m7,d23,0.830492
MTCoffee_extension,m7,d24,0.840909
MTCoffee_extension,m7,d25,0.846023
MTCoffee_extension,m7,d26,0.848485
MTCoffee_extension,m7,d27,0.851389
MTCoffee_extension,m7,d28,0.851705
MTCoffee_extension,m7,d29,0.848169
MTCoffee_extension,m7,d30,0.852399
MTCoffee_extension,m7,d31,0.854104
MTCoffee_extension,m8,d1,0.672159
MTCoffee_extension,m8,d2,0.70303
MTCoffee_extension,m8,d3,0.723295
MTCoffee_extension,m8,d4,0.85101
MTCoffee_extension,m8,d5,0.836616
MTCoffee_extension,m8,d6,0.856376
MTCoffee_extension,m8,d7,0.856313
MTCoffee_extension,m8,d8,0.859912
MTCoffee_extension,m8,d9,0.85726
MTCoffee_extension,m8,d10,0.855808
MTCoffee_extension,m8,d11,0.844949
MTCoffee_extension,m8,d12,0.836111
MTCoffee_extension,m8,d13,0.830114
MTCoffee_extension,m8,d14,0.827715
MTCoffee_extension,m8,d15,0.830366
MTCoffee_extension,m8,d16,0.831818
MTCoffee_extension,m8,d17,0.83548
MTCoffee_extension,m8,d18,0.838573
MTCoffee_extension,m8,d19,0.835669
MTCoffee_extension,m8,d20,0.832639
MTCoffee_extension,m8,d21,0.794255
MTCoffee_extension,m8,d22,0.805745
MTCoffee_extension,m8,d23,0.833838
MTCoffee_extension,m8,d24,0.835732
MTCoffee_extension,m8,d25,0.838258
MTCoffee_extension,m8,d26,0.844634
MTCoffee_extension,m8,d27,0.843624
MTCoffee_extension,m8,d28,0.844066
MTCoffee_extension,m8,d29,0.842929
MTCoffee_extension,m8,d30,0.84375
MTCoffee_extension,m8,d31,0.845707
MTCoffee_extension,m9,d1,0.819886
MTCoffee_extension,m9,d2,0.837437
MTCoffee_extension,m9,d3,0.836679
MTCoffee_extension,m9,d4,0.82279
MTCoffee_extension,m9,d5,0.812942
MTCoffee_extension,m9,d6,0.815972
MTCoffee_extension,m9,d7,0.827525
MTCoffee_extension,m9,d8,0.83346
MTCoffee_extension,m9,d9,0.836427
MTCoffee_extension,m9,d10,0.833902
MTCoffee_extension,m9,d11,0.815467
MTCoffee_extension,m9,d12,0.828472
MTCoffee_extension,m9,d13,0.821086
MTCoffee_extension,m9,d14,0.833207
MTCoffee_extension,m9,d15,0.833902
MTCoffee_extension,m9,d16,0.838447
MTCoffee_extension,m9,d17,0.831376
MTCoffee_extension,m9,d18,0.83226
MTCoffee_extension,m9,d19,0.832008
MTCoffee_extension,m9,d20,0.829798
MTCoffee_extension,m9,d21,0.826073
MTCoffee_extension,m9,d22,0.824874
MTCoffee_extension,m9,d23,0.826894
MTCoffee_extension,m9,d24,0.799937
MTCoffee_extension,m9,d25,0.8125
MTCoffee_extension,m9,d26,0.686174
MTCoffee_extension,m9,d27,0.697601
MTCoffee_extension,m9,d28,0.721843
MTCoffee_extension,m9,d29,0.781376
MTCoffee_extension,m9,d30,0.838258
MTCoffee_extension,m10,d1,0.840846
MTCoffee_extension,m10,d2,0.845265
MTCoffee_extension,m10,d3,0.842551
MTCoffee_extension,m10,d4,0.837437
MTCoffee_extension,m10,d5,0.832449
MTCoffee_extension,m10,d6,0.826578
MTCoffee_extension,m10,d7,0.732955
MTCoffee_extension,m10,d8,0.831818
MTCoffee_extension,m10,d9,0.832639
MTCoffee_extension,m10,d10,0.826831
MTCoffee_extension,m10,d11,0.831061
MTCoffee_extension,m10,d12,0.829482
MTCoffee_extension,m10,d13,0.833333
MTCoffee_extension,m10,d14,0.837816
MTCoffee_extension,m10,d15,0.507702
MTCoffee_extension,m10,d16,0.841351
MTCoffee_extension,m10,d17,0.846023
MTCoffee_extension,m10,d18,0.846086
MTCoffee_extension,m10,d19,0.829924
MTCoffee_extension,m10,d20,0.844255
MTCoffee_extension,m10,d21,0.844697
MTCoffee_extension,m10,d22,0.846149
MTCoffee_extension,m10,d23,0.848169
MTCoffee_extension,m10,d24,0.849369
MTCoffee_extension,m10,d25,0.843876
MTCoffee_extension,m10,d26,0.665278
MTCoffee_extension,m10,d27,0.793624
MTCoffee_extension,m10,d28,0.855871
MTCoffee_extension,m10,d29,0.746212
MTCoffee_extension,m10,d30,0.64173
MTCoffee_extension,m10,d31,0.761111
MTCoffee_extension,m11,d1,0.397159
MTCoffee_extension,m11,d2,0.011995
MTCoffee_extension,m11,d3,0
MTCoffee_extension,m11,d4,0.095455
MTCoffee_extension,m11,d5,0.573737
MTCoffee_extension,m11,d6,0.421591
MTCoffee_extension,m11,d7,0.514583
MTCoffee_extension,m11,d8,0.453977
MTCoffee_extension,m11,d9,0.287942
MTCoffee_extension,m11,d10,0.601768
MTCoffee_extension,m11,d11,0.550758
MTCoffee_extension,m11,d12,0.854482
MTCoffee_extension,m11,d13,0.855682
MTCoffee_extension,m11,d14,0.856124
MTCoffee_extension,m11,d15,0.860669
MTCoffee_extension,m11,d16,0.689205
MTCoffee_extension,m11,d17,0.741288
MTCoffee_extension,m11,d18,0.863194
MTCoffee_extension,m11,d19,0.861174
MTCoffee_extension,m11,d20,0.821843
MTCoffee_extension,m11,d21,0.857134
MTCoffee_extension,m11,d22,0.861679
MTCoffee_extension,m11,d23,0.80726
MTCoffee_extension,m11,d24,0.855429
MTCoffee_extension,m11,d25,0.870455
MTCoffee_extension,m11,d26,0.868876
MTCoffee_extension,m11,d27,0.868813
MTCoffee_extension,m11,d28,0.86774
MTCoffee_extension,m11,d29,0.868371
MTCoffee_extension,m11,d30,0.868119
MTCoffee_extension,m12,d1,0.86774
