zone,type,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,
Drc_W,Energy,17237,18596,19955,21128.5,22302,23475.5,24649,25886,27123,28359.5,29596,30840.5,32085,28355,24625,30911.5,37198,38489,39780,41064,42348,43637.83333,46249.93333,48140.95152,50031.9697,51922.98788,53814.00606,55705.02424,57596.04242,59487.06061,61378.07879,63269.09697,,
Egypt,Energy,0,0,194551,198073,202213,206570,213337,222409,231505,240624,249778,258970,268455,278113,283755,289597,295655,304078,312910,322158,331805,341843,352631,363901,375662,387925,400699,414208,428249,442824,457936,473576,,
Ethiopia,Energy,13300.88706,14000.93375,14737.825,15513.5,16330,17785,19285,22096,25240,28212,31232,33997,36515,38783,44713,47911,52493,56139,61490,65638,71671,76405,83280,91343,98744,108175,116958,126358,136426,147446,156475.6,166276.6,,
Kenya,Energy,0,12416,12416,12891,13304,13760,14257,14780,15632,16538,17571,18680,19722,20877,22050,23301,24617,25956,27461,29030,30695,32460,34321,36112.5562,37997.63163,39981.108,42068.12184,44264.0778,46574.66266,49005.86006,51563.96595,54255.60497,,
Libya,Energy,4423,27267.5,32259.76,34338.76094,36417.76187,38687.63563,40957.50939,43450.7655,45944.02162,48765.26999,51586.51836,54692.30563,57798.09291,60912.24898,64026.40505,67072.64516,70118.88527,73016.41839,75913.95151,78577.80223,81241.65294,83995.81033,87209.52934,90122.29335,93035.05737,95947.82138,98860.58539,101773.3494,104686.1134,107598.8774,110511.6414,113424.4054,,
Rwanda,Energy,876,895,1005,1131,1244,1368,1505,1656,1822,2004,2204,2424,2666,2933,3226,3549,3904,4294,4723,5195,5715,6287,6916,7608,8369,9206,10127,11140,12254,13479,14827,16310,,
SouthSudan,Energy,1729,1968.5,2208,2462.5,2717,2945,3173,3377,3581,3806,4031,4274,4517,4760,5003,5241,5479,5705.5,5932,6140,6348,6571.416667,6822.7,7050.519697,7278.339394,7506.159091,7733.978788,7961.798485,8189.618182,8417.437879,8645.257576,8873.077273,,
Tanzania,Energy,7861,8028,8665,9691.694878,10924.10969,12609.8703,14544.20917,16738.55518,18933.85359,21336.77676,24068.28039,27298.84535,30870.37206,34909.53067,39501.0854,44784.08771,49045.15718,53598.61563,58454.93955,63637.93911,69145.7095,74913.48703,81084.13278,87745.26819,94885.46439,102799.9676,109157.9518,116115.3811,123072.8103,130030.2396,136987.6689,143945.0982,,
Uganda,Energy,0,4569,4855,5213,5594,6013,6505,7076,7678,8303,8947,9650,10255.9,10897.6,11539.3,12181,12822.7,13464.4,14106.1,14747.8,15389.5,16031.2,16672.9,17314.6,17956.3,18598,19239.7,19881.4,20523.1,21164.8,21806.5,22448.2,,
Sudan,Energy,1120.512218,1202.809725,1285.107233,1367.40474,1449.702248,1531.999755,1614.297263,1751.037737,1887.778211,2024.518685,2161.259159,2297.999633,2499.311998,2700.624362,2901.936727,3103.249091,3304.561456,3540.058939,3775.556422,4011.053905,4246.551388,4482.048871,4717.546354,4953.043837,5188.54132,5424.038803,5659.536287,5895.03377,6130.531253,6366.028736,6601.526219,6837.023702,,
Mogadishu,Energy,0,0,105,121,129,131,133,136,138,251,393,524,682,815,1014,1251,1512,1806,2126,2493,2785,3163,3586,4026,4522,5167,5623,6118,6668,7262,7738.1,8261.6,,
SomaliaROC,Energy,0,0,99,113.6666667,121,123,126,128,130,132,134,169,214,254,452,676,918,1202,1498,1840,2177,2559,2930,3363,3867,4268,4747,5323,5906,6565,7087.7,7663,,
Somaliland,Energy,0,0,0,119,131,133,136,138,140,226,330,458,634,858,1011,1186,1388,1609,1860,2143,2336,2599,2892,3183,3501,3965,4235,4523,4831,5159,5437.8,5736.2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
