zone,type,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Malawi,Peak,374.00000000000006,396.00000000000006,404.8,440.00000000000006,488.40000000000003,554.4000000000001,634.7,673.2,723.8000000000001,790.9000000000001,845.9000000000001,910.8000000000001,983.4000000000001,1067.0,1146.2,1236.4,1328.8000000000002,1430.0000000000002,1540.0000000000002,1661.0000000000002,1791.9,1937.1000000000001,2096.6000000000004,2202.4444442000004,2334.5911116,2474.6665779,2623.1465722000003,2780.5353664,2947.367489,3124.2095379,3311.6621109000002
DRC_South,Peak,495.63129902000003,519.63300598,533.44089799,546.05791933,593.18088907,608.2563932500001,631.33361214,648.15662274,677.1560631,696.2596622300001,717.35271773,782.64572672,809.0333904400001,836.17543548,910.44686029,941.2832649000001,1022.63260099,1057.38291428,1146.55508,1185.5807854,1226.0719515000003,1266.5631176000002,1307.0542837,1347.5454509,1388.0366170000002,1428.5277831,1469.0189492000002,1509.5101164,1550.0012825000001,1590.4924486,1630.9836147
Mozal,Peak,1102.75,1105.5,1108.25,1111.0,1113.75,1116.5,1119.25,1122.0,1124.75,1127.5,1130.25,1133.0,1135.75,1138.5,1141.25,1144.0,1146.75,1149.5,1152.25,1155.0,1157.75,1160.5,1163.25,1166.0,1168.75,1171.5,1174.25,1177.0,1179.75,1182.5,1185.25
South_Africa,Energy,259600.00000000003,265100.0,258500.00000000003,267300.0,269500.0,271700.0,275000.0,276100.0,278850.0,281600.0,286000.0,290400.0,295900.0,301400.0,309650.0,317900.0,326700.0,335500.0,346500.0,357500.0,367400.00000000006,377300.00000000006,387200.00000000006,397100.00000000006,406450.00000000006,415800.00000000006,425700.00000000006,435600.00000000006,444950.00000000006,454300.00000000006,464200.00000000006
Lesotho,Energy,936.1,961.4000000000001,992.2,1030.7,1058.2,1076.9,1112.1000000000001,1158.3000000000002,1181.4,1239.7,1277.1000000000001,1314.5,1354.1000000000001,1398.1000000000001,1442.1000000000001,1486.1000000000001,1515.8000000000002,1545.5000000000002,1576.3000000000002,1608.2,1640.1000000000001,1672.0000000000002,1703.9,1735.8000000000002,1767.7,1799.6000000000001,1831.5000000000002,1863.4,1895.3000000000002,1927.2,1959.1000000000001
Eswatini,Energy,1805.2941181,1882.9411766,1960.5882351000002,2038.2352936000002,2115.8823532,2193.5294117000003,2271.1764702000005,2348.8235298,2426.4705883,2504.1176468000003,2581.7647064000003,2659.4117649,2737.0588234,2814.7058819,2892.3529415000003,2970.0000000000005,3047.6470585000006,3125.2941181000006,3202.9411766000003,3280.5882351000005,3358.2352936,3435.8823532,3513.5294117000003,3591.1764702000005,3668.8235298,3746.4705883,3824.1176468000003,3901.7647064000007,3979.4117649000004,4057.0588234000006,4134.7058819
Mozambique,Energy,6205.1,6846.400000000001,7195.1,7623.000000000001,8345.7,8900.1,9582.1,10212.400000000001,10852.6,11332.829541000001,11825.372658,12205.199182,12597.339282,13000.845759,13417.613011000001,13847.641038,14290.929851,14748.426627,15220.131388000002,15706.044123000001,16208.059219,16710.074326,17212.089422,17714.104529000004,18216.119625,18718.134732000002,19220.149839,19722.164935,20224.180042000004,20726.195138,21228.210245000002
Zimbabwe,Energy,11426.800000000001,11756.800000000001,12552.1,13093.300000000001,13598.2,14218.6,15111.800000000001,15550.7,16018.2,16476.9,16965.300000000003,17406.508097,17999.027959,18465.690375000002,19099.219953000003,19592.750815,20189.513058000004,20636.377674,21094.555317000002,21559.803606,22036.364911000004,22512.926227,22989.487543000003,23466.048859000002,23942.610175,24419.171491,24895.732807,25372.294123000003,25848.855439000003,26325.416755000002,26801.978071
Botswana,Energy,3900.6000000000004,4106.3,4392.3,4804.8,5066.6,5074.3,5487.900000000001,5907.000000000001,6024.700000000001,6154.500000000001,6094.000000000001,6125.900000000001,6184.200000000001,6166.6,6221.6,6311.8,6457.000000000001,6637.2952371,6628.6,6813.6867293000005,6766.1,6955.0260659000005,7149.2274095,7348.8513307,7554.049239000001,7764.9767756,7981.793924500001,8204.665139,8433.759463800001,8669.2506615,8911.3173501
Namibia,Energy,4444.0,4428.6,4505.6,4648.6,4823.5,4983.0,5110.6,5237.1,5311.900000000001,5387.8,5462.6,5538.5,5621.0,5687.000000000001,5766.200000000001,5846.500000000001,5927.900000000001,6019.200000000001,6089.6,6172.1,6257.900000000001,6347.000000000001,6436.1,6534.000000000001,6646.1781419,6760.282199,6876.3452373,6994.400889300001,7114.483363900001,7236.627459600001,7360.868571100001
