z,y,q,d,tech,f,techfuel,t,value
Kenya,2026,Q1,d1,OnshoreWind,Wind,Onshore Wind,t23,187.187
Kenya,2026,Q1,d1,OnshoreWind,Wind,Onshore Wind,t24,159.2118
Kenya,2026,Q1,d1,PV,Solar,PV,t6,0.63869
Kenya,2026,Q1,d1,PV,Solar,PV,t7,9.7909866385
Kenya,2026,Q1,d1,PV,Solar,PV,t8,26.299677994000003
Kenya,2026,Q1,d1,PV,Solar,PV,t9,46.9151443155
Kenya,2026,Q1,d1,PV,Solar,PV,t10,63.505427307000005
Kenya,2026,Q1,d1,PV,Solar,PV,t11,81.2107948345
Kenya,2026,Q1,d1,PV,Solar,PV,t12,91.831295572
Kenya,2026,Q1,d1,PV,Solar,PV,t13,93.1911548715
Kenya,2026,Q1,d1,PV,Solar,PV,t14,81.7955343145
Kenya,2026,Q1,d1,PV,Solar,PV,t15,54.38077163999999
Kenya,2026,Q1,d1,PV,Solar,PV,t16,28.5026499985
Kenya,2026,Q1,d1,PV,Solar,PV,t17,10.53405
Kenya,2026,Q1,d1,PV,Solar,PV,t18,0.8973450000000001
Kenya,2026,Q1,d1,ROR,Water,ROR,t1,429.87
Kenya,2026,Q1,d1,ROR,Water,ROR,t2,429.87
Kenya,2026,Q1,d1,ROR,Water,ROR,t3,429.87
Kenya,2026,Q1,d1,ROR,Water,ROR,t4,429.87
Kenya,2026,Q1,d1,ROR,Water,ROR,t5,429.87
Kenya,2026,Q1,d1,ROR,Water,ROR,t6,429.87
Kenya,2026,Q1,d1,ROR,Water,ROR,t7,429.87
Kenya,2026,Q1,d1,ROR,Water,ROR,t8,427.4968046482871
Kenya,2026,Q1,d1,ROR,Water,ROR,t9,424.4044847000621
Kenya,2026,Q1,d1,ROR,Water,ROR,t10,421.915942251337
Kenya,2026,Q1,d1,ROR,Water,ROR,t11,416.6600372446721
Kenya,2026,Q1,d1,ROR,Water,ROR,t12,414.33472201158713
Kenya,2026,Q1,d1,ROR,Water,ROR,t13,414.8712631166621
Kenya,2026,Q1,d1,ROR,Water,ROR,t14,419.1724262002121
Kenya,2026,Q1,d1,ROR,Water,ROR,t15,424.8273906013871
Kenya,2026,Q1,d1,ROR,Water,ROR,t16,429.87
Kenya,2026,Q1,d1,ROR,Water,ROR,t17,429.87
Kenya,2026,Q1,d1,ROR,Water,ROR,t18,429.87
Kenya,2026,Q1,d1,ROR,Water,ROR,t19,429.87
Kenya,2026,Q1,d1,ROR,Water,ROR,t20,429.87
Kenya,2026,Q1,d1,ROR,Water,ROR,t21,429.87
Kenya,2026,Q1,d1,ROR,Water,ROR,t22,429.87
Kenya,2026,Q1,d1,ROR,Water,ROR,t23,429.87
Kenya,2026,Q1,d1,ROR,Water,ROR,t24,429.87
Kenya,2026,Q1,d1,Geothermal,Geothermal,Geothermal,t1,871.0126688029018
Kenya,2026,Q1,d1,Geothermal,Geothermal,Geothermal,t2,677.0930877756794
Kenya,2026,Q1,d1,Geothermal,Geothermal,Geothermal,t3,1078.0487185460715
Kenya,2026,Q1,d1,Geothermal,Geothermal,Geothermal,t4,1318.8844625349486
Kenya,2026,Q1,d1,Geothermal,Geothermal,Geothermal,t5,1247.2259200900664
Kenya,2026,Q1,d1,Geothermal,Geothermal,Geothermal,t6,694.4500425198212
Kenya,2026,Q1,d1,Geothermal,Geothermal,Geothermal,t7,1238.322079683087
Kenya,2026,Q1,d1,Geothermal,Geothermal,Geothermal,t8,747.790817466562
Kenya,2026,Q1,d1,Geothermal,Geothermal,Geothermal,t9,1390.2979079693314
Kenya,2026,Q1,d1,Geothermal,Geothermal,Geothermal,t10,1216.7585294879195
Kenya,2026,Q1,d1,Geothermal,Geothermal,Geothermal,t11,1229.6343820900606
Kenya,2026,Q1,d1,Geothermal,Geothermal,Geothermal,t12,1157.5477233704376
Kenya,2026,Q1,d1,Geothermal,Geothermal,Geothermal,t13,1150.397166079457
Kenya,2026,Q1,d1,Geothermal,Geothermal,Geothermal,t14,1187.8074054950364
Kenya,2026,Q1,d1,Geothermal,Geothermal,Geothermal,t15,1232.3844381441936
Kenya,2026,Q1,d1,Geothermal,Geothermal,Geothermal,t16,1293.3331542211397
Kenya,2026,Q1,d1,Geothermal,Geothermal,Geothermal,t17,1340.2835518631898
Kenya,2026,Q1,d1,Geothermal,Geothermal,Geothermal,t18,1183.3669107869105
Kenya,2026,Q1,d1,Geothermal,Geothermal,Geothermal,t19,1332.262549228691
Kenya,2026,Q1,d1,Geothermal,Geothermal,Geothermal,t20,1720.0392969477411
Kenya,2026,Q1,d1,Geothermal,Geothermal,Geothermal,t21,1720.039296947741
Kenya,2026,Q1,d1,Geothermal,Geothermal,Geothermal,t22,1713.2434445520273
Kenya,2026,Q1,d1,Geothermal,Geothermal,Geothermal,t23,1432.8925330664608
Kenya,2026,Q1,d1,Geothermal,Geothermal,Geothermal,t24,905.4209294700676
Kenya,2026,Q1,d1,RPV,Solar,Solar,t1,98.0
Kenya,2026,Q1,d1,RPV,Solar,Solar,t2,98.0
Kenya,2026,Q1,d1,RPV,Solar,Solar,t3,98.0
Kenya,2026,Q1,d1,RPV,Solar,Solar,t4,98.0
Kenya,2026,Q1,d1,RPV,Solar,Solar,t5,98.0
Kenya,2026,Q1,d1,RPV,Solar,Solar,t6,98.0
Kenya,2026,Q1,d1,RPV,Solar,Solar,t7,98.0
Kenya,2026,Q1,d1,RPV,Solar,Solar,t8,98.0
Kenya,2026,Q1,d1,RPV,Solar,Solar,t9,98.0
Kenya,2026,Q1,d1,RPV,Solar,Solar,t10,98.0
Kenya,2026,Q1,d1,RPV,Solar,Solar,t11,98.0
Kenya,2026,Q1,d1,RPV,Solar,Solar,t12,98.0
Kenya,2026,Q1,d1,RPV,Solar,Solar,t13,98.0
Kenya,2026,Q1,d1,RPV,Solar,Solar,t14,98.0
Kenya,2026,Q1,d1,RPV,Solar,Solar,t15,98.0
Kenya,2026,Q1,d1,RPV,Solar,Solar,t16,98.0
Kenya,2026,Q1,d1,RPV,Solar,Solar,t17,98.0
Kenya,2026,Q1,d1,RPV,Solar,Solar,t18,98.0
Kenya,2026,Q1,d1,RPV,Solar,Solar,t19,98.0
Kenya,2026,Q1,d1,RPV,Solar,Solar,t20,98.0
Kenya,2026,Q1,d1,RPV,Solar,Solar,t21,98.0
Kenya,2026,Q1,d1,RPV,Solar,Solar,t22,98.0
Kenya,2026,Q1,d1,RPV,Solar,Solar,t23,98.0
Kenya,2026,Q1,d1,RPV,Solar,Solar,t24,98.0
Kenya,2026,Q1,d2,OnshoreWind,Wind,Onshore Wind,t1,395.7980059242
Kenya,2026,Q1,d2,OnshoreWind,Wind,Onshore Wind,t2,400.3665823542
Kenya,2026,Q1,d2,OnshoreWind,Wind,Onshore Wind,t3,407.3703291834
Kenya,2026,Q1,d2,OnshoreWind,Wind,Onshore Wind,t4,402.3681075326
Kenya,2026,Q1,d2,OnshoreWind,Wind,Onshore Wind,t5,400.3665823542
Kenya,2026,Q1,d2,OnshoreWind,Wind,Onshore Wind,t6,395.7980059242
Kenya,2026,Q1,d2,OnshoreWind,Wind,Onshore Wind,t7,411.4
Kenya,2026,Q1,d2,OnshoreWind,Wind,Onshore Wind,t8,411.4
Kenya,2026,Q1,d2,OnshoreWind,Wind,Onshore Wind,t9,411.4
Kenya,2026,Q1,d2,OnshoreWind,Wind,Onshore Wind,t10,411.4
Kenya,2026,Q1,d2,OnshoreWind,Wind,Onshore Wind,t11,411.4
Kenya,2026,Q1,d2,OnshoreWind,Wind,Onshore Wind,t12,411.4
Kenya,2026,Q1,d2,OnshoreWind,Wind,Onshore Wind,t13,411.4
Kenya,2026,Q1,d2,OnshoreWind,Wind,Onshore Wind,t14,411.4
Kenya,2026,Q1,d2,OnshoreWind,Wind,Onshore Wind,t15,411.4
Kenya,2026,Q1,d2,OnshoreWind,Wind,Onshore Wind,t16,411.4
Kenya,2026,Q1,d2,OnshoreWind,Wind,Onshore Wind,t17,411.4
Kenya,2026,Q1,d2,OnshoreWind,Wind,Onshore Wind,t18,411.4
Kenya,2026,Q1,d2,OnshoreWind,Wind,Onshore Wind,t19,408.7335586224
Kenya,2026,Q1,d2,OnshoreWind,Wind,Onshore Wind,t20,404.1961190014
Kenya,2026,Q1,d2,OnshoreWind,Wind,Onshore Wind,t21,405.8605393172001
Kenya,2026,Q1,d2,OnshoreWind,Wind,Onshore Wind,t22,408.7335586224
Kenya,2026,Q1,d2,OnshoreWind,Wind,Onshore Wind,t23,407.3703291834
Kenya,2026,Q1,d2,OnshoreWind,Wind,Onshore Wind,t24,404.1961190014
Kenya,2026,Q1,d2,PV,Solar,PV,t6,2.41315
Kenya,2026,Q1,d2,PV,Solar,PV,t7,29.9848966075
Kenya,2026,Q1,d2,PV,Solar,PV,t8,66.2251457615
Kenya,2026,Q1,d2,PV,Solar,PV,t9,101.1191343665
Kenya,2026,Q1,d2,PV,Solar,PV,t10,125.3246290595
Kenya,2026,Q1,d2,PV,Solar,PV,t11,125.3246290595
Kenya,2026,Q1,d2,PV,Solar,PV,t12,125.3246290595
Kenya,2026,Q1,d2,PV,Solar,PV,t13,125.3246290595
Kenya,2026,Q1,d2,PV,Solar,PV,t14,125.3246290595
Kenya,2026,Q1,d2,PV,Solar,PV,t15,105.70185996450002
Kenya,2026,Q1,d2,PV,Solar,PV,t16,72.50769552
Kenya,2026,Q1,d2,PV,Solar,PV,t17,35.0027773085
Kenya,2026,Q1,d2,PV,Solar,PV,t18,4.43615
Kenya,2026,Q1,d2,ROR,Water,ROR,t1,420.3909854587571
Kenya,2026,Q1,d2,ROR,Water,ROR,t2,419.7056989942571
Kenya,2026,Q1,d2,ROR,Water,ROR,t3,418.6551369698771
Kenya,2026,Q1,d2,ROR,Water,ROR,t4,419.4054702174971
Kenya,2026,Q1,d2,ROR,Water,ROR,t5,419.7056989942571
Kenya,2026,Q1,d2,ROR,Water,ROR,t6,420.0290129587571
Kenya,2026,Q1,d2,ROR,Water,ROR,t7,413.5529518562621
Kenya,2026,Q1,d2,ROR,Water,ROR,t8,408.1169144831621
Kenya,2026,Q1,d2,ROR,Water,ROR,t9,402.8828161924121
Kenya,2026,Q1,d2,ROR,Water,ROR,t10,399.2519919884621
Kenya,2026,Q1,d2,ROR,Water,ROR,t11,399.2519919884621
Kenya,2026,Q1,d2,ROR,Water,ROR,t12,399.2519919884621
Kenya,2026,Q1,d2,ROR,Water,ROR,t13,399.2519919884621
Kenya,2026,Q1,d2,ROR,Water,ROR,t14,399.2519919884621
Kenya,2026,Q1,d2,ROR,Water,ROR,t15,402.1954073527121
Kenya,2026,Q1,d2,ROR,Water,ROR,t16,407.17453201938713
Kenya,2026,Q1,d2,ROR,Water,ROR,t17,412.8002697511121
Kenya,2026,Q1,d2,ROR,Water,ROR,t18,417.3852638473871
Kenya,2026,Q1,d2,ROR,Water,ROR,t19,418.4506525540271
Kenya,2026,Q1,d2,ROR,Water,ROR,t20,419.1312684971771
Kenya,2026,Q1,d2,ROR,Water,ROR,t21,418.8816054498071
Kenya,2026,Q1,d2,ROR,Water,ROR,t22,418.4506525540271
Kenya,2026,Q1,d2,ROR,Water,ROR,t23,418.6551369698771
Kenya,2026,Q1,d2,ROR,Water,ROR,t24,419.1312684971771
Kenya,2026,Q1,d2,Geothermal,Geothermal,Geothermal,t1,679.8175883139307
Kenya,2026,Q1,d2,Geothermal,Geothermal,Geothermal,t2,865.1400406003542
Kenya,2026,Q1,d2,Geothermal,Geothermal,Geothermal,t3,769.9666044483149
Kenya,2026,Q1,d2,Geothermal,Geothermal,Geothermal,t4,713.4934022106992
Kenya,2026,Q1,d2,Geothermal,Geothermal,Geothermal,t5,1192.296055925376
Kenya,2026,Q1,d2,Geothermal,Geothermal,Geothermal,t6,799.851997421893
Kenya,2026,Q1,d2,Geothermal,Geothermal,Geothermal,t7,997.8603010319996
Kenya,2026,Q1,d2,Geothermal,Geothermal,Geothermal,t8,1190.3061958454914
Kenya,2026,Q1,d2,Geothermal,Geothermal,Geothermal,t9,640.7065828409252
Kenya,2026,Q1,d2,Geothermal,Geothermal,Geothermal,t10,883.423264019862
Kenya,2026,Q1,d2,Geothermal,Geothermal,Geothermal,t11,677.2564099242966
Kenya,2026,Q1,d2,Geothermal,Geothermal,Geothermal,t12,671.1167760425654
Kenya,2026,Q1,d2,Geothermal,Geothermal,Geothermal,t13,622.4477019836406
Kenya,2026,Q1,d2,Geothermal,Geothermal,Geothermal,t14,1225.9658534282837
Kenya,2026,Q1,d2,Geothermal,Geothermal,Geothermal,t15,704.8495664250444
Kenya,2026,Q1,d2,Geothermal,Geothermal,Geothermal,t16,1122.4183271991535
Kenya,2026,Q1,d2,Geothermal,Geothermal,Geothermal,t17,1249.7776039615474
Kenya,2026,Q1,d2,Geothermal,Geothermal,Geothermal,t18,1234.295665295915
Kenya,2026,Q1,d2,Geothermal,Geothermal,Geothermal,t19,788.4806609279245
Kenya,2026,Q1,d2,Geothermal,Geothermal,Geothermal,t20,1344.893057675701
Kenya,2026,Q1,d2,Geothermal,Geothermal,Geothermal,t21,1368.7274771382176
Kenya,2026,Q1,d2,Geothermal,Geothermal,Geothermal,t22,1257.6700214589678
Kenya,2026,Q1,d2,Geothermal,Geothermal,Geothermal,t23,1288.100578510039
Kenya,2026,Q1,d2,Geothermal,Geothermal,Geothermal,t24,1233.434679164637
Kenya,2026,Q1,d2,RPV,Solar,Solar,t1,98.0
Kenya,2026,Q1,d2,RPV,Solar,Solar,t2,98.0
Kenya,2026,Q1,d2,RPV,Solar,Solar,t3,98.0
Kenya,2026,Q1,d2,RPV,Solar,Solar,t4,98.0
Kenya,2026,Q1,d2,RPV,Solar,Solar,t5,98.0
Kenya,2026,Q1,d2,RPV,Solar,Solar,t6,98.0
Kenya,2026,Q1,d2,RPV,Solar,Solar,t7,98.0
Kenya,2026,Q1,d2,RPV,Solar,Solar,t8,98.0
Kenya,2026,Q1,d2,RPV,Solar,Solar,t9,98.0
Kenya,2026,Q1,d2,RPV,Solar,Solar,t10,98.0
Kenya,2026,Q1,d2,RPV,Solar,Solar,t11,98.0
Kenya,2026,Q1,d2,RPV,Solar,Solar,t12,98.0
Kenya,2026,Q1,d2,RPV,Solar,Solar,t13,98.0
Kenya,2026,Q1,d2,RPV,Solar,Solar,t14,98.0
Kenya,2026,Q1,d2,RPV,Solar,Solar,t15,98.0
Kenya,2026,Q1,d2,RPV,Solar,Solar,t16,98.0
Kenya,2026,Q1,d2,RPV,Solar,Solar,t17,98.0
Kenya,2026,Q1,d2,RPV,Solar,Solar,t18,98.0
Kenya,2026,Q1,d2,RPV,Solar,Solar,t19,98.0
Kenya,2026,Q1,d2,RPV,Solar,Solar,t20,98.0
Kenya,2026,Q1,d2,RPV,Solar,Solar,t21,98.0
Kenya,2026,Q1,d2,RPV,Solar,Solar,t22,98.0
Kenya,2026,Q1,d2,RPV,Solar,Solar,t23,98.0
Kenya,2026,Q1,d2,RPV,Solar,Solar,t24,98.0
Kenya,2026,Q1,d3,OnshoreWind,Wind,Onshore Wind,t1,282.16477542879994
Kenya,2026,Q1,d3,OnshoreWind,Wind,Onshore Wind,t2,236.7853679554
Kenya,2026,Q1,d3,OnshoreWind,Wind,Onshore Wind,t3,202.831813822
Kenya,2026,Q1,d3,OnshoreWind,Wind,Onshore Wind,t4,159.04469672519997
Kenya,2026,Q1,d3,OnshoreWind,Wind,Onshore Wind,t5,159.04469672519997
Kenya,2026,Q1,d3,OnshoreWind,Wind,Onshore Wind,t6,159.04469672519997
Kenya,2026,Q1,d3,OnshoreWind,Wind,Onshore Wind,t7,322.30306826519995
Kenya,2026,Q1,d3,OnshoreWind,Wind,Onshore Wind,t8,408.7335586224
Kenya,2026,Q1,d3,OnshoreWind,Wind,Onshore Wind,t9,411.4
Kenya,2026,Q1,d3,OnshoreWind,Wind,Onshore Wind,t10,411.4
Kenya,2026,Q1,d3,OnshoreWind,Wind,Onshore Wind,t11,411.4
Kenya,2026,Q1,d3,OnshoreWind,Wind,Onshore Wind,t12,408.7335586224
Kenya,2026,Q1,d3,OnshoreWind,Wind,Onshore Wind,t13,400.3665823542
Kenya,2026,Q1,d3,OnshoreWind,Wind,Onshore Wind,t14,387.7238584164
Kenya,2026,Q1,d3,OnshoreWind,Wind,Onshore Wind,t15,378.4976650202
Kenya,2026,Q1,d3,OnshoreWind,Wind,Onshore Wind,t16,378.4976650202
Kenya,2026,Q1,d3,OnshoreWind,Wind,Onshore Wind,t17,378.4976650202
Kenya,2026,Q1,d3,OnshoreWind,Wind,Onshore Wind,t18,362.7549252448
Kenya,2026,Q1,d3,OnshoreWind,Wind,Onshore Wind,t19,344.2568956794
Kenya,2026,Q1,d3,OnshoreWind,Wind,Onshore Wind,t20,322.30306826519995
Kenya,2026,Q1,d3,OnshoreWind,Wind,Onshore Wind,t21,282.16477542879994
Kenya,2026,Q1,d3,OnshoreWind,Wind,Onshore Wind,t22,282.16477542879994
Kenya,2026,Q1,d3,OnshoreWind,Wind,Onshore Wind,t23,282.16477542879994
Kenya,2026,Q1,d3,OnshoreWind,Wind,Onshore Wind,t24,261.3523769032
Kenya,2026,Q1,d3,PV,Solar,PV,t6,1.5895
Kenya,2026,Q1,d3,PV,Solar,PV,t7,20.9690297885
Kenya,2026,Q1,d3,PV,Solar,PV,t8,60.4865398095
Kenya,2026,Q1,d3,PV,Solar,PV,t9,95.666098707
Kenya,2026,Q1,d3,PV,Solar,PV,t10,120.809896347
Kenya,2026,Q1,d3,PV,Solar,PV,t11,125.3246290595
Kenya,2026,Q1,d3,PV,Solar,PV,t12,125.3246290595
Kenya,2026,Q1,d3,PV,Solar,PV,t13,125.3246290595
Kenya,2026,Q1,d3,PV,Solar,PV,t14,118.3757483295
Kenya,2026,Q1,d3,PV,Solar,PV,t15,91.7769012925
Kenya,2026,Q1,d3,PV,Solar,PV,t16,58.1067860715
Kenya,2026,Q1,d3,PV,Solar,PV,t17,25.8509244295
Kenya,2026,Q1,d3,PV,Solar,PV,t18,3.1212
Kenya,2026,Q1,d3,ROR,Water,ROR,t1,429.87
Kenya,2026,Q1,d3,ROR,Water,ROR,t2,429.87
Kenya,2026,Q1,d3,ROR,Water,ROR,t3,429.87
Kenya,2026,Q1,d3,ROR,Water,ROR,t4,429.87
Kenya,2026,Q1,d3,ROR,Water,ROR,t5,429.87
Kenya,2026,Q1,d3,ROR,Water,ROR,t6,429.87
Kenya,2026,Q1,d3,ROR,Water,ROR,t7,428.2698716393321
Kenya,2026,Q1,d3,ROR,Water,ROR,t8,409.3776715826021
Kenya,2026,Q1,d3,ROR,Water,ROR,t9,403.7007715413371
Kenya,2026,Q1,d3,ROR,Water,ROR,t10,399.9292018953371
Kenya,2026,Q1,d3,ROR,Water,ROR,t11,399.2519919884621
Kenya,2026,Q1,d3,ROR,Water,ROR,t12,399.6519581951021
Kenya,2026,Q1,d3,ROR,Water,ROR,t13,400.9070046353321
Kenya,2026,Q1,d3,ROR,Water,ROR,t14,403.8457453355021
Kenya,2026,Q1,d3,ROR,Water,ROR,t15,409.2195014004821
Kenya,2026,Q1,d3,ROR,Water,ROR,t16,414.2700186836321
Kenya,2026,Q1,d3,ROR,Water,ROR,t17,419.1083979299321
Kenya,2026,Q1,d3,ROR,Water,ROR,t18,424.87926756066713
Kenya,2026,Q1,d3,ROR,Water,ROR,t19,428.1221519954771
Kenya,2026,Q1,d3,ROR,Water,ROR,t20,429.87
Kenya,2026,Q1,d3,ROR,Water,ROR,t21,429.87
Kenya,2026,Q1,d3,ROR,Water,ROR,t22,429.87
Kenya,2026,Q1,d3,ROR,Water,ROR,t23,429.87
Kenya,2026,Q1,d3,ROR,Water,ROR,t24,429.87
Kenya,2026,Q1,d3,Geothermal,Geothermal,Geothermal,t1,1456.4890860262287
Kenya,2026,Q1,d3,Geothermal,Geothermal,Geothermal,t2,1160.1587096497929
Kenya,2026,Q1,d3,Geothermal,Geothermal,Geothermal,t3,1715.4237269477412
Kenya,2026,Q1,d3,Geothermal,Geothermal,Geothermal,t4,1721.840040600354
Kenya,2026,Q1,d3,Geothermal,Geothermal,Geothermal,t5,1688.3607364175418
Kenya,2026,Q1,d3,Geothermal,Geothermal,Geothermal,t6,1617.7133881250404
Kenya,2026,Q1,d3,Geothermal,Geothermal,Geothermal,t7,1703.040040600354
Kenya,2026,Q1,d3,Geothermal,Geothermal,Geothermal,t8,1675.490040600354
Kenya,2026,Q1,d3,Geothermal,Geothermal,Geothermal,t9,1662.5976731535966
Kenya,2026,Q1,d3,Geothermal,Geothermal,Geothermal,t10,1703.040040600354
Kenya,2026,Q1,d3,Geothermal,Geothermal,Geothermal,t11,1703.040040600354
Kenya,2026,Q1,d3,Geothermal,Geothermal,Geothermal,t12,1703.040040600354
Kenya,2026,Q1,d3,Geothermal,Geothermal,Geothermal,t13,1677.6999999999998
Kenya,2026,Q1,d3,Geothermal,Geothermal,Geothermal,t14,1703.040040600354
Kenya,2026,Q1,d3,Geothermal,Geothermal,Geothermal,t15,1703.040040600354
Kenya,2026,Q1,d3,Geothermal,Geothermal,Geothermal,t16,1703.040040600354
Kenya,2026,Q1,d3,Geothermal,Geothermal,Geothermal,t17,1703.040040600354
Kenya,2026,Q1,d3,Geothermal,Geothermal,Geothermal,t18,1703.040040600354
Kenya,2026,Q1,d3,Geothermal,Geothermal,Geothermal,t19,1703.040040600354
Kenya,2026,Q1,d3,Geothermal,Geothermal,Geothermal,t20,1608.040040600354
Kenya,2026,Q1,d3,Geothermal,Geothermal,Geothermal,t21,1634.6502836368716
Kenya,2026,Q1,d3,Geothermal,Geothermal,Geothermal,t22,1662.748758101981
Kenya,2026,Q1,d3,Geothermal,Geothermal,Geothermal,t23,1707.4560106334209
Kenya,2026,Q1,d3,Geothermal,Geothermal,Geothermal,t24,1694.0237269477411
Kenya,2026,Q1,d3,RPV,Solar,Solar,t1,98.0
Kenya,2026,Q1,d3,RPV,Solar,Solar,t2,98.0
Kenya,2026,Q1,d3,RPV,Solar,Solar,t3,98.0
Kenya,2026,Q1,d3,RPV,Solar,Solar,t4,98.0
Kenya,2026,Q1,d3,RPV,Solar,Solar,t5,98.0
Kenya,2026,Q1,d3,RPV,Solar,Solar,t6,98.0
Kenya,2026,Q1,d3,RPV,Solar,Solar,t7,98.0
Kenya,2026,Q1,d3,RPV,Solar,Solar,t8,98.0
Kenya,2026,Q1,d3,RPV,Solar,Solar,t9,98.0
Kenya,2026,Q1,d3,RPV,Solar,Solar,t10,98.0
Kenya,2026,Q1,d3,RPV,Solar,Solar,t11,98.0
Kenya,2026,Q1,d3,RPV,Solar,Solar,t12,98.0
Kenya,2026,Q1,d3,RPV,Solar,Solar,t13,98.0
Kenya,2026,Q1,d3,RPV,Solar,Solar,t14,98.0
Kenya,2026,Q1,d3,RPV,Solar,Solar,t15,98.0
Kenya,2026,Q1,d3,RPV,Solar,Solar,t16,98.0
Kenya,2026,Q1,d3,RPV,Solar,Solar,t17,98.0
Kenya,2026,Q1,d3,RPV,Solar,Solar,t18,98.0
Kenya,2026,Q1,d3,RPV,Solar,Solar,t19,98.0
Kenya,2026,Q1,d3,RPV,Solar,Solar,t20,98.0
Kenya,2026,Q1,d3,RPV,Solar,Solar,t21,98.0
Kenya,2026,Q1,d3,RPV,Solar,Solar,t22,98.0
Kenya,2026,Q1,d3,RPV,Solar,Solar,t23,98.0
Kenya,2026,Q1,d3,RPV,Solar,Solar,t24,98.0
Kenya,2026,Q1,d4,OnshoreWind,Wind,Onshore Wind,t1,81.04580000000001
Kenya,2026,Q1,d4,OnshoreWind,Wind,Onshore Wind,t2,63.3556
Kenya,2026,Q1,d4,OnshoreWind,Wind,Onshore Wind,t3,57.596
Kenya,2026,Q1,d4,OnshoreWind,Wind,Onshore Wind,t4,57.596
Kenya,2026,Q1,d4,OnshoreWind,Wind,Onshore Wind,t5,69.1152
Kenya,2026,Q1,d4,OnshoreWind,Wind,Onshore Wind,t6,87.56195143519999
Kenya,2026,Q1,d4,OnshoreWind,Wind,Onshore Wind,t7,111.4894
Kenya,2026,Q1,d4,OnshoreWind,Wind,Onshore Wind,t8,398.180580479
Kenya,2026,Q1,d4,OnshoreWind,Wind,Onshore Wind,t9,411.4
Kenya,2026,Q1,d4,OnshoreWind,Wind,Onshore Wind,t10,409.7544
Kenya,2026,Q1,d4,OnshoreWind,Wind,Onshore Wind,t11,395.7668
Kenya,2026,Q1,d4,OnshoreWind,Wind,Onshore Wind,t12,357.918
Kenya,2026,Q1,d4,OnshoreWind,Wind,Onshore Wind,t13,236.7853679554
Kenya,2026,Q1,d4,OnshoreWind,Wind,Onshore Wind,t14,111.58805783400004
Kenya,2026,Q1,d4,OnshoreWind,Wind,Onshore Wind,t15,63.3556
Kenya,2026,Q1,d4,OnshoreWind,Wind,Onshore Wind,t16,47.7224
Kenya,2026,Q1,d4,OnshoreWind,Wind,Onshore Wind,t17,52.65919999999999
Kenya,2026,Q1,d4,OnshoreWind,Wind,Onshore Wind,t18,87.62819999999999
Kenya,2026,Q1,d4,OnshoreWind,Wind,Onshore Wind,t19,202.8202
Kenya,2026,Q1,d4,OnshoreWind,Wind,Onshore Wind,t20,298.6764
Kenya,2026,Q1,d4,OnshoreWind,Wind,Onshore Wind,t21,261.3523769032
Kenya,2026,Q1,d4,OnshoreWind,Wind,Onshore Wind,t22,187.3486407056
Kenya,2026,Q1,d4,OnshoreWind,Wind,Onshore Wind,t23,146.11016882439998
Kenya,2026,Q1,d4,OnshoreWind,Wind,Onshore Wind,t24,146.11016882439998
Kenya,2026,Q1,d4,PV,Solar,PV,t6,1.0878874685
Kenya,2026,Q1,d4,PV,Solar,PV,t7,16.590282991499997
Kenya,2026,Q1,d4,PV,Solar,PV,t8,45.079334384
