z,y,tech,f,value,techfuel
Libya,2026,ST,Waste,0.0,Waste
Libya,2026,Methane,Methane,0.0,Methane
Libya,2026,CSPPlant,Solar,0.0,Solar
Libya,2026,RPV,Solar,0.0,Solar
Rwanda,2026,Nuclear,Uranium,0.0,Nuclear
Rwanda,2026,CCGT,Gas,0.0,Gas
Rwanda,2026,CCGT,LNG,0.0,Gas
Rwanda,2026,ICE,Gas,0.0,Gas
Rwanda,2026,OCGT,Gas,0.0,Gas
Rwanda,2026,OCGT,LNG,0.0,Gas
Rwanda,2026,ST,Gas,0.0,Gas
Rwanda,2026,CCGT_CCS,Gas,0.0,Gas
Rwanda,2026,OCGT_CCS,Gas,0.0,Gas
Rwanda,2026,ST,Coal,0.0,Coal
Rwanda,2026,ST,DomesticCoal,0.0,Coal
Rwanda,2026,ST,ImportedCoal,0.0,Coal
Rwanda,2026,ST,Lignite,0.0,Coal
Rwanda,2026,ST,Geothermal,0.0,Geothermal
Rwanda,2026,Geothermal,Geothermal,0.0,Geothermal
Rwanda,2026,CCGT,LFO,0.0,Diesel
Rwanda,2026,ICE,Diesel,0.0,Diesel
Rwanda,2026,ICE,HFO,0.0,Diesel
Rwanda,2026,OCGT,LFO,0.0,Diesel
Rwanda,2026,OCGT,Diesel,0.0,Diesel
Rwanda,2026,OCGT,HFO,0.0,Diesel
Rwanda,2026,ST,HFO,0.0,Diesel
Rwanda,2026,BiomassPlant,Biomass,0.0,Biomass
Rwanda,2026,ST,Biomass,0.0,Biomass
Rwanda,2026,ReservoirHydro,Water,0.0,Reservoir
Rwanda,2026,ROR,Water,0.0,ROR
Rwanda,2026,CSPPlant,CSP,0.0,CSP
Rwanda,2026,OffshoreWind,Wind,0.0,Offshore Wind
Rwanda,2026,OnshoreWind,Wind,0.0,Onshore Wind
Rwanda,2026,PV,Solar,50.0,PV
Rwanda,2026,pvwsto,Solar,0.0,PV+Storage
Rwanda,2026,STOPV,Solar,0.0,Solar Thermal
Rwanda,2026,Storage,Battery,0.0,Battery
Rwanda,2026,Storage,Water,0.0,PSH
Rwanda,2026,Storage,Pumped,0.0,PSH
Rwanda,2026,ImportTransmission,Import,0.0,Imports
Rwanda,2026,ST,Peat,0.0,Peat
Rwanda,2026,ST,Waste,0.0,Waste
Rwanda,2026,Methane,Methane,100.0,Methane
Rwanda,2026,CSPPlant,Solar,0.0,Solar
Rwanda,2026,RPV,Solar,0.0,Solar
Sudan,2026,Nuclear,Uranium,0.0,Nuclear
Sudan,2026,CCGT,Gas,0.0,Gas
Sudan,2026,CCGT,LNG,0.0,Gas
Sudan,2026,ICE,Gas,0.0,Gas
Sudan,2026,OCGT,Gas,37.0,Gas
Sudan,2026,OCGT,LNG,0.0,Gas
Sudan,2026,ST,Gas,0.0,Gas
Sudan,2026,CCGT_CCS,Gas,0.0,Gas
Sudan,2026,OCGT_CCS,Gas,0.0,Gas
Sudan,2026,ST,Coal,20.0,Coal
Sudan,2026,ST,DomesticCoal,0.0,Coal
Sudan,2026,ST,ImportedCoal,0.0,Coal
Sudan,2026,ST,Lignite,0.0,Coal
Sudan,2026,ST,Geothermal,0.0,Geothermal
Sudan,2026,Geothermal,Geothermal,0.0,Geothermal
Sudan,2026,CCGT,LFO,0.0,Diesel
Sudan,2026,ICE,Diesel,0.0,Diesel
Sudan,2026,ICE,HFO,0.0,Diesel
Sudan,2026,OCGT,LFO,0.0,Diesel
Sudan,2026,OCGT,Diesel,0.0,Diesel
Sudan,2026,OCGT,HFO,0.0,Diesel
Sudan,2026,ST,HFO,0.0,Diesel
Sudan,2026,BiomassPlant,Biomass,0.0,Biomass
Sudan,2026,ST,Biomass,0.0,Biomass
Sudan,2026,ReservoirHydro,Water,434.0,Reservoir
Sudan,2026,ROR,Water,0.0,ROR
Sudan,2026,CSPPlant,CSP,0.0,CSP
Sudan,2026,OffshoreWind,Wind,0.0,Offshore Wind
Sudan,2026,OnshoreWind,Wind,0.0,Onshore Wind
Sudan,2026,PV,Solar,0.0,PV
Sudan,2026,pvwsto,Solar,0.0,PV+Storage
Sudan,2026,STOPV,Solar,0.0,Solar Thermal
Sudan,2026,Storage,Battery,0.0,Battery
Sudan,2026,Storage,Water,0.0,PSH
Sudan,2026,Storage,Pumped,0.0,PSH
Sudan,2026,ImportTransmission,Import,0.0,Imports
Sudan,2026,ST,Peat,0.0,Peat
Sudan,2026,ST,Waste,0.0,Waste
Sudan,2026,Methane,Methane,0.0,Methane
Sudan,2026,CSPPlant,Solar,0.0,Solar
Sudan,2026,RPV,Solar,0.0,Solar
Tanzania,2026,Nuclear,Uranium,0.0,Nuclear
Tanzania,2026,CCGT,Gas,0.0,Gas
Tanzania,2026,CCGT,LNG,0.0,Gas
Tanzania,2026,ICE,Gas,0.0,Gas
Tanzania,2026,OCGT,Gas,0.0,Gas
Tanzania,2026,OCGT,LNG,0.0,Gas
Tanzania,2026,ST,Gas,0.0,Gas
Tanzania,2026,CCGT_CCS,Gas,0.0,Gas
Tanzania,2026,OCGT_CCS,Gas,0.0,Gas
Tanzania,2026,ST,Coal,0.0,Coal
Tanzania,2026,ST,DomesticCoal,0.0,Coal
Tanzania,2026,ST,ImportedCoal,0.0,Coal
Tanzania,2026,ST,Lignite,0.0,Coal
Tanzania,2026,ST,Geothermal,0.0,Geothermal
Tanzania,2026,Geothermal,Geothermal,0.0,Geothermal
Tanzania,2026,CCGT,LFO,0.0,Diesel
Tanzania,2026,ICE,Diesel,0.0,Diesel
Tanzania,2026,ICE,HFO,0.0,Diesel
Tanzania,2026,OCGT,LFO,0.0,Diesel
Tanzania,2026,OCGT,Diesel,0.0,Diesel
Tanzania,2026,OCGT,HFO,0.0,Diesel
Tanzania,2026,ST,HFO,0.0,Diesel
Tanzania,2026,BiomassPlant,Biomass,0.0,Biomass
Tanzania,2026,ST,Biomass,0.0,Biomass
Tanzania,2026,ReservoirHydro,Water,670.2155585815477,Reservoir
Tanzania,2026,ROR,Water,0.0,ROR
Tanzania,2026,CSPPlant,CSP,0.0,CSP
Tanzania,2026,OffshoreWind,Wind,0.0,Offshore Wind
Tanzania,2026,OnshoreWind,Wind,358.45242865662755,Onshore Wind
Tanzania,2026,PV,Solar,98.0,PV
Tanzania,2026,pvwsto,Solar,0.0,PV+Storage
Tanzania,2026,STOPV,Solar,0.0,Solar Thermal
Tanzania,2026,Storage,Battery,0.0,Battery
Tanzania,2026,Storage,Water,0.0,PSH
Tanzania,2026,Storage,Pumped,0.0,PSH
Tanzania,2026,ImportTransmission,Import,0.0,Imports
Tanzania,2026,ST,Peat,0.0,Peat
