year,month,Souapiti,Kaléta,Garafiri,G chutes,Donkéa,Kinkon
2018,1,,32029.20,25076.50,8001.10,4222.50,375.64
2018,2,,19895.40,16866.00,8273.40,6117.92,107.02
2018,3,,22541.40,21770.40,10202.90,5834.64,
2018,4,,26245.80,24513.50,11796.10,7858.06,
2018,5,,31311.00,26923.00,4733.90,3346.62,
2018,6,,33686.10,16734.70,9265.60,6026.04,354.04
2018,7,,79109.10,10646.80,13145.00,6590.07,2123.03
2018,8,,130737.60,5039.00,13169.00,8503.94,2325.60
2018,9,,132558.30,2072.00,12180.00,7850.74,1962.85
2018,10,,116197.20,25745.00,11820.00,5267.21,1958.49
2018,11,,74692.80,28143.00,9764.00,5423.90,1888.08
2018,12,,40653.90,25779.00,8306.10,6159.10,1080.65
2019,1,,27840.00,21756.00,7315.00,5565.00,473.00
2019,2,,21137.00,19863.00,6201.00,5244.00,83.00
2019,3,,20910.00,20422.00,6868.00,5319.00,10.00
2019,4,,20910.00,19563.00,7372.00,4996.00,3.00
2019,5,,28394.00,25767.00,8135.00,4812.00,
2019,6,,35223.00,22749.00,9997.00,5680.00,74.00
2019,7,,103226.00,10972.00,8681.00,4339.00,1096.00
2019,8,,142178.00,6859.00,11746.00,4027.00,2009.00
2019,9,,143968.00,8361.00,12415.00,6384.00,2098.00
2019,10,,151320.00,20595.00,10616.00,5650.00,2104.00
2019,11,,107113.00,24726.00,10138.00,5185.00,1987.00
2019,12,,73093.00,12194.00,10625.00,5403.00,793.00
2020,1,,51011.00,13698.00,8190.00,4401.00,304.00
2020,2,,33787.00,21194.00,6450.00,2611.00,134.00
2020,3,,22932.00,16143.00,6559.00,3868.00,38.00
2020,4,,22938.00,23069.00,7737.00,1922.00,
2020,5,,32666.00,24920.00,10243.00,3704.00,92.00
2020,6,,33289.00,27385.00,10648.00,3659.00,249.00
2020,7,,86386.00,21091.00,11355.00,4184.00,1865.00
2020,8,,133100.00,30186.00,8503.00,3897.00,2055.00
2020,9,,131248.00,43808.00,9386.00,3912.00,1942.00
2020,10,,135179.00,36946.00,7806.00,3860.00,2002.00
2020,11,47358.00,115674.00,14766.00,7489.00,3023.00,2010.00
2020,12,113293.00,68834.00,23721.00,5488.00,2930.00,1457.00
2021,1,117435.00,65073.00,25000.00,6295.00,630.00,483.00
2021,2,119127.00,67549.00,16607.00,6346.00,967.00,167.00
2021,3,125024.00,73376.00,22235.00,8897.00,2889.00,16.00
2021,4,113381.00,69527.00,22833.00,4376.00,910.00,
2021,5,119930.00,77301.00,22164.00,5975.00,,
2021,6,111756.00,77339.00,23057.00,4708.00,,29.00
2021,7,107106.00,77333.00,18693.00,5303.00,,330.00
2021,8,107361.00,87318.00,13348.00,5118.00,,1693.00
2021,9,109781.00,79147.00,22072.00,3883.00,,1775.00
2021,10,120554.00,74315.00,24559.00,2949.00,,1716.00
2021,11,94746.00,96006.00,31513.00,3337.00,1058.00,1907.00
2021,12,124315.00,75556.00,22350.00,4328.00,3965.00,663.00
2022,1,132149.00,67977.00,22922.00,4170.00,4095.00,218.00
2022,2,122359.00,63529.00,23911.00,3758.00,3118.00,160.00
2022,3,133065.00,68840.00,30263.00,4336.00,,38.00
2022,4,160867.00,85472.00,21633.00,4272.00,,
2022,5,138622.00,76293.00,26216.00,2151.00,998.00,
2022,6,143687.00,82568.00,20603.00,3103.00,3856.00,30.00
2022,7,123597.00,79613.00,13763.00,640.00,4057.00,82.00
2022,8,124211.00,88610.00,17451.00,248.00,263.00,80.00
2022,9,128104.00,97751.00,15629.00,2267.00,,350.00
2022,10,133689.00,92610.00,15115.00,2523.00,,757.00
2022,11,148847.00,89372.00,15469.00,2670.00,,915.00
2022,12,166226.00,86014.00,22948.00,,,1409.00
2023,1,156416.00,81547.00,33289.00,,,582.00
2023,2,145974.00,76929.00,33175.00,,,7.00
2023,3,157002.00,84370.00,27192.00,,,16.00
2023,4,167416.00,92654.00,17022.00,,,
2023,5,169240.00,97581.00,18485.00,,,20.00
2023,6,154413.00,95262.00,21459.00,,,762.00
2023,7,158363.00,104706.00,9885.00,,,933.00
2023,8,154819.00,110244.00,7284.00,,,1263.00
2023,9,167879.00,105859.00,3547.00,,,1287.00
2023,10,177452.00,104807.00,2732.00,,,1458.00
2023,11,186316.00,100806.00,9028.00,,,1618.00
2023,12,172274.00,95237.00,19668.00,,,819.00
2024,1,140682.00,79638.00,27041.00,,,229.00
2024,2,105585.00,61179.00,30474.00,,,56.00
2024,3,108959.00,65180.00,28154.00,,,40.00
2024,4,100756.00,62956.00,16939.00,,,4.00
2024,5,91098.00,58930.00,15717.00,,,14.00
2024,6,82725.00,56076.00,14938.00,,,121.00
2024,7,77717.00,60946.00,7070.00,,,1088.00
2024,8,86647.00,72878.00,11500.00,,,1673.00
2024,9,136439.00,114370.00,40209.00,,,1666.00
2024,10,179767.00,173672.00,47201.00,,,1233.00
2024,11,186600.00,110565.00,27017.00,,,1542.00
