gen,zone,tech,fuel,StYr,RetrYr,Capacity,UnitSize,Status,DescreteCap,fuel2,HeatRate2,BuildLimitperYear,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,Capex,FOMperMW,VOM,ReserveCost,Life
BESS2035_4h_Kos,Kosovo,Storage,Battery,2035,2055,5000,,3,,,,5000,,,1,1,0,,0.51,13000,,0,20
BESS2035_4h_Ser,Serbia,Storage,Battery,2035,2055,5000,,3,,,,5000,,,1,1,0,,0.51,13000,,0,20
BESS2035_4h_Mon,Montenegro,Storage,Battery,2035,2055,5000,,3,,,,5000,,,1,1,0,,0.51,13000,,0,20
BESS2040_4h_BiH,BiH,Storage,Battery,2040,2060,5000,,3,,,,5000,,,1,1,0,,0.45,11000,,0,20
BESS2040_4h_Alb,Albania,Storage,Battery,2040,2060,5000,,3,,,,5000,,,1,1,0,,0.45,11000,,0,20
BESS2040_4h_N_Mac,N_Macedonia,Storage,Battery,2040,2060,5000,,3,,,,5000,,,1,1,0,,0.45,11000,,0,20
BESS2040_4h_Kos,Kosovo,Storage,Battery,2040,2060,5000,,3,,,,5000,,,1,1,0,,0.45,11000,,0,20
BESS2040_4h_Ser,Serbia,Storage,Battery,2040,2060,5000,,3,,,,5000,,,1,1,0,,0.45,11000,,0,20
BESS2040_4h_Mon,Montenegro,Storage,Battery,2040,2060,5000,,3,,,,5000,,,1,1,0,,0.45,11000,,0,20
BESS2045_4h_BiH,BiH,Storage,Battery,2045,2065,5000,,3,,,,5000,,,1,1,0,,0.4,10000,,0,20
BESS2045_4h_Alb,Albania,Storage,Battery,2045,2065,5000,,3,,,,5000,,,1,1,0,,0.4,10000,,0,20
BESS2045_4h_N_Mac,N_Macedonia,Storage,Battery,2045,2065,5000,,3,,,,5000,,,1,1,0,,0.4,10000,,0,20
BESS2045_4h_Kos,Kosovo,Storage,Battery,2045,2065,5000,,3,,,,5000,,,1,1,0,,0.4,10000,,0,20
BESS2045_4h_Ser,Serbia,Storage,Battery,2045,2065,5000,,3,,,,5000,,,1,1,0,,0.4,10000,,0,20
BESS2045_4h_Mon,Montenegro,Storage,Battery,2045,2065,5000,,3,,,,5000,,,1,1,0,,0.4,10000,,0,20
BESS2050_4h_BiH,BiH,Storage,Battery,2050,2070,5000,,3,,,,5000,,,1,1,0,,0.35,9000,,0,20
BESS2050_4h_Alb,Albania,Storage,Battery,2050,2070,5000,,3,,,,5000,,,1,1,0,,0.35,9000,,0,20
BESS2050_4h_N_Mac,N_Macedonia,Storage,Battery,2050,2070,5000,,3,,,,5000,,,1,1,0,,0.35,9000,,0,20
BESS2050_4h_Kos,Kosovo,Storage,Battery,2050,2070,5000,,3,,,,5000,,,1,1,0,,0.35,9000,,0,20
BESS2050_4h_Ser,Serbia,Storage,Battery,2050,2070,5000,,3,,,,5000,,,1,1,0,,0.35,9000,,0,20
BESS2050_4h_Mon,Montenegro,Storage,Battery,2050,2070,5000,,3,,,,5000,,,1,1,0,,0.35,9000,,0,20
BESS2025_8h_BiH,BiH,Storage,Battery,2025,2045,5000,,3,,,,5000,,,1,1,0,,1.9,38000,,0,20
BESS2025_8h_Alb,Albania,Storage,Battery,2025,2045,5000,,3,,,,5000,,,1,1,0,,1.9,38000,,0,20
BESS2025_8h_N_Mac,N_Macedonia,Storage,Battery,2025,2045,5000,,3,,,,5000,,,1,1,0,,1.9,38000,,0,20
BESS2025_8h_Kos,Kosovo,Storage,Battery,2025,2045,5000,,3,,,,5000,,,1,1,0,,1.9,38000,,0,20
BESS2025_8h_Ser,Serbia,Storage,Battery,2025,2045,5000,,3,,,,5000,,,1,1,0,,1.9,38000,,0,20
BESS2025_8h_Mon,Montenegro,Storage,Battery,2025,2045,5000,,3,,,,5000,,,1,1,0,,1.9,38000,,0,20
BESS2030_8h_BiH,BiH,Storage,Battery,2030,2050,5000,,3,,,,5000,,,1,1,0,,1,26000,,0,20
BESS2030_8h_Alb,Albania,Storage,Battery,2030,2050,5000,,3,,,,5000,,,1,1,0,,1,26000,,0,20
BESS2030_8h_N_Mac,N_Macedonia,Storage,Battery,2030,2050,5000,,3,,,,5000,,,1,1,0,,1,26000,,0,20
BESS2030_8h_Kos,Kosovo,Storage,Battery,2030,2050,5000,,3,,,,5000,,,1,1,0,,1,26000,,0,20
BESS2030_8h_Ser,Serbia,Storage,Battery,2030,2050,5000,,3,,,,5000,,,1,1,0,,1,26000,,0,20
BESS2030_8h_Mon,Montenegro,Storage,Battery,2030,2050,5000,,3,,,,5000,,,1,1,0,,1,26000,,0,20
BESS2035_8h_BiH,BiH,Storage,Battery,2035,2055,5000,,3,,,,5000,,,1,1,0,,0.93,23000,,0,20
BESS2035_8h_Alb,Albania,Storage,Battery,2035,2055,5000,,3,,,,5000,,,1,1,0,,0.93,23000,,0,20
BESS2035_8h_N_Mac,N_Macedonia,Storage,Battery,2035,2055,5000,,3,,,,5000,,,1,1,0,,0.93,23000,,0,20
BESS2035_8h_Kos,Kosovo,Storage,Battery,2035,2055,5000,,3,,,,5000,,,1,1,0,,0.93,23000,,0,20
BESS2035_8h_Ser,Serbia,Storage,Battery,2035,2055,5000,,3,,,,5000,,,1,1,0,,0.93,23000,,0,20
BESS2035_8h_Mon,Montenegro,Storage,Battery,2035,2055,5000,,3,,,,5000,,,1,1,0,,0.93,23000,,0,20
BESS2040_8h_BiH,BiH,Storage,Battery,2040,2060,5000,,3,,,,5000,,,1,1,0,,0.82,21000,,0,20
BESS2040_8h_Alb,Albania,Storage,Battery,2040,2060,5000,,3,,,,5000,,,1,1,0,,0.82,21000,,0,20
BESS2040_8h_N_Mac,N_Macedonia,Storage,Battery,2040,2060,5000,,3,,,,5000,,,1,1,0,,0.82,21000,,0,20
BESS2040_8h_Kos,Kosovo,Storage,Battery,2040,2060,5000,,3,,,,5000,,,1,1,0,,0.82,21000,,0,20
BESS2040_8h_Ser,Serbia,Storage,Battery,2040,2060,5000,,3,,,,5000,,,1,1,0,,0.82,21000,,0,20
BESS2040_8h_Mon,Montenegro,Storage,Battery,2040,2060,5000,,3,,,,5000,,,1,1,0,,0.82,21000,,0,20
BESS2045_8h_BiH,BiH,Storage,Battery,2045,2065,5000,,3,,,,5000,,,1,1,0,,0.72,18000,,0,20
BESS2045_8h_Alb,Albania,Storage,Battery,2045,2065,5000,,3,,,,5000,,,1,1,0,,0.72,18000,,0,20
BESS2045_8h_N_Mac,N_Macedonia,Storage,Battery,2045,2065,5000,,3,,,,5000,,,1,1,0,,0.72,18000,,0,20
BESS2045_8h_Kos,Kosovo,Storage,Battery,2045,2065,5000,,3,,,,5000,,,1,1,0,,0.72,18000,,0,20
BESS2045_8h_Ser,Serbia,Storage,Battery,2045,2065,5000,,3,,,,5000,,,1,1,0,,0.72,18000,,0,20
BESS2045_8h_Mon,Montenegro,Storage,Battery,2045,2065,5000,,3,,,,5000,,,1,1,0,,0.72,18000,,0,20
BESS2050_8h_BiH,BiH,Storage,Battery,2050,2070,5000,,3,,,,5000,,,1,1,0,,0.63,16000,,0,20
BESS2050_8h_Alb,Albania,Storage,Battery,2050,2070,5000,,3,,,,5000,,,1,1,0,,0.63,16000,,0,20
BESS2050_8h_N_Mac,N_Macedonia,Storage,Battery,2050,2070,5000,,3,,,,5000,,,1,1,0,,0.63,16000,,0,20
BESS2050_8h_Kos,Kosovo,Storage,Battery,2050,2070,5000,,3,,,,5000,,,1,1,0,,0.63,16000,,0,20
BESS2050_8h_Ser,Serbia,Storage,Battery,2050,2070,5000,,3,,,,5000,,,1,1,0,,0.63,16000,,0,20
BESS2050_8h_Mon,Montenegro,Storage,Battery,2050,2070,5000,,3,,,,5000,,,1,1,0,,0.63,16000,,0,20
TPP_Vlora,Albania,ICE,Diesel,2011,2051,0,,1,,,,,,,1,1,0,,0,10000,3,,
RoR_Ex_Alb,Albania,ROR,Water,2020,2051,512,,1,,,,,,,1,1,0,,0,15000,,,
RoR_Com_Alb,Albania,ROR,Water,2025,2051,100,,2,,,,100,,,1,1,0,,2.65,60000,,0,30
RoR_New_Alb,Albania,ROR,Water,2026,2051,500,,3,,,,500,,,1,1,0,,2.65,60000,,0,30
HySto_Ex_Alb,Albania,ReservoirHydro,Pumped,2020,2051,1656,,1,,,,1465,,,1,1,0,,0,15000,,0,
HySto_Com_Alb,Albania,ReservoirHydro,Pumped,2026,2051,115,,2,,,,115,,,1,1,0,,2.65,60000,,0,30
HySto_New_Alb,Albania,ReservoirHydro,Pumped,2026,2051,1500,,3,,,,1500,,,1,1,0,,2.65,60000,,0,30
Wind_Ex_Alb,Albania,OnshoreWind,Wind,2018,2044,0,,1,,,,135,,,,,,,0,28180,,0,
Wind_Com_Alb,Albania,OnshoreWind,Wind,2025,2060,223,,2,,,,5000,,,,,,,1.26,38000,,0,30
Wind_New_Alb,Albania,OnshoreWind,Wind,2026,2060,1100,,3,,,,10000,,,,,,,1.26,38000,,0,30
PV_Ex_Alb,Albania,PV,Solar,2020,2044,23,,1,,,,5000,,,,,,,0,10000,,0,
PV_Com_Alb,Albania,PV,Solar,2025,2060,115,,2,,,,5000,,,,,,,0.9,10000,,0,25
PV_New_Alb,Albania,PV,Solar,2026,2060,9200,,3,,,,10000,,,,,,,0.9,10000,,0,25
Coal_SubNew_Alb,Albania,ST,Coal,2026,2051,5000,,3,,,,2000,,8.75,1,1,0,,1.7,45000,3,0,40
Coal_SuperNew_Alb,Albania,ST,Coal,2026,2051,5000,,3,,,,2000,,7.94,1,1,0,,2,60000,3,0,40
Coal_UltraNew_Alb,Albania,ST,Coal,2028,2061,5000,,3,,,,2000,,7.58,1,1,0,,2.2,65000,3,0,40
CoalCCS_New_Alb,Albania,ST,Coal,2045,2080,10000,,3,,,,4000,,9.48,1,1,0,,5.08,100000,43.8,0,40
Biomass_New_Alb,Albania,BiomassPlant,Biomass,2026,2060,100,,3,,,,10000,,9.75,1,1,0,,2.4,77500,3.5,0,40
BECCS_New_Alb,Albania,BiomassPlant,Coal,2045,2080,10000,,3,,,,10000,,11.37,1,1,0,,5.4,135000,30,0,40
CCGT_New_Alb,Albania,CCGT,Gas,2026,2060,10000,,3,,,,10000,,5.78,1,1,0,,1,25000,3.5,0,40
OCGT_New_Alb,Albania,OCGT,Gas,2026,2060,10000,,3,,,,10000,,8.53,1,1,0,,0.5,20000,3.5,0,40
CCGTCCS_New_Alb,Albania,CCGT,Gas,2045,2080,10000,,3,,,,10000,,6.7,1,1,0,,3.08,80000,21.8,0,40
CCGTH2_New_Alb,Albania,CCGT,Gas,2026,2060,10000,,3,,,,10000,,5.78,1,1,0,,1,47500,3.5,0,40
TPP_Kolubara,Serbia,ST,Coal,1956,2024,225,,1,,,,,,12.6,0.6,0.6,0,,0,34800,6,0,
TPP_KostolacA,Serbia,ST,Coal,1967,2038,310,,1,,,,,,12.6,0.6,0.6,0,,0,34800,6,0,
TPP_KostolacB,Serbia,ST,Coal,1987,2038,700,,1,,,,,,11,0.6,0.6,0,,0,34800,6,0,
TPP_Morava,Serbia,ST,Coal,1969,2024,100,,1,,,,,,12.6,0.6,0.6,0,,0,34800,6,0,
TPP_TeslaA,Serbia,ST,Coal,1970,2051,1560,,1,,,,,,12.6,0.6,0.6,0,,0,34800,6,0,
TPP_TeslaB,Serbia,ST,Coal,1983,2051,1220,,1,,,,,,11,0.6,0.6,0,,0,34800,6,0,
TPP_KostolacB3,Serbia,ST,Coal,2025,2049,350,,2,,,,2000,,7.94,1,1,0,,2,60000,3,0,40
CHP_Ser,Serbia,CHP,Gas,1990,2051,330,,1,,,,,,8,0.7,0.7,,,0,34800,4,,
Coal_SubNew_Ser,Serbia,ST,Coal,2026,2051,5000,,3,,,,2000,,8.75,1,1,0,,1.7,45000,3,0,40
Coal_SuperNew_Ser,Serbia,ST,Coal,2026,2051,5000,,3,,,,2000,,7.94,1,1,0,,2,60000,3,0,40
Coal_UltraNew_Ser,Serbia,ST,Coal,2028,2061,5000,,3,,,,2000,,7.58,1,1,0,,2.2,65000,3,0,40
CoalCCS_New_Ser,Serbia,ST,Coal,2045,2080,10000,,3,,,,4000,,9.48,1,1,0,,5.08,100000,43.8,0,40
Biomass_New_Ser,Serbia,BiomassPlant,Biomass,2026,2060,500,,3,,,,10000,,9.75,1,1,0,,2.4,77500,3.5,0,40
BECCS_New_Ser,Serbia,BiomassPlant,Coal,2045,2080,10000,,3,,,,10000,,11.37,1,1,0,,5.4,135000,30,0,40
CCGT_New_Ser,Serbia,CCGT,Gas,2026,2060,10000,,3,,,,10000,,5.78,1,1,0,,1,25000,3.5,0,40
OCGT_New_Ser,Serbia,OCGT,Gas,2026,2060,10000,,3,,,,10000,,8.53,1,1,0,,0.5,20000,3.5,0,40
CCGTCCS_New_Ser,Serbia,CCGT,Gas,2045,2080,10000,,3,,,,10000,,6.7,1,1,0,,3.08,80000,21.8,0,40
CCGTH2_New_Ser,Serbia,CCGT,Gas,2026,2060,10000,,3,,,,10000,,5.78,1,1,0,,1,47500,3.5,0,40
RoR_Ex_Ser,Serbia,ROR,Water,1960,2051,1980,,1,,,,261,,,1,1,0,,0,15000,,0,
RoR_Com_Ser,Serbia,ROR,Water,2025,2051,0,,2,,,,0,,,1,1,0,,2.65,60000,,0,30
RoR_New_Ser,Serbia,ROR,Water,2026,2051,1700,,3,,,,1700,,,1,1,0,,2.65,60000,,0,30
HySto_Ex_Ser,Serbia,ReservoirHydro,Pumped,1955,2051,347,,1,,,,1465,,,1,1,0,,0,15000,,0,
HySto_Com_Ser,Serbia,ReservoirHydro,Pumped,2025,2051,0,,2,,,,0,,,1,1,0,,2.65,60000,,0,30
HySto_New_Ser,Serbia,ReservoirHydro,Pumped,2026,2051,2000,,3,,,,2000,,,1,1,0,,2.65,60000,,0,30
Wind_Ex_Ser,Serbia,OnshoreWind,Wind,2018,2044,373,,1,,,,135,,,,,,,0,28180,,0,
Wind_Com_Ser,Serbia,OnshoreWind,Wind,2025,2060,300,,2,,,,5000,,,,,,,1.26,38000,,0,30
Wind_New_Ser,Serbia,OnshoreWind,Wind,2025,2060,16100,,3,,,,10000,,,,,,,1.26,38000,,0,30
PV_Ex_Ser,Serbia,PV,Solar,2020,2044,51,,1,,,,5000,,,,,,,0,10000,,0,
PV_Com_Ser,Serbia,PV,Solar,2030,2060,1000,,2,,,,5000,,,,,,,0.9,10000,,0,25
PV_New_Ser,Serbia,PV,Solar,2025,2060,86200,,3,,,,10000,,,,,,,0.9,10000,,0,25
TPP_KosovaA,Kosovo,ST,Coal,1970,2034,432,,1,,,,,,12.6,0.6,0.6,0,,0,34800,6,0,
TPP_KosovaB,Kosovo,ST,Coal,1983,2051,528,,1,,,,,,11,0.6,0.6,0,,0,34800,6,0,
Coal_SubNew_Kos,Kosovo,ST,Coal,2026,2051,0,,3,,,,2000,,8.75,1,1,0,,1.7,45000,3,0,40
Coal_SuperNew_Kos,Kosovo,ST,Coal,2026,2051,0,,3,,,,2000,,7.94,1,1,0,,2,60000,3,0,40
Coal_UltraNew_Kos,Kosovo,ST,Coal,2028,2061,0,,3,,,,2000,,7.58,1,1,0,,2.2,65000,3,0,40
CoalCCS_New_Kos,Kosovo,ST,Coal,2045,2080,0,,3,,,,4000,,9.48,1,1,0,,5.08,100000,43.8,0,40
Biomass_New_Kos,Kosovo,BiomassPlant,Biomass,2026,2060,100,,3,,,,10000,,9.75,1,1,0,,2.4,77500,3.5,0,40
BECCS_New_Kos,Kosovo,BiomassPlant,Coal,2045,2080,100,,3,,,,10000,,11.37,1,1,0,,5.4,135000,30,0,40
CCGT_New_Kos,Kosovo,CCGT,Gas,2026,2060,0,,3,,,,10000,,5.78,1,1,0,,1,25000,3.5,0,40
OCGT_New_Kos,Kosovo,OCGT,Gas,2026,2060,0,,3,,,,10000,,8.53,1,1,0,,0.5,20000,3.5,0,40
CCGTCCS_New_Kos,Kosovo,CCGT,Gas,2045,2080,0,,3,,,,10000,,6.7,1,1,0,,3.08,80000,21.8,0,40
CCGTH2_New_Kos,Kosovo,CCGT,Gas,2026,2060,0,,3,,,,10000,,5.78,1,1,0,,1,47500,3.5,0,40
RoR_Ex_Kos,Kosovo,ROR,Water,1960,2051,120,,1,,,,120,,,1,1,0,,0,15000,,0,
RoR_Com_Kos,Kosovo,ROR,Water,2025,2051,0,,2,,,,0,,,1,1,0,,2.65,60000,,0,30
RoR_New_Kos,Kosovo,ROR,Water,2026,2051,200,,3,,,,200,,,1,1,0,,2.65,60000,,0,30
HySto_Ex_Kos,Kosovo,ReservoirHydro,Pumped,1955,2051,0,,1,,,,1465,,,1,1,0,,0,15000,,0,
HySto_Com_Kos,Kosovo,ReservoirHydro,Pumped,2025,2051,0,,2,,,,0,,,1,1,0,,2.65,60000,,0,30
HySto_New_Kos,Kosovo,ReservoirHydro,Pumped,2026,2051,300,,3,,,,300,,,1,1,0,,2.65,60000,,0,30
Wind_Ex_Kos,Kosovo,OnshoreWind,Wind,2018,2044,138,,1,,,,135,,,,,,,0,28180,,0,
Wind_Com_Kos,Kosovo,OnshoreWind,Wind,2025,2060,0,,2,,,,5000,,,,,,,1.7,38000,,0,30
Wind_New_Kos,Kosovo,OnshoreWind,Wind,2026,2060,1300,,3,,,,10000,,,,,,,1.7,38000,,0,30
PV_Ex_Kos,Kosovo,PV,Solar,2020,2044,5,,1,,,,,,,,,,,0,10000,,0,
PV_Com_Kos,Kosovo,PV,Solar,2025,2060,0,,2,,,,5000,,,,,,,0.9,10000,,0,25
PV_New_Kos,Kosovo,PV,Solar,2026,2060,4600,,3,,,,10000,,,,,,,0.9,10000,,0,25
TPP_Pljevlja,Montenegro,ST,Coal,1982,2051,225,,1,,,,,,11,0.6,0.6,0,,0,34800,6,0,
Coal_SubNew_ME,Montenegro,ST,Coal,2026,2051,5000,,3,,,,2000,,8.75,1,1,0,,1.7,45000,3,0,40
Coal_SuperNew_ME,Montenegro,ST,Coal,2026,2051,5000,,3,,,,2000,,7.94,1,1,0,,2,60000,3,0,40
Coal_UltraNew_ME,Montenegro,ST,Coal,2028,2061,5000,,3,,,,2000,,7.58,1,1,0,,2.2,65000,3,0,40
CoalCCS_New_ME,Montenegro,ST,Coal,2045,2080,10000,,3,,,,4000,,9.48,1,1,0,,5.08,100000,43.8,0,40
Biomass_New_ME,Montenegro,BiomassPlant,Biomass,2026,2060,100,,3,,,,10000,,9.75,1,1,0,,2.4,77500,3.5,0,40
BECCS_New_ME,Montenegro,BiomassPlant,Coal,2045,2080,10000,,3,,,,10000,,11.37,1,1,0,,5.4,135000,30,0,40
CCGT_New_ME,Montenegro,CCGT,Gas,2026,2060,10000,,3,,,,10000,,5.78,1,1,0,,1,25000,3.5,0,40
OCGT_New_ME,Montenegro,OCGT,Gas,2026,2060,10000,,3,,,,10000,,8.53,1,1,0,,0.5,20000,3.5,0,40
CCGTCCS_New_ME,Montenegro,CCGT,Gas,2045,2080,10000,,3,,,,10000,,6.7,1,1,0,,3.08,80000,21.8,0,40
CCGTH2_New_ME,Montenegro,CCGT,Gas,2026,2060,10000,,3,,,,10000,,5.78,1,1,0,,1,47500,3.5,0,40
RoR_Ex_ME,Montenegro,ROR,Water,1960,2051,0,,1,,,,,,,1,1,0,,0,15000,,0,
RoR_Com_ME,Montenegro,ROR,Water,2025,2051,0,,2,,,,0,,,1,1,0,,2.65,60000,,0,30
RoR_New_ME,Montenegro,ROR,Water,2026,2051,1600,,3,,,,1600,,,1,1,0,,2.65,60000,,0,30
HySto_Ex_ME,Montenegro,ReservoirHydro,Pumped,1955,2051,690,,1,,,,,,,1,1,0,,0,15000,,0,
HySto_Com_ME,Montenegro,ReservoirHydro,Pumped,2025,2051,0,,2,,,,0,,,1,1,0,,2.65,60000,,0,30
HySto_New_ME,Montenegro,ReservoirHydro,Pumped,2026,2051,3000,,3,,,,3000,,,1,1,0,,2.65,60000,,0,30
