zone,tech,q,d,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Montenegro,ROR,m9,d4,0,0,0,0,0,0.09,0.27,0.44,0.57,0.65,0.68,0.66,0.59,0.49,0.34,0.17,0.03,0,0,0,0,0,0,0
Montenegro,ROR,m9,d5,0,0,0,0,0,0.1,0.29,0.45,0.57,0.62,0.61,0.55,0.48,0.38,0.27,0.16,0.03,0,0,0,0,0,0,0
Montenegro,ROR,m9,d6,0,0,0,0,0,0.01,0.04,0.05,0.07,0.11,0.16,0.19,0.21,0.18,0.13,0.07,0,0,0,0,0,0,0,0
Montenegro,ROR,m9,d7,0,0,0,0,0,0.05,0.22,0.43,0.56,0.65,0.68,0.67,0.62,0.52,0.36,0.16,0.01,0,0,0,0,0,0,0
Montenegro,ROR,m10,d1,0,0,0,0,0,0.01,0.2,0.41,0.55,0.64,0.67,0.66,0.61,0.51,0.35,0.16,0,0,0,0,0,0,0,0
Montenegro,ROR,m10,d2,0,0,0,0,0,0,0.01,0.03,0.05,0.07,0.09,0.08,0.06,0.04,0.02,0,0,0,0,0,0,0,0,0
Montenegro,ROR,m10,d3,0,0,0,0,0,0.01,0.16,0.43,0.59,0.67,0.7,0.68,0.63,0.53,0.38,0.17,0.01,0,0,0,0,0,0,0
Montenegro,ROR,m10,d4,0,0,0,0,0,0.01,0.06,0.14,0.27,0.37,0.48,0.49,0.46,0.35,0.24,0.1,0,0,0,0,0,0,0,0
Montenegro,ROR,m10,d5,0,0,0,0,0,0.01,0.11,0.28,0.46,0.59,0.62,0.55,0.48,0.34,0.21,0.07,0,0,0,0,0,0,0,0
Montenegro,ROR,m10,d6,0,0,0,0,0,0.01,0.19,0.4,0.55,0.63,0.67,0.66,0.61,0.51,0.35,0.15,0,0,0,0,0,0,0,0
Montenegro,ROR,m10,d7,0,0,0,0,0,0,0.06,0.18,0.34,0.52,0.58,0.52,0.3,0.12,0.04,0.01,0,0,0,0,0,0,0,0
Montenegro,ROR,m11,d1,0,0,0,0,0,0,0.01,0.04,0.17,0.35,0.52,0.5,0.43,0.31,0.17,0.01,0,0,0,0,0,0,0,0
Montenegro,ROR,m11,d2,0,0,0,0,0,0,0,0.05,0.14,0.33,0.49,0.52,0.44,0.25,0.06,0,0,0,0,0,0,0,0,0
Montenegro,ROR,m11,d3,0,0,0,0,0,0,0.06,0.22,0.35,0.34,0.34,0.31,0.32,0.23,0.12,0.01,0,0,0,0,0,0,0,0
Montenegro,ROR,m11,d4,0,0,0,0,0,0,0.02,0.07,0.11,0.2,0.34,0.27,0.15,0.12,0.07,0.01,0,0,0,0,0,0,0,0
Montenegro,ROR,m11,d5,0,0,0,0,0,0,0.03,0.14,0.2,0.26,0.23,0.16,0.11,0.07,0.02,0,0,0,0,0,0,0,0,0
Montenegro,ROR,m11,d6,0,0,0,0,0,0,0,0.01,0.07,0.24,0.26,0.25,0.18,0.1,0.02,0,0,0,0,0,0,0,0,0
Montenegro,ROR,m11,d7,0,0,0,0,0,0,0,0.04,0.15,0.3,0.48,0.54,0.48,0.35,0.2,0,0,0,0,0,0,0,0,0
Montenegro,ROR,m12,d1,0,0,0,0,0,0,0,0.08,0.19,0.25,0.23,0.18,0.12,0.06,0.01,0,0,0,0,0,0,0,0,0
Montenegro,ROR,m12,d2,0,0,0,0,0,0,0,0.03,0.02,0.04,0.11,0.21,0.1,0.12,0.04,0,0,0,0,0,0,0,0,0
Montenegro,ROR,m12,d3,0,0,0,0,0,0,0.01,0.1,0.21,0.27,0.34,0.38,0.39,0.31,0.11,0,0,0,0,0,0,0,0,0
Montenegro,ROR,m12,d4,0,0,0,0,0,0,0.01,0.11,0.27,0.49,0.57,0.61,0.54,0.39,0.14,0,0,0,0,0,0,0,0,0
Montenegro,ROR,m12,d5,0,0,0,0,0,0,0,0.06,0.14,0.19,0.17,0.13,0.09,0.06,0.02,0,0,0,0,0,0,0,0,0
Montenegro,ROR,m12,d6,0,0,0,0,0,0,0,0.06,0.21,0.4,0.47,0.47,0.38,0.23,0.06,0,0,0,0,0,0,0,0,0
Montenegro,ROR,m12,d7,0,0,0,0,0,0,0,0.09,0.19,0.37,0.54,0.63,0.6,0.46,0.21,0,0,0,0,0,0,0,0,0
N_Macedonia,ROR,m1,d1,0,0,0,0,0,0,0,0.04,0.1,0.16,0.21,0.2,0.17,0.1,0.03,0,0,0,0,0,0,0,0,0
N_Macedonia,ROR,m1,d2,0,0,0,0,0,0,0.03,0.12,0.21,0.24,0.24,0.21,0.15,0.08,0.03,0,0,0,0,0,0,0,0,0
N_Macedonia,ROR,m1,d3,0,0,0,0,0,0,0.1,0.38,0.57,0.68,0.66,0.49,0.29,0.11,0.01,0,0,0,0,0,0,0,0,0
N_Macedonia,ROR,m1,d4,0,0,0,0,0,0,0.01,0.06,0.12,0.17,0.17,0.14,0.09,0.04,0.01,0,0,0,0,0,0,0,0,0
