country,zone,attribute,resolution,year,baseline,baseline_INGA,baseline_limexp,baseline_noBTKG
Angola,Angola_Central,Capacity: MW,Battery,2050,770.3,680.6,475.2,770.3
Angola,Angola_Central,Capacity: MW,CCGT-Gas,2050,258.7,,400.0,270.7
Angola,Angola_Central,Capacity: MW,ICE-Diesel,2025,96.0,96.0,96.0,96.0
Angola,Angola_Central,Capacity: MW,ICE-Diesel,2027,96.0,96.0,96.0,96.0
Angola,Angola_Central,Capacity: MW,ICE-Diesel,2030,96.0,96.0,96.0,96.0
Angola,Angola_Central,Capacity: MW,ICE-Diesel,2032,96.0,96.0,96.0,96.0
Angola,Angola_Central,Capacity: MW,ICE-Diesel,2035,96.0,96.0,96.0,96.0
Angola,Angola_Central,Capacity: MW,ICE-Diesel,2038,96.0,96.0,96.0,96.0
Angola,Angola_Central,Capacity: MW,ICE-Diesel,2040,96.0,96.0,96.0,96.0
Angola,Angola_Central,Capacity: MW,ICE-Diesel,2042,96.0,96.0,96.0,96.0
Angola,Angola_Central,Capacity: MW,ICE-Diesel,2045,96.0,96.0,96.0,96.0
Angola,Angola_Central,Capacity: MW,ICE-Diesel,2048,7.2,7.2,7.2,7.2
Angola,Angola_Central,Capacity: MW,PV,2025,228.0,228.0,228.0,228.0
Angola,Angola_Central,Capacity: MW,PV,2027,228.0,228.0,228.0,228.0
Angola,Angola_Central,Capacity: MW,PV,2030,228.0,228.0,228.0,228.0
Angola,Angola_Central,Capacity: MW,PV,2032,308.0,255.0,268.0,308.0
Angola,Angola_Central,Capacity: MW,PV,2035,428.0,375.0,388.0,428.0
Angola,Angola_Central,Capacity: MW,PV,2038,548.0,495.0,508.0,548.0
Angola,Angola_Central,Capacity: MW,PV,2040,628.0,495.0,588.0,628.0
Angola,Angola_Central,Capacity: MW,PV,2042,708.0,495.0,668.0,708.0
Angola,Angola_Central,Capacity: MW,PV,2045,828.0,578.9,788.0,828.0
Angola,Angola_Central,Capacity: MW,PV,2048,948.0,698.9,908.0,948.0
Angola,Angola_Central,Capacity: MW,PV,2050,1028.0,778.9,988.0,1028.0
Angola,Angola_Central,Capacity: MW,Reservoir,2025,92.0,92.0,92.0,92.0
Angola,Angola_Central,Capacity: MW,Reservoir,2027,92.0,92.0,92.0,92.0
Angola,Angola_Central,Capacity: MW,Reservoir,2030,92.0,92.0,92.0,92.0
Angola,Angola_Central,Capacity: MW,Reservoir,2032,92.0,92.0,92.0,92.0
Angola,Angola_Central,Capacity: MW,Reservoir,2035,92.0,92.0,92.0,92.0
Angola,Angola_Central,Capacity: MW,Reservoir,2038,92.0,92.0,92.0,92.0
Angola,Angola_Central,Capacity: MW,Reservoir,2040,125.1,92.0,228.0,125.1
Angola,Angola_Central,Capacity: MW,Reservoir,2042,164.8,92.0,364.5,161.3
Angola,Angola_Central,Capacity: MW,Reservoir,2045,374.8,116.6,574.5,371.3
Angola,Angola_Central,Capacity: MW,Reservoir,2048,584.1,302.0,732.0,584.1
Angola,Angola_Central,Capacity: MW,Reservoir,2050,732.0,654.2,732.0,732.0
Angola,Angola_Central,Carbon costs: $/MWh,,,0.3,0.1,0.5,0.3
Angola,Angola_Central,Carbon costs: $m,,2038,0.1,1.3,0.4,0.1
Angola,Angola_Central,Carbon costs: $m,,2040,2.0,,1.8,2.0
Angola,Angola_Central,Carbon costs: $m,,2042,2.3,0.2,2.3,2.3
Angola,Angola_Central,Carbon costs: $m,,2045,0.1,0.5,0.0,0.1
Angola,Angola_Central,Carbon costs: $m,,2048,0.0,0.1,0.0,0.0
Angola,Angola_Central,Carbon costs: $m,,2050,32.6,,60.5,34.0
Angola,Angola_Central,Demand: GWh,,2025,2121.3,2121.3,2121.3,2121.3
Angola,Angola_Central,Demand: GWh,,2027,2256.4,2256.4,2256.4,2256.4
Angola,Angola_Central,Demand: GWh,,2030,2448.8,2448.8,2448.8,2448.8
Angola,Angola_Central,Demand: GWh,,2032,2589.6,2589.6,2589.6,2589.6
Angola,Angola_Central,Demand: GWh,,2035,2820.2,2820.2,2820.2,2820.2
Angola,Angola_Central,Demand: GWh,,2038,3071.7,3071.7,3071.7,3071.7
Angola,Angola_Central,Demand: GWh,,2040,3251.7,3251.7,3251.7,3251.7
Angola,Angola_Central,Demand: GWh,,2042,3442.2,3442.2,3442.2,3442.2
Angola,Angola_Central,Demand: GWh,,2045,3749.2,3749.2,3749.2,3749.2
Angola,Angola_Central,Demand: GWh,,2048,4083.6,4083.6,4083.6,4083.6
Angola,Angola_Central,Demand: GWh,,2050,4322.9,4322.9,4322.9,4322.9
Angola,Angola_Central,Emissions: MtCO2,,2038,,0.0,,
Angola,Angola_Central,Emissions: MtCO2,,2040,0.0,,0.0,0.0
Angola,Angola_Central,Emissions: MtCO2,,2042,0.0,,0.0,0.0
Angola,Angola_Central,Emissions: MtCO2,,2050,0.3,,0.6,0.3
Angola,Angola_Central,Energy: GWh,Battery,2030,37.0,37.0,,37.0
Angola,Angola_Central,Energy: GWh,Battery,2032,29.8,43.8,,29.8
Angola,Angola_Central,Energy: GWh,Battery,2035,34.0,33.8,,34.0
Angola,Angola_Central,Energy: GWh,Battery,2038,193.9,214.4,81.3,193.8
Angola,Angola_Central,Energy: GWh,Battery,2040,248.2,252.2,135.7,243.2
Angola,Angola_Central,Energy: GWh,Battery,2042,284.4,270.1,155.2,273.9
Angola,Angola_Central,Energy: GWh,Battery,2045,337.0,342.8,188.1,346.5
Angola,Angola_Central,Energy: GWh,Battery,2048,381.6,400.2,262.1,378.0
Angola,Angola_Central,Energy: GWh,Battery,2050,388.0,453.9,296.4,390.5
Angola,Angola_Central,Energy: GWh,CCGT-Gas,2050,565.8,,1051.1,591.0
Angola,Angola_Central,Energy: GWh,ICE-Diesel,2038,1.3,21.0,5.8,1.3
Angola,Angola_Central,Energy: GWh,ICE-Diesel,2040,30.1,,27.8,30.1
Angola,Angola_Central,Energy: GWh,ICE-Diesel,2042,34.5,2.5,34.5,34.5
Angola,Angola_Central,Energy: GWh,ICE-Diesel,2045,0.8,6.8,0.7,0.9
Angola,Angola_Central,Energy: GWh,ICE-Diesel,2048,0.3,1.8,0.3,0.3
Angola,Angola_Central,Energy: GWh,PV,2025,372.5,372.5,372.5,372.5
Angola,Angola_Central,Energy: GWh,PV,2027,372.5,372.5,372.5,372.5
Angola,Angola_Central,Energy: GWh,PV,2030,372.5,372.5,372.5,372.5
Angola,Angola_Central,Energy: GWh,PV,2032,503.3,416.6,437.9,503.3
Angola,Angola_Central,Energy: GWh,PV,2035,699.3,612.7,634.0,699.3
Angola,Angola_Central,Energy: GWh,PV,2038,888.4,805.4,824.0,888.1
Angola,Angola_Central,Energy: GWh,PV,2040,1018.3,803.8,954.7,1019.3
Angola,Angola_Central,Energy: GWh,PV,2042,1147.1,803.6,1083.9,1148.0
Angola,Angola_Central,Energy: GWh,PV,2045,1340.5,938.7,1280.5,1340.5
Angola,Angola_Central,Energy: GWh,PV,2048,1534.3,1133.9,1469.8,1534.5
Angola,Angola_Central,Energy: GWh,PV,2050,1663.7,1262.0,1599.1,1663.7
Angola,Angola_Central,Energy: GWh,Reservoir,2025,253.7,253.7,253.7,253.7
Angola,Angola_Central,Energy: GWh,Reservoir,2027,253.7,253.7,253.7,253.7
Angola,Angola_Central,Energy: GWh,Reservoir,2030,253.7,253.7,253.7,253.7
Angola,Angola_Central,Energy: GWh,Reservoir,2032,253.7,253.7,253.7,253.7
Angola,Angola_Central,Energy: GWh,Reservoir,2035,253.7,253.7,253.7,253.7
Angola,Angola_Central,Energy: GWh,Reservoir,2038,253.7,253.7,253.7,253.7
Angola,Angola_Central,Energy: GWh,Reservoir,2040,316.0,253.7,509.6,316.0
Angola,Angola_Central,Energy: GWh,Reservoir,2042,390.6,253.7,766.3,384.0
Angola,Angola_Central,Energy: GWh,Reservoir,2045,1089.7,335.5,1465.4,1083.1
Angola,Angola_Central,Energy: GWh,Reservoir,2048,1483.3,952.7,1761.5,1483.3
Angola,Angola_Central,Energy: GWh,Reservoir,2050,1761.5,1615.2,1761.5,1761.5
Angola,Angola_Central,Export revenues with internal zones: $/MWh,,,-24.8,-21.0,-27.0,-24.8
Angola,Angola_Central,Exports exchange: GWh,,2027,1.9,1.9,1.9,1.9
Angola,Angola_Central,Exports exchange: GWh,,2030,4160.3,4160.3,4123.4,4160.3
Angola,Angola_Central,Exports exchange: GWh,,2032,3957.6,3948.9,3913.8,3957.6
Angola,Angola_Central,Exports exchange: GWh,,2035,2260.8,1960.8,1828.9,2260.6
Angola,Angola_Central,Exports exchange: GWh,,2038,2028.3,2017.6,1798.9,2026.6
Angola,Angola_Central,Exports exchange: GWh,,2040,2243.4,2998.6,2160.5,2252.2
Angola,Angola_Central,Exports exchange: GWh,,2042,2063.0,2520.7,2168.6,2063.4
Angola,Angola_Central,Exports exchange: GWh,,2045,2252.4,2085.6,2307.3,2251.5
Angola,Angola_Central,Exports exchange: GWh,,2048,2277.3,2185.2,2429.3,2279.7
Angola,Angola_Central,Exports exchange: GWh,,2050,2865.7,1987.4,3463.6,2890.7
Angola,Angola_Central,Fixed O&M: $/MWh,,,7.5,6.5,7.7,7.5
Angola,Angola_Central,Fixed O&M: $m,,2025,13.7,13.7,13.7,13.7
Angola,Angola_Central,Fixed O&M: $m,,2027,13.7,13.7,13.7,13.7
Angola,Angola_Central,Fixed O&M: $m,,2030,13.9,13.9,13.7,13.9
Angola,Angola_Central,Fixed O&M: $m,,2032,15.3,14.5,14.4,15.3
Angola,Angola_Central,Fixed O&M: $m,,2035,17.4,16.6,16.4,17.4
Angola,Angola_Central,Fixed O&M: $m,,2038,21.6,20.7,19.8,21.6
Angola,Angola_Central,Fixed O&M: $m,,2040,26.0,21.1,28.7,26.0
Angola,Angola_Central,Fixed O&M: $m,,2042,30.7,22.2,37.6,30.5
Angola,Angola_Central,Fixed O&M: $m,,2045,45.4,26.9,50.6,45.2
Angola,Angola_Central,Fixed O&M: $m,,2048,55.2,35.6,57.9,55.2
Angola,Angola_Central,Fixed O&M: $m,,2050,74.7,55.6,75.2,75.2
Angola,Angola_Central,Fuel costs: $/MWh,,,0.5,0.2,0.8,0.5
Angola,Angola_Central,Fuel costs: $m,,2038,0.2,3.9,1.1,0.2
Angola,Angola_Central,Fuel costs: $m,,2040,5.6,,5.2,5.6
Angola,Angola_Central,Fuel costs: $m,,2042,6.5,0.5,6.5,6.5
Angola,Angola_Central,Fuel costs: $m,,2045,0.1,1.3,0.1,0.2
Angola,Angola_Central,Fuel costs: $m,,2048,0.0,0.3,0.0,0.0
Angola,Angola_Central,Fuel costs: $m,,2050,40.7,,75.7,42.6
Angola,Angola_Central,Generation: GWh,,2025,626.2,626.2,626.2,626.2
Angola,Angola_Central,Generation: GWh,,2027,626.2,626.2,626.2,626.2
Angola,Angola_Central,Generation: GWh,,2030,663.2,663.2,626.2,663.2
Angola,Angola_Central,Generation: GWh,,2032,786.7,714.1,691.6,786.7
Angola,Angola_Central,Generation: GWh,,2035,987.0,900.2,887.7,987.0
Angola,Angola_Central,Generation: GWh,,2038,1337.3,1294.5,1164.7,1336.9
Angola,Angola_Central,Generation: GWh,,2040,1612.6,1309.7,1627.7,1608.6
Angola,Angola_Central,Generation: GWh,,2042,1856.7,1329.9,2039.9,1840.4
Angola,Angola_Central,Generation: GWh,,2045,2767.9,1623.8,2934.6,2771.0
Angola,Angola_Central,Generation: GWh,,2048,3399.4,2488.7,3493.6,3396.1
Angola,Angola_Central,Generation: GWh,,2050,4379.0,3331.1,4708.0,4406.7
Angola,Angola_Central,Import costs with internal zones: $/MWh,,,65.1,60.5,70.4,65.1
Angola,Angola_Central,Import costs with internal zones: $m,,2025,22.8,22.8,22.8,22.8
Angola,Angola_Central,Import costs with internal zones: $m,,2027,1.0,1.0,1.0,1.0
Angola,Angola_Central,Import costs with internal zones: $m,,2030,177.4,177.4,181.1,177.4
Angola,Angola_Central,Import costs with internal zones: $m,,2032,199.4,201.2,224.4,199.5
Angola,Angola_Central,Import costs with internal zones: $m,,2035,164.6,163.5,183.5,164.6
Angola,Angola_Central,Import costs with internal zones: $m,,2038,259.5,399.7,296.6,258.9
Angola,Angola_Central,Import costs with internal zones: $m,,2040,387.7,175.8,392.7,387.7
Angola,Angola_Central,Import costs with internal zones: $m,,2042,440.0,270.5,466.8,443.1
Angola,Angola_Central,Import costs with internal zones: $m,,2045,307.3,262.4,318.4,308.0
Angola,Angola_Central,Import costs with internal zones: $m,,2048,340.3,202.7,403.3,340.4
Angola,Angola_Central,Import costs with internal zones: $m,,2050,396.6,343.3,447.9,391.7
Angola,Angola_Central,Imports exchange: GWh,,2025,1607.6,1607.6,1607.6,1607.6
Angola,Angola_Central,Imports exchange: GWh,,2027,1759.7,1759.7,1759.7,1759.7
Angola,Angola_Central,Imports exchange: GWh,,2030,6437.6,6437.6,6393.4,6437.6
Angola,Angola_Central,Imports exchange: GWh,,2032,6229.6,6315.1,6249.2,6229.6
Angola,Angola_Central,Imports exchange: GWh,,2035,4442.7,4213.3,4044.6,4442.5
Angola,Angola_Central,Imports exchange: GWh,,2038,4520.6,4534.9,4348.5,4520.4
Angola,Angola_Central,Imports exchange: GWh,,2040,4676.2,5811.6,4466.7,4685.7
Angola,Angola_Central,Imports exchange: GWh,,2042,4467.9,5503.4,4256.6,4476.2
Angola,Angola_Central,Imports exchange: GWh,,2045,4084.1,5127.9,3805.1,4090.1
Angola,Angola_Central,Imports exchange: GWh,,2048,3820.2,4718.8,3763.1,3823.0
Angola,Angola_Central,Imports exchange: GWh,,2050,3650.6,3904.5,3857.2,3652.8
Angola,Angola_Central,Investment costs: $/MWh,,,7.6,4.7,8.5,7.5
Angola,Angola_Central,Investment costs: $m,,2030,2.0,2.0,,2.0
Angola,Angola_Central,Investment costs: $m,,2032,5.1,4.2,1.5,5.1
Angola,Angola_Central,Investment costs: $m,,2035,11.4,10.4,6.3,11.4
Angola,Angola_Central,Investment costs: $m,,2038,18.7,17.7,13.2,18.7
Angola,Angola_Central,Investment costs: $m,,2040,30.0,19.2,44.4,30.0
Angola,Angola_Central,Investment costs: $m,,2042,42.4,21.0,75.5,41.7
Angola,Angola_Central,Investment costs: $m,,2045,90.5,31.3,122.7,89.8
Angola,Angola_Central,Investment costs: $m,,2048,138.1,74.2,160.1,138.1
Angola,Angola_Central,Investment costs: $m,,2050,194.8,147.8,200.3,195.9
Angola,Angola_Central,Net interchange Ratio: GWh,,2025,0.8,0.8,0.8,0.8
Angola,Angola_Central,Net interchange Ratio: GWh,,2027,0.8,0.8,0.8,0.8
Angola,Angola_Central,Net interchange Ratio: GWh,,2030,0.9,0.9,0.9,0.9
Angola,Angola_Central,Net interchange Ratio: GWh,,2032,0.9,0.9,0.9,0.9
Angola,Angola_Central,Net interchange Ratio: GWh,,2035,0.8,0.8,0.8,0.8
Angola,Angola_Central,Net interchange Ratio: GWh,,2038,0.8,0.8,0.8,0.8
Angola,Angola_Central,Net interchange Ratio: GWh,,2040,0.7,0.9,0.7,0.7
Angola,Angola_Central,Net interchange Ratio: GWh,,2042,0.7,0.9,0.6,0.7
Angola,Angola_Central,Net interchange Ratio: GWh,,2045,0.5,0.8,0.4,0.5
Angola,Angola_Central,Net interchange Ratio: GWh,,2048,0.4,0.6,0.3,0.4
Angola,Angola_Central,Net interchange Ratio: GWh,,2050,0.2,0.4,0.1,0.2
Angola,Angola_Central,Net interchange: GWh,,2025,1607.6,1607.6,1607.6,1607.6
Angola,Angola_Central,Net interchange: GWh,,2027,1757.8,1757.8,1757.8,1757.8
Angola,Angola_Central,Net interchange: GWh,,2030,2277.3,2277.3,2270.1,2277.3
Angola,Angola_Central,Net interchange: GWh,,2032,2272.0,2366.2,2335.4,2272.0
Angola,Angola_Central,Net interchange: GWh,,2035,2181.9,2252.5,2215.6,2181.9
Angola,Angola_Central,Net interchange: GWh,,2038,2492.4,2517.3,2549.6,2493.8
Angola,Angola_Central,Net interchange: GWh,,2040,2432.8,2813.0,2306.2,2433.4
Angola,Angola_Central,Net interchange: GWh,,2042,2404.9,2982.7,2088.0,2412.7
Angola,Angola_Central,Net interchange: GWh,,2045,1831.7,3042.3,1497.8,1838.6
Angola,Angola_Central,Net interchange: GWh,,2048,1542.9,2533.7,1333.7,1543.3
Angola,Angola_Central,Net interchange: GWh,,2050,784.9,1917.1,393.6,762.1
Angola,Angola_Central,New Capacity: MW,Battery,2030,16.5,16.5,,16.5
Angola,Angola_Central,New Capacity: MW,Battery,2032,2.8,10.5,,2.8
Angola,Angola_Central,New Capacity: MW,Battery,2035,3.5,,,3.5
Angola,Angola_Central,New Capacity: MW,Battery,2038,150.0,150.0,95.3,150.0
Angola,Angola_Central,New Capacity: MW,Battery,2040,97.5,26.7,50.0,97.5
Angola,Angola_Central,New Capacity: MW,Battery,2042,100.0,76.9,50.0,100.0
Angola,Angola_Central,New Capacity: MW,Battery,2045,150.0,150.0,30.0,150.0
Angola,Angola_Central,New Capacity: MW,Battery,2048,150.0,150.0,150.0,150.0
Angola,Angola_Central,New Capacity: MW,Battery,2050,100.0,100.0,100.0,100.0
Angola,Angola_Central,New Capacity: MW,CCGT-Gas,2050,258.7,,400.0,270.7
Angola,Angola_Central,New Capacity: MW,PV,2032,80.0,27.0,40.0,80.0
Angola,Angola_Central,New Capacity: MW,PV,2035,120.0,120.0,120.0,120.0
Angola,Angola_Central,New Capacity: MW,PV,2038,120.0,120.0,120.0,120.0
Angola,Angola_Central,New Capacity: MW,PV,2040,80.0,,80.0,80.0
Angola,Angola_Central,New Capacity: MW,PV,2042,80.0,,80.0,80.0
Angola,Angola_Central,New Capacity: MW,PV,2045,120.0,83.9,120.0,120.0
Angola,Angola_Central,New Capacity: MW,PV,2048,120.0,120.0,120.0,120.0
Angola,Angola_Central,New Capacity: MW,PV,2050,80.0,80.0,80.0,80.0
Angola,Angola_Central,New Capacity: MW,Reservoir,2040,33.1,,136.0,33.1
Angola,Angola_Central,New Capacity: MW,Reservoir,2042,39.7,,136.5,36.2
Angola,Angola_Central,New Capacity: MW,Reservoir,2045,210.0,24.6,210.0,210.0
Angola,Angola_Central,New Capacity: MW,Reservoir,2048,209.3,185.4,157.5,212.8
Angola,Angola_Central,New Capacity: MW,Reservoir,2050,147.9,352.2,,147.9
Angola,Angola_Central,New Transmission Capacity: MW,Angola_South,2030,500.0,500.0,500.0,500.0
Angola,Angola_Central,Price: $/MWh,,2025,13.2,13.2,13.2,13.2
Angola,Angola_Central,Price: $/MWh,,2027,0.6,0.6,0.6,0.6
Angola,Angola_Central,Price: $/MWh,,2030,35.3,35.3,35.9,35.3
Angola,Angola_Central,Price: $/MWh,,2032,39.2,39.5,43.7,39.2
Angola,Angola_Central,Price: $/MWh,,2035,45.7,48.3,58.1,45.7
Angola,Angola_Central,Price: $/MWh,,2038,80.6,124.2,93.4,80.4
Angola,Angola_Central,Price: $/MWh,,2040,119.2,46.1,126.3,119.2
Angola,Angola_Central,Price: $/MWh,,2042,139.8,69.7,162.7,140.5
Angola,Angola_Central,Price: $/MWh,,2045,99.7,73.5,107.4,99.7
Angola,Angola_Central,Price: $/MWh,,2048,112.9,69.4,132.6,112.9
Angola,Angola_Central,Price: $/MWh,,2050,135.0,113.8,144.9,132.3
Angola,Angola_Central,Spinning Reserve: GWh,,2025,57.3,36.9,59.6,53.2
Angola,Angola_Central,Spinning Reserve: GWh,,2027,0.3,1.5,1.9,0.2
Angola,Angola_Central,Spinning Reserve: GWh,,2030,12.7,5.1,5.0,10.8
Angola,Angola_Central,Spinning Reserve: GWh,,2032,3.7,7.0,4.8,4.0
Angola,Angola_Central,Spinning Reserve: GWh,,2035,5.5,9.7,3.8,4.7
Angola,Angola_Central,Spinning Reserve: GWh,,2038,73.4,157.0,30.8,127.5
Angola,Angola_Central,Spinning Reserve: GWh,,2040,204.9,144.8,131.5,211.1
Angola,Angola_Central,Spinning Reserve: GWh,,2042,702.4,366.9,189.2,714.1
Angola,Angola_Central,Spinning Reserve: GWh,,2045,710.7,948.4,314.6,733.6
Angola,Angola_Central,Spinning Reserve: GWh,,2048,1217.9,1050.8,637.9,1274.7
Angola,Angola_Central,Spinning Reserve: GWh,,2050,1750.5,1011.6,1071.7,1586.5
Angola,Angola_Central,Surplus generation: GWh,,2027,4.4,4.4,4.4,4.4
Angola,Angola_Central,Surplus generation: GWh,,2038,226.1,184.5,247.9,227.3
Angola,Angola_Central,Surplus generation: GWh,,2040,190.6,184.0,218.8,192.2
Angola,Angola_Central,Surplus generation: GWh,,2042,190.6,185.0,215.3,193.3
Angola,Angola_Central,Surplus generation: GWh,,2045,190.0,177.1,207.8,189.1
Angola,Angola_Central,Surplus generation: GWh,,2048,167.4,163.8,189.2,168.3
Angola,Angola_Central,Surplus generation: GWh,,2050,154.4,147.7,179.4,156.3
Angola,Angola_Central,Total Demand: GWh,,2025,2121.3,2121.3,2121.3,2121.3
Angola,Angola_Central,Total Demand: GWh,,2027,2256.4,2256.4,2256.4,2256.4
Angola,Angola_Central,Total Demand: GWh,,2030,2448.8,2448.8,2448.8,2448.8
Angola,Angola_Central,Total Demand: GWh,,2032,2589.6,2589.6,2589.6,2589.6
Angola,Angola_Central,Total Demand: GWh,,2035,2820.2,2820.2,2820.2,2820.2
Angola,Angola_Central,Total Demand: GWh,,2038,3071.7,3071.7,3071.7,3071.7
Angola,Angola_Central,Total Demand: GWh,,2040,3251.7,3251.7,3251.7,3251.7
Angola,Angola_Central,Total Demand: GWh,,2042,3442.2,3442.2,3442.2,3442.2
Angola,Angola_Central,Total Demand: GWh,,2045,3749.2,3749.2,3749.2,3749.2
Angola,Angola_Central,Total Demand: GWh,,2048,4083.6,4083.6,4083.6,4083.6
Angola,Angola_Central,Total Demand: GWh,,2050,4322.9,4322.9,4322.9,4322.9
Angola,Angola_Central,Trade shared benefits: $/MWh,,,-31.4,-31.3,-32.4,-31.3
Angola,Angola_Central,Transmission Capacity: MW,Angola_North,2025,800.0,800.0,800.0,800.0
Angola,Angola_Central,Transmission Capacity: MW,Angola_North,2027,800.0,800.0,800.0,800.0
Angola,Angola_Central,Transmission Capacity: MW,Angola_North,2030,800.0,800.0,800.0,800.0
Angola,Angola_Central,Transmission Capacity: MW,Angola_North,2032,800.0,800.0,800.0,800.0
Angola,Angola_Central,Transmission Capacity: MW,Angola_North,2035,800.0,800.0,800.0,800.0
Angola,Angola_Central,Transmission Capacity: MW,Angola_North,2038,800.0,800.0,800.0,800.0
Angola,Angola_Central,Transmission Capacity: MW,Angola_North,2040,800.0,800.0,800.0,800.0
Angola,Angola_Central,Transmission Capacity: MW,Angola_North,2042,800.0,800.0,800.0,800.0
Angola,Angola_Central,Transmission Capacity: MW,Angola_North,2045,800.0,800.0,800.0,800.0
Angola,Angola_Central,Transmission Capacity: MW,Angola_North,2048,800.0,800.0,800.0,800.0
Angola,Angola_Central,Transmission Capacity: MW,Angola_North,2050,800.0,800.0,800.0,800.0
Angola,Angola_Central,Transmission Capacity: MW,Angola_South,2030,500.0,500.0,500.0,500.0
Angola,Angola_Central,Transmission Capacity: MW,Angola_South,2032,500.0,500.0,500.0,500.0
Angola,Angola_Central,Transmission Capacity: MW,Angola_South,2035,500.0,500.0,500.0,500.0
Angola,Angola_Central,Transmission Capacity: MW,Angola_South,2038,500.0,500.0,500.0,500.0
Angola,Angola_Central,Transmission Capacity: MW,Angola_South,2040,500.0,500.0,500.0,500.0
Angola,Angola_Central,Transmission Capacity: MW,Angola_South,2042,500.0,500.0,500.0,500.0
Angola,Angola_Central,Transmission Capacity: MW,Angola_South,2045,500.0,500.0,500.0,500.0
Angola,Angola_Central,Transmission Capacity: MW,Angola_South,2048,500.0,500.0,500.0,500.0
Angola,Angola_Central,Transmission Capacity: MW,Angola_South,2050,500.0,500.0,500.0,500.0
Angola,Angola_Central,Transmission costs: $/MWh,,,3.3,3.3,3.3,3.3
Angola,Angola_Central,Transmission costs: $m,,2030,12.4,12.4,12.4,12.4
Angola,Angola_Central,Transmission costs: $m,,2032,12.4,12.4,12.4,12.4
Angola,Angola_Central,Transmission costs: $m,,2035,12.4,12.4,12.4,12.4
Angola,Angola_Central,Transmission costs: $m,,2038,12.4,12.4,12.4,12.4
Angola,Angola_Central,Transmission costs: $m,,2040,12.4,12.4,12.4,12.4
Angola,Angola_Central,Transmission costs: $m,,2042,12.4,12.4,12.4,12.4
Angola,Angola_Central,Transmission costs: $m,,2045,12.4,12.4,12.4,12.4
Angola,Angola_Central,Transmission costs: $m,,2048,12.4,12.4,12.4,12.4
Angola,Angola_Central,Transmission costs: $m,,2050,12.4,12.4,12.4,12.4
Angola,Angola_Central,Unmet system planning reserve costs: $m,,2050,,,,0.1
Angola,Angola_Central,Variable O&M: $/MWh,,,0.1,0.1,0.1,0.1
Angola,Angola_Central,Variable O&M: $m,,2025,0.1,0.1,0.1,0.1
Angola,Angola_Central,Variable O&M: $m,,2027,0.1,0.1,0.1,0.1
Angola,Angola_Central,Variable O&M: $m,,2030,0.1,0.1,0.1,0.1
Angola,Angola_Central,Variable O&M: $m,,2032,0.1,0.1,0.1,0.1
Angola,Angola_Central,Variable O&M: $m,,2035,0.1,0.1,0.1,0.1
Angola,Angola_Central,Variable O&M: $m,,2038,0.1,0.2,0.2,0.1
