paramNames,baseline,baseline_INGA,baseline_noBTKG,baseline_limexp
pCSPData,input/data_sapp_june26/supply/pCSPData.csv,input/data_sapp_june26/supply/pCSPData.csv,input/data_sapp_june26/supply/pCSPData.csv,input/data_sapp_june26/supply/pCSPData.csv
pFuelPrice,input/data_sapp_june26/supply/pFuelPrice.csv,input/data_sapp_june26/supply/pFuelPrice.csv,input/data_sapp_june26/supply/pFuelPrice.csv,input/data_sapp_june26/supply/pFuelPrice.csv
pVREgenProfile,input/data_sapp_june26/supply/pVREgenProfile.csv,input/data_sapp_june26/supply/pVREgenProfile.csv,input/data_sapp_june26/supply/pVREgenProfile.csv,input/data_sapp_june26/supply/pVREgenProfile.csv
pVREProfile,input/data_sapp_june26/supply/pVREProfile.csv,input/data_sapp_june26/supply/pVREProfile.csv,input/data_sapp_june26/supply/pVREProfile.csv,input/data_sapp_june26/supply/pVREProfile.csv
pStorageDataInput,input/data_sapp_june26/supply/pStorageDataInput.csv,input/data_sapp_june26/supply/pStorageDataInput.csv,input/data_sapp_june26/supply/pStorageDataInput.csv,input/data_sapp_june26/supply/pStorageDataInput.csv
pStorageDataInputDefault,input/data_sapp_june26/supply/pStorageDataInputDefault.csv,input/data_sapp_june26/supply/pStorageDataInputDefault.csv,input/data_sapp_june26/supply/pStorageDataInputDefault.csv,input/data_sapp_june26/supply/pStorageDataInputDefault.csv
pPlanningReserveMargin,input/data_sapp_june26/reserve/pPlanningReserveMargin.csv,input/data_sapp_june26/reserve/pPlanningReserveMargin.csv,input/data_sapp_june26/reserve/pPlanningReserveMargin.csv,input/data_sapp_june26/reserve/pPlanningReserveMargin.csv
pSpinningReserveReqCountry,input/data_sapp_june26/reserve/pSpinningReserveReqCountry.csv,input/data_sapp_june26/reserve/pSpinningReserveReqCountry.csv,input/data_sapp_june26/reserve/pSpinningReserveReqCountry.csv,input/data_sapp_june26/reserve/pSpinningReserveReqCountry.csv
pSpinningReserveReqSystem,input/data_sapp_june26/reserve/pSpinningReserveReqSystem.csv,input/data_sapp_june26/reserve/pSpinningReserveReqSystem.csv,input/data_sapp_june26/reserve/pSpinningReserveReqSystem.csv,input/data_sapp_june26/reserve/pSpinningReserveReqSystem.csv
pEmissionsTotal,input/data_sapp_june26/constraint/pEmissionsTotal.csv,input/data_sapp_june26/constraint/pEmissionsTotal.csv,input/data_sapp_june26/constraint/pEmissionsTotal.csv,input/data_sapp_june26/constraint/pEmissionsTotal.csv
pEmissionsCountry,input/data_sapp_june26/constraint/pEmissionsCountry.csv,input/data_sapp_june26/constraint/pEmissionsCountry.csv,input/data_sapp_june26/constraint/pEmissionsCountry.csv,input/data_sapp_june26/constraint/pEmissionsCountry.csv
pMaxFuellimit,input/data_sapp_june26/constraint/pMaxFuellimit.csv,input/data_sapp_june26/constraint/pMaxFuellimit.csv,input/data_sapp_june26/constraint/pMaxFuellimit.csv,input/data_sapp_june26/constraint/pMaxFuellimit.csv
pMaxGenerationByFuel,input/data_sapp_june26/constraint/pMaxGenerationByFuel.csv,input/data_sapp_june26/constraint/pMaxGenerationByFuel.csv,input/data_sapp_june26/constraint/pMaxGenerationByFuel.csv,input/data_sapp_june26/constraint/pMaxGenerationByFuel.csv
pCarbonPrice,input/data_sapp_june26/constraint/pCarbonPrice.csv,input/data_sapp_june26/constraint/pCarbonPrice.csv,input/data_sapp_june26/constraint/pCarbonPrice.csv,input/data_sapp_june26/constraint/pCarbonPrice.csv
pCountryBuildLimitY,input/data_sapp_june26/constraint/pCountryBuildLimitYear_none.csv,input/data_sapp_june26/constraint/pCountryBuildLimitYear_none.csv,input/data_sapp_june26/constraint/pCountryBuildLimitYear_none.csv,input/data_sapp_june26/constraint/pCountryBuildLimitYear.csv
zext,input/data_sapp_june26/trade/zext.csv,input/data_sapp_june26/trade/zext.csv,input/data_sapp_june26/trade/zext.csv,input/data_sapp_june26/trade/zext.csv
pExtTransferLimit,input/data_sapp_june26/trade/pExtTransferLimit.csv,input/data_sapp_june26/trade/pExtTransferLimit.csv,input/data_sapp_june26/trade/pExtTransferLimit.csv,input/data_sapp_june26/trade/pExtTransferLimit.csv
pLossFactorInternal,input/data_sapp_june26/trade/pLossFactorInternal.csv,input/data_sapp_june26/trade/pLossFactorInternal.csv,input/data_sapp_june26/trade/pLossFactorInternal.csv,input/data_sapp_june26/trade/pLossFactorInternal.csv
pMaxAnnualExternalTradeShare,input/data_sapp_june26/trade/pMaxAnnualExternalTradeShare.csv,input/data_sapp_june26/trade/pMaxAnnualExternalTradeShare.csv,input/data_sapp_june26/trade/pMaxAnnualExternalTradeShare.csv,input/data_sapp_june26/trade/pMaxAnnualExternalTradeShare.csv
pMaxAnnualInternalTradeShare,input/data_sapp_june26/trade/pMaxAnnualInternalTradeShare.csv,input/data_sapp_june26/trade/pMaxAnnualInternalTradeShare.csv,input/data_sapp_june26/trade/pMaxAnnualInternalTradeShare.csv,input/data_sapp_june26/trade/pMaxAnnualInternalTradeShare.csv
pMinImport,input/data_sapp_june26/trade/pMinImport_mozalout.csv,input/data_sapp_june26/trade/pMinImport_mozalout.csv,input/data_sapp_june26/trade/pMinImport_mozalout.csv,input/data_sapp_june26/trade/pMinImport_mozalout.csv
pNewTransmission,input/data_sapp_june26/trade/pNewTransmission.csv,input/data_sapp_june26/trade/pNewTransmission.csv,input/data_sapp_june26/trade/pNewTransmission.csv,input/data_sapp_june26/trade/pNewTransmission.csv
pTradePrice,input/data_sapp_june26/trade/pTradePrice.csv,input/data_sapp_june26/trade/pTradePrice.csv,input/data_sapp_june26/trade/pTradePrice.csv,input/data_sapp_june26/trade/pTradePrice.csv
pTransferLimit,input/data_sapp_june26/trade/pTransferLimit.csv,input/data_sapp_june26/trade/pTransferLimit.csv,input/data_sapp_june26/trade/pTransferLimit.csv,input/data_sapp_june26/trade/pTransferLimit.csv
pH2DataExcel,input/data_sapp_june26/h2/pH2DataExcel.csv,input/data_sapp_june26/h2/pH2DataExcel.csv,input/data_sapp_june26/h2/pH2DataExcel.csv,input/data_sapp_june26/h2/pH2DataExcel.csv
pAvailabilityH2,input/data_sapp_june26/h2/pAvailabilityH2.csv,input/data_sapp_june26/h2/pAvailabilityH2.csv,input/data_sapp_june26/h2/pAvailabilityH2.csv,input/data_sapp_june26/h2/pAvailabilityH2.csv
pCapexTrajectoryH2,input/data_sapp_june26/h2/pCapexTrajectoryH2.csv,input/data_sapp_june26/h2/pCapexTrajectoryH2.csv,input/data_sapp_june26/h2/pCapexTrajectoryH2.csv,input/data_sapp_june26/h2/pCapexTrajectoryH2.csv
pExternalH2,input/data_sapp_june26/h2/pExternalH2.csv,input/data_sapp_june26/h2/pExternalH2.csv,input/data_sapp_june26/h2/pExternalH2.csv,input/data_sapp_june26/h2/pExternalH2.csv
pFuelDataH2,input/data_sapp_june26/h2/pFuelDataH2.csv,input/data_sapp_june26/h2/pFuelDataH2.csv,input/data_sapp_june26/h2/pFuelDataH2.csv,input/data_sapp_june26/h2/pFuelDataH2.csv
