g,z,tech,fuel,StYr,RetrYr,Capacity,Status,MinGenShareAllHours,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life,BuildLimitperYear,DescreteCap,fuel2,HeatRate2,MinUtilization,RETech,UnitSize
Centrachine_PV_ZWE,Zimbabwe,PV,Solar,2026,2056,100,2,,,,,,,,,,,,,,,,,,
Bijou_PV_ZWE,Zimbabwe,PV,Solar,2026,2056,100,2,,,,,,,,,,,,,,,,,,
NewGlovers_Phase1_PV_ZWE,Zimbabwe,PV,Solar,2026,2056,10,2,,,,,,,,,,,,,,,,,,
NewGlovers_Phase2_PV_ZWE,Zimbabwe,PV,Solar,2027,2057,100,2,,,,,,,,,,,,,,,,,,
Guruve_PV_ZWE,Zimbabwe,PV,Solar,2026,2056,5,2,,,,,,,,,,,,,,,,,,
Grove_PV_ZWE,Zimbabwe,PV,Solar,2026,2056,5,2,,,,,,,,,,,,,,,,,,
Sabi_PV_ZWE,Zimbabwe,PV,Solar,2026,2056,5,2,,,,,,,,,,,,,,,,,,
Sunports_PV_ZWE,Zimbabwe,PV,Solar,2026,2056,5,2,,,,,,,,,,,,,,,,,,
Mapanzure_PV_ZWE,Zimbabwe,PV,Solar,2026,2051,50,2,,,,,,,,,,,,150,,,,,1,
Zimplats_Phase2_PV_ZWE,Zimbabwe,PV,Solar,2026,2056,45,2,,,,,,,,,,,,150,,,,,1,
Skypower_PV_ZWE,Zimbabwe,PV,Solar,2027,2057,130,2,,,,,,,,,,,,150,,,,,,
BatokaGorgeSouth_HY_ZWE,Zimbabwe,ReservoirHydro,Water,2035,2112,1200,0,,,,,,0.278070484,,,,,50,1200,0,,0,0,0,0
GowkeNorth_TH_ZWE,Zimbabwe,ST,Coal,2031,2060,1400,0,,11.36666667,0.33,0.33,,,,,0,,50,300,0,,0,0,0,0
Chisumbanje_BIO_ZWE,Zimbabwe,ST,Biomass,2024,2074,4,3,,10,0.9,0.9,,0.8,,,,,,4,0,,0,0,0,4
Gairezi_HY_ZWE,Zimbabwe,ROR,Water,2030,2060,40,3,,,,,,0.275342466,,,0,,50,40,0,,0,0,0,0
Devil'sGorgeSouth_HY_ZWE,Zimbabwe,ReservoirHydro,Water,2037,2115,620,0,,,,,,0.275342466,,,,,50,600,0,,0,0,0,0
MupataGorgeSouth_HY_ZWE,Zimbabwe,ReservoirHydro,Water,2040,2110,600,0,,,,,,0.275342466,,,,,50,600,0,,0,0,0,0
New_PV_ZWE,Zimbabwe,PV,Solar,2028,2058,2000,3,,,,,,,,,,,,200,,,,,1,
New_PV_2040_ZWE,Zimbabwe,PV,Solar,2038,2068,2000,3,,,,,,,,,,,,200,,,,,1,
New_OnshoreWind_ZWE,Zimbabwe,OnshoreWind,Wind,2028,2058,2000,0,,,1,1,,,,,,,,20,,,,,1,
Muzarabani_TH_ZWE,Zimbabwe,CCGT,Gas,2027,2052,500,3,,9.75,0.1,0.1,,0.2,,,,,,200,,,,0.05,,
New_CCGT_MozGas_TH_ZWE,Zimbabwe,CCGT,Gas_Moz,2035,2065,400,3,,9.75,0.1,0.1,,0.2,,,,,,200,,,,0.05,,
Munyati_PV_ZWE,Zimbabwe,PV,Solar,2028,2058,100,3,,,,,,,,,,,,100,,,,,1,
Thuli_TH_ZWE,Zimbabwe,ST,Coal,2031,2061,100,0,0.3,11.36666667,0.33,0.33,,,,,,,,160,0,,0,0.05,0,
UnionPeak_TH_ZWE,Zimbabwe,ST,Coal,2033,2063,120,0,0.3,11.36666667,0.33,0.33,,,,,,,,160,0,,0,0.05,0,
Titan_TH_ZWE,Zimbabwe,ST,Coal,2034,2064,120,0,0.3,11.36666667,0.33,0.33,,,,,,,,160,0,,0,0.05,0,
ZhongJinHeli_TH_ZWE,Zimbabwe,ST,Coal,2025,2060,100,0,,11.36666667,0.33,0.33,,,,,0,,50,0,0,,0,0,0,0
ZhongXinIPP_Phase2_TH_ZWE,Zimbabwe,ST,Coal,2026,2060,270,0,,11.36666667,0.33,0.33,,,,,0,,50,0,0,,0,0,0,0
ZimbabweNG_TH_ZWE,Zimbabwe,ICE,HFO,2024,2054,500,0,,10.41544727,,,,,,,0,,,500,0,,0,0.06,0,0
ZPCSolarCSP_TH_ZWE,Zimbabwe,CSPPlant,CSP,2024,2064,0,0,,0,1,1,0,0.8,,,0,,30,0,0,,0,0,0,0
ZZEE_TH_ZWB,Zimbabwe,ST,Coal,2028,2060,270,0,,11.36666667,0.33,0.33,,,,,0,,50,270,0,,0,0,0,0
Import_SAR_ZWE,Zimbabwe,INT,Import_SAR,2025,2055,50,1,,3.41,,,,0.1,,,,,,,,,,,,
Import_MOZ_EDM_ZWE,Zimbabwe,INT,Import_MOZ_EDM,2025,2055,50,1,,3.41,,,,0.1,,,,,,,,,,,,
Import_MOZ_HCB_ZWE,Zimbabwe,INT,Import_MOZ_HCB,2025,2055,50,1,,3.41,,,,0.1,,,,,,,,,,,,
Import_ZAM_ZWE,Zimbabwe,INT,Import_ZAM,2025,2055,10,1,,3.41,,,,0.1,,,,,,,,,,,,
Import_SAPP_ZWE,Zimbabwe,INT,Import_SAPP,2025,2055,280,1,,3.41,,,,0.1,,,,,,,,,,,,
Export_NAM_ZWE,Zimbabwe,EXP,Export,2025,2030,130,1,,3.41,,,,0.1,37.87,-35,,,,,,,,,,
Import_MOZ_ZWE_new,Zimbabwe,INT,Import_MOZ_HCB,2035,2065,100,3,,3.41,,,,,,,,107.184,,,,,,,,
Import_BWA_ZWE_new,Zimbabwe,INT,Import_BWA,2030,2060,549,3,,3.41,,,,,,,,305.731,,,,,,,,
Import_ZAM_ZWE_new,Zimbabwe,INT,Import_ZAM,2035,2065,410,3,,3.41,,,,,,,,68.352,,,,,,,,
