z,tech,fuel,Life,UnitSize,BuildLimitperYear,DescreteCap,HeatRate,Capex,FOMperMW,VOM,ReserveCost,MinLimitShare,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,MinGenCommitment,HoursOn,HoursOff,minUT,minDT,StUpCost,InitialOn,fuel2,HeatRate2
ORI,OCGT,Gas,30,,0,0,9,0.8,20000,4,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
ORI,OCGT_CCS,GasCCS,30,,0,0,9.5,1.4,30000,4.5,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
ORI,OffshoreWind,Wind,30,,0,0,,3,70000,0,0,0,,,,,,0,0,0,0,0,0,,
ORI,OnshoreWind,Wind,30,,0,0,,1.3,40000,0,0,0,,,,,,0,0,0,0,0,0,,
ORI,PV,Gas,30,,0,0,9,0.8,20000,4,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
ORI,PV,Solar,25,,0,0,,0.8,15000,0,0,0,,,,,,0,0,0,0,0,0,,
ORI,ST,ChemReaction,25,,0,0,11,2.2,55000,3,5,0,0.5,0.5,0,0,0.3,0,0,0,0,0,0,,
ORI,ST,Coal,30,,0,0,8.5,2,60000,3,5,0,0.5,0.5,0,0,0.3,0,0,0,0,0,0,,
ORI,ST,Coke,30,,0,0,9.5,2.1,60000,3.2,5,0,0.5,0.5,0,0,0.3,0,0,0,0,0,0,,
ORI,ST,Gas,30,,0,0,9,0.8,20000,4,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
ORI,ST,HFO,30,,0,0,9.9,0.8,20000,4.4,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
ORI,ST,Steam,25,,0,0,11,2.2,55000,3,5,0,0.5,0.5,0,0,0.3,0,0,0,0,0,0,,
ORI,STO HY,Water,50,,0,0,,3.3,50000,0.5,5,0,1,1,0,0.45,0,0,0,0,0,0,0,,
ORI,Storage,Battery,20,,0,0,,0.3,40000,0,0,0,1,1,0,,0,0,0,0,0,0,0,,
OCC,BiomassPlant,Biomass,30,,0,0,12.5,2,100000,2.5,5,0,1,1,0,0.05,0,0,0,0,0,0,0,,
OCC,CCGT,Gas,30,,0,0,6.4,0.9,30000,2,5,0,1,1,0,0.05,0.6,0,0,4,6,2000,0,,
OCC,CCGT,Hydrogen,30,,0,0,6.8,1.1,30000,2.2,5,0,1,1,0,0.05,0.6,0,0,4,6,2000,0,,
OCC,CCGT_CCS,GasCCS,30,,0,0,7.2,1.5,35000,3,5,0,1,1,0,0.05,0.6,0,0,4,6,2000,0,,
OCC,Geothermal,Geothermal,30,,0,0,,3.5,90000,1,5,0,1,1,0,0,0.8,0,0,0,0,0,0,,
OCC,GT,Diesel,30,,0,0,10.5,0.8,20000,4.5,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
OCC,GT,Gas,30,,0,0,9,0.8,20000,4,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
OCC,GT,Hydrogen,30,,0,0,9.5,0.9,20000,4.2,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
OCC,GT,LicorNegro,25,,0,0,13,1.5,60000,3,5,0,0.5,0.5,0,0,0.3,0,0,0,0,0,0,,
OCC,ICE,Biogas,20,,0,0,9,1.2,36000,7.5,5,0,1,1,0,0.2,0,0,0,0,0,0,0,,
OCC,ICE,Diesel,25,,0,0,9,1.2,36000,7.5,5,0,1,1,0,0.2,0,0,0,0,0,0,0,,
OCC,ICE,Gas,25,,0,0,9,1.2,36000,7.5,5,0,1,1,0,0.2,0,0,0,0,0,0,0,,
OCC,ICE,HFO,25,,0,0,9,1.2,36000,7.5,5,0,1,1,0,0.2,0,0,0,0,0,0,0,,
OCC,ImportTransmission,Import,30,,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,
OCC,Nuclear,Uranium,40,,0,0,10.5,5.5,110000,1.5,5,0,0.2,0.2,0,0,0.8,0,0,0,0,0,0,,
OCC,OCGT,Gas,30,,0,0,9,0.8,20000,4,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
OCC,OCGT_CCS,GasCCS,30,,0,0,9.5,1.4,30000,4.5,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
OCC,OffshoreWind,Wind,30,,0,0,,3,70000,0,0,0,,,,,,0,0,0,0,0,0,,
OCC,OnshoreWind,Wind,30,,0,0,,1.3,40000,0,0,0,,,,,,0,0,0,0,0,0,,
OCC,PV,Gas,30,,0,0,9,0.8,20000,4,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
OCC,PV,Solar,25,,0,0,,0.8,15000,0,0,0,,,,,,0,0,0,0,0,0,,
OCC,ST,ChemReaction,25,,0,0,11,2.2,55000,3,5,0,0.5,0.5,0,0,0.3,0,0,0,0,0,0,,
OCC,ST,Coal,30,,0,0,8.5,2,60000,3,5,0,0.5,0.5,0,0,0.3,0,0,0,0,0,0,,
OCC,ST,Coke,30,,0,0,9.5,2.1,60000,3.2,5,0,0.5,0.5,0,0,0.3,0,0,0,0,0,0,,
OCC,ST,Gas,30,,0,0,9,0.8,20000,4,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
OCC,ST,HFO,30,,0,0,9.9,0.8,20000,4.4,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
OCC,ST,Steam,25,,0,0,11,2.2,55000,3,5,0,0.5,0.5,0,0,0.3,0,0,0,0,0,0,,
OCC,STO HY,Water,50,,0,0,,3.3,50000,0.5,5,0,1,1,0,0.45,0,0,0,0,0,0,0,,
OCC,Storage,Battery,20,,0,0,,0.3,40000,0,0,0,1,1,0,,0,0,0,0,0,0,0,,
NOR,BiomassPlant,Biomass,30,,0,0,12.5,2,100000,2.5,5,0,1,1,0,0.05,0,0,0,0,0,0,0,,
NOR,CCGT,Gas,30,,0,0,6.4,0.9,30000,2,5,0,1,1,0,0.05,0.6,0,0,4,6,2000,0,,
NOR,CCGT,Hydrogen,30,,0,0,6.8,1.1,30000,2.2,5,0,1,1,0,0.05,0.6,0,0,4,6,2000,0,,
NOR,CCGT_CCS,GasCCS,30,,0,0,7.2,1.5,35000,3,5,0,1,1,0,0.05,0.6,0,0,4,6,2000,0,,
NOR,Geothermal,Geothermal,30,,0,0,,3.5,90000,1,5,0,1,1,0,0,0.8,0,0,0,0,0,0,,
NOR,GT,Diesel,30,,0,0,10.5,0.8,20000,4.5,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
NOR,GT,Gas,30,,0,0,9,0.8,20000,4,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
NOR,GT,Hydrogen,30,,0,0,9.5,0.9,20000,4.2,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
NOR,GT,LicorNegro,25,,0,0,13,1.5,60000,3,5,0,0.5,0.5,0,0,0.3,0,0,0,0,0,0,,
NOR,ICE,Biogas,20,,0,0,9,1.2,36000,7.5,5,0,1,1,0,0.2,0,0,0,0,0,0,0,,
NOR,ICE,Diesel,25,,0,0,9,1.2,36000,7.5,5,0,1,1,0,0.2,0,0,0,0,0,0,0,,
NOR,ICE,Gas,25,,0,0,9,1.2,36000,7.5,5,0,1,1,0,0.2,0,0,0,0,0,0,0,,
NOR,ICE,HFO,25,,0,0,9,1.2,36000,7.5,5,0,1,1,0,0.2,0,0,0,0,0,0,0,,
NOR,ImportTransmission,Import,30,,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,
NOR,Nuclear,Uranium,40,,0,0,10.5,5.5,110000,1.5,5,0,0.2,0.2,0,0,0.8,0,0,0,0,0,0,,
NOR,OCGT,Gas,30,,0,0,9,0.8,20000,4,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
NOR,OCGT_CCS,GasCCS,30,,0,0,9.5,1.4,30000,4.5,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
NOR,OffshoreWind,Wind,30,,0,0,,3,70000,0,0,0,,,,,,0,0,0,0,0,0,,
NOR,OnshoreWind,Wind,30,,0,0,,1.3,40000,0,0,0,,,,,,0,0,0,0,0,0,,
NOR,PV,Gas,30,,0,0,9,0.8,20000,4,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
NOR,PV,Solar,25,,0,0,,0.8,15000,0,0,0,,,,,,0,0,0,0,0,0,,
NOR,ST,ChemReaction,25,,0,0,11,2.2,55000,3,5,0,0.5,0.5,0,0,0.3,0,0,0,0,0,0,,
NOR,ST,Coal,30,,0,0,8.5,2,60000,3,5,0,0.5,0.5,0,0,0.3,0,0,0,0,0,0,,
NOR,ST,Coke,30,,0,0,9.5,2.1,60000,3.2,5,0,0.5,0.5,0,0,0.3,0,0,0,0,0,0,,
NOR,ST,Gas,30,,0,0,9,0.8,20000,4,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
NOR,ST,HFO,30,,0,0,9.9,0.8,20000,4.4,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
NOR,ST,Steam,25,,0,0,11,2.2,55000,3,5,0,0.5,0.5,0,0,0.3,0,0,0,0,0,0,,
NOR,STO HY,Water,50,,0,0,,3.3,50000,0.5,5,0,1,1,0,0.45,0,0,0,0,0,0,0,,
NOR,Storage,Battery,20,,0,0,,0.3,40000,0,0,0,1,1,0,,0,0,0,0,0,0,0,,
NTE,BiomassPlant,Biomass,30,,0,0,12.5,2,100000,2.5,5,0,1,1,0,0.05,0,0,0,0,0,0,0,,
NTE,CCGT,Gas,30,,0,0,6.4,0.9,30000,2,5,0,1,1,0,0.05,0.6,0,0,4,6,2000,0,,
NTE,CCGT,Hydrogen,30,,0,0,6.8,1.1,30000,2.2,5,0,1,1,0,0.05,0.6,0,0,4,6,2000,0,,
NTE,CCGT_CCS,GasCCS,30,,0,0,7.2,1.5,35000,3,5,0,1,1,0,0.05,0.6,0,0,4,6,2000,0,,
NTE,Geothermal,Geothermal,30,,0,0,,3.5,90000,1,5,0,1,1,0,0,0.8,0,0,0,0,0,0,,
NTE,GT,Diesel,30,,0,0,10.5,0.8,20000,4.5,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
NTE,GT,Gas,30,,0,0,9,0.8,20000,4,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
NTE,GT,Hydrogen,30,,0,0,9.5,0.9,20000,4.2,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
NTE,GT,LicorNegro,25,,0,0,13,1.5,60000,3,5,0,0.5,0.5,0,0,0.3,0,0,0,0,0,0,,
NTE,ICE,Biogas,20,,0,0,9,1.2,36000,7.5,5,0,1,1,0,0.2,0,0,0,0,0,0,0,,
NTE,ICE,Diesel,25,,0,0,9,1.2,36000,7.5,5,0,1,1,0,0.2,0,0,0,0,0,0,0,,
NTE,ICE,Gas,25,,0,0,9,1.2,36000,7.5,5,0,1,1,0,0.2,0,0,0,0,0,0,0,,
NTE,ICE,HFO,25,,0,0,9,1.2,36000,7.5,5,0,1,1,0,0.2,0,0,0,0,0,0,0,,
NTE,ImportTransmission,Import,30,,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,
NTE,Nuclear,Uranium,40,,0,0,10.5,5.5,110000,1.5,5,0,0.2,0.2,0,0,0.8,0,0,0,0,0,0,,
NTE,OCGT,Gas,30,,0,0,9,0.8,20000,4,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
NTE,OCGT_CCS,GasCCS,30,,0,0,9.5,1.4,30000,4.5,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
NTE,OffshoreWind,Wind,30,,0,0,,3,70000,0,0,0,,,,,,0,0,0,0,0,0,,
NTE,OnshoreWind,Wind,30,,0,0,,1.3,40000,0,0,0,,,,,,0,0,0,0,0,0,,
NTE,PV,Gas,30,,0,0,9,0.8,20000,4,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
NTE,PV,Solar,25,,0,0,,0.8,15000,0,0,0,,,,,,0,0,0,0,0,0,,
NTE,ST,ChemReaction,25,,0,0,11,2.2,55000,3,5,0,0.5,0.5,0,0,0.3,0,0,0,0,0,0,,
NTE,ST,Coal,30,,0,0,8.5,2,60000,3,5,0,0.5,0.5,0,0,0.3,0,0,0,0,0,0,,
NTE,ST,Coke,30,,0,0,9.5,2.1,60000,3.2,5,0,0.5,0.5,0,0,0.3,0,0,0,0,0,0,,
NTE,ST,Gas,30,,0,0,9,0.8,20000,4,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
NTE,ST,HFO,30,,0,0,9.9,0.8,20000,4.4,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
NTE,ST,Steam,25,,0,0,11,2.2,55000,3,5,0,0.5,0.5,0,0,0.3,0,0,0,0,0,0,,
NTE,STO HY,Water,50,,0,0,,3.3,50000,0.5,5,0,1,1,0,0.45,0,0,0,0,0,0,0,,
NTE,Storage,Battery,20,,0,0,,0.3,40000,0,0,0,1,1,0,,0,0,0,0,0,0,0,,
NES,BiomassPlant,Biomass,30,,0,0,12.5,2,100000,2.5,5,0,1,1,0,0.05,0,0,0,0,0,0,0,,
NES,CCGT,Gas,30,,0,0,6.4,0.9,30000,2,5,0,1,1,0,0.05,0.6,0,0,4,6,2000,0,,
NES,CCGT,Hydrogen,30,,0,0,6.8,1.1,30000,2.2,5,0,1,1,0,0.05,0.6,0,0,4,6,2000,0,,
NES,CCGT_CCS,GasCCS,30,,0,0,7.2,1.5,35000,3,5,0,1,1,0,0.05,0.6,0,0,4,6,2000,0,,
NES,Geothermal,Geothermal,30,,0,0,,3.5,90000,1,5,0,1,1,0,0,0.8,0,0,0,0,0,0,,
NES,GT,Diesel,30,,0,0,10.5,0.8,20000,4.5,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
NES,GT,Gas,30,,0,0,9,0.8,20000,4,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
NES,GT,Hydrogen,30,,0,0,9.5,0.9,20000,4.2,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
NES,GT,LicorNegro,25,,0,0,13,1.5,60000,3,5,0,0.5,0.5,0,0,0.3,0,0,0,0,0,0,,
NES,ICE,Biogas,20,,0,0,9,1.2,36000,7.5,5,0,1,1,0,0.2,0,0,0,0,0,0,0,,
NES,ICE,Diesel,25,,0,0,9,1.2,36000,7.5,5,0,1,1,0,0.2,0,0,0,0,0,0,0,,
NES,ICE,Gas,25,,0,0,9,1.2,36000,7.5,5,0,1,1,0,0.2,0,0,0,0,0,0,0,,
NES,ICE,HFO,25,,0,0,9,1.2,36000,7.5,5,0,1,1,0,0.2,0,0,0,0,0,0,0,,
NES,ImportTransmission,Import,30,,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,
NES,Nuclear,Uranium,40,,0,0,10.5,5.5,110000,1.5,5,0,0.2,0.2,0,0,0.8,0,0,0,0,0,0,,
NES,OCGT,Gas,30,,0,0,9,0.8,20000,4,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
NES,OCGT_CCS,GasCCS,30,,0,0,9.5,1.4,30000,4.5,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
NES,OffshoreWind,Wind,30,,0,0,,3,70000,0,0,0,,,,,,0,0,0,0,0,0,,
NES,OnshoreWind,Wind,30,,0,0,,1.3,40000,0,0,0,,,,,,0,0,0,0,0,0,,
NES,PV,Gas,30,,0,0,9,0.8,20000,4,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
NES,PV,Solar,25,,0,0,,0.8,15000,0,0,0,,,,,,0,0,0,0,0,0,,
NES,ST,ChemReaction,25,,0,0,11,2.2,55000,3,5,0,0.5,0.5,0,0,0.3,0,0,0,0,0,0,,
NES,ST,Coal,30,,0,0,8.5,2,60000,3,5,0,0.5,0.5,0,0,0.3,0,0,0,0,0,0,,
NES,ST,Coke,30,,0,0,9.5,2.1,60000,3.2,5,0,0.5,0.5,0,0,0.3,0,0,0,0,0,0,,
NES,ST,Gas,30,,0,0,9,0.8,20000,4,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
NES,ST,HFO,30,,0,0,9.9,0.8,20000,4.4,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
NES,ST,Steam,25,,0,0,11,2.2,55000,3,5,0,0.5,0.5,0,0,0.3,0,0,0,0,0,0,,
NES,STO HY,Water,50,,0,0,,3.3,50000,0.5,5,0,1,1,0,0.45,0,0,0,0,0,0,0,,
NES,Storage,Battery,20,,0,0,,0.3,40000,0,0,0,1,1,0,,0,0,0,0,0,0,0,,
PEN,BiomassPlant,Biomass,30,,0,0,12.5,2,100000,2.5,5,0,1,1,0,0.05,0,0,0,0,0,0,0,,
PEN,CCGT,Gas,30,,0,0,6.4,0.9,30000,2,5,0,1,1,0,0.05,0.6,0,0,4,6,2000,0,,
PEN,CCGT,Hydrogen,30,,0,0,6.8,1.1,30000,2.2,5,0,1,1,0,0.05,0.6,0,0,4,6,2000,0,,
PEN,CCGT_CCS,GasCCS,30,,0,0,7.2,1.5,35000,3,5,0,1,1,0,0.05,0.6,0,0,4,6,2000,0,,
PEN,Geothermal,Geothermal,30,,0,0,,3.5,90000,1,5,0,1,1,0,0,0.8,0,0,0,0,0,0,,
PEN,GT,Diesel,30,,0,0,10.5,0.8,20000,4.5,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
PEN,GT,Gas,30,,0,0,9,0.8,20000,4,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
PEN,GT,Hydrogen,30,,0,0,9.5,0.9,20000,4.2,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
PEN,GT,LicorNegro,25,,0,0,13,1.5,60000,3,5,0,0.5,0.5,0,0,0.3,0,0,0,0,0,0,,
PEN,ICE,Biogas,20,,0,0,9,1.2,36000,7.5,5,0,1,1,0,0.2,0,0,0,0,0,0,0,,
PEN,ICE,Diesel,25,,0,0,9,1.2,36000,7.5,5,0,1,1,0,0.2,0,0,0,0,0,0,0,,
PEN,ICE,Gas,25,,0,0,9,1.2,36000,7.5,5,0,1,1,0,0.2,0,0,0,0,0,0,0,,
PEN,ICE,HFO,25,,0,0,9,1.2,36000,7.5,5,0,1,1,0,0.2,0,0,0,0,0,0,0,,
PEN,ImportTransmission,Import,30,,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,
PEN,Nuclear,Uranium,40,,0,0,10.5,5.5,110000,1.5,5,0,0.2,0.2,0,0,0.8,0,0,0,0,0,0,,
PEN,OCGT,Gas,30,,0,0,9,0.8,20000,4,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
PEN,OCGT_CCS,GasCCS,30,,0,0,9.5,1.4,30000,4.5,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
PEN,OffshoreWind,Wind,30,,0,0,,3,70000,0,0,0,,,,,,0,0,0,0,0,0,,
PEN,OnshoreWind,Wind,30,,0,0,,1.3,40000,0,0,0,,,,,,0,0,0,0,0,0,,
PEN,PV,Gas,30,,0,0,9,0.8,20000,4,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
PEN,PV,Solar,25,,0,0,,0.8,15000,0,0,0,,,,,,0,0,0,0,0,0,,
PEN,ST,ChemReaction,25,,0,0,11,2.2,55000,3,5,0,0.5,0.5,0,0,0.3,0,0,0,0,0,0,,
PEN,ST,Coal,30,,0,0,8.5,2,60000,3,5,0,0.5,0.5,0,0,0.3,0,0,0,0,0,0,,
PEN,ST,Coke,30,,0,0,9.5,2.1,60000,3.2,5,0,0.5,0.5,0,0,0.3,0,0,0,0,0,0,,
PEN,ST,Gas,30,,0,0,9,0.8,20000,4,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
PEN,ST,HFO,30,,0,0,9.9,0.8,20000,4.4,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
PEN,ST,Steam,25,,0,0,11,2.2,55000,3,5,0,0.5,0.5,0,0,0.3,0,0,0,0,0,0,,
PEN,STO HY,Water,50,,0,0,,3.3,50000,0.5,5,0,1,1,0,0.45,0,0,0,0,0,0,0,,
PEN,Storage,Battery,20,,0,0,,0.3,40000,0,0,0,1,1,0,,0,0,0,0,0,0,0,,
SIBC,BiomassPlant,Biomass,30,,0,0,12.5,2,100000,2.5,5,0,1,1,0,0.05,0,0,0,0,0,0,0,,
SIBC,CCGT,Gas,30,,0,0,6.4,0.9,30000,2,5,0,1,1,0,0.05,0.6,0,0,4,6,2000,0,,
SIBC,CCGT,Hydrogen,30,,0,0,6.8,1.1,30000,2.2,5,0,1,1,0,0.05,0.6,0,0,4,6,2000,0,,
SIBC,CCGT_CCS,GasCCS,30,,0,0,7.2,1.5,35000,3,5,0,1,1,0,0.05,0.6,0,0,4,6,2000,0,,
SIBC,Geothermal,Geothermal,30,,0,0,,3.5,90000,1,5,0,1,1,0,0,0.8,0,0,0,0,0,0,,
SIBC,GT,Diesel,30,,0,0,10.5,0.8,20000,4.5,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
SIBC,GT,Gas,30,,0,0,9,0.8,20000,4,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
SIBC,GT,Hydrogen,30,,0,0,9.5,0.9,20000,4.2,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
SIBC,GT,LicorNegro,25,,0,0,13,1.5,60000,3,5,0,0.5,0.5,0,0,0.3,0,0,0,0,0,0,,
SIBC,ICE,Biogas,20,,0,0,9,1.2,36000,7.5,5,0,1,1,0,0.2,0,0,0,0,0,0,0,,
SIBC,ICE,Diesel,25,,0,0,9,1.2,36000,7.5,5,0,1,1,0,0.2,0,0,0,0,0,0,0,,
