g,dry,wet
Former Agoe-Nyive landfill site,1,1
Gambou,0.01,0.18
GAOUA,0.85,0.85
Garafiri,0.412,0.437
GAYA1,0.85,0.85
GAYA2,0.85,0.85
Gbegamey,0.85,0.85
GDE_IPP,0.85,0.85
Generic Gas Plant CCGT,0.85,0.85
Generic Gas Plant GT,0.85,0.85
Genser,0.85,0.85
GEREGU TTP,0.85,0.85
Ghana_PV,1,1
Gongourou,0.157,0.234
GOROUBANDA,0.85,0.85
GorouBanda1,1,1
GOROUBANDA2,0.85,0.85
GOUDEL1,0.85,0.85
GOUDEL2,0.85,0.85
Gouina_Water,0.31,0.57
Gouina_mali,0.5,0.5
Gouina_SEN,0.43,0.61
Gourbassi_MAU,0.31,0.57
Grand Chutes,0.591,0.76
Grand Kinkon,0.125,0.519
Gribo-Popoli,0.457,0.632
Groupes secours SBEE,1,1
Groupes supplementaires,0.85,0.85
Groupes supplementaires HFO,0.85,0.85
GT_Benin,0.85,0.85
GT_Burkina,0.85,0.85
GT_CAND_MAU,0.85,0.85
GT_Ghana,0.85,0.85
GT_Mali,0.85,0.85
GT_Niger,0.85,0.85
GT_Togo,0.85,0.85
GTA_MAU,0.85,0.85
Guozoguezia,0.549,0.505
Gurara,0.18,0.67
Hakkunde-Mitti,0.249,0.431
Hemang,0.167,0.53
HFO IPP_Contour Global_GNL ELTON,0.963,0.963
HFO IPP_Malicounda_GNL ELTON,0.87,0.87
HFO IPP_Tobene Power_GNL ELTON,0.976,0.976
HFO Senelec_C-4_Ext_GNL ELTON,1,1
HFO Senelec_C-6_GNL ELTON,0.934,0.934
HFO/GAS Karpower 125 MW ,0.91,0.91
HFO/GAS Karpower 220 MW,0.957,0.957
HFO_NEW_Burkina,0.85,0.85
HFO_NEW_Gambia,0.85,0.85
HFO_NEW_GuineaBissau,0.85,0.85
HFO_NEW_Liberia,0.85,0.85
HFO_NEW_Niger,0.85,0.85
HFO_NEW_SierraLeone,0.85,0.85
HYD_CAND_BEN,0.342,0.482
HYD_CAND_BUR,0.155,0.231
HYD_CAND_GHA,0.33,0.43
HYD_CAND_MAL,0.4,0.5
HYD_CAND_NGR,0.3,0.3
Ibom TPP,0.85,0.85
IHOVBOR NIP,0.85,0.85
IPP 50 mW,1,1
JBSWindpowerplant_IPP,1,1
JEBBA_North,0.04,0.25
Juale,0.096,0.431
Kahone,0.85,0.85
Kahoune _ CVII_Diesel,0.888,0.888
Kahoune _HFO Senelec_C-7_Domestic Gas,0.888,0.888
Kahoune _HFO Senelec_C-7_GNL ELTON,0.888,0.888
KAINJI_North,0.18,0.18
KAINJI_North_Part2,0.163,0.333
Kaleo,1,1
Kaleta,0.502,0.593
Kaloum1_IPP,0.85,0.85
Kaloum2_IPP,0.85,0.85
Kaloum3_IPP,0.85,0.85
Kaloum5,0.85,0.85
Kandadji,0.6,0.4
Kara,1,1
Karpower 125 MW,0.917,0.917
Karpower 220 MW,0.917,0.917
Karpower_IPP,0.85,0.85
KarPower_IPP_Cot,0.85,0.85
KARPOWERIII_IPP,0.85,0.85
KARPOWERSHIP_IC_IPP,0.85,0.85
Karpowership_IPP,0.85,0.85
Kassa,0.209,0.203
Kekeli Thermal Power Station,1,1
Ketou,0.194,0.42
Kipe_IPP,0.85,0.85
Kodeni_PV,1,1
Kogebedou,0.338,0.258
