g,z,tech,fuel,Status,StYr,RetrYr,Capacity,DescreteCap,fuel2,HeatRate2,BuildLimitperYear,Life,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,Capex,FOMperMW,VOM,UnitSize
Centrale thermique Publique TAG,IvoryCoast,OCGT,Gas,3,2026,2060,300,,,10.5,300,30,9.8,0.85,0.9,,0.2,0.996,7000,2.5,300
KarPower_IPP_Cot,IvoryCoast,OCGT,Gas,1,2022,2026,100,,,10.5,100,,9.8,0.85,0.9,,0.2,,7000,2.5,100
Centrale thermique AKSA Taboth - TAG 1,IvoryCoast,OCGT,Gas,3,2025,2060,250,,,10.5,250,30,9.8,0.85,0.9,,0.2,0.996,7000,2.5,250
Centrale thermique AKSA Taboth \x96 TAG 2,IvoryCoast,OCGT,Gas,3,2026,2060,250,,,10.5,250,30,9.8,0.85,0.9,,0.2,0.996,7000,2.5,250
CAND_GT_HFO,SierraLeone,OCGT,Gas,3,2026,2053,,,7,9.9,200,30,9.8,1,1,,0.2,0.89,26342.72,2.5,200
ContourGlobal_IPP,Togo,OCGT,Gas,1,2010,2050,99.72,,11,9.8,99.72,,9.8,0.85,0.9,,0.2,,7000,2.5,99.72
GT_Togo,Togo,OCGT,Gas,3,2030,2054,,,11,9.9,200,30,9.8,0.85,0.9,,0.2,0.89,26342.72,2.5,200
GT_CAND_MAU,Mauritania_grid,OCGT,Gas,3,2030,2055,,,,,500,30,9.7,0.85,0.9,,0.2,0.89,26342.72,2.5,100
AMERI_4units_IPP,Ghana,OCGT,Gas,2,2026,2046,90,,,,100,,9.8,0.85,0.9,,0.2,,7000,2.5,100
AKSA_IPP_Conv,Ghana,OCGT,Gas,3,2028,2047,370,1,,,370,,12,0.85,0.9,,0.2,0.2,7000,2.5,330
DELTA,Nigeria,OCGT,Gas,1,1997,2050,534,,,,534,,9.8,0.85,0.9,-0.2,0.2,,7000,2.5,534
GEREGU TTP,Nigeria,OCGT,Gas,1,2013,2043,349.5,,,,349.5,,9.8,0.85,0.9,-0.2,0.2,,7000,2.5,349.5
Alaoji TPP,Nigeria,OCGT,Gas,1,2015,2043,10.5,,,,10.5,,9.8,0.3,0.434,-0.2,0.07,,35000,2,10.5
Ibom TPP,Nigeria,OCGT,Gas,1,2013,2043,60,,,,60,,9.8,0.85,0.9,-0.2,0.2,,7000,2.5,60
IHOVBOR NIP,Nigeria,OCGT,Gas,1,2012,2043,50,,,,50,,9.8,0.3,0.434,-0.2,0.07,,35000,2,50
Omoku TPP,Nigeria,OCGT,Gas,1,2006,2050,67.5,,,,67.5,,9.8,0.85,0.9,-0.2,0.2,,7000,2.5,67.5
OMOTOSHO TTP,Nigeria,OCGT,Gas,1,2007,2050,300,,,,300,,9.8,0.85,0.9,-0.2,0.2,,7000,2.5,300
RIVERS IPP TTP,Nigeria,OCGT,Gas,1,2012,2042,93,,,,93,,9.8,0.85,0.9,-0.2,0.2,,7000,2.5,93
Sapele TPP,Nigeria,OCGT,Gas,1,2011,2041,270,,,,270,,9.8,0.85,0.9,-0.2,0.2,,7000,2.5,270
TRANSAMADI,Nigeria,OCGT,Gas,1,2010,2050,58.5,,,,58.5,,9.8,0.85,0.9,-0.2,0.2,,7000,2.5,58.5
Azura-Edo IPP,Nigeria,OCGT,Gas,1,2018,2048,368,,,,368,,9.8,0.85,0.9,-0.2,0.2,,7000,2.5,368
CALABAR/Odukpami,Nigeria,OCGT,Gas,1,2015,2059,361.5,,,,361.5,30,9,0.85,0.9,-0.2,0.1,0.89,26342.72,2.5,361.5
CALABAR_Part2,Nigeria,OCGT,Gas,1,2028,2059,384,,,,384,30,9,0.85,0.9,-0.2,0.1,0.89,26342.72,2.5,384
Generic Gas Plant GT,Nigeria,OCGT,Gas,3,2030,2060,30000,,,,500,30,9.8,0.85,0.9,,0.1,0.89,26342.72,2.5,254
GTA_MAU,Mauritania_grid,OCGT,Gas,3,2027,2055,225,,,,225,25,9.7,0.85,0.9,,0.2,0.89,26342.72,2.5,225
EGBIN,Nigeria,OCGT,Gas,1,1986,2036,844.5,,,,844.5,,9.806,0.6,0.6,-0.2,0.1,,31700,5.3,844.5
EGBIN_Part2,Nigeria,OCGT,Gas,1,2026,2050,757,,,,757,,9.806,0.6,0.6,-0.2,0.1,,31700,5.3,757
OFSHORE_WIND_BEN,Benin,OnshoreWind,Wind,3,2035,2055,5000,,,,5000,30,,1,1,,,4,65000,7,5000
ONSHORE_WIND_BEN,Benin,OnshoreWind,Wind,3,2030,2055,,,,,,30,,1,1,,,1.6,32000,,
WIND_CAND_BUR,Burkina,OnshoreWind,Wind,3,2030,2055,1500,,,,100,30,,1,1,,,1.6,32000,,100
WIND_CAND_GAM,Gambia,OnshoreWind,Wind,3,2030,2055,,,,,50,30,,1,1,,,1.6,32000,,50
OFSHORE_WIND_GAM,Gambia,OnshoreWind,Wind,3,2035,2055,,,,,50,30,,1,1,,,4,65000,7,50
ONSHORE_WIND_GHA,Ghana,OnshoreWind,Wind,3,2030,2055,,,,,150,30,,1,1,,,1.6,32000,,150
WIND_CAND_GBI,GuineaBissau,OnshoreWind,Wind,3,2030,2055,,,,,,30,,1,1,,,1.6,32000,,50
OFSHORE_WIND_GBI,GuineaBissau,OnshoreWind,Wind,3,2035,2055,,,,,,30,,1,1,,,4,65000,7,50
OFSHORE_WIND_COT,IvoryCoast,OnshoreWind,Wind,3,2035,2055,,,,,250,30,,1,1,,,4,65000,7,250
WIND_CAND_COT,IvoryCoast,OnshoreWind,Wind,3,2033,2055,,,,,150,30,,1,1,,,1.6,32000,,150
OFSHORE_WIND_LIB,Liberia,OnshoreWind,Wind,3,2035,2055,,,,,10000,25,,1,1,,,0.9,10000,7,50
WIND_CAND_MAL,Mali,OnshoreWind,Wind,3,2030,2055,5000,,,,100,30,,1,1,,,1.6,32000,,100
WIND_CAND_NGR,Niger,OnshoreWind,Wind,3,2030,2055,5000,,,,100,30,,1,1,,,1.6,32000,,100
Eolien sarreole,Senegal,OnshoreWind,Wind,1,2020,2050,158.7,,,,158.7,30,,1,1,,,1.6,32000,,158.7
WND_CAND_22_SIL,SierraLeone,OnshoreWind,Wind,3,2030,2055,,,,,50,30,,1,1,,,1.6,32000,,50
OFSHORE_WIND_SIL,SierraLeone,OnshoreWind,Wind,3,2035,2055,,,,,50,30,,1,1,,,4,65000,7,50
OFSHORE_WIND_TOG,Togo,OnshoreWind,Wind,3,2035,2055,,,,,50,30,,1,1,,,4,65000,7,50
WIND_CAND_TOG,Togo,OnshoreWind,Wind,3,2030,2055,,,,,50,30,,1,1,,,1.6,32000,,50
Nouakchott_Wind_Plant,Mauritania_grid,OnshoreWind,Wind,1,2015,2046,30,,,,30,30,,1,1,,,1.6,32000,,30
Boulenouar,Mauritania_grid,OnshoreWind,Wind,1,2023,2046,100,,,,100,30,,1,1,,,1.3,32000,,100
Boulenouar II,Mauritania_grid,OnshoreWind,Wind,2,2025,2046,100,,,,100,30,,1,1,,,1.2,32000,,100
WIND_CAND_MAU,Mauritania_grid,OnshoreWind,Wind,3,2030,2055,1500,,,,100,30,,1,1,,,1.6,32000,,100
OFSHORE_WIND_MAU,Mauritania_grid,OnshoreWind,Wind,3,2035,2060,5000,,,,200,30,,1,1,,,4,65000,7,100
JBSWindpowerplant_IPP,Nigeria,OnshoreWind,Wind,3,2100,2200,100,,,,100,30,,1,1,,,1.6,32000,,100
OFSHORE_WIND_NGA,Nigeria,OnshoreWind,Wind,3,2100,2200,,,,,300,30,,1,1,,,4,65000,7,300
WIND_CAND_NGA,Nigeria,OnshoreWind,Wind,3,2100,2200,,,,,150,30,,1,1,,,1.6,32000,,150
Solaire_Pobe,Benin,PV,Solar,1,2025,2050,25,,,,25,25,,1,1,,,0.97,17000,,25
Groupes secours SBEE,Benin,PV,Solar,1,2020,2050,12,,,,12,25,,1,1,,,0.97,17000,,12
SOLEN : Glo-Djigb\xe9 225 MW :,Benin,PV,Solar,2,2028,2050,225,,,,225,25,,1,1,,,0.97,17000,,225
Solaire_Pobe_ext,Benin,PV,Solar,2,2026,2050,50,,,,50,25,,1,1,,,0.97,17000,,50
IPP 50 mW,Benin,PV,Solar,2,2027,2050,50,,,,50,25,,1,1,,,0.97,17000,,50
Zagtouli,Burkina,PV,Solar,1,2017,2087,34,,,,34,,,1,1,,,,17000,,34
Ziga,Burkina,PV,Solar,1,2017,2087,1.1,,,,1.1,,,1,1,,,,17000,,1.1
Ziga/Gaoua,Burkina,PV,Solar,1,2017,2060,2,,,,2,25,,1,1,,,0.97,17000,,2
Ouaga NO,Burkina,PV,Solar,1,2025,2060,42,,,,42,25,,1,1,,,0.97,17000,,42
Nagreongo,Burkina,PV,Solar,1,2022,2060,30,,,,30,25,,1,1,,,0.97,17000,,30
Zano,Burkina,PV,Solar,1,2025,2060,24,,,,24,25,,1,1,,,0.97,17000,,24
Zina Solaire,Burkina,PV,Solar,1,2024,2060,26,,,,26,25,,1,1,,,0.97,17000,,26
Kodeni_PV,Burkina,PV,Solar,1,2023,2060,38,,,,38,25,,1,1,,,0.97,17000,,38
Pa_PV,Burkina,PV,Solar,1,2023,2060,30,,,,30,25,,1,1,,,0.97,17000,,30
Winneba (BXC solar)_IPP,Ghana,PV,Solar,1,2016,2086,20,,,,20,,,1,1,,,,17000,,20
Navrongo,Ghana,PV,Solar,1,2013,2083,2.5,,,,2.5,,,1,1,,,,17000,,2.5
Meinenergy_IPP,Ghana,PV,Solar,1,2019,2086,20,,,,20,,,1,1,,,,17000,,20
Ghana_PV,Ghana,PV,Solar,1,2022,2086,,,,,20,,,1,1,,,,17000,,20
PV_CAND_Guinea,Guinea,PV,Solar,3,2027,2051,30000,,,,1000,25,,1,1,,,1,12000,,30000
Bissau_Bafata_Cacheu,GuineaBissau,PV,Solar,2,2027,2051,67.5,,,,67.5,25,,1,1,,,0.97,17000,,67.5
KORHOGO_IPP,IvoryCoast,PV,Solar,3,2026,2088,40,,,,30,25,,1,1,,,0.97,17000,,30
POROPOWER_IPP,IvoryCoast,PV,Solar,3,2026,2050,50,,,,50,25,,1,1,,,0.79,17000,,50
Respite_PV,Liberia,PV,Solar,2,2025,2045,16,,,,16,20,,1,1,,,0.9,10000,,
Solar Yekepa / Buchanan,Liberia,PV,Solar,2,2028,2045,160,,,,160,20,,1,1,,,0.9,10000,,
PV_Akuo \x96 50 MWp,Mali,PV,Solar,1,2020,2050,50,,,,50,25,,1,1,,,0.97,17000,,50
agadezpv,Niger,PV,Solar,1,2024,2045,13,,,,13,25,,1,1,,,0.97,17000,,13
GorouBanda1,Niger,PV,Solar,1,2023,2050,20,,,,20,25,,1,1,,,0.97,17000,,20
CICAD_Diamiadio,Senegal,PV,Solar,1,2016,2017,2,,,,2,25,,1,1,0.02,,0.97,17000,,2
CICAD_Diamiadio II,Senegal,PV,Solar,1,2024,2050,2,,,,2,25,,1,1,0.02,,0.97,17000,,2
Diass,Senegal,PV,Solar,1,2024,2050,23,,,,23,25,,1,1,0.02,,0.97,17000,,23
Solaire IPP 1,Senegal,PV,Solar,1,2024,2050,201,,,,201,25,,1,1,,,0.97,17000,,201
Solaire IPP 2,Senegal,PV,Solar,2,2025,2050,28,,,,28,25,,1,1,,,0.97,17000,,28
Solaire IPP 3,Senegal,PV,Solar,2,2026,2050,303,,,,303,25,,1,1,,,0.97,17000,,303
Solaire IPP 4,Senegal,PV,Solar,2,2027,2050,30,,,,30,25,,1,1,,,0.97,17000,,30
Respite_PV_SR,SierraLeone,PV,Solar,2,2025,2043,60,,,,,25,,1,1,,,0.97,17000,,
K\xe9k\xe9li Thermal Power Station,Togo,PV,Solar,1,2021,2050,65,,,,1000,25,,1,1,,,0.97,17000,,65
Blitta Solar Power Station,Togo,PV,Solar,1,2021,2050,50,,,,1000,25,,1,1,,,0.97,17000,,50
Dapaong RESPITE,Togo,PV,Solar,3,2026,2051,25,,,,1000,25,,1,1,,,0.97,17000,,25
Sokod\xe9 PV,Togo,PV,Solar,3,2026,2051,64,,,,1000,25,,1,1,,,0.97,17000,,64
Blitta Extension,Togo,PV,Solar,3,2026,2051,100,,,,1000,25,,1,1,,,0.97,17000,,100
Kara,Togo,PV,Solar,3,2027,2052,42,,,,1000,25,,1,1,,,0.97,17000,,42
Former Agoe-Nyiv\xe9 landfill site,Togo,PV,Solar,3,2026,2051,8,,,,1000,25,,1,1,,,0.97,17000,,8
Nouakchott_Est_Solar,Mauritania_grid,PV,Solar,1,2017,2042,50,,,,50,,,1,1,,,1.1,17000,,50
Nouakchott_Zayed_Solar,Mauritania_grid,PV,Solar,1,2013,2050,15,,,,15,,,1,1,,,2,17000,,15
Solaire SNIM (15 MWc),Mauritania_grid,PV,Solar,1,2024,2046,15,,,,15,25,,1,1,,,0.97,17000,,15
Solar Nema 50 MWc,Mauritania_Nema,PV,Solar,3,2027,2051,41,,,,41,25,,1,1,,,0.8,17000,,41
Solar Kiffa 50 MWc,Mauritania_grid,PV,Solar,3,2028,2051,41,,,,41,25,,1,1,,,0.8,17000,,41
Wind 120 MW,Mauritania_grid,PV,Solar,3,2028,2051,98,,,,98,25,,1,1,,,1.5,17000,,98
Kaleo,Ghana,PV,Solar,1,2021,2083,13,,,,13,,,1,1,,,,17000,,13
Lawra,Ghana,PV,Solar,1,2021,2083,6.5,,,,6.5,,,1,1,,,,17000,,6.5
BUI (BXC solar)_IPP,Ghana,PV,Solar,1,2021,2086,50,,,,50,,,1,1,,,,17000,,50
PV_CAND_Benin,Benin,PV,Solar,3,2027,2050,30000,,,,100,25,,1,1,,,0.97,17000,,30000
PV_CAND_Burkina,Burkina,PV,Solar,3,2027,2050,30000,,,,1000,25,,1,1,,,0.97,17000,,30000
23 MWp Solar PV,Gambia,PV,Solar,1,2024,2050,18,,,,1000,25,,1,1,,,0.97,17000,,18
PV_CAND_Gambia,Gambia,PV,Solar,3,2027,2050,30000,,,,1000,25,,1,1,,,0.97,17000,,30000
PV_CAND_Ghana,Ghana,PV,Solar,3,2027,2050,30000,,,,500,25,,1,1,,,0.97,17000,,30000
PV_CAND_GuineaBissau,GuineaBissau,PV,Solar,3,2027,2050,30000,,,,1000,25,,1,1,,,0.97,17000,,30000
PV_CAND_Liberia,Liberia,PV,Solar,3,2028,2050,30000,,,,1000,25,,1,1,,,0.97,17000,,30000
PV_CAND_Mali,Mali,PV,Solar,3,2027,2050,30000,,,,1000,25,,1,1,,,0.97,17000,,30000
PV_CAND_Niger,Niger,PV,Solar,3,2027,2050,30000,,,,1000,25,,1,1,,,0.97,17000,,30000
PV_CAND_SierraLeone,SierraLeone,PV,Solar,3,2027,2050,30000,,,,1000,25,,1,1,,,0.97,17000,,30000
PV_CAND_Togo,Togo,PV,Solar,3,2027,2050,30000,,,,100,25,,1,1,,,0.97,17000,,30000
PV_CAND_Mauritania_grid,Mauritania_grid,PV,Solar,3,2027,2050,30000,,,,1000,25,,1,1,,,0.97,17000,,30000
PV_CAND_Nigeria,Nigeria,PV,Solar,3,2030,2051,10000,,,,1000,25,,1,1,,,0.97,17000,,10000
Centrale Solaire de Boundiali Phase 1,IvoryCoast,PV,Solar,1,2023,2088,38,,,,30,25,,1,1,,,0.97,17000,,30
Extension de la Centrale de Boundiali - CI-ENERGIES,IvoryCoast,PV,Solar,3,2025,2088,44,,,,44,25,,1,1,,,0.97,17000,,44
Centrale Solaire de Bondoukou - AMEA POWER,IvoryCoast,PV,Solar,3,2026,2088,40,,,,40,25,,1,1,,,0.97,17000,,40
Centrale Solaire de Katiola \x96 JC-MONFORT,IvoryCoast,PV,Solar,3,2026,2088,40,,,,40,25,,1,1,,,0.97,17000,,40
Centrale Solaire de Ferkess\xe9dougou \x96 PFO ENERGIE,IvoryCoast,PV,Solar,3,2026,2088,40,,,,40,25,,1,1,,,0.97,17000,,40
Centrale Solaire de Kong \x96 AFRICA VIA,IvoryCoast,PV,Solar,3,2026,2088,40,,,,40,25,,1,1,,,0.97,17000,,40
Centrale Solaire de Tongon - EKDS,IvoryCoast,PV,Solar,3,2026,2088,40,,,,40,25,,1,1,,,0.97,17000,,40
Centrale Solaire de Touba \x96 SCALING SOLAR,IvoryCoast,PV,Solar,3,2026,2088,38.4,,,,38.4,25,,1,1,,,0.97,17000,,38.4
Centrale Solaire de Laboa - SCALING SOLAR,IvoryCoast,PV,Solar,3,2026,2088,33.6,,,,33.6,25,,1,1,,,0.97,17000,,33.6
Centrale Solaire de S\xe9r\xe9bou - CI-ENERGIES,IvoryCoast,PV,Solar,3,2026,2088,20,,,,20,25,,1,1,,,0.97,17000,,20
Centrale Solaire de Soubr\xe9 - CI-ENERGIES,IvoryCoast,PV,Solar,3,2026,2088,20,,,,20,25,,1,1,,,0.97,17000,,20
Centrale Solaire de Odienn\xe9 \x96 PFO ENERGIE,IvoryCoast,PV,Solar,3,2027,2088,40,,,,40,25,,1,1,,,0.97,17000,,40
Centrale Solaire de Tengr\xe9la - EKDS,IvoryCoast,PV,Solar,3,2027,2088,40,,,,40,25,,1,1,,,0.97,17000,,40
Centrale Solaire de Ferk\xe9 II \x96 SHIBA ENERGY,IvoryCoast,PV,Solar,3,2027,2088,40,,,,40,25,,1,1,,,0.97,17000,,40
Centrale Solaire de Mankono \x96TECMON ENERGY,IvoryCoast,PV,Solar,3,2027,2088,40,,,,40,25,,1,1,,,0.97,17000,,40
PV_CAND_IvoryCoast,IvoryCoast,PV,Solar,3,2027,2051,30000,,,,500,25,,1,1,,,0.97,17000,,500
Y\xe9ripao,Benin,ReservoirHydro,Water,1,2050,2060,0.5,,,,0.5,50,,1,1,,0.2,,21246.71786,,0.5
Beterou,Benin,ReservoirHydro,Water,3,2050,2072,23.2,,,,23.2,50,,1,1,,0.07,3.836206897,42198.27586,,23.2
Ketou,Benin,ReservoirHydro,Water,3,2050,2072,112,,,,112,50,,1,1,,0.05,3.723214286,40955.35714,,112
Oulougb\xe9,Benin,ReservoirHydro,Water,3,2050,2072,30,,,,30,50,,1,1,,0.07,3.7,40700,,30
Vossa,Benin,ReservoirHydro,Water,3,2050,2072,79.2,,,,79.2,50,,1,1,,0.07,3.851010101,42361.11111,,79.2
HYD_CAND_BEN,Benin,ReservoirHydro,Water,3,2030,2090,463,,,,463,50,,1,1,,0.07,4,44000,,463
BAGRE,Burkina,ReservoirHydro,Water,1,1993,2060,16.72,,,,16.72,,,1,1,,0.2,,19043.25188,,16.72
KOMPIENGA,Burkina,ReservoirHydro,Water,1,1989,2060,14.28,,,,14.28,,,1,1,,0.2,,18077.33656,,14.28
NIOFILA,Burkina,ReservoirHydro,Water,1,1996,2060,0.5,,,,1.5,,,1,1,,0.15,,17699.78095,,1.5
Samendini,Burkina,ReservoirHydro,Water,1,1996,2060,2.6,,,,2.6,,,1,1,,0.1,,17523.55893,,2.6
TOURNI,Burkina,ReservoirHydro,Water,1,1996,2060,1.5,,,,0.5,,,1,1,,0.1,,17523.55893,,0.5
Bagr\xe9II,Burkina,ReservoirHydro,Water,3,2050,2072,14,,,,14,50,,1,1,,0.2,4,44000,,14
Bontioli,Burkina,ReservoirHydro,Water,3,2050,2072,5.1,,,,5.1,50,,1,1,,0.12,4,44000,,5.1
Folonzo,Burkina,ReservoirHydro,Water,3,2050,2072,10.8,,,,10.8,50,,1,1,,0.2,4,44000,,10.8
Gongourou,Burkina,ReservoirHydro,Water,3,2050,2072,5,,,,5,50,,1,1,,0.2,4,44000,,5
Ou\xe9ssa,Burkina,ReservoirHydro,Water,3,2050,2072,21,,,,21,50,,1,1,,0.2,2.772,30492,,21
HYD_CAND_BUR,Burkina,ReservoirHydro,Water,3,2030,2072,139,,,,139,50,,1,1,,0.2,4,46000,,139
Bui_IPP,Ghana,ReservoirHydro,Water,1,2013,2083,404,,,,400,,,1,1,,0.1,,17882.25198,,400
Akosombo,Ghana,ReservoirHydro,Water,1,1965,2060,1020,,,,1020,,,1,1,,0.15,,18926.46121,,1020
Daboya,Ghana,ReservoirHydro,Water,3,2050,2072,43,,,,43,50,,1,1,,0.15,4,44000,,43
Juale,Ghana,ReservoirHydro,Water,3,2028,2072,87,,,,87,50,,1,1,,0.15,4,44000,,87
Kulpawn,Ghana,ReservoirHydro,Water,3,2050,2072,36,,,,36,50,,1,1,,0.15,4,44000,,36
Pwalugu,Ghana,ReservoirHydro,Water,3,2025,2072,60,,,,48,50,,1,1,,0.1,4.5,49500,,48
HYD_CAND_GHA,Ghana,ReservoirHydro,Water,3,2030,2090,604,,,,100,50,,1,1,,0.15,4,46000,,100
Bonkon-Diaria,Guinea,ReservoirHydro,Water,3,2030,2080,183,,,,183,50,,1,1,,0.1,3.126,62520,,183
Boureya,Guinea,ReservoirHydro,Water,3,2030,2080,161,,,,157,50,,1,1,,0.1,2.89,57800,,157
Diallol,Guinea,ReservoirHydro,Water,3,2030,2080,101,,,,101,50,,1,1,,0.1,3.3,66000,,101
Diareguela,Guinea,ReservoirHydro,Water,3,2030,2080,77,,,,77,50,,1,1,,0.1,3.542,70840,,77
Digan,Guinea,ReservoirHydro,Water,3,2030,2080,62,,,,62,50,,1,1,,0.1,3.28,65600,,62
Farankonedou,Guinea,ReservoirHydro,Water,3,2030,2080,40,,,,40,50,,1,1,,0.1,3.611,72220,,40
Fello Sounga,Guinea,ReservoirHydro,Water,3,2030,2080,63,,,,63,50,,1,1,,0.1,3.413,68260,,63
Fetore,Guinea,ReservoirHydro,Water,3,2030,2080,96,,,,96,50,,1,1,,0.1,3.065,61300,,96
Grand Kinkon,Guinea,ReservoirHydro,Water,3,2030,2080,215,,,,215,50,,1,1,,0.1,3.017,60340,,215
Guozoguezia,Guinea,ReservoirHydro,Water,3,2030,2080,81,,,,81,50,,1,1,,0.1,3.481,69620,,81
Hakkunde-Mitti,Guinea,ReservoirHydro,Water,3,2030,2080,62,,,,62,50,,1,1,,0.1,2.977,59540,,62
Kassa,Guinea,ReservoirHydro,Water,3,2030,2080,124,,,,124,50,,1,1,,0.1,3.319,66380,,124
Kogebedou,Guinea,ReservoirHydro,Water,3,2030,2080,82,,,,82,50,,1,1,,0.1,3.409,68180,,82
Korafindi,Guinea,ReservoirHydro,Water,3,2030,2080,135,,,,135,50,,1,1,,0.1,3.406,68120,,135
Kouravel,Guinea,ReservoirHydro,Water,3,2030,2080,100,,,,100,50,,1,1,,0.1,3.141,62820,,100
Morisanako,Guinea,ReservoirHydro,Water,3,2030,2080,96,,,,96,50,,1,1,,0.1,3.62,72400,,96
Niagara,Guinea,ReservoirHydro,Water,3,2030,2080,55,,,,77,50,,1,1,,0.1,3.364,67280,,77
Nzebela,Guinea,ReservoirHydro,Water,3,2030,2080,45,,,,45,50,,1,1,,0.1,3.444,68880,,45
Poudalde,Guinea,ReservoirHydro,Water,3,2030,2080,90,,,,90,50,,1,1,,0.1,3.433,68660,,90
Tiopo,Guinea,ReservoirHydro,Water,3,2030,2080,105,,,,105,50,,1,1,,0.1,3.381,67620,,105
Amaria,Guinea,ReservoirHydro,Water,1,2030,2080,300,,,,300,50,,1,1,,0.1,3.553,71060,,300
Fomi,Guinea,ReservoirHydro,Water,1,2030,2080,90,,,,90,50,,1,1,,0.1,3.567,71340,,90
Koukoutamba,Guinea,ReservoirHydro,Water,1,2030,2080,294,,,,280,50,,1,1,,0.1,3.401,68020,,280
Grand Chutes,Guinea,ReservoirHydro,Water,1,1954,2060,28,,,,28,50,,1,1,,0.1,2.5,20000,,28
Donkea,Guinea,ReservoirHydro,Water,1,1970,2060,15,,,,15,50,,1,1,,0.1,2.5,20000,,15
Baneah,Guinea,ReservoirHydro,Water,1,1989,2060,5,,,,5,50,,1,1,,0.1,2.5,20000,,5
Garafiri,Guinea,ReservoirHydro,Water,1,1999,2069,75,,,,75,50,,1,1,,0.1,2.5,20000,,75
Kaleta,Guinea,ReservoirHydro,Water,1,2015,2085,240,,,,240,50,,1,1,,0.1,2.192,43840,,240
Souapiti,Guinea,ReservoirHydro,Water,1,2021,2091,475,,,,475,50,,1,1,,0.1,3.416,68320,,475
Ayam\xe91,IvoryCoast,ReservoirHydro,Water,1,1959,2060,20,,,,20,,,1,1,,0.15,,21350.17893,,20
Buyo,IvoryCoast,ReservoirHydro,Water,1,1980,2060,164.7,,,,164.7,,,1,1,,0.15,,21685.19575,,164.7
Kossou,IvoryCoast,ReservoirHydro,Water,1,1972,2060,174,,,,174,,,1,1,,0.05,,17256.07639,,174
Soubr\xe9,IvoryCoast,ReservoirHydro,Water,1,2017,2087,275,,,,275,,,1,1,,0.15,,21241.79114,,275
Taabo,IvoryCoast,ReservoirHydro,Water,1,1979,2060,210,,,,210.6,,,1,1,,0.1,,20315.56818,,210.6
Gribo-Popoli,IvoryCoast,ReservoirHydro,Water,1,2024,2072,112,,,,112,50,,1,1,,0.2,3,45000,,112
Boutoubre,IvoryCoast,ReservoirHydro,Water,3,2028,2074,140,,,,150,50,,1,1,,0.2,3.313333333,36446.66667,,150
Daboiti\xe9,IvoryCoast,ReservoirHydro,Water,3,2051,2073,55,,,,55,50,,1,1,,0.3,3.8,41800,,55
Louga 1,IvoryCoast,ReservoirHydro,Water,3,2029,2077,110,,,,110,50,,1,1,,0.25,4,44000,,110
Louga 2,IvoryCoast,ReservoirHydro,Water,3,2030,2077,100,,,,100,50,,1,1,,0.25,4,44000,,100
Singrobo,IvoryCoast,ReservoirHydro,Water,3,2025,2073,44,,,,44,50,,1,1,,0.25,4,44000,,44
Tayaboui,IvoryCoast,ReservoirHydro,Water,3,2030,2074,100,,,,100,50,,1,1,,0.25,3.4,37400,,100
Tiassal\xe9,IvoryCoast,ReservoirHydro,Water,3,2029,2074,26.6,,,,27,50,,1,1,,0.15,4,44000,,27
Tiboto/Cavally,IvoryCoast,ReservoirHydro,Water,3,2029,2074,196.4,,,,196.4,50,,1,1,,0.2,4,44000,,196.4
Kokumno,IvoryCoast,ReservoirHydro,Water,3,2030,2080,78,,,,78,50,,1,1,,0.2,4,46000,,78
Brou Attakro,IvoryCoast,ReservoirHydro,Water,3,2030,2080,62,,,,62,50,,1,1,,0.2,4,46000,,62
N'dieliesso,IvoryCoast,ReservoirHydro,Water,3,2030,2080,110,,,,110,50,,1,1,,0.2,4,46000,,110
SP2_161,Liberia,ReservoirHydro,Water,2,2046,2080,154,,,,154,50,,1,1,,0.15,3.73,7431.818182,1.124821429,
MANANTALI_mali,Mali,ReservoirHydro,Water,1,1988,2060,70,,,,70,,,1,1,,0.2,,20646.45258,,70
SELINGUE,Mali,ReservoirHydro,Water,1,1980,2060,47,,,,47,,,1,1,,0.02,,16771.31724,,47
Djenn\xe9(CentreMali\x96Noconnect\xe9RI),Mali,ReservoirHydro,Water,2,2025,2091,7,,,,7,50,,1,1,,0.15,3,45000,,10
HYD_CAND_MAL,Mali,ReservoirHydro,Water,3,2030,2080,501,,,,100,50,,1,1,,0.15,4,44000,,100
Gambou,Niger,ReservoirHydro,Water,3,2026,2072,105,,,,105,50,,1,1,,0.15,2.846153846,42692.30769,,105
Kandadji,Niger,ReservoirHydro,Water,3,2026,2072,130,,,,130,50,,1,1,,0.15,4,44000,,130
HYD_CAND_NGR,Niger,ReservoirHydro,Water,3,2030,2080,85,,,,85,50,,1,1,,0.15,4,44000,,85
Water_Kaleta_viaGuinea,Senegal,ReservoirHydro,Water,2,2026,2074,,,,,,50,,1,1,,0.4,4,42000,,
Water_Koukoutamba,Senegal,ReservoirHydro,Water,2,2035,2076,70,,,,70,50,,1,1,,0.4,4,42000,,70
MANANTALI_Sen,Senegal,ReservoirHydro,Water,1,2002,2060,60,,,,60,40,,1,1,,0.4,3,40000,,60
Sambangalou_SEN_IPP,Senegal,ReservoirHydro,Water,2,2030,2090,61,,,,61,50,,1,1,,0.4,4,42000,,61
Water_Souapiti_viaGuinea,Senegal,ReservoirHydro,Water,2,2026,2074,,,,,,50,,1,1,,0.4,4,42000,,
